"objectid","addr_guid","rfidtag","containersize","cartlifts","res_vs_comm","yn_longterm_vacant","address","zipcode","neighborhood","oesstucttype","oesclassification","land_use_desc","route_day","latitude","longitude","date"
"9444083",,,,"0","COMM","N","1631 WALNUT ST","45202","OVER-THE-RHINE","LTU","COMMERCIAL","VACANT","MON-U11-GOLD","39.11374095","-84.51468424","2017-12-01T00:00:00.000"
"9372086",,"082610175854009610001518","96 GALLON RECYCLE","0","RES","N","2714 RIVER RD","45204","SEDAMSVILLE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","MON-U3-GOLD","39.09318517","-84.56167972","2018-01-01T00:00:00.000"
"9416371",,"112710073037006410014804","64 GALLON RECYCLE","2","RES","N","5828 ARNSBY PL","45227","MADISONVILLE","FOUR FAM","RESIDENTIAL","RESIDENTIAL - APARTMENTS 4 UNITS","WED-U1-GREEN","39.15109349","-84.3947041","2017-12-01T00:00:00.000"
"9497523",,"111810095836000035100507","35 GALLON RECYCLE","1","RES","N","542 MCALPIN AV","45220","CLIFTON","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U8-GREEN","39.15077851","-84.52759","2017-12-01T00:00:00.000"
"9413716",,,,"0","COMM","N","2726 HOFF AV","45202","HYDE PARK","LTU","COMMERCIAL","VACANT","WED-UP-GOLD","39.12322018","-84.45493206","2017-12-01T00:00:00.000"
"9448374",,"120910042540009610023714","96 GALLON RECYCLE","0","RES","N","440 RIDDLE RD","45220","CUF","THREE FAM","RESIDENTIAL","RESIDENTIAL - THREE FAMILY","MON-U16-GOLD","39.13574976","-84.52192486","2017-12-01T00:00:00.000"
"9298916",,"011611235638009611085073","96 GALLON RECYCLE","1","RES","N","7272 EASTLAWN DR","45237","ROSELAWN","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U10-GOLD","39.19427775","-84.45521826","2018-01-01T00:00:00.000"
"9456070",,"120610222546009610071213","96 GALLON RECYCLE","2","RES","N","1426 BEAVERTON AV","45237","ROSELAWN","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U7-GOLD","39.19557943","-84.46531592","2017-12-01T00:00:00.000"
"9482103",,,,"0","COMM","N","3638 LLEWELLYN AV","45223","SOUTH CUMMINSVILLE","LTU","COMMERCIAL","VACANT","THU-U9-GREEN","39.152868","-84.54947167","2017-12-01T00:00:00.000"
"9395756",,"091010002243009610005201","96 GALLON RECYCLE","3","RES","N","4 WEEBETOOK LN","45208","HYDE PARK","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U6-GOLD","39.12763733","-84.45445347","2018-01-01T00:00:00.000"
"9289625",,"112010124615006410011465","64 GALLON RECYCLE","0","RES","N","1002 CORONADO AV","45238","WEST PRICE HILL","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","MON-U7-GREEN","39.11154217","-84.60114935","2018-01-01T00:00:00.000"
"9298242",,,,"0","COMM","N","2705 EAST TOWER DR","45238","WESTWOOD","5+ FAM","COMMERCIAL","APARTMENTS 5+ UNITS","THU-U13-GREEN","39.13141497","-84.5949083","2018-01-01T00:00:00.000"
"9295047",,"101110072222006410010240","64 GALLON RECYCLE","0","RES","Y","1755 DENHAM ST","45225","NORTH FAIRMOUNT","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U9-GREEN","39.13549017","-84.55282231","2018-01-01T00:00:00.000"
"9446453",,"160509112959009616089373","96 GALLON RECYCLE","2","RES","N","2642 HALSTEAD ST","45214","CUF","TWO FAM","RESIDENTIAL","RESIDENTIAL - TWO FAMILY","MON-U16-GOLD","39.13018316","-84.53138612","2017-12-01T00:00:00.000"
"9343660",,"010511222515006411017294","64 GALLON RECYCLE","1","RES","N","3418 MARMET AV","45220","CUF","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U7-GREEN","39.14334603","-84.51130523","2018-01-01T00:00:00.000"
"9455193",,"012011082459009611086304","96 GALLON RECYCLE","1","RES","N","7252 EASTLAWN DR","45237","ROSELAWN","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U10-GOLD","39.19365996","-84.45527588","2017-12-01T00:00:00.000"
"9317420",,"083110161916009610038609","96 GALLON RECYCLE","0","RES","N","3028 HACKBERRY ST","45206","EVANSTON","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U5-GREEN","39.13265799","-84.47429804","2018-01-01T00:00:00.000"
"9280074",,"170626014001000641702319","64 GALLON RECYCLE","1","RES","N","542 CARMALT ST","45219","MT. AUBURN","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","MON-U9-GOLD","39.11708726","-84.50439006","2018-01-01T00:00:00.000"
"9481994",,,,"0","COMM","N","1017 LUDLOW AV","45223","SOUTH CUMMINSVILLE","B","COMMERCIAL","PUBLIC SERVICE","THU-U8-GREEN",,,"2017-12-01T00:00:00.000"
"9440163",,,,"0","COMM","N","410 SYCAMORE ST","45202","DOWNTOWN","B","COMMERCIAL","INSTITUTIONAL","MON-U6-GOLD","39.10114635","-84.50747687","2017-12-01T00:00:00.000"
"9544450",,,,"0","COMM",,,,"DOWNTOWN","B","COMMERCIAL","OFFICE","MON-U6-GOLD",,,"2017-12-01T00:00:00.000"
"9378079",,"083110235636009610002093","96 GALLON RECYCLE","1","RES","N","4112 SETTLE ST","45227","MADISONVILLE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U12-GREEN","39.14882233","-84.38569189","2018-01-01T00:00:00.000"
"9261712",,,,"0","COMM",,"8W 3RD ST","45202","DOWNTOWN","B","COMMERCIAL","OFFICE","MON-U6-GOLD",,,"2018-01-01T00:00:00.000"
"9261712",,,,"0","COMM",,"8W 3RD ST","45202","DOWNTOWN","B","COMMERCIAL","OFFICE","MON-U6-GOLD",,,"2018-01-01T00:00:00.000"
"9530241",,"112110090615006410012291","64 GALLON RECYCLE","0","RES","Y","1214 HOMESIDE AV","45224","COLLEGE HILL","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U1-GOLD","39.20019743","-84.53957848","2017-12-01T00:00:00.000"
"9294884",,"121710155842009610079077","96 GALLON RECYCLE","0","COMM","N","752 DELTA AV","45226","MT. LOOKOUT","SINGLE FAM","RESIDENTIAL","SINGLE FAMILY","WED-U16-GOLD","39.12661182","-84.43305012","2018-01-01T00:00:00.000"
"9295725",,,,"0","COMM","N","3540 DICK ST","45220","AVONDALE","LTU","COMMERCIAL","VACANT","TUE-U3-GREEN","39.14704961","-84.50597382","2018-01-01T00:00:00.000"
"9461689",,,,"0","COMM","N","3646 ZINSLE AV","45213","KENNEDY HEIGHTS","SINGLE FAM","RESIDENTIAL","SINGLE FAMILY","TUE-U4-GOLD","39.18610718","-84.4118848","2017-12-01T00:00:00.000"
"9446634",,,,"0","COMM","N","2530 HALSTEAD ST","45214","CUF","LTU","COMMERCIAL","VACANT","MON-U16-GOLD","39.12803919","-84.53203541","2017-12-01T00:00:00.000"
"9486618",,"101110120905006410010427","64 GALLON RECYCLE","2","RES","N","1634 PULTE ST","45225","NORTH FAIRMOUNT","LTU","RESIDENTIAL","RESIDENTIAL - VACANT LAND","THU-U9-GREEN","39.13637654","-84.54943177","2017-12-01T00:00:00.000"
"9390593",,"120610221808009610071209","96 GALLON RECYCLE","0","RES","N","2375 VICTOR ST","45219","CUF","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","MON-U8-GOLD","39.12766666","-84.52380134","2018-01-01T00:00:00.000"
"9453911",,"101610022717009610047982","96 GALLON RECYCLE","0","RES","N","6206 ELM VIEW PL","45216","BOND HILL","FOUR FAM","RESIDENTIAL","RESIDENTIAL - APARTMENTS 4 UNITS","TUE-U5-GOLD","39.18373492","-84.48128535","2017-12-01T00:00:00.000"
"9525880",,,,"0","COMM","N","4807 WINNESTE AV","45232","WINTON HILLS","B","COMMERCIAL","PUBLIC SERVICE","THU-U1-GOLD","39.1785697","-84.51085721","2017-12-01T00:00:00.000"
"9389417",,,,"0","COMM","N","27W UNIVERSITY AV","45219","CORRYVILLE","B","COMMERCIAL","COMMERCIAL","MON-U4-GOLD",,,"2018-01-01T00:00:00.000"
"9315956",,,,"0","COMM","N","2331 GRANDVIEW AV","45206","EAST WALNUT HILLS","B","COMMERCIAL","INSTITUTIONAL","WED-U10-GOLD","39.12341353","-84.48037248","2018-01-01T00:00:00.000"
"9379721",,"111210094118009610061443","96 GALLON RECYCLE","0","RES","N","2149 SINTON AV","45206","WALNUT HILLS","FOUR FAM","RESIDENTIAL","RESIDENTIAL - APARTMENTS 4 UNITS","WED-U18-GOLD","39.12010568","-84.49350306","2018-01-01T00:00:00.000"
"9272508",,"151001035115006415020980","64 GALLON RECYCLE","0","RES","N","1938 BERKLEY AV","45237","BOND HILL","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U6-GOLD","39.17218753","-84.46077794","2018-01-01T00:00:00.000"
"9316330",,,,"0","RES","N","14 GREENDALE AV","45220","CLIFTON","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U7-GREEN","39.15103098","-84.51108879","2018-01-01T00:00:00.000"
"9469423",,"090110021520006410002052","64 GALLON RECYCLE","2","RES","N","2918 GLENWAY AV","45204","EAST PRICE HILL","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","MON-U6-GREEN","39.11330071","-84.55894747","2017-12-01T00:00:00.000"
"9537514",,,,"0","RES","N","760S FRED SHUTTLESWORTH CIR","45229","AVONDALE","FOUR FAM","RESIDENTIAL","RESIDENTIAL - APARTMENTS 4 UNITS","TUE-U11-GREEN",,,"2017-12-01T00:00:00.000"
"9486449",,,,"0","COMM","N","1731 DENHAM ST","45225","NORTH FAIRMOUNT","B","COMMERCIAL","PUBLIC SERVICE","THU-U9-GREEN","39.13536148","-84.55176467","2017-12-01T00:00:00.000"
"9426562",,"011611202908009611084939","96 GALLON RECYCLE","0","RES","N","4207 VERNE AV","45209","OAKLEY","FOUR FAM","RESIDENTIAL","RESIDENTIAL - APARTMENTS 4 UNITS","WED-U14-GREEN","39.15360913","-84.43227795","2017-12-01T00:00:00.000"
"9473150",,"083110044947006410001234","64 GALLON RECYCLE","1","RES","N","506 PURCELL AV","45205","EAST PRICE HILL","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","MON-U2-GREEN","39.10102952","-84.56491089","2017-12-01T00:00:00.000"
"9271913",,"112410085105009610065143","96 GALLON RECYCLE","2","RES","N","3425 BELLTONE AV","45211","WESTWOOD","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U12-GREEN","39.14989608","-84.58554771","2018-01-01T00:00:00.000"
"9488465",,"090510074010009610041705","96 GALLON RECYCLE","2","COMM","N","2176 HIGH ST","45214","WESTWOOD","SINGLE FAM","RESIDENTIAL","SINGLE FAMILY","MON-U1-GREEN","39.12870691","-84.57341237","2017-12-01T00:00:00.000"
"9497240",,,,"0","COMM","N","445 WOOD AV","45220","CLIFTON","TWO FAM","RESIDENTIAL","TWO FAMILY","TUE-U3-GREEN","39.14898212","-84.52417286","2017-12-01T00:00:00.000"
"9361822",,"121310023657009610075498","96 GALLON RECYCLE","0","RES","N","5709 PEABODY AV","45227","MADISONVILLE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U1-GREEN","39.15822482","-84.3960064","2018-01-01T00:00:00.000"
"9470522",,"100410201656009610013050","96 GALLON RECYCLE","0","RES","Y","1016 BEECH AV","45205","EAST PRICE HILL","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","MON-U9-GREEN","39.11053464","-84.57731721","2017-12-01T00:00:00.000"
"9401306",,,,"0","COMM","N","5728 WINNESTE AV","45232","WINTON HILLS","SINGLE FAM","RESIDENTIAL","SINGLE FAMILY ATTACHED","THU-U1-GOLD","39.19284004","-84.51320674","2018-01-01T00:00:00.000"
"9512507",,"090510160450009610041961","96 GALLON RECYCLE","1","COMM","N","5323 RESERVE CIR","45230","MT. WASHINGTON","LTU","COMMERCIAL","VACANT","WED-U6-GREEN","39.10410579","-84.3975053","2017-12-01T00:00:00.000"
"9468978",,,,"0","COMM","N","1667 WESTWOOD AV","45214","SOUTH FAIRMOUNT","LTU","COMMERCIAL","VACANT","MON-U1-GREEN","39.1246868","-84.5510684","2017-12-01T00:00:00.000"
"9397326",,,,"0","COMM","N","3757 WESTGATE AV","45208","HYDE PARK","B","COMMERCIAL","PUBLIC SERVICE","WED-U13-GOLD","39.14706989","-84.45199338","2018-01-01T00:00:00.000"
"9302358",,"020511010306009611088260","96 GALLON RECYCLE","0","RES","N","3545 EPWORTH AV","45211","WESTWOOD","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U10-GREEN","39.15356284","-84.59971191","2018-01-01T00:00:00.000"
"9457608",,"092010221615009610007000","96 GALLON RECYCLE","0","RES","N","1558 JOSEPH ST","45237","BOND HILL","TWO FAM","RESIDENTIAL","RESIDENTIAL - TWO FAMILY","TUE-U6-GOLD","39.17305206","-84.46990273","2017-12-01T00:00:00.000"
"9450445",,,,"0","COMM","N","3462 KNOTT ST","45229","AVONDALE","B","COMMERCIAL","EDUCATIONAL","TUE-U3-GREEN","39.14376155","-84.49408798","2017-12-01T00:00:00.000"
"9290749",,,,"0","RES","N","89 CRAFT ST","45232","WINTON HILLS","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U1-GOLD","39.17872737","-84.51110872","2018-01-01T00:00:00.000"
"9545329",,,,"0","COMM","N","1324 WILLIAMSBURG RD","45215","HARTWELL","5+ FAM","COMMERCIAL","APARTMENTS 5+ UNITS","TUE-U11-GOLD","39.2166778","-84.48275167","2017-12-01T00:00:00.000"
"9336870",,,,"0","COMM","N","2930W LIBERTY ST","45214","EAST PRICE HILL","B","COMMERCIAL","EDUCATIONAL","MON-U15-GREEN",,,"2018-01-01T00:00:00.000"
"9262434",,,,"0","COMM","N","118E 6TH ST","45202","DOWNTOWN","B","COMMERCIAL","COMMERCIAL","MON-U6-GOLD",,,"2018-01-01T00:00:00.000"
"9431865",,"0000828","9 GALLON RECYCLE","0","RES","N","1841 CLARION AV","45207","EVANSTON","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U13-GREEN","39.14429939","-84.46752485","2017-12-01T00:00:00.000"
"9283661",,,,"0","COMM","N","2602 CHESTERFIELD CT","45239","MT. AIRY","5+ FAM","COMMERCIAL","APARTMENTS 5+ UNITS","THU-U15-GOLD","39.20224596","-84.57724139","2018-01-01T00:00:00.000"
"9367141",,"101910085730009610059657","96 GALLON RECYCLE","0","RES","N","2529 RACK CT","45239","MT. AIRY","FOUR FAM","RESIDENTIAL","RESIDENTIAL - APARTMENTS 4 UNITS","THU-U5-GOLD","39.2030806","-84.57569192","2018-01-01T00:00:00.000"
"9373481",,"101710025509009610019278","96 GALLON RECYCLE","0","RES","N","2847 ROBERT AV","45211","WESTWOOD","LTU","RESIDENTIAL","RESIDENTIAL - VACANT LAND","THU-U1-GREEN","39.1379622","-84.57262369","2018-01-01T00:00:00.000"
"9399505",,,,"0","COMM","N","1946 WILLIAM H TAFT RD","45206","HYDE PARK","B","COMMERCIAL","PUBLIC SERVICE","WED-U10-GOLD","39.12567574","-84.46449813","2018-01-01T00:00:00.000"
"9443811",,,,"0","RES","Y","129E CLIFTON AV","45202","OVER-THE-RHINE","FOUR FAM","RESIDENTIAL","RESIDENTIAL - APARTMENTS 4 UNITS","MON-U14-GOLD",,,"2017-12-01T00:00:00.000"
"9399289",,"101310063604009610045560","96 GALLON RECYCLE","1","COMM","Y","3003 WILLET TER","45238","WESTWOOD","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U4-GREEN","39.13702074","-84.60372727","2018-01-01T00:00:00.000"
"9398933",,,,"0","RES","N","752 WHITTIER ST","45229","AVONDALE","LTU","RESIDENTIAL","RESIDENTIAL - VACANT LAND","TUE-U11-GREEN","39.13713792","-84.49394612","2018-01-01T00:00:00.000"
"9452304",,,,"0","COMM","N","3578 VAN ANTWERP PL","45229","AVONDALE","TWO FAM","RESIDENTIAL","TWO FAMILY","TUE-U11-GREEN","39.14750243","-84.49340077","2017-12-01T00:00:00.000"
"9361087",,"121410025351009610076156","96 GALLON RECYCLE","2","RES","N","53 PARKWAY AV","45216","HARTWELL","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U11-GOLD","39.2100883","-84.47232701","2018-01-01T00:00:00.000"
"9495878",,"160509155358009616089520","96 GALLON RECYCLE","1","RES","N","3240 MONTANA AV","45211","WESTWOOD","FOUR FAM","RESIDENTIAL","RESIDENTIAL - APARTMENTS 4 UNITS","THU-U5-GREEN","39.14931869","-84.60864919","2017-12-01T00:00:00.000"
"9482572",,,,"0","RES","N","1610 ELMORE ST","45223","NORTHSIDE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U2-GOLD","39.15598036","-84.54167686","2017-12-01T00:00:00.000"
"9332816",,"090910114244009610043762","96 GALLON RECYCLE","0","RES","Y","4736 KIRBY AV","45223","COLLEGE HILL","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U19-GOLD","39.17741093","-84.55202689","2018-01-01T00:00:00.000"
"9398321",,"121810052342009610079531","96 GALLON RECYCLE","0","RES","N","4002 WHETSEL AV","45227","MADISONVILLE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U1-GREEN","39.14921031","-84.3936323","2018-01-01T00:00:00.000"
"9379702",,"101910201045009610059984","96 GALLON RECYCLE","2","RES","N","2125 SINTON AV","45206","WALNUT HILLS","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U18-GOLD","39.11927196","-84.49354712","2018-01-01T00:00:00.000"
"9291965",,"112110070126006410012202","64 GALLON RECYCLE","3","RES","N","2574 CYPRESS WY","45212","PLEASANT RIDGE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U1-GOLD","39.17312105","-84.4406569","2018-01-01T00:00:00.000"
"9487929",,"140607120440000035113291","35 GALLON RECYCLE","0","RES","N","2190 QUEBEC RD","45214","EAST PRICE HILL",,"COMMERCIAL",,"MON-U13-GREEN","39.12114738","-84.5657847","2017-12-01T00:00:00.000"
"9271317",,,,"0","COMM","N","2624 BEEKMAN ST","45225","NORTH FAIRMOUNT","LTU","COMMERCIAL","VACANT","THU-U9-GREEN","39.13305961","-84.54622981","2018-01-01T00:00:00.000"
"9484594",,"090810105907009610042882","96 GALLON RECYCLE","2","RES","N","4388 INNES AV","45223","NORTHSIDE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U19-GOLD","39.16841014","-84.54497718","2017-12-01T00:00:00.000"
"9273007",,"090810121039009610042927","96 GALLON RECYCLE","0","RES","N","4831 BEVERLY HILL DR","45208","MT. LOOKOUT","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U2-GOLD","39.12595368","-84.41982363","2018-01-01T00:00:00.000"
"9267763",,"112910130452006410015618","64 GALLON RECYCLE","0","RES","N","5557 ATTICA AV","45212","PLEASANT RIDGE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U1-GOLD","39.17482079","-84.44007792","2018-01-01T00:00:00.000"
"9346460",,"101710195001009610019898","96 GALLON RECYCLE","0","RES","N","1712E MCMILLAN ST","45206","EAST WALNUT HILLS","TWO FAM","RESIDENTIAL","RESIDENTIAL - TWO FAMILY","WED-U10-GOLD",,,"2018-01-01T00:00:00.000"
"9502605",,"120910044141009610023726","96 GALLON RECYCLE","2","RES","N","6035 BELMONT AV","45224","COLLEGE HILL","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U7-GOLD","39.19930304","-84.56074882","2017-12-01T00:00:00.000"
"9269759",,,,"0","RES","Y","3038 BATHGATE ST","45206","AVONDALE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","TUE-U11-GREEN","39.13422909","-84.49456395","2018-01-01T00:00:00.000"
"9527903",,,,"0","COMM","N","983 ENRIGHT AV","45205","EAST PRICE HILL","B","COMMERCIAL","MIXED USE","MON-U3-GREEN","39.11034005","-84.57257048","2017-12-01T00:00:00.000"
"9268545",,"100710121608006410008062","64 GALLON RECYCLE","1","RES","N","1258 AYERSHIRE AV","45230","MT. WASHINGTON","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U3-GREEN","39.07591403","-84.37068951","2018-01-01T00:00:00.000"
"9395250",,"122010142417009610081483","96 GALLON RECYCLE","1","RES","Y","4403 WATTERSON ST","45227","MADISONVILLE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U1-GREEN","39.1534913","-84.39192513","2018-01-01T00:00:00.000"
"9405961",,"0001308","9 GALLON RECYCLE","0","RES","N","6483 HONEYSUCKLE DR","45230","MT. WASHINGTON","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U3-GREEN","39.09060324","-84.38015436","2017-12-01T00:00:00.000"
"9394052",,"090610153516009610042661","96 GALLON RECYCLE","0","RES","N","5307 WARD ST","45227","MADISONVILLE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U8-GREEN","39.16377197","-84.39166777","2018-01-01T00:00:00.000"
"9428486",,,,"0","COMM","N","5027 RIDGE AV","45209","OAKLEY","B","COMMERCIAL","INSTITUTIONAL","WED-U8-GREEN","39.16368497","-84.42290808","2017-12-01T00:00:00.000"
"9430524",,"083010191927009610001578","96 GALLON RECYCLE","0","RES","N","1716 DEXTER AV","45206","EVANSTON","TWO FAM","RESIDENTIAL","RESIDENTIAL - TWO FAMILY","TUE-U5-GREEN","39.13410097","-84.47363259","2017-12-01T00:00:00.000"
"9394420",,"121710080430009610024876","96 GALLON RECYCLE","2","RES","N","421 WARREN AV","45220","CLIFTON","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","THU-U8-GREEN","39.15297263","-84.52267986","2018-01-01T00:00:00.000"
"9401416",,"012011144818009611086538","96 GALLON RECYCLE","0","RES","N","4819 WINONA TER","45227","MADISONVILLE","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U9-GREEN","39.15822155","-84.38704812","2018-01-01T00:00:00.000"
"9362328",,"090910215538009610005110","96 GALLON RECYCLE","3","RES","N","3575 PERIGNON PL","45226","COLUMBIA TUSCULUM","SINGLE FAM","RESIDENTIAL","RESIDENTIAL - SINGLE FAMILY","WED-U12-GOLD","39.11904949","-84.43134747","2018-01-01T00:00:00.000"
"9441792",,"100610010848009610014051","96 GALLON RECYCLE","1","COMM","N","2404 AUBURN AV","45219","MT. AUBURN","B","COMMERCIAL","OFFICE","MON-U2-GOLD","39.12565085","-84.50815226","2017-12-01T00:00:00.000"
"9513485",,,,"0","RES","N","21E 70TH ST","45216","CARTHAGE","TWO FAM","RESIDENTIAL","RESIDENTIAL - TWO FAMILY","TUE-U9-GREEN",,,"2017-12-01T00:00:00.000"
"9373522",,,,"0","COMM","N","2945 ROBERTSON AV","45209","OAKLEY","SINGLE FAM","RESIDENTIAL","SINGLE FAMILY","WED-U7-GREEN","39.15545544","-84.43335277","2018-01-01T00:00:00.000"
