"pci_2015","iri_in_m_2015","fid","oid","featureid","strsegid","networkid","branchid","networknam","branchname","branchuse","from","sectionid","to","category","rank","stsegmtid","surface","area","length","width","assetnhood","cagclass","lane_cnt","objectid","rptclass","slablength","slabwidth","id","constructi","latitude","longitude","polygonid","pointid","strlabel"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009136161971","-84.6754427399237","3359","63917","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.100941879999","-84.6761177285595","3359","63918","RIVER RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1656241730435","-84.4200687653117","728","14274","DUCK CREEK RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1656182479723","-84.4200430269488","728","14275","DUCK CREEK RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1656123237959","-84.4200172886149","728","14276","DUCK CREEK RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009453191232","-84.6761539639077","3359","63919","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009488437877","-84.6761902019061","3359","63920","RIVER RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1656062275999","-84.4199915455862","728","14277","DUCK CREEK RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1655978108755","-84.4199555967707","728","14278","DUCK CREEK RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009525404451","-84.6762264452292","3359","63921","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009563226429","-84.6762626912029","3359","63922","RIVER RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009601903594","-84.676298940983","3359","63923","RIVER RD"
"80","326","5764","5764","HAM30123","4264044035242646300254","Cincinnati","Duck 5763","Cinti2015","Duck Creek Rd","Roadway","Kennedy Av","5764","Saguin St","4","S","3255","AC","16378","465","35","MADISONVILLE","4","4","16910","MINOR",,,"4238","1990-01-01T00:00:00.000","39.1655899101823","-84.4199196620606","728","14279","DUCK CREEK RD"
"77","146","1409","1409","HAM13405","1539566911615325238139","Cincinnati","River1408","Cinti2015","River Rd","Roadway","Hillside Av","1409","Dart St","4","S","10230","AC","151013","3067","51","SAYLER PARK","2","5","2959","MAJOR",,,"12880","1990-01-01T00:00:00.000","39.1009642300903","-84.6763351949328","3359","63924","RIVER RD"
