"service_area","department","job_title","earnings","meta_row_index","meta_row_id"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","140224.7","28","f1df9c3d58698f93da64060aec48f7fd7eaabbda"
"Legal Services","City Attorney's Office","Sr Assistant City Attorney","139201.78","29","4ce22cbce534b4bf39ffc0ca75958bdecf16f3c1"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","138487.62","30","27ff7295708ff9100af360aae484ed506a4b4812"
"Police Services","Special Operations","Police Sergeant","138454.45","31","97d39af22ad6aa928eed42b2df8b17dfe231da61"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief I - 56 Hr/Wk","138310.0","32","96619d8738e3ad132848ca43232b87f22a755a97"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief I - 56 Hr/Wk","138259.71","33","c9dcd578d3ba9d5ab98b365566da0d865997e82a"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief II - 40 Hr/Wk","137886.08","34","d22e85d821bafde11af4ba71857490040b777852"
"Police Services","Special Operations","Police Lieutenant","137799.8","35","1297876b800babe17fba8db59f7bd179e27a24f6"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief II - 40 Hr/Wk","137772.0","36","7c54a58817f8f68242ff59f8ac5bb213df1a67de"
"Library District","Library District","Library Director","137608.0","37","4601246b3d94abaecf5a973d0b1f78a36e139e3c"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief II - 40 Hr/Wk","137304.5","38","9acd7d959b7ae61712d873cb25b037291e2f0965"
"Police Services","Police Information Services","Director, Information Services","136697.92","39","7a0d1c87f2101ab9006a66bc79705de17a46d8b6"
"Police Services","Investigations","Police Sergeant","136258.87","40","6d6a7078b0b08651a14274d09e2d264ff834788d"
"Police Services","Patrol","Police Assistant Chief","135922.74","41","8b9d23bb6008062f4ff5e50cb6f27f87e5c85843"
"Police Services","Special Operations","Police Assistant Chief","135907.74","42","6551533e5d93b480cff2b46b6b00bc2aa93d1fe8"
"Police Services","Special Operations","Police Officer","135852.5800000002","43","9e47b617fddd0a0a1b76055ff715f65d01b3c311"
"Police Services","Special Operations","Police Officer","135846.9000000002","44","b69d3b964de9716bd865237cb1860f944a3b27b2"
"Police Services","Police Administration","Police Lieutenant","135054.63","45","5c65955e6cbc2400e4bf8e136825d6f73ce0b843"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief I - 56 Hr/Wk","134881.5","46","6768eecc58b59c178e0fc7a3da7fd416caf3f5ff"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","134748.7","47","4f2cbca2c5ef4a3c4475cfe37ac7b7425b5fe79f"
"Downtown Development Authority","Downtown Development Authority","Executive Director DDA","134724.31","48","4fdc6ca0b4b2f2f7e06ad79d21f6a55ec967d528"
"Police Services","Special Operations","Police Lieutenant","134691.7","49","163dbec449c56eba280c7120d4b327498b1f291b"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief II - 40 Hr/Wk","133884.0","50","0e21eb7e6f4cdfcdc4886007ae94abfb96de1e72"
"Police Services","Patrol","Police Corporal","133781.31","51","a773e78f1b5931595c20a32d0664cbd1dc574ec0"
"Police Services","Investigations","Police Lieutenant","133672.03","52","b9e8e9701e415a039f7d56dea47e1677706d1a70"
"Police Services","Investigations","Police Lieutenant","133247.93","53","4ca51397547764226b9feecd3f3fa22b90b2bb4e"
"Utility Services","Utility Financial Operations","Director, FP&A","132937.66","54","e50272f3cf8ed0b5f7daf07cce53f76b87717b14"
"Police Services","Patrol","Police Officer","132308.46","55","60151134c408d9efa00efda26ca2d8a8a2389327"
"Planning, Dev & Transportation","PDT Administration","Deputy Director, PDT","131978.4","56","0a5b612c74104c6176988d03edefd70b70c9a8cb"
"Utility Services","L&P Operations & Technology","Sr Manager, Elec Engr-Inactive","131881.519999999","57","058e44d27a572a73960ce5bccba18823db546dd3"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","131757.85","58","fe80ba4a64a91502d8040c6014d445fb876e6782"
"Police Services","Police Information Services","Sr Manager, Emergency Comms","131578.0","59","eebc3a0c3810b35d0f0c91efa5ae17e4dfb1c869"
"Information & Employee Svcs","Operation Services","Director, Facilities & Fleet","131472.719999999","60","ef54c935506fdc7242f9a87f3277df0b6d0a1732"
"Police Services","Patrol","Police Lieutenant","130625.74","61","e927fd5fcb701b9a14ab4b4f198af3c8496daf68"
"Police Services","Patrol","Police Sergeant","130449.3","62","2983534a7525e03e8c14df061bfa598a76e6baa7"
"Police Services","Police Administration","Police Lieutenant","130142.21","63","369c9a47ef73d54d72925a91b2eac8c6f1d82458"
"Police Services","Police Administration","Police Sergeant","130070.2","64","85dfdb3a62efc46a72e2a5011bd14d388a559e3b"
"Utility Services","Ut Water Production Div","Deputy Director, Utilities","130029.7","65","558ec141a7a899c0da86f4477606a4d304be04e4"
"Information & Employee Svcs","Information Technology","Architect, Technology","129836.18","66","eb02ee1322fde5ed18e5979d58492ddb8bfb57c0"
"Information & Employee Svcs","Information Technology","Sr Manager, Technology","129640.12","67","77a141d7e03f8a39a0156dc6d067bac00d7f13f5"
"Poudre Fire Authority","Poudre Fire Authority","Battalion Chief II - 40 Hr/Wk","129361.38","68","49297264d0233e06dbf43f5f220faebdc16d651f"
"Utility Services","Utilities Customer Connections","Deputy Director, Utilities","128473.859999999","69","75305cb04a6bc54218429a97512d03eb284c39b6"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 40 Hr/Wk","128077.66","70","908581cd0b6ae2c861c959e078cd5e5b64186163"
"Poudre Fire Authority","Poudre Fire Authority","Training Captain - 40 Hr/Wk","127888.6","71","6beac5149daa7f8e6af1382f4541c90def31a820"
"Financial Services","Accounting and Treasury","Director, Accounting","127573.38","72","2b14f3951f3fa87d7230a0ed6a4e05b1124c480d"
"Planning, Dev & Transportation","Engineering","City Engineer","127331.4","73","9d0b0a918a937e5728c8c84fa4a4ee69634f1b8e"
"Utility Services","Ut Water UTL Engineering Div","Deputy Director, Utilities","127236.619999999","74","3ab05dbafc0a7c81e291d39f9b4c10a4f85deca4"
"Information & Employee Svcs","Information Technology","Architect, IT Security","127218.83","75","40a5814d1ca2bec439f79e60617db2d3f3acd78d"
"Police Services","Special Operations","Police Sergeant","127091.95","76","1b143dd2f930c12066aa95abcb0664ebcd435012"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","126136.93","77","0e592cc0fe2401435ebde87ae11bbf0942974ec8"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Deputy Director, PDT","126065.96","78","3b64050acfaed70bf6748cee6fdc25ca976e5f8e"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","126024.22","79","68a297a79d43c23a709cfa1d47ff40ad90f74032"
"Financial Services","Finance Administration","Director, City Give","125000.0","80","f215c636bcd11b93fb01b74d10935492778229d2"
"Police Services","Special Operations","Police Officer","124883.33","81","c7c981c043ad78ef799a41e53273972b5ba574c7"
"Sustainability Services","Economic Health Office","Dir, Economic Sustainability","124526.500000001","82","ebf0812c1563c815071791a88a11743b3ba646dd"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","123985.1","83","5e85eacdc8c92c02a084846c34352c2d73679950"
"Police Services","Patrol","Police Sergeant","123727.55","84","f6652f479928ce3a1741d81d829fdc8c2aca1ec6"
"Planning, Dev & Transportation","Traffic","City Traffic Engineer","123492.76","85","78cb273ccbc98602cea1deacc4d6e91f0d1e06a1"
"Police Services","Patrol","Police Sergeant","123491.14","86","dee1ba38e50b4da257ad40eead185b54289da58d"
"Police Services","Investigations","Police Sergeant","123210.4","87","c7eddc0f7e784426a9dd1257789c9ca65d8c6074"
"Utility Services","Ut Water UTL Engineering Div","Director, Civil Engineering","122988.66","88","f9acc9aa570f62ae077b0c9bf44ff1e4bec2842e"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","122874.27","89","2f945daa07aaef0598bc85cc58d96cbb1667d3fb"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","122300.93","90","a4c86632c302076307055837e75e3d83c934d3a7"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","122044.11","91","0f7980b7e51767a46e5afbcc8ffc46827efdd624"
"Utility Services","L&P Electric Field Services","Line Crew Chief","122015.369999999","92","fdc1601376613d8d41eec4ee1d76bcb84163b234"
"Legal Services","City Attorney's Office","Assistant City Attorney II","121561.12","93","8c3832a2c8afce00ae4b09aeafea216121fc0ba1"
"Police Services","Investigations","Police Officer","121402.03","94","ee64890f7f602ef2f4d74671050209d7ea8147f5"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","121049.21","95","c4d5e928dbecdd5f812d20e8194a81bf7d1873f8"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","120873.69","96","99d920a3debafc810542c2090053218ee6fb573a"
"Police Services","Special Operations","Police Sergeant","120713.05","97","f26cfbfbf2fdaf7aa7952d8504a023768695a475"
"Police Services","Patrol","Police Officer","120490.09","98","c3672afaa672eb6224e4476a79e8854a0b00d71e"
"Police Services","Investigations","Police Officer","120370.92","99","4034f8226fc6f30a17cb7449eec8727cf0f569c4"
"Poudre Fire Authority","Poudre Fire Authority","Training Captain - 40 Hr/Wk","120296.53","100","88f35574ecb670ae4f355a1fc6521cf78692feb3"
"Planning, Dev & Transportation","Transfort / Parking Services","Director, Transit","120014.88","101","03dbe3fdff5d0100006225fcebe76fe03386c1e0"
"Executive Services","City Manager's Office","Sr Assist City Manager-Inactiv","119871.74","102","768b223a54eaab2d455161be0c69a990b543a6ab"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","119676.52","103","dc02b2432fa84cb945e56621faa3de92a0c9ef86"
"Police Services","Patrol","Police Corporal","119419.29","104","cc94bea124c0f5574d617d919a6106c8c006ad1f"
"Utility Services","L&P Electric Field Services","Manager, Elec Distr Hi Voltage","119364.920000001","105","52f3a8dd59b88d19a7826478ae8d3cd09e1ef399"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","119250.93","106","8b291b87681812756f2a95d74fd5b3104cd2b75c"
"Financial Services","Purchasing","Director, Purchasing","119096.980000001","107","b7351bebda337bbe3af0e3a8cecc68e64bb4bc98"
"Planning, Dev & Transportation","Streets","Dir, Transportation Operations","118930.979999999","108","a45f1cb5c580821223822216987f7ec5078fcef5"
"Information & Employee Svcs","Information Technology","Sr Administrator, Database","118921.800000001","109","70659385f1adce6a4547df21b673f30daaf98dd7"
"Police Services","Investigations","Police Officer","118920.61","110","8cf7ff2455f157134c23372899a941915144569b"
"Legal Services","City Attorney's Office","Sr Assistant City Attorney","118914.94","111","943e941792091696b8de85bd2d867d3ee7185f12"
"Utility Services","Broadband","Sr Manager, Network Engineerng","118907.32","112","8a147da04573e78fbc767c589c054d109fd33387"
"Utility Services","L&P Electric Field Services","Dir, Electric Distribution","118557.599999999","113","55d2f24cfaa2e20b75bd57c850130566287720b0"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","118496.5","114","5b8f868852f3a019dccd4d6074673ab1465a9c95"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","118468.02","115","e6e935148e1f35d8f61f8ab18397874d5246bff1"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter 40 Hour (Special)","118428.96","116","a766dc21016f00e3ddf76e615cb522238704000c"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","118170.38","117","f50e8254b00236e1ca04c05ae41c3e561f246b55"
"Community Services","Cultural Services","Director, Cultural Services","118014.96","118","0dcc7952b19cc1e20f709f8ae38325964ddd8b46"
"Poudre Fire Authority","Poudre Fire Authority","Division Chief","117712.28","119","ff5c7e972539416d6731c6fc7c7211c6de6359dc"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","117610.85","120","57e74cc268eda09e041dc2fde35a051377ca6754"
"Information & Employee Svcs","Operation Services","Sr Manager, Facilities & Fleet","117527.74","121","ed68fca9725b50aca8e08f39def028e3bd679ee1"
"Police Services","Investigations","Police Officer","117184.11","122","3b2fe58a9739bce1c9bc33aeb8efe2365b0d75ae"
"Police Services","Special Operations","Police Officer","116878.9900000002","123","4aa58a6880fe5c01f94adb5db5023b80780e0ad9"
"Judicial Services","Municipal Court","Chief Judge","116853.08","124","6339c27e8b37313e015c1c3f36154abe73c79255"
"Poudre Fire Authority","Poudre Fire Authority","IT Manager","116834.99","125","405fed45fed42f59487b10b7525e1aa4db54e93b"
"Community Services","Natural Areas","Deputy Dir, Community Services","116733.48","126","eb00b939f6700acfa2c1788f790898d9f6e6916e"
"Information & Employee Svcs","Human Resources","Sr Manager, Compensation","116647.66","127","5c23e24f4c890054acce9cc3cef8645e50b30abe"
"Police Services","Investigations","Police Officer","116641.86","128","a4c8ad5c46bc6a0cdf0c0450fa119a5dea3934b4"
"Utility Services","Ut Water Production Div","Director, Plant Operations","116448.26","129","119d466d9621d1e5359f4e2259fa48ab52329290"
"Poudre Fire Authority","Poudre Fire Authority","Captain II - 40 Hr/Wk","116013.77","130","44f3f4a557e5f8d0c43305c682d3d19bff01b2d9"
"Utility Services","L&P Operations & Technology","Electrical Engineer III","116010.86","131","6b709bf172eca0baf3d29e76ac4fcf8348d0f51d"
"Sustainability Services","Environmental Services","Dir, Environ Sustainability","115806.4","132","fbcd33354f6b1dd6ee6f29dbc5d6019bd11ed10e"
"Police Services","Patrol","Police Officer","115697.23","133","f91866193e691c933fa3be125bff70405ee90bd9"
"Community Services","Park Planning & Development","Director, Park Planning","115329.719999999","134","e4722ae10065242cd87fbf7a1f7bff47cd0c4f24"
"Police Services","Patrol","Police Officer","115313.97","135","123ea0181563a625b7ccd35125c92d66c760282b"
"Poudre Fire Authority","Poudre Fire Authority","Captain II - 40 Hr/Wk","115163.73","136","13cdeb65ce5fc12cfc2b56d813fb0fa35844b014"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","114950.15","137","3da992e5918db9a17e46d76ce3b72dcb48f0f4e2"
"Police Services","Investigations","Police Officer","114901.6","138","e1040090fdea4dc065df26fa125907b82a27837a"
"Utility Services","L&P Operations & Technology","Substation Elec/Comm Spec","114635.879999999","139","df6ea6fe1346ec6080704152d8a44822cff2e13c"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter 40 Hour (Special)","114556.99","140","9ded7eacd7c508dc38dfea18eeba3c2851046c17"
"Police Services","Patrol","Police Officer","114464.58","141","bedcfe9e5c7fb212b8a3e2908bfa44db6871fc42"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Director, Plant Operations","114343.400000001","142","e78cb9a307bda3e92e7a11ecbfeeb45c9107f0a9"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","114309.62","143","215c94a93c8591070fb11b224754564fa273f829"
"Utility Services","Ut Distribution System Div","Director, Water Field Ops","114000.119999999","144","6be4741ecf7f45b815b3d65392907e9ebb4a493e"
"Police Services","Investigations","Police Officer","113951.42","145","7be39d9accfc52cdb0795fee8b994a04707a5fff"
"Information & Employee Svcs","Human Resources","Sr Manager, Benefits","113809.9","146","b37270bb83d1e79ae722967d78b9aa6b01e96867"
"Utility Services","Utilities Customer Connections","Sr Manager, Mechanical Engr","113710.76","147","b61a45ff8099c1099bf10148b4ca326b1edac010"
"Information & Employee Svcs","Information Technology","Manager, Applications Software","113587.24","148","7d9e82edd4741879eabf9ef5098b8a91a9b55377"
"Utility Services","L&P Electric Field Services","Electric Lineworker","113542.8","149","cab131b35d8700826d62427c508c98bc43d845ce"
"Police Services","Special Operations","Police Officer","112926.8","150","8bb20e868c463dd162b6b4dd1614c8e10fb3f5b2"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","112852.96","151","301d24a293cc2189f1e59a7ec0a11b891af9521a"
"Police Services","Patrol","Police Sergeant","112843.41","152","9909d908fd062105470ab8670322c6e82ddddac8"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","112789.02","153","7ae55ac253d46146140a067bf3cf721255dedc5f"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","112762.79","154","d37e1ac331e8b0d76b789f67b14154ef6ea24862"
"Utility Services","Ut Water Resources Div","Sr Manager, Water Engineering","112747.98","155","0feac96cfb2fce957ece06209dc5fcd11c75cb09"
"Information & Employee Svcs","Information Technology","Sr Manager, Technology","112650.54","156","1d9ccb1d02b283d6819ef72db4e59b413280f1f9"
"Police Services","Patrol","Police Corporal","112221.32","157","18f07c92f689e87bd798437ab5c34420ff76ba13"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","112172.78","158","e1b77330a1850b579b381435aba1950186d3fa04"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","112164.89","159","913de1025026213a08e4d3ee42569295e599abb4"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","112141.45","160","136527c4455a322b01b64f32114e01a49bce01e1"
"Information & Employee Svcs","Information Technology","Sr Manager, Apps Software","112016.32","161","b8d0a18a67f812b1ed1b134f558e1308f137b172"
"Utility Services","L&P Operations & Technology","Sr Supervisor, Electric Dist","111951.63","162","6e2e9559ad484a397185a5c9392f4d237a936e3e"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","111880.04","163","a70a30d6bb108daed8cfc74c323c2f0bdedd02c3"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","111817.75","164","8c88101de46328aa41cdf48fa0ffb2aa723647c8"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","111809.64","165","b46345db889810e33bcf92ce39b82826d33f04ef"
"Utility Services","L&P Electric Field Services","Manager, Elec Distr Hi Voltage","111797.059999999","166","ac690c38bfdbeb6644e2e0feb6e45d55a859e383"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","111709.71","167","cf20063060c5fa171da980d8292796be867701db"
"Police Services","Police Administration","Police Officer","111632.71","168","75443431a5929a1d0c17d80e05e8214f67c0a42f"
"Police Services","Patrol","Police Corporal","111377.94","169","0fbb95563abbb9e8b4580a4718398319ccf1d147"
"Police Services","Investigations","Police Officer","111235.11","170","7bcd2da56415226e29c06837035769b58d41e407"
"Police Services","Police Administration","Police Officer","111225.49","171","45b359316bcc4a53af790e4199e5d78fcc748762"
"Sustainability Services","Social Sustainability","Dir, Social Sustainability","111071.02","172","952a78077e5ddbf333666e25b322a51e63953d53"
"Financial Services","Budget","Director, Budget","111035.68","173","93381a00f4b3e77a4464eadf58abd63f13375721"
"Police Services","Patrol","Police Officer","110894.32","174","dde3f11297716b036db82e8bd77d7078f5b309a5"
"Police Services","Patrol","Police Officer","110879.93","175","9351c870f1a9cbeef1ab9e2e43adb07344323d5c"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","110790.72","176","fdbc8cd8ba6eae84861078c5f0d7ed5be57e7c1c"
"Utility Services","Ut Water Quality Services Div","Director, Sciences","110729.86","177","d1ad73a518fa28784009f48aa57402509dda37e0"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","110599.39","178","bf66fcc9a11894f0b4a3e1a736ba41c70ac5de22"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","110495.45","179","fccbacb6cc744c91569c8b61f9d63fdb3dced475"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","110489.74","180","4009753bcd13624f5fc7024e650833e55f1c41c5"
"Planning, Dev & Transportation","Streets","Sr Manager, Civil Engineering","110408.92","181","04749418ff6e170efaa6ffd83eabfa1d174da7d8"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","110353.55","182","cbbf43cc19601c72afe04b194283d42c005b6a21"
"Community Services","Recreation","Director, Recreation","110195.32","183","b6fad09354497747e9225075fbacb6ac3d4fa165"
"Police Services","Special Operations","Police Officer","110175.08","184","ade1513b73bbf82678623cf235a3d68ef99a66fd"
"Police Services","Patrol","Police Officer","110098.26","185","0f79c9f269ac7b31b913096c1e5a8585ae8cebd3"
"Poudre Fire Authority","Poudre Fire Authority","Captain II - 40 Hr/Wk","110057.43","186","929613b6b8e291d1e3f6db00f9d383cb19828082"
"Police Services","Patrol","Police Officer","110030.33","187","1e89bf33dba16aa7f31e1d491dd9f0c802bf3236"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","109890.37","188","d28e90d51d9869b6a84233f8eda947b424276e02"
"Police Services","Special Operations","Police Officer","109880.4","189","50ed149d4b7529511d65218265e612ff730c021c"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","109803.09","190","9481a3eb5b3c18e9475e08b2235e410b261ac0c3"
"Information & Employee Svcs","Information Technology","Sr Engineer, Network","109799.92","191","a45f8f97b451cfa96930525d34a73530f2cd19ab"
"Community Services","Parks","Director, Parks","109795.96","192","65faf7cb18917bd1c7b0685eda771b4aa95037c2"
"Information & Employee Svcs","Information Technology","Chief Information Officer","109633.79","193","a1b9afb6f4c4d21df254a3ea5969c8f26d4f1f46"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","109610.88","194","c1ba6fae7981701292e42b114ac2dcea415fdb7d"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","109582.99","195","963d1c8f6d2cb48f4d01ee11f0afacb09431d302"
"Police Services","Patrol","Police Corporal","109581.42","196","195fefb23dc167e1d89245cecb972dda65555434"
"Police Services","Special Operations","Police Officer","109560.03000000009","197","9d426d9d736524b7c0151e14357070f53f60eea7"
"Police Services","Special Operations","Police Officer","109496.1600000001","198","3c66f4c37ed0ea1ad7f964dcf073ae0d18b6845a"
"Poudre Fire Authority","Poudre Fire Authority","Community Safety Spec-56 Hr/Wk","109489.89","199","f5006a02a827be93a9f7d997304bedf758dab2b0"
"Police Services","Investigations","Police Officer","109300.59","200","8382814b52abdb9c9f9028bb23ca4d5f35ed346d"
"Utility Services","L&P Electric Field Services","Electric Lineworker","109275.24","201","c828bb4a07699df2e26b513cddfe3dc86abc14cd"
"Information & Employee Svcs","Information Technology","Manager, Apps Software Dev","109162.64","202","66dc9d280224340d49647e7bbeb7788d64a2de67"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","109114.08","203","d220dd40cdc97b8fb8b950955f0986fb8231c3f4"
"Library District","Library District","Deputy Director","108863.72","204","d70d02795ccc20aa4f8e57453e36e5f4a39e6d4a"
"Information & Employee Svcs","Information Technology","Sr Analyst, Apps Software Dev","108854.04","205","b6811abdae63a2d1a46440b0fc6c7609c2e80ba9"
"Utility Services","Ut Enviro Regulatory Affairs","Sr Manager, Sciences","108829.48","206","5ebe9a684da896e866ac72556699c5de23e012ed"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","108759.8","207","4787c58d088da048082ba48379fcbce21de52279"
"Executive Services","City Clerk's Office","City Clerk","108666.76","208","a0470a36bc76b06bd2d14996683e80f721cf9d29"
"Utility Services","L&P Electrical Engineering","Manager, Technical Proj Mgmt","108666.46","209","8f3d609a0f453a8720a29960e5b9d6864e378dde"
"Information & Employee Svcs","Comm. & Public Involvement","Director, Communications","108535.8","210","27f570cb621fd0389d3c2fa6e725543e75f8ef3b"
"Legal Services","City Attorney's Office","Assistant City Attorney II","108362.28","211","70b9be2173fcad853695d4766e8e3618330301d7"
"Police Services","Patrol","Police Officer","108273.17","212","024c1ec7ef552162eb18f3bccd1951e54b2d142d"
"Poudre Fire Authority","Poudre Fire Authority","Captain I - 56 Hr/Wk","108171.86","213","f4f2ea03bba7cd57dae25572420b425d2bd31fda"
"Police Services","Patrol","Police Corporal","108030.61","214","1e89682e79779c56d06673d76f7f1479240d3b1d"
