"job_title","service_area","department","annual_salary_or_hourly_rate","pay_type","meta_row_index","meta_row_id"
"Sr Assistant City Attorney","Legal Services","City Attorney's Office","145976.97","Annual Salary","26","887b78f3203603f01e825b96845cb96e170224ed"
"Deputy Director, PDT","Planning, Dev & Transportation","PDT Administration","144921.92","Annual Salary","27","bd4accd8e009af5dc2cbb612ceed447d51a5fa40"
"Deputy Director, Utilities","Utility Services","Ut Water UTL Engineering Div","142161.0","Annual Salary","28","81b89d05298721f58a47697f425046b3e23c6639"
"Director, City Give","Financial Services","Finance Administration","140400.0","Annual Salary","29","c34aa2e9b6668c5cb4bb4c7d5698cca7c090325b"
"Police Lieutenant","Police Services","Patrol","140336.0","Annual Salary","30","18ebb17db11cf0c3bc070c7edbf73c613cb50cf5"
"Police Lieutenant","Police Services","Special Operations","140336.0","Annual Salary","31","7a41346f277a5087f8bbbe944bbe45beeaf5c896"
"Police Lieutenant","Police Services","Special Operations","140336.0","Annual Salary","32","7a41346f277a5087f8bbbe944bbe45beeaf5c896"
"Police Lieutenant","Police Services","Police Administration","140336.0","Annual Salary","33","43f3f5590c32c5c0fc010914d5d52043d531322c"
"Police Lieutenant","Police Services","Police Administration","140336.0","Annual Salary","34","43f3f5590c32c5c0fc010914d5d52043d531322c"
"Police Lieutenant","Police Services","Investigations","140336.0","Annual Salary","35","9bc6f0f81256f223c47d48a8952e106e6fd5cfcd"
"Police Lieutenant","Police Services","Special Operations","140336.0","Annual Salary","36","7a41346f277a5087f8bbbe944bbe45beeaf5c896"
"Police Lieutenant","Police Services","Investigations","140336.0","Annual Salary","37","9bc6f0f81256f223c47d48a8952e106e6fd5cfcd"
"Police Lieutenant","Police Services","Patrol","140336.0","Annual Salary","38","18ebb17db11cf0c3bc070c7edbf73c613cb50cf5"
"Director, Elec Engineering","Utility Services","L&P Electrical Engineering","140294.12","Annual Salary","39","0a9f975d804a6e73e8d119676c75afe0135ffe37"
"City Clerk","Executive Services","City Clerk's Office","140000.0","Annual Salary","40","5bc210e97565f5c2a47d4795d12cd4a2ca88f7ce"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","139022.0","Annual Salary","41","b8d6eedc1454128f7b2cea6052ed4bbb4ffef6e0"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","139022.0","Annual Salary","42","b8d6eedc1454128f7b2cea6052ed4bbb4ffef6e0"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","139022.0","Annual Salary","43","b8d6eedc1454128f7b2cea6052ed4bbb4ffef6e0"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","139022.0","Annual Salary","44","b8d6eedc1454128f7b2cea6052ed4bbb4ffef6e0"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","139022.0","Annual Salary","45","b8d6eedc1454128f7b2cea6052ed4bbb4ffef6e0"
"Director, Information Services","Police Services","Police Information Services","139000.0","Annual Salary","46","738a7ffe83e5dcba1923b454a94183034d1dd0eb"
"Director, Facilities & Fleet","Information & Employee Svcs","Operation Services","137681.68","Annual Salary","47","0d7277088d0952fef8e538cfd2a6cdfaa8c71782"
"Director, FP&A","Utility Services","Utility Financial Operations","137217.76","Annual Salary","48","e319ac8a227a93f54db1a1c651e8fcdf7f14d95f"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","136656.0","Annual Salary","49","bd28f4418b854c2ab28153e828048808f28926f5"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","136656.0","Annual Salary","50","bd28f4418b854c2ab28153e828048808f28926f5"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","136656.0","Annual Salary","51","bd28f4418b854c2ab28153e828048808f28926f5"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","136656.0","Annual Salary","52","bd28f4418b854c2ab28153e828048808f28926f5"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","136656.0","Annual Salary","53","bd28f4418b854c2ab28153e828048808f28926f5"
"Sr Manager, Emergency Comms","Police Services","Police Information Services","135010.0","Annual Salary","54","a9f548c51fa1d754a1d4d7c26095ebfdee1e707d"
"Deputy Director, PDT","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","135000.0","Annual Salary","55","f52c833f56ea85a26f4f32f7670b9110b0a126c8"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","133484.0","Annual Salary","56","fb657af12eca4982d062c61c4be62b53c6b1291d"
"Sr Assistant City Attorney","Legal Services","City Attorney's Office","133455.4","Annual Salary","57","bf2ae4cae7453cc9bbe8e87cab6d7f73c772cf73"
"Sr Manager, HRIS","Information & Employee Svcs","Human Resources","133000.0","Annual Salary","58","dcf3df18eb6c41e16f101f6a978740b49ac62d0b"
"Director, Human Resources","Information & Employee Svcs","Human Resources","132999.88","Annual Salary","59","30ee6272e4c470d202f064f643ce9ea764f96c64"
"Director, Elec Engineering","Utility Services","L&P Operations & Technology","132189.46","Annual Salary","60","9e13f2e4dfd6123bcc07e0ac0d4a46b7b8704b88"
"Dir, Electric Distribution","Utility Services","L&P Electric Field Services","131889.94","Annual Salary","61","466097267eb43585606ad402846c7781bed61764"
"Senior Human Resources Manager","Poudre Fire Authority","Poudre Fire Authority","131513.2","Annual Salary","62","b25285eccd2b96809b05a1d7912fae9b06dd2a4a"
"Sr Manager, Elec Engr","Utility Services","L&P Operations & Technology","131475.83","Annual Salary","63","47d460726cc6e73977c39cfc878fe1259bd0b472"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","131092.0","Annual Salary","64","c76c3c9275300fe2e454981fbc366a0af7604cdd"
"Director, Total Compensation","Information & Employee Svcs","Human Resources","130000.0","Annual Salary","65","46bad98aed40e69742361c002e71b163d223f304"
"City Engineer","Planning, Dev & Transportation","Engineering","130000.0","Annual Salary","66","e7ebdb4f35d4313cf83979b0989f9a920d1d5446"
"Director, Transit","Planning, Dev & Transportation","Transfort / Parking Services","129599.87","Annual Salary","67","f856a8cfe15eb142d31585f30d81a7b7c3860d78"
"Police Lieutenant","Police Services","Patrol","129292.0","Annual Salary","68","c3bdee737a7383bcb775c848051d988fc5437906"
"Police Lieutenant","Police Services","Patrol","129292.0","Annual Salary","69","c3bdee737a7383bcb775c848051d988fc5437906"
"Dir, Transportation Operations","Planning, Dev & Transportation","Streets","129122.26","Annual Salary","70","a537c7772ac05c942343bec1ee50f2693a2159ec"
"Dir, Economic Sustainability","Sustainability Services","Economic Health Office","128511.54","Annual Salary","71","ff8b4d6ec8ae814a0870d62167057f620a81ab75"
"Director, Water Field Ops","Utility Services","Ut Distribution System Div","127983.37","Annual Salary","72","8dc1c4f95fd646f9a7905a73b8e87f068386f2e0"
"Director, Plant Operations","Utility Services","Ut Wtr Reclama & Biosolids Div","127464.48","Annual Salary","73","71b4a30ac0356fb92bb647c061b3b02c4bc8896c"
"Assistant City Attorney II","Legal Services","City Attorney's Office","127402.03","Annual Salary","74","ad812b6e981a94f957b6ae93b947720a4058cbe8"
"Director, Natural Areas","Community Services","Natural Areas","126500.0","Annual Salary","75","02a9f8afb87f0aacbe45d6785ae566b2d087141f"
"Director, Plant Operations","Utility Services","Ut Water Production Div","126194.32","Annual Salary","76","5eef01ab2205303c7990fb7936a3360cfb7ddcf0"
"Director, Civil Engineering","Utility Services","Ut Water UTL Engineering Div","125708.41","Annual Salary","77","58be3447624f79e46f7e093480f2b347528a18c8"
"Director, Purchasing","Financial Services","Purchasing","125201.81","Annual Salary","78","59dc4850f220a2f9911627d3dd20cc6c1f8edc67"
"Director, Parks","Community Services","Parks","124789.34","Annual Salary","79","65febe75233c5967e5360323da4eadec708d778e"
"Architect, IT Security","Information & Employee Svcs","Information Technology","124467.21","Annual Salary","80","64704cf60a5ad1de449bf4605515c2dfd48cbf88"
"Director, Sciences","Utility Services","Ut Water Quality Services Div","124116.2","Annual Salary","81","58052da4bcd94cb8496f447241d65abfe4cf8937"
"Director, Civil Engineering","Utility Services","Ut Water Systems Engr Div","123599.84","Annual Salary","82","83bdbffd459a10270489f6d1bc06eb47f70765e5"
"Budget & Admin Manager","Poudre Fire Authority","Poudre Fire Authority","123448.0","Annual Salary","83","7e9e9944b18d105c283935c12f8b977d81b6666e"
"Sr Manager, Network Engineerng","Utility Services","Broadband","123188.0","Annual Salary","84","9f682ba87700fc9e65005b37ec207b578b98943f"
"IT Manager","Poudre Fire Authority","Poudre Fire Authority","123121.7","Annual Salary","85","80e83031a8bdcafa0ede8e922a336682dd62d00c"
"Sr Administrator, Database","Information & Employee Svcs","Information Technology","122731.21","Annual Salary","86","0f80eff2f2aca185d99a746725cefc1ee60559d6"
"Director, Cultural Services","Community Services","Cultural Services","122719.96","Annual Salary","87","df6123cf98674feb26dd8eb9cbf62b4ab2b753e3"
"Sr Manager, Facilities & Fleet","Information & Employee Svcs","Operation Services","122487.6","Annual Salary","88","ca779974ce2a2d4928229c59298602e531c5233e"
"Director, Civil Engineering","Planning, Dev & Transportation","Engineering","122000.0","Annual Salary","89","f604f9c11f73bdb01fbbae5b3fe25b8808225a31"
"Director, FP&A","Financial Services","Finance Administration","121680.0","Annual Salary","90","f6e9b583176f973df5ef2853a33646c98d2f6665"
"Director, Communications","Information & Employee Svcs","Comm. & Public Involvement","121312.1","Annual Salary","91","0d34389608a924b46714bf45f28fe4b816bf676a"
"Director, Park Planning","Community Services","Park Planning & Development","120224.47","Annual Salary","92","249ac23bef2574ee886fa249dd0702c2572169ae"
"Assistant City Attorney II","Legal Services","City Attorney's Office","120000.0","Annual Salary","93","60155bcf80cfadac6f20f30a68d83980b4387653"
"Electrical Engineer III","Utility Services","L&P Electrical Engineering","119588.53","Annual Salary","94","a4c71a5d1c97aeecc226adc846e5ed4474e62998"
"Police Sergeant","Police Services","Police Administration","118612.0","Annual Salary","95","3fda9dfa79d9bb631ba42a2b55ba5a9c90f49197"
"Police Sergeant","Police Services","Police Administration","118612.0","Annual Salary","96","3fda9dfa79d9bb631ba42a2b55ba5a9c90f49197"
"Police Sergeant","Police Services","Patrol","118612.0","Annual Salary","97","6d944c2901d3c516810f6a8e110cc16fc22e42a8"
"Police Sergeant","Police Services","Special Operations","118612.0","Annual Salary","98","566e60c97387399406c555edb275ace99ba90f40"
"Police Sergeant","Police Services","Investigations","118612.0","Annual Salary","99","1557247bee89fe9bb332245bdfa51b34f10dcc5c"
"Police Sergeant","Police Services","Police Administration","118612.0","Annual Salary","100","3fda9dfa79d9bb631ba42a2b55ba5a9c90f49197"
"Police Sergeant","Police Services","Special Operations","118612.0","Annual Salary","101","566e60c97387399406c555edb275ace99ba90f40"
"Police Sergeant","Police Services","Patrol","118612.0","Annual Salary","102","6d944c2901d3c516810f6a8e110cc16fc22e42a8"
"Police Sergeant","Police Services","Special Operations","118612.0","Annual Salary","103","566e60c97387399406c555edb275ace99ba90f40"
"Police Sergeant","Police Services","Special Operations","118612.0","Annual Salary","104","566e60c97387399406c555edb275ace99ba90f40"
"Police Sergeant","Police Services","Investigations","118612.0","Annual Salary","105","1557247bee89fe9bb332245bdfa51b34f10dcc5c"
"Police Sergeant","Police Services","Special Operations","118612.0","Annual Salary","106","566e60c97387399406c555edb275ace99ba90f40"
"Police Sergeant","Police Services","Patrol","118612.0","Annual Salary","107","6d944c2901d3c516810f6a8e110cc16fc22e42a8"
"Police Sergeant","Police Services","Investigations","118612.0","Annual Salary","108","1557247bee89fe9bb332245bdfa51b34f10dcc5c"
"Police Sergeant","Police Services","Patrol","118612.0","Annual Salary","109","6d944c2901d3c516810f6a8e110cc16fc22e42a8"
"Police Sergeant","Police Services","Investigations","118612.0","Annual Salary","110","1557247bee89fe9bb332245bdfa51b34f10dcc5c"
"Police Sergeant","Police Services","Patrol","118612.0","Annual Salary","111","6d944c2901d3c516810f6a8e110cc16fc22e42a8"
"Police Sergeant","Police Services","Investigations","118612.0","Annual Salary","112","1557247bee89fe9bb332245bdfa51b34f10dcc5c"
"Police Sergeant","Police Services","Patrol","118612.0","Annual Salary","113","6d944c2901d3c516810f6a8e110cc16fc22e42a8"
"Police Sergeant","Police Services","Special Operations","118612.0","Annual Salary","114","566e60c97387399406c555edb275ace99ba90f40"
"Police Sergeant","Police Services","Patrol","118612.0","Annual Salary","115","6d944c2901d3c516810f6a8e110cc16fc22e42a8"
"Police Sergeant","Police Services","Patrol","118612.0","Annual Salary","116","6d944c2901d3c516810f6a8e110cc16fc22e42a8"
"Police Sergeant","Police Services","Special Operations","118612.0","Annual Salary","117","566e60c97387399406c555edb275ace99ba90f40"
"Manager, Elec Distr Hi Voltage","Utility Services","L&P Electric Field Services","118258.27","Annual Salary","118","722033c2e7dcef9ddbba0749b40d7a9a993d330d"
"Sr Manager, Technology","Information & Employee Svcs","Information Technology","118000.0","Annual Salary","119","ae632c8c6d5ff8b3384628a2e9c9662910305a51"
"Dir, Environ Sustainability","Sustainability Services","Environmental Services","118000.0","Annual Salary","120","3a021c93ffc5d434025447da3c4e14f220a8dea8"
"Dir, Social Sustainability","Sustainability Services","Social Sustainability","117624.46","Annual Salary","121","c5dfc05079441ad4f42540640d3cb7b516942d18"
"Sr Manager, Technology","Information & Employee Svcs","Information Technology","117000.0","Annual Salary","122","777144e6fe1239bd8f37cda30d7478fa5cdfd4f5"
"Sr Manager, Traffic Engr","Planning, Dev & Transportation","Traffic","117000.0","Annual Salary","123","3d6a292b3f2f017104f460f338966e7239cd5630"
"Sr Manager, Apps Software","Information & Employee Svcs","Information Technology","116702.47","Annual Salary","124","8eea31000b3ce5afdb576d7128404582a713e9eb"
"Sr Manager, Mechanical Engr","Utility Services","Utilities Customer Connections","116678.69","Annual Salary","125","3d320f394579a2f3cc8f8386b41043a925636bc5"
"Director, Budget","Financial Services","Budget","116298.31","Annual Salary","126","3f6faa9c0e0ae0759dce38b511c552c7037a1aef"
"Sr Engineer, Network","Utility Services","Broadband","115440.0","Annual Salary","127","a6f3ea37d87b21e13a2b9a319e6f1fe1a1bd777a"
"Manager, Elec Distr Hi Voltage","Utility Services","L&P Electric Field Services","115000.0","Annual Salary","128","5b8e052ae5e4df4235bccda3705c4454bf936afd"
"Sr Manager, Civil Engineering","Planning, Dev & Transportation","Streets","113872.88","Annual Salary","129","9796680a16740c93f9952063c7c885de56622746"
"Library Director","Library District","Library District","113770.92","Annual Salary","130","0385aeffb5f647cef946ade814c0e8e7a85783a8"
"Electrical Engineer III","Utility Services","L&P Operations & Technology","113268.48","Annual Salary","131","7967705b7a73a9578ff821773c3c80fbe36976c0"
"Captain I - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","113100.0","Annual Salary","132","9e11acc54cce1e6caeaaa2e138b351b48045ff04"
"Captain II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","113100.0","Annual Salary","133","4d3b3a5a501ba08f7001fe747e6a8b1bd76a373b"
"Captain II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","113100.0","Annual Salary","134","4d3b3a5a501ba08f7001fe747e6a8b1bd76a373b"
"Captain II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","113100.0","Annual Salary","135","4d3b3a5a501ba08f7001fe747e6a8b1bd76a373b"
"Captain II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","113100.0","Annual Salary","136","4d3b3a5a501ba08f7001fe747e6a8b1bd76a373b"
"Captain II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","113100.0","Annual Salary","137","4d3b3a5a501ba08f7001fe747e6a8b1bd76a373b"
"Training Captain - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","113100.0","Annual Salary","138","bca504fd2aad78a2ed188c21419832062fe3eb94"
"Training Captain - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","113100.0","Annual Salary","139","bca504fd2aad78a2ed188c21419832062fe3eb94"
"Assistant City Attorney II","Legal Services","City Attorney's Office","112999.85","Annual Salary","140","29defdd89c75cf773df7a47bfa90992b74c4db59"
"Manager, Apps Software Dev","Information & Employee Svcs","Information Technology","112658.18","Annual Salary","141","fe2011e50a983bea732f07b38452d58fed240080"
"Manager, Civil Engineering","Planning, Dev & Transportation","Engineering","112476.0","Annual Salary","142","58f9f709fc671e8593eb0b0992bc46aaae627e59"
"Financial Analyst","Information & Employee Svcs","Operation Services","112320.0","Annual Salary","143","1ddde7f6d7ef4d2fb868fa4e41acb33467abf6af"
"Sr Analyst, Apps Software Dev","Information & Employee Svcs","Information Technology","112308.52","Annual Salary","144","7a86a004161b3a1206c69eaf1153e58c6cef44d3"
"Civil Engineer III","Planning, Dev & Transportation","Engineering","112000.0","Annual Salary","145","d3a35f52c27b32b6da0ed08b907188d9da78a4c4"
"Substation Elec/Comm Spec","Utility Services","L&P Operations & Technology","111963.0","Annual Salary","146","9a5b5940a20af1b927515efc9c66f0cbcc4c02ce"
"Manager, Technical Proj Mgmt","Utility Services","L&P Electrical Engineering","111300.0","Annual Salary","147","c4b21094fdc0b6154e109aa2f9990a1d06b17500"
"Sr Manager, Information Svcs","Police Services","Police Information Services","111129.46","Annual Salary","148","b6acfe2739083ba5a205584b444ced1c34426907"
"Manager, Systems Admin","Utility Services","Ut Process & Supervis Cntr Div","110240.0","Annual Salary","149","7d016ec67ace81b53e6d38c78287f049a434eaf1"
"Civil Engineer III","Utility Services","Ut Water Resources Div","109557.14","Annual Salary","150","27717a1de3aa82ff1252b68dff551980624977cc"
"Manager, Water Util Dev Review","Utility Services","Ut Water UTL Engineering Div","109500.0","Annual Salary","151","6644aba2c0626beeeaac596c39d0b035a5011c7e"
"Manager, Civil Engineering","Planning, Dev & Transportation","Streets","109348.02","Annual Salary","152","9537bf5c8d41171522d552dfa497601a2d508d91"
"Sr Supervisor, Mechanical Engr","Utility Services","Utilities Customer Connections","109302.38","Annual Salary","153","28938bd3621b45310e6ddf1fb97cbe73a9b01312"
"Lead Sr Facilities Project Mgr","Information & Employee Svcs","Operation Services","109200.23","Annual Salary","154","7c2787a3127295532f55dab016f35eb6dfb93266"
"Civil Engineer III","Planning, Dev & Transportation","Engineering","109059.24","Annual Salary","155","129b25dab33675a584d78d62a4b7a889e9aa3648"
"Director, Accounting","Financial Services","Accounting and Treasury","108000.0","Annual Salary","156","797ba6365b4d938c032d2617568741c860ee3ca6"
"Sr Manager, City Planning","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","108000.0","Annual Salary","157","4e3f383d5dd590250c259a690e6b5e07b5021a63"
"Sr Manager, Transit","Planning, Dev & Transportation","Transfort / Parking Services","107952.26","Annual Salary","158","10a21dc63a83d66709d724d1aaec652794c58bda"
"Civil Engineer III","Utility Services","Ut Water Systems Engr Div","107777.33","Annual Salary","159","d1aa4196f6a92ceb260729e1c99f2c96145c7591"
"Manager, Applications Software","Information & Employee Svcs","Information Technology","107672.5","Annual Salary","160","50418505b0bd31cdf4d67dfdcfdb13c1b5850614"
"Manager, Traffic Engineering","Planning, Dev & Transportation","Traffic","107555.86","Annual Salary","161","e60bad4270288454f2ee3d9bc8da1709a2a7d3e3"
"Civil Engineer III","Utility Services","Ut Water UTL Engineering Div","107515.1","Annual Salary","162","f2cc60cd036e447b91f5b13e77a999837624f87f"
"Assistant City Attorney II","Legal Services","City Attorney's Office","107431.89","Annual Salary","163","39eef5e19f1dc7b0565b01bddfdacd8be2c93b3e"
"Civil Engineer III","Utility Services","Ut Water Systems Engr Div","107222.23","Annual Salary","164","5997c014af151f78dd1487626f38e0e7a53cc131"
"Sr Manager, Transportation Pln","Planning, Dev & Transportation","FC Moves","107000.0","Annual Salary","165","94527f6ce1c8fcc413462019664e94844c467c56"
"Civil Engineer III","Utility Services","Ut Water Systems Engr Div","106702.24","Annual Salary","166","356e1045b22c6dd96f7cb8c44bda1f175aedb6e5"
"Civil Engineer III","Utility Services","Ut Water Systems Engr Div","106691.52","Annual Salary","167","ed8a7f1eddf3174fa8feb4b35338ea0deb8f25af"
"Civil Engineer III","Utility Services","Ut Water Systems Engr Div","106524.35","Annual Salary","168","adbc5c2fefc32821bb2a9b4b581497fe4934f072"
"Manager, GIS","Information & Employee Svcs","Information Technology","106520.44","Annual Salary","169","3b43f9181ac663e9c89a7d0fad0a9758b29a951f"
"Assistant City Attorney II","Legal Services","City Attorney's Office","106500.0","Annual Salary","170","7881d7014d36b3dd263dd0bb0cd302ce7ea8b7df"
"Sr Analyst, Apps Software","Information & Employee Svcs","Information Technology","106281.34","Annual Salary","171","9d43e1f9beb132e0426fd10093897d9be5e4ea40"
"Sr Administrator, Systems","Utility Services","Ut Process & Supervis Cntr Div","106278.56","Annual Salary","172","d4c1b43625b2393ea199c632ce951e108182e489"
"Civil Engineer III","Utility Services","Ut Water Systems Engr Div","106080.0","Annual Salary","173","def7b5a7e738b1997f0b66fa98739b8b5c1719f6"
"Sr Engineer, Network","Information & Employee Svcs","Information Technology","106015.96","Annual Salary","174","f6ad92239e9e56d7553023eda851d357061a8ab4"
"Water Engineer II","Utility Services","Ut Water Resources Div","105570.0","Annual Salary","175","ea51acb44e672d417905442802fb0a2de0d488df"
"Info & Tech Facilities Manager","Library District","Library District","105202.76","Annual Salary","176","b2f1c1afe063efb12d9d9c54c9d066cc4858cfd5"
"Sr Analyst, Apps Software","Information & Employee Svcs","Information Technology","105185.63","Annual Salary","177","7d43c342535985f9e5ea38746ce9b50403f6c6e3"
"Electrical Engineer III","Utility Services","L&P Electrical Engineering","105165.55","Annual Salary","178","ec9989c971774d60177f75d46f59b07bda33d942"
"Sr Analyst, Systems","Information & Employee Svcs","Information Technology","105112.21","Annual Salary","179","f81df7c33e6bf3e8d16a714779691942f9ea1462"
"Sr Technical Project Manager","Utility Services","L&P Operations & Technology","105000.86","Annual Salary","180","daf5936b1e0a5ad2caa365eec5af0e7daed100d4"
"Sr Analyst, Apps Software Dev","Information & Employee Svcs","Information Technology","105000.0","Annual Salary","181","a24497116f185207343d1e630704653bed313a93"
"Assistant City Attorney II","Legal Services","City Attorney's Office","105000.0","Annual Salary","182","c3bdb68a5c4750e192d97ea5e0bb3671314ee9bb"
"Sr Technical Project Manager","Utility Services","L&P Electrical Engineering","104961.47","Annual Salary","183","a273cf9818741f04e335de89d507c426582bb05e"
"Line Crew Chief","Utility Services","L&P Electric Field Services","104808.0","Annual Salary","184","e245c1da0ce7911377831a05a30160634127fd6f"
"Line Crew Chief","Utility Services","L&P Electric Field Services","104808.0","Annual Salary","185","e245c1da0ce7911377831a05a30160634127fd6f"
"Line Crew Chief","Utility Services","L&P Electric Field Services","104808.0","Annual Salary","186","e245c1da0ce7911377831a05a30160634127fd6f"
"Line Crew Chief","Utility Services","L&P Electric Field Services","104808.0","Annual Salary","187","e245c1da0ce7911377831a05a30160634127fd6f"
"Line Crew Chief","Utility Services","L&P Electric Field Services","104808.0","Annual Salary","188","e245c1da0ce7911377831a05a30160634127fd6f"
"Line Crew Chief","Utility Services","L&P Electric Field Services","104808.0","Annual Salary","189","e245c1da0ce7911377831a05a30160634127fd6f"
"Line Crew Chief","Utility Services","L&P Electric Field Services","104808.0","Annual Salary","190","e245c1da0ce7911377831a05a30160634127fd6f"
"Line Crew Chief","Utility Services","L&P Electric Field Services","104808.0","Annual Salary","191","e245c1da0ce7911377831a05a30160634127fd6f"
"Line Crew Chief","Utility Services","L&P Electric Field Services","104808.0","Annual Salary","192","e245c1da0ce7911377831a05a30160634127fd6f"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","193","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","194","37221e07940633573ae7f10022d483a3cfe85c8a"
"Captain I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","104754.0","Annual Salary","195","37221e07940633573ae7f10022d483a3cfe85c8a"
