"report_number","offense_id","offense_start_datetime","offense_end_datetime","report_datetime","group_a_b","crime_against_category","offense_parent_group","offense","offense_code","precinct","sector","beat","mcpp","_100_block_address","longitude","latitude"
"2020-039601","12600511715","2020-02-01T00:00:00.000",,"2020-02-01T19:01:47.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","S","S2","BRIGHTON/DUNLAP","51XX BLOCK OF S OTHELLO ST","-122.268774011","47.536980540"
"2020-039879","12600462705","2019-09-01T00:00:00.000","2020-02-01T00:00:00.000","2020-02-01T18:34:32.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","S","S","S2","BRIGHTON/DUNLAP","63XX BLOCK OF 39TH AVE S","-122.283336908","47.545663150"
"2020-039933","12600418886","2020-02-01T17:23:00.000",,"2020-02-01T18:15:47.000","A","PROPERTY","FRAUD OFFENSES","False Pretenses/Swindle/Confidence Game","26A","S","O","O2","GEORGETOWN","44XX BLOCK OF 4TH AVE S","-122.329368515","47.563804290"
"2020-039905","12600366898","2020-02-01T16:45:00.000","2020-02-01T17:00:00.000","2020-02-01T17:51:08.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M2","DOWNTOWN COMMERCIAL","4XX BLOCK OF PINE ST","-122.337320423","47.611321240"
"2020-039903","12600323740","2020-01-25T12:00:00.000","2020-02-01T16:15:00.000","2020-02-01T17:30:27.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","W","Q","Q1","MAGNOLIA","34XX BLOCK OF 22ND AVE W","-122.384674317","47.651239520"
"2020-039901","12600318228","2020-01-29T00:00:00.000",,"2020-02-01T17:26:24.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","N","L","L2","NORTHGATE","8XX BLOCK OF NE 106TH ST","-122.319889294","47.705844230"
"2020-039827","12600237486","2020-02-01T15:26:00.000",,"2020-02-01T16:56:41.000","A","PROPERTY","ROBBERY","Robbery","120","SW","W","W2","ALASKA JUNCTION","47XX BLOCK OF 42ND AVE SW","-122.385483507","47.560195550"
"2020-039705","12600220498","2020-01-31T10:55:00.000","2020-01-31T20:08:00.000","2020-02-01T16:47:04.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","Q","Q1","MAGNOLIA","26XX BLOCK OF W MARINA PL","-122.391970804","47.631039370"
"2020-039877","12600190076","2019-11-30T14:00:00.000","2019-11-30T15:00:00.000","2020-02-01T16:38:12.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","S","R","R3","HILLMAN CITY","S JUNEAU ST / RAINIER AVE S","-122.277134581","47.549703940"
"2020-039853","12600166212","2020-02-01T01:00:00.000","2020-02-01T03:50:00.000","2020-02-01T15:54:52.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","E","E2","CAPITOL HILL","16XX BLOCK OF BROADWAY","-122.320807897","47.615819310"
"2020-039751","12600066674","2020-02-01T14:13:00.000","2020-02-01T14:13:00.000","2020-02-01T15:35:47.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","E","E","E1","CAPITOL HILL","2XX BLOCK OF BROADWAY E","-122.320882286","47.620491800"
"2020-901585","12600010262","2020-02-01T00:20:00.000","2020-02-01T00:20:00.000","2020-02-01T15:22:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B2","FREMONT","N 34TH ST / PHINNEY AVE N","-122.354483670","47.650469150"
"2020-901584","12599988285","2020-01-31T09:50:00.000","2020-01-31T21:15:00.000","2020-02-01T15:14:08.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","M","M3","DOWNTOWN COMMERCIAL","15XX BLOCK OF 7TH AVE","-122.333808099","47.612103390"
"2020-039501","12599953888","2020-01-31T20:00:00.000","2020-02-01T06:00:00.000","2020-02-01T14:54:59.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","S","R","R1","NORTH BEACON HILL","25XX BLOCK OF 13TH AVE S","-122.316023350","47.580253060"
"2020-901580","12599935426","2020-02-01T11:25:00.000","2020-02-01T11:25:00.000","2020-02-01T14:52:39.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","K","K1","DOWNTOWN COMMERCIAL","5XX BLOCK OF MADISON ST","-122.331243552","47.606784800"
"2020-901579","12599935079","2020-01-31T17:00:00.000","2020-02-01T11:00:00.000","2020-02-01T14:52:28.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q2","QUEEN ANNE","16XX BLOCK OF TAYLOR AVE N","-122.345942425","47.633477460"
"2020-901578","12599934854","2020-01-31T21:40:00.000","2020-01-31T22:00:00.000","2020-02-01T14:52:17.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","F","F3","SOUTH DELRIDGE","92XX BLOCK OF 16TH AVE SW","-122.355134625","47.520114220"
"2020-039758","12599966522","2020-02-01T14:56:00.000",,"2020-02-01T14:43:59.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R2","MOUNT BAKER","S BAYVIEW ST / 31ST AVE S","-122.292998550","47.580964370"
"2020-901577","12599912062","2020-02-01T01:20:00.000","2020-02-01T02:30:00.000","2020-02-01T14:43:05.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q1","MAGNOLIA","32XX BLOCK OF 21ST AVE W","-122.383361499","47.649392410"
"2020-901576","12599909950","2020-01-31T08:00:00.000","2020-01-31T19:00:00.000","2020-02-01T14:42:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","E","E3","CAPITOL HILL","12XX BLOCK OF SUMMIT AVE","-122.324549777","47.612051170"
"2020-039708","12599913077","2020-02-01T01:32:00.000",,"2020-02-01T14:38:39.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R1","NORTH BEACON HILL","25XX BLOCK OF 13TH AVE S","-122.316023350","47.580253060"
"2020-039692","12599907305","2020-01-31T12:39:00.000","2020-01-31T12:39:00.000","2020-02-01T14:36:13.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","N","N","N2","NORTHGATE","138XX BLOCK OF 4TH AVE NE","-122.325422708","47.729195930"
"2020-901575","12599885807","2020-01-31T15:21:00.000","2020-01-31T18:15:00.000","2020-02-01T14:32:15.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","N","J","J2","BALLARD NORTH","75XX BLOCK OF 15TH AVE NW","-122.376783250","47.684148100"
"2020-039666","12599882069","2020-02-01T12:51:00.000",,"2020-02-01T14:24:09.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","E","C","C2","MILLER PARK","22XX BLOCK OF E THOMAS ST","-122.303040452","47.621378230"
"2020-901574","12599837328","2020-01-31T12:36:00.000","2020-02-01T08:20:00.000","2020-02-01T14:12:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","Q","Q2","QUEEN ANNE","15XX BLOCK OF TAYLOR AVE N","-122.345950527","47.632725390"
"2020-901573","12599815855","2020-01-31T20:00:00.000","2020-01-31T20:30:00.000","2020-02-01T14:03:58.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","SW","W","W2","ALASKA JUNCTION","36XX BLOCK OF SW SNOQUALMIE ST","-122.378112262","47.562035760"
"2020-039709","12599828328","2020-02-01T01:00:00.000","2020-02-01T13:00:00.000","2020-02-01T14:03:29.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","N","L","L1","NORTHGATE","115XX BLOCK OF PINEHURST WAY NE","-122.313996581","47.713079480"
"2020-901572","12599815310","2020-01-31T23:45:00.000","2020-02-01T01:30:00.000","2020-02-01T14:03:21.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","B","B2","FREMONT","NW 36TH ST / 1ST AVE NW","-122.357661744","47.652965390"
"2020-901571","12599815056","2020-02-01T03:45:00.000","2020-02-01T03:45:00.000","2020-02-01T14:03:13.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","C","C2","MADISON PARK","18XX BLOCK OF 40TH AVE E","-122.282005215","47.635776590"
"2020-901569","12599813140","2020-01-31T20:00:00.000","2020-02-01T07:40:00.000","2020-02-01T14:02:55.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U3","ROOSEVELT/RAVENNA","65XX BLOCK OF 31ST AVE NE","-122.294062955","47.676688620"
"2020-901567","12599812115","2020-01-31T10:00:00.000","2020-02-01T05:30:00.000","2020-02-01T14:02:33.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","D","D3","EASTLAKE - WEST","28XX BLOCK OF EASTLAKE AVE E","-122.325198438","47.646504260"
"2020-901566","12599811937","2020-02-01T01:00:00.000","2020-02-01T02:00:00.000","2020-02-01T14:02:25.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","D","D1","BELLTOWN","23XX BLOCK OF 1ST AVE","-122.347163621","47.613759210"
"2020-901565","12599811733","2020-01-31T17:30:00.000","2020-01-31T20:30:00.000","2020-02-01T14:02:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q3","QUEEN ANNE","2XX BLOCK OF 2ND AVE N","-122.352825467","47.620342580"
"2020-901564","12599793782","2020-02-01T00:15:00.000","2020-02-01T00:20:00.000","2020-02-01T13:54:48.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","F","F3","HIGHLAND PARK","86XX BLOCK OF 9TH AVE SW","-122.346740721","47.525557070"
"2020-039587","12599808445","2020-02-01T08:00:00.000","2020-02-01T11:30:00.000","2020-02-01T13:52:51.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","W","W2","ALASKA JUNCTION","36XX BLOCK OF SW SNOQUALMIE ST","-122.378112262","47.562035760"
"2020-039671","12599799638","2020-02-01T13:08:00.000","2020-02-01T13:45:00.000","2020-02-01T13:44:06.000","A","SOCIETY","WEAPON LAW VIOLATIONS","Weapon Law Violations","520","S","O","O3","GEORGETOWN","S BAILEY ST / CORSON AVE S","-122.321438931","47.547502960"
"2020-901563","12599762086","2020-01-31T16:30:00.000","2020-01-31T22:05:00.000","2020-02-01T13:42:23.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B1","BALLARD SOUTH","SHILSHOLE AVE NW / 22ND AVE NW","-122.384750070","47.666466890"
"2020-901562","12599761896","2020-01-31T20:10:00.000","2020-01-31T20:40:00.000","2020-02-01T13:42:15.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","W","W2","ALASKA JUNCTION","36XX BLOCK OF SW SNOQUALMIE ST","-122.378112262","47.562035760"
"2020-039588","12599712922","2019-12-01T00:00:00.000","2019-12-20T22:00:00.000","2020-02-01T13:20:16.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","SW","F","F2","ROXHILL/WESTWOOD/ARBOR HEIGHTS","82XX BLOCK OF 35TH AVE SW","-122.376637377","47.529372730"
"2020-901561","12599689493","2020-01-31T14:00:00.000","2020-01-31T18:20:00.000","2020-02-01T13:12:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","M","M1","BELLTOWN","VIRGINIA ST / 3RD AVE","-122.340892454","47.612398020"
"2020-901560","12599667833","2020-01-31T19:45:00.000","2020-01-31T20:30:00.000","2020-02-01T13:02:52.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U2","UNIVERSITY","ROOSEVELT WAY NE / NE 47TH ST","-122.317423433","47.663117740"
"2020-901559","12599667632","2020-01-31T17:00:00.000","2020-01-31T21:50:00.000","2020-02-01T13:02:43.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","D","D2","SLU/CASCADE","8XX BLOCK OF LENORA ST","-122.337464790","47.616822200"
"2020-901558","12599667459","2020-01-28T21:00:00.000","2020-01-30T16:00:00.000","2020-02-01T13:02:37.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","E","G","G3","MADRONA/LESCHI","13XX BLOCK OF 24TH AVE S","-122.301291202","47.591780120"
"2020-901557","12599667344","2020-01-31T12:30:00.000","2020-01-31T12:30:00.000","2020-02-01T13:02:30.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","Q","Q3","QUEEN ANNE","3XX BLOCK OF HARRISON ST","-122.350854024","47.622086910"
"2020-901555","12599666456","2020-01-31T04:16:00.000","2020-01-31T04:16:00.000","2020-02-01T13:02:15.000","A","PROPERTY","FRAUD OFFENSES","Credit Card/Automated Teller Machine Fraud","26B","N","U","U3","SANDPOINT","36XX BLOCK OF NE 73RD PL","-122.288398467","47.681704640"
"2020-039452","12599666509","2020-01-31T22:00:00.000","2020-02-01T02:30:00.000","2020-02-01T12:54:05.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q1","MAGNOLIA","39XX BLOCK OF W HOOKER ST","-122.409492551","47.671335280"
"2020-901554","12599643155","2020-01-31T11:00:00.000","2020-01-31T16:30:00.000","2020-02-01T12:52:25.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","M","M3","DOWNTOWN COMMERCIAL","3XX BLOCK OF UNION ST","-122.336329917","47.608988670"
"2020-901553","12599643001","2020-01-27T23:30:00.000","2020-01-28T00:30:00.000","2020-02-01T12:52:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","N","N1","BITTERLAKE","105XX BLOCK OF PHINNEY AVE N","-122.354120300","47.705987360"
"2020-901552","12599618252","2020-01-31T14:20:00.000","2020-01-31T14:25:00.000","2020-02-01T12:42:25.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R2","MOUNT BAKER","32XX BLOCK OF 34TH AVE S","-122.289877561","47.574493560"
"2020-039532","12599588718","2020-02-01T10:18:00.000","2020-02-01T10:21:00.000","2020-02-01T12:29:40.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","B","B2","FREMONT","6XX BLOCK OF N 34TH ST","-122.350525379","47.649706510"
"2020-039476","12599594173","2020-01-30T21:45:00.000","2020-02-01T09:15:00.000","2020-02-01T12:27:12.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","N","U","U1","UNIVERSITY","50XX BLOCK OF 11TH AVE NE","-122.316324693","47.665684200"
"2020-901550","12599567428","2020-01-30T19:00:00.000","2020-01-31T04:05:00.000","2020-02-01T12:22:24.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R3","HILLMAN CITY","59XX BLOCK OF 37TH AVE S","-122.286264518","47.548896990"
"2020-901548","12599566711","2020-01-21T12:21:00.000","2020-01-21T12:21:00.000","2020-02-01T12:22:15.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","D","D3","SLU/CASCADE","4XX BLOCK OF TERRY AVE N","-122.337146941","47.622620480"
"2020-901547","12599543043","2020-01-30T04:35:00.000","2020-01-30T10:45:00.000","2020-02-01T12:12:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","D","D3","EASTLAKE - WEST","E ALLISON ST / EASTLAKE AVE E","-122.323436169","47.648783600"
"2020-039420","12599658286","2020-02-01T02:50:00.000",,"2020-02-01T12:10:56.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q1","MAGNOLIA","56XX BLOCK OF 39TH AVE W","-122.408896584","47.670430660"
"2020-039523","12599549469","2020-02-01T06:00:00.000","2020-02-01T07:01:00.000","2020-02-01T12:03:46.000","A","PERSON","SEX OFFENSES","Fondling","11D","S","R","R1","NORTH BEACON HILL",,"0.000000000","0.000000000"
"2020-039534","12601281222","2020-02-01T10:40:00.000","2020-02-01T10:50:00.000","2020-02-01T11:25:05.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","E","E","E2","CAPITOL HILL","14XX BLOCK OF BROADWAY","-122.320771381","47.613519510"
"2020-039495","12599501499","2020-02-01T09:55:00.000",,"2020-02-01T11:20:48.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","F","F3","HIGHLAND PARK","92XX BLOCK OF 8TH AVE SW","-122.345437696","47.520052090"
"2020-901545","12599405169","2019-08-31T13:30:00.000","2019-09-01T23:30:00.000","2020-02-01T11:13:01.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","S","R","R2","MOUNT BAKER","36XX BLOCK OF 33RD AVE S","-122.291010290","47.570759940"
"2020-039487","12599357821","2019-12-25T00:01:00.000","2020-01-02T10:00:00.000","2020-02-01T10:50:49.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","E","G","G2","CENTRAL AREA/SQUIRE PARK","25XX BLOCK OF E YESLER WAY","-122.299444169","47.601661720"
"2020-039460","12599340760","2020-01-30T00:00:00.000","2020-02-01T09:29:00.000","2020-02-01T10:44:29.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","S","S","S2","BRIGHTON/DUNLAP","84XX BLOCK OF RAINIER PL S","-122.270742451","47.527309490"
"2020-039466","12599341117","2020-01-31T19:00:00.000","2020-02-01T09:00:00.000","2020-02-01T10:44:25.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","W","D","D3","SLU/CASCADE","2XX BLOCK OF PONTIUS AVE N","-122.331700196","47.620241250"
"2020-039481","12599319810","2020-01-31T22:00:00.000","2020-01-31T22:30:00.000","2020-02-01T10:34:46.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","L","L2","NORTHGATE","10XX BLOCK OF NE 95TH ST","-122.316205456","47.697645380"
"2020-039474","12599291826","2020-02-01T00:00:00.000",,"2020-02-01T10:17:17.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","S","S2","RAINIER BEACH","55XX BLOCK OF S CLOVERDALE ST","-122.262830798","47.526770990"
"2020-039435","12599252631","2020-01-27T08:00:00.000","2020-01-31T19:00:00.000","2020-02-01T09:58:25.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","S","S","S2","BRIGHTON/DUNLAP","65XX BLOCK OF 48TH AVE S","-122.272636230","47.543826080"
"2020-039374","12599212098","2020-02-01T07:55:00.000",,"2020-02-01T09:33:52.000","A","PROPERTY","STOLEN PROPERTY OFFENSES","Stolen Property Offenses","280","N","N","N2","NORTHGATE","132XX BLOCK OF AURORA AVE N","-122.344996828","47.725035550"
"2020-039374","12603578534","2020-02-01T07:55:00.000",,"2020-02-01T09:33:52.000","A","SOCIETY","DRUG/NARCOTIC OFFENSES","Drug/Narcotic Violations","35A","N","N","N2","NORTHGATE","132XX BLOCK OF AURORA AVE N","-122.344996828","47.725035550"
"2020-039431","12599167248","2020-01-31T18:00:00.000","2020-02-01T07:00:00.000","2020-02-01T09:29:56.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","W","Q","Q1","MAGNOLIA","15XX BLOCK OF ELLIOTT AVE W","-122.375834105","47.632463760"
"2020-039407","12599099168","2020-01-31T14:00:00.000","2020-02-01T08:20:00.000","2020-02-01T08:55:20.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","W","D","D3","SLU/CASCADE","FRANKLIN AVE E / E GALER ST","-122.324956055","47.632256410"
"2020-039297","12599000881","2020-02-01T05:32:00.000",,"2020-02-01T08:08:17.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","E","G","G1","FIRST HILL","E JEFFERSON ST / 12TH AVE","-122.316780473","47.606203050"
"2020-039295","12598894590","2020-02-01T05:00:00.000","2020-02-01T05:30:00.000","2020-02-01T07:24:19.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","U","U2","UNIVERSITY","BROOKLYN AVE NE / NE 42ND ST","-122.314363316","47.658328640"
"2020-039223","12598855718","2020-02-01T02:05:00.000","2020-02-01T02:10:00.000","2020-02-01T06:52:19.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","E","E3","CAPITOL HILL","15XX BLOCK OF MELROSE AVE","-122.327915389","47.614577600"
"2020-039237","12598300385","2020-02-01T01:30:00.000","2020-02-01T02:50:00.000","2020-02-01T03:34:57.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","E","E","E1","CAPITOL HILL","E PINE ST / BELLEVUE AVE","-122.326804185","47.615218150"
"2020-038611","12598251273","2020-01-30T23:00:00.000","2020-01-31T10:00:00.000","2020-02-01T03:30:29.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","W","Q","Q2","QUEEN ANNE","28XX BLOCK OF 4TH AVE W","-122.362201428","47.645372450"
"2020-039216","12598232589","2020-01-31T22:45:00.000","2020-02-01T01:40:00.000","2020-02-01T03:18:12.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","N","B","B2","FREMONT","NW 39TH ST / 1ST AVE NW","-122.357658115","47.654150540"
"2020-038885","12598186841","2020-01-31T20:46:00.000","2020-01-31T20:46:00.000","2020-02-01T02:54:08.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","N","B","B2","PHINNEY RIDGE","NW MARKET ST / 3RD AVE NW","-122.360801329","47.666920390"
"2020-039106","12598152040","2020-02-01T00:00:00.000",,"2020-02-01T01:34:50.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","M","M1","DOWNTOWN COMMERCIAL","13XX BLOCK OF 2ND AVE","-122.337541071","47.607795620"
"2020-039121","12598008807","2020-02-01T00:10:00.000","2020-02-01T00:21:00.000","2020-02-01T01:25:27.000","A","PROPERTY","COUNTERFEITING/FORGERY","Counterfeiting/Forgery","250","W","D","D2","SLU/CASCADE","4XX BLOCK OF WALL ST","-122.345741181","47.617023200"
"2020-038674","12597971806","2020-01-31T17:20:00.000","2020-01-31T18:00:00.000","2020-02-01T01:05:51.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","N","B","B3","FREMONT","38XX BLOCK OF BRIDGE WAY N","-122.345338860","47.653075480"
"2020-038385","12597903876","2020-01-30T02:30:00.000","2020-01-30T02:30:00.000","2020-02-01T00:34:56.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q2","QUEEN ANNE","6XX BLOCK OF W OLYMPIC PL","-122.366864633","47.627974870"
"2020-038828","12597730180","2020-01-31T20:13:00.000","2020-01-31T20:13:00.000","2020-01-31T23:21:58.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M3","DOWNTOWN COMMERCIAL","2XX BLOCK OF PIKE ST","-122.338348304","47.609517440"
"2020-038725","12597733515","2020-01-31T00:00:00.000",,"2020-01-31T23:18:10.000","A","PROPERTY","EXTORTION/BLACKMAIL","Extortion/Blackmail","210","S","R","R2","MOUNT BAKER","33XX BLOCK OF YORK RD S","-122.287210701","47.573035020"
"2020-038973","12597733464","2020-01-31T22:00:00.000",,"2020-01-31T23:17:55.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","K","K2","PIONEER SQUARE","2XX BLOCK OF S KING ST","-122.330976342","47.598286970"
"2020-037600","12597686723","2020-01-31T00:50:00.000",,"2020-01-31T22:53:17.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","W","K","K2","PIONEER SQUARE","1XX BLOCK OF OCCIDENTAL AVE S","-122.332875202","47.601301160"
"2020-038863","12597655747","2020-01-31T20:20:00.000",,"2020-01-31T22:45:54.000","A","PROPERTY","ROBBERY","Robbery","120","N","B","B2","BALLARD SOUTH","4XX BLOCK OF NW 65TH ST","-122.362187009","47.675993290"
"2020-038883","12597590413","2020-01-31T20:47:00.000",,"2020-01-31T22:09:36.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M3","DOWNTOWN COMMERCIAL","5XX BLOCK OF PIKE ST","-122.335017876","47.610909020"
"2020-038899","12597533695","2019-10-24T00:01:00.000","2020-01-29T00:01:00.000","2020-01-31T21:43:13.000","A","PROPERTY","COUNTERFEITING/FORGERY","Counterfeiting/Forgery","250","E","G","G1","FIRST HILL","12XX BLOCK OF E JEFFERSON ST","-122.316125608","47.606200260"
"2020-038771","12597448264","2020-01-31T19:19:00.000",,"2020-01-31T20:53:19.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","S","O","O3","MID BEACON HILL","18TH AVE S / S JUNEAU ST","-122.309902120","47.549933610"
"2020-038646","12597243974","2020-01-31T17:39:00.000","2020-01-31T17:45:00.000","2020-01-31T19:15:13.000","A","PROPERTY","ROBBERY","Robbery","120","S","R","R2","MOUNT BAKER","38XX BLOCK OF RAINIER AVE S","-122.289921964","47.568881160"
"2020-038525","12597201885","2020-01-31T15:40:00.000",,"2020-01-31T18:54:20.000","A","PROPERTY","FRAUD OFFENSES","Wire Fraud","26E","W","Q","Q3","QUEEN ANNE","7XX BLOCK OF NOB HILL AVE N","-122.350171096","47.625861840"
"2020-038657","12597154700","2020-01-31T17:44:00.000",,"2020-01-31T18:31:33.000","A","SOCIETY","DRUG/NARCOTIC OFFENSES","Drug/Narcotic Violations","35A","W","D","D1","BELLTOWN","3RD AVE / BELL ST","-122.344793514","47.614704580"
"2020-038005","12597101400","2020-01-31T09:44:00.000",,"2020-01-31T18:05:46.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","W","M","M3","DOWNTOWN COMMERCIAL","2ND AVE / PINE ST","-122.339812453","47.610278320"
"2020-038567","12596976154","2019-11-01T00:00:00.000","2020-01-31T00:00:00.000","2020-01-31T17:08:50.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","S","S","S2","BRIGHTON/DUNLAP","45XX BLOCK OF S WILLOW ST","-122.275965432","47.540680100"
"2020-038407","12596997881","2020-01-30T12:00:00.000","2020-01-30T16:00:00.000","2020-01-31T17:04:58.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","N","B","B2","PHINNEY RIDGE","63XX BLOCK OF LINDEN AVE N","-122.348475299","47.674955190"
"2020-038527","12596956263","2020-01-31T12:40:00.000","2020-01-31T16:00:00.000","2020-01-31T17:02:27.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","D","D1","BELLTOWN","21XX BLOCK OF 1ST AVE","-122.344562694","47.612221860"
"2020-038410","12596836966","2020-01-31T13:00:00.000","2020-01-31T14:00:00.000","2020-01-31T16:09:22.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","E","E","E2","CAPITOL HILL","9XX BLOCK OF E PINE ST","-122.320407417","47.615238080"
"2020-038390","12596745440","2020-01-22T00:00:00.000","2020-01-31T14:19:00.000","2020-01-31T15:31:42.000","A","PROPERTY","FRAUD OFFENSES","Identity Theft","26F","SW","W","W1","NORTH ADMIRAL","34XX BLOCK OF 42ND AVE SW","-122.385670692","47.572591010"
