"report_number","offense_id","offense_start_datetime","offense_end_datetime","report_datetime","group_a_b","crime_against_category","offense_parent_group","offense","offense_code","precinct","sector","beat","mcpp","_100_block_address","longitude","latitude"
"2020-033250","12338618612","2020-01-27T20:05:00.000",,"2020-01-27T21:57:00.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M3","DOWNTOWN COMMERCIAL","5XX BLOCK OF PIKE ST","-122.335017876","47.610909020"
"2020-033277","12338637865","2020-01-27T20:34:00.000",,"2020-01-27T21:50:14.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","S","S","S3","RAINIER BEACH","92XX BLOCK OF RAINIER AVE S","-122.268030094","47.519851780"
"2020-033270","12338620579","2020-01-27T19:45:00.000","2020-01-27T20:27:00.000","2020-01-27T21:49:19.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","D","D3","SLU/CASCADE","18XX BLOCK OF MINOR AVE","-122.331208693","47.617225000"
"2020-033249","12338631541","2020-01-27T19:39:00.000",,"2020-01-27T21:47:56.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","N","L","L2","NORTHGATE","4XX BLOCK OF NE NORTHGATE WAY","-122.324615158","47.708602800"
"2020-033033","12338589210","2020-01-26T02:00:00.000","2020-01-27T07:00:00.000","2020-01-27T21:16:04.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","SW","F","F1","NORTH DELRIDGE","59XX BLOCK OF 21ST AVE SW","-122.359799937","47.548345840"
"2020-033214","12338582043","2020-01-27T19:28:00.000",,"2020-01-27T21:15:14.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","S","R","R2","NORTH BEACON HILL","23XX BLOCK OF RAINIER AVE S","-122.301663881","47.582954130"
"2020-033240","12338564232","2020-01-27T07:00:00.000","2020-01-27T17:26:00.000","2020-01-27T20:41:26.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","O","O1","SODO","S LANDER ST / COLORADO AVE S","-122.336785972","47.579811940"
"2020-033089","12338550885","2020-01-27T17:27:00.000","2020-01-27T20:30:00.000","2020-01-27T20:34:22.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","R","R3","HILLMAN CITY","55XX BLOCK OF RENTON AVE S","-122.285465703","47.552336470"
"2020-033065","12338542348","2020-01-26T19:00:00.000","2020-01-27T09:00:00.000","2020-01-27T20:21:23.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","N","J","J3","ROOSEVELT/RAVENNA","63XX BLOCK OF LATONA AVE NE","-122.325454738","47.674753380"
"2020-033171","12338537371","2020-01-26T20:00:00.000","2020-01-27T18:30:00.000","2020-01-27T20:17:06.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","U","U1","UNIVERSITY","47XX BLOCK OF 19TH AVE NE","-122.307204506","47.663955560"
"2020-033174","12338517952","2020-01-27T06:30:00.000","2020-01-27T17:00:00.000","2020-01-27T19:59:28.000","A","PROPERTY","FRAUD OFFENSES","False Pretenses/Swindle/Confidence Game","26A","N","B","B1","BALLARD SOUTH","64XX BLOCK OF 24TH AVE NW","-122.387584430","47.675618470"
"2020-033085","12338507485","2020-01-27T17:16:00.000",,"2020-01-27T19:45:27.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","E","E","E1","CAPITOL HILL","17XX BLOCK OF SUMMIT AVE","-122.325552288","47.617040610"
"2020-033172","12338494693","2020-01-27T18:41:00.000",,"2020-01-27T19:35:16.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M3","DOWNTOWN COMMERCIAL","5XX BLOCK OF PIKE ST","-122.335017876","47.610909020"
"2020-033097","12338472688","2020-01-24T17:15:00.000",,"2020-01-27T19:07:52.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","M","M1","DOWNTOWN COMMERCIAL","16XX BLOCK OF 2ND AVE","-122.340128227","47.610623460"
"2020-033027","12338473068","2020-01-27T07:00:00.000","2020-01-27T16:30:00.000","2020-01-27T19:02:59.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","R","R2","CLAREMONT/RAINIER VISTA","38XX BLOCK OF CHEASTY BLVD S","-122.299174478","47.570209920"
"2020-033088","12338458428","2020-01-17T12:00:00.000",,"2020-01-27T18:54:24.000","A","PROPERTY","FRAUD OFFENSES","Identity Theft","26F","N","U","U3","SANDPOINT","42XX BLOCK OF NE 92ND ST","-122.281286112","47.695355360"
"2020-033073","12338450302","2020-01-27T17:08:00.000",,"2020-01-27T18:44:34.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","J","J3","ROOSEVELT/RAVENNA","82XX BLOCK OF GREEN LAKE DR N","-122.343835605","47.688749570"
"2020-033060","12338471699","2019-12-15T00:00:00.000","2019-12-28T23:59:00.000","2020-01-27T18:20:56.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","W","W3","ROXHILL/WESTWOOD/ARBOR HEIGHTS","35XX BLOCK OF SW 98TH ST","-122.377978191","47.515610120"
