"bble","bbl","borough","building_name","street_address","certification_class","of_carriers","coax_cable_connections","fiber_connection","satellite_fixed_wireless_connection","fiber_distribution","isps_1","multiple_points_of_entry","designated_telecom_utility_space","additional_telecom_space","riser_space_for_current_providers","riser_space_for_additional_providers","diverse_riser_locations","signed_poes","agreements","new_service_providers","isps_2","latitude","longitude","community_board","community_council","census_tract","bin","nta","postcode","council_district"
"1010400029","1-1040-29","Manhattan","Worldwide Plaza","825 8 AVENUE","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,TW Telecom,Time Warner Cable,Sidera,Rainbow Broadband,Lightpath,Covad,Cogent,Broadview,AT&T,Abovenet","40.762074","-73.986275","4","3","127","1076203","Clinton                                                                    ","10019","3"
"1008820003","1-882-3","Manhattan","373 Park Avenue South","369 PARK AVENUE SOUTH","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Hallway/Open Space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Rainbow Broadband,OCG,Cogent","40.742295","-73.984814","5","2","68","1018123","Gramercy                                                                   ","10016","2"
"1008820085","1-882-85","Manhattan","381 Park Avenue South","381 PARK AVENUE SOUTH","Gold","4","Yes","Yes","No","Full Distribution (all floors)","4","Yes","Hallway/Open Space","Yes","Yes","Yes","Yes","None available","Yes","Yes","Verizon,Time Warner Cable,OCG,Cogent","40.742534","-73.984641","5","2","68","1018159","Gramercy                                                                   ","10016","2"
"1012810069","1-1281-69","Manhattan","555 5th Avenue","553 5 AVENUE","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,SignalPoint,Lightower,Cogent","40.755842","-73.979152","5","4","94","1035401","Midtown-Midtown South                                                      ","10017","4"
"1008490070","1-849-70","Manhattan","915 Broadway","915 BROADWAY","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,TW Telecom,Towerstream,Time Warner Cable,Abovenet","40.739644","-73.989654","5","2","52","1016226","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","10010","2"
"1008620029","1-862-29","Manhattan","2 Park Avenue ","2 PARK AVENUE","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Hallway/Open Space","Yes","Yes","Yes","Yes","None available","No","Yes","XO Communications,Windstream,Verizon,TW Telecom,Time Warner Cable,Cogent,AT&T","40.746077","-73.982092","5","2","74","1017019","Midtown-Midtown South                                                      ","10016","2"
"1012950040","1-1295-40","Manhattan","630 3rd Avenue","630 3 AVENUE","Gold","4","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","None available","Yes","Yes","Verizon,Time Warner Cable,SignalPoint,Cogent,Broadview","40.749798","-73.975165","6","4","80","1036149","Murray Hill-Kips Bay                                                       ","10017","4"
"1008177502","1-817-7502","Manhattan","100-104 Fifth Avenue","100 5 AVENUE","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Windstream,Verizon,TW Telecom,Time Warner Cable,Level(3),Broadview,Abovenet","40.736881","-73.992992","5","3","54","1080621","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","10011","3"
"1013070014","1-1307-14","Manhattan","600 Lexington Avenue","600 LEXINGTON AVENUE","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Lightower,Cogent,Time Warner Cable,Verizon","40.757943","-73.971322","5","4","100","1036466","Turtle Bay-East Midtown                                                    ","10022","4"
"1008090053","1-809-53","Manhattan","112 West 34th Street","112 West 34th Street","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","4","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon FIOS, Verizon, Time Warner Cable, Lightpath, Lightower","40.750063","-73.988454","5","3","101","1015201","Midtown-Midtown South                                                      ","10120","3"
"1000370023","1-37-23","Manhattan","180 Maiden Lane","180 MAIDEN LANE","Silver","5 or more","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes","AT&T,Other,Time Warner Cable,Verizon","40.705308","-74.004873","1","1","7","1000874","Battery Park City-Lower Manhattan                                          ","10005","1"
"1012880007","1-1288-7","Manhattan","10 East 53rd Street","5 EAST 52 STREET","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Common (shared) room","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Verizon,Time Warner Cable,Cablevision,AT&T","40.75964","-73.975916","5","4","102","1035709","Midtown-Midtown South                                                      ","10022","4"
"1010860001","1-1086-1","Manhattan","555 West 57th Street","555 WEST 57 STREET","Silver","4","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Yes","None available","No","Yes","Lightower,Time Warner Cable,Verizon","40.770125","-73.990927","4","6","135","1027072","Clinton                                                                    ","10019","6"
"1012800060","1-1280-60","Manhattan","420 Lexington Avenue","420 LEXINGTON AVENUE","Silver","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","No","Common (shared) room","Yes","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Cogent,Cablevision,Other,Time Warner Cable,Verizon","40.752262","-73.975464","5","4","92","1035385","Turtle Bay-East Midtown                                                    ","10170","4"
"1013150024","1-1315-24","Manhattan","220 East 42nd Street","220 EAST 42 STREET","Silver","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Common (shared) room","No","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","No","No capability available","Other,Verizon,Time Warner Cable,Cogent,AT&T,Abovenet","40.750256","-73.973256","6","4","88","1037546","Turtle Bay-East Midtown                                                    ","10017","4"
"1009970041","1-997-41","Manhattan","120 West 45th Street","120 WEST 45 STREET","Silver","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Common (shared) room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","No capability available","Verizon,TW Telecom,Time Warner Cable,Cogent,Broadview,AT&T","40.757117","-73.983544","5","4","119","1069581","Midtown-Midtown South                                                      ","10036","4"
"1012961001","1-1296-1001","Manhattan","110 East 42nd Street","110 EAST 42 STREET","Gold","4","Yes","Yes","No","Full Distribution (all floors)","4","No","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","No capability available","Verizon,Time Warner Cable,Cogent,AT&T","40.751807","-73.976944","5","4","80","1083181","Murray Hill-Kips Bay                                                       ","10017","4"
"1008510041","1-851-41","Manhattan","304 Park Avenue South","304 PARK AVENUE SOUTH","Silver","4","Yes","Yes","No","Full Distribution (all floors)","3","No","Hallway/Open Space","No","Yes","Yes","Yes","None available","Yes","Yes","XO Communications,Verizon,Time Warner Cable","40.740006","-73.986507","5","2","56","1016287","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","10010","2"
"1012940046","1-1294-46","Manhattan","625 Madison Avenue","613 MADISON AVENUE","Silver","5 or more","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes","Cablevision,AT&T,Time Warner Cable,Verizon","40.763054","-73.971789","5","4","11202","1036085","Midtown-Midtown South                                                      ","10022","4"
"1008730067","1-873-67","Manhattan","215 Park Avenue South","215 PARK AVENUE SOUTH","Gold","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","4","Yes","Combination of open, shared, and dedicated  space","No","Yes","No","Yes","Yes - for installed connections","No","No capability available","Verizon,Time Warner Cable,Lightower,Broadview","40.736963","-73.988713","5","2","50","1017860","Gramercy                                                                   ","10003","2"
"1012960001","1-1296-1","Manhattan","125 Park Avenue","100 EAST 42 STREET","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","No","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Cogent,Cablevision,AT&T","40.751862","-73.977074","5","4","80","1036151","Murray Hill-Kips Bay                                                       ","10017","4"
"1013290001","1-1329-1","Manhattan","919 3rd Avenue","919 3 AVENUE","Gold","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes","Verizon,Time Warner Cable,Cogent,Broadview","40.759136","-73.968333","6","4","108","1038577","Turtle Bay-East Midtown                                                    ","10022","4"
"1013010033","1-1301-33","Manhattan","750 3rd Avenue","750 3 AVENUE","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Cogent,Other,Cablevision,Time Warner Cable,Verizon","40.753722","-73.972309","6","4","92","1036207","Turtle Bay-East Midtown                                                    ","10017","4"
"1010240038","1-1024-38","Manhattan","810 7th Avenue","1680 BROADWAY","Platinum","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Common (shared) room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Earthlink,Covad,Cogent,Broadview,AT&T","40.763034","-73.983005","5","4","131","1024828","Midtown-Midtown South                                                      ","10019","4"
"1001250020","1-125-20","Manhattan","100 Church Street","100 CHURCH STREET","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","4","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","RCN,Time Warner Cable,Lightower,AT&T,Verizon","40.712968","-74.00949","1","1","21","1001409","SoHo-TriBeCa-Civic Center-Little Italy                                     ","10007","1"
"1013010023","1-1301-23","Manhattan","485 Lexington Avenue","485 LEXINGTON AVENUE","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Verizon,Time Warner Cable,Lightower,Cogent,AT&T,Abovenet","40.754244","-73.973994","6","4","92","1036206","Turtle Bay-East Midtown                                                    ","10017","4"
"1010160036","1-1016-36","Manhattan","1515 Broadway","1515 BROADWAY","Gold","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Common (shared) room","Yes","Yes","Yes","Yes","None available","No","Yes","Other,Verizon,Time Warner Cable,Lightpath,Cablevision,AT&T","40.757636","-73.985804","5","3","119","1024714","Midtown-Midtown South                                                      ","10036","3"
"1012700071","1-1270-71","Manhattan","1350 Avenue of the Americas","1350 AVENUE OF THE AMERIC","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Broadview,Zayo,Time Warner Cable,Verizon,Cogent,AT&T",,,,,,,,,
"1009990029","1-999-29","Manhattan","1185 Avenue of the Americas","1185 AVENUE OF THE AMERIC","Platinum","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Other,Lightower,Level(3),Time Warner Cable,Verizon,Cogent,AT&T",,,,,,,,,
"1005107502","1-510-7502","Manhattan","Puck Building","295 Lafayette Street","Silver","3","Yes","Yes","Yes","No Distribution","4","Yes","Common (shared) room","Yes","Yes","Yes","Yes","None available","No","Yes","Towerstream,Verizon,Cogent","40.724537","-73.995761","2","1","43","1007941","SoHo-TriBeCa-Civic Center-Little Italy                                     ","10012","1"
"1010150029","1-1015-29","Manhattan","Paramount Building","1501 BROADWAY","Gold","4","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,MegaPath","40.757103","-73.986193","5","3","119","1024706","Midtown-Midtown South                                                      ","10036","3"
"1001920001","1-192-1","Manhattan","32 Avenue of the Americas","16 WALKER STREET","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Other,Zayo,XO Communications,Verizon,TW Telecom,Towerstream,Time Warner Cable,Sprint,Reliance,RCN,Rainbow Broadband,OCG,Lightpath,Lightower,Level(3),Cogent,Century Link,AT&T,Abovenet","40.719753","-74.004978","1","1","33","1002192","SoHo-TriBeCa-Civic Center-Little Italy                                     ","10013","1"
"1010240015","1-1024-15","Manhattan","1675 Broadway","1675 BROADWAY","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Other,Zayo,Verizon,Time Warner Cable,Reliance,Cogent,AT&T,Abovenet","40.762963","-73.983073","5","3","131","1076199","Midtown-Midtown South                                                      ","10019","3"
"1000250001","1/25/2001","Manhattan","55 Broad Street","55 BROAD STREET","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","XO Communications,Verizon,Time Warner Cable,Lightpath,Lightower,Level(3),Zayo,Reliance Globalcom,Cogent,AT&T,Verizon Business,Sprint,CDS","40.705189","-74.011505","1","1","9","1000821","Battery Park City-Lower Manhattan                                          ","10004","1"
"1008550037","1-855-37","Manhattan","41 Madison Avenue","35 MADISON AVENUE","Platinum","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","No","Common (shared) room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Other,Verizon,Towerstream,Time Warner Cable,Reliance,Lightower,Cogent","40.742452","-73.986817","5","2","56","1016749","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","10010","2"
"1010140033","1-1014-33","Manhattan","3 Times Square","3 TIMES SQUARE","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,Lightpath,Lightower,Level(3),Cogent,AT&T,Abovenet","40.756376","-73.986713","5","3","119","1024686","Midtown-Midtown South                                                      ","10036","3"
