"acs_5_year_data_time_period","borough","borough_cd_code","community_district_name","language","lep_population_estimate","of_lep_population","cvalep_population_estimate","of_cvalep_population"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Burmese","29","0.6","29","1.1"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Cajun French","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Cebuano","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Chaldean Neo-Aramaic","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Chamorro","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Cherokee","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Chin languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Chinese (incl. Mandarin, Cantonese)","2873","62","1697","64.5"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Chuukese","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Croatian","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Czech","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Dakota languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Danish","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Dari","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Dutch","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Edoid languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Farsi","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Filipino","22","0.5","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Finnish","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","French","82","1.8","41","1.6"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Fulah","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Ga","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Ganda","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Gbe languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Georgian","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","German","15","0.3","15","0.6"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Greek","16","0.3","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Gujarati","18","0.4","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Haitian","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Hausa","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Hawaiian","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Hebrew","17","0.4","17","0.6"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Hindi","47","1","2","0.1"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Hmong","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Hungarian","14","0.3","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Igbo","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Ilocano","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","India N.E.C.","15","0.3","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Indonesian","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Irish","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Italian","143","3.1","110","4.2"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Iu Mien","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Jamaican Creole English","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Japanese","217","4.7","24","0.9"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Kabuverdianu","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Kannada","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Karen languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Keres","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Khmer","11","0.2","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Kinyarwanda","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Kiowa-Tanoan languages (2016 or earlier)","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Konkani","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Korean","26","0.6","16","0.6"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Kru languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Kurdish","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Lao","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Latvian","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Lithuanian","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Macedonian","14","0.3","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Malay","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Malayalam","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Manding languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Marathi","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Marshallese","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Min Nan Chinese","40","0.9","40","1.5"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Mongolian","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Muskogean languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Navajo","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Nepali","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Nilo-Saharan languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Norwegian","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Ojibwa","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Oromo","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other Afro-Asiatic languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other Bantu languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other Central and South American languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other Eastern Malayo-Polynesian languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other English-based Creole languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other Indo-European languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other Indo-Iranian languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other Mande languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other Native North American languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other Niger-Congo languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other Philippine languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other and unspecified languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other languages of Africa","8","0.2","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Other languages of Asia","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Pakistan N.E.C.","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Pashto","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Pennsylvania German","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Polish","26","0.6","26","1"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Portuguese","64","1.4","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Punjabi","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Romanian","49","1.1","44","1.7"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Russian","225","4.9","201","7.6"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Samoan","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Serbian","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Serbocroatian","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Shona","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Sindhi","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Sinhala","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Slovak","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Somali","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Spanish","449","9.7","257","9.8"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Swahili","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Swedish","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Swiss German","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Tagalog","15","0.3","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Tamil","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Telugu","10","0.2","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Thai","26","0.6","26","1"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Tibetan","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Tigrinya","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Tongan","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Turkish","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Ukrainian","10","0.2","10","0.4"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Urdu","16","0.3","16","0.6"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Uto-Aztecan languages","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Uzbek","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Vietnamese","29","0.6","14","0.5"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Wolof","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Yiddish","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Yoruba","0","0","0","0"
"2015-2019","Manhattan","102","Greenwich Village, Soho","Zuni (2016 or earlier)","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Afrikaans","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Akan (incl. Twi)","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Albanian","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Aleut languages","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Amharic","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Apache languages","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Arabic","73","0.2","43","0.2"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Armenian","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Assyrian Neo-Aramaic","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Bengali","140","0.3","140","0.5"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Bosnian","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Bulgarian","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Burmese","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Cajun French","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Cebuano","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Chaldean Neo-Aramaic","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Chamorro","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Cherokee","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Chin languages","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Chinese (incl. Mandarin, Cantonese)","29402","70.2","17721","66.1"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Chuukese","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Croatian","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Czech","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Dakota languages","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Danish","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Dari","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Dutch","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Edoid languages","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Farsi","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Filipino","11","0","11","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Finnish","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","French","76","0.2","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Fulah","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Ga","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Ganda","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Gbe languages","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Georgian","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","German","55","0.1","15","0.1"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Greek","33","0.1","33","0.1"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Gujarati","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Haitian","121","0.3","121","0.5"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Hausa","0","0","0","0"
"2015-2019","Manhattan","103","Lower East Side, Chinatown","Hawaiian","0","0","0","0"
