"week_ending","influenza_season","mmwr_year","mmwr_week","mmwr_day","mmwrweek_display_order","race_ethnicity","point_estimate","current_through","current_season_week_ending_label"
"2021-05-22T00:00:00.000","2020-2021","2021","20","7","42","Hispanic","37.21","2022-02-18T00:00:00.000","2022-05-21T00:00:00.000"
"2021-05-29T00:00:00.000","2020-2021","2021","21","7","43","Hispanic","37.23","2022-02-18T00:00:00.000","2022-05-28T00:00:00.000"
"2021-08-07T00:00:00.000","2021-2022","2021","31","7","53","Hispanic","0.0689","2022-02-18T00:00:00.000","2021-08-07T00:00:00.000"
"2021-08-14T00:00:00.000","2021-2022","2021","32","7","1","Hispanic","0.201","2022-02-18T00:00:00.000","2021-08-14T00:00:00.000"
"2021-08-21T00:00:00.000","2021-2022","2021","33","7","2","Hispanic","0.467","2022-02-18T00:00:00.000","2021-08-21T00:00:00.000"
"2021-08-28T00:00:00.000","2021-2022","2021","34","7","3","Hispanic","0.864","2022-02-18T00:00:00.000","2021-08-28T00:00:00.000"
"2021-09-04T00:00:00.000","2021-2022","2021","35","7","4","Hispanic","1.57","2022-02-18T00:00:00.000","2021-09-04T00:00:00.000"
"2021-09-11T00:00:00.000","2021-2022","2021","36","7","5","Hispanic","2.67","2022-02-18T00:00:00.000","2021-09-11T00:00:00.000"
"2021-09-18T00:00:00.000","2021-2022","2021","37","7","6","Hispanic","4.44","2022-02-18T00:00:00.000","2021-09-18T00:00:00.000"
"2021-09-25T00:00:00.000","2021-2022","2021","38","7","7","Hispanic","6.82","2022-02-18T00:00:00.000","2021-09-25T00:00:00.000"
"2019-08-10T00:00:00.000","2019-2020","2019","32","7","1","Overall","0.184","2022-02-18T00:00:00.000","2021-08-07T00:00:00.000"
"2019-08-17T00:00:00.000","2019-2020","2019","33","7","2","Overall","0.447","2022-02-18T00:00:00.000","2021-08-14T00:00:00.000"
"2019-08-24T00:00:00.000","2019-2020","2019","34","7","3","Overall","0.881","2022-02-18T00:00:00.000","2021-08-21T00:00:00.000"
"2019-08-31T00:00:00.000","2019-2020","2019","35","7","4","Overall","1.58","2022-02-18T00:00:00.000","2021-08-28T00:00:00.000"
"2019-09-07T00:00:00.000","2019-2020","2019","36","7","5","Overall","2.75","2022-02-18T00:00:00.000","2021-09-04T00:00:00.000"
"2019-09-14T00:00:00.000","2019-2020","2019","37","7","6","Overall","5.1","2022-02-18T00:00:00.000","2021-09-11T00:00:00.000"
"2019-09-21T00:00:00.000","2019-2020","2019","38","7","7","Overall","8.66","2022-02-18T00:00:00.000","2021-09-18T00:00:00.000"
"2019-09-28T00:00:00.000","2019-2020","2019","39","7","8","Overall","13.56","2022-02-18T00:00:00.000","2021-09-25T00:00:00.000"
"2019-10-05T00:00:00.000","2019-2020","2019","40","7","9","Overall","19.92","2022-02-18T00:00:00.000","2021-10-02T00:00:00.000"
"2019-10-12T00:00:00.000","2019-2020","2019","41","7","10","Overall","26.7","2022-02-18T00:00:00.000","2021-10-09T00:00:00.000"
"2019-10-19T00:00:00.000","2019-2020","2019","42","7","11","Overall","32.85","2022-02-18T00:00:00.000","2021-10-16T00:00:00.000"
"2019-10-26T00:00:00.000","2019-2020","2019","43","7","12","Overall","38.36","2022-02-18T00:00:00.000","2021-10-23T00:00:00.000"
"2019-11-02T00:00:00.000","2019-2020","2019","44","7","13","Overall","42.36","2022-02-18T00:00:00.000","2021-10-30T00:00:00.000"
