"geoid","region","state","age","season","mmwr_year_week","deaths_from_influenza","deaths_from_pneumonia","deaths_from_pneumonia_and_influenza","all_deaths","pecent_of_deaths_due_to_pneumonia_or_influenza","pecent_complete"
"State",,"New York City","All","2017-18","201830",,,"53","903","5.869324474","90.68879022"
"State",,"Idaho","All","2018-19","201851",,,"11","276","3.9855072464","124.16108827"
"State",,"Montana","All","2017-18","201825",,,"9","178","5.0561797753","105.93427872"
"State",,"Mississippi","All","2017-18","201833",,,"37","575","6.4347826087","103.76462462"
"State",,"Colorado","All","2017-18","201813",,,"55","726","7.5757575758","118.46814491"
"State",,"Virginia","All","2017-18","201813",,,"82","1364","6.0117302053","119.14107558"
"Region","7",,"All","2017-18","201747","1","142","143","2653","5.3901243875","112.76320981"
"State",,"Maine","All","2017-18","201827",,,"17","264","6.4393939394","107.97017788"
"State",,"Colorado","All","2017-18","201833",,,"39","724","5.3867403315","118.14178638"
"State",,"New York City","All","2017-18","201807",,,"125","1188","10.521885522","119.3114981"
"State",,"Wisconsin","All","2017-18","201839",,,"59","994","5.9356136821","109.67595477"
"State",,"Vermont","All","2018-19","201841",,,"7","120","5.8333333333","119.60513138"
"Region","1",,"All","2017-18","201814","26","169","195","2680","7.276119403","117.06358744"
"State",,"Wyoming","All","2018-19","201846",,,"7","116","6.0344827586","138.14245014"
"State",,"Rhode Island","All","2017-18","201838",,,"7","181","3.8674033149","100.01321912"
"State",,"Washington","All","2017-18","201814",,,"103","1163","8.8564058469","124.32967438"
"State",,"Vermont","All","2018-19","201847",,,"5","90","5.5555555556","89.703848538"
"State",,"Washington","All","2017-18","201816",,,"69","1071","6.4425770308","114.49448087"
"State",,"Hawaii","All","2017-18","201830",,,"19","205","9.2682926829","107.99264002"
"State",,"Pennsylvania","All","2017-18","201804",,,"250","2977","8.3977158213","123.56057853"
"State",,"Alabama","All","2017-18","201827",,,"43","987","4.3566362715","106.86189694"
"Region","8",,"All","2017-18","201826","0","92","92","1500","6.1333333333","107.05468155"
"State",,"Kentucky","All","2017-18","201815",,,"80","943","8.4835630965","116.39225182"
"State",,"Connecticut","All","2017-18","201815",,,"52","647","8.0370942813","116.74969566"
"State",,"Nebraska","All","2017-18","201829",,,"14","275","5.0909090909","94.176539022"
"National",,,"65 years and older","2015-16","201615","112","3108","3220","39151","8.2245664223","112.42236678"
"State",,"Maine","All","2018-19","201849",,,"20","305","6.5573770492","124.73827368"
"Region","1",,"All","2017-18","201802","42","285","327","3196","10.231539424","139.60269607"
"State",,"Wyoming","All","2017-18","201838",,,"10","92","10.869565217","109.56125356"
"State",,"North Carolina","All","2017-18","201801",,,"195","2115","9.219858156","139.44673683"
"National",,,"0-17 years","2015-16","201615","4","17","21","692","3.0346820809","112.42236678"
"State",,"North Carolina","All","2017-18","201811",,,"133","1816","7.3237885463","119.73299011"
"State",,"Delaware","All","2017-18","201834",,,"14","190","7.3684210526","128.66956127"
"State",,"Mississippi","All","2017-18","201817",,,"36","630","5.7142857143","113.68993654"
"State",,"Washington","All","2017-18","201821",,,"51","968","5.2685950413","103.48334032"
"State",,"Minnesota","All","2018-19","201847",,,"56","856","6.5420560748","114.57775615"
"State",,"Vermont","All","2017-18","201839",,,"4","104","3.8461538462","103.65778053"
"State",,"South Carolina","All","2018-19","201840",,,"62","936","6.6239316239","117.41150203"
"State",,"Minnesota","All","2017-18","201828",,,"52","832","6.25","111.36529569"
"State",,"New York City","All","2017-18","201826",,,"71","976","7.2745901639","98.020220659"
"State",,"Kentucky","All","2017-18","201833",,,"46","873","5.2691867125","107.75231796"
"State",,"Pennsylvania","All","2017-18","201819",,,"132","2370","5.5696202532","98.367004069"
"State",,"North Carolina","All","2017-18","201806",,,"246","2064","11.918604651","136.0841914"
"State",,"Nebraska","All","2017-18","201838",,,"21","308","6.8181818182","105.47772371"
"State",,"Texas","All","2017-18","201823",,,"224","3681","6.0853029068","114.61447011"
"State",,"Mississippi","All","2017-18","201825",,,"36","572","6.2937062937","103.22324397"
"State",,"Pennsylvania","All","2017-18","201810",,,"202","2650","7.6226415094","109.98842227"
"State",,"Oklahoma","All","2017-18","201829",,,"62","703","8.8193456615","100.96479594"
"Region","8",,"All","2017-18","201824","0","95","95","1569","6.0548119822","111.9791969"
"State",,"Massachusetts","All","2017-18","201826",,,"62","1027","6.0370009737","101.70870511"
"State",,"Illinois","All","2017-18","201828",,,"103","2007","5.1320378675","103.97365603"
"State",,"Minnesota","All","2017-18","201802",,,"119","1039","11.4533205","139.0727671"
"State",,"South Carolina","All","2018-19","201841",,,"56","905","6.1878453039","113.52287323"
"State",,"Georgia","All","2017-18","201801",,,"118","1908","6.1844863732","140.78993359"
"State",,"Colorado","All","2017-18","201808",,,"61","762","8.0052493438","124.34259838"
"State",,"Alaska","All","2017-18","201814",,,"13","96","13.541666667","133.18287421"
"State",,"Iowa","All","2018-19","201844",,,"31","565","5.4867256637","105.85171706"
"State",,"Rhode Island","All","2017-18","201833",,,"14","187","7.486631016","103.32857445"
"State",,"Kansas","All","2017-18","201805",,,"74","582","12.714776632","123.43396418"
"Region","8",,"All","2017-18","201802","49","146","195","1838","10.609357998","131.17766979"
"State",,"Pennsylvania","All","2017-18","201823",,,"116","2498","4.643714972","103.67965239"
"State",,"Colorado","All","2017-18","201834",,,"22","713","3.0855539972","116.34681449"
"State",,"Kansas","All","2018-19","201843",,,"27","517","5.2224371373","109.64838399"
"State",,"Kentucky","All","2017-18","201812",,,"92","945","9.7354497354","116.63910707"
"State",,"Wyoming","All","2017-18","201827",,,"6","104","5.7692307692","123.85185185"
"State",,"Colorado","All","2017-18","201822",,,"23","700","3.2857142857","114.22548407"
"State",,"South Dakota","All","2017-18","201837",,,"11","183","6.0109289617","133.65132613"
"State",,"Oregon","All","2018-19","201845",,,"35","711","4.9226441632","115.40683903"
"State",,"Texas","All","2017-18","201815",,,"263","3816","6.892033543","118.81793478"
"State",,"District of Columbia","All","2017-18","201832",,,"2","91","2.1978021978","101.89659791"
"State",,"New Jersey","All","2017-18","201813",,,"76","1551","4.9000644745","116.46486929"
"Region","1",,"All","2015-16","201615","14","199","213","2573","8.2782743879","112.38978003"
"State",,"New Hampshire","All","2017-18","201827",,,"8","220","3.6363636364","110.21357175"
"State",,"Connecticut","All","2017-18","201814",,,"40","658","6.0790273556","118.73462093"
"National",,,"0-17 years","2017-18","201747","2","21","23","688","3.3430232558","113.74646644"
"State",,"Maryland","All","2017-18","201822",,,"49","877","5.5872291904","105.27606587"
"State",,"Virginia","All","2017-18","201825",,,"63","1167","5.3984575835","101.93375015"
"National",,,"0-17 years","2017-18","201744","3","17","20","704","2.8409090909","112.81959668"
"State",,"Arizona","All","2017-18","201814",,,"92","1218","7.5533661741","134.2860308"
"State",,"Colorado","All","2017-18","201832",,,"23","716","3.2122905028","116.83635228"
"State",,"Vermont","All","2018-19","201844",,,"6","123","4.8780487805","122.59525967"
"National",,,"65 years and older","2017-18","201747","35","2611","2646","39969","6.6201306012","113.74646644"
"State",,"Wyoming","All","2017-18","201828",,,"10","92","10.869565217","109.56125356"
"State",,"Texas","All","2017-18","201809",,,"381","4093","9.3085756169","127.44282156"
"State",,"Washington","All","2017-18","201831",,,"33","986","3.3468559838","105.40761731"
"State",,"Colorado","All","2017-18","201815",,,"55","771","7.1335927367","125.81121174"
"State",,"Connecticut","All","2017-18","201830",,,"28","532","5.2631578947","95.998204156"
"State",,"Virginia","All","2017-18","201828",,,"54","1260","4.2857142857","110.0570053"
"State",,"Colorado","All","2017-18","201803",,,"76","816","9.3137254902","133.15427858"
"State",,"Maine","All","2018-19","201842",,,"33","292","11.301369863","119.42156038"
"State",,"Kentucky","All","2017-18","201829",,,"75","854","8.7822014052","105.40719305"
"State",,"Oklahoma","All","2017-18","201834",,,"58","687","8.442503639","98.666877401"
"State",,"Rhode Island","All","2017-18","201835",,,"8","168","4.7619047619","92.829949239"
"State",,"Colorado","All","2017-18","201812",,,"59","811","7.2749691739","132.33838226"
"State",,"Kentucky","All","2017-18","201835",,,"53","863","6.1413673233","106.51804169"
"State",,"Colorado","All","2017-18","201837",,,"28","693","4.0404040404","113.08322923"
"State",,"Virginia","All","2017-18","201830",,,"51","1200","4.25","104.81619552"
"State",,"Alaska","All","2018-19","201843",,,"6","92","6.5217391304","127.63358779"
"State",,"Vermont","All","2017-18","201825",,,"1","98","1.0204081633","97.677523964"
"State",,"Mississippi","All","2017-18","201806",,,"59","717","8.2287308229","129.38997539"
"State",,"New Hampshire","All","2017-18","201802",,,"36","277","12.996389892","138.76890625"
"State",,"Arkansas","All","2017-18","201834",,,"42","578","7.2664359862","103.30254832"
"State",,"Rhode Island","All","2017-18","201826",,,"13","184","7.0652173913","101.67089679"
"State",,"Nevada","All","2017-18","201807",,,"47","456","10.307017544","119.39266386"
"State",,"Michigan","All","2017-18","201803",,,"202","2222","9.0909090909","131.60299027"
"State",,"Wisconsin","All","2017-18","201805",,,"104","1117","9.3106535363","123.24752663"
"State",,"Arizona","All","2017-18","201820",,,"55","1017","5.4080629302","112.12552818"
"State",,"New Mexico","All","2017-18","201801",,,"39","418","9.3301435407","135.19762295"
"State",,"Florida","All","2017-18","201825",,,"206","3774","5.458399576","113.73370631"
"State",,"Iowa","All","2017-18","201823",,,"45","553","8.1374321881","103.603539"
"Region","8",,"All","2017-18","201818","3","90","93","1569","5.9273422562","111.9791969"
"State",,"Illinois","All","2017-18","201824",,,"97","1936","5.0103305785","100.29546491"
"State",,"Wyoming","All","2017-18","201826",,,"4","90","4.4444444444","107.17948718"
"State",,"Maine","All","2018-19","201846",,,"21","278","7.5539568345","113.69586913"
"State",,"Hawaii","All","2017-18","201824",,,"29","248","11.693548387","130.64475475"
"State",,"Delaware","All","2017-18","201828",,,"2","156","1.2820512821","105.64448189"
"State",,"Illinois","All","2017-18","201809",,,"174","2200","7.9090909091","113.97211922"
"State",,"Massachusetts","All","2017-18","201834",,,"47","1009","4.6580773043","99.926079313"
"State",,"Alaska","All","2017-18","201836",,,"4","87","4.5977011494","120.69697975"
"State",,"Kentucky","All","2015-16","201545",,,"64","849","7.5382803298","104.79005492"
"State",,"Arkansas","All","2009-10","201036",,,"45","529","8.5066162571","94.545065846"
"National",,,"0-17 years","2012-13","201322","0","9","9","745","1.2080536913","97.937136792"
"State",,"South Carolina","All","2013-14","201414",,,"61","901","6.7702552719","113.02111467"
"State",,"Arkansas","All","2017-18","201744",,,"35","624","5.608974359","111.52385839"
"Region","9",,"All","2010-11","201045","0","484","484","5993","8.0760887702","99.666435644"
"Region","8",,"All","2016-17","201727","1","72","73","1559","4.6824887749","111.26549903"
"State",,"Utah","All","2018-19","201846",,,"19","341","5.5718475073","119.40456046"
"State",,"South Dakota","All","2018-19","201847",,,"20","175","11.428571429","127.80864521"
"Region","7",,"All","2017-18","201818","6","122","128","2587","4.9478160031","109.95794337"
"State",,"Illinois","All","2017-18","201837",,,"108","2002","5.3946053946","103.71462849"
"State",,"Hawaii","All","2018-19","201841",,,"20","205","9.756097561","107.99264002"
"State",,"Kansas","All","2017-18","201806",,,"87","572","15.20979021","121.31310569"
"National",,,"18-64 years","2016-17","201727","8","508","516","13802","3.7385886103","107.10284892"
"State",,"South Dakota","All","2017-18","201828",,,"13","149","8.7248322148","108.81993221"
"State",,"Delaware","All","2017-18","201827",,,"9","174","5.1724137931","117.8342298"
"State",,"Illinois","All","2017-18","201817",,,"125","2151","5.8112505811","111.43364929"
"State",,"Vermont","All","2017-18","201833",,,"5","109","4.5871559633","108.64132767"
"State",,"Hawaii","All","2018-19","201842",,,"21","215","9.7674418605","113.26057368"
"State",,"Florida","All","2017-18","201806",,,"379","4531","8.3645994262","136.54674703"
"State",,"Massachusetts","All","2017-18","201827",,,"64","1119","5.7193923146","110.81990362"
"Region","1",,"All","2015-16","201635","0","151","151","2228","6.7773788151","97.32002717"
"State",,"Colorado","All","2017-18","201811",,,"59","788","7.4873096447","128.58525921"
"State",,"Alaska","All","2017-18","201815",,,"4","92","4.347826087","127.63358779"
"State",,"South Carolina","All","2017-18","201827",,,"41","861","4.7619047619","108.00352912"
"State",,"Vermont","All","2017-18","201826",,,"3","104","2.8846153846","103.65778053"
"State",,"Alabama","All","2017-18","201821",,,"55","993","5.5387713998","107.51151334"
"State",,"Wyoming","All","2017-18","201839",,,"3","88","3.4090909091","104.7977208"
"State",,"North Dakota","All","2017-18","201836",,,"7","100","7","87.855731641"
"State",,"Washington","All","2017-18","201819",,,"60","1065","5.6338028169","113.85305521"
"State",,"Arkansas","All","2017-18","201838",,,"27","597","4.5226130653","106.69830682"
"State",,"Colorado","All","2017-18","201823",,,"35","670","5.223880597","109.33010618"
"State",,"Washington","All","2017-18","201838",,,"51","1011","5.0445103858","108.08022424"
"State",,"Wyoming","All","2017-18","201837",,,"8","108","7.4074074074","128.61538462"
"State",,"Arizona","All","2017-18","201813",,,"78","1165","6.69527897","128.44271419"
"Region","8",,"All","2017-18","201822","0","81","81","1556","5.205655527","111.05138966"
"State",,"Vermont","All","2018-19","201842",,,"13","144","9.0277777778","143.52615766"
"State",,"Nebraska","All","2017-18","201831",,,"17","296","5.7432432432","101.368202"
"Region","8",,"All","2017-18","201833","1","76","77","1596","4.8245614035","113.90618117"
"State",,"California","All","2017-18","201818",,,"351","4966","7.0680628272","109.52130713"
"State",,"Montana","All","2018-19","201840",,,"9","206","4.3689320388","122.59809784"
"State",,"District of Columbia","All","2017-18","201825",,,"9","91","9.8901098901","101.89659791"
"State",,"Rhode Island","All","2017-18","201806",,,"22","216","10.185185185","119.35279188"
"State",,"South Dakota","All","2017-18","201833",,,"7","150","4.6666666667","109.55026732"
"State",,"District of Columbia","All","2017-18","201834",,,"4","83","4.8192771084","92.938655237"
"State",,"Louisiana","All","2017-18","201823",,,"44","878","5.0113895216","112.23981748"
"State",,"South Dakota","All","2017-18","201832",,,"7","124","5.6451612903","90.561554321"
"State",,"Arizona","All","2017-18","201825",,,"49","1060","4.6226415094","116.86633222"
"State",,"Iowa","All","2018-19","201846",,,"39","598","6.5217391304","112.03420673"
"State",,"South Dakota","All","2017-18","201822",,,"11","134","8.2089552239","97.864905476"
"State",,"Ohio","All","2017-18","201827",,,"94","2190","4.2922374429","106.40434628"
"State",,"Massachusetts","All","2018-19","201841",,,"48","1073","4.4734389562","106.26430436"
"State",,"Wyoming","All","2017-18","201824",,,"8","80","10","95.270655271"
"State",,"Maine","All","2018-19","201901",,,"24","311","7.7170418006","127.19214136"
"State",,"New York City","All","2017-18","201824",,,"87","964","9.0248962656","96.815054011"
"State",,"Arkansas","All","2017-18","201839",,,"33","570","5.7894736842","101.87275526"
"State",,"Tennessee","All","2017-18","201801",,,"187","1649","11.340206186","144.15119436"
"Region","8",,"All","2017-18","201813","17","108","125","1564","7.9923273657","111.62234796"
"National",,,"18-64 years","2016-17","201706","64","693","757","14344","5.2774679308","124.08285081"
"State",,"Massachusetts","All","2015-16","201635",,,"72","1004","7.171314741","99.430905481"
"Region","8",,"All","2017-18","201801","33","163","196","1892","10.359408034","135.03163833"
"State",,"Nevada","All","2017-18","201830",,,"15","459","3.2679738562","120.17814191"
"State",,"District of Columbia","All","2018-19","201840",,,"6","83","7.2289156627","92.938655237"
"State",,"Texas","All","2017-18","201804",,,"552","4631","11.919671777","144.1944067"
"State",,"New York City","All","2017-18","201827",,,"85","1039","8.1809432146","104.34734556"
"State",,"Rhode Island","All","2017-18","201834",,,"12","193","6.2176165803","106.64392978"
"Region","8",,"All","2017-18","201811","20","136","156","1717","9.0856144438","122.54192548"
"State",,"South Carolina","All","2017-18","201828",,,"44","909","4.8404840484","114.02463178"
"State",,"New Hampshire","All","2018-19","201849",,,"12","244","4.9180327869","122.23687049"
"State",,"District of Columbia","All","2017-18","201831",,,"6","102","5.8823529412","114.21376909"
"State",,"Washington","All","2017-18","201823",,,"53","1058","5.0094517958","113.10472527"
"State",,"Nevada","All","2017-18","201836",,,"27","418","6.4593301435","109.44327521"
"Region","8",,"All","2017-18","201808","24","125","149","1728","8.6226851852","123.32699315"
"State",,"New York City","All","2017-18","201831",,,"80","918","8.7145969499","92.19524853"
"State",,"Maryland","All","2017-18","201835",,,"53","908","5.8370044053","108.99734072"
"State",,"North Carolina","All","2017-18","201807",,,"233","2026","11.500493583","133.57876539"
"State",,"Utah","All","2016-17","201727",,,"14","322","4.347826087","112.75152043"
"State",,"Virginia","All","2017-18","201821",,,"58","1194","4.8576214405","104.29211455"
"State",,"Massachusetts","All","2017-18","201805",,,"146","1259","11.596505163","124.68477092"
"State",,"Colorado","All","2017-18","201839",,,"30","678","4.4247787611","110.63554029"
"State",,"Massachusetts","All","2017-18","201833",,,"62","1027","6.0370009737","101.70870511"
"State",,"Ohio","All","2017-18","201821",,,"125","2189","5.710370032","106.35575982"
"Region","2",,"All","2016-17","201706","27","388","415","4900","8.4693877551","118.05772505"
"National",,,"All","2015-16","201635","5","2869","2874","49579","5.7968091329","104.20244013"
"State",,"Texas","All","2017-18","201827",,,"204","3421","5.9631686641","106.51890851"
"State",,"District of Columbia","All","2017-18","201836",,,"4","96","4.1666666667","107.49531208"
"State",,"New Mexico","All","2017-18","201816",,,"24","345","6.9565217391","111.58655483"
"State",,"Alaska","All","2017-18","201825",,,"4","74","5.4054054054","102.66179887"
"State",,"Massachusetts","All","2017-18","201824",,,"55","1072","5.1305970149","106.1652696"
"State",,"Oregon","All","2018-19","201840",,,"19","675","2.8148148148","109.56345477"
"Region","8",,"All","2017-18","201806","38","128","166","1773","9.3626621545","126.53863359"
"State",,"Colorado","All","2017-18","201809",,,"49","736","6.6576086957","120.09993754"
"State",,"Oklahoma","All","2017-18","201826",,,"57","714","7.9831932773","102.54461494"
"State",,"Maryland","All","2017-18","201818",,,"56","919","6.0935799782","110.31779308"
"State",,"Colorado","All","2017-18","201824",,,"41","694","5.9077809798","113.24640849"
"National",,,"All","2016-17","201706","419","4447","4866","59038","8.2421491243","124.08285081"
"State",,"Wyoming","All","2017-18","201825",,,"7","77","9.0909090909","91.698005698"
"State",,"Colorado","All","2018-19","201842",,,"37","711","5.2039381153","116.02045597"
"State",,"West Virginia","All","2017-18","201835",,,"32","432","7.4074074074","104.79595153"
"State",,"Alaska","All","2017-18","201822",,,"4","69","5.7971014493","95.72519084"
"State",,"Kansas","All","2017-18","201821",,,"25","487","5.1334702259","103.28580851"
"State",,"Nebraska","All","2018-19","201840",,,"21","308","6.8181818182","105.47772371"
"State",,"Washington","All","2017-18","201809",,,"91","1227","7.4164629177","131.17154812"
"Region","10",,"All","2017-18","201831","0","71","71","2006","3.5393818544","108.67499423"
"State",,"Rhode Island","All","2018-19","201840",,,"5","191","2.6178010471","105.53881134"
"State",,"North Carolina","All","2017-18","201837",,,"82","1652","4.9636803874","108.92009893"
"State",,"Virginia","All","2017-18","201832",,,"54","1269","4.2553191489","110.84312677"
"State",,"Wyoming","All","2017-18","201823",,,"6","91","6.5934065934","108.37037037"
"State",,"Utah","All","2018-19","201845",,,"23","331","6.9486404834","115.90296044"
"Region","10",,"All","2017-18","201821","3","96","99","1945","5.0899742931","105.37032093"
"National",,,"65 years and older","2015-16","201635","1","2304","2305","35816","6.4356712084","104.20244013"
"State",,"South Carolina","All","2017-18","201838",,,"58","930","6.2365591398","116.6588642"
"Region","3",,"All","2017-18","201819","9","272","281","5223","5.3800497798","103.70390426"
"State",,"Louisiana","All","2017-18","201815",,,"26","833","3.1212484994","106.48720725"
"National",,,"18-64 years","2015-16","201635","4","553","557","13101","4.2515838486","104.20244013"
"State",,"Massachusetts","All","2017-18","201817",,,"107","1105","9.6832579186","109.43341689"
"Region","10",,"All","2017-18","201809","37","131","168","2316","7.2538860104","125.46923561"
"State",,"Rhode Island","All","2017-18","201839",,,"11","193","5.6994818653","106.64392978"
