"month","sort","year","hits"
"January","1","2014","80559009"
"February","2","2014","77595355"
"March","3","2014","84225073"
"April","4","2014","83951491"
"May","5","2014","81601834"
"June","6","2014","73107873"
"July","7","2014","76814806"
"August","8","2014","84578136"
"September","9","2014","95570138"
"October","10","2014","143925415"
"November","11","2014","88408415"
"December","12","2014","77040666"
"January","1","2015","84910793"
"February","2","2015","84709063"
"March","3","2015","85489321"
"April","4","2015","83052580"
"May","5","2015","72511474"
"June","6","2015","73797639"
"July","7","2015","76147057"
"August","8","2015","79696254"
"September","9","2015","87652029"
"October","10","2015","87652029"
"November","11","2015","93966584"
"December","12","2015","84267847"
"January","1","2016","109453661"
"February","2","2016","122943253"
"March","3","2016","112285513"
"April","4","2016","120380510"
"May","5","2016","114678570"
"June","6","2016","105102248"
"July","7","2016","97128611"
"August","8","2016","109791194"
"September","9","2016","103315923"
"October","10","2016","100698261"
"November","11","2016","86941536"
"December","12","2016","67484306"
"January","1","2017","78551952"
"February","2","2017","76666751"
"March","3","2017","82576635"
"April","4","2017","71650769"
"May","5","2017","69614471"
"June","6","2017","66183568"
"July","7","2017","65108230"
"August","8","2017","66530831"
"September","9","2017","70907131"
"October","10","2017","78774412"
"November","11","2017","74962237"
"December","12","2017","63277568"
"January","1","2018","82831947"
"February","2","2018","74271998"
"March","3","2018","73858019"
"April","4","2018","75436005"
"May","5","2018","64251978"
"June","6","2018","52770008"
"July","7","2018","63791236"
"August","8","2018","76608854"
"September","9","2018","78959308"
"October","10","2018","93544158"
"November","11","2018","91474779"
"December","12","2018","71598145"
"January","1","2019","87535934"
"February","2","2019","86913634"
"March","3","2019","99595793"
"April","4","2019","104579921"
"May","5","2019","96984149"
"June","6","2019","88435925"
"July","7","2019","90107521"
"August","8","2019","93671807"
"September","9","2019","101691816"
"October","10","2019","111292015"
"November","11","2019","110680462"
"December","12","2019","95389650"
"January","1","2020","160606804"
"February","2","2020","259304581"
"March","3","2020","1075594920"
"April","4","2020","474161614"
"May","5","2020","308202224"
"June","6","2020","250867236"
"July","7","2020","310159256"
"August","8","2020","234636400"
"September","9","2020","202745131"
"October","10","2020","217881138"
"November","11","2020","230597388"
"December","12","2020","249334351"
"January","1","2021","292726716"
"February","2","2021","231261233"
"March","3","2021","301991892"
"April","4","2021","266845041"
"May","5","2021","224670626"
"June","6","2021","194919107"
"July","7","2021","231918770"
"August","8","2021","300187990"
"September","9","2021","1415875"
"October","10","2021","1919473"
"November","11","2021","1641398"
"December","12","2021","264200892"
"January","1","2022","305322624"
"February","2","2022","178491529"
"March","3","2022","175823165"
"April","4","2022","159631435"
"May","5","2022",
"June","6","2022","156970313"
