"county","county_fips","state","county_population","health_service_area_number","health_service_area","health_service_area_population","covid_inpatient_bed_utilization","covid_hospital_admissions_per_100k","covid_cases_per_100k","covid_19_community_level","date_updated"
"Pierce County","55093","Wisconsin","42754","370","St. Croix, WI - Goodhue, MN","179781","6.5","7.8","156.71","Low","2022-02-24T00:00:00.000"
"Polk County","55095","Wisconsin","43783","286","Ramsey (St. Paul), MN - Dakota, MN","1342144","7.5","6","219.26","Medium","2022-02-24T00:00:00.000"
"Portage County","55097","Wisconsin","70772","400","Portage, WI","70772","9.5","7.1","139.89","Low","2022-02-24T00:00:00.000"
"Price County","55099","Wisconsin","13351","357","Ashland, WI - Sawyer, WI","60507","9.1","9.9","172.27","Low","2022-02-24T00:00:00.000"
"Racine County","55101","Wisconsin","196311","382","Racine (Racine), WI - Kenosha, WI","365872","4.6","28.4","96.79","High","2022-02-24T00:00:00.000"
"Richland County","55103","Wisconsin","17252","301","Dane (Madison), WI - Sauk, WI","776612","5.8","7","127.52","Low","2022-02-24T00:00:00.000"
"Rock County","55105","Wisconsin","163354","326","Rock (Janesville), WI - Green, WI","216979","7.4","10.6","157.33","Medium","2022-02-24T00:00:00.000"
"Rusk County","55107","Wisconsin","14178","374","Barron, WI - Rusk, WI","59422","4.2","28.6","84.64","High","2022-02-24T00:00:00.000"
"St. Croix County","55109","Wisconsin","90687","370","St. Croix, WI - Goodhue, MN","179781","6.5","7.8","180.84","Low","2022-02-24T00:00:00.000"
"Sauk County","55111","Wisconsin","64442","301","Dane (Madison), WI - Sauk, WI","776612","5.8","7","135.01","Low","2022-02-24T00:00:00.000"
"Sawyer County","55113","Wisconsin","16558","357","Ashland, WI - Sawyer, WI","60507","9.1","9.9","66.43","Low","2022-02-24T00:00:00.000"
"Rincón Muni","72117","Puerto Rico","13656","904","Puerto Rico","3193694","1.6","2.4","65.91","Low","2022-02-24T00:00:00.000"
"Río Grande Muni","72119","Puerto Rico","48025","904","Puerto Rico","3193694","1.6","2.4","39.56","Low","2022-02-24T00:00:00.000"
"Sabana Grande Muni","72121","Puerto Rico","21712","904","Puerto Rico","3193694","1.6","2.4","46.06","Low","2022-02-24T00:00:00.000"
"Salinas Muni","72123","Puerto Rico","27128","904","Puerto Rico","3193694","1.6","2.4","55.29","Low","2022-02-24T00:00:00.000"
"San Germán Muni","72125","Puerto Rico","30227","904","Puerto Rico","3193694","1.6","2.4","59.55","Low","2022-02-24T00:00:00.000"
"San Juan Muni","72127","Puerto Rico","318441","904","Puerto Rico","3193694","1.6","2.4","59.04","Low","2022-02-24T00:00:00.000"
"San Lorenzo Muni","72129","Puerto Rico","35989","904","Puerto Rico","3193694","1.6","2.4","63.91","Low","2022-02-24T00:00:00.000"
"San Sebastián Muni","72131","Puerto Rico","35528","904","Puerto Rico","3193694","1.6","2.4","61.92","Low","2022-02-24T00:00:00.000"
"Santa Isabel Muni","72133","Puerto Rico","21209","904","Puerto Rico","3193694","1.6","2.4","117.87","Low","2022-02-24T00:00:00.000"
"Toa Alta Muni","72135","Puerto Rico","72025","904","Puerto Rico","3193694","1.6","2.4","56.92","Low","2022-02-24T00:00:00.000"
"Toa Baja Muni","72137","Puerto Rico","74271","904","Puerto Rico","3193694","1.6","2.4","43.09","Low","2022-02-24T00:00:00.000"
"Trujillo Alto Muni","72139","Puerto Rico","63674","904","Puerto Rico","3193694","1.6","2.4","58.11","Low","2022-02-24T00:00:00.000"
"Utuado Muni","72141","Puerto Rico","27395","904","Puerto Rico","3193694","1.6","2.4","36.5","Low","2022-02-24T00:00:00.000"
"Shawano County","55115","Wisconsin","40899","379","Shawano, WI - Langlade, WI","64644","6.8","10.8","112.47","Medium","2022-02-24T00:00:00.000"
"Sheboygan County","55117","Wisconsin","115340","355","Sheboygan (Sheboygan), WI - Manitowoc, WI","244410","4.6","9.4","112.71","Low","2022-02-24T00:00:00.000"
"Taylor County","55119","Wisconsin","20343","282","Marathon (Wausau), WI - Wood, WI","291401","9.5","23.3","98.31","High","2022-02-24T00:00:00.000"
"Vega Alta Muni","72143","Puerto Rico","36061","904","Puerto Rico","3193694","1.6","2.4","69.33","Low","2022-02-24T00:00:00.000"
"Vega Baja Muni","72145","Puerto Rico","50023","904","Puerto Rico","3193694","1.6","2.4","79.96","Low","2022-02-24T00:00:00.000"
"Vieques Muni","72147","Puerto Rico","8386","904","Puerto Rico","3193694","1.6","2.4","95.4","Low","2022-02-24T00:00:00.000"
"Villalba Muni","72149","Puerto Rico","21372","904","Puerto Rico","3193694","1.6","2.4","23.4","Low","2022-02-24T00:00:00.000"
"Yabucoa Muni","72151","Puerto Rico","32282","904","Puerto Rico","3193694","1.6","2.4","96.03","Low","2022-02-24T00:00:00.000"
"Yauco Muni","72153","Puerto Rico","33575","904","Puerto Rico","3193694","1.6","2.4","65.52","Low","2022-02-24T00:00:00.000"
"Trempealeau County","55121","Wisconsin","29649","290","La Crosse (La Crosse), WI - Monroe, WI","257027","6.3","21.8","232.72","High","2022-02-24T00:00:00.000"
"Vernon County","55123","Wisconsin","30822","290","La Crosse (La Crosse), WI - Monroe, WI","257027","6.3","21.8","149.24","High","2022-02-24T00:00:00.000"
"Vilas County","55125","Wisconsin","22195","284","Oneida, WI - Vilas, WI","92176","5.1","7.6","171.21","Low","2022-02-24T00:00:00.000"
"Walworth County","55127","Wisconsin","103868","387","Walworth, WI - Jefferson, WI","188637","6.9","5.3","124.2","Low","2022-02-24T00:00:00.000"
"Washburn County","55129","Wisconsin","15720","314","Washburn, WI - Burnett, WI","31134","0","3.2","197.2","Low","2022-02-24T00:00:00.000"
"Washington County","55131","Wisconsin","136034","280","Milwaukee (Milwaukee), WI - Waukesha, WI","1575179","6.3","10.5","103.65","Medium","2022-02-24T00:00:00.000"
"Crook County","56011","Wyoming","7584","586","Campbell, WY - Lawrence, SD","79769","4","7.5","39.56","Low","2022-02-24T00:00:00.000"
"Fremont County","56013","Wyoming","39261","777","Fremont, WY - Washakie, WY","51479","3.8","23.3","308.19","High","2022-02-24T00:00:00.000"
"Fajardo Muni","72053","Puerto Rico","29454","904","Puerto Rico","3193694","1.6","2.4","84.88","Low","2022-02-24T00:00:00.000"
"Florida Muni","72054","Puerto Rico","11317","904","Puerto Rico","3193694","1.6","2.4","79.53","Low","2022-02-24T00:00:00.000"
"Guánica Muni","72055","Puerto Rico","15383","904","Puerto Rico","3193694","1.6","2.4","32.5","Low","2022-02-24T00:00:00.000"
"Guayama Muni","72057","Puerto Rico","39465","904","Puerto Rico","3193694","1.6","2.4","98.82","Low","2022-02-24T00:00:00.000"
"Guayanilla Muni","72059","Puerto Rico","17623","904","Puerto Rico","3193694","1.6","2.4","51.07","Low","2022-02-24T00:00:00.000"
"Guaynabo Muni","72061","Puerto Rico","83728","904","Puerto Rico","3193694","1.6","2.4","93.16","Low","2022-02-24T00:00:00.000"
"Gurabo Muni","72063","Puerto Rico","47093","904","Puerto Rico","3193694","1.6","2.4","57.33","Low","2022-02-24T00:00:00.000"
"Hatillo Muni","72065","Puerto Rico","39218","904","Puerto Rico","3193694","1.6","2.4","61.2","Low","2022-02-24T00:00:00.000"
"Hormigueros Muni","72067","Puerto Rico","15518","904","Puerto Rico","3193694","1.6","2.4","38.66","Low","2022-02-24T00:00:00.000"
"Humacao Muni","72069","Puerto Rico","50653","904","Puerto Rico","3193694","1.6","2.4","73.05","Low","2022-02-24T00:00:00.000"
"Isabela Muni","72071","Puerto Rico","40423","904","Puerto Rico","3193694","1.6","2.4","111.32","Low","2022-02-24T00:00:00.000"
"Geneva County","01061","Alabama","26271","162","Houston (Dothan), AL - Dale, AL","277857","11.9","20.9","140.84","High","2022-02-24T00:00:00.000"
"Greene County","01063","Alabama","8111","156","Tuscaloosa (Tuscaloosa), AL - Pickens, AL","252047","6.6","5.6","283.57","Medium","2022-02-24T00:00:00.000"
"Hale County","01065","Alabama","14651","156","Tuscaloosa (Tuscaloosa), AL - Pickens, AL","252047","6.6","5.6","409.53","Medium","2022-02-24T00:00:00.000"
"Henry County","01067","Alabama","17205","162","Houston (Dothan), AL - Dale, AL","277857","11.9","20.9","156.93","High","2022-02-24T00:00:00.000"
"Houston County","01069","Alabama","105882","162","Houston (Dothan), AL - Dale, AL","277857","11.9","20.9","128.44","High","2022-02-24T00:00:00.000"
"Jackson County","01071","Alabama","51626","210","Madison (Huntsville), AL - Limestone, AL","557816","13","28.7","172.39","High","2022-02-24T00:00:00.000"
"Jefferson County","01073","Alabama","658573","150","Jefferson (Birmingham), AL - Shelby, AL","1237724","8.5","23.4","96.88","High","2022-02-24T00:00:00.000"
"Lamar County","01075","Alabama","13805","461","Lowndes, MS - Clay, MS","102133","4.3","7.8","325.97","Medium","2022-02-24T00:00:00.000"
"Lauderdale County","01077","Alabama","92729","219","Lauderdale (Florence), AL - Colbert, AL","202961","7.3","13.8","168.23","Medium","2022-02-24T00:00:00.000"
"Lawrence County","01079","Alabama","32924","185","Morgan (Decatur), AL - Lawrence, AL","152603","6.9","5.9","191.35","Low","2022-02-24T00:00:00.000"
"Autauga County","01001","Alabama","55869","171","Montgomery (Montgomery), AL - Autauga, AL","386117","8","15.5","152.14","Medium","2022-02-24T00:00:00.000"
"Baldwin County","01003","Alabama","223234","161","Mobile (Mobile), AL - Baldwin, AL","697125","8","16.2","99.9","Medium","2022-02-24T00:00:00.000"
"Barbour County","01005","Alabama","24686","162","Houston (Dothan), AL - Dale, AL","277857","11.9","20.9","81.02","High","2022-02-24T00:00:00.000"
"Bibb County","01007","Alabama","22394","150","Jefferson (Birmingham), AL - Shelby, AL","1237724","8.5","23.4","125.03","High","2022-02-24T00:00:00.000"
"Blount County","01009","Alabama","57826","150","Jefferson (Birmingham), AL - Shelby, AL","1237724","8.5","23.4","193.68","High","2022-02-24T00:00:00.000"
"Bullock County","01011","Alabama","10101","171","Montgomery (Montgomery), AL - Autauga, AL","386117","8","15.5","79.2","Medium","2022-02-24T00:00:00.000"
"Butler County","01013","Alabama","19448","259","Butler, AL","19448","6.1","0","113.12","Low","2022-02-24T00:00:00.000"
"Calhoun County","01015","Alabama","113605","177","Calhoun (Anniston), AL - Carroll, GA","278299","5.6","20.8","177.81","High","2022-02-24T00:00:00.000"
"Chambers County","01017","Alabama","33254","172","Coweta, GA - Troup (La Grange), GA","307497","9.3","13","99.24","Medium","2022-02-24T00:00:00.000"
"Cherokee County","01019","Alabama","26196","224","Etowah (Gadsden), AL - Marshall, AL","296751","12.8","20.2","148.88","High","2022-02-24T00:00:00.000"
"Chilton County","01021","Alabama","44428","150","Jefferson (Birmingham), AL - Shelby, AL","1237724","8.5","23.4","272.35","High","2022-02-24T00:00:00.000"
"Choctaw County","01023","Alabama","12589","412","Lauderdale, MS - Neshoba, MS","174560","5.7","18.3","270.08","High","2022-02-24T00:00:00.000"
"Clarke County","01025","Alabama","23622","161","Mobile (Mobile), AL - Baldwin, AL","697125","8","16.2","182.03","Medium","2022-02-24T00:00:00.000"
"Clay County","01027","Alabama","13235","241","Talladega, AL - Clay, AL","103876","6.7","13.5","188.89","Medium","2022-02-24T00:00:00.000"
"Cleburne County","01029","Alabama","14910","177","Calhoun (Anniston), AL - Carroll, GA","278299","5.6","20.8","127.43","High","2022-02-24T00:00:00.000"
"Coffee County","01031","Alabama","52342","162","Houston (Dothan), AL - Dale, AL","277857","11.9","20.9","84.06","High","2022-02-24T00:00:00.000"
"Colbert County","01033","Alabama","55241","219","Lauderdale (Florence), AL - Colbert, AL","202961","7.3","13.8","161.11","Medium","2022-02-24T00:00:00.000"
"Conecuh County","01035","Alabama","12067","163","Escambia (Pensacola), FL - Okaloosa, FL","836138","8.1","16.6","82.87","Medium","2022-02-24T00:00:00.000"
"Coosa County","01037","Alabama","10663","241","Talladega, AL - Clay, AL","103876","6.7","13.5","271.97","High","2022-02-24T00:00:00.000"
"Covington County","01039","Alabama","37049","171","Montgomery (Montgomery), AL - Autauga, AL","386117","8","15.5","99.87","Medium","2022-02-24T00:00:00.000"
"Crenshaw County","01041","Alabama","13772","171","Montgomery (Montgomery), AL - Autauga, AL","386117","8","15.5","101.66","Medium","2022-02-24T00:00:00.000"
"Cullman County","01043","Alabama","83768","150","Jefferson (Birmingham), AL - Shelby, AL","1237724","8.5","23.4","173.1","High","2022-02-24T00:00:00.000"
"Dale County","01045","Alabama","49172","162","Houston (Dothan), AL - Dale, AL","277857","11.9","20.9","122.02","High","2022-02-24T00:00:00.000"
"Dallas County","01047","Alabama","37196","175","Dallas, AL - Marengo, AL","75355","6.5","8","115.6","Low","2022-02-24T00:00:00.000"
"DeKalb County","01049","Alabama","71513","224","Etowah (Gadsden), AL - Marshall, AL","296751","12.8","20.2","149.62","High","2022-02-24T00:00:00.000"
"Elmore County","01051","Alabama","81209","179","Lee (Auburn), AL - Elmore, AL","304186","10.2","9.2","102.21","Medium","2022-02-24T00:00:00.000"
"Escambia County","01053","Alabama","36633","163","Escambia (Pensacola), FL - Okaloosa, FL","836138","8.1","16.6","81.89","Medium","2022-02-24T00:00:00.000"
"Etowah County","01055","Alabama","102268","224","Etowah (Gadsden), AL - Marshall, AL","296751","12.8","20.2","123.21","High","2022-02-24T00:00:00.000"
"Fayette County","01057","Alabama","16302","247","Marion, AL - Fayette, AL","46011","4.3","8.7","779.05","Medium","2022-02-24T00:00:00.000"
"Franklin County","01059","Alabama","31362","219","Lauderdale (Florence), AL - Colbert, AL","202961","7.3","13.8","178.56","Medium","2022-02-24T00:00:00.000"
"Lee County","01081","Alabama","164542","179","Lee (Auburn), AL - Elmore, AL","304186","10.2","9.2","73.54","Medium","2022-02-24T00:00:00.000"
"Limestone County","01083","Alabama","98915","210","Madison (Huntsville), AL - Limestone, AL","557816","13","28.7","182.99","High","2022-02-24T00:00:00.000"
"Lowndes County","01085","Alabama","9726","171","Montgomery (Montgomery), AL - Autauga, AL","386117","8","15.5","61.69","Medium","2022-02-24T00:00:00.000"
"Macon County","01087","Alabama","18068","179","Lee (Auburn), AL - Elmore, AL","304186","10.2","9.2","88.55","Medium","2022-02-24T00:00:00.000"
"Madison County","01089","Alabama","372909","210","Madison (Huntsville), AL - Limestone, AL","557816","13","28.7","171.09","High","2022-02-24T00:00:00.000"
"Marengo County","01091","Alabama","18863","175","Dallas, AL - Marengo, AL","75355","6.5","8","683.88","Medium","2022-02-24T00:00:00.000"
"Marion County","01093","Alabama","29709","247","Marion, AL - Fayette, AL","46011","4.3","8.7","185.13","Low","2022-02-24T00:00:00.000"
"Marshall County","01095","Alabama","96774","224","Etowah (Gadsden), AL - Marshall, AL","296751","12.8","20.2","100.23","High","2022-02-24T00:00:00.000"
"Mobile County","01097","Alabama","413210","161","Mobile (Mobile), AL - Baldwin, AL","697125","8","16.2","162.87","Medium","2022-02-24T00:00:00.000"
"Monroe County","01099","Alabama","20733","161","Mobile (Mobile), AL - Baldwin, AL","697125","8","16.2","106.11","Medium","2022-02-24T00:00:00.000"
"Montgomery County","01101","Alabama","226486","171","Montgomery (Montgomery), AL - Autauga, AL","386117","8","15.5","102.88","Medium","2022-02-24T00:00:00.000"
"Morgan County","01103","Alabama","119679","185","Morgan (Decatur), AL - Lawrence, AL","152603","6.9","5.9","198.87","Low","2022-02-24T00:00:00.000"
"Perry County","01105","Alabama","8923","175","Dallas, AL - Marengo, AL","75355","6.5","8","246.55","Medium","2022-02-24T00:00:00.000"
"Pickens County","01107","Alabama","19930","156","Tuscaloosa (Tuscaloosa), AL - Pickens, AL","252047","6.6","5.6","396.39","Medium","2022-02-24T00:00:00.000"
"Pike County","01109","Alabama","33114","171","Montgomery (Montgomery), AL - Autauga, AL","386117","8","15.5","102.68","Medium","2022-02-24T00:00:00.000"
"Randolph County","01111","Alabama","22722","172","Coweta, GA - Troup (La Grange), GA","307497","9.3","13","35.21","Medium","2022-02-24T00:00:00.000"
"Russell County","01113","Alabama","57961","166","Muscogee (Columbus), GA - Russell, AL","328912","12.5","15.8","67.29","Medium","2022-02-24T00:00:00.000"
"St. Clair County","01115","Alabama","89512","150","Jefferson (Birmingham), AL - Shelby, AL","1237724","8.5","23.4","121.77","High","2022-02-24T00:00:00.000"
"Shelby County","01117","Alabama","217702","150","Jefferson (Birmingham), AL - Shelby, AL","1237724","8.5","23.4","148.83","High","2022-02-24T00:00:00.000"
"Sumter County","01119","Alabama","12427","412","Lauderdale, MS - Neshoba, MS","174560","5.7","18.3","458.68","High","2022-02-24T00:00:00.000"
"Talladega County","01121","Alabama","79978","241","Talladega, AL - Clay, AL","103876","6.7","13.5","233.81","High","2022-02-24T00:00:00.000"
"Tallapoosa County","01123","Alabama","40367","179","Lee (Auburn), AL - Elmore, AL","304186","10.2","9.2","133.77","Medium","2022-02-24T00:00:00.000"
"Tuscaloosa County","01125","Alabama","209355","156","Tuscaloosa (Tuscaloosa), AL - Pickens, AL","252047","6.6","5.6","283.73","Medium","2022-02-24T00:00:00.000"
"Walker County","01127","Alabama","63521","150","Jefferson (Birmingham), AL - Shelby, AL","1237724","8.5","23.4","181.04","High","2022-02-24T00:00:00.000"
"Washington County","01129","Alabama","16326","161","Mobile (Mobile), AL - Baldwin, AL","697125","8","16.2","128.63","Medium","2022-02-24T00:00:00.000"
"Wilcox County","01131","Alabama","10373","175","Dallas, AL - Marengo, AL","75355","6.5","8","241.01","Medium","2022-02-24T00:00:00.000"
"Winston County","01133","Alabama","23629","219","Lauderdale (Florence), AL - Colbert, AL","202961","7.3","13.8","355.5","High","2022-02-24T00:00:00.000"
"Apache County","04001","Arizona","71887","765","McKinley, NM - Apache, AZ","143254","9.8","25.8","332.47","High","2022-02-24T00:00:00.000"
"Cochise County","04003","Arizona","125922","700","Pima (Tucson), AZ - Cochise, AZ","1268034","9.3","15.5","260.48","High","2022-02-24T00:00:00.000"
"Coconino County","04005","Arizona","143476","699","Maricopa (Phoenix), AZ - Pinal, AZ","5380796","9.3","19.8","181.21","Medium","2022-02-24T00:00:00.000"
"Gila County","04007","Arizona","54018","699","Maricopa (Phoenix), AZ - Pinal, AZ","5380796","9.3","19.8","236.96","High","2022-02-24T00:00:00.000"
"Graham County","04009","Arizona","38837","700","Pima (Tucson), AZ - Cochise, AZ","1268034","9.3","15.5","272.94","High","2022-02-24T00:00:00.000"
"Greenlee County","04011","Arizona","9498","700","Pima (Tucson), AZ - Cochise, AZ","1268034","9.3","15.5","231.63","High","2022-02-24T00:00:00.000"
"La Paz County","04012","Arizona","21108","787","Yuma, AZ - La Paz, AZ","234895","18.9","40.4","165.81","High","2022-02-24T00:00:00.000"
"Maricopa County","04013","Arizona","4485414","699","Maricopa (Phoenix), AZ - Pinal, AZ","5380796","9.3","19.8","190.66","Medium","2022-02-24T00:00:00.000"
"Mohave County","04015","Arizona","212181","803","Mohave, AZ","212181","13.1","28.7","186.63","High","2022-02-24T00:00:00.000"
"Navajo County","04017","Arizona","110924","740","San Juan, NM - Navajo, AZ","349406","14.5","22.9","288.49","High","2022-02-24T00:00:00.000"
"Pima County","04019","Arizona","1047279","700","Pima (Tucson), AZ - Cochise, AZ","1268034","9.3","15.5","238.71","High","2022-02-24T00:00:00.000"
"Pinal County","04021","Arizona","462789","699","Maricopa (Phoenix), AZ - Pinal, AZ","5380796","9.3","19.8","203.98","High","2022-02-24T00:00:00.000"
"Santa Cruz County","04023","Arizona","46498","700","Pima (Tucson), AZ - Cochise, AZ","1268034","9.3","15.5","109.68","Medium","2022-02-24T00:00:00.000"
"Yavapai County","04025","Arizona","235099","699","Maricopa (Phoenix), AZ - Pinal, AZ","5380796","9.3","19.8","148.02","Medium","2022-02-24T00:00:00.000"
"Yuma County","04027","Arizona","213787","787","Yuma, AZ - La Paz, AZ","234895","18.9","40.4","170.26","High","2022-02-24T00:00:00.000"
"Arkansas County","05001","Arkansas","17486","527","Arkansas, AR - Monroe, AR","24187","9.8","49.6","188.72","High","2022-02-24T00:00:00.000"
"Ashley County","05003","Arkansas","19657","480","Ashley, AR - Chicot, AR","29775","6","57.1","310.32","High","2022-02-24T00:00:00.000"
"Baxter County","05005","Arkansas","41932","407","Baxter, AR - Marion, AR","58626","5.7","6.8","171.71","Low","2022-02-24T00:00:00.000"
"Benton County","05007","Arkansas","279141","446","Washington (Fayetteville), AR - Benton, AR","577913","9.4","14.2","194.17","Medium","2022-02-24T00:00:00.000"
"Boone County","05009","Arkansas","37432","494","Boone, AR - Carroll, AR","81446","9.7","12.3","192.35","Medium","2022-02-24T00:00:00.000"
"Bradley County","05011","Arkansas","10763","473","Jefferson (Pine Bluff), AR - Drew, AR","128147","5","11.7","148.66","Medium","2022-02-24T00:00:00.000"
"Calhoun County","05013","Arkansas","5189","486","Union, AR - Columbia, AR","67328","11.4","7.4","192.72","Medium","2022-02-24T00:00:00.000"
"Carroll County","05015","Arkansas","28380","494","Boone, AR - Carroll, AR","81446","9.7","12.3","133.9","Medium","2022-02-24T00:00:00.000"
"Chicot County","05017","Arkansas","10118","480","Ashley, AR - Chicot, AR","29775","6","57.1","118.6","High","2022-02-24T00:00:00.000"
"Clark County","05019","Arkansas","22320","448","Garland, AR - Hot Spring, AR","175181","12.6","16.6","219.53","High","2022-02-24T00:00:00.000"
"Clay County","05021","Arkansas","14551","571","Craighead, AR - Greene, AR","257231","8.7","17.5","164.94","Medium","2022-02-24T00:00:00.000"
"Cleburne County","05023","Arkansas","24919","457","White, AR - Cleburne, AR","126711","10.1","25.5","228.74","High","2022-02-24T00:00:00.000"
"Cleveland County","05025","Arkansas","7956","473","Jefferson (Pine Bluff), AR - Drew, AR","128147","5","11.7","175.97","Medium","2022-02-24T00:00:00.000"
"Columbia County","05027","Arkansas","23457","486","Union, AR - Columbia, AR","67328","11.4","7.4","251.52","High","2022-02-24T00:00:00.000"
"Conway County","05029","Arkansas","20846","432","Pulaski (Little Rock), AR - Faulkner, AR","787837","10.3","35.8","211.07","High","2022-02-24T00:00:00.000"
"Craighead County","05031","Arkansas","110332","571","Craighead, AR - Greene, AR","257231","8.7","17.5","414.2","High","2022-02-24T00:00:00.000"
"Crawford County","05033","Arkansas","63257","421","Sebastian (Fort Smith), AR - Crawford, AR","344595","16.6","30.5","148.6","High","2022-02-24T00:00:00.000"
"Crittenden County","05035","Arkansas","47955","499","Crittenden (West Memphis), AR - St. Francis, AR","98225","2.1","3.1","256.49","Medium","2022-02-24T00:00:00.000"
"Cross County","05037","Arkansas","16419","499","Crittenden (West Memphis), AR - St. Francis, AR","98225","2.1","3.1","334.98","Medium","2022-02-24T00:00:00.000"
"Dallas County","05039","Arkansas","7009","496","Ouachita, AR - Dallas, AR","30391","1.7","19.7","328.15","High","2022-02-24T00:00:00.000"
"Desha County","05041","Arkansas","11361","473","Jefferson (Pine Bluff), AR - Drew, AR","128147","5","11.7","167.24","Medium","2022-02-24T00:00:00.000"
"Drew County","05043","Arkansas","18219","473","Jefferson (Pine Bluff), AR - Drew, AR","128147","5","11.7","362.26","High","2022-02-24T00:00:00.000"
"Faulkner County","05045","Arkansas","126007","432","Pulaski (Little Rock), AR - Faulkner, AR","787837","10.3","35.8","158.72","High","2022-02-24T00:00:00.000"
"Franklin County","05047","Arkansas","17715","421","Sebastian (Fort Smith), AR - Crawford, AR","344595","16.6","30.5","124.19","High","2022-02-24T00:00:00.000"
"Fulton County","05049","Arkansas","12477","574","Howell, MO - Independence, AR","152691","13.9","25.5","216.4","High","2022-02-24T00:00:00.000"
"Garland County","05051","Arkansas","99386","448","Garland, AR - Hot Spring, AR","175181","12.6","16.6","205.26","High","2022-02-24T00:00:00.000"
"Grant County","05053","Arkansas","18265","432","Pulaski (Little Rock), AR - Faulkner, AR","787837","10.3","35.8","257.32","High","2022-02-24T00:00:00.000"
"Greene County","05055","Arkansas","45325","571","Craighead, AR - Greene, AR","257231","8.7","17.5","264.75","High","2022-02-24T00:00:00.000"
"Hempstead County","05057","Arkansas","21532","404","Bowie (Texarkana), TX - Miller, AR","248210","7.7","10.5","92.89","Medium","2022-02-24T00:00:00.000"
"Hot Spring County","05059","Arkansas","33771","448","Garland, AR - Hot Spring, AR","175181","12.6","16.6","266.5","High","2022-02-24T00:00:00.000"
"Howard County","05061","Arkansas","13202","404","Bowie (Texarkana), TX - Miller, AR","248210","7.7","10.5","143.92","Medium","2022-02-24T00:00:00.000"
"Independence County","05063","Arkansas","37825","574","Howell, MO - Independence, AR","152691","13.9","25.5","219.43","High","2022-02-24T00:00:00.000"
"Izard County","05065","Arkansas","13629","574","Howell, MO - Independence, AR","152691","13.9","25.5","205.44","High","2022-02-24T00:00:00.000"
