"year","age","race","birth_rate"
"2015","30-34 years","Asian or Pacific Islander total","47.3"
"2006","20-24 years","Hispanic","155.1"
"2010","25-29 years","Black total","92.5"
"1998","15-19 years","Black total","81.5"
"1990","35-39 years","Non-Hispanic white","6.1"
"1994","30-34 years","Black total","56.5"
"2003","15-19 years","Asian or Pacific Islander total","12.3"
"1992","40-44 years","Black total","5.4"
"2008","20-24 years","Black total","124"
"2015","20-24 years","Non-Hispanic white","43.3"
"1985","15-19 years","All Races","31.4"
"1982","40-44 years","Black total","5.2"
"2002","20-24 years","Black total","119"
"2015","40-44 years","Non-Hispanic white","6.8"
"2007","40-44 years","All Races","6.8"
"2011","40-44 years","White total","8.3"
"1995","30-34 years","Black total","53.3"
"2013","25-29 years","Non-Hispanic white","47.6"
"2002","40-44 years","Non-Hispanic white","3.7"
"2008","40-44 years","White total","7.3"
"1992","20-24 years","Non-Hispanic white",
"2011","20-24 years","All Races","66.7"
"1997","20-24 years","Hispanic","122.8"
"1998","25-29 years","White total","48.6"
"2012","20-24 years","Non-Hispanic white","46.6"
"1994","40-44 years","Hispanic","13.9"
"1982","40-44 years","White total","2.1"
"2010","20-24 years","Hispanic","110.5"
"1988","35-39 years","White total","12.1"
"2005","30-34 years","All Races","50.4"
"1991","35-39 years","White total","15.2"
"2002","25-29 years","Black total","86.3"
"1975","25-29 years","All Races","27.5"
"1992","20-24 years","White total","52.4"
"2005","40-44 years","All Races","6.2"
"1983","15-19 years","All Races","29.5"
"2009","30-34 years","All Races","57.1"
"2014","15-19 years","Black total","34.4"
"1994","15-19 years","Non-Hispanic white","28.1"
"2001","30-34 years","Hispanic","91.4"
"2009","15-19 years","Non-Hispanic white","21.8"
"1992","15-19 years","White total","32.7"
"2015","25-29 years","Black total","91.9"
"1998","15-19 years","Hispanic","69.3"
"1990","20-24 years","All Races","65.1"
"2002","25-29 years","All Races","62"
"1998","35-39 years","Black total","24.3"
"2010","15-19 years","Non-Hispanic white","20.3"
"1995","30-34 years","All Races","38.9"
"1981","25-29 years","White total","22.3"
"2014","35-39 years","Hispanic","58.2"
"1992","30-34 years","Hispanic","89.9"
"2007","35-39 years","All Races","28.7"
"1990","30-34 years","Hispanic","88.1"
"2003","35-39 years","Non-Hispanic white","14.8"
"1985","35-39 years","Black total","20.4"
"1992","35-39 years","Black total","25.6"
"1995","40-44 years","White total","4.2"
"2009","15-19 years","Hispanic","56.7"
"2008","15-19 years","Hispanic","62.4"
"1991","15-19 years","Non-Hispanic white",
"1987","40-44 years","All Races","2.9"
"2015","15-19 years","Non-Hispanic white","13.9"
"1992","15-19 years","Black total","104.8"
"1970","30-34 years","All Races","27.1"
"1980","20-24 years","White total","25.1"
"2000","25-29 years","Non-Hispanic white","36.9"
"2002","35-39 years","White total","19.5"
"1999","35-39 years","All Races","19"
"2006","20-24 years","All Races","79.1"
"1995","20-24 years","Non-Hispanic white","43.9"
"2015","15-19 years","All Races","20.2"
"1992","30-34 years","All Races","37.6"
"1994","15-19 years","Black total","99.3"
"1991","30-34 years","Hispanic","88.2"
"2000","30-34 years","Hispanic","89.4"
"1989","30-34 years","All Races","34.9"
"2000","20-24 years","Black total","129"
"1988","30-34 years","Black total","57.4"
"1980","30-34 years","Black total","46.7"
"1992","35-39 years","White total","16.1"
"2011","30-34 years","Non-Hispanic white","39.2"
"2004","15-19 years","Asian or Pacific Islander total","12.3"
"1999","30-34 years","All Races","38.1"
"2012","20-24 years","Black total","103.5"
"1994","25-29 years","Hispanic","131.7"
"1997","15-19 years","Black total","84.5"
"2011","35-39 years","Hispanic","58"
"1997","35-39 years","White total","16.6"
"1995","35-39 years","Black total","25.3"
"2006","15-19 years","White total","31.1"
"2007","15-19 years","Hispanic","65.4"
"2000","40-44 years","Non-Hispanic white","3.3"
"2001","25-29 years","White total","54.9"
"1999","30-34 years","Non-Hispanic white","24.8"
"1993","40-44 years","All Races","4.4"
"1989","35-39 years","Black total","24.9"
"1985","25-29 years","Black total","79.3"
"1987","25-29 years","Black total","91.6"
"2006","40-44 years","Asian or Pacific Islander total","9.4"
"2015","30-34 years","All Races","60.3"
"1992","40-44 years","Non-Hispanic white",
"1982","20-24 years","Black total","109.3"
"1996","35-39 years","Non-Hispanic white","13.8"
"1998","35-39 years","White total","16.9"
"1981","30-34 years","Black total","45.5"
"2006","15-19 years","Asian or Pacific Islander total","12"
"1993","15-19 years","Hispanic","71.1"
"1996","35-39 years","White total","17.7"
"1994","30-34 years","All Races","39.6"
"2006","20-24 years","Asian or Pacific Islander total","26.8"
"1985","25-29 years","White total","28.5"
"2011","30-34 years","Asian or Pacific Islander total","42.3"
"2005","25-29 years","White total","67.7"
"2014","20-24 years","Hispanic","92.3"
"2011","30-34 years","Hispanic","106"
"2004","40-44 years","Hispanic","13.7"
"2007","30-34 years","White total","59.5"
"1999","40-44 years","All Races","4.6"
"2000","30-34 years","Black total","50.2"
"1987","30-34 years","Black total","53.1"
"1996","20-24 years","Black total","122.6"
"2003","40-44 years","Asian or Pacific Islander total","7.9"
"2005","25-29 years","Non-Hispanic white","46"
"2013","30-34 years","Black total","60.6"
"2004","30-34 years","Asian or Pacific Islander total","35.8"
"1986","40-44 years","White total","2.2"
"2014","15-19 years","All Races","22"
"1997","35-39 years","Black total","24.3"
"1998","20-24 years","All Races","70.4"
"2011","20-24 years","Black total","106.9"
"1996","40-44 years","All Races","4.8"
"2003","35-39 years","All Races","22.3"
"1982","30-34 years","White total","15.3"
"2008","25-29 years","White total","73.1"
"2003","25-29 years","Hispanic","135.6"
"1980","35-39 years","Black total","19"
"1992","30-34 years","Black total","57.3"
"2008","40-44 years","All Races","7.5"
"2009","20-24 years","White total","67.3"
"1983","20-24 years","All Races","41.8"
"2004","15-19 years","Non-Hispanic white","21.3"
"2006","20-24 years","Non-Hispanic white","52.6"
"1993","25-29 years","Non-Hispanic white",
"2006","40-44 years","Non-Hispanic white","4.5"
"2008","15-19 years","All Races","35.9"
"1982","35-39 years","Black total","19.5"
"2001","15-19 years","Black total","69.4"
"2012","15-19 years","Hispanic","41.8"
"2013","40-44 years","White total","7.7"
"2007","35-39 years","Non-Hispanic white","19.2"
"1994","30-34 years","Hispanic","91.2"
"2007","20-24 years","White total","72.6"
"2002","25-29 years","Hispanic","125.1"
"2000","35-39 years","Asian or Pacific Islander total","18.4"
"2010","15-19 years","White total","27.9"
"2009","25-29 years","White total","69.7"
"2010","15-19 years","All Races","31.1"
"1999","30-34 years","Hispanic","84.2"
"2013","20-24 years","All Races","63.1"
"2013","20-24 years","White total","56.9"
"1997","20-24 years","Black total","124.2"
"1985","40-44 years","All Races","2.5"
"2000","15-19 years","Non-Hispanic white","24.7"
"2012","20-24 years","Hispanic","96.5"
"1988","40-44 years","Black total","5"
"2013","30-34 years","Hispanic","100.1"
"1987","15-19 years","Black total","90.9"
"2001","15-19 years","White total","31.2"
"2004","15-19 years","Hispanic","64.2"
"2015","30-34 years","Non-Hispanic white","44.4"
"2006","35-39 years","Non-Hispanic white","17.9"
"2008","20-24 years","Non-Hispanic white","52.9"
"1970","25-29 years","All Races","37"
"2000","35-39 years","White total","17.9"
"2015","25-29 years","White total","63.3"
"2002","15-19 years","White total","30.3"
"2008","30-34 years","All Races","58.8"
"1997","35-39 years","Non-Hispanic white","12.7"
"2012","15-19 years","All Races","26.7"
"2007","25-29 years","Asian or Pacific Islander total","32.3"
"2013","15-19 years","Hispanic","37.6"
"1994","25-29 years","White total","48.6"
"2000","15-19 years","Hispanic","68.5"
"2005","20-24 years","Non-Hispanic white","49.9"
"2010","40-44 years","Black total","7.8"
"2008","30-34 years","Hispanic","121.6"
"2010","40-44 years","Hispanic","16.3"
"1995","15-19 years","Non-Hispanic white","27.7"
"1980","40-44 years","Black total","5.5"
"1994","40-44 years","All Races","4.7"
"1986","20-24 years","Black total","118"
"2008","30-34 years","Non-Hispanic white","38.4"
"2013","20-24 years","Hispanic","93.1"
"2002","25-29 years","Asian or Pacific Islander total","26.7"
"1982","30-34 years","All Races","21.9"
"1993","20-24 years","Hispanic","134.3"
"1990","25-29 years","Non-Hispanic white","30.3"
"2008","40-44 years","Hispanic","16.2"
"1995","40-44 years","All Races","4.7"
"1983","35-39 years","All Races","10.2"
"2005","15-19 years","Asian or Pacific Islander total","11.9"
"2015","35-39 years","Black total","32.6"
"2005","30-34 years","Non-Hispanic white","31.7"
"2007","40-44 years","Non-Hispanic white","4.6"
"1995","35-39 years","Hispanic","42.2"
"2006","30-34 years","All Races","55.3"
"1990","40-44 years","Hispanic","13.7"
"1992","25-29 years","Black total","96.8"
"1983","40-44 years","White total","2"
"1994","25-29 years","All Races","57.4"
"2015","25-29 years","Asian or Pacific Islander total","28.8"
"2009","30-34 years","Black total","60.3"
"2014","20-24 years","Black total","97.4"
"2008","35-39 years","Black total","28.5"
"1980","35-39 years","White total","7.1"
"1981","30-34 years","All Races","20.8"
"1990","20-24 years","Hispanic","129.8"
"2003","30-34 years","White total","42.3"
"2006","25-29 years","Hispanic","160.7"
"2002","15-19 years","Black total","64"
"2004","40-44 years","Asian or Pacific Islander total","8.6"
"1997","40-44 years","Hispanic","12.1"
"2005","35-39 years","All Races","24.5"
"1996","20-24 years","All Races","68.9"
"2011","25-29 years","Non-Hispanic white","47.8"
"2005","35-39 years","Black total","25.9"
"1983","25-29 years","White total","23.8"
"2003","15-19 years","All Races","34.3"
"2009","30-34 years","Non-Hispanic white","37.9"
"1984","20-24 years","White total","28.5"
"2013","30-34 years","White total","56.2"
"1984","25-29 years","White total","25.5"
"1996","15-19 years","Black total","87.5"
"1994","25-29 years","Non-Hispanic white","34.7"
"1994","35-39 years","All Races","19.7"
"2011","25-29 years","All Races","67.8"
"2015","35-39 years","Hispanic","60.3"
"1999","35-39 years","Hispanic","42.4"
"2012","35-39 years","Asian or Pacific Islander total","30.1"
"1993","25-29 years","White total","46"
"2002","20-24 years","Non-Hispanic white","46.3"
"1993","20-24 years","All Races","68.5"
"2011","30-34 years","White total","56.2"
"2011","25-29 years","Asian or Pacific Islander total","35.1"
"1995","20-24 years","White total","57.2"
"1991","20-24 years","All Races","67.8"
"1997","40-44 years","White total","3.9"
"1988","20-24 years","White total","39.2"
"2001","30-34 years","Asian or Pacific Islander total","28.7"
"1998","25-29 years","Non-Hispanic white","35.4"
"1984","35-39 years","All Races","10.9"
"1983","20-24 years","White total","27.1"
"1982","35-39 years","All Races","10"
"1981","40-44 years","All Races","2.6"
"2007","30-34 years","Black total","59.9"
"2007","40-44 years","White total","6.5"
"2003","15-19 years","Non-Hispanic white","21.5"
"2004","35-39 years","Non-Hispanic white","15.7"
"1990","30-34 years","White total","29.9"
"2004","20-24 years","White total","64.5"
"1991","40-44 years","White total","3.2"
"1999","40-44 years","Hispanic","11.2"
"2008","25-29 years","Asian or Pacific Islander total","33.5"
"2015","35-39 years","All Races","34.1"
"1983","30-34 years","All Races","22.4"
"1998","30-34 years","Hispanic","78.2"
"2015","40-44 years","Hispanic","18.1"
"2005","30-34 years","White total","49.8"
"2012","40-44 years","Asian or Pacific Islander total","12.1"
"1983","15-19 years","White total","18.7"
"1989","35-39 years","All Races","16"
"2013","25-29 years","White total","62.5"
"1988","15-19 years","White total","25.3"
"1998","25-29 years","All Races","55.4"
"1989","40-44 years","All Races","3.4"
"1996","40-44 years","Non-Hispanic white","3.3"
"2006","35-39 years","Hispanic","61.3"
"2001","30-34 years","Black total","51.2"
"1970","35-39 years","All Races","13.6"
"2002","35-39 years","Black total","24.9"
"2015","15-19 years","Hispanic","31.6"
"2010","40-44 years","Non-Hispanic white","5.8"
"2014","25-29 years","Black total","93.3"
"2009","35-39 years","Asian or Pacific Islander total","27.3"
"2009","40-44 years","Hispanic","17.1"
"1986","25-29 years","Black total","84.6"
"1986","35-39 years","White total","9.7"
"2004","15-19 years","All Races","34.2"
"2007","25-29 years","White total","74.3"
"2004","30-34 years","All Races","47.3"
"2015","20-24 years","Asian or Pacific Islander total","17.9"
"2015","15-19 years","Black total","31.5"
"2008","25-29 years","All Races","75.7"
"1998","30-34 years","Non-Hispanic white","25"
"2004","25-29 years","All Races","69.1"
"1992","25-29 years","Non-Hispanic white",
"1990","35-39 years","Hispanic","50.8"
"2014","20-24 years","White total","55.9"
"2015","25-29 years","All Races","66.9"
"2008","25-29 years","Black total","97"
"1996","20-24 years","Non-Hispanic white","44.5"
"1995","25-29 years","White total","47.4"
"2012","35-39 years","All Races","30.9"
"1995","20-24 years","Black total","124.6"
"2002","20-24 years","Hispanic","127.2"
"2010","30-34 years","All Races","56.3"
"1993","25-29 years","Hispanic","130.4"
"2006","40-44 years","All Races","6.5"
"1996","20-24 years","Hispanic","131.6"
"2014","40-44 years","Asian or Pacific Islander total","12.6"
"2012","25-29 years","Asian or Pacific Islander total","35.2"
"2012","35-39 years","White total","31.5"
"2001","40-44 years","All Races","5.3"
"2011","40-44 years","All Races","8.2"
"1997","30-34 years","All Races","37.9"
"2002","30-34 years","Non-Hispanic white","26.2"
"2013","25-29 years","Black total","92.3"
"1991","15-19 years","White total","32.7"
"2003","20-24 years","All Races","71"
"2010","40-44 years","All Races","8"
"1997","40-44 years","Black total","6.5"
"2004","35-39 years","White total","22.8"
"1995","20-24 years","All Races","68.7"
"1998","20-24 years","White total","59.5"
"1995","40-44 years","Non-Hispanic white","3.2"
"1987","15-19 years","White total","23.2"
"2011","30-34 years","All Races","56.2"
"2009","20-24 years","Hispanic","125.4"
"2002","15-19 years","Asian or Pacific Islander total","13"
"1990","35-39 years","Black total","25.5"
"1999","20-24 years","Non-Hispanic white","46.3"
"1984","35-39 years","White total","8.4"
"1992","20-24 years","All Races","67.9"
"1999","35-39 years","White total","17.4"
"1993","15-19 years","All Races","44"
"2009","40-44 years","White total","7.8"
"2010","25-29 years","White total","65.8"
"2011","15-19 years","White total","25.5"
"1982","35-39 years","White total","7.4"
"2008","15-19 years","Black total","59.7"
"1984","25-29 years","Black total","77.8"
"2004","35-39 years","All Races","23.5"
"1997","20-24 years","All Races","68.9"
"1986","25-29 years","All Races","42.2"
"1980","15-19 years","White total","16.5"
"2007","25-29 years","Black total","99.1"
"2001","40-44 years","White total","4.9"
"2013","25-29 years","Asian or Pacific Islander total","31.5"
"2012","40-44 years","Hispanic","16.5"
"2010","25-29 years","All Races","69.2"
"1988","25-29 years","White total","35.4"
"2004","20-24 years","Non-Hispanic white","48.6"
"2013","35-39 years","Black total","31.1"
"1996","35-39 years","All Races","19.9"
"2000","20-24 years","Hispanic","130.5"
"2007","15-19 years","White total","32.3"
"2001","20-24 years","Black total","122.5"
"2015","15-19 years","Asian or Pacific Islander total","5.5"
"1992","15-19 years","All Races","44.2"
"2011","20-24 years","Asian or Pacific Islander total","22.3"
"1991","30-34 years","White total","30.9"
"2007","20-24 years","Black total","125.3"
"2003","15-19 years","White total","29.9"
"2000","20-24 years","White total","61.7"
"1994","20-24 years","Hispanic","144.5"
"1999","35-39 years","Non-Hispanic white","13"
"1989","40-44 years","White total","2.9"
"2005","15-19 years","Non-Hispanic white","20.9"
"2011","25-29 years","White total","63.8"
"1985","35-39 years","White total","9"
"2015","40-44 years","White total","8.2"
"1991","15-19 years","Black total","107.8"
"1992","25-29 years","White total","44.8"
"1981","35-39 years","Black total","19.6"
"1994","20-24 years","Black total","135.2"
"2007","35-39 years","Hispanic","64.9"
"2002","35-39 years","Non-Hispanic white","13.6"
"2010","25-29 years","Hispanic","123.9"
"1987","25-29 years","All Races","44.5"
"1991","25-29 years","All Races","56"
"2000","25-29 years","Hispanic","121.6"
"1987","30-34 years","White total","22.3"
"2001","25-29 years","Non-Hispanic white","37.8"
"1996","15-19 years","All Races","42.2"
"1988","30-34 years","White total","24.2"
"2000","25-29 years","Black total","85.9"
"2002","30-34 years","White total","38.8"
"2002","15-19 years","All Races","35.1"
"2001","35-39 years","White total","18.6"
"2013","25-29 years","Hispanic","112"
"2014","30-34 years","White total","57.7"
"2010","35-39 years","Asian or Pacific Islander total","26.6"
"1992","20-24 years","Hispanic","138.2"
"2001","30-34 years","White total","37.2"
"2000","15-19 years","Black total","75"
"2006","30-34 years","Black total","58.4"
"1996","40-44 years","White total","4.3"
"1975","30-34 years","All Races","17.9"
"2013","20-24 years","Asian or Pacific Islander total","20.7"
"2010","35-39 years","Hispanic","61.7"
"2006","40-44 years","White total","6.3"
"2006","30-34 years","Asian or Pacific Islander total","37.6"
"1997","25-29 years","Non-Hispanic white","34.4"
"2006","25-29 years","Black total","98"
"1981","15-19 years","White total","17.2"
"2002","15-19 years","Hispanic","63.9"
"2000","30-34 years","White total","35.9"
"2003","30-34 years","Asian or Pacific Islander total","31.8"
"1994","25-29 years","Black total","91.3"
"1997","25-29 years","Hispanic","114.8"
"2008","30-34 years","White total","60"
"2005","25-29 years","Hispanic","151.2"
"2006","30-34 years","Non-Hispanic white","35.1"
"2009","25-29 years","Hispanic","139.4"
"1991","20-24 years","Hispanic","134.2"
"1982","15-19 years","All Races","28.7"
"1984","35-39 years","Black total","19.4"
"2002","30-34 years","Asian or Pacific Islander total","29.4"
"1988","30-34 years","All Races","32"
"2002","40-44 years","All Races","5.4"
"1996","25-29 years","White total","48.1"
"1998","40-44 years","All Races","4.6"
"1996","40-44 years","Hispanic","12.3"
"1998","30-34 years","White total","34.1"
"2007","40-44 years","Asian or Pacific Islander total","9.9"
"1999","15-19 years","White total","33.2"
"2006","25-29 years","Non-Hispanic white","49.1"
"2003","20-24 years","Non-Hispanic white","47.6"
"2002","25-29 years","Non-Hispanic white","38.9"
"2002","35-39 years","Hispanic","52.4"
"2009","40-44 years","Black total","7.6"
"1983","25-29 years","All Races","35.5"
"1970","15-19 years","All Races","22.4"
"1990","25-29 years","All Races","56"
"1995","30-34 years","Non-Hispanic white","25.1"
"2001","35-39 years","Black total","25.4"
"1981","15-19 years","All Races","27.9"
"1980","35-39 years","All Races","9.7"
"2002","40-44 years","Black total","6.3"
"1986","15-19 years","White total","21.8"
"1991","25-29 years","Non-Hispanic white",
"2006","35-39 years","Black total","27.3"
"2005","40-44 years","White total","5.9"
"2002","30-34 years","All Races","41.3"
"2013","15-19 years","Asian or Pacific Islander total","7.2"
"1988","20-24 years","All Races","56"
"2004","35-39 years","Hispanic","56"
"1985","30-34 years","Black total","47.5"
"2003","35-39 years","Hispanic","54"
"1991","20-24 years","Black total","146.4"
"1992","30-34 years","White total","31.3"
"1982","25-29 years","All Races","35.1"
"2001","15-19 years","Non-Hispanic white","23.1"
"1994","35-39 years","Non-Hispanic white","12.8"
"1992","40-44 years","White total","3.6"
"2011","20-24 years","Non-Hispanic white","47.8"
"2013","40-44 years","Non-Hispanic white","6.1"
"2013","15-19 years","All Races","24"
"2011","15-19 years","Asian or Pacific Islander total","8.6"
"1997","30-34 years","Hispanic","78.8"
"2010","30-34 years","Non-Hispanic white","38.7"
"1981","20-24 years","White total","25.8"
"1996","40-44 years","Black total","6.1"
"2014","40-44 years","Black total","8.8"
"2005","20-24 years","All Races","74.5"
"1980","40-44 years","White total","1.8"
"1986","35-39 years","All Races","12.2"
"1980","30-34 years","All Races","21.1"
"1994","35-39 years","White total","17.2"
"1988","35-39 years","All Races","15"
"2003","40-44 years","Non-Hispanic white","4.1"
"1996","35-39 years","Black total","25.2"
"2003","25-29 years","Black total","91.3"
"1988","20-24 years","Black total","133.6"
