"zipnew","n","pct","popu","age","popu_no_vacc"
"95139","5171","82.9","6234","12 and older","836"
"95140","153",">95%","102","12 and older","0"
"95148","39638","94.4","42003","12 and older","438"
"94022","19434",">95%","19406","All ages","0"
"94024","22235","93.9","23675","All ages","153"
"94040","32831","89.9","36526","All ages","1021"
"94041","13355","91.6","14572","All ages","86"
"94043","27392","87.9","31161","All ages","1539"
"94085","20647","88.9","23223","All ages","775"
"94086","43004","85.2","50477","All ages","3630"
"94087","51647","91.1","56668","All ages","1542"
"94089","19864","86.8","22882","All ages","1509"
"94301","15599","94.1","16582","All ages","0"
"94303","17322","35.9","48244","All ages","29646"
"94304","3823",">95%","3852","All ages","0"
"94305","8763","53.4","16397","All ages","6037"
"94306","25500","92.9","27435","All ages","0"
"94550","1","0","50374","All ages","50373"
"95002","1717","73.1","2348","All ages","509"
"95008","40682","87.8","46352","All ages","3273"
"95014","56961","92.1","61866","All ages","1072"
"95020","52968","81.7","64833","All ages","8675"
"95023","4","0","53423","All ages","53418"
"95030","11905","88.3","13481","All ages","764"
"95032","24792",">95%","26047","All ages","0"
"95033","7234","76.1","9511","All ages","1800"
"95035","72333","90.8","79655","All ages","1853"
"95037","43124","82.9","51994","All ages","6433"
"95046","5259","88.9","5918","All ages","374"
"95050","32196","83.2","38699","All ages","4062"
"95051","54810","91.6","59851","All ages","799"
"95053","380","9.8","3862","All ages","3292"
"95054","22465","91.6","24524","All ages","0"
"95070","31192",">95%","31196","All ages","0"
"95110","17152","86.1","19928","All ages","1310"
"95111","51209","82.8","61830","All ages","7233"
"95112","44312","71.2","62228","All ages","14325"
"95113","3155",">95%","2107","All ages","0"
"95116","41692","74.7","55825","All ages","10952"
"95117","24015","79.1","30369","All ages","4606"
"95118","27637","85.2","32421","All ages","3206"
"95119","9425","94","10027","All ages","44"
"95120","35336","92.7","38122","All ages","1065"
"95121","34329","91.5","37531","All ages","1195"
"95122","49092","87.5","56121","All ages","3568"
"95123","57055","83","68766","All ages","8377"
"95124","43334","84.2","51455","All ages","5674"
"95125","46108","86.7","53155","All ages","4337"
"95126","31141","86","36206","All ages","2373"
"95127","52795","79.7","66256","All ages","9872"
"95128","28814","77.9","36975","All ages","6117"
"95129","36712","92.4","39741","All ages","783"
"95130","11716","79.9","14660","All ages","2281"
"95131","27268","87.3","31236","All ages","2157"
"95132","37205","89","41790","All ages","2478"
"95133","25784","90.3","28565","All ages","1048"
"95134","25547","87","29349","All ages","876"
"95135","19868","90.2","22015","All ages","1112"
"95136","39087","82.3","47476","All ages","5875"
"95138","17406","84.2","20674","All ages","2306"
"95139","5596","76","7363","All ages","1454"
"95140","157",">95%","102","All ages","0"
"95148","42193","87.4","48273","All ages","3730"
"94022","1431","72.5","1975","05 - 11","499"
"94024","1913","72.5","2640","05 - 11","658"
"94040","2269","63.5","3576","05 - 11","1205"
"94041","863",">95%","897","05 - 11","0"
"94043","1684","71.4","2360","05 - 11","583"
"94085","968","57.4","1685","05 - 11","636"
"94086","2507","65.8","3808","05 - 11","1108"
"94087","4578","77.3","5926","05 - 11","1138"
"94089","917","71.1","1290","05 - 11","308"
"94301","938","69.5","1349","05 - 11","349"
"94303","1435","26.3","5456","05 - 11","3958"
"94304","261","86.4","302","05 - 11","18"
"94305","300","87.5","343","05 - 11","19"
"94306","1824","79.8","2286","05 - 11","371"
"95002","92","40.2","229","05 - 11","130"
"95008","2642","71.1","3715","05 - 11","926"
"95014","4658","69","6749","05 - 11","1849"
"95020","3227","45.3","7130","05 - 11","3605"
"95030","739","63.9","1157","05 - 11","367"
"95032","1896","87.8","2159","05 - 11","170"
"95033","435","66.1","658","05 - 11","195"
"95035","5424","75.5","7188","05 - 11","1444"
"95037","2615","53.8","4858","05 - 11","2083"
"95046","231","36.6","631","05 - 11","374"
"95050","1706","61.9","2758","05 - 11","943"
"95051","3519","74.1","4750","05 - 11","999"
"95053","4",">95%","0","05 - 11","0"
"95054","1301","66.8","1948","05 - 11","573"
"95070","1977","78.3","2526","05 - 11","452"
"95110","715","46.1","1552","05 - 11","738"
"95111","2971","51.9","5722","05 - 11","2422"
"95112","1868","46.7","4002","05 - 11","1977"
"95113","29","74.4","39","05 - 11","10"
"95116","2442","42.1","5806","05 - 11","3051"
"95117","1412","58.2","2425","05 - 11","850"
"95118","2180","62","3514","05 - 11","1219"
"95119","661","83.7","790","05 - 11","97"
"95120","2569","67.2","3822","05 - 11","1161"
"95121","1966","66.8","2942","05 - 11","820"
"95122","2750","51.3","5356","05 - 11","2279"
"95123","3449","57.6","5987","05 - 11","2295"
"95124","3806","67","5678","05 - 11","1667"
"95125","3009","64.9","4635","05 - 11","1481"
"95126","1378","50.9","2705","05 - 11","1185"
"95127","2996","47.6","6293","05 - 11","3034"
"95128","1405","51.4","2734","05 - 11","1203"
"95129","2830","75.3","3758","05 - 11","776"
"95130","940","53.7","1752","05 - 11","762"
"95131","1479","75.5","1959","05 - 11","390"
"95132","2384","81.6","2921","05 - 11","401"
"95133","1359","61.1","2223","05 - 11","753"
"95134","775","67.6","1146","05 - 11","307"
"95135","1224","63.1","1941","05 - 11","661"
"95136","2216","48.4","4576","05 - 11","2215"
"95138","1134","53.6","2115","05 - 11","902"
"95139","397","60.4","657","05 - 11","231"
"95140","2",">95%","0","05 - 11","0"
"95148","2458","58.6","4197","05 - 11","1562"
