"the_geom","id","fac_id","bike_id","system_id","system_name","year","asofdate","fac_name","address","city","state","zipcode","cbsa_code","longitude","latitude","station_type"
"POINT (-122.68626 45.53290424)","26819","OR9720944","hub_2798","74","BikeTown Portland","2019","201912","NW Pettygrove at 15th","1497-1499 Northwest Pettygrove Street","Portland","OR","97209","38900","-122.68626","45.53290424","-"
"POINT (-84.36998427 33.84824153)","26989","GA3032603","hub_2865","77","Relay Bike Share","2019","201912","TOWER PLACE - BUCKHEAD","-","Atlanta","GA","30326","12060","-84.36998427","33.84824153","-"
"POINT (-84.38881069 33.77998015)","27004","GA3030712","hub_3803","77","Relay Bike Share","2019","201912","VIRTUAL HUB - NCR","889-943 Spring Street Northwest","Atlanta","GA","30308","12060","-84.38881069","33.77998015","-"
"POINT (-85.7563 38.2207)","27292","KY4020802","-","102","Lou Velo","2019","201912","Brook & Cardinal Blvd. - U of L","-","Louisville","KY","40208","31140","-85.7563","38.2207","-"
"POINT (-110.955089 32.228681)","27492","AZ8571910","-","110","tugo","2019","201912","UA-6th St Garage SMART","-","Tucson","AZ","85719","46060","-110.955089","32.228681","-"
"POINT (-73.792179 42.666407)","27718","NY1220805","-","113","CDPHP","2019","201912","The Point","-","Albany","NY","12208","10580","-73.792179","42.666407","-"
"POINT (-71.1332 42.3748)","28443","MA0213815","M32043","1","Hubway (03/2018 re-launched as Blue Bikes)","2021","202112","-","Mt Auburn","Cambridge","MA","2138","14460","-71.1332","42.3748","-"
"POINT (-74.0334 40.7482)","28513","NJ0703018","HB501","2","Hudson Bike Share","2021","202112","Columbus Park","-","Hoboken","NJ","7030","35620","-74.0334","40.7482","-"
"POINT (-95.3986 29.7093)","29967","TX7703015","bcycle_houston_3995","17","Houston B-cycle","2021","202112","TMC Commons","Bernter Ave.","Houston","TX","77030","26420","-95.3986","29.7093","-"
"POINT (-93.2985 44.9513)","30170","MN5540802","30020","25","Nice Ride Minnesota (became partially dockless in 2018)","2021","202112","YWCA Uptown","2850 Hennepin Ave","Minneapolis","MN","55408","33460","-93.2985","44.9513","-"
"POINT (-122.4204 37.7882)","31071","CA9410908","419","42","Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)","2021","202112","Fern St at Polk St","-","San Jose","CA","94109","41860","-122.4204","37.7882","-"
"POINT (-83.0029 39.9635)","32137","OH4321506","2","58","COGO","2021","202112","City Hall","City Hall","Columbus","OH","43215","18140","-83.0029","39.9635","-"
"POINT (-87.6133 41.8563)","32220","IL6060206","4","60","Divvy","2021","202112","Burnham Harbor","Burnham Harbor","Chicago","IL","60602","16980","-87.6133","41.8563","-"
"POINT (-87.65 41.8747)","32313","IL6060299","109","60","Divvy","2021","202112","900 W Harrison St","900 W Harrison St","Chicago","IL","60602","16980","-87.65","41.8747","-"
"POINT (-87.6382 41.964)","32446","IL60602231","249","60","Divvy","2021","202112","Montrose Harbor","Montrose Harbor","Chicago","IL","60602","16980","-87.6382","41.964","-"
"POINT (-122.635 45.5627)","33195","OR9721111","motivate_PDX_1440913911409460218","74","BikeTown Portland","2021","202112","NE Killingsworth at 30th","2930 Northeast Killingsworth Street","Portland","OR","97211","38900","-122.635","45.5627","-"
"POINT (-79.0532 43.1062)","33316","NY1430507","hub_5550","76","Reddy Bikes","2021","202112","City Court Building","-","Niagara Falls","NY","14305","15380","-79.0532","43.1062","-"
"POINT (-115.1387 36.1683)","33448","NV8910122","bcycle_rtcbikeshare_3923","78","RTC Bikeshare","2021","202112","7th & Fremont","698 Fremont","Las Vegas","NV","89101","29820","-115.1387","36.1683","-"
"POINT (-78.6468 35.7724)","34136","NC2760108","11","140","Citrix Bikeshare","2021","202112","W South Street","-","Raleigh","NC","27601","39580","-78.6468","35.7724","-"
"POINT (-72.5948998 42.1065822)","34174","MA0110308","-","139","ValleyBike","2021","202112","Union Station","Union Station","Springfield","MA","1103","44140","-72.5948998","42.1065822","-"
"POINT (-73.907654 40.757764)","34805","NY1137711","6662.08","3","Citi Bike","2021","202112","51 St & Hobart St","51 St & Hobart St","Woodside","NY","11377","35620","-73.907654","40.757764","-"
"POINT (-93.291436 44.997353)","35150","MN5541140","1430000000000000000","25","Nice Ride Minnesota (became partially dockless in 2018)","2021","202112","-","-","Minneapolis","MN","55411","33460","-93.291436","44.997353","-"
"POINT (-157.838235 21.292742)","35515","HI9681434","160","111","Hawaii Bikibike","2021","202112","Makaloa & Poni","Makaloa & Poni","Honolulu","HI","96814","46520","-157.838235","21.292742","-"
"POINT (-73.952 40.7161)","36184","NY1121123","5300.06","3","Citi Bike","2020","202012","-","-","Brooklyn","NY","11211","35620","-73.952","40.7161","-"
"POINT (-73.9539 40.7303)","36279","NY1122202","5785.05","3","Citi Bike","2020","202012","-","-","Brooklyn","NY","11222","35620","-73.9539","40.7303","-"
"POINT (-74.0557 40.7112)","36672","NJ0730406","JC052","3","Citi Bike","2020","202012","-","-","Jersey City","NJ","7304","35620","-74.0557","40.7112","-"
"POINT (-80.192 25.7734)","36823","FL3304006","644","5","Citi Bike Miami","2020","202012","-","SE 1st and SE 1st Ave","Miami","FL","33131","33100","-80.192","25.7734","-"
"POINT (-105.2514 40.0246)","36949","CO8030105","bcycle_boulder_3675","11","Boulder B-cycle","2020","202012","Boulder Junction","-","Boulder","CO","80301","14500","-105.2514","40.0246","-"
"POINT (-111.8851 40.7652)","37046","UT8411111","bcycle_greenbikeslc_3182","15","GreenBikes","2020","202012","SLUG Mag Station","200S 200E","Salt Lake City","UT","84111","41620","-111.8851","40.7652","-"
"POINT (-94.5945 39.0544)","37217","MO6411101","bcycle_kc_2860","18","Kansas City B-cycle","2020","202012","-","4001 Mill St.","Kansas City","MO","64111","28140","-94.5945","39.0544","-"
"POINT (-93.2511 44.9692)","37409","MN5545405","30037","25","Nice Ride Minnesota (became partially dockless in 2018)","2020","202012","Currie Park","600 15th Ave. S","Minneapolis","MN","55454","33460","-93.2511","44.9692","-"
"POINT (-98.2348 26.2013)","37550","TX7850109","bcycle_mcallen_3310","28","McAllen B-cycle","2020","202012","Heritage Center","301 S. Main Street","McAllen","TX","78501","32580","-98.2348","26.2013","-"
"POINT (-79.9112 40.458)","37600","PA1520605","1053","29","Healthy Ride","2020","202012","Hamilton Ave & Zodiac Way","-","Pittsburgh","PA","15206","38300","-79.9112","40.458","-"
"POINT (-77.0018 38.8812)","38829","DC2063701","31625","56","Capital Bikeshare","2020","202012","3rd & G St SE","3rd & G St SE","Washington","DC","20637","47900","-77.0018","38.8812","-"
"POINT (-77.0214 38.9027)","38857","DC2000115","31653","56","Capital Bikeshare","2020","202012","-","7th & K St NW","Washington","DC","20001","47900","-77.0214","38.9027","-"
"POINT (-76.9845 38.855)","38897","DC2002009","31822","56","Capital Bikeshare","2020","202012","-","Stanton Square SE","Washington","DC","20020","47900","-76.9845","38.855","-"
"POINT (-77.1093 39.049)","38996","MD2085207","32076","56","Capital Bikeshare","2020","202012","-","Citadel Ave & McGrath Blvd","Rockville","MD","20852","47900","-77.1093","39.049","-"
"POINT (-83.0066 39.9612)","39129","OH4321523","19","58","COGO","2020","202012","COSI","COSI","Columbus","OH","43215","18140","-83.0066","39.9612","-"
"POINT (-82.9063 40.0446)","39162","OH4321903","63","58","COGO","2020","202012","Easton Oval","Easton Oval","Columbus","OH","43219","18140","-82.9063","40.0446","-"
"POINT (-87.612 41.8923)","39463","IL6061102","35","60","Divvy","2020","202012","-","Streeter Dr & Grand Ave","Chicago","IL","60611","16980","-87.612","41.8923","-"
"POINT (-84.3857 33.751)","40167","GA3030310","hub_1474","77","Relay Bike Share","2020","202012","GSU MARTA","107 Piedmont Avenue Southeast","Atlanta","GA","30303","12060","-84.3857","33.751","-"
"POINT (-122.3592794 37.90946447)","42037","CA9480401","-","150","Gotcha - Richmond CA","2021","202112","Ferry","-","Richmond","CA","94804","41860","-122.3592794","37.90946447","-"
"POINT (-78.7935215234756 43.0021795171882)","42098","NY1422802","hub_1761","76","Reddy Bikes","2022","202207","Governor's","Hadley Road, University at Buffalo, Buffalo","Buffalo","NY","14228","15380","-78.7935215234756","43.0021795171882","-"
"POINT (-118.44692 34.06211)","42157","CA9002405","bcycle_lametro_4487","73","Metro Bike Share Los Angeles","2022","202207","Broxton & Weyburn","1017 Broxton Ave","Los Angeles","CA","90024","31080","-118.44692","34.06211","-"
"POINT (-87.73083 41.836682)","42408","-","motivate_CHI_1674190561669557208","60","Divvy","2022","202207","Piotrowski Park","Piotrowski Park Fieldhouse, 4247, West 31st Street, South Lawndale, Chicago, Cook County, Illinois, 60623, United States","Chicago","IL","60623","16980","-87.73083","41.836682","lightweight"
"POINT (-87.770501 41.898333)","42460","-","motivate_CHI_1674190484360145746","60","Divvy","2022","202207","Menard Ave & Agusta Blvd","946, North Menard Avenue, Austin, Chicago, Cook County, Illinois, 60651, United States","Chicago","IL","60651","16980","-87.770501","41.898333","lightweight"
"POINT (-87.608695 41.707665)","42486","-","motivate_CHI_1674190450000407312","60","Divvy","2022","202207","Lawrence Ave & 103rd St","600-604, East 103rd Street, Roseland, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States","Chicago","IL","60628","16980","-87.608695","41.707665","lightweight"
"POINT (-87.733404 41.861493)","42574","-","motivate_CHI_1674190308266486306","60","Divvy","2022","202207","Public Rack - Franklin Park","Pool Equipment Room, 1409, South Kolin Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States","Chicago","IL","60623","16980","-87.733404","41.861493","lightweight"
"POINT (-80.193948 25.76258)","42981","FL3313019","633","5","Citi Bike Miami","2022","202207","-","SW 12th Street & S Miami Ave","Miami","FL","33130","33100","-80.193948","25.76258","-"
"POINT (-74.03571 40.73743)","43076","NJ0703064","HB409","3","Citi Bike","2022","202207","Clinton St & Newark St","-","Hoboken","NJ","7030","35620","-74.03571","40.73743","classic"
"POINT (-73.988154 40.754818)","43112","NY1001813","6560.14","3","Citi Bike","2022","202207","W 40 St & 7 Ave","-","New York","NY","10018","35620","-73.988154","40.754818","classic"
"POINT (-73.91708 40.74086)","43176","NY1137763","6092.01","3","Citi Bike","2022","202207","47 Ave & 48 St","-","Woodside","NY","11377","35620","-73.91708","40.74086","classic"
"POINT (-110.9575 32.2317)","43615","AZ8571902","24","110","tugo","2022","202207","Main Gate","Main Gate","Tucson","AZ","85719","46060","-110.9575","32.2317","-"
"POINT (-122.268422 37.870139)","44302","CA9470307","245","42","Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)","2022","202207","Downtown Berkeley BART","-","Berkeley","CA","94704","41860","-122.268422","37.870139","classic"
"POINT (-77.041544 38.893511)","44578","DC2024001","31284","56","Capital Bikeshare","2022","202207","18th & C St NW","-","Washington","DC","20240","47900","-77.041544","38.893511","classic"
"POINT (-84.3534269928932 33.7754843209449)","44956","GA3030604","2596","77","Relay Bike Share","2022","202207","ATKINS PARK","-","Atlanta","GA","30306","12060","-84.3534269928932","33.7754843209449","-"
"POINT (-87.7128857374191 41.6913191922106)","45873","IL6065502","730","60","Divvy","2022","202207","Lawndale Ave & 111th St","-","Chicago","IL","60655","16980","-87.7128857374191","41.6913191922106","classic"
"POINT (-71.070629 42.380857)","46130","MA0212910","D32036","1","Hubway (03/2018 re-launched as Blue Bikes)","2022","202207","Main St at Baldwin St","-","Boston","MA","2129","14460","-71.070629","42.380857","classic"
"POINT (-71.0849547386169 42.3624278429123)","46233","MA0214207","M32004","1","Hubway (03/2018 re-launched as Blue Bikes)","2022","202207","Kendall T","-","Cambridge","MA","2142","14460","-71.0849547386169","42.3624278429123","classic"
"POINT (-93.275626 44.980536)","46596","MN5540314","30053","25","Nice Ride Minnesota (became partially dockless in 2018)","2022","202207","2nd Ave N & N 6th Street","-","Minneapolis","MN","55403","33460","-93.275626","44.980536","classic"
"POINT (-93.247114 45.00994)","46741","MN5541801","30112","25","Nice Ride Minnesota (became partially dockless in 2018)","2022","202207","Central Ave NE & 22nd Ave NE","-","Minneapolis","MN","55418","33460","-93.247114","45.00994","classic"
"POINT (-157.853507 21.290879)","14222","HI9681408","-","111","Hawaii Bikibike","2017","201712","239 Kak/AlaMo - Ala Moana Concession 2","-","Honolulu","HI","96814","46520","-157.853507","21.290879","-"
"POINT (-84.19398 39.72959)","2164","OH4546901","-","47","Link Dayton B-cycle (relaunched 06/2020; stations for 2020 are those prior to re-launch)","2015","201512","River Campus","Research Institute","Dayton","OH","45469","19380","-84.19398","39.72959","-"
"POINT (-73.98501143 40.67461342)","8608","NY1121526","4028.05","3","Citi Bike","2017","201712","-","4 Ave & 2 St","Brooklyn","NY","11215","35620","-73.98501143","40.67461342","-"
"POINT (-73.947915 40.6900815)","646","NY1121611","-","3","Citi Bike","2015","201512","-","-","Brooklyn","NY","11216","35620","-73.947915","40.6900815","-"
"POINT (-83.06468 42.34742)","13951","MI4820111","-","101","Mo Go","2017","201712","Second Ave & Selden St","-","Detroit","MI","48201","19820","-83.06468","42.34742","-"
"POINT (-117.160373 32.709447)","20874","CA9211402","19","59","DiscoverBike (was DecoBike in 2016 and 2017)","2018","201812","J Street 5th Ave","J Street 5th Ave","San Diego","CA","92114","41740","-117.160373","32.709447","-"
"POINT (-95.36119 29.75396)","23163","TX7700213","bcycle_houston_2271","17","Houston B-cycle","2019","201912","Lamar & Milam","782 Lamar","Houston","TX","77002","26420","-95.36119","29.75396","-"
"POINT (-106.823 39.1916)","16467","CO8161124","1480","27","WE-cycle","2018","201812","Hotel Aspen","Hotel Aspen","Aspen","CO","81611","24060","-106.823","39.1916","-"
"POINT (-88.98304485 40.50201919)","19888","IL6176105","37fe6fd3-0388-4740-b3f9-7a421b37080d","100","Normal (Bikeshare 309)","2018","201812","Connie Link Station","-","Normal","IL","61761","14010","-88.98304485","40.50201919","-"
"POINT (-77.03353 38.902)","18181","DC2068501","31254","56","Capital Bikeshare","2018","201812","15th & K St NW","15th & K St NW","Washington","DC","20685","47900","-77.03353","38.902","-"
"POINT (-93.277037 45.00095)","16384","MN5541103","30145","25","Nice Ride Minnesota (became partially dockless in 2018)","2018","201812","Minneapolis Park & Recreation Board","2117 West River Road North","Minneapolis","MN","55411","33460","-93.277037","45.00095","-"
"POINT (-104.994125 39.738627)","893","CO8020412","-","7","Denver B-cycle","2015","201512","-","14th and Elati","Denver","CO","80204","19740","-104.994125","39.738627","-"
"POINT (-71.079096 42.334875)","70","MA0211808","-","1","Hubway (03/2018 re-launched as Blue Bikes)","2015","201512","-","Washington St. at Lenox St.","Boston","MA","2118","14460","-71.079096","42.334875","-"
"POINT (-116.1835742 43.610371)","10823","ID8371205","hub_4043","36","Boise Green Bike","2017","201712","Roosevelt Market","317 North Elm Avenue","Boise","ID","83712","14260","-116.1835742","43.610371","-"
"POINT (-86.82398 36.185)","16217","TN3720801","bcycle_nashville_3597","21","Nashville B-cycle","2018","201812","Ted Rhodes Golf Course: 1901 Ed Temple Blvd","1901 Ed Temple Blvd","Nashville","TN","37208","34980","-86.82398","36.185","-"
"POINT (-93.234739 44.979878)","23564","MN5541429","30197","25","Nice Ride Minnesota (became partially dockless in 2018)","2019","201912","-","15th Ave SE & 4th Street SE","Minneapolis","MN","55414","33460","-93.234739","44.979878","-"
"POINT (-82.4587103 27.94837784)","23765","FL3360238","1225","33","Coast Bike Share","2019","201912","T- Madison 2020- VIRTUAL","-","Tampa","FL","33602","45300","-82.4587103","27.94837784","-"
"POINT (-80.85871 35.21238)","15875","NC2820309","bcycle_charlotte_2117","13","Charlotte B-cycle","2018","201812","-","100 West Blvd.","Charlotte","NC","28203","16740","-80.85871","35.21238","-"
"POINT (-95.726999 39.015211)","5386","KS6661412","hub_1199","34","Topeka Metro Bikes","2016","201612","Walgreens - 29th & Gage","4000 Southwest 29th Street","Topeka","KS","66614","45820","-95.726999","39.015211","-"
"POINT (-97.51938 35.47602)","5811","OK7310207","bcycle_spokies_3518","40","Spokies","2016","201612","Elemental","815 N Hudson Avenue","Oklahoma City","OK","73102","36420","-97.51938","35.47602","-"
"POINT (-87.716866 41.885502)","7376","IL6062407","518","60","Divvy","2016","201612","-","Conservatory Dr & Lake St","Chicago","IL","60624","16980","-87.716866","41.885502","-"
"POINT (-111.9568259 33.44212594)","5660","AZ8528132","hub_2606","37","Grid","2016","201612","T10 Washington St / Priest Dr","1571-1697 North Priest Drive","Tempe","AZ","85281","38060","-111.9568259","33.44212594","-"
"POINT (-118.23833 34.06056)","19205","CA9001223","bcycle_lametro_3065","73","Metro Bike Share Los Angeles","2018","201812","New High & Ord","725 New High Street","Los Angeles","CA","90012","31080","-118.23833","34.06056","-"
"POINT (-157.858047 21.3121413)","20195","HI9681315","-","111","Hawaii Bikibike","2018","201812","105 Downtown/CT - S.Kukui & Fort","-","Honolulu","HI","96813","46520","-157.858047","21.3121413","-"
"POINT (-73.950415 40.721791)","14978","NY1122210","5481.04","3","Citi Bike","2018","201812","-","-","Brooklyn","NY","11222","35620","-73.950415","40.721791","-"
"POINT (-94.58082 39.0987)","9930","MO6410605","bcycle_kc_2077","18","Kansas City B-cycle","2017","201712","-","1233 Grand Blvd.","Kansas City","MO","64106","28140","-94.58082","39.0987","-"
