"bus_name","address","city","state","zip_code","bus_type","bus_class","bus_description","year_founded","website","longitude","latitude","location"
"Arbor Biotechnologies","20 Acorn Park Drive","Cambridge","MA","02140","Biotechnology","Life Science","Early stage life sciences company","2016","https://arbor.bio/","-71.1473153708615","42.3979751953487","(42.3979751953487, -71.1473153708615)"
"Ariana Data Intelligence, Inc.","One Broadway","Cambridge","MA","02142","Bioinformatics","Life Science","Clinical and biomarker data analytics technology","2002","http://www.arianapharma.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Artax Biopharma","One Broadway","Cambridge","MA","02142","Biopharmaceutical","Life Science","Autoimmune and inflammatory disease therapy development","2013","http://www.artaxbiopharma.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"AstraZeneca Neuroscience iMed","141 Portland Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D hub around neuroscience",,"https://azneuro.com/about-us/","-71.0922963004345","42.365576593007","(42.365576593007, -71.0922963004345)"
"Astrocyte Pharmaceuticals, Inc.","245 First Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug development for brain injury patients","2014","https://www.astrocytepharma.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Aura Biosciences","85 Bolton Street","Cambridge","MA","02140","Biotechnology","Life Science","Nanosmart technology development","2007","http://www.aurabiosciences.com","-71.1305699529474","42.39003115429","(42.39003115429, -71.1305699529474)"
"Aurora Flight Sciences","90 Broadway","Cambridge","MA","02142","Biotechnology","Life Science","R&D in aerospace vehicles","1989","http://www.aurora.aero/","-71.0871433250208","42.3636524285693","(42.3636524285693, -71.0871433250208)"
"AuxoCell Laboratories","245 First Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Stem Cell Laboratory","2008","http://www.auxocell.com","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Avastus Preclinical Services","44 Spinelli Place","Cambridge","MA","02138","Biotechnology","Life Science","Contract Research and Manufacturing","2013","https://www.avastusps.com/about-us/contact-us/","-71.1529307279442","42.3923071174169","(42.3923071174169, -71.1529307279442)"
"Aventior","125 Cambridgepark Drive","Cambridge","MA","02140","Information Technology","High Tech","Technology consulting firm",,"https://aventior.com/","-71.1457538393149","42.3950752907362","(42.3950752907362, -71.1457538393149)"
"Aviceda Therapeutics","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Developer of glyco-immune therapeutics (GCTâ€™s)","2018","https://www.avicedarx.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Avipep","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Developing proprietary drug conjugates for patients fighting relapsed and refractory cancer",,"http://avipep.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"AvroBio","One Kendall Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug development",,"http://www.avrobio.com/","-71.0909213544418","42.3661335993384","(42.3661335993384, -71.0909213544418)"
"Axcella Health","840 Memorial Drive","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D for Orphan Diseases",,"http://www.axcellahealth.com/","-71.1150750377726","42.3631052107115","(42.3631052107115, -71.1150750377726)"
"Axonis","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Developing therapies in neurorestorative treatments for spinal cord injury",,"https://axonis.us/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Axxam","One Broadway","Cambridge","MA","02142","Contract Research","Life Science","Partner Research Organization",,"http://www.axxam.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Bayer Life Hub","245 First Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Innovation Center",,"https://www.lifehubboston.bayer.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Beam Therapeutics","26 Landsdowne Street","Cambridge","MA","02139","Biotechnology","Life Science","Developer of precision genetic medicines using CRISPR base editing","2018","https://beamtx.com/contact/","-71.0990223853639","42.3610129940534","(42.3610129940534, -71.0990223853639)"
"BeiGene","55 Cambridge Parkway","Cambridge","MA","02142","Biotechnology","Life Science","Global, commercial-stage biotechnology company","2010","https://www.beigene.com/","-71.0762977105578","42.3657420050532","(42.3657420050532, -71.0762977105578)"
"BIAL Biotech","19 Blackstone Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in small-molecule research neurodegeneration diseases","2011","https://www.bial.com/","-71.1145004232591","42.3634172936065","(42.3634172936065, -71.1145004232591)"
"Bilayer Therapeutics","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Develops a first-in-class therapeutic for constipation and other diseases of the colon","2021","https://bilayer-therapeutics.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Bill & Melinda Gates Medical Research Institute","245 Main St","Cambridge","MA","02142","Biotechnology","Life Science","Non-profit biotech organization focused on translational medicine","2017","https://www.gatesmri.org/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"BioAnalytix","790 Memorial Drive","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in biologic and biosimilar drugs",,"http://www.bioanalytixinc.com/index.html","-71.1148317990337","42.3598764519961","(42.3598764519961, -71.1148317990337)"
"Biobohemia","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Development of cancer vaccines",,"https://biobohemia.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Biobot Analytics","501 Massachusetts Ave","Cambridge","MA","02139","Biotechnology","Life Science","Wastewater epidemiology company that is transforming wastewater infrastructure into public health observatories",,"https://biobot.io/","-71.1014931241571","42.3642623755098","(42.3642623755098, -71.1014931241571)"
"BioData","625 Massachusetts Ave","Cambridge","MA","02139","Information Technology","High Tech","A web-based Electronic Lab Notebook for life science companies",,"https://www.labguru.com/","-71.1034839676115","42.3654554769794","(42.3654554769794, -71.1034839676115)"
"BioExec Institute","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Life sciences leadership network",,"http://www.bioexecinstitute.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Biogen Idec","225 Binney Street","Cambridge","MA","02142","Biotechnology","Life Science","Drug R&D and Manufacturing","1978","https://www.biogen.com/en_us/contact.html","-71.08567301266","42.3662549989373","(42.3662549989373, -71.08567301266)"
"Biogen Idec Innovation Incubator","225 Binney Street","Cambridge","MA","02142","Biotechnology","Life Science","R&D Incubator",,"https://www.biogen.com/en_us/contact.html","-71.08567301266","42.3662549989373","(42.3662549989373, -71.08567301266)"
"Black Diamond Therapeutics","One Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Precision oncology medicine company","2017","https://www.blackdiamondtherapeutics.com","-71.0801548712499","42.3621050405824","(42.3621050405824, -71.0801548712499)"
"Bloomer Health Tech","1 Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Uses everyday fabrics and machine learning for personalized detection, monitoring, and treatment of chronic diseases",,"https://www.bloomertech.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Blue Bird Bio","60 Binney Street","Cambridge","MA","02142","Biotechnology","Life Science","Gene therapy for cancer research","1992","http://www.bluebirdbio.com/","-71.0795170854724","42.3651201867491","(42.3651201867491, -71.0795170854724)"
"Blueprint Medicines","45 Sidney Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Drug Development","2011","http://www.blueprintmedicines.com","-71.1014233914707","42.3619155589271","(42.3619155589271, -71.1014233914707)"
"BlueRock Therapeutics","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Developer of induced pluripotent stem cell (iPSC) therapies","2016","https://bluerocktx.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Boston Genetics","625 Massachusetts Ave","Cambridge","MA","02139","Contract Research","Life Science","Boutique contract genomics organization","2019","https://www.bostongen.com/","-71.1034839676115","42.3654554769794","(42.3654554769794, -71.1034839676115)"
"Boston Lighthouse Innovation","150 CambridgePark Drive","Cambridge","MA","02140","Biotechnology","Life Science","Launches clinical genomics programs",,"https://www.bostonlighthouse.us/","-71.1459500611312","42.3946110167458","(42.3946110167458, -71.1459500611312)"
"Boston Oncology","245 First Street","Cambridge","MA","02142","Biotechnology","Life Science","Chemotherapeutic and biotechnology therapy development","2005","http://bostononcology.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Boston Open Labs","763-D Concord Ave","Cambridge","MA","02138","Contract Research","Life Science","Contract Research in open lab format","2009","http://www.bolresearch.com/","-71.1528283444272","42.3925467275244","(42.3925467275244, -71.1528283444272)"
"Boston Pharmaceuticals","55 Cambridge Parkway","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug Development","2015","http://www.bostonpharmaceuticals.com/","-71.0762977105578","42.3657420050532","(42.3657420050532, -71.0762977105578)"
"Braizon Therapeutics","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Developer of central nervous system drug delivery system",,"https://braizon.com/en/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Bristol Myers Squibb","100 Binney Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D Center",,"https://www.bms.com/about-us/our-company/worldwide-facilities/our-research-facilities/cambridge-massachusetts.html","-71.0805992117041","42.3652581293824","(42.3652581293824, -71.0805992117041)"
"Broad Institute","415 Main Street","Cambridge","MA","02142","Academic/Nonprofit R&D","Academic/Non-Profit","Academic Research Institution","2004","http://www.broadinstitute.org/","-71.0891226713898","42.3628674386568","(42.3628674386568, -71.0891226713898)"
"Burke Bioventures","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Drug development",,"http://www.burkebioventures.com","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Cambridge Biomedical Careers Program","1035 Cambridge Street","Cambridge","MA","02141","Nonprofit","Academic/Non-Profit","Workforce Development",,"http://www.justastart.org/","-71.0937041519439","42.3734936331323","(42.3734936331323, -71.0937041519439)"
"Cambridge Health Alliance","1493 Cambridge Street","Cambridge","MA","02139","Non-Profit","Life Science","Hospital","1996","http://www.challiance.org/Main/Home.aspx","-71.1044363345297","42.3744167811923","(42.3744167811923, -71.1044363345297)"
"Cambridge Innovation Center","One Broadway","Cambridge","MA","02142","Incubator","Incubator/Coworking","600+ companies in one location","2001","http://www.cictr.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Cambridge Science","15 Ware St","Cambridge","MA","02138","Biotechnology","Life Science","Focuses on scientific-technological innovation",,"http://cambridgesci.com/","-71.1129802558885","42.3730682330596","(42.3730682330596, -71.1129802558885)"
"CAMP4 Therapeutics","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","Drug discovery and development","2016","https://www.camp4tx.com/","-71.0903221519948","42.3672909799538","(42.3672909799538, -71.0903221519948)"
"Canon USA - Healthcare Optics Research Laboratory","210 Broadway","Cambridge","MA","02139","Information Technology","High Tech","Research laboratory focusing on biomedical technology","2013","http://www.usa.canon.com","-71.0932182826967","42.3661132632655","(42.3661132632655, -71.0932182826967)"
"Caraway Therapeutics","300 Technology Square","Cambridge","MA","02142","Biotechnology","Life Science","Biotherapeutic company",,"https://carawaytx.com/","-71.0917711454075","42.3634083285031","(42.3634083285031, -71.0917711454075)"
"CarGurus","2 Canal Park","Cambridge","MA","02141","Information Technology","High Tech","Online service for evaluating cars","2006","http://www.cargurus.com","-71.07631516553229","42.3700645210408","(42.3700645210408, -71.07631516553229)"
"Carmine Therapeutics","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Developing geneticÂ medicines based on red blood cell extracellular vesicles","2019","https://www.carminetherapeutics.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Casma Therapeutics","400 Technology Square","Cambridge","MA","02142","Biotechnology","Life Science","Drug development based on autophagy","2018","https://www.casmatx.com/","-71.091951377916","42.3638464323303","(42.3638464323303, -71.091951377916)"
"Catamaran Bio","245 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Developer of allogeneicÂ immuneÂ cell therapies","2020","https://www.catamaranbio.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Cedilla Therapeutics","245 Main Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D in cancer and other diseases caused by protein dysregulation.",,"https://www.cedillatx.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Celgene Avilomics Research","200 CambridgePark Drive","Cambridge","MA","02140","Biopharmaceutical","Life Science","R&D in drug therapy",,"https://www.celgene.com/research-development/rd-locations/avilomics-research/","-71.1489061819435","42.3954009280417","(42.3954009280417, -71.1489061819435)"
"Cellarity","100 Technology Square","Cambridge","MA","02142","Biotechnology","Life Science","Digitizing molecular information in cells","2017","https://cellarity.com/","-71.0907938787327","42.3629489687522","(42.3629489687522, -71.0907938787327)"
"Cellay, Inc.","100 Inman Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Drug Development","2009","http://www.cellayinc.com","-71.1015788078025","42.3718698253958","(42.3718698253958, -71.1015788078025)"
"Cellino Biotech","501 Massachusetts Ave","Cambridge","MA","02139","Biotechnology","Life Science","Develops intracellular delivery lasers and nanotechnology",,"https://www.cellinobio.com","-71.1014931241571","42.3642623755098","(42.3642623755098, -71.1014931241571)"
"Celsius Therapeutics","399 Binney Street","Cambridge","MA","02142","Biotechnology","Life Science","Drug development","2018","http://www.celsiustx.com","-71.0902337857325","42.3676019682682","(42.3676019682682, -71.0902337857325)"
"Center for Human Genetics","840 Memorial Drive","Cambridge","MA","02139","Non-Profit","Life Science","Genetic testing and counseling services",,"http://chginc.org/","-71.1150750377726","42.3631052107115","(42.3631052107115, -71.1150750377726)"
"Centessa Pharmaceuticals",,"Cambridge","MA",,"Biotechnology","Life Science","Improving R&D productivity","2013","https://centessa.com/",,,
"Centogene","99 Erie Street","Cambridge","MA","02139","Biotechnology","Life Science","Human genetics analysis","2006","http://www.centogene.com/","-71.1055206894536","42.3588440982339","(42.3588440982339, -71.1055206894536)"
"Checkmate Pharmaceuticals","245 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Drug Development","2016","http://checkmatepharma.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"ChemAxon","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Chemical software development","1998","http://chemaxon.com","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Civetta Therapeutics","10 Wilson Street","Cambridge","MA","02138","Biotechnology","Life Science","Cancer therapeutics company","2019","https://www.civettatherapeutics.com/","-71.150136618334","42.3923219947225","(42.3923219947225, -71.150136618334)"
"Clade Therapeutics","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","R&D in cell medicines for cancer treatment",,"https://cladetx.com/","-71.0911051057089","42.3663645885345","(42.3663645885345, -71.0911051057089)"
"Claritas Genomics","99 Erie Street","Cambridge","MA","02139","Biotechnology","Life Science","Genetic diagnostic laboratory",,"http://claritasgenomics.com","-71.1055206894536","42.3588440982339","(42.3588440982339, -71.1055206894536)"
"Clear Creek Bio","585 Massachusetts Avenue","Cambridge","MA","02139","Biotechnology","Life Science","Drug development for infectious disease and cancer",,"https://www.clearcreekbio.com/","-71.1027812952324","42.3650344370028","(42.3650344370028, -71.1027812952324)"
"Codiak Biosciences","35 Cambridge Park Drive","Cambridge","MA","02140","Biotechnology","Life Science","Exosome Biology",,"http://www.codiakbio.com/","-71.1435428235516","42.3948130745936","(42.3948130745936, -71.1435428235516)"
"Cogent Biosciences","200 Cambridge Park Drive","Cambridge","MA","02140","Biotechnology","Life Science","Drug Development","2014","https://www.cogentbio.com/","-71.1489061819435","42.3954009280417","(42.3954009280417, -71.1489061819435)"
"Cogo Labs","One Kendall Square","Cambridge","MA","02142","Information Technology","High Tech","Web Incubator","2005","http://www.cogolabs.com","-71.0901835021388","42.3666888663926","(42.3666888663926, -71.0901835021388)"
"Collaborative Trajectory Analysis Project","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Duchenne drug development","2015","http://ctap-duchenne.org","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Combined Therapeutics","650 East Kendall St","Cambridge","MA","02142","Biotechnology","Life Science","Pre-clinical-stage immunotherapy biotech","2016","http://www.combinedtx.com/","-71.0810729236616","42.3645257329026","(42.3645257329026, -71.0810729236616)"
"Concerto Biosciences","279 Harvard St","Cambridge","MA","02139","Biotechnology","Life Science","Direct discovery of microbial ensembles","2021","https://www.concertobio.com/","-71.10375794069","42.3691079876718","(42.3691079876718, -71.10375794069)"
"Constellation Pharmaceuticals","215 First Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Development in Epigenetics","2008","http://www.constellationpharma.com/","-71.0785437379441","42.3642063517586","(42.3642063517586, -71.0785437379441)"
"CRISPR Therapeutics","610 Main Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Development in genome-editing technology","2013","http://crisprtx.com/","-71.0940133114707","42.3628809096634","(42.3628809096634, -71.0940133114707)"
"Cue Therapeutics","21 Erie Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in immunotherapy",,"https://www.cuebiopharma.com/","-71.1038053210519","42.3578097131557","(42.3578097131557, -71.1038053210519)"
"Cullinan Oncology","One Main Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug development",,"https://www.cullinanoncology.com/","-71.0801548712499","42.3621050405824","(42.3621050405824, -71.0801548712499)"
"Custom Made","90 Sherman Street","Cambridge","MA","02140","Information Technology","High Tech","Online custom designed platform","2009","http://www.custommade.com","-71.1323849678653","42.3884908047309","(42.3884908047309, -71.1323849678653)"
"Cyclerion Therapeutics","245 First Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Clinical-stage biopharmaceutical company",,"https://www.cyclerion.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Cydan II, Inc.","700 Technology Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","Orphan Drug Accelerator & R&D Company","2013","http://www.cydanco.com/","-71.0927839228085","42.3638943145572","(42.3638943145572, -71.0927839228085)"
"Cygnal Therapeutics","325 Vassar Street","Cambridge","MA","02139","Biotechnology","Life Science","Drug development","2017","http://www.cygnaltx.com/","-71.1056951550591","42.3549339189278","(42.3549339189278, -71.1056951550591)"
"Daedalus Software, Inc.","One Broadway","Cambridge","MA","02142","Information Technology","High Tech","Software Development","2000","http://www.daedalussoftware.com","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Decimmune Therapeutics","55 Cambridge Parkway","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D in novel peptides& antibodies for acute, tissue damaging inflammation","2001","http://decimmune.com/","-71.0762977105578","42.3657420050532","(42.3657420050532, -71.0762977105578)"
"Definiens","125 CambridgePark Drive","Cambridge","MA","02140","Biotechnology","Life Science","Tissue phonemics company",,"http://www.definiens.com/company","-71.1457538393149","42.3950752907362","(42.3950752907362, -71.1457538393149)"
"Delta Search Labs","400 Technology Square","Cambridge","MA","02142","Biotechnology/IT",,"R&D","2001","http://www.deltasearchlabs.com","-71.091951377916","42.3638464323303","(42.3638464323303, -71.091951377916)"
"Disarm Therapeutics","One Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Developer of therapeutics to prevent axonal degeneration","2016","https://www.disarmtx.com/","-71.0801548712499","42.3621050405824","(42.3621050405824, -71.0801548712499)"
