"id","address","latitude","longitude","geocoded_column","status","submit_date","issue_date","business","erected_date","removed_date","description","tent_expiration","tent_count","size_of_additional_tents","tent_1_size","tent_2_size","tent_3_size","tent_4_size","tent_5_size","building_cost","electrical_cost","total_construction_cost","electrical_inspector","license_number"
"187295","75 Sidney St, Cambridge, MA 02139","42.3613","-71.1021","(42.361326, -71.102074)","Complete","2022-07-28T00:00:00.000","2022-08-01T00:00:00.000","BC Tent & Awning","2022-08-03T00:00:00.000","2022-08-05T00:00:00.000","Install a temporary 20x40 tent weighted without walls on or about 8/3, used 8/4 and removed 8/5","2024-05-23T00:00:00.000","1","","20x40","","","","","970","0","970","","146"
"187311","136 Irving St, Cambridge, MA 02138","42.3807","-71.11","(42.380731, -71.109998)","Complete","2022-07-28T00:00:00.000","2022-08-22T00:00:00.000","Peak Event Services","2022-09-07T00:00:00.000","2022-09-11T00:00:00.000","To Erect a 40x50 Temporary Tent on 9/7/22 &nbsp;Event on 9/10/22 &nbsp;Removed 9/11/22. Tent will have (2) 6&#39; Exits w/illum. Exit Signs, (1) No Smoking Sign &amp; (1) 10lb Abc Fire Extinguisher. Tent will be anchored down using 42&quot; Spikes w/3&quo","2023-04-27T00:00:00.000","1","","40x50","","","","","5000","0","5000","","CS-060219"
"187164","4 Ames St, Cambridge, MA 02142","42.36","-71.0869","(42.360037, -71.086854)","Complete","2022-07-27T00:00:00.000","2022-07-27T00:00:00.000","Peak Event Services","2022-09-06T00:00:00.000","2022-09-08T00:00:00.000","To Erect a 40x80 Temporary Tent on 9/6/22 &nbsp;Event on 9/7/22 &nbsp;Removed 9/8/22. Tent will have (4) 6&#39; Exits w/plastic Exit Signs(Daytime Event),(1) No Smoking Sign &amp; (2) 10LB Abc Fire Extinguishers. Tent will be anchored down using 42&quot; ","2023-04-27T00:00:00.000","1","","40x80","","","","","4000","0","4000","","CS-060219"
"186105","61 Kirkland St, Cambridge, MA 02138","42.3779","-71.1101","(42.377932, -71.110129)","Active","2022-07-21T00:00:00.000","2022-08-22T00:00:00.000","Wm Blanchard Co Inc","2022-08-24T00:00:00.000","2022-10-29T00:00:00.000","Erect Temporary tent for Harvard University Center of International Affairs meetings.<br>Tent will be staked into the ground. Digsafe will be notified of the event. There will be<br>no sides on the tent.<br>Tent 30x30 &nbsp; up 8/24/22 &nbsp; &nbsp; &nbsp","2023-11-29T00:00:00.000","1","","30'x30'","","","","","1350","0","1350","","CS-026636"
"185915","3 Harvard Yard, Cambridge, MA 02138","42.3739","-71.1172","(42.373941, -71.117195)","Active","2022-07-20T00:00:00.000","2022-07-29T00:00:00.000","Wm Blanchard Co Inc","2022-08-19T00:00:00.000","2022-08-29T00:00:00.000","Erect Temporary tent for Harvard University club sign ups and key cards for rooms.<br>Tent will be staked into ground. Digsafe will be notified of the event. There will be no<br>sidewall on the tent. <br>Tent 30x40 &nbsp;Setup 8/19/22 &nbsp; &nbsp;Take do","2023-11-29T00:00:00.000","1","","30x40","","","","","2250","0","2250","","CS-026636"
"185456","48-R Massachusetts Ave, Cambridge, MA 02139","42.3581","-71.0948","(42.358077, -71.094793)","Active","2022-07-18T00:00:00.000","2022-07-25T00:00:00.000","Peak Event Services","2022-08-08T00:00:00.000","2022-08-10T00:00:00.000","To Erect a 40x60 Temporary Tent on 8/8/22 &nbsp;Event on 8/9/22 &nbsp;Removed 8/10/22. Tent will have No Sidewall (Weather Related if sides are on Day Of), (1) No smoking Sign &amp; (1) 10lb Abc Fire Extinguisher. Tent will be anchored down using 42&quot;","2023-04-27T00:00:00.000","1","","40x60","","","","","2600","0","2600","","CS-060219"
"184712","10 Montague St, Cambridge, MA 02139","42.3639","-71.1122","(42.363917, -71.112236)","Active","2022-07-12T00:00:00.000","2022-07-13T00:00:00.000","Baystate Tent","2022-07-15T00:00:00.000","2022-08-15T00:00:00.000","To erect a 20 x 40 frame tent with ballast system located at 54 Montague Street in a parking lot.&nbsp;&nbsp;","2022-10-27T00:00:00.000","1","","20x40","","","","","2418","0","2418","","G28 33456"
"184094","12 Gilmore St, Cambridge, MA 02139","42.364","-71.1114","(42.363977, -71.111369)","Active","2022-07-08T00:00:00.000","2022-07-20T00:00:00.000","Atent For Rent Inc","2022-07-15T00:00:00.000","2022-08-15T00:00:00.000","Install temporary 20x40 frame tent secured with (12) 500lb weights.","2022-12-29T00:00:00.000","1","","800","","","","","4200","0","4200","","CS-050960"
"185593","62 Whittemore Ave, Cambridge, MA 02140","42.3986","-71.1371","(42.398558, -71.137053)","Active","2022-06-29T00:00:00.000","2022-08-08T00:00:00.000","AECOM Tishman","2022-08-15T00:00:00.000","2023-10-31T00:00:00.000","Tension fabric structures with aluminum frames, staked at base plates with long fasteners. no tie down blocks.&nbsp;","2022-05-23T00:00:00.000","4","","100' by 200' ","100' by 200' ","100' by 200' ","100' by 200' ","","200000","10000","215000","","CS-023008"
"181494","35 Landsdowne St, Cambridge, MA 02139","42.361","-71.1002","(42.360999, -71.100192)","Active","2022-06-21T00:00:00.000","2022-06-23T00:00:00.000","BC Tent & Awning","2022-06-25T00:00:00.000","2022-07-02T00:00:00.000","20x40 with walls only on long side weighted and 30x40 with walls long side only&nbsp; weighted&nbsp;","2023-09-28T00:00:00.000","2","","20x40","30x40","","","","4021","0","4021","","148511"
