"dataset_name","problem_statements_related_to_this_data","keywords","url","api_endpoint"
"Participatory Budgeting Ideas Submitted by Community Members","What issues do people care about in the community?  What patterns can be seen in the PB data over time?","finance,budget,participatory,public,community,civic,vote,capital","https://data.cambridgema.gov/d/54vd-wdqj","https://data.cambridgema.gov/resource/54vd-wdqj.json"
"Article 22 Green Building Review Projects","Can you use this data to help us analyze green buildings in Cambridge or better understand the impact of our green building requirement? ","leed,green,buildings,sustainable,sustainability,energy,environment,efficiency,renewable,carbon,zoning","https://data.cambridgema.gov/d/ay64-ymwq","https://data.cambridgema.gov/resource/ay64-ymwq.json"
"Cambridge Building Energy and Water Use Data Disclosure 2016-2019","Use this dataset to better understand energy and water use patterns across the city and for sustainability planning purposes.","building energy,energy disclosure,benchmarking data,energy reporting data,beudo,glocal","https://data.cambridgema.gov/d/72g6-j7aq","https://data.cambridgema.gov/resource/72g6-j7aq.json"
"Commercial District Customer Intercept Survey Responses - Historical","What economic development improvements do these survey results point to? ","customers,commercial districts,economic development,business,survey","https://data.cambridgema.gov/d/ibuz-brbz","https://data.cambridgema.gov/resource/ibuz-brbz.json"
"Police Department Crash Data - Updated","What are the significant trends in Cambridge crashes? How might Cambridge reduce crash rates?","crash,accident,motor vehicles,vision zero","https://data.cambridgema.gov/d/gb5w-yva3","https://data.cambridgema.gov/resource/gb5w-yva3.json"
"Civic Innovation Challenge Inventory","How can Cambridge better engage the civic hacking community around these challenge statements?","civic,innovation,hacking,volunteer,data","https://data.cambridgema.gov/d/x96z-hdnh","https://data.cambridgema.gov/resource/x96z-hdnh.json"
"2016 Presidential and State Election Results","Can you use this dataset to help Cambridge understand or improve civic engagement?","election,poll,vote,citizen,campaign","https://data.cambridgema.gov/d/5d8j-6wzj","https://data.cambridgema.gov/resource/5d8j-6wzj.json"
"Cambridge Municipal Greenhouse Gas Inventory 2008 - 2012","How can Cambridge mitigate greenhouse gas emissions from operations? How can Cambridge better educate staff and residents about greenhouse gas emissions? ","greenhouse gas,ghg,environment,sustainability,energy,glocal","https://data.cambridgema.gov/d/m5zs-2fuf","https://data.cambridgema.gov/resource/m5zs-2fuf.json"
"Commonwealth Connect Service Requests","How are requests distributed across the city? How can resources be optimally deployed?","311,public works,seeclickfix,pothole,snow,streets,vision zero,glocal","https://data.cambridgema.gov/d/2z9k-mv9g","https://data.cambridgema.gov/resource/2z9k-mv9g.json"
"Early Voting for 2016 Presidential Election","How can Cambridge better educate residents about early voting options? ","poll,vote,voting,election","https://data.cambridgema.gov/d/xd4d-326b","https://data.cambridgema.gov/resource/xd4d-326b.json"
"Building Permits: 1 and 2 Family - DEPRECATED","What does this dataset tell us about development trends in Cambridge? ","building,permit,inspection,construction,housing","https://data.cambridgema.gov/d/52p4-36ct","https://data.cambridgema.gov/resource/52p4-36ct.json"
"Average Daily Traffic Counts 1972 to 2017","Can you use this information to create informative and engaging data visualizations or analyses about traffic patterns in Cambridge? ","city of cambridge,traffic counts,adt,peak hour counts,cordon counts,traffic parking and transportation department,tp&t,tpt counts,vision zero","https://data.cambridgema.gov/d/v43b-kqeq","https://data.cambridgema.gov/resource/v43b-kqeq.json"
"Board of Zoning Appeal Requests","Can you use this dataset to create a dashboard tool for the board of zoning appeal? ","bza,zoning,requests,variance,special permit,appeal","https://data.cambridgema.gov/d/urfm-usws","https://data.cambridgema.gov/resource/urfm-usws.json"
"Development Log Historical Projects Use Data 1997 - 2019","Can you use this dataset to generate new insights about development trends in Cambridge? Can you develop engaging ways to visualize this data? ","development,projects,units,gfa,hotel rooms,community development department,cdd","https://data.cambridgema.gov/d/r5mv-isth","https://data.cambridgema.gov/resource/r5mv-isth.json"
"Life Sciences and Technology Company Listing: September 2020","How can we use this data to ensure that Cambridge remains a world leader for innovation and technology?. ","economic development,life sciences,technology,biotechnology,clean energy,high tech","https://data.cambridgema.gov/d/fv53-bvhy","https://data.cambridgema.gov/resource/fv53-bvhy.json"
"Assessing Building Information FY2015","How can we use this data to improve housing availability and affordability in Cambridge?","assessing,property database,building data","https://data.cambridgema.gov/d/crnm-mw9n","https://data.cambridgema.gov/resource/crnm-mw9n.json"
"Sanitary Inspections","How can Cambridge better utilize and present this data to protect public health and safety and improve community access to inspection information?","sanitary,sanitary inspections,restaurant inspections","https://data.cambridgema.gov/d/mh73-gjid","https://data.cambridgema.gov/resource/mh73-gjid.json"
"Cambridge Parking Tickets","Can you use this data to help us improve regulation of parking availability in Cambridge?","violation,location,meter,vision zero","https://data.cambridgema.gov/d/vnxa-cuyr","https://data.cambridgema.gov/resource/vnxa-cuyr.json"
"Street Trees","Can you improve the City's tree foliage app by creating a version that is faster or offers additional features? https://cityofcambridge.shinyapps.io/Foliage/ ","city of cambridge,dpw,trees,urban forestry,cambridge,ma,glocal","https://data.cambridgema.gov/d/ni4i-5bnn","https://data.cambridgema.gov/resource/ni4i-5bnn.json"
