"projectid","address","street_number","street_name","status","year_complete","use_type","gfa","latlong","latitude","longitude"
"757","160-180 Fawcett Street","160-180","Fawcett Street","Zoning Permit Granted or As of Right",,"Office/R&D","58027","(42.3943799999999, -71.1499799999999)","42.3944","-71.15"
"379","107-111 First Street","107-111","First Street","Complete","2022","Retail","14800","(42.3676609999999, -71.07792)","42.3677","-71.0779"
"379","107-111 First Street","107-111","First Street","Complete","2022","Residential","102423","(42.3676609999999, -71.07792)","42.3677","-71.0779"
"709","161 First Street","161","First Street","Building Permit Granted",,"Office/R&D","30087","(42.3655945802998, -71.078659281)","42.3656","-71.0787"
"753","60 First Street","60","First Street","Building Permit Granted",,"Retail","35000","(42.36889, -71.0771799999999)","42.3689","-71.0772"
"753","60 First Street","60","First Street","Building Permit Granted",,"Lab/R&D","175000","(42.36889, -71.0771799999999)","42.3689","-71.0772"
"779","75 First Street","75","First Street","Pre-Permitting",,"Residential","76789","(42.3684364646963, -71.0776914623582)","42.3684","-71.0777"
"774","80 First Street","80","First Street","Zoning Permit Granted or As of Right",,"Retail","10000","(42.3683648768787, -71.0772989883568)","42.3684","-71.0773"
"774","80 First Street","80","First Street","Zoning Permit Granted or As of Right",,"Office/R&D","445000","(42.3683648768787, -71.0772989883568)","42.3684","-71.0773"
"361","34-36 Hampshire Street","34-36","Hampshire Street","Expired",,"Office/R&D","360","(42.3662298416, -71.0920099069)","42.3662","-71.092"
"361","34-36 Hampshire Street","34-36","Hampshire Street","Expired",,"Residential","20940","(42.3662298416, -71.0920099069)","42.3662","-71.092"
"721","36 Hampshire Street","36","Hampshire Street","Building Permit Granted",,"Lab/R&D","15821","(42.3662679999999, -71.091997)","42.3663","-71.092"
"762","60 Hampshire Street","60","Hampshire Street","Building Permit Granted",,"Lab/R&D","36000","(42.3669874167605, -71.0935197578885)","42.367","-71.0935"
"772","213 Harvard Street","213","Harvard Street","Building Permit Granted",,"Residential","12378","(42.367518165589, -71.098843178706)","42.3675","-71.0988"
"688","20-22 Hurley Street","20-22","Hurley Street","Complete","2022","Residential","18502","(42.367901, -71.078618)","42.3679","-71.0786"
"602","57 JFK Street","57","JFK Street","Permitting",,"Residential","30344","(42.3722169999999, -71.120812)","42.3722","-71.1208"
"685","3-5 Linnaean Street","3-5","Linnaean Street","Building Permit Granted",,"Residential","50701","(42.384951, -71.1200929999999)","42.385","-71.1201"
"372","41 Linskey Way","41","Linskey Way","Zoning Permit Granted or As of Right",,"Retail","6189","(42.3649674983998, -71.0802266967998)","42.365","-71.0802"
"372","41 Linskey Way","41","Linskey Way","Zoning Permit Granted or As of Right",,"Office/R&D","10000","(42.3649674983998, -71.0802266967998)","42.365","-71.0802"
"622","165 Main Street","165","Main Street","Complete","2022","Retail","8195","(42.3627385552, -71.0840144502)","42.3627","-71.084"
"622","165 Main Street","165","Main Street","Complete","2022","Residential","305074","(42.3627385552, -71.0840144502)","42.3627","-71.084"
"677","200 Main Street","200","Main Street","Zoning Permit Granted or As of Right",,"Retail","10925","(42.3618239999999, -71.084035)","42.3618","-71.084"
"677","200 Main Street","200","Main Street","Zoning Permit Granted or As of Right",,"Office/R&D","312355","(42.3618239999999, -71.084035)","42.3618","-71.084"
"713","325 Main Street","325","Main Street","Complete","2022","Office/R&D","343123","(42.36276, -71.08656)","42.3628","-71.0866"
"713","325 Main Street","325","Main Street","Complete","2022","Retail","33000","(42.36276, -71.08656)","42.3628","-71.0866"
"683","380 Main Street","380","Main Street","Required Design Review Underway",,"Retail","13200","(42.362329, -71.087586)","42.3623","-71.0876"
"746","600-624 Main Street","600-624","Main Street","Building Permit Granted",,"Institutional","185810","(42.362476, -71.093135)","42.3625","-71.0931"
"719","730-750 Main Street","730-750","Main Street","Building Permit Granted",,"Office/R&D","197495","(42.36276, -71.09563)","42.3628","-71.0956"
"719","730-750 Main Street","730-750","Main Street","Building Permit Granted",,"Retail","6594","(42.36276, -71.09563)","42.3628","-71.0956"
"781","130 Massachusetts Avenue","130","Massachusetts Avenue","Zoning Permit Granted or As of Right",,"Institutional","219842","(42.3600466894074, -71.0960608065173)","42.36","-71.0961"
"745","2072 Massachusetts Avenue","2072","Massachusetts Avenue","Pre-Permitting",,"Retail","995","(42.39101, -71.1232899999999)","42.391","-71.1233"
"745","2072 Massachusetts Avenue","2072","Massachusetts Avenue","Pre-Permitting",,"Residential","59756","(42.39101, -71.1232899999999)","42.391","-71.1233"
"724","544-550 Massachusetts Avenue","544-550","Massachusetts Avenue","Permitting",,"Retail","3164","(42.3643399999999, -71.10241)","42.3643","-71.1024"
"724","544-550 Massachusetts Avenue","544-550","Massachusetts Avenue","Permitting",,"Residential","16918","(42.3643399999999, -71.10241)","42.3643","-71.1024"
"742","600 Massachusetts Avenue","600","Massachusetts Avenue","Zoning Permit Granted or As of Right",,"Residential","46769","(42.3647909999999, -71.1032519999999)","42.3648","-71.1033"
"742","600 Massachusetts Avenue","600","Massachusetts Avenue","Zoning Permit Granted or As of Right",,"Retail","32427","(42.3647909999999, -71.1032519999999)","42.3648","-71.1033"
"729","711-727 Massachusetts Avenue","711-727","Massachusetts Avenue","Zoning Permit Granted or As of Right",,"Retail","3006","(42.3662899999999, -71.1046599999999)","42.3663","-71.1047"
"729","711-727 Massachusetts Avenue","711-727","Massachusetts Avenue","Zoning Permit Granted or As of Right",,"Office/R&D","18760","(42.3662899999999, -71.1046599999999)","42.3663","-71.1047"
"729","711-727 Massachusetts Avenue","711-727","Massachusetts Avenue","Zoning Permit Granted or As of Right",,"Hotel","24758","(42.3662899999999, -71.1046599999999)","42.3663","-71.1047"
"741"," MIT Volpe Development",,"MIT Volpe Development","Zoning Permit Granted or As of Right",,"Residential","1128000","(42.364513, -71.085571)","42.3645","-71.0856"
"741"," MIT Volpe Development",,"MIT Volpe Development","Zoning Permit Granted or As of Right",,"Retail","100000","(42.364513, -71.085571)","42.3645","-71.0856"
"741"," MIT Volpe Development",,"MIT Volpe Development","Zoning Permit Granted or As of Right",,"Office/R&D","1756913","(42.364513, -71.085571)","42.3645","-71.0856"
"741"," MIT Volpe Development",,"MIT Volpe Development","Zoning Permit Granted or As of Right",,"Other","25000","(42.364513, -71.085571)","42.3645","-71.0856"
"769","121 Morgan Avenue","121","Morgan Avenue","Required Design Review Underway",,"Retail","1801","(42.3725836538105, -71.0773705593951)","42.3726","-71.0774"
"769","121 Morgan Avenue","121","Morgan Avenue","Required Design Review Underway",,"Office/R&D","163794","(42.3725836538105, -71.0773705593951)","42.3726","-71.0774"
"770","221 Morgan Avenue","221","Morgan Avenue","Zoning Permit Granted or As of Right",,"Retail","18324","(42.3716299315963, -71.0758513828813)","42.3716","-71.0759"
"770","221 Morgan Avenue","221","Morgan Avenue","Zoning Permit Granted or As of Right",,"Residential","120901","(42.3716299315963, -71.0758513828813)","42.3716","-71.0759"
"734","441 Morgan Avenue","441","Morgan Avenue","Building Permit Granted",,"Lab/R&D","313531","(42.370657, -71.072522)","42.3707","-71.0725"
"755","83-91 Mount Auburn Street","83-91","Mount Auburn Street","Zoning Permit Granted or As of Right",,"Office/R&D","87494","(42.37274, -71.11987)","42.3727","-71.1199"
"715","200 Msgr. O'Brien Highway","200","Msgr. O'Brien Highway","Building Permit Granted",,"Retail","4400","(42.3721779999999, -71.079372)","42.3722","-71.0794"
"659","263 Msgr. O'Brien Highway","263","Msgr. O'Brien Highway","Zoning Permit Granted or As of Right",,"Hotel","21796","(42.373752, -71.081546)","42.3738","-71.0815"
"748","52 New Street","52","New Street","Zoning Permit Granted or As of Right",,"Residential","126230","(42.38796, -71.1399399999999)","42.388","-71.1399"
"748","52 New Street","52","New Street","Zoning Permit Granted or As of Right",,"Educational","3000","(42.38796, -71.1399399999999)","42.388","-71.1399"
"771","116 Norfolk Street","116","Norfolk Street","Zoning Permit Granted or As of Right",,"Residential","47075","(42.3668199774469, -71.0999567207299)","42.3668","-71.1"
"708","151 North First Street","151","North First Street","Building Permit Granted",,"Residential","371066","(42.372599, -71.0753239999999)","42.3726","-71.0753"
"708","151 North First Street","151","North First Street","Building Permit Granted",,"Retail","26036","(42.372599, -71.0753239999999)","42.3726","-71.0753"
"701","140-142 Prospect Street","140-142","Prospect Street","Building Permit Granted",,"Residential","7640","(42.3685699999999, -71.1011979999999)","42.3686","-71.1012"
"749","278 Rindge Avenue","278","Rindge Avenue","Zoning Permit Granted or As of Right",,"Residential","379925","(42.392173, -71.1350319999999)","42.3922","-71.135"
"739","430 Rindge Avenue","430","Rindge Avenue","Zoning Permit Granted or As of Right",,"Residential","90075","(42.3925610132026, -71.1402754135942)","42.3926","-71.1403"
"782","432 Rindge Avenue","432","Rindge Avenue","Building Permit Granted",,"Residential","27968","(42.3937911564183, -71.1402727313859)","42.3938","-71.1403"
"782","432 Rindge Avenue","432","Rindge Avenue","Building Permit Granted",,"Office/R&D","12192","(42.3937911564183, -71.1402727313859)","42.3938","-71.1403"
"782","432 Rindge Avenue","432","Rindge Avenue","Building Permit Granted",,"Educational","28794","(42.3937911564183, -71.1402727313859)","42.3938","-71.1403"
"752","1 Rogers Street","1","Rogers Street","Building Permit Granted",,"Lab/R&D","262552","(42.36636, -71.07725)","42.3664","-71.0773"
"732","101 Rogers Street","101","Rogers Street","Building Permit Granted",,"Institutional","50200","(42.36681, -71.0826699999999)","42.3668","-71.0827"
"750","102 Sherman Street","102","Sherman Street","Pre-Permitting",,"Residential","131331","(42.38915, -71.1306)","42.3892","-71.1306"
"760","49 Sixth Street","49","Sixth Street","Required Design Review Underway",,"Residential","59400","(42.37057, -71.0856459999999)","42.3706","-71.0856"
"720","101 Smith Place","101","Smith Place","Building Permit Granted",,"Office/R&D","142153","(42.392639, -71.1508369999999)","42.3926","-71.1508"
"777","40 Smith Place","40","Smith Place","Permitting",,"Office/R&D","230321","(42.391905511732, -71.1505259084387)","42.3919","-71.1505"
"777","40 Smith Place","40","Smith Place","Permitting",,"Restaurant","9725","(42.391905511732, -71.1505259084387)","42.3919","-71.1505"
"236","585 Third Street","585","Third Street","Zoning Permit Granted or As of Right",,"Community Center","30000","(42.3641474380998, -71.0826678014998)","42.3641","-71.0827"
"236","585 Third Street","585","Third Street","Zoning Permit Granted or As of Right",,"Office/R&D","500000","(42.3641474380998, -71.0826678014998)","42.3641","-71.0827"
"403","40 Thorndike Street","40","Thorndike Street","Building Permit Granted",,"Office/R&D","434593","(42.36922588, -71.0796096299998)","42.3692","-71.0796"
"403","40 Thorndike Street","40","Thorndike Street","Building Permit Granted",,"Residential","47465","(42.36922588, -71.0796096299998)","42.3692","-71.0796"
"403","40 Thorndike Street","40","Thorndike Street","Building Permit Granted",,"Retail","15000","(42.36922588, -71.0796096299998)","42.3692","-71.0796"
"756","197 Vassal Lane","197","Vassal Lane","Zoning Permit Granted or As of Right",,"Educational","299954","(42.38414, -71.13974)","42.3841","-71.1397"
"744","269-301 Vassar Street","269-301","Vassar Street","Building Permit Granted",,"Institutional","328050","(42.3560469999999, -71.1037189999999)","42.356","-71.1037"
"743","51 Vassar Street","51","Vassar Street","Building Permit Granted",,"Institutional","174000","(42.3617509999999, -71.092617)","42.3618","-71.0926"
"707","350 Water Street","350","Water Street","Complete","2022","Office/R&D","450895","(42.3727179999999, -71.0723959999999)","42.3727","-71.0724"
"668","53-55 Wheeler Street","53-55","Wheeler Street","Building Permit Granted",,"Residential","563609","(42.3912109999999, -71.1446009999999)","42.3912","-71.1446"
"773","36-64 Whittemore Avenue","36-64","Whittemore Avenue","Zoning Permit Granted or As of Right",,"Retail","3500","(42.3985076039193, -71.1391530660004)","42.3985","-71.1392"
"773","36-64 Whittemore Avenue","36-64","Whittemore Avenue","Zoning Permit Granted or As of Right",,"Office/R&D","611000","(42.3985076039193, -71.1391530660004)","42.3985","-71.1392"
