"fiscal_year","service","department","division","position_number","job_title","total_salary"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","C087-005","Admin Asst/Insp Svs","67553"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","M698-001","Project Coordinator","51833"
"2023","Public Safety","License Commission","Administration","M082-002","Exec Dir./License","141843"
"2023","Public Safety","Police","Administration","A109-001","Motor Equipment Repairman Help","40508"
"2023","Public Safety","Police","Commissioner's Office","P465-287","Police Officer","101142"
"2023","Public Safety","Police","Criminal Investigations","P465-089","Police Officer","107121"
"2023","Public Safety","Police","Criminal Investigations","P465-288","Police Officer","102929"
"2023","Public Safety","Police","Family and Social Justice","M274-701","Dir. of Clinical Support Srvc","203864"
"2023","Public Safety","Police","Family and Social Justice","P465-240","Police Officer","105749"
"2023","Public Safety","Police","Patrol","P465-008","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-048","Police Officer","86804"
"2023","Public Safety","Police","Patrol","P465-083","Police Officer","101562"
"2023","Public Safety","Police","Patrol","P465-116","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-145","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-172","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-205","Police Officer","103255"
"2023","Public Safety","Police","Patrol","P465-237","Police Officer","103970"
"2023","Public Safety","Police","Patrol","P465-261","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-291","Police Officer","105692"
"2023","Public Safety","Police","Patrol","S464-018","Police Sergeant","128244"
"2023","Public Safety","Police","Planning, Budget & Personnel","M102-701","Dir.of Commun. & Media Rel.","119176"
"2023","Public Safety","Police","Professional Standards","S464-044","Police Sergeant","129553"
"2023","Public Safety","Police","Traffic Enforcement","P465-126","Police Officer","107121"
"2023","Public Safety","Police","Traffic Enforcement","T468-001","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-026","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-040","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-063","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-070","Traffic Supervisor/A3785","10959"
"2023","General Government","City Clerk","Administration","O008-701","City Clerk","152985"
"2023","General Government","City Clerk","Administration","C107-707","Principal Clerk","58890"
"2023","General Government","City Council","Administration","O002-705","City Councillor","89644"
"2023","General Government","City Council","Administration","M255-703","Council Aide","70565"
"2023","General Government","Election Commission","Administration","C117-053","Clerk/Clerical Aide","37540"
"2023","General Government","Election Commission","Administration","C110-025","Sr Clerk & Typist","49311"
"2023","General Government","Executive","Housing Liaison","M921-001","Project Coordinator","77287"
"2023","General Government","Executive","Leadership","M070-702","Exec Asst To City Mngr","100297"
"2023","General Government","Finance","Administration","O006-701","Asst City Mngr/Fiscal","229316"
"2023","General Government","Finance","Assessing","M380-701","Customer Srvc. Sup./Deed Spec.","79108"
"2023","General Government","Finance","Auditing","M336-002","AccT/Financial Reporti Analyst","92312"
"2023","General Government","Finance","Auditing","C170-703","Sr. Account Clerk/Audit","67775"
"2023","General Government","Finance","Information Technology","M906-701","Asst Dir/ IT Infrastructure","159759"
"2023","General Government","Finance","Information Technology","M149-701","GIS Manager","129089"
"2023","General Government","Finance","Information Technology","M708-701","Proj Mngr/Business Analyst L1","113123"
"2023","General Government","Finance","Information Technology","M130-702","System Administrator L2","119492"
"2023","General Government","Finance","Information Technology","M212-701","UX Designer/Front End Develope","104136"
"2023","General Government","Finance","Personnel","M093-701","Deputy Director/Personnel","139323"
"2023","General Government","Finance","Purchasing","C121-001","Admin Asst/Purchasing","67553"
"2023","General Government","Finance","Purchasing","O016-701","Purchasing Agent","176938"
"2023","General Government","Finance","Revenue","M275-701","Fiscal Affairs Analyst","57345"
"2023","General Government","Finance","Treasury","M073-701","Project/Cash Manager","90001"
"2023","General Government","Law","Administration","M088-704","Assistant City Solicitor","122471"
"2023","General Government","Law","Administration","M058-701","Deputy City Solicitor","159759"
"2023","General Government","Public Celebrations","Cambridge Arts Council","M516-701","Community Arts Administrator","65302"
"2023","Public Safety","Animal Commission","Administration","A209-701","Animal Control Officer","64311"
"2023","Public Safety","Community Safety","Administration","M650-001","Director of Community Safety","117300"
"2023","Public Safety","Electrical","Administration","C626-005","Electrician","79611"
"2023","Public Safety","Electrical","Administration","C622-001","Electrician Coordinator/Tech S","105633"
"2023","Public Safety","Emergency Communications","Communications Center","E374-003","Emerg Comm Supervisor","85218"
"2023","Public Safety","Emergency Communications","Communications Center","C508-001","Emergency Telecom Dispatcher","79573"
"2023","Public Safety","Emergency Communications","Communications Center","C508-011","Emergency Telecom Dispatcher","70059"
"2023","Public Safety","Emergency Communications","Communications Center","C508-030","Emergency Telecom Dispatcher","73256"
"2023","Public Safety","Emergency Communications","Communications Center","C508-038","Emergency Telecom Dispatcher","72871"
"2023","Public Safety","Emergency Communications","Public Safety IT","M322-701","Infrastructure Manager","125867"
"2023","Public Safety","Emergency Communications","Public Safety IT","M127-703","Public Safety Tech.Sup.Spec.","99907"
"2023","Public Safety","Fire","Headquarters & Fire Stations","M175-008","Budget Analyst","67435"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-006","Fire Captain","113828"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-017","Fire Captain","113072"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-003","Fire Deputy Chief","134458"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-017","Fire Deputy Chief","134458"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-007","Fire Fighter","65249"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-016","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-024","Fire Fighter","80888"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-037","Fire Fighter","81336"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-045","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-054","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-065","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-078","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-090","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-101","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-108","Fire Fighter","81050"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-120","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-129","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-139","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-148","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-160","Fire Fighter","81301"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-167","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-178","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-187","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-201","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-209","Fire Fighter","81805"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-218","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-230","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-244","Fire Fighter","80870"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-251","Fire Fighter","23381"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-009","Fire Lieutenant","97136"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-018","Fire Lieutenant","96428"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-029","Fire Lieutenant","97136"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-036","Fire Lieutenant","97197"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-044","Fire Lieutenant","97197"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-051","Fire Lieutenant","96724"
"2023","Public Safety","Fire","Headquarters & Fire Stations","M297-701","Fiscal Manager/Fire","113123"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","C087-004","Admin Asst/Insp Svs","67553"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I119-001","Code Inspector/Constable","79902"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I214-002","Plumbing & Gas Inspector","88022"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I215-001","Wire Inspector","88022"
"2023","Public Safety","License Commission","Administration","O031-701","Chair/License Commission","173210"
"2023","Public Safety","Police","Administration","C176-016","Account Clerk","55219"
"2023","Public Safety","Police","Administration","C168-001","Jr Accountant","61595"
"2023","Public Safety","Police","Administration","A496-001","Property Clerk/Armorer","59610"
"2023","Public Safety","Police","Commissioner's Office","M479-701","Police Commissioner","267800"
"2023","Public Safety","Police","Criminal Investigations","P465-026","Police Officer","107121"
"2023","Public Safety","Police","Criminal Investigations","P465-081","Police Officer","91929"
"2023","Public Safety","Police","Criminal Investigations","P465-189","Police Officer","102571"
"2023","Public Safety","Police","Criminal Investigations","P465-281","Police Officer","102929"
"2023","Public Safety","Police","Criminal Investigations","C110-012","Sr Clerk & Typist","55219"
"2023","Public Safety","Police","Family and Social Justice","M484-701","Dir of Outreach & Comm. Prog.","95375"
"2023","Public Safety","Police","Family and Social Justice","P465-112","Police Officer","106406"
"2023","Public Safety","Police","Family and Social Justice","P465-226","Police Officer","103313"
"2023","Public Safety","Police","Patrol","M493-703","Deputy Superintendent/Pol","171328"
"2023","Public Safety","Police","Patrol","P465-005","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-035","Police Officer","106406"
"2023","Public Safety","Police","Patrol","P465-047","Police Officer","86517"
"2023","Public Safety","Police","Patrol","P465-066","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-082","Police Officer","105749"
"2023","Public Safety","Police","Patrol","P465-101","Police Officer","105692"
"2023","Public Safety","Police","Patrol","P465-115","Police Officer","103313"
"2023","Public Safety","Police","Patrol","P465-127","Police Officer","102980"
"2023","Public Safety","Police","Patrol","P465-142","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-157","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-171","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-182","Police Officer","106127"
"2023","Public Safety","Police","Patrol","P465-204","Police Officer","101562"
"2023","Public Safety","Police","Patrol","P465-223","Police Officer","105749"
"2023","Public Safety","Police","Patrol","P465-234","Police Officer","100988"
"2023","Public Safety","Police","Patrol","P465-251","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-258","Police Officer","103970"
"2023","Public Safety","Police","Patrol","P465-278","Police Officer","103255"
"2023","Public Safety","Police","Patrol","P465-290","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-299","Police Officer","105692"
"2023","Public Safety","Police","Patrol","S464-015","Police Sergeant","129116"
"2023","Public Safety","Police","Patrol","S464-057","Police Sergeant","129553"
"2023","Public Safety","Police","Planning, Budget & Personnel","M181-003","Asst Dir/Planning, Budget, Per","98368"
"2023","Public Safety","Police","Procedural Justice","M493-704","Deputy Superintendent/Pol","166125"
"2023","Public Safety","Police","Professional Standards","S464-016","Police Sergeant","125024"
"2023","Public Safety","Police","Technical Services","S464-166","Police Sergeant","125024"
"2023","Public Safety","Police","Traffic Enforcement","P465-073","Police Officer","101142"
"2023","Public Safety","Police","Traffic Enforcement","P465-187","Police Officer","102929"
"2023","Public Safety","Police","Traffic Enforcement","T458-062","Traffic Supervisor B3785","11555"
"2023","Public Safety","Police","Traffic Enforcement","T468-015","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-024","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-034","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-037","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-050","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-057","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-066","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-069","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Patrol","S463-029","Police Lieutenant","149214"
"2023","General Government","City Clerk","Administration","M273-701","Administrative Coordinator","79108"
"2023","General Government","City Clerk","Administration","M103-701","Office Manager/City Clerk","84735"
"2023","General Government","City Clerk","Administration","C107-706","Principal Clerk","46353"
"2023","General Government","City Council","Administration","M079-701","Admin Project Assistant","73640"
"2023","General Government","City Council","Administration","O002-704","City Councillor","89644"
"2023","General Government","City Council","Administration","O002-708","City Councillor","89644"
"2023","General Government","City Council","Administration","M255-702","Council Aide","70565"
"2023","General Government","City Council","Administration","M255-709","Council Aide","70565"
"2023","General Government","Election Commission","Administration","M076-701","Asst Director/Election Comm","84750"
"2023","General Government","Election Commission","Administration","M803-703","Election Commissioner","40847"
"2023","General Government","Election Commission","Administration","M068-702","Operations Manager/Election","77984"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","M345-701","Prevention Specialist","44764"
"2023","General Government","Executive","Housing Liaison","M920-001","Housing Search Case Manager","77287"
"2023","General Government","Executive","Leadership","M348-701","Asst.to City Mgr/Com.Rel/Strg","123487"
"2023","General Government","Executive","Leadership","M392-001","Director/Organizational Culture","179821"
"2023","General Government","Executive","Public Information Office","M500-001","Digital Equity Specialist and Broadband Prjct Mgr","113122"
"2023","General Government","Executive","Public Information Office","M265-701","Public Info Officer","119176"
"2023","General Government","Finance","Assessing","M185-004","Assessment Analyst","74244"
"2023","General Government","Finance","Assessing","C088-001","Customer Service Rep/Deed Spec","67775"
"2023","General Government","Finance","Assessing","M279-701","Principal Commercial Appraiser","135427"
"2023","General Government","Finance","Assessing","M106-701","Title Examiner","48493"
"2023","General Government","Finance","Auditing","O007-701","City Auditor","174579"
"2023","General Government","Finance","Auditing","C170-701","Sr. Account Clerk/Audit","67775"
"2023","General Government","Finance","Budget","M184-004","Principal Budget Analyst","96545"
"2023","General Government","Finance","Information Technology","M901-701","Asst Dir of Info Tech Admin","159759"
"2023","General Government","Finance","Information Technology","M098-701","Data Anal. & Open Data Pg Mg.","124270"
"2023","General Government","Finance","Information Technology","M142-702","Enterprise Applications Specia","110483"
"2023","General Government","Finance","Information Technology","M529-701","Network Administrator Level 2","110659"
"2023","General Government","Finance","Information Technology","M530-701","Physical Security System Eng.","97884"
"2023","General Government","Finance","Information Technology","M162-701","Project Portfolio Manager","125926"
"2023","General Government","Finance","Information Technology","M119-703","Sr Programmer/Sys Analyst","104136"
"2023","General Government","Finance","Information Technology","M131-006","Technical Support Lvl I","85419"
"2023","General Government","Finance","Information Technology","M347-701","Technology Training Specialist","104136"
"2023","General Government","Finance","Personnel","M334-001","Administrative Assistant","63837"
"2023","General Government","Finance","Personnel","M306-701","Business Prod.Analyst Proj.","92312"
"2023","General Government","Finance","Personnel","O014-701","Personnel Director","178932"
"2023","General Government","Finance","Personnel","M095-701","Workers' Comp Claims Spec","73110"
"2023","General Government","Finance","Purchasing","C193-003","Buyer/Purchasing","67775"
"2023","General Government","Finance","Purchasing","M214-701","Construc & Sustain.Purch. Spec","79108"
"2023","General Government","Finance","Revenue","M715-001","Associate Finance Director","140716"
"2023","General Government","Finance","Revenue","M801-702","Cust.Srvs Sup/Online Pay Coord","86999"
"2023","General Government","Finance","Revenue","C171-707","Sr Account Clerk","51072"
"2023","General Government","Finance","Treasury","M171-705","Payroll Analyst","62571"
"2023","General Government","Law","Administration","C094-711","Admin Asst/Fisc/Gen/Bld/R","55967"
"2023","General Government","Law","Administration","M088-703","Assistant City Solicitor","116060"
"2023","General Government","Law","Administration","M088-708","Assistant City Solicitor","122471"
"2023","General Government","Law","Administration","O010-701","City Solicitor","212195"
"2023","General Government","Mayor","Administration","M301-701","Constituent Support Manager","71400"
"2023","General Government","Public Celebrations","Arts and Culture","M476-701","Dir. of Arts & Cultural Planni","115084"
"2023","General Government","Public Celebrations","Cambridge Arts Council","M513-701","Dir/Public Arts Programm","91568"
"2023","General Government","Public Celebrations","Cambridge Arts Council","M515-701","Public Arts Administrator","63741"
"2023","Public Safety","Animal Commission","Administration","M137-701","Dir/Animal Commission","105559"
"2023","Public Safety","Community Safety","Administration","M652-002","Crisis Response Specialist","61200"
"2023","Public Safety","Electrical","Administration","C098-001","Admin Asst/Electrical","54530"
"2023","Public Safety","Electrical","Administration","C626-002","Electrician","79611"
"2023","Public Safety","Electrical","Administration","C626-111","Electrician","78201"
"2023","Public Safety","Electrical","Administration","C625-001","Electrician Coordinator","105633"
"2023","Public Safety","Emergency Communications","Communications Center","M370-701","Assistant Dir. of Operations","144384"
"2023","Public Safety","Emergency Communications","Communications Center","E374-002","Emerg Comm Supervisor","96346"
"2023","Public Safety","Emergency Communications","Communications Center","E374-008","Emerg Comm Supervisor","95659"
"2023","Public Safety","Emergency Communications","Communications Center","C509-002","Emergency TeleCom Dispatch  II","83217"
"2023","Public Safety","Emergency Communications","Communications Center","C508-005","Emergency Telecom Dispatcher","79973"
"2023","Public Safety","Emergency Communications","Communications Center","C508-010","Emergency Telecom Dispatcher","79973"
"2023","Public Safety","Emergency Communications","Communications Center","C508-023","Emergency Telecom Dispatcher","67731"
"2023","Public Safety","Emergency Communications","Communications Center","C508-029","Emergency Telecom Dispatcher","79573"
"2023","Public Safety","Emergency Communications","Communications Center","C508-033","Emergency Telecom Dispatcher","79973"
"2023","Public Safety","Emergency Communications","Communications Center","c508-037","Emergency Telecom Dispatcher","71879"
"2023","Public Safety","Emergency Communications","Public Safety IT","M369-701","Application & Database Manager","129089"
"2023","Public Safety","Emergency Communications","Public Safety IT","M229-701","Enterprise Applic.Spec/PSIT","105499"
"2023","Public Safety","Emergency Communications","Public Safety IT","M708-705","Proj Mngr/Business Analyst L1","113123"
"2023","Public Safety","Emergency Communications","Public Safety IT","M127-702","Public Safety Tech.Sup.Spec.","99907"
"2023","Public Safety","Fire","Headquarters & Fire Stations","M016-702","Admin Asst/Fire Dept","81901"
"2023","Public Safety","Fire","Headquarters & Fire Stations","M520-002","Admin Officer Support Srv/Fire","214792"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-001","Fire Captain","114315"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-004","Fire Captain","114315"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-012","Fire Captain","113781"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-016","Fire Captain","114255"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-020","Fire Captain","114255"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-001","Fire Deputy Chief","133914"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-012","Fire Deputy Chief","134458"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-016","Fire Deputy Chief","134458"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-002","Fire Fighter","81050"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-005","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-011","Fire Fighter","81074"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-015","Fire Fighter","82009"
