"crash_number","date_time","day_of_week","object_1","object_2","street_number","steet_name","cross_street","location","latitude","longitude","coordinates"
"23839","2010-02-24T17:15:00.000","Wednesday","Auto","Parked Vehicle","64","Mount Vernon St",,"64 Mount Vernon St Cambridge, MA","42.387442999999998","-71.121796000000003",
"23840","2010-02-24T17:19:00.000","Wednesday","Truck","Fixed Object","24","Newtowne Ct",,"24 Newtowne Ct Cambridge, MA","42.363875","-71.094611",
"23838","2010-02-24T17:42:00.000","Wednesday","Auto","Miscellaneous","451","GREEN ST",,"451 GREEN ST Cambridge, MA","42.366708000000003","-71.107305999999994",
"23836","2010-02-24T18:59:00.000","Wednesday","Truck","Parked Vehicle","975","Massachusetts Ave",,"975 Massachusetts Ave Cambridge, MA","42.369258000000002","-71.110388",
"23842","2010-02-24T20:00:00.000","Wednesday","Auto","Parked Vehicle","277","LAKEVIEW AVE",,"277 LAKEVIEW AVE Cambridge, MA","42.384072000000003","-71.140963999999997",
"23843","2010-02-25T07:50:00.000","Thursday","Auto","Parked Vehicle",,"Blake St",," Blake St &  Cambridge, MA",,,
"23844","2010-02-25T10:30:00.000","Thursday","Auto","Auto",,"Peabody St","Massachusetts Ave"," Peabody St & Massachusetts Ave Cambridge, MA","42.374070000000003","-71.118838999999994",
"23846","2010-02-26T06:24:00.000","Friday","Auto","Auto",,"Cambridge St","SPRINGFIELD ST"," Cambridge St & SPRINGFIELD ST Cambridge, MA","42.373688999999999","-71.100528999999995",
"23847","2010-02-26T06:59:00.000","Friday","Auto","Auto",,"Massachusetts Ave","Vassar St"," Massachusetts Ave & Vassar St Cambridge, MA","42.360154000000001","-71.094881999999998",
"23848","2010-02-26T07:44:00.000","Friday","Auto","Parked Vehicle","534","Franklin St",,"534 Franklin St Cambridge, MA","42.367789999999999","-71.111562000000006",
"23849","2010-02-26T08:45:00.000","Friday","Auto","Bicycle",,"Binney St","Third St"," Binney St & Third St Cambridge, MA","42.365678000000003","-71.082406000000006",
"23864","2010-02-26T10:34:00.000","Friday","Auto","Auto",,"Cambridge St","Sixth St"," Cambridge St & Sixth St Cambridge, MA","42.371654999999997","-71.084789999999998",
"23894","2010-02-26T10:34:00.000","Friday","Auto","Auto",,"Cambridge St","Sixth St"," Cambridge St & Sixth St Cambridge, MA","42.371654999999997","-71.084789999999998",
"23850","2010-02-26T12:20:00.000","Friday","Auto","Auto",,"QUINCY ST","Cambridge St"," QUINCY ST & Cambridge St Cambridge, MA","42.375473999999997","-71.114321000000004",
"23851","2010-02-26T20:00:00.000","Friday","Auto","Parked Vehicle","116","Cherry St",,"116 Cherry St Cambridge, MA","42.365360000000003","-71.096886999999995",
"23845","2010-02-26T22:25:00.000","Friday","Auto","Auto",,"Massachusetts Ave",," Massachusetts Ave &  Cambridge, MA",,,
"23852","2010-02-27T11:29:00.000","Saturday","Auto","Parked Vehicle","119","FIRST ST",,"119 FIRST ST Cambridge, MA","42.367427999999997","-71.078168000000005",
"23853","2010-02-27T13:09:00.000","Saturday","Auto","Auto","125","Brattle St",,"125 Brattle St Cambridge, MA","42.377662000000001","-71.128579999999999",
