"age","week","count"
"50 - 59","7/19/2020","1"
"60 - 69","7/19/2020","1"
"70 - 79","7/19/2020","0"
"80+","7/19/2020","0"
"0 - 19","7/26/2020","0"
"20 - 29","7/26/2020","5"
"30 - 39","7/26/2020","8"
"40 - 49","7/26/2020","2"
"50 - 59","7/26/2020","0"
"60 - 69","7/26/2020","1"
"70 - 79","7/26/2020","4"
"80+","7/26/2020","0"
"0 - 19","8/2/2020","0"
"20 - 29","8/2/2020","12"
"30 - 39","8/2/2020","5"
"40 - 49","8/2/2020","1"
"50 - 59","8/2/2020","2"
"60 - 69","8/2/2020","3"
"70 - 79","8/2/2020","1"
"80+","8/2/2020","0"
"0 - 19","8/9/2020","1"
"20 - 29","8/9/2020","7"
"30 - 39","8/9/2020","5"
"40 - 49","8/9/2020","1"
"50 - 59","8/9/2020","2"
"60 - 69","8/9/2020","2"
"70 - 79","8/9/2020","1"
"80+","8/9/2020","0"
"0 - 19","8/16/2020","0"
"20 - 29","8/16/2020","7"
"30 - 39","8/16/2020","5"
"40 - 49","8/16/2020","1"
"50 - 59","8/16/2020","1"
"60 - 69","8/16/2020","2"
"70 - 79","8/16/2020","0"
"80+","8/16/2020","0"
"0 - 19","8/23/2020","4"
"20 - 29","8/23/2020","7"
"30 - 39","8/23/2020","7"
"40 - 49","8/23/2020","1"
"50 - 59","8/23/2020","1"
"60 - 69","8/23/2020","2"
"70 - 79","8/23/2020","1"
"80+","8/23/2020","0"
"0 - 19","8/30/2020","3"
"20 - 29","8/30/2020","11"
"30 - 39","8/30/2020","2"
"40 - 49","8/30/2020","0"
"50 - 59","8/30/2020","1"
"60 - 69","8/30/2020","1"
"70 - 79","8/30/2020","0"
"80+","8/30/2020","0"
"0 - 19","9/6/2020","5"
"20 - 29","9/6/2020","11"
"30 - 39","9/6/2020","5"
"40 - 49","9/6/2020","4"
"50 - 59","9/6/2020","0"
"60 - 69","9/6/2020","3"
"70 - 79","9/6/2020","0"
"80+","9/6/2020","0"
"0 - 19","9/13/2020","3"
"20 - 29","9/13/2020","12"
"30 - 39","9/13/2020","5"
"40 - 49","9/13/2020","2"
"50 - 59","9/13/2020","0"
"60 - 69","9/13/2020","2"
"70 - 79","9/13/2020","0"
"80+","9/13/2020","0"
"0 - 19","9/20/2020","2"
"20 - 29","9/20/2020","7"
"30 - 39","9/20/2020","3"
"40 - 49","9/20/2020","4"
"50 - 59","9/20/2020","0"
"60 - 69","9/20/2020","2"
"70 - 79","9/20/2020","1"
"80+","9/20/2020","2"
"0 - 19","9/27/2020","1"
"20 - 29","9/27/2020","10"
"30 - 39","9/27/2020","2"
"40 - 49","9/27/2020","2"
"50 - 59","9/27/2020","2"
"60 - 69","9/27/2020","1"
"70 - 79","9/27/2020","1"
"80+","9/27/2020","0"
"0 - 19","10/4/2020","3"
"20 - 29","10/4/2020","11"
"30 - 39","10/4/2020","4"
"40 - 49","10/4/2020","5"
"50 - 59","10/4/2020","0"
"60 - 69","10/4/2020","5"
"70 - 79","10/4/2020","2"
"80+","10/4/2020","1"
"0 - 19","10/11/2020","3"
"20 - 29","10/11/2020","11"
"30 - 39","10/11/2020","7"
"40 - 49","10/11/2020","6"
"50 - 59","10/11/2020","3"
"60 - 69","10/11/2020","1"
"70 - 79","10/11/2020","0"
"80+","10/11/2020","1"
"0 - 19","10/18/2020","2"
"20 - 29","10/18/2020","10"
"30 - 39","10/18/2020","10"
"40 - 49","10/18/2020","4"
"50 - 59","10/18/2020","2"
"60 - 69","10/18/2020","5"
"70 - 79","10/18/2020","1"
"80+","10/18/2020","1"
"0 - 19","10/25/2020","10"
"20 - 29","10/25/2020","18"
"30 - 39","10/25/2020","8"
"40 - 49","10/25/2020","1"
"50 - 59","10/25/2020","4"
"60 - 69","10/25/2020","6"
"70 - 79","10/25/2020","2"
"80+","10/25/2020","0"
"0 - 19","11/1/2020","10"
"20 - 29","11/1/2020","51"
"30 - 39","11/1/2020","22"
"40 - 49","11/1/2020","9"
"50 - 59","11/1/2020","4"
"60 - 69","11/1/2020","5"
"70 - 79","11/1/2020","4"
"80+","11/1/2020","4"
"0 - 19","11/8/2020","34"
"20 - 29","11/8/2020","64"
"30 - 39","11/8/2020","35"
"40 - 49","11/8/2020","25"
"50 - 59","11/8/2020","10"
"60 - 69","11/8/2020","6"
"70 - 79","11/8/2020","4"
"80+","11/8/2020","0"
"0 - 19","11/15/2020","23"
"20 - 29","11/15/2020","64"
"30 - 39","11/15/2020","37"
"40 - 49","11/15/2020","22"
"50 - 59","11/15/2020","19"
"60 - 69","11/15/2020","10"
"70 - 79","11/15/2020","9"
"80+","11/15/2020","5"
"0 - 19","11/22/2020","15"
"20 - 29","11/22/2020","27"
"30 - 39","11/22/2020","24"
"40 - 49","11/22/2020","21"
"50 - 59","11/22/2020","12"
"60 - 69","11/22/2020","9"
"70 - 79","11/22/2020","5"
"80+","11/22/2020","4"
"0 - 19","11/29/2020","42"
"20 - 29","11/29/2020","89"
"30 - 39","11/29/2020","42"
"40 - 49","11/29/2020","25"
"50 - 59","11/29/2020","22"
"60 - 69","11/29/2020","16"
"70 - 79","11/29/2020","9"
"80+","11/29/2020","4"
"0 - 19","12/6/2020","28"
"20 - 29","12/6/2020","62"
"30 - 39","12/6/2020","40"
"40 - 49","12/6/2020","24"
"50 - 59","12/6/2020","15"
"60 - 69","12/6/2020","18"
"70 - 79","12/6/2020","8"
"80+","12/6/2020","6"
"0 - 19","12/13/2020","24"
"20 - 29","12/13/2020","84"
"30 - 39","12/13/2020","41"
"40 - 49","12/13/2020","22"
"50 - 59","12/13/2020","28"
"60 - 69","12/13/2020","16"
"70 - 79","12/13/2020","12"
"80+","12/13/2020","10"
"0 - 19","12/20/2020","25"
"20 - 29","12/20/2020","50"
"30 - 39","12/20/2020","43"
"40 - 49","12/20/2020","20"
"50 - 59","12/20/2020","20"
"60 - 69","12/20/2020","10"
"70 - 79","12/20/2020","9"
"80+","12/20/2020","7"
"0 - 19","12/27/2020","34"
"20 - 29","12/27/2020","69"
"30 - 39","12/27/2020","60"
"40 - 49","12/27/2020","28"
"50 - 59","12/27/2020","20"
"60 - 69","12/27/2020","25"
"70 - 79","12/27/2020","8"
"80+","12/27/2020","11"
"0 - 19","1/3/2021","40"
"20 - 29","1/3/2021","88"
"30 - 39","1/3/2021","64"
"40 - 49","1/3/2021","35"
"50 - 59","1/3/2021","18"
"60 - 69","1/3/2021","15"
"70 - 79","1/3/2021","13"
"80+","1/3/2021","7"
"0 - 19","1/10/2021","31"
"20 - 29","1/10/2021","90"
"30 - 39","1/10/2021","52"
"40 - 49","1/10/2021","30"
"50 - 59","1/10/2021","34"
"60 - 69","1/10/2021","22"
"70 - 79","1/10/2021","11"
"80+","1/10/2021","8"
"0 - 19","1/17/2021","40"
"20 - 29","1/17/2021","71"
"30 - 39","1/17/2021","44"
"40 - 49","1/17/2021","26"
"50 - 59","1/17/2021","17"
"60 - 69","1/17/2021","15"
"70 - 79","1/17/2021","10"
"80+","1/17/2021","4"
"0 - 19","1/24/2021","40"
"20 - 29","1/24/2021","67"
"30 - 39","1/24/2021","28"
"40 - 49","1/24/2021","16"
"50 - 59","1/24/2021","20"
"60 - 69","1/24/2021","14"
"70 - 79","1/24/2021","8"
"80+","1/24/2021","5"
"0 - 19","1/31/2021","29"
"20 - 29","1/31/2021","39"
"30 - 39","1/31/2021","23"
"40 - 49","1/31/2021","15"
"50 - 59","1/31/2021","10"
"60 - 69","1/31/2021","8"
"70 - 79","1/31/2021","4"
"80+","1/31/2021","1"
"0 - 19","2/7/2021","13"
"20 - 29","2/7/2021","37"
"30 - 39","2/7/2021","26"
"40 - 49","2/7/2021","9"
"50 - 59","2/7/2021","13"
"60 - 69","2/7/2021","3"
"70 - 79","2/7/2021","7"
"80+","2/7/2021","2"
"0 - 19","2/14/2021","14"
"20 - 29","2/14/2021","41"
"30 - 39","2/14/2021","22"
"40 - 49","2/14/2021","10"
"50 - 59","2/14/2021","7"
"60 - 69","2/14/2021","13"
"70 - 79","2/14/2021","3"
"80+","2/14/2021","4"
"0 - 19","2/21/2021","16"
"20 - 29","2/21/2021","52"
"30 - 39","2/21/2021","19"
"40 - 49","2/21/2021","11"
"50 - 59","2/21/2021","17"
"60 - 69","2/21/2021","7"
"70 - 79","2/21/2021","4"
"80+","2/21/2021","1"
"0 - 19","2/28/2021","35"
"20 - 29","2/28/2021","56"
"30 - 39","2/28/2021","31"
"40 - 49","2/28/2021","12"
"50 - 59","2/28/2021","6"
"60 - 69","2/28/2021","9"
"70 - 79","2/28/2021","6"
"80+","2/28/2021","0"
"0 - 19","3/7/2021","30"
"20 - 29","3/7/2021","37"
"30 - 39","3/7/2021","27"
"40 - 49","3/7/2021","9"
"50 - 59","3/7/2021","13"
"60 - 69","3/7/2021","8"
"70 - 79","3/7/2021","2"
"80+","3/7/2021","0"
"0 - 19","3/14/2021","19"
"20 - 29","3/14/2021","52"
"30 - 39","3/14/2021","22"
"40 - 49","3/14/2021","16"
"50 - 59","3/14/2021","9"
"60 - 69","3/14/2021","10"
"70 - 79","3/14/2021","2"
"80+","3/14/2021","1"
"0 - 19","3/21/2021","28"
"20 - 29","3/21/2021","116"
"30 - 39","3/21/2021","26"
"40 - 49","3/21/2021","18"
"50 - 59","3/21/2021","11"
"60 - 69","3/21/2021","7"
"70 - 79","3/21/2021","2"
"80+","3/21/2021","2"
"0 - 19","3/28/2021","30"
"20 - 29","3/28/2021","73"
"30 - 39","3/28/2021","25"
"40 - 49","3/28/2021","16"
"50 - 59","3/28/2021","10"
"60 - 69","3/28/2021","4"
"70 - 79","3/28/2021","3"
"80+","3/28/2021","1"
"0 - 19","4/4/2021","48"
"20 - 29","4/4/2021","74"
"30 - 39","4/4/2021","42"
"40 - 49","4/4/2021","12"
"50 - 59","4/4/2021","8"
"60 - 69","4/4/2021","2"
"70 - 79","4/4/2021","8"
"80+","4/4/2021","2"
"0 - 19","4/11/2021","34"
"20 - 29","4/11/2021","51"
"30 - 39","4/11/2021","34"
"40 - 49","4/11/2021","10"
"50 - 59","4/11/2021","7"
"60 - 69","4/11/2021","5"
"70 - 79","4/11/2021","2"
"80+","4/11/2021","1"
"0 - 19","4/18/2021","13"
"20 - 29","4/18/2021","28"
"30 - 39","4/18/2021","15"
"40 - 49","4/18/2021","14"
"50 - 59","4/18/2021","6"
"60 - 69","4/18/2021","2"
"70 - 79","4/18/2021","1"
"80+","4/18/2021","1"
"0 - 19","4/25/2021","22"
"20 - 29","4/25/2021","15"
"30 - 39","4/25/2021","18"
"40 - 49","4/25/2021","3"
"50 - 59","4/25/2021","10"
"60 - 69","4/25/2021","4"
"70 - 79","4/25/2021","0"
"80+","4/25/2021","0"
"0 - 19","5/2/2021","7"
"20 - 29","5/2/2021","8"
"30 - 39","5/2/2021","7"
"40 - 49","5/2/2021","5"
"50 - 59","5/2/2021","2"
"60 - 69","5/2/2021","0"
"70 - 79","5/2/2021","2"
"80+","5/2/2021","0"
"0 - 19","5/9/2021","4"
"20 - 29","5/9/2021","9"
"30 - 39","5/9/2021","0"
"40 - 49","5/9/2021","2"
"50 - 59","5/9/2021","3"
"60 - 69","5/9/2021","1"
"70 - 79","5/9/2021","0"
"80+","5/9/2021","0"
"0 - 19","5/16/2021","9"
"20 - 29","5/16/2021","8"
"30 - 39","5/16/2021","5"
"40 - 49","5/16/2021","2"
"50 - 59","5/16/2021","0"
"60 - 69","5/16/2021","0"
"70 - 79","5/16/2021","0"
"80+","5/16/2021","0"
"0 - 19","5/23/2021","2"
"20 - 29","5/23/2021","2"
"30 - 39","5/23/2021","1"
"40 - 49","5/23/2021","1"
"50 - 59","5/23/2021","0"
"60 - 69","5/23/2021","1"
"70 - 79","5/23/2021","0"
"80+","5/23/2021","1"
"0 - 19","5/30/2021","7"
"20 - 29","5/30/2021","3"
"30 - 39","5/30/2021","0"
"40 - 49","5/30/2021","2"
"50 - 59","5/30/2021","3"
"60 - 69","5/30/2021","5"
"70 - 79","5/30/2021","0"
"80+","5/30/2021","0"
"0 - 19","6/6/2021","1"
"20 - 29","6/6/2021","2"
"30 - 39","6/6/2021","1"
"40 - 49","6/6/2021","1"
"50 - 59","6/6/2021","1"
"60 - 69","6/6/2021","0"
"70 - 79","6/6/2021","1"
"80+","6/6/2021","0"
"0 - 19","6/13/2021","0"
"20 - 29","6/13/2021","3"
"30 - 39","6/13/2021","0"
"40 - 49","6/13/2021","0"
"50 - 59","6/13/2021","0"
"60 - 69","6/13/2021","1"
"70 - 79","6/13/2021","0"
"80+","6/13/2021","0"
"0 - 19","6/20/2021","1"
"20 - 29","6/20/2021","2"
"30 - 39","6/20/2021","1"
"40 - 49","6/20/2021","1"
"50 - 59","6/20/2021","0"
"60 - 69","6/20/2021","0"
"70 - 79","6/20/2021","0"
"80+","6/20/2021","0"
"0 - 19","6/27/2021","3"
"20 - 29","6/27/2021","2"
"30 - 39","6/27/2021","5"
"40 - 49","6/27/2021","1"
"50 - 59","6/27/2021","1"
"60 - 69","6/27/2021","0"
"70 - 79","6/27/2021","1"
"80+","6/27/2021","1"
"0 - 19","7/4/2021","2"
"20 - 29","7/4/2021","7"
"30 - 39","7/4/2021","4"
"40 - 49","7/4/2021","1"
"50 - 59","7/4/2021","0"
"60 - 69","7/4/2021","0"
"70 - 79","7/4/2021","0"
"80+","7/4/2021","1"
"0 - 19","7/11/2021","10"
"20 - 29","7/11/2021","17"
"30 - 39","7/11/2021","10"
"40 - 49","7/11/2021","2"
"50 - 59","7/11/2021","2"
"60 - 69","7/11/2021","1"
"70 - 79","7/11/2021","0"
"80+","7/11/2021","1"
"0 - 19","7/18/2021","28"
"20 - 29","7/18/2021","24"
"30 - 39","7/18/2021","19"
"40 - 49","7/18/2021","6"
"50 - 59","7/18/2021","4"
"60 - 69","7/18/2021","3"
"70 - 79","7/18/2021","2"
"80+","7/18/2021","1"
"0 - 19","7/25/2021","19"
"20 - 29","7/25/2021","38"
"30 - 39","7/25/2021","14"
"40 - 49","7/25/2021","8"
"50 - 59","7/25/2021","4"
"60 - 69","7/25/2021","2"
"70 - 79","7/25/2021","1"
"80+","7/25/2021","0"
"0 - 19","8/1/2021","8"
"20 - 29","8/1/2021","39"
"30 - 39","8/1/2021","14"
"40 - 49","8/1/2021","5"
"50 - 59","8/1/2021","5"
"60 - 69","8/1/2021","6"
"70 - 79","8/1/2021","3"
"80+","8/1/2021","5"
"0 - 19","8/8/2021","15"
"20 - 29","8/8/2021","35"
"30 - 39","8/8/2021","16"
"40 - 49","8/8/2021","12"
"50 - 59","8/8/2021","8"
"60 - 69","8/8/2021","7"
"70 - 79","8/8/2021","4"
"80+","8/8/2021","1"
"0 - 19","8/15/2021","11"
"20 - 29","8/15/2021","53"
"30 - 39","8/15/2021","26"
"40 - 49","8/15/2021","8"
"50 - 59","8/15/2021","7"
"60 - 69","8/15/2021","3"
"70 - 79","8/15/2021","4"
"80+","8/15/2021","1"
"0 - 19","8/22/2021","27"
"20 - 29","8/22/2021","55"
"30 - 39","8/22/2021","20"
"40 - 49","8/22/2021","10"
"50 - 59","8/22/2021","14"
"60 - 69","8/22/2021","4"
"70 - 79","8/22/2021","2"
"80+","8/22/2021","1"
"0 - 19","8/29/2021","24"
"20 - 29","8/29/2021","111"
"30 - 39","8/29/2021","26"
"40 - 49","8/29/2021","12"
"50 - 59","8/29/2021","8"
"60 - 69","8/29/2021","6"
"70 - 79","8/29/2021","7"
"80+","8/29/2021","2"
"0 - 19","9/5/2021","14"
"20 - 29","9/5/2021","66"
"30 - 39","9/5/2021","25"
"40 - 49","9/5/2021","7"
"50 - 59","9/5/2021","10"
"60 - 69","9/5/2021","10"
"70 - 79","9/5/2021","6"
"80+","9/5/2021","3"
"0 - 19","9/12/2021","18"
"20 - 29","9/12/2021","78"
"30 - 39","9/12/2021","25"
"40 - 49","9/12/2021","11"
"50 - 59","9/12/2021","6"
"60 - 69","9/12/2021","5"
"70 - 79","9/12/2021","4"
"80+","9/12/2021","2"
"0 - 19","9/19/2021","17"
"20 - 29","9/19/2021","67"
"30 - 39","9/19/2021","23"
"40 - 49","9/19/2021","5"
"50 - 59","9/19/2021","15"
"60 - 69","9/19/2021","2"
"70 - 79","9/19/2021","2"
"80+","9/19/2021","0"
"0 - 19","9/26/2021","10"
"20 - 29","9/26/2021","49"
"30 - 39","9/26/2021","19"
"40 - 49","9/26/2021","4"
"50 - 59","9/26/2021","4"
"60 - 69","9/26/2021","1"
"70 - 79","9/26/2021","3"
"80+","9/26/2021","0"
"0 - 19","10/3/2021","15"
"20 - 29","10/3/2021","17"
"30 - 39","10/3/2021","9"
"40 - 49","10/3/2021","4"
"50 - 59","10/3/2021","8"
"60 - 69","10/3/2021","3"
"70 - 79","10/3/2021","1"
"80+","10/3/2021","1"
"0 - 19","10/10/2021","8"
"20 - 29","10/10/2021","28"
"30 - 39","10/10/2021","16"
"40 - 49","10/10/2021","3"
"50 - 59","10/10/2021","6"
"60 - 69","10/10/2021","4"
"70 - 79","10/10/2021","2"
"80+","10/10/2021","0"
"0 - 19","10/17/2021","26"
"20 - 29","10/17/2021","49"
"30 - 39","10/17/2021","20"
"40 - 49","10/17/2021","9"
"50 - 59","10/17/2021","5"
"60 - 69","10/17/2021","3"
"70 - 79","10/17/2021","3"
"80+","10/17/2021","2"
"0 - 19","10/24/2021","8"
"20 - 29","10/24/2021","31"
"30 - 39","10/24/2021","26"
"40 - 49","10/24/2021","6"
"50 - 59","10/24/2021","6"
"60 - 69","10/24/2021","1"
"70 - 79","10/24/2021","3"
"80+","10/24/2021","0"
"0 - 19","10/31/2021","12"
"20 - 29","10/31/2021","45"
"30 - 39","10/31/2021","20"
"40 - 49","10/31/2021","5"
"50 - 59","10/31/2021","3"
"60 - 69","10/31/2021","4"
"70 - 79","10/31/2021","5"
"80+","10/31/2021","0"
"0 - 19","11/7/2021","14"
"20 - 29","11/7/2021","51"
"30 - 39","11/7/2021","23"
"40 - 49","11/7/2021","9"
"50 - 59","11/7/2021","8"
"60 - 69","11/7/2021","8"
"70 - 79","11/7/2021","5"
"80+","11/7/2021","1"
"0 - 19","11/14/2021","32"
"20 - 29","11/14/2021","71"
"30 - 39","11/14/2021","31"
"40 - 49","11/14/2021","9"
"50 - 59","11/14/2021","6"
"60 - 69","11/14/2021","10"
"70 - 79","11/14/2021","7"
"80+","11/14/2021","1"
"0 - 19","11/21/2021","31"
"20 - 29","11/21/2021","46"
"30 - 39","11/21/2021","31"
"40 - 49","11/21/2021","10"
"50 - 59","11/21/2021","8"
"60 - 69","11/21/2021","5"
"70 - 79","11/21/2021","3"
"80+","11/21/2021","4"
"0 - 19","11/28/2021","88"
"20 - 29","11/28/2021","125"
"30 - 39","11/28/2021","64"
"40 - 49","11/28/2021","28"
"50 - 59","11/28/2021","16"
"60 - 69","11/28/2021","8"
"70 - 79","11/28/2021","9"
"80+","11/28/2021","2"
"0 - 19","12/5/2021","85"
"20 - 29","12/5/2021","140"
"30 - 39","12/5/2021","75"
"40 - 49","12/5/2021","26"
"50 - 59","12/5/2021","19"
"60 - 69","12/5/2021","10"
"70 - 79","12/5/2021","7"
"80+","12/5/2021","0"
"0 - 19","12/12/2021","79"
"20 - 29","12/12/2021","317"
"30 - 39","12/12/2021","124"
"40 - 49","12/12/2021","31"
"50 - 59","12/12/2021","26"
"60 - 69","12/12/2021","17"
"70 - 79","12/12/2021","8"
"80+","12/12/2021","4"
"0 - 19","12/19/2021","97"
"20 - 29","12/19/2021","401"
"30 - 39","12/19/2021","216"
"40 - 49","12/19/2021","73"
"50 - 59","12/19/2021","53"
"60 - 69","12/19/2021","27"
"70 - 79","12/19/2021","15"
"80+","12/19/2021","8"
"0 - 19","12/26/2021","185"
"20 - 29","12/26/2021","435"
"30 - 39","12/26/2021","335"
"40 - 49","12/26/2021","133"
"50 - 59","12/26/2021","88"
"60 - 69","12/26/2021","57"
"70 - 79","12/26/2021","38"
"80+","12/26/2021","11"
"0 - 19","1/2/2022","455"
"20 - 29","1/2/2022","993"
"30 - 39","1/2/2022","585"
"40 - 49","1/2/2022","247"
"50 - 59","1/2/2022","189"
"60 - 69","1/2/2022","130"
"70 - 79","1/2/2022","56"
"80+","1/2/2022","19"
"0 - 19","1/9/2022","463"
"20 - 29","1/9/2022","621"
"30 - 39","1/9/2022","418"
"40 - 49","1/9/2022","184"
"50 - 59","1/9/2022","151"
"60 - 69","1/9/2022","98"
"70 - 79","1/9/2022","41"
"80+","1/9/2022","27"
"0 - 19","1/16/2022","284"
"20 - 29","1/16/2022","429"
"30 - 39","1/16/2022","232"
"40 - 49","1/16/2022","121"
"50 - 59","1/16/2022","77"
"60 - 69","1/16/2022","54"
"70 - 79","1/16/2022","24"
"80+","1/16/2022","10"
"0 - 19","1/23/2022","122"
"20 - 29","1/23/2022","273"
"30 - 39","1/23/2022","119"
"40 - 49","1/23/2022","69"
"50 - 59","1/23/2022","31"
"60 - 69","1/23/2022","31"
"70 - 79","1/23/2022","21"
"80+","1/23/2022","5"
"0 - 19","1/30/2022","88"
"20 - 29","1/30/2022","203"
"30 - 39","1/30/2022","69"
"40 - 49","1/30/2022","32"
"50 - 59","1/30/2022","23"
"60 - 69","1/30/2022","15"
"70 - 79","1/30/2022","4"
"80+","1/30/2022","6"
"0 - 19","2/6/2022","49"
"20 - 29","2/6/2022","114"
"30 - 39","2/6/2022","47"
"40 - 49","2/6/2022","15"
"50 - 59","2/6/2022","9"
"60 - 69","2/6/2022","8"
"70 - 79","2/6/2022","3"
"80+","2/6/2022","3"
"0 - 19","2/13/2022","61"
"20 - 29","2/13/2022","180"
"30 - 39","2/13/2022","33"
"40 - 49","2/13/2022","16"
"50 - 59","2/13/2022","7"
"60 - 69","2/13/2022","5"
"70 - 79","2/13/2022","3"
"80+","2/13/2022","1"
"0 - 19","2/20/2022","50"
"20 - 29","2/20/2022","205"
"30 - 39","2/20/2022","32"
"40 - 49","2/20/2022","8"
"50 - 59","2/20/2022","6"
"60 - 69","2/20/2022","2"
"70 - 79","2/20/2022","5"
"80+","2/20/2022","0"
"0 - 19","2/27/2022","75"
"20 - 29","2/27/2022","368"
"30 - 39","2/27/2022","33"
"40 - 49","2/27/2022","11"
"50 - 59","2/27/2022","8"
"60 - 69","2/27/2022","8"
"70 - 79","2/27/2022","3"
"80+","2/27/2022","1"
"0 - 19","3/6/2022","39"
