"city","population","qcode","region","government_fund_revenues","government_fund_expenditures","general_fund_revenues","general_fund_expenditures","property_tax_general","property_tax_debt_service","total_property_tax_revenue","transient_lodging_tax","franchise_fees","interest_and_investment_earnings","state_shared_revenue_total","ssr_liquor","ssr_tobacco","ssr_general","permits_licenses_fees","misc_revenue","gains_sales_of_capital_assets","police_expenses","fire_expenses","ems_expenses","public_safety_expenses_total","gen_gov_expenses","finance_expenses","library_expenses","culture_parks_and_recreation_expenses","public_works_expenses","comm_dev_expenses","water_expenses","wastewater_sewer_expenses","stormwater_expenses","airport_expenses","interest_and_long_term_debt_expenses","location_1"
,"3965","4","3","1503284.00","1623143.00","1086659.00","1059597.00","667892.00","0.00","667892.00","0.00","248734.00","6019.00","356900.00",,,,"289737.00","138884.00","0.00","719418.00","0.00","0.00","49036.00","499234.00",,"0.00","81683.00","386474.00","164240.00","502992.00","465389.00","0.00","0.00","77578.00","
Aumsville, Oregon 
(44.840847, -122.872928)"
,"1880","3","2","737381.00","578645.00","309966.00","325839.00","90443.00","219858.00","310301.00","0.00","147075.00","13169.00","169497.00","27023.00","2303.00","10502.00","13598.00","79139.00","0.00","123800.00","0.00","0.00","123800.00","255333.00",,"0.00","24257.00","0.00","0.00",,,,"0.00","213200.00","
Durham, Oregon 
(45.39552, -122.755241)"
,"620","2","3","281935.00","247857.00","196048.00","124727.00","106561.00","0.00","106561.00","0.00","26911.00",,"117900.00",,,"32558.00","27162.00","9770.00","0.00","0.00","0.00","0.00","0.00","110373.00",,"0.00","0.00","18272.00","0.00","133516.00","102910.00","0.00","0.00","140886.00","
Monroe, Oregon 
(44.31402, -123.297035)"
,"9775","4","4","9381393.00","9379750.00","6278755.00","6121939.00","3855248.00","586024.00","4441272.00","157529.00","1331852.00","44117.00",,,,,"92625.00","36146.00","0.00",,,,"4191248.00","1624518.00",,"716681.00","1485566.00",,"105624.00",,"1787474.00",,"400424.00","1220200.00","
North Bend, Oregon 
(43.406607, -124.223983)"
,"215","1","8","93581.00","99869.00","49288.00","62484.00","32055.00","0.00","32055.00","0.00","0.00","2016.00","48594.00",,,"5479.00","7688.00","3228.00","0.00","0.00","0.00","0.00","2542.00","59942.00",,"0.00","0.00","0.00","0.00","52901.00","46603.00","0.00","0.00","4835.00","
Seneca, Oregon 
(44.133913, -118.972284)"
,"6785","4","2","3689839.00","3430600.00","2662383.00","2690739.00","1745017.00","0.00","1745017.00","0.00","390687.00",,,,,,"985768.00","89168.00","0.00","1630255.00","0.00","0.00","1630255.00","660874.00",,"0.00","259449.00",,"117549.00","1086556.00","1055336.00","25334.00","0.00","194160.00","
Scappoose, Oregon 
(45.757691, -122.877114)"
,"9890","4","3","7880899.00","8241404.00","6325836.00","5906500.00","4199845.00","0.00","4199845.00","119708.00","594996.00","39090.00",,"154675.00",,"119708.00","15270.00","171392.00","126925.00","2293030.00",,,"3080866.00","1638610.00","307278.00","355720.00","745302.00",,"916587.00","2716134.00","2626214.00","635358.00","0.00","463506.00","
Cottage Grove, Oregon 
(43.797274, -123.059032)"
,"130","1","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Monument, Oregon 
(44.82026, -119.422848)"
,"430","1","5","220717.00","168637.00","156277.00","114839.00","113408.00","0.00","113408.00","0.00","6697.00","1212.00","37207.00",,,"11713.00","22789.00","2011.00","0.00",,,,"43606.00","86799.00",,,"5524.00",,,"94752.00","119129.00",,"0.00","91399.00","
Butte Falls, Oregon 
(42.542525, -122.568706)"
,"695","2","6","1205811.00","663332.00","776802.00","357142.00","211626.00","24922.00","236548.00","10454.00","49126.00","24806.00","297822.00","10080.00","705.00","282351.00","205673.00","12114.00","0.00","83590.00","18000.00","0.00","129176.00","183647.00",,"0.00","96594.00",,,"324921.00","443454.00","0.00","0.00","59100.00","
Condon, Oregon 
(45.237125, -120.185848)"
,"16420","5","2","17757224.00","21655516.00","6970196.00","8216483.00","4195333.00","0.00","7420224.00","0.00","452204.00","124739.00","3208509.00",,,,"205535.00","466208.00","1200000.00","4829449.00",,,"5145009.00","3956415.00","428404.00","785323.00","1093821.00",,"833806.00","3035421.00","2110653.00","349986.00","0.00","1986406.00","
Canby, Oregon 
(45.262264, -122.692129)"
,"1160","2","5","550777.00","602226.00","164905.00","319267.00","81059.00","0.00","81059.00","0.00",,"67723.00","95847.00",,,,"11951.00","245883.00","0.00",,,,"173073.00","299408.00",,"0.00","60639.00",,,"356287.00","328833.00","0.00","0.00","44518.00","
Drain, Oregon 
(43.662768, -123.315215)"
,"1775","3","2","1093812.00","977869.00","449701.00","335733.00","232597.00","277325.00","509922.00","0.00","24670.00","12126.00","344704.00",,,,"181444.00","4215.00","0.00","218958.00","0.00","0.00","218958.00","335733.00",,"241386.00","59394.00",,,"529673.00",,,"0.00","14118.00","
Banks, Oregon 
(45.616029, -123.114446)"
,"10655","5","2","11413315.00","9972665.00","6840325.00","6975506.00","2920002.00","1492005.00","4412007.00","0.00","578703.00","62421.00",,,,,"346646.00","49575.00","0.00","2946657.00","0.00","0.00","2652119.00","787433.00","257897.00","1399304.00","2123677.00",,"1140976.00","1535352.00","1515745.00","260280.00","0.00","672196.00","
Sandy, Oregon 
(45.396306, -122.25974)"
,"3530","4","2","2952057.00","1963726.00","1776475.00","1799438.00","582880.00","0.00","792474.00","57384.00","32268.00","26418.00","289302.00","52769.00","5207.00","32384.00","894194.00","46980.00","0.00","824269.00",,,"950243.00","1133320.00",,,,,,,,,"0.00","0.00","
King City, Oregon 
(45.408295, -122.795749)"
,"1165","2","3","405409.00","250210.00","304925.00","157400.00","143658.00","0.00","143658.00","0.00","117697.00","197.00","90768.00",,,"21994.00","1050.00","21795.00","970.00",,,,"5179.00","151048.00",,"58045.00","56154.00",,"0.00",,,,"0.00","0.00","
Lyons, Oregon 
(44.77934, -122.616251)"
,"335","1","3","108768.00","64695.00","89950.00","37099.00","6771.00","0.00","6771.00","0.00","13510.00","327.00","41589.00","4579.00","384.00","17808.00","412.00","46159.00","0.00","0.00","0.00","0.00","0.00",,,"0.00","0.00","0.00","0.00","88287.00",,"0.00","0.00","1060.00","
Sodaville, Oregon 
(44.481948, -122.868792)"
,"940","2","5","478983.00","448924.00","418047.00","389521.00","315591.00","0.00","315591.00","0.00","51802.00","1165.00","65146.00","14714.00",,"9566.00","235.00","14708.00","0.00","199960.00","0.00","0.00","199160.00","182482.00",,"3618.00","13484.00",,"0.00","523101.00","336875.00","0.00","0.00","113656.00","
Oakland, Oregon 
(43.423219, -123.295531)"
,"3040","3","5","1166864.00","1141206.00","1020577.00","977321.00","144798.00","0.00","144798.00","0.00","233321.00","2148.00","255073.00",,,"76372.00","547283.00","3376.00","0.00",,,"0.00","420193.00","500681.00",,"0.00","0.00","0.00","0.00",,"744142.00","0.00","0.00","0.00","
Shady Cove, Oregon 
(42.612, -122.820942)"
,"455","2","5","104136.00","93274.00","74327.00","70905.00","34847.00","0.00","34847.00","0.00","0.00","32.00","37817.00",,,,"75217.00","8733.00","0.00","0.00","0.00","0.00","17175.00","53730.00",,"0.00","0.00",,"0.00","0.00","31628.00",,"0.00","0.00","
Bonanza, Oregon 
(42.199597, -121.406469)"
,"15345","5","3","12798299.00","11478693.00","8422147.00","8616346.00","3660152.00","784771.00","4444923.00",,"1116780.00","44834.00",,,,,"2511999.00","522954.00","87141.00","2981373.00","726800.00","1423497.00","5118464.00","1343077.00","587647.00","468424.00","539061.00",,"1397170.00","1788594.00","2598520.00","185698.00","0.00","890473.00","
Dallas, Oregon 
(44.919444, -123.316677)"
,"135","1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Barlow, Oregon 
(45.251788, -122.72071)"
,"7760","4","6","12146113.00","10698023.00","7066930.00","6400595.00","2060293.00","2108237.00","4168530.00","1586670.00","732736.00","75273.00","964023.00",,,,"1035287.00","274073.00","140.00","1946278.00","1746662.00","753178.00","4309809.00","2355412.00",,"0.00","375781.00",,"523241.00","2116103.00","2930600.00","453597.00","0.00","1209596.00","
Hood River, Oregon 
(45.708799, -121.525257)"
,"10190","5","1","21479662.00","28550753.00","12159339.00","10147688.00","6308707.00","2387510.00","8696217.00","3911575.00","1441951.00","148909.00","866408.00","145660.00","13364.00","115963.00",,"639290.00","0.00","3542987.00","1978627.00",,"5339330.00","6345215.00",,"1147620.00","2329955.00",,"241258.00","3148963.00","3952549.00",,"607872.00","2344141.00","
Newport, Oregon 
(44.636569, -124.05309)"
,"230","1","3","37526.00","40678.00","16790.00","20365.00","0.00","0.00","0.00","0.00","0.00","0.00","1290.00","0.00","0.00","11.00","505.00","35731.00","0.00","0.00","0.00","0.00","0.00",,,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","
Waterloo, Oregon 
(44.493944, -122.825249)"
,"8765","4","5","4161201.00","4546752.00","2786986.00","2488888.00","1448174.00","54780.00","1502954.00","0.00","525683.00","156030.00","594648.00",,,,"350216.00",,"0.00",,,,"1962185.00","1003241.00",,"0.00","299945.00","688185.00","195764.00","1368945.00","1020857.00","167815.00","0.00","324678.00","
Eagle Point, Oregon 
(42.472245, -122.800989)"
,"40","1","8","35550.00","43924.00","2320.00","3056.00","0.00","0.00","0.00","0.00","0.00","0.00","15852.00",,,"2320.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",,,"0.00","0.00","0.00","0.00","16031.00","0.00","0.00","0.00","0.00","
Granite, Oregon 
(44.809501, -118.417967)"
,"2190","3","2","1856182.00","2873800.00","956534.00","877892.00","637144.00","144363.00","781507.00","34437.00","103850.00","15026.00","248996.00",,,,"24538.00","29401.00","0.00","465922.00","0.00","0.00","436132.00","322719.00","113712.00","0.00","125792.00",,"51256.00","673522.00","534982.00",,"0.00","56037.00","
Carlton, Oregon 
(45.294187, -123.175631)"
,"1945","3","3","894349.00","906446.00","648009.00","528524.00","437809.00","0.00","437809.00","0.00","97874.00","8969.00","140706.00",,,"27475.00","615.00","76910.00","0.00","281875.00","0.00","0.00","294435.00","251952.00",,"0.00","71793.00",,"0.00","486369.00","535997.00","94037.00","0.00","156916.00","
Turner, Oregon 
(44.850522, -122.955865)"
,"4585","4","5","3003919.00","2991951.00","1972222.00","1878222.00","1012031.00","245982.00","1258013.00","0.00","395341.00","19125.00","478565.00",,,,"85150.00","200293.00","0.00","1180896.00",,,"1180896.00","253645.00",,"0.00","110272.00",,"122107.00","1297547.00",,,"0.00","234392.00","
Phoenix, Oregon 
(42.274531, -122.81605)"
,"1335","3","1","1995171.00","1836501.00","784573.00","991620.00","361644.00","0.00","361644.00","674749.00",,"18086.00","125076.00","20651.00","1760.00","23817.00","269413.00","10766.00","0.00","457059.00","85886.00","0.00","542945.00","1144259.00",,"0.00","30910.00",,"0.00","1082498.00","944867.00",,"0.00","18086.00","
Rockaway Beach, Oregon 
(45.613158, -123.943819)"
,"49745","5","2","51959898.00","45826009.00","32902454.00","28811449.00","14300168.00","3508549.00","17808717.00",,"5732448.00","653879.00",,,,,"5751472.00","220894.00","1650000.00",,,,,"831876.00",,,"2001516.00","7606128.00","6981903.00","10188929.00","2533773.00","2096919.00","0.00","3421625.00","
Tigard, Oregon 
(45.426438, -122.766201)"
,"175","1","8","41342.00","60796.00","29734.00","49665.00","9568.00","0.00","9568.00","0.00","8719.00","613.00","13634.00","1872.00","381.00","2253.00","8719.00","8808.00","0.00",,,,"3065.00","28012.00",,"0.00","11470.00","0.00","0.00","81011.00","51583.00","0.00","0.00","0.00","
Jordan Valley, Oregon 
(42.980483, -117.053056)"
,"740","2","1","1811380.00","2225794.00","959110.00","350620.00","39216.00","276001.00","310817.00",,"847843.00","33172.00",,,,,"26794.00","75281.00","2302.00","0.00","0.00","0.00","0.00","456165.00",,,"107488.00","116856.00",,"531115.00","469138.00",,"0.00","45459.00","
Yachats, Oregon 
(44.314386, -124.104816)"
,"290","1","8","90544.00","70553.00","36069.00","26827.00","3895.00","21962.00","25857.00","0.00","16052.00","1562.00","24366.00",,,,"0.00","4098.00","0.00","0.00","0.00","0.00","0.00","28116.00",,"0.00","0.00","2067.00","0.00","170727.00","135061.00","0.00","0.00","1712.00","
Halfway, Oregon 
(44.877257, -117.109357)"
,"525","2","8","210754.00","198840.00","103635.00","105476.00","49709.00","0.00","49709.00","0.00",,"1824.00","124140.00",,,"18845.00","24521.00","10560.00","0.00","0.00","22840.00","0.00","22840.00","78289.00",,"0.00","0.00","0.00","0.00","218853.00","133904.00","0.00","0.00","34378.00","
Mt Vernon, Oregon 
(44.417741, -119.113383)"
,"1985","3","7","1218020.00","1175448.00","1188758.00","1024615.00","639549.00","0.00","639549.00","57646.00","22540.00","9255.00","129389.00",,,"13759.00",,"179495.00","0.00","355563.00","133871.00",,"489434.00",,,"113726.00","53864.00",,,"445956.00","866371.00","0.00","6814.00","6684.00","
Enterprise, Oregon 
(45.424626, -117.277596)"
,"1885","3","8","1206594.00","1400932.00","857774.00","950060.00","462104.00","0.00","462104.00","0.00","84625.00","16679.00",,,,,"1667.00","21759.00","0.00","320421.00","91550.00","189780.00","399060.00","249861.00",,"44274.00","193036.00","845349.00","166286.00","845349.00",,"0.00","947.00","4630.00","
Vale, Oregon 
(43.982637, -117.241111)"
,"78500","5","5","91410385.00","99075880.00","53849987.00","53493582.00","33529456.00","6565347.00","40094803.00","1911999.00","10684603.00","737260.00",,,,,"15230779.00","1438394.00","163074.00","20793689.00","12924139.00","0.00","37505671.00","7518464.00","1374722.00","0.00","8139941.00",,"4589668.00","3136941.00","15734500.00",,"0.00","9232848.00","
Medford, Oregon 
(42.326543, -122.872185)"
,"1295","3","7","835188.00","1030676.00","606482.00","489648.00","362742.00","0.00","362742.00","4593.00","68622.00","5478.00","105646.00","18692.00","1435.00","8892.00","2586.00","19680.00","0.00",,,,"251190.00","271722.00",,"0.00","98785.00",,"12550.00","390085.00","338504.00","0.00","0.00","80301.00","
Heppner, Oregon 
(45.353475, -119.553477)"
,"840","2","5","304865.00","253878.00","204076.00","249954.00","90904.00","0.00","90904.00","0.00",,"51.00","73039.00",,,"23237.00","51982.00","19030.00","0.00","152346.00",,,"188631.00","53552.00",,"0.00","0.00",,"0.00","233186.00",,"0.00","0.00","7771.00","
Merril, Oregon 
(42.025838, -121.598965)"
,"1725","3","4","618602.00","661367.00","221413.00","220512.00","0.00","0.00","0.00","51911.00","77021.00","956.00","127608.00",,,"26523.00","58703.00","18805.00","0.00","0.00","0.00","0.00","0.00","219729.00",,"92091.00","235160.00",,"0.00",,"1056046.00","143069.00","0.00","134806.00","
Lakeside, Oregon 
(43.575666, -124.175115)"
,"370","1","7","152637.00","183580.00","91024.00","58394.00","63165.00","0.00","63165.00","0.00","19957.00","120.00","55332.00","5318.00","453.00",,"952.00","1487.00","0.00",,,,,"55529.00",,"0.00","16396.00","44303.00","0.00","0.00","0.00","0.00","0.00","0.00","
Adams, Oregon 
(45.766679, -118.563094)"
,"11660","5","2","8596389.00","6783140.00","5917096.00","5553325.00","3708343.00","1585185.00","5293528.00","0.00","514272.00","106197.00","1612760.00",,,"80473.00","130168.00","241843.00","0.00","1964309.00","859881.00",,"3019607.00","1643992.00",,"647602.00","1108757.00",,"6520.00","1097326.00","2403114.00",,"0.00","1762320.00","
Gladstone, Oregon 
(45.382201, -122.5959)"
,"8025","4","5","4684800.00","4578962.00","3706809.00","3955467.00","2668746.00","51000.00","2719746.00","183129.00","423377.00","14937.00",,,,,"9550.00","51029.00","0.00","1743332.00","709941.00","0.00","2453273.00","1358524.00",,"8518.00","247303.00",,"247586.00","774530.00","1086569.00","370375.00","0.00","61739.00","
Sutherlin, Oregon 
(43.390086, -123.313421)"
,"2095","3","2","966093.00","955641.00","530762.00","606055.00","348250.00","0.00","348250.00","0.00","86812.00","3596.00","180277.00",,,"48044.00","20393.00","7840.00","0.00","235655.00","0.00","0.00","235655.00","111462.00",,,"184977.00",,"4685.00","502411.00","520872.00",,"0.00","157863.00","
Willamina, Oregon 
(45.079104, -123.484543)"
,"605","2","6","759195.00","1698607.00","704858.00","428638.00","180726.00","0.00","180726.00","0.00","6125.00","7386.00","89126.00",,,,"223204.00","252592.00","0.00","21000.00","19000.00",,"40000.00","346013.00",,"0.00","167938.00","0.00","0.00","201303.00","98216.00","0.00","0.00","1114208.00","
Arlington, Oregon 
(45.716946, -120.200682)"
,"205","1","5","81344.00","79813.00","50094.00","46417.00","41252.00","0.00","41252.00","0.00","11438.00","1498.00","16976.00","3173.00",,"1649.00","3807.00","1773.00","0.00","0.00","0.00","0.00","0.00","39322.00",,"0.00","18981.00",,,"158602.00","78567.00","0.00","0.00","33639.00","
Elkton, Oregon 
(43.637388, -123.567908)"
,"2300","3","5","1792146.00","1905542.00","1051752.00","1207615.00","662008.00","131842.00","793850.00","0.00","218495.00","20857.00",,,,,"219995.00","65773.00","4208.00",,,,"1080489.00","461445.00",,,"150328.00",,,"1101492.00",,,"0.00","9733.00","
Lakeview, Oregon 
(42.188651, -120.34596)"
,"915","2","3","437339.00","403237.00","366059.00","338971.00","275671.00","0.00","275671.00","0.00","38531.00","5565.00","74684.00","11505.00",,"6274.00","27687.00","10797.00","0.00","59664.00","0.00","0.00","59664.00","324722.00",,"0.00","5023.00","34502.00","12896.00","146534.00","128080.00","0.00","0.00","54544.00","
Halsey, Oregon 
(44.384011, -123.109806)"
,"2130","3","7","903162.00","1031079.00","524935.00","614221.00","185963.00","0.00","185963.00","0.00","16527.00","348.00","173378.00","30660.00","2353.00","47693.00","8733.00","16438.00","0.00",,,,"340335.00","105588.00",,"77707.00","200125.00",,,"447543.00","353905.00",,"0.00","55568.00","
Stanfield, Oregon 
(45.78418, -119.217783)"
,"75","1","8","63543.00","62201.00","6132.00","7691.00","0.00","0.00","0.00","0.00","3770.00","200.00","5416.00",,,"1120.00","0.00","1192.00","0.00","0.00","0.00","0.00",,,,,,,"0.00","14545.00","10640.00",,"0.00","18087.00","
Unity, Oregon 
(44.437186, -118.190958)"
,"2920","3","5","3699606.00","4495089.00","1178375.00","1146955.00","656450.00","223000.00","1452292.00","147306.00","294107.00","33543.00","234648.00",,,"65092.00","539690.00","22071.00","0.00","0.00","610729.00","0.00","610729.00","1916071.00",,"0.00","326322.00",,"277947.00","849652.00",,,"0.00","511998.00","
Jacksonville, Oregon 
(42.31366, -122.965931)"
,"1925","3","5","820523.00","764585.00","500387.00","403557.00","273015.00","20850.00","293865.00","0.00",,"5444.00","148811.00",,,,"150314.00","26255.00","0.00",,,,"15884.00","363469.00",,"0.00","22754.00",,"199092.00","395466.00","419016.00",,"0.00","18797.00","
Canyonville, Oregon 
(42.928035, -123.279504)"
,"16615","5","4","16909911.00","18763044.00","9160561.00","9617187.00","5550986.00","2600982.00","8151968.00","651914.00","1951590.00","180105.00","934883.00",,,"407081.00","132385.00","261385.00","3745.00",,,,"7256472.00","1669273.00",,"1550132.00","1512206.00","3085327.00",,"3865692.00","936001.00",,"0.00","286243.00","
Coos Bay, Oregon 
(43.367925, -124.218965)"
,"34240","5","2","38457434.00","39218967.00","20588172.00","17996941.00","11433540.00","2495478.00","13929018.00","0.00","3541761.00","364128.00",,,,,"2459320.00","2043914.00","0.00","8834120.00","0.00","0.00","8834120.00","5813701.00",,"1680768.00","4614517.00","6398448.00","1276578.00","1569136.00","2342534.00","405978.00","0.00","3566741.00","
Oregon City, Oregon 
(45.33675, -122.590784)"
,"19145","5","2","17774434.00","16829919.00","11832421.00","11646821.00","5402898.00","2588621.00","7991519.00","0.00","1899665.00","75823.00",,,,,,"269342.00","11791.00",,,,"3620713.00","2779587.00",,,"1704173.00","3204877.00","1587474.00","4057088.00","918172.00","1247121.00","0.00","2802836.00","
Sherwood, Oregon 
(45.355389, -122.841775)"
,"6550","4","4","5475601.00","6048436.00","3367037.00","3977458.00","2494527.00","442562.00","2937089.00","198945.00","106409.00","20973.00","1106538.00",,,,"117362.00","157480.00","0.00","2101261.00","252779.00",,"2385538.00","1082172.00",,,"601866.00",,"183603.00","1131480.00","1721758.00",,"0.00","646492.00","
Brookings, Oregon 
(42.058504, -124.293156)"
,"7070","4","7","3851086.00","6126194.00","2696445.00","5053207.00","978344.00","172954.00","1151298.00","26639.00","915063.00","7729.00",,,,,"17493.00","100179.00","0.00",,,,"2235366.00","1713108.00",,"0.00","755307.00","475004.00","340998.00","906529.00","908689.00","0.00","0.00","122250.00","
Milton-Freewater, Oregon 
(45.933058, -118.388096)"
,"1505","3","7","651797.00","575760.00","510077.00","469229.00","166117.00","0.00","166117.00","0.00","254754.00","2683.00","172578.00",,,"33643.00",,"52362.00","39562.00",,,,"233032.00","119580.00",,"53564.00","69927.00","94721.00",,"260788.00","234768.00",,"0.00","0.00","
Pilot Rock, Oregon 
(45.483185, -118.827935)"
,"735","2","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Chiloquin, Oregon 
(42.575445, -121.863641)"
,"1560","3","8","816792.00","729849.00","708455.00","628746.00","322025.00","0.00","322025.00","203018.00","70448.00","1797.00","157516.00","22422.00","1735.00","9531.00","7717.00","48991.00","0.00","278266.00","55628.00",,"322114.00","245217.00",,"0.00","49635.00",,,"352476.00",,"0.00","0.00","11781.00","
Hines, Oregon 
(43.561632, -119.083001)"
,"25615","5","2","28823944.00","30102424.00","7945528.00","7322070.00","0.00","1367066.00","8364263.00","0.00","1692432.00","16322.00",,,,"88600.00","1193511.00","428137.00","0.00",,,,"8092329.00","7645271.00","920677.00","2461591.00","5652323.00",,"851618.00","4173621.00","3232203.00",,"0.00","2045418.00","
West Linn, Oregon 
(45.366717, -122.614439)"
