"company_name","product_name","application_type_part_a_or","amount_of_credit_provided","approval_date"
"Ubisoft Entertainment Inc.","CSI: Hidden Crimes V2","B","17232","2017-07-17T00:00:00.000"
"Ubisoft Entertainment Inc.","Rock Gods: Tap Tour V1","A","260914","2017-06-29T00:00:00.000"
"Ubisoft Entertainment Inc.","Sniper V1","A","1965894","2017-06-29T00:00:00.000"
"Eyeread Inc.","Squiggle Park","B","79100","2017-08-16T00:00:00.000"
"Copernicus Labs Inc.","Langa 2.0","B","223199","2017-09-14T00:00:00.000"
"Bluedrop Training & Simulation Inc.","CFTS Phase 3 Helo Courseware","B","112913","2017-09-21T00:00:00.000"
"Bluedrop Training & Simulation Inc.","CFTS Phase 3 Multi Engine Courseware","B","42972","2017-09-21T00:00:00.000"
"Lockheed Martin Canada Inc.","Close-In Weapon System (CIWS) VISTA","B","60189","2017-09-21T00:00:00.000"
"Lockheed Martin Canada Inc.","Land-Based Phalanx Weapon Sys. VISTA","B","27852","2017-09-21T00:00:00.000"
"Lockheed Martin Canada Inc.","HCM Operator Trainers and Computer-based Trainers (CBT)","B","908648","2017-09-21T00:00:00.000"
"Lockheed Martin Canada Inc.","Field Water Heater Audio Visual Trainer VISTA","B","15402","2017-09-21T00:00:00.000"
"Lockheed Martin Canada Inc.","ES3701-18 Tactical Electronic Sup. Sys. VISTA (RESM)","B","3890","2017-09-21T00:00:00.000"
"Lockheed Martin Canada Inc.","MK-41 VLS VISTA","B","25202","2017-09-21T00:00:00.000"
"Lockheed Martin Canada Inc.","Navigation Sensor System Interface VISTA (NAVSSI)","B","5903","2017-09-21T00:00:00.000"
"Lockheed Martin Canada Inc.","SPY-1F Multifunction Phased-Array Radar VISTA","B","2420","2017-09-21T00:00:00.000"
"Lockheed Martin Canada Inc.","TARGET ILLUMINATOR SYSTEM VISTA (TIS)","B","17007","2017-09-21T00:00:00.000"
"Bluedrop Performance Learning Inc.","CFTS Phase 1 Grob Courseware","B","33378","2017-10-13T00:00:00.000"
"Athletigen Technologies Inc.","Iris Athlete","B","183222","2017-10-18T00:00:00.000"
"Alpha Dog Games Inc.","MonstroCity Game (Version 3)","A","243692","2017-10-20T00:00:00.000"
"Redspace Inc.","Nick Jr Animal Sports","B","15624","2017-11-09T00:00:00.000"
"Redspace Inc.","Cartoon Network Anything SOW 6","B","15017","2017-11-09T00:00:00.000"
"Redspace Inc.","Cartoon Network Anything SOW 7","B","10417","2017-11-09T00:00:00.000"
"Redspace Inc.","Nick Jr International - 2016 Games","B","987","2017-11-09T00:00:00.000"
"Redspace Inc.","Nick Jr Mobile Puzzle","B","1960","2017-11-09T00:00:00.000"
"Redspace Inc.","Nick Preschool Rusty Rivets Building Construction","B","11154","2017-11-09T00:00:00.000"
"Redspace Inc.","Nick Preschool Rusty Rivets Penguin Runner","B","16845","2017-11-09T00:00:00.000"
"Redspace Inc.","Nick Jr International Mobile Games 2015","B","2839","2017-11-09T00:00:00.000"
"Redspace Inc.","PBS Nature Cat App","B","24995","2017-11-09T00:00:00.000"
"Redspace Inc.","Rusty Tablet Fishing Game","B","10496","2017-11-09T00:00:00.000"
"Redspace Inc.","Nick Jr Cooking Game","B","5595","2017-11-09T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Jelly Monsters","B","13535","2017-11-14T00:00:00.000"
"Silverback Productions Inc.","Minefield","B","57925","2017-11-14T00:00:00.000"
"Silverback Productions Inc.","Aurora - Puzzle Adventure","B","28989","2017-11-14T00:00:00.000"
"Silverback Productions Inc.","Aurora - Puzzle Adventure -Version 2","B","12360","2017-11-14T00:00:00.000"
"Silverback Productions Inc.","Dusty Trux","B","34753","2017-11-14T00:00:00.000"
"Silverback Productions Inc.","Dusty Trux - Version 2","B","2366","2017-11-14T00:00:00.000"
"Ubisoft Entertainment Inc.","Rock Gods: Tap Tour V1","B","262150","2017-11-14T00:00:00.000"
"Ubisoft Entertainment Inc.","Tom Clancy's Shadow Break V1","B","1630174","2017-11-14T00:00:00.000"
"Ubisoft Entertainment Inc.","Assassin's Creed Covenant V1","B","3384","2017-11-14T00:00:00.000"
"Ubisoft Entertainment Inc.","Hungry Dragon V1","B","1254","2017-11-14T00:00:00.000"
"Ubisoft Entertainment Inc.","M&M Elemental Guardian V1","B","2862","2017-11-14T00:00:00.000"
"Ubisoft Entertainment Inc.","Mighty Quest V1","B","4080","2017-11-14T00:00:00.000"
"Ubisoft Entertainment Inc.","South Park Phone Destroyer V1","B","2607","2017-11-14T00:00:00.000"
"Bluedrop Training & Simulation Inc.","CH47 Rear-Crew Mission Trainer","B","226300","2017-11-29T00:00:00.000"
"Bluedrop Training & Simulation Inc.","CFTS Phase 3 Multi Engine Courseware","B","5527","2017-11-29T00:00:00.000"
"Bluedrop Training & Simulation Inc.","CFTS Phase 3 Helo Courseware","B","29283","2017-11-29T00:00:00.000"
"Raised Performance Media Inc.","Chancellor of the Universe","B","129810","2017-11-29T00:00:00.000"
"Gopokyo Inc.","MMX Hill Dash","B","7178","2017-12-08T00:00:00.000"
"MediaSpark Incorporated","GoVenture Typing","B","25899","2017-12-21T00:00:00.000"
"Vesuvius Media Ltd.","Centauri Saga Mobile V1","A","38200","2018-01-30T00:00:00.000"
"H.B. Studios Multimedia Limited","The Golf Club 3","A","1509325","2018-02-15T00:00:00.000"
"HB Studios Multimedia Ltd.","The Golf Club 2","B","661026","2018-02-20T00:00:00.000"
"HB Studios Multimedia Ltd.","NBA Live '18","B","544037","2018-02-20T00:00:00.000"
"HB Studios Multimedia Ltd.","The Golf Club VR","B","105217","2018-02-20T00:00:00.000"
"Nullcorporation Ltd.","QB Snap","B","89843","2018-03-02T00:00:00.000"
"Nullcorporation Ltd.","Virush","B","39043","2018-03-02T00:00:00.000"
"Blue House Energy Retrofit and Training Inc.","Construction Technology Canada/US Version 1","B","24655","2018-03-06T00:00:00.000"
"HB Studios Multimedia Ltd.","Outboard Anarchy","B","118090","2018-03-16T00:00:00.000"
"Karma Gaming International Inc.","Garden Secret","B","3020","2018-04-26T00:00:00.000"
"Karma Gaming International Inc.","Haunted House","B","18433","2018-04-26T00:00:00.000"
"Karma Gaming International Inc.","JackPot Potions","B","5088","2018-04-26T00:00:00.000"
"Karma Gaming International Inc.","Secrets of the Pyramid","B","9715","2018-04-26T00:00:00.000"
"Karma Gaming International Inc.","Sky High","B","7800","2018-05-10T00:00:00.000"
"HB Studios Multimedia Ltd.","The Golf Club 2019","B","331063","2018-04-04T00:00:00.000"
"Virtual Media Productions Limited","Emendo Serious Games","B","22871","2018-06-15T00:00:00.000"
"3262528 Nova Scotia Limited","Piano Suite Premier (V3)","B","9162","2018-05-24T00:00:00.000"
"3262528 Nova Scotia Limited","Ear Training Coach (V3)","B","9162","2018-05-24T00:00:00.000"
"3262528 Nova Scotia Limited","Children’s Music Journey Vol 1 (V3)","B","9162","2018-05-24T00:00:00.000"
"3262528 Nova Scotia Limited","Children’s Music Journey Vol 2 (V3)","B","9162","2018-05-24T00:00:00.000"
"3262528 Nova Scotia Limited","Children’s Music Journey Vol 3 (V3)","B","9162","2018-05-24T00:00:00.000"
"Pixelyard Productions Inc.","Nortec - EL Electrode Lab","B","1937","2018-04-04T00:00:00.000"
"Pixelyard Productions Inc.","Nortec - RH2 Electrode Lab","B","1373","2018-04-04T00:00:00.000"
"Pixelyard Productions Inc.","NBCC - HVACR","B","260","2018-04-04T00:00:00.000"
"Pixelyard Productions Inc.","Nortec - GS CS Humidifier","B","4421","2018-04-04T00:00:00.000"
"Pixelyard Productions Inc.","Nortec - RS (Resistive) Humidifier","B","4414","2018-04-04T00:00:00.000"
"Red Meat Games Inc.","Bring to Light","A","229687","2018-04-11T00:00:00.000"
"3304744 Nova Scotia Limited","Race the HD-4 on the Bras d’Or","B","91404","2018-04-26T00:00:00.000"
"Alpha Dog Games Inc.","MonstroCity Game (Version 3)","B","219799","2018-05-24T00:00:00.000"
"Current Studios Inc.","BioBall Project","B","95786","2018-06-13T00:00:00.000"
"Current Studios Inc.","VR Cargo Tracking Training Module","B","55580","2018-08-15T00:00:00.000"
"Current Studios Inc.","Tribeca Kiosk Project","B","89308","2018-08-15T00:00:00.000"
"HB Studios Multimedia Ltd.","NBA Live '19","A","536714","2018-05-28T00:00:00.000"
"Vesuvius Media Ltd.","Centuri Saga V1","B","22143","2018-07-20T00:00:00.000"
"Huminah Huminah Animation Limited","Roblox: Big Bosses","B","119636","2018-07-13T00:00:00.000"
"Huminah Huminah Animation Limited","Dino","B","15807","2018-08-15T00:00:00.000"
"Bluedrop Training & Simulation Inc.","Arctic Offshore Patrol Ships PI","B","1418649","2018-08-15T00:00:00.000"
"Bluedrop Training & Simulation Inc.","Arctic Offshore Patrol Ships - Virtual Ship Model","B","29329","2018-08-15T00:00:00.000"
"Arcturus Studios Inc.","Way of Kings","B","438880","2018-07-04T00:00:00.000"
"Red Meat Games Inc.","Bring to Light","B","117837","2018-08-15T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Jelly Monsters","B","14872","2018-10-02T00:00:00.000"
"Bluedrop Training & Simulation Inc.","CH47 Rear-Crew Mission Trainer","B","266238","2018-10-09T00:00:00.000"
"Alpha Dog Games Inc.","Kingdomfall V1.0","A","134193","2018-10-01T00:00:00.000"
"Alpha Dog Games Inc.","Ninja Golf 1.0","A","69158","2018-10-01T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Post Haste","B","41416","2018-11-08T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Jet Set Casino","B","41269","2018-11-08T00:00:00.000"
"Silverback Productions Inc.","Phytosurge","A","17416","2018-11-23T00:00:00.000"
"Silverback Productions Inc.","Sauce Toss","A","34190","2018-11-23T00:00:00.000"
"Silverback Productions Inc.","ROPOS","A","17290","2018-11-23T00:00:00.000"
"Silverback Productions Inc.","Architectural VR Simulation","A","21959","2018-11-23T00:00:00.000"
"Bluedrop Training & Simulation Inc.","CFTS Phase 1 Ground School","B","196765","2018-12-07T00:00:00.000"
"Silverback Productions Inc.","SnagPro","A","11410","2018-12-21T00:00:00.000"
"Lockheed Martin Canada Inc.","Land-Based Phalanx Weapon Sys. VISTA","B","2429","2018-12-14T00:00:00.000"
"Lockheed Martin Canada Inc.","ES3701-18 Tactical Electronic Sup. Sys. VISTA (RESM)","B","26112","2018-12-14T00:00:00.000"
"Lockheed Martin Canada Inc.","MK-41 VLS VISTA","B","11699","2018-12-14T00:00:00.000"
"Lockheed Martin Canada Inc.","Navigation Sensor System Interface VISTA (NAVSSI)","B","935","2018-12-14T00:00:00.000"
"Lockheed Martin Canada Inc.","TARGET ILLUMINATOR SYSTEM VISTA (TIS)","B","578","2018-12-14T00:00:00.000"
"Lockheed Martin Canada Inc.","SPY-1F Multifunction Phased-Array Radar VISTA","B","17827","2018-12-14T00:00:00.000"
"Lockheed Martin Canada Inc.","SPY-1D(v) Visual Interactive Simulation Training Application","B","14980","2018-12-14T00:00:00.000"
"Lockheed Martin Canada Inc.","MK-99 FCS Visual Interactive Simulation Training Application","B","15276","2018-12-14T00:00:00.000"
"MathResources Incorporated","DL: Algebra Tiles","B","1630","2018-12-20T00:00:00.000"
"MathResources Incorporated","MHE - Algebra Tiles","B","9491","2018-12-20T00:00:00.000"
"MathResources Incorporated","MHE - Coordinate Grapher","B","20996","2018-12-20T00:00:00.000"
"MathResources Incorporated","MHE - Graphing Calculator","B","10850","2018-12-20T00:00:00.000"
"MathResources Incorporated","MHE: Number Line","B","10128","2018-12-20T00:00:00.000"
"MathResources Incorporated","MHE: Probability Tool","B","9014","2018-12-20T00:00:00.000"
"MathResources Incorporated","MHE: Statistical Grapher","B","13646","2018-12-20T00:00:00.000"
"MathResources Incorporated","MHE: Transformation Tool","B","2890","2018-12-20T00:00:00.000"
"MathResources Incorporated","Pearson - EnVision6-8 Skills Games","B","10651","2018-12-20T00:00:00.000"
"MathResources Incorporated","Pearson: SuccessMaker 9","B","11110","2018-12-20T00:00:00.000"
"Current Studios Inc.","Shaw Surfing","B","6789","2018-12-20T00:00:00.000"
"Current Studios Inc.","Dragon Hunters: Gulfstream","B","45391","2018-12-20T00:00:00.000"
"Current Studios Inc.","Cigna Operation/Mixed Reality","B","83495","2018-12-20T00:00:00.000"
"Current Studios Inc.","The Whole Story","B","39260","2018-12-20T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Crossy Road Slide","B","5300","2018-12-20T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Dice N' Go","B","13605","2018-12-20T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Virtual Town","B","5797","2018-12-20T00:00:00.000"
"Silverback Productions Inc.","Ramp Safety VR - Module 1 A320","A","59719","2019-01-03T00:00:00.000"
"Blue House Energy Retrofit and Training Inc.","Construction Math 1","B","21489","2019-02-06T00:00:00.000"
"Gopokyo Inc.","Card Saga (Working Title)","A","250785","2019-01-30T00:00:00.000"
"Kinduct Technologies Inc.","Kinduct Performance – Virtual Coach","B","1765950","2019-02-06T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Fish Tycoon 2","B","58272","2019-02-06T00:00:00.000"
"3320304 Nova Scotia Limited","18 Century Harbour Experience at Fortress of Louisbourg","A","142778","2019-03-11T00:00:00.000"
"Lockheed Martin Canada Inc.","CIWS 1B Baseline 2 Visual Interactive Simulation Training App","B","7244","2019-03-18T00:00:00.000"
"Lockheed Martin Canada inc.","ANZAC Frigate Combat System Training","B","64834","2019-03-28T00:00:00.000"
"Eyeread Inc.","Squiggle Park","B","11470","2019-05-16T00:00:00.000"
"REDspace Inc.","Counterfiet Cat: 9 Lives","B","20954","2019-05-28T00:00:00.000"
"REDspace Inc.","Gun Ball VR","B","8450","2019-05-28T00:00:00.000"
"REDspace Inc.","Mage VR Prototype","B","3734","2019-05-28T00:00:00.000"
"REDspace Inc.","Create Your Own: Marvel Superhero","B","47755","2019-05-28T00:00:00.000"
"REDspace Inc.","Marvel Make Mine - Guardians of the Galaxy","B","5904","2019-05-28T00:00:00.000"
"REDspace Inc.","Nick Jr. Halloween","B","22386","2019-05-28T00:00:00.000"
"REDspace Inc.","Nick Jr. Paw Patrol - Mission Paw","B","25543","2019-05-28T00:00:00.000"
"REDspace Inc.","Nick Jr. Paw Patrol - SeaPatrol","B","24055","2019-05-28T00:00:00.000"
"REDspace Inc.","Sesame Street - Earth Day","B","24187","2019-05-28T00:00:00.000"
"REDspace Inc.","Space Squid-Dot","B","3487","2019-05-28T00:00:00.000"
"MediaSpark Incorporated","GoVenture Typing","B","6630","2019-05-28T00:00:00.000"
"MediaSpark Incorporated","GoVenture Life & Money","B","65016","2019-05-28T00:00:00.000"
"Alpha Dog Games Inc.","Kingdomfall V1","B","139807","2019-06-28T00:00:00.000"
"Alpha Dog Games Inc.","Ninja Golf V1","B","68521","2019-06-28T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Virtual Villagers Origins 2","B","54499","2019-07-11T00:00:00.000"
"Arcturus Studios Inc.","Wreckage","B","110010","2019-07-19T00:00:00.000"
"REDspace Inc.","Nick Jr. - Food Truck Festival","B","14598","2019-07-19T00:00:00.000"
"Copernicus Games Inc.","Alpha’s Playroom 2","B","185757","2019-07-26T00:00:00.000"
"Hyper Hippo Productions Ltd.","Tap Cats Battle Arena","B","8227","2019-06-21T00:00:00.000"
"H.B. Studios Multimedia Limited","NBA Live '19","B","517744","2019-06-21T00:00:00.000"
"H.B. Studios Multimedia Limited","The Golf Club 2019 Featuring PGA Tour","B","1279030","2019-06-21T00:00:00.000"
"Virtual Media Productions Limited","Emendo Serious Games","B","8169","2019-06-21T00:00:00.000"
"Red Meat Games Inc.","Cube Samurai: Run Squared","A","29011","2019-06-14T00:00:00.000"
"Red Meat Games Inc.","Sentience","A","448119","2019-06-14T00:00:00.000"
"H.B. Studios Multimedia Limited","PGA Tour 2K20","B","38228","2019-06-28T00:00:00.000"
"REDspace Inc.","Dotopedia","B","28636","2019-09-26T00:00:00.000"
"REDspace Inc.","Snoop Dogg Presents the Joker’s Wild","B","18820","2019-07-19T00:00:00.000"
"H.B. Studios Multimedia Limited","WWE 2K20","B","49153","2019-06-28T00:00:00.000"
"Huminah Huminah Animation Limited","We Hate Water","B","104627","2019-06-21T00:00:00.000"
"REDspace Inc.","PBS Nature Cat - Version 1.1","B","9210","2019-07-11T00:00:00.000"
"Current Studios Inc.","Fugglers VR","A","102065","2019-07-08T00:00:00.000"
"Current Studios Inc.","Wildlandia V2","A","98942","2019-07-08T00:00:00.000"
"Current Studios Inc.","Race to the Heart","A","91194","2019-07-08T00:00:00.000"
"3304744 Nova Scotia Limited","Travel Back in Time to Kun’tewiktuk - Kings Road Reserve","A","169785","2019-07-22T00:00:00.000"
"3304744 Nova Scotia Limited","Race the HD-4 on the Bras d'Or","B","67604","2019-07-26T00:00:00.000"
"Gogii Lighthouse Studios Inc.","Fable Age","B","20430","2019-08-08T00:00:00.000"
"Ubisoft Divertissements Inc.","Assassin's Creed Rebellion V1","B","8128","2019-09-26T00:00:00.000"
"Ubisoft Divertissements Inc.","Far Cry Tetra V1","B","14114","2019-09-26T00:00:00.000"
"Current Studios Inc.","Fugglers VR","B","102065","2019-09-19T00:00:00.000"
"Current Studios Inc.","Wildlandia V2","B","98942","2019-09-19T00:00:00.000"
"Current Studios Inc.","Race to the Heart","B","91194","2019-09-19T00:00:00.000"
