"license","licensee_name","address","city","province","postal_code","location_geocode"
"Debt Management Agency","CONSOLIDATED CREDIT COUNSELING SERVICES OF CANADA,","505 CONSUMERS ROAD, SUITE 400","TORONTO","ON","M2J4V8","505 CONSUMERS ROAD, SUITE 400
TORONTO, ON M2J4V8
(43.771147, -79.32456)"
"Collection Agency","CONSOLIDATED RECOVERY SYSTEMS INC.","300-801 MANNING ROAD NE","CALGARY","AB","T2E7M8","300-801 MANNING ROAD NE
CALGARY, AB T2E7M8
(51.056228, -114.019257)"
"Collection Agency","NORTHSTAR LOCATION SERVICES INC.","350 BERTIE STREET","FORT ERIE","ON","L2A6V2","350 BERTIE STREET
FORT ERIE, ON L2A6V2
(42.912593, -78.93263)"
"Collection Agency","CGC COLLECTION GROUP OF CANADA INC.","255 CONSUMERS ROAD UNIT 400","TORONTO","ON","M2J1R4","255 CONSUMERS ROAD UNIT 400
TORONTO, ON M2J1R4
(43.770476, -79.330171)"
"Collection Agency","GATESTONE & CO. INC.","180 DUNCAN MILL ROAD, SUITE 300","TORONTO","ON","M3B1Z6","180 DUNCAN MILL ROAD, SUITE 300
TORONTO, ON M3B1Z6
(43.762021, -79.354039)"
"Collection Agency","CANACCEDE INTERNATIONAL MANAGEMENT LTD.","140 FULLARTON STREET, SUITE 900","LONDON","ON","N6A5P2","140 FULLARTON STREET, SUITE 900
LONDON, ON N6A5P2
(42.985059, -81.252084)"
"Collection Agency","MAC FINANCIAL RECOVERY (CANADA) INC.","5025 ORBITOR DR. SUITE 5-300","MISSISSAUGA","ON","L4W4Y5","5025 ORBITOR DR. SUITE 5-300
MISSISSAUGA, ON L4W4Y5
(43.656382, -79.599384)"
"Collection Agency","INTERNATIONAL CREDIT EXPERTS INC.","277 CITYVIEW BLVD, UNIT 1","WOODBRIDGE","ON","L4H5A4","277 CITYVIEW BLVD, UNIT 1
WOODBRIDGE, ON L4H5A4
(43.852985, -79.552841)"
"Collection Agency","DEBT CONTROL AGENCY INC.","201- 1 CONCORDE GATE, BOX 39","TORONTO","ON","M3C3N6",
"Collection Agency","SST OFFICE SERVICES INC./SERVICES DE BUREAU SST IN","75 PORT ROYAL EAST UNIT 240 A","MONTREAL","QC","H3L3T1",
"Collection Agency","CREDIT CONSULTANTS LIMITED","11 SCARFE COURT","DARTMOUTH","NS","B3B1W4","11 SCARFE COURT
DARTMOUTH, NS B3B1W4
(44.707688, -63.59554)"
"Collection Agency","ARM AGENCE DE COLLECTION LTEE ARM COLLECTION AGENC","795, 5E RUE DE LA POINTE C.P. 151","TORONTO","ON","M4S3E2",
"Collection Agency","TRANSWORLD SYSTEMS CANADA INC.","1111-325 MILNER AVE","TORONTO","ON","M1B5N1","1111-325 MILNER AVE
TORONTO, ON M1B5N1
(43.790273, -79.233489)"
"Collection Agency","GRANITE ASSET RECOVERY INC.","301-110 COPPER CREEK DR","MARKHAM","ON","L6B0P9","301-110 COPPER CREEK DR
MARKHAM, ON L6B0P9
(43.868465, -79.227636)"
"Collection Agency","GATESTONE & CO. CONTACT CENTRES INC. CENTRES DE CO","180 DUNCAN MILL ROAD, SUITE 300","TORONTO","ON","M3B1Z6","180 DUNCAN MILL ROAD, SUITE 300
TORONTO, ON M3B1Z6
(43.762021, -79.354039)"
"Collection Agency","PARTNERS IN CREDIT INC.","150 COMMERCE VALLEY DR, WEST UNIT 601","THORNHILL","ON","L3T7Z3","150 COMMERCE VALLEY DR, WEST UNIT 601
THORNHILL, ON L3T7Z3
(43.84009, -79.383444)"
"Collection Agency","CONTACT RESOURCE SERVICES INC.","2775 COVENTRY ROAD, UNIT 1","OAKVILLE","ON","L6H5V9","2775 COVENTRY ROAD, UNIT 1
OAKVILLE, ON L6H5V9
(43.510897, -79.680583)"
"Collection Agency","AFFGLO","1490 DENISON ROAD","MARKHAM","ON","L3R9T7","1490 DENISON ROAD
MARKHAM, ON L3R9T7
(43.834351, -79.313233)"
"Collection Agency","NATIONAL CREDIT RECOVERY INC.","6285 NORTHAM DRIVE, UNIT 400","MISSISSAUGA","ON","L4V1X5","6285 NORTHAM DRIVE, UNIT 400
MISSISSAUGA, ON L4V1X5
(43.695994, -79.617137)"
"Collection Agency","CBV COLLECTION SERVICES LTD.","20- 4664 LOUGHEED HWY","BURNABY","BC","V5C5T5",
"Debt Management Agency","BB CUSTOM CREDIT COUNSELLING SERVICES LIMITED","5536 KAYE ST","HALIFAX","NS","B3K1Y5","5536 KAYE ST
HALIFAX, NS B3K1Y5
(44.661826, -63.599041)"
