"county","site_code","lake_name","station","easting","northing","topo_map","mapbook","volume__m3","area_surface","maximum_de","mean_depth","less_than","shoreline","flushing_rate","headwater","assessment","sample_depth","thermoclin","surface_temp","temperature","oxygen","bottom_disc","secchi_disc","turbidity","jtu_turbid","colour","unknown","relative","conductivity","hardness","alkalinity","ph","aluminum","calcium_mg","chloride","copper__mg","iron__mg","manganese","potassium","sodium__mg","sulphate","zinc__mg_l","nitrogen_t","nitrate","ammonia","total_phosphate","ortho_phos","silica__mg","diss_solid","suspended","organic","dissolved_ox","chlorophyl","pheophytin","lab","collector","agency","data_id","notes","alt_name"
"Digby","969","NOWLANS",,"265977","4910720","21A05","71V4","925834","28.4","8","3.3","27.6","2.1",,"Yes","2018-08-30T00:00:00.000","6.3","B","24.6","18.6","15.5","7.65","0.85","38.8",,"191",,,"147","26.8","48.8","7.4","0.027","7.1","12.5","0.002","14.082","2.819","2.1","8.1","1","0.005","6.03","0.01","4.52","4.942","2.845","3.4",,,"11.3",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"NOWLANS Meteghan R."
"Digby","966","PROVOST",,"272599","4914770","21A05","71W3","1057810","33.8","9","3.1","33.3","2.5","1.8","Yes","2018-08-30T00:00:00.000","0","S","24.4","17.2","13.6","8.75","2.35","0.9",,"23.8",,,"40.3","5.5","1.8","6.5","0.062","0.9","7.9","0.002","0.22","0.032","0.5","5.2","2.3","0.005","0.24","0.01","0.01","0.009","0.002","1",,"10","5.8",,"3.46","3.2","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PROVOST Sissiboo R."
"Digby","966","PROVOST",,"272599","4914770","21A05","71W3","1057810","33.8","9","3.1","33.3","2.5","1.8","Yes","2018-08-30T00:00:00.000","4.7","T","24.4","17.2","13.6","8.75","2.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.2",,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PROVOST Sissiboo R."
"Digby","966","PROVOST",,"272599","4914770","21A05","71W3","1057810","33.8","9","3.1","33.3","2.5","1.8","Yes","2018-08-30T00:00:00.000","6.9","B","24.4","17.2","13.6","8.75","2.35","5.08",,"89.5",,,"47.2","6.5","6.3","7","0.174","1.3","7.7","0.002","3.7","0.578","0.5","5","1.6","0.005","0.68","0.01","0.31","0.017","0.006","1.2",,,"8.1",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PROVOST Sissiboo R."
"Digby","84","PORCUPINE",,"265320","4906310","21A05","71V5","1410041","146.9","13","1","0","2.2",,"Unknown","2018-08-29T00:00:00.000","0","S","24.5","9.3","13.3","11.74","1.9","0.87",,"23.9",,,"51.8","8.3","3.8","7","0.021","1.5","9.7","0.002","0.283","0.054","0.6","6.2","2.8","0.005","0.26","0.01","0.01","0.01","0.003","1",,"8.3","5.2",,"2.86","2.22","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PORCUPINE Tusket R."
"Digby","84","PORCUPINE",,"265320","4906310","21A05","71V5","1410041","146.9","13","1","0","2.2",,"Unknown","2018-08-29T00:00:00.000","3.8","S","24.5","9.3","13.3","11.74","1.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.67",,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PORCUPINE Tusket R."
"Digby","84","PORCUPINE",,"265320","4906310","21A05","71V5","1410041","146.9","13","1","0","2.2",,"Unknown","2018-08-29T00:00:00.000","7.5","T","24.5","9.3","13.3","11.74","1.9","9.6",,"39.4",,,"57.3","9.3","6.7","7.1","0.078","1.9","9.8","0.002","2.123","0.661","0.6","5.9","2.8","0.005","0.46","0.01","0.19","0.028","0.012","3.2",,"10","6.1",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PORCUPINE Tusket R."
"Digby","84","PORCUPINE",,"265320","4906310","21A05","71V5","1410041","146.9","13","1","0","2.2",,"Unknown","2018-08-29T00:00:00.000","11.3","B","24.5","9.3","13.3","11.74","1.9","24",,"102",,,"62.4","10.2","10.5","7.2","0.093","2.1","9.8","0.002","6.722","1.053","0.7","6.2","2","0.005","0.9","0.01","0.53","0.138","0.096","5",,,"7.7",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PORCUPINE Tusket R."
"Digby","161","PLACIDES",,"265860","4908310","21A05","71V5","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2018-08-29T00:00:00.000","0","S","25.8","17.8","13","8.8","1.3","2.39",,"69.4",,,"61.2","9.2","4.5","6.9","0.06","1.4","11.5","0.002","0.648","0.054","1.1","7.6","2.6","0.005","0.45","0.01","0.01","0.583","0.483","1",,"10","10.1",,"15.3","7.27","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PLACIDES Tusket R."
"Digby","161","PLACIDES",,"265860","4908310","21A05","71V5","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2018-08-29T00:00:00.000","2.6","S","25.8","17.8","13","8.8","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.9",,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PLACIDES Tusket R."
"Digby","161","PLACIDES",,"265860","4908310","21A05","71V5","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2018-08-29T00:00:00.000","4.5","T","25.8","17.8","13","8.8","1.3","4.8",,"173",,,"75.9","15.6","15.8","7.3","0.177","3.6","10","0.002","4.883","1.06","1.5","7.1","1.2","0.005","1.46","0.01","0.78","1.972","1.668","3.6",,"10","15.3",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PLACIDES Tusket R."
"Digby","161","PLACIDES",,"265860","4908310","21A05","71V5","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2018-08-29T00:00:00.000","5.3","B","25.8","17.8","13","8.8","1.3","6.57",,"160",,,"75.3","15.1","15.3","7.3","0.159","3.4","10.2","0.002","4.637","0.967","1.4","7.1","1.3","0.005","1.33","0.01","0.68","1.896","1.516","3.4",,,"14.7",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PLACIDES Tusket R."
"Cape Breton","2","BLACKETTS",,"708133","5105010","11K01","14W4","16400000","172","30","9.5","0","2.4",,"Unknown","2018-07-24T00:00:00.000","0","S","23.5","9.2","12.1","11.28","1.2","0.53",,"15",,,"156","40","23.6","7.8","0.021","13.4","20.7","0.002","0.05","0.019","0.5","13.9","16","0.005","0.16","0.01","0.01","0.003","0.003","1",,"8.3","4.5",,"2.44","0.94","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"BLACKETTS Sydney R."
"Cape Breton","2","BLACKETTS",,"708133","5105010","11K01","14W4","16400000","172","30","9.5","0","2.4",,"Unknown","2018-07-24T00:00:00.000","6","S","23.5","9.2","12.1","11.28","1.2","0.59",,"16.4",,,"162","40.5","23.7","7.8","0.023","13.6","21.5","0.002","0.05","0.019","0.5","14.3","16.5","0.005","0.15","0.01","0.01","0.004","0.002","1.2",,"25","4.4",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"BLACKETTS Sydney R."
"Cape Breton","2","BLACKETTS",,"708133","5105010","11K01","14W4","16400000","172","30","9.5","0","2.4",,"Unknown","2018-07-24T00:00:00.000","8","T","23.5","9.2","12.1","11.28","1.2","0.46",,"17.6",,,"146","37.4","22.6","7.7","0.029","12.5","19.3","0.002","0.05","0.011","0.5","13","15.2","0.005","0.14","0.01","0.01","0.004","0.004","1.5",,"25","4.4",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"BLACKETTS Sydney R."
"Cape Breton","2","BLACKETTS",,"708133","5105010","11K01","14W4","16400000","172","30","9.5","0","2.4",,"Unknown","2018-07-24T00:00:00.000","29","B","23.5","9.2","12.1","11.28","1.2","0.59",,"15.2",,,"146","36.9","21.7","7.6","0.038","12.3","19.3","0.002","0.05","0.013","0.5","12.8","14.8","0.005","0.2","0.08","0.01","0.004","0.004","2.2",,,"3.8",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"BLACKETTS Sydney R."
"Cape Breton",,"POTTLE",,"ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2018-07-24T00:00:00.000","0","S","24","17.9","12.28","8.17","4.5","0.65",,"6.8",,,"73.2","10.4","6","7.2","0.012","2.7","14.6","0.002","0.05","0.015","0.5","9.5","3.4","0.005","0.13","0.01","0.01","0.005","0.002","1",,"6.2","2.8",,"2.7","0.99","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,
"Cape Breton",,"POTTLE",,"ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2018-07-24T00:00:00.000","7.5","S","24","17.9","12.28","8.17","4.5","0.54",,"7.1",,,"73.9","10.4","6","7.2","0.014","2.7","14","0.002","0.05","0.026","0.5","9.4","3.2","0.005","0.11","0.01","0.01","0.005","0.003","1",,"12.5","2.6",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,
"Cape Breton",,"POTTLE",,"ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2018-07-24T00:00:00.000","8.5","T","24","17.9","12.28","8.17","4.5","0.5",,"6.3",,,"75.8","10.9","6.8","7.2","0.014","2.9","14.6","0.002","0.05","0.064","0.5","9.6","3.4","0.005","0.14","0.01","0.01","0.005","0.004","1.8",,"25","2.3",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,
"Cape Breton",,"POTTLE",,"ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2018-07-24T00:00:00.000","9","B","24","17.9","12.28","8.17","4.5","0.43",,"6.1",,,"75.7","11.6","6.8","7.2","0.016","3","14.6","0.002","0.05","0.065","0.5","9.7","3.4","0.005","0.12","0.01","0.01","0.005","0.004","1.8",,,,,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,
"Digby","966","PROVOST",,"272599","4914770","21A05","71W3","1057810","33.8","9","3.1","33.3","2.5","1.8","Yes","2017-08-30T00:00:00.000","0","S","21.2","14.5","11.55","2.44","3","0.8",,"34",,,"37","7.5","1.3","6.2","0.092","1.7","7.2","0.002","0.206","0.039","0.6","4.6","2.4","0.005","0.27","0.01","0.02","0.012","0.002","1",,"10","6",,"3.98","4.24","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PROVOST Sissiboo R."
"Digby","966","PROVOST",,"272599","4914770","21A05","71W3","1057810","33.8","9","3.1","33.3","2.5","1.8","Yes","2017-08-30T00:00:00.000","6","T","21.2","14.5","11.55","2.44","3","6.18",,"114",,,"48.6","7.9","8.2","7","0.263","1.7","7.1","0.002","5.961","0.788","0.7","4.6","1.4","0.005","1.2","0.01","0.64","0.045","0.014","3.2",,"25","9.3",,"5.41","14.6","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PROVOST Sissiboo R."
"Digby","966","PROVOST",,"272599","4914770","21A05","71W3","1057810","33.8","9","3.1","33.3","2.5","1.8","Yes","2017-08-30T00:00:00.000","7.5","B","21.2","14.5","11.55","2.44","3","1.57",,"34.6",,,"37.2","5.1","1.5","6.3","0.109","0.9","7.1","0.002","0.292","0.071","0.5","4.5","2.5","0.005","0.31","0.01","0.03","0.016","0.004","1",,,"6.1",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PROVOST Sissiboo R."
"Digby","84","PORCUPINE",,"265320","4906310","21A05","71V5","1410041","146.9","13","1","0","2.2",,"Unknown","2017-08-29T00:00:00.000","0","S","22.5","11.6","10.5","2.88","2.5","0.81",,"38.8",,,"48","8.8","3.3","6.8","0.034","1.7","8.7","0.002","0.276","0.046","0.7","5.5","3.1","0.005","0.3","0.01","0.02","0.013","0.004","1.6",,"10","5.7",,"1.27","2.66","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PORCUPINE Tusket R."
"Digby","84","PORCUPINE",,"265320","4906310","21A05","71V5","1410041","146.9","13","1","0","2.2",,"Unknown","2017-08-29T00:00:00.000","5","S","22.5","11.6","10.5","2.88","2.5","0.66",,"37.7",,,"48.4","8.5","3.3","6.8","0.035","1.6","8.8","0.002","0.308","0.063","0.6","5.5","3","0.005","0.29","0.01","0.02","0.012","0.004","1.7",,"25","5.9",,"0.99","2.39","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PORCUPINE Tusket R."
"Digby","84","PORCUPINE",,"265320","4906310","21A05","71V5","1410041","146.9","13","1","0","2.2",,"Unknown","2017-08-29T00:00:00.000","7","T","22.5","11.6","10.5","2.88","2.5","2.09",,"45.1",,,"51.2","8.8","4.3","6.8","0.053","1.7","8.7","0.002","0.58","0.421","0.7","5.3","3.4","0.005","0.29","0.04","0.01","0.016","0.006","3.6",,"12.5","5.6",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PORCUPINE Tusket R."
"Digby","84","PORCUPINE",,"265320","4906310","21A05","71V5","1410041","146.9","13","1","0","2.2",,"Unknown","2017-08-29T00:00:00.000","13","B","22.5","11.6","10.5","2.88","2.5","16.8",,"42.2",,,"55.3","10.4","7.2","7","0.092","2.2","8.9","0.002","4.892","0.804","0.7","5.5","2.7","0.005","0.6","0.02","0.27","0.131","0.012","6.2",,,"6.9",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PORCUPINE Tusket R."
"Digby","969","NOWLANS",,"265977","4910720","21A05","71V4","925834","28.4","8","3.3","27.6","2.1",,"Yes","2017-08-29T00:00:00.000","0","S","21.2","16.4","12.04","6.69","1","12.1",,"25.4",,,"68.7","13.5","9.5","7.3","0.022","3.1","12.1","0.002","0.476","0.142","1.4","7.4","1.7","0.005",,"0.01","0.06","0.542","0.433","2.1",,"12.5","8",,"51.8","11.8","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"NOWLANS Meteghan R."
"Digby","969","NOWLANS",,"265977","4910720","21A05","71V4","925834","28.4","8","3.3","27.6","2.1",,"Yes","2017-08-29T00:00:00.000","2","S","21.2","16.4","12.04","6.69","1","13.2",,"25.3",,,"69.2","13.5","9.3","7.3","0.019","3.1","12","0.002","0.443","0.093","1.4","7.3","1.6","0.005",,"0.01","0.06","0.564","0.44","2.2",,"25","8",,"44.7","10.2","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"NOWLANS Meteghan R."
"Digby","969","NOWLANS",,"265977","4910720","21A05","71V4","925834","28.4","8","3.3","27.6","2.1",,"Yes","2017-08-29T00:00:00.000","4.5","T","21.2","16.4","12.04","6.69","1","4.28",,"24.2",,,"77.2","14.9","13.2","7.3","0.021","3.5","11.8","0.002","0.935","0.455","1.4","7.4","1.6","0.005","1.28","0.02","0.58","0.764","0.522","2.5",,"12.5","7",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"NOWLANS Meteghan R."
"Digby","969","NOWLANS",,"265977","4910720","21A05","71V4","925834","28.4","8","3.3","27.6","2.1",,"Yes","2017-08-29T00:00:00.000","6.8","B","21.2","16.4","12.04","6.69","1","12.6",,"66.5",,,"110","21.6","33.1","7.5","0.033","5.7","11.7","0.002","6.858","1.428","1.8","7.5","1","0.005","3.89","0.01","2.78","3.18","2.085","3.6",,,"7.5",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"NOWLANS Meteghan R."
"Digby","161","PLACIDES",,"265860","4908310","21A05","71V5","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2017-08-29T00:00:00.000","0","S","23.6","14.9","10.38","2.55","1","2.52",,"96.8",,,"59","10","4.4","6.8","0.086","1.7","10.8","0.002","0.647","0.057","1.2","7.1","2.6","0.008","0.48","0.01","0.02","0.609","0.512","1",,"12.5","10.1",,"4.15","5.4","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PLACIDES Tusket R."
"Digby","161","PLACIDES",,"265860","4908310","21A05","71V5","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2017-08-29T00:00:00.000","2","S","23.6","14.9","10.38","2.55","1","2.55",,"97.3",,,"59.2","10","4","6.8","0.087","1.7","10.6","0.002","0.641","0.061","1.3","7","2.5","0.005","0.46","0.01","0.01","0.615","0.522","1",,"12.5","10.5",,"3.87","10","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PLACIDES Tusket R."
"Digby","161","PLACIDES",,"265860","4908310","21A05","71V5","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2017-08-29T00:00:00.000","5","T","23.6","14.9","10.38","2.55","1","14.9",,"209",,,"79.1","18.2","15.6","7.1","0.227","4.5","10.1","0.002","5.039","0.821","1.6","6.6","1.8","0.006","1.56","0.01","0.84","2.57","1.975","5.9",,"25","14.1",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PLACIDES Tusket R."
"Digby","161","PLACIDES",,"265860","4908310","21A05","71V5","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","ERROR: #N/A","2017-08-29T00:00:00.000","6","B","23.6","14.9","10.38","2.55","1","8.24",,"251",,,"82.8","19.9","22","7.2","0.245","5","9.9","0.002","7.42","0.848","1.7","6.6","1","0.005","2.03","0.01","1.23","3.56","3.115","6.8",,,"15.2",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"PLACIDES Tusket R."
"Halifax","56","CHEZZETCOOK",,"481899","4957960","11D14","59X5","10530400","244.9","18","4.3","197.1","2.6","3.9","No","2017-08-24T00:00:00.000","0.5","S","23.3","15.1","7.58","4.78","2.075","0.71",,"76.4",,,"19.9",,"1","5","0.273","0.5","3.2","0.002","0.167","0.023","0.5","2.5","1.4","0.005","0.23","0.01","0.01","0.007","0.005","2.6",,"16.7","8.5",,"2.15","3.17","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"CHEZZETCOOK Chezzetcook R."
"Halifax","56","CHEZZETCOOK",,"481899","4957960","11D14","59X5","10530400","244.9","18","4.3","197.1","2.6","3.9","No","2017-08-24T00:00:00.000","4.5","B","23.3","15.1","7.58","4.78","2.075","0.6",,"89.3",,,"22.3",,"1","4.8","0.297","0.5","3.4","0.002","0.294","0.025","0.5","2.4","1.6","0.005","0.18","0.01","0.01","0.008","0.007","3.6",,"16.7","8.7",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"CHEZZETCOOK Chezzetcook R."
"Halifax","58","LONG BRIDGE",,"483584","4959430","11D14","59X5","3830600","69.6","12","5.5","33.8","1.6","0.7","Yes","2017-08-23T00:00:00.000","0","S","22.7","15.7","9.59","4.28","3.5","0.53",,"18.9",,,"20.9",,"1","5.2","0.099","0.5","4.4","0.002","0.05","0.065","0.5","2.9","1.4","0.005","0.12","0.01","0.01","0.002",,"1.8",,"25","4.1",,"2.4","2.3","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"LONG BRIDGE Chezzetcook R."
"Halifax","58","LONG BRIDGE",,"483584","4959430","11D14","59X5","3830600","69.6","12","5.5","33.8","1.6","0.7","Yes","2017-08-23T00:00:00.000","7","B","22.7","15.7","9.59","4.28","3.5","0.45",,"25.5",,,"22.6",,"1","5.6","0.118","0.5","4.4","0.002","0.085","0.131","0.5","2.7","1.5","0.005","0.11","0.01","0.01","0.004","0.004","2.4",,"25","3.6",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"LONG BRIDGE Chezzetcook R."
"Halifax","55","CONROD",,"479392","4957840","11D14","59X5","7330400","119.5","27.4","6.1","71.2","2.6","3.2","No","2017-08-22T00:00:00.000","0","S","24.4","5.4","8.73","8.87","2.05","1.04",,"62.3",,,"20",,"1","5","0.239","0.5","1","0.002","0.096","0.025","0.5","2.5","1","0.005","0.2","0.01","0.01","0.005","0.004","1.8",,"16.7","6.8",,"1.88","3.71","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"CONROD Chezzetcook R."
"Halifax","55","CONROD",,"479392","4957840","11D14","59X5","7330400","119.5","27.4","6.1","71.2","2.6","3.2","No","2017-08-22T00:00:00.000","6","T","24.4","5.4","8.73","8.87","2.05","0.37",,"71.6",,,"21.9",,"1","4.9","0.247","0.6","1","0.002","0.164","0.032","0.5","2.5","1","0.005","0.16","0.01","0.01","0.005","0.005","2.8",,"16.7","6.7",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"CONROD Chezzetcook R."
