"waterbody","station","lease","latitude","longitude","deployment_period","timestamp","sensor","depth","variable","value","units","mooring"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T02:18:00.000","aquaMeasure-680322","1.3","Salinity","30.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T02:28:00.000","aquaMeasure-680322","1.3","Salinity","30.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T02:38:00.000","aquaMeasure-680322","1.3","Salinity","30.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T02:48:00.000","aquaMeasure-680322","1.3","Salinity","30.2","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T02:58:00.000","aquaMeasure-680322","1.3","Salinity","30.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T03:08:00.000","aquaMeasure-680322","1.3","Salinity","30.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T03:18:00.000","aquaMeasure-680322","1.3","Salinity","30.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T03:28:00.000","aquaMeasure-680322","1.3","Salinity","31.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T03:38:00.000","aquaMeasure-680322","1.3","Salinity","31.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T03:48:00.000","aquaMeasure-680322","1.3","Salinity","31.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T03:58:00.000","aquaMeasure-680322","1.3","Salinity","31.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T04:08:00.000","aquaMeasure-680322","1.3","Salinity","31.3","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T04:18:00.000","aquaMeasure-680322","1.3","Salinity","31.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T04:28:00.000","aquaMeasure-680322","1.3","Salinity","31.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T04:38:00.000","aquaMeasure-680322","1.3","Salinity","31.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T04:48:00.000","aquaMeasure-680322","1.3","Salinity","31.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T04:58:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T05:08:00.000","aquaMeasure-680322","1.3","Salinity","31.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T05:18:00.000","aquaMeasure-680322","1.3","Salinity","32","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T05:28:00.000","aquaMeasure-680322","1.3","Salinity","32","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T05:38:00.000","aquaMeasure-680322","1.3","Salinity","32","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T05:48:00.000","aquaMeasure-680322","1.3","Salinity","32.1","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T05:58:00.000","aquaMeasure-680322","1.3","Salinity","32.1","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T06:08:00.000","aquaMeasure-680322","1.3","Salinity","32.1","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T06:18:00.000","aquaMeasure-680322","1.3","Salinity","32.1","practical salinity units","float"
