"year","sex","age_group","beneficiaries","number_of_prescriptions","drug_cost","pharmacists_fees","total_expenditure","rx_per_beneficiary","cost_per_beneficiary","total_government_expenditure","gov_expenditure_per_beneficiary"
"2019-20","Male","90 - 94","1826","84836","1886766","1174478","3061244","46","1676.48",,
"2019-20","Male","95 - 99","311","14816","256160","201294","457454","48","1470.91",,
"2019-20","Male","100+","38","1437","18995","19098","38093","38","1002.46",,
"2018-19","Female","65 - 69","15612","377725","13544847","5501152","19045998","24","1219.96",,
"2018-19","Female","70 - 74","18751","572423","18315465","8166184","26481648","31","1412.28",,
"2018-19","Female","75 - 79","13791","491088","14066812","6867189","20934001","36","1517.95",,
"2018-19","Female","80 - 84","9973","409690","10666227","5680810","16347037","41","1639.13",,
"2018-19","Female","85 - 89","7321","345375","6444879","4608494","11053373","47","1509.82",,
"2018-19","Female","90 - 94","4200","211150","3003757","2755700","5759457","50","1371.30",,
"2018-19","Female","95 - 99","1772","86733","1089292","1127350","2216642","49","1250.93",,
"2018-19","Female","100+","424","20009","236045","258900","494945","47","1167.32",,
"2018-19","Male","65 - 69","12778","321322","13414762","4827365","18242126","25","1427.62",,
"2018-19","Male","70 - 74","15834","486453","19045626","7213307","26258933","31","1658.39",,
"2018-19","Male","75 - 79","11472","401328","14654145","5856258","20510403","35","1787.87",,
"2018-19","Male","80 - 84","7514","300787","9305084","4279038","13584122","40","1807.84",,
"2018-19","Male","85 - 89","4216","181855","4795217","2531693","7326910","43","1737.88",,
"2018-19","Male","90 - 94","1708","76836","1622818","1046028","2668846","45","1562.56",,
"2018-19","Male","95 - 99","299","13397","262083","182738","444821","45","1487.70",,
"2018-19","Male","100+","40","1799","22504","23526","46030","45","1150.75",,
"2017-18","Female","65 - 69","17565","445086","16660673","6477722","23138395","25","1317.30",,
"2017-18","Female","70 - 74","17715","551796","18546187","7852832","26399019","31","1490.21",,
"2017-18","Female","75 - 79","12759","468039","13807296","6527665","20334961","37","1593.77",,
"2017-18","Female","80 - 84","9426","391438","9941746","5359589","15301335","42","1623.31",,
"2017-18","Female","85 - 89","6957","331847","6397635","4418779","10816415","48","1554.75",,
"2017-18","Female","90 - 94","3925","197238","3058005","2569483","5627488","50","1433.75",,
"2017-18","Female","95 - 99","1568","79569","1065939","1029747","2095686","51","1336.53",,
"2017-18","Female","100+","330","15692","194553","201560","396113","48","1200.34",,
"2017-18","Male","65 - 69","14507","375954","15956926","5623768","21580694","26","1487.61",,
"2017-18","Male","70 - 74","14847","458980","18549460","6800615","25350075","31","1707.42",,
"2017-18","Male","75 - 79","10578","374499","13812825","5439800","19252625","35","1820.06",,
"2017-18","Male","80 - 84","6832","271847","8642553","3858596","12501149","40","1829.79",,
"2017-18","Male","85 - 89","3896","171302","4769173","2389208","7158380","44","1837.37",,
"2017-18","Male","90 - 94","1325","59244","1320949","808371","2129320","45","1607.03",,
"2017-18","Male","95 - 99","230","10845","195768","143963","339731","47","1477.09",,
"2017-18","Male","100+","31","1389","22305","18555","40859","45","1318.03",,
"2016-17","Female","65 - 69","17811","457944","15633584","6508400","22141984","26","1243.16",,
"2016-17","Female","70 - 74","16466","515851","17232257","7291038","24523295","31","1489.33",,
"2016-17","Female","75 - 79","12197","445779","12586205","6134853","18721058","37","1534.89",,
"2016-17","Female","80 - 84","9382","392236","9613417","5303785","14917202","42","1589.98",,
"2016-17","Female","85 - 89","6958","334573","6384100","4420191","10804291","48","1552.79",,
"2016-17","Female","90 - 94","3986","197565","3123965","2568331","5692296","50","1428.07",,
"2016-17","Female","95 - 99","1604","79638","1068444","1023039","2091483","50","1303.92",,
"2016-17","Female","100+","319","14243","182614","183115","365729","45","1146.49",,
"2016-17","Male","65 - 69","14478","369979","15417336","5489063","20906399","26","1444.01",,
"2016-17","Male","70 - 74","13965","432612","16027482","6257210","22284692","31","1595.75",,
"2016-17","Male","75 - 79","10090","357920","11909678","5071507","16981185","35","1682.97",,
"2016-17","Male","80 - 84","6636","266524","8197422","3738205","11935627","40","1798.62",,
"2016-17","Male","85 - 89","3743","166264","4501108","2296527","6797635","44","1816.09",,
"2016-17","Male","90 - 94","1192","52538","1124066","707323","1831389","44","1536.40",,
"2016-17","Male","95 - 99","223","9995","162575","129933","292508","45","1311.70",,
"2016-17","Male","100+","37","1203","20875","16025","36900","33","997.30",,
"2015-16","Female","65 - 69","17894","457205","16530925","6540972","23071897","26","1289.36",,
"2015-16","Female","70 - 74","15351","481396","15964476","6767288","22731764","31","1480.80",,
"2015-16","Female","75 - 79","11882","442913","12334245","6053214","18387459","37","1547.51",,
"2015-16","Female","80 - 84","9404","396826","9194247","5297197","14491444","42","1540.99",,
"2015-16","Female","85 - 89","6947","334193","6378911","4387162","10766073","48","1549.74",,
"2015-16","Female","90 - 94","4041","202675","3317965","2628043","5946008","50","1471.42",,
"2015-16","Female","95 - 99","1554","76963","1028936","981532","2010468","50","1293.74",,
"2015-16","Female","100+","317","14217","171730","180726","352456","45","1111.85",,
"2015-16","Male","65 - 69","14540","367429","15598005","5449381","21047386","25","1447.55",,
"2015-16","Male","70 - 74","13103","402672","13973734","5712204","19685938","31","1502.40",,
"2015-16","Male","75 - 79","9640","346969","11042006","4854317","15896323","36","1649.00",,
"2015-16","Male","80 - 84","6417","254363","7332963","3507423","10840386","40","1689.32",,
"2015-16","Male","85 - 89","3600","158069","4068616","2153023","6221639","44","1728.23",,
"2015-16","Male","90 - 94","1082","47260","936481","626003","1562484","44","1444.07",,
"2015-16","Male","95 - 99","208","9614","146558","123594","270152","46","1298.81",,
"2015-16","Male","100+","35","1479","23085","19468","42553","42","1215.80",,
"2014-15","Female","65 - 69","17304","441296","15281450","6194862","21476312","26","1241.12",,
"2014-15","Female","70 - 74","14834","473981","15497871","6589359","22087230","32","1488.96",,
"2014-15","Female","75 - 79","11517","427924","12329942","5837803","18167745","37","1577.47",,
"2014-15","Female","80 - 84","9621","412375","9723872","5511608","15235480","43","1583.57",,
"2014-15","Female","85 - 89","6967","343077","6613039","4509895","11122934","49","1596.52",,
"2014-15","Female","90 - 94","4116","213015","3457889","2765052","6222941","52","1511.89",,
"2014-15","Female","95 - 99","1555","79371","1073391","1016299","2089690","51","1343.85",,
"2014-15","Female","100+","321","15770","191323","201747","393070","49","1224.52",,
"2014-15","Male","65 - 69","14265","361831","14216149","5215619","19431768","25","1362.20",,
"2014-15","Male","70 - 74","12658","388765","13833441",,"13833441","31","1092.86",,
"2014-15","Male","75 - 79","9282","334770","11060239","4680152","15740391","36","1695.80",,
"2014-15","Male","80 - 84","6270","251108","7399431","3465081","10864512","40","1732.78",,
"2014-15","Male","85 - 89","3422","148346","3637912","2008648","5646560","43","1650.08",,
"2014-15","Male","90 - 94","1000","43206","911472","577875","1489347","43","1489.35",,
"2014-15","Male","95 - 99","236","10515","173434","137374","310808","45","1316.98",,
"2014-15","Male","100+","35","1473","19040","18907","37947","42","1084.20",,
"2013-14","Female","65 - 69","16827","432541","15837439","6058413","21895852","26","1301.23",,
"2013-14","Female","70 - 74","14287","459275","15452267","6360699","21812966","32","1526.77",,
"2013-14","Female","75 - 79","11379","425361","12909348","5841908","18751256","37","1647.88",,
"2013-14","Female","80 - 84","9595","419947","10666335","5707483","16373818","44","1706.49",,
"2013-14","Female","85 - 89","7003","347576","7318467","4660130","11978597","50","1710.50",,
"2013-14","Female","90 - 94","4266","223010","3992429","2966415","6958844","52","1631.23",,
"2013-14","Female","95 - 99","1479","76741","1168405","1006949","2175354","52","1470.83",,
"2013-14","Female","100+","296","13973","180004","182386","362390","47","1224.29",,
"2013-14","Male","65 - 69","13679","347412","13524731","4949959","18474690","25","1350.59",,
"2013-14","Male","70 - 74","12239","382306","14371941","5428114","19800055","31","1617.78",,
"2013-14","Male","75 - 79","9071","325402","11234417","4550860","15785277","36","1740.19",,
"2013-14","Male","80 - 84","6113","246502","7607638","3435440","11043078","40","1806.49",,
"2013-14","Male","85 - 89","3274","141309","3779234","1953550","5732784","43","1751.00",,
"2013-14","Male","90 - 94","902","37663","870798","515218","1386016","42","1536.60",,
"2013-14","Male","95 - 99","229","10190","196159","138057","334216","44","1459.46",,
"2013-14","Male","100+","34","1432","22238","18998","41236","42","1212.82",,
"2012-13","Female","65 - 69","16256","417597","15673272","5709865","21383137","26","1315.40",,
"2012-13","Female","70 - 74","13817","442982","15713020","6022470","21735490","32","1573.10",,
"2012-13","Female","75 - 79","11151","418681","13348992","5619321","18968313","38","1701.04",,
"2012-13","Female","80 - 84","9611","423293","11568215","5642627","17210842","44","1790.74",,
"2012-13","Female","85 - 89","7029","347654","8032098","4566119","12598217","49","1792.32",,
"2012-13","Female","90 - 94","4246","222905","4445427","2893147","7338574","52","1728.35",,
"2012-13","Female","95 - 99","1468","76517","1303503","981830","2285333","52","1556.77",,
"2012-13","Female","100+","294","13668","195524","173276","368800","46","1254.42",,
"2012-13","Male","65 - 69","13230","334563","13666224","4663888","18330112","25","1385.50",,
"2012-13","Male","70 - 74","11809","367792","14769876","5115534","19885410","31","1683.92",,
"2012-13","Male","75 - 79","8752","314189","11341226","4323027","15664253","36","1789.79",,
"2012-13","Male","80 - 84","6074","244186","8163832","3343970","11507802","40","1894.60",,
"2012-13","Male","85 - 89","2942","126535","3570974","1710600","5281574","43","1795.23",,
"2012-13","Male","90 - 94","879","38360","976596","515123","1491719","44","1697.06",,
"2012-13","Male","95 - 99","224","9780","211511","128129","339640","44","1516.25",,
"2012-13","Male","100+","30","1472","25514","18154","43668","49","1455.60",,
"2011-12","Female","65 - 69","15423","392083","16556202","4928991","21485193","25","1393.06",,
"2011-12","Female","70 - 74","13274","423789","17297119","5279684","22576803","32","1700.83",,
"2011-12","Female","75 - 79","11129","422286","15717177","5222443","20939620","38","1881.54",,
"2011-12","Female","80 - 84","9676","427912","13729348","5238662","18968010","44","1960.32",,
"2011-12","Female","85 - 89","7049","348605","9700740","4208793","13909533","49","1973.26",,
"2011-12","Female","90 - 94","4270","221270","5264954","2630712","7895666","52","1849.10",,
"2011-12","Female","95 - 99","1455","75135","1514618","882083","2396701","52","1647.22",,
"2011-12","Female","100+","269","11649","214678","135224","349902","43","1300.75",,
"2011-12","Male","65 - 69","12787","316396","14960511","4071418","19031929","25","1488.38",,
"2011-12","Male","70 - 74","11233","349043","16381522","4458967","20840489","31","1855.29",,
"2011-12","Male","75 - 79","8586","307237","12909504","3877247","16786751","36","1955.13",,
"2011-12","Male","80 - 84","5915","240257","9211962","3009948","12221910","41","2066.26",,
"2011-12","Male","85 - 89","2654","110508","1164383","1371053","2535436","42","955.33",,
"2011-12","Male","90 - 94","838","36295","382879","445890","828769","43","988.98",,
"2011-12","Male","95 - 99","225","9573","100904","112711","213615","43","949.40",,
"2011-12","Male","100+","29","1305","27602","1372","28974","45","999.10",,
"2010-11","Female","65 - 69","14659","368428","16992097","4013056","21005153","25","1432.92",,
"2010-11","Female","70 - 74","12887","412421","18433568","4502754","22936322","32","1779.80",,
"2010-11","Female","75 - 79","11347","424322","17250875","4652740","21903615","37","1930.34",,
"2010-11","Female","80 - 84","9655","421607","15073114","4649944","19723058","44","2042.78",,
"2010-11","Female","85 - 89","7176","350769","11050391","3857585","14907976","49","2077.48",,
"2010-11","Female","90 - 94","4127","213008","5723554","2335124","8058678","52","1952.67",,
"2010-11","Female","95 - 99","1426","69921","1606791","765362","2372153","49","1663.50",,
"2010-11","Female","100+","248","10284","200105","112717","312822","41","1261.38",,
"2010-11","Male","65 - 69","12356","305256","15865412","3371526","19236938","25","1556.89",,
"2010-11","Male","70 - 74","10811","332836","16570516","3677005","20247521","31","1872.86",,
"2010-11","Male","75 - 79","8367","297687","13678785","3297097","16975882","36","2028.91",,
"2010-11","Male","80 - 84","5844","232141","9733569","2586038","12319607","40","2108.08",,
"2010-11","Male","85 - 89","2434","99610","3883409","1118544","5001953","41","2055.03",,
"2010-11","Male","90 - 94","799","32584","1107426","363256","1470682","41","1840.65",,
"2010-11","Male","95 - 99","236","9640","256260","105420","361680","41","1532.54",,
"2010-11","Male","100+","29","1341","31234","14880","46114","46","1590.14",,
"2009-10","Female","65 - 69","14242","353252","17118608","3828804","20947412","25","1470.82",,
"2009-10","Female","70 - 74","12550","399759","18703342","4346584","23049926","32","1836.65",,
"2009-10","Female","75 - 79","11448","422507","17927568","4618871","22546439","37","1969.47",,
"2009-10","Female","80 - 84","9652","417202","15667672","4565399","20233071","43","2096.26",,
"2009-10","Female","85 - 89","7288","341744","11460024","3726370","15186394","47","2083.75",,
"2009-10","Female","90 - 94","4072","201172","5738926","2182515","7921441","49","1945.34",,
"2009-10","Female","95 - 99","1348","65269","1591632","706314","2297946","48","1704.71",,
"2009-10","Female","100+","207","8140","156327","87188","243515","39","1176.40",,
"2009-10","Male","65 - 69","12019","294288","16027605","3248873","19276478","24","1603.83",,
"2009-10","Male","70 - 74","10387","317817","16675444","3509362","20184806","31","1943.28",,
"2009-10","Male","75 - 79","8229","284630","13858352","3166371","17024723","35","2068.87",,
"2009-10","Male","80 - 84","5538","217238","9549374","2428136","11977510","39","2162.79",,
"2009-10","Male","85 - 89","2276","89026","3686861","1008010","4694871","39","2062.77",,
"2009-10","Male","90 - 94","805","32611","1165596","365406","1531002","41","1901.87",,
"2009-10","Male","95 - 99","238","9466","269197","103561","372758","40","1566.21",,
"2009-10","Male","100+","34","1618","45712","17823","63535","48","1868.68",,
"2008-09","Female","65 - 69","13789","339651","15969129","3499330","19468459","25","1411.88",,
"2008-09","Female","70 - 74","12344","387165","17994913","4028075","22022988","31","1784.10",,
"2008-09","Female","75 - 79","11500","422734","17639256","4438748","22078004","37","1919.83",,
"2008-09","Female","80 - 84","9683","411483","15271804","4325939","19597743","42","2023.93",,
"2008-09","Female","85 - 89","7497","342766","11487251","3609165","15096416","46","2013.66",,
"2008-09","Female","90 - 94","3952","191226","5422569","2014276","7436845","48","1881.79",,
"2008-09","Female","95 - 99","1290","62081","1587082","656783","2243865","48","1739.43",,
"2008-09","Female","100+","196","8255","159091","86826","245917","42","1254.68",,
"2008-09","Male","65 - 69","11612","279733","14912105","2926325","17838430","24","1536.21",,
"2008-09","Male","70 - 74","10192","307715","15883266","3225134","19108400","30","1874.84",,
"2008-09","Male","75 - 79","8094","277760","13496716","2972817","16469533","34","2034.78",,
"2008-09","Male","80 - 84","5241","196243","8649845","2112496","10762341","37","2053.49",,
"2008-09","Male","85 - 89","2101","81107","3307199","887794","4194993","39","1996.66",,
"2008-09","Male","90 - 94","846","34170","1208806","371124","1579930","40","1867.53",,
"2008-09","Male","95 - 99","225","9721","274424","104380","378804","43","1683.57",,
"2008-09","Male","100+","34","1418","35915","14464","50379","42","1481.74",,
