"region","month_year","occupancy_rate","room_nights_sold_rounded_to_nearest_thousand"
"Province","2021-10-01T00:00:00.000","0.54","219000"
"Yarmouth/Acadian Shores","2021-10-01T00:00:00.000","0.43","7000"
"Bay of Fundy/Annapolis Valley","2021-10-01T00:00:00.000","0.5","31000"
"Northumberland Shore","2021-10-01T00:00:00.000","0.52","16000"
"Halifax Metro","2021-10-01T00:00:00.000","0.57","107000"
"South Shore","2021-10-01T00:00:00.000","0.55","18000"
"Eastern Shore","2021-10-01T00:00:00.000","0.41","2000"
"Northumberland Shore","2021-09-01T00:00:00.000","0.66","20000"
"South Shore","2021-09-01T00:00:00.000","0.66","24000"
"Cape Breton","2021-09-01T00:00:00.000","0.58","48000"
"Eastern Shore","2021-09-01T00:00:00.000","0.41","2000"
"Yarmouth/Acadian Shores","2021-09-01T00:00:00.000","0.56","8000"
"Halifax Metro","2021-09-01T00:00:00.000","0.72","130000"
"Bay of Fundy/Annapolis Valley","2021-09-01T00:00:00.000","0.59","39000"
"Province","2021-09-01T00:00:00.000","0.65","273000"
"Cape Breton","2021-08-01T00:00:00.000","0.64","54000"
"Province","2021-08-01T00:00:00.000","0.7","307000"
"Yarmouth/Acadian Shores","2021-08-01T00:00:00.000","0.63","10000"
"Bay of Fundy/Annapolis Valley","2021-08-01T00:00:00.000","0.65","45000"
"Northumberland Shore","2021-08-01T00:00:00.000","0.7","24000"
"Eastern Shore","2021-08-01T00:00:00.000","0.49","3000"
"South Shore","2021-08-01T00:00:00.000","0.73","29000"
"Halifax Metro","2021-08-01T00:00:00.000","0.75","142000"
"Province","2021-07-01T00:00:00.000","0.47","206000"
"Yarmouth/Acadian Shores","2021-07-01T00:00:00.000","0.43","7000"
"Bay of Fundy/Annapolis Valley","2021-07-01T00:00:00.000","0.48","33000"
"Northumberland Shore","2021-07-01T00:00:00.000","0.51","20000"
"Cape Breton","2021-07-01T00:00:00.000","0.42","35000"
"Eastern Shore","2021-07-01T00:00:00.000","0.3","2000"
"South Shore","2021-07-01T00:00:00.000","0.54","21000"
"Halifax Metro","2021-07-01T00:00:00.000","0.47","89000"
"South Shore","2021-06-01T00:00:00.000","0.32","10000"
"Province","2021-06-01T00:00:00.000","0.25","100000"
"Yarmouth/Acadian Shores","2021-06-01T00:00:00.000","0.3","5000"
"Bay of Fundy/Annapolis Valley","2021-06-01T00:00:00.000","0.26","17000"
"Northumberland Shore","2021-06-01T00:00:00.000","0.36","11000"
"Cape Breton","2021-06-01T00:00:00.000","0.21","15000"
"Eastern Shore","2021-06-01T00:00:00.000","0.17","1000"
"Halifax Metro","2021-06-01T00:00:00.000","0.24","42000"
"Province","2021-05-01T00:00:00.000","0.17","61000"
"Yarmouth/Acadian Shores","2021-05-01T00:00:00.000","0.12","2000"
"Bay of Fundy/Annapolis Valley","2021-05-01T00:00:00.000","0.16","8000"
"Northumberland Shore","2021-05-01T00:00:00.000","0.24","6000"
"Cape Breton","2021-05-01T00:00:00.000","0.12","6000"
"Eastern Shore","2021-05-01T00:00:00.000","0.13",
"South Shore","2021-05-01T00:00:00.000","0.2","5000"
"Halifax Metro","2021-05-01T00:00:00.000","0.18","34000"
"Province","2021-04-01T00:00:00.000","0.27","90000"
"Yarmouth/Acadian Shores","2021-04-01T00:00:00.000","0.22","3000"
"Bay of Fundy/Annapolis Valley","2021-04-01T00:00:00.000","0.26","11000"
"Northumberland Shore","2021-04-01T00:00:00.000","0.27","6000"
"Cape Breton","2021-04-01T00:00:00.000","0.3","12000"
"Halifax Metro","2021-04-01T00:00:00.000","0.28","50000"
"South Shore","2021-04-01T00:00:00.000","0.27","6000"
"Eastern Shore","2021-04-01T00:00:00.000","0.18",
"Yarmouth/Acadian Shores","2021-03-01T00:00:00.000","0.26","4000"
"Halifax Metro","2021-03-01T00:00:00.000","0.28","50000"
"South Shore","2021-03-01T00:00:00.000","0.34","8000"
"Eastern Shore","2021-03-01T00:00:00.000","0.1",
"Cape Breton","2021-03-01T00:00:00.000","0.36","15000"
"Northumberland Shore","2021-03-01T00:00:00.000","0.34","8000"
"Bay of Fundy/Annapolis Valley","2021-03-01T00:00:00.000","0.3","13000"
"Province","2021-03-01T00:00:00.000","0.3","98000"
"Yarmouth/Acadian Shores","2021-02-01T00:00:00.000","0.2","3000"
"Bay of Fundy/Annapolis Valley","2021-02-01T00:00:00.000","0.25","10000"
"Northumberland Shore","2021-02-01T00:00:00.000","0.29","6000"
"Cape Breton","2021-02-01T00:00:00.000","0.31","12000"
"Eastern Shore","2021-02-01T00:00:00.000","0.09",
"South Shore","2021-02-01T00:00:00.000","0.32","7000"
"Province","2021-02-01T00:00:00.000","0.28","83000"
"Halifax Metro","2021-02-01T00:00:00.000","0.29","45000"
"Province","2021-01-01T00:00:00.000","0.22","72000"
"Yarmouth/Acadian Shores","2021-01-01T00:00:00.000","0.21","2000"
"Bay of Fundy/Annapolis Valley","2021-01-01T00:00:00.000","0.19","9000"
"Northumberland Shore","2021-01-01T00:00:00.000","0.26","6000"
"Cape Breton","2021-01-01T00:00:00.000","0.24","11000"
"Eastern Shore","2021-01-01T00:00:00.000","0.23","0"
"South Shore","2021-01-01T00:00:00.000","0.26","6000"
"Halifax Metro","2021-01-01T00:00:00.000","0.22","38000"
"Province","2020-12-01T00:00:00.000","0.2","64000"
"Yarmouth/Acadian Shores","2020-12-01T00:00:00.000","0.28","3000"
"Bay of Fundy/Annapolis Valley","2020-12-01T00:00:00.000","0.17","8000"
"Northumberland Shore","2020-12-01T00:00:00.000","0.24","6000"
"Cape Breton","2020-12-01T00:00:00.000","0.19","8000"
"Eastern Shore","2020-12-01T00:00:00.000","0.2","0"
"South Shore","2020-12-01T00:00:00.000","0.28","6000"
"Halifax Metro","2020-12-01T00:00:00.000","0.19","33000"
"South Shore","2020-11-01T00:00:00.000","0.31","9000"
"Province","2020-11-01T00:00:00.000","0.31","104000"
"Yarmouth/Acadian Shores","2020-11-01T00:00:00.000","0.56","7000"
"Bay of Fundy/Annapolis Valley","2020-11-01T00:00:00.000","0.3","14000"
"Northumberland Shore","2020-11-01T00:00:00.000","0.38","9000"
"Cape Breton","2020-11-01T00:00:00.000","0.28","14000"
"Eastern Shore","2020-11-01T00:00:00.000","0.29","1000"
"Halifax Metro","2020-11-01T00:00:00.000","0.29","51000"
"Cape Breton","2020-10-01T00:00:00.000","0.42","34000"
"Halifax Metro","2020-10-01T00:00:00.000","0.32","58000"
"South Shore","2020-10-01T00:00:00.000","0.34","11000"
"Province","2020-10-01T00:00:00.000","0.35","143000"
"Yarmouth/Acadian Shores","2020-10-01T00:00:00.000","0.46","6000"
"Bay of Fundy/Annapolis Valley","2020-10-01T00:00:00.000","0.33","19000"
"Northumberland Shore","2020-10-01T00:00:00.000","0.38","13000"
"Eastern Shore","2020-10-01T00:00:00.000","0.37","2000"
"Halifax Metro","2020-09-01T00:00:00.000","0.33","57000"
"Yarmouth/Acadian Shores","2020-09-01T00:00:00.000","0.37","5000"
"Bay of Fundy/Annapolis Valley","2020-09-01T00:00:00.000","0.37","24000"
"Northumberland Shore","2020-09-01T00:00:00.000","0.36","12000"
"Cape Breton","2020-09-01T00:00:00.000","0.31","29000"
"Eastern Shore","2020-09-01T00:00:00.000","0.33","2000"
"South Shore","2020-09-01T00:00:00.000","0.37","14000"
"Province","2020-09-01T00:00:00.000","0.34","142000"
"Eastern Shore","2020-08-01T00:00:00.000","0.45","3000"
"Halifax Metro","2020-08-01T00:00:00.000","0.35","61000"
"South Shore","2020-08-01T00:00:00.000","0.51","20000"
"Cape Breton","2020-08-01T00:00:00.000","0.38","36000"
"Northumberland Shore","2020-08-01T00:00:00.000","0.41","15000"
"Bay of Fundy/Annapolis Valley","2020-08-01T00:00:00.000","0.41","28000"
"Yarmouth/Acadian Shores","2020-08-01T00:00:00.000","0.48","4000"
"Province","2020-08-01T00:00:00.000","0.39","166000"
"Yarmouth/Acadian Shores","2020-07-01T00:00:00.000","0.38","3000"
"Bay of Fundy/Annapolis Valley","2020-07-01T00:00:00.000","0.3","20000"
"Northumberland Shore","2020-07-01T00:00:00.000","0.32","11000"
"Cape Breton","2020-07-01T00:00:00.000","0.3","26000"
"Province","2020-07-01T00:00:00.000","0.3","122000"
"Eastern Shore","2020-07-01T00:00:00.000","0.33","2000"
"South Shore","2020-07-01T00:00:00.000","0.36","13000"
"Halifax Metro","2020-07-01T00:00:00.000","0.28","48000"
"South Shore","2020-06-01T00:00:00.000","0.22","6000"
"Cape Breton","2020-06-01T00:00:00.000","0.16","12000"
"Northumberland Shore","2020-06-01T00:00:00.000","0.22","6000"
"Bay of Fundy/Annapolis Valley","2020-06-01T00:00:00.000","0.19","10000"
"Yarmouth/Acadian Shores","2020-06-01T00:00:00.000","0.23","1000"
"Province","2020-06-01T00:00:00.000","0.21","72000"
"Halifax Metro","2020-06-01T00:00:00.000","0.24","36000"
"Eastern Shore","2020-06-01T00:00:00.000","0.21","1000"
"Eastern Shore","2020-05-01T00:00:00.000","0.1",
"Cape Breton","2020-05-01T00:00:00.000","0.12","5000"
"Northumberland Shore","2020-05-01T00:00:00.000","0.12","3000"
"Bay of Fundy/Annapolis Valley","2020-05-01T00:00:00.000","0.15","7000"
"Yarmouth/Acadian Shores","2020-05-01T00:00:00.000","0.22","1000"
"Province","2020-05-01T00:00:00.000","0.19","53000"
"Halifax Metro","2020-05-01T00:00:00.000","0.24","34000"
"South Shore","2020-05-01T00:00:00.000","0.17","3000"
"South Shore","2020-04-01T00:00:00.000","0.18","3000"
"Halifax Metro","2020-04-01T00:00:00.000","0.21","29000"
"Eastern Shore","2020-04-01T00:00:00.000","0.07",
"Cape Breton","2020-04-01T00:00:00.000","0.08","3000"
"Northumberland Shore","2020-04-01T00:00:00.000","0.12","3000"
"Bay of Fundy/Annapolis Valley","2020-04-01T00:00:00.000","0.12","4000"
"Yarmouth/Acadian Shores","2020-04-01T00:00:00.000","0.19","1000"
"Province","2020-04-01T00:00:00.000","0.17","42000"
"Province","2020-03-01T00:00:00.000","0.29","94000"
"Halifax Metro","2020-03-01T00:00:00.000","0.35","61000"
"Yarmouth/Acadian Shores","2020-03-01T00:00:00.000","0.23","2000"
"Bay of Fundy/Annapolis Valley","2020-03-01T00:00:00.000","0.21","9000"
"South Shore","2020-03-01T00:00:00.000","0.2","4000"
"Northumberland Shore","2020-03-01T00:00:00.000","0.26","6000"
"Cape Breton","2020-03-01T00:00:00.000","0.24","10000"
"Eastern Shore","2020-03-01T00:00:00.000","0.11",
"South Shore","2020-02-01T00:00:00.000","0.29","7000"
"Bay of Fundy/Annapolis Valley","2020-02-01T00:00:00.000","0.36","16000"
"Northumberland Shore","2020-02-01T00:00:00.000","0.35","8000"
"Cape Breton","2020-02-01T00:00:00.000","0.35","14000"
"Eastern Shore","2020-02-01T00:00:00.000","0.19",
"Halifax Metro","2020-02-01T00:00:00.000","0.53","91000"
"Province","2020-02-01T00:00:00.000","0.45","140000"
"Yarmouth/Acadian Shores","2020-02-01T00:00:00.000","0.37","4000"
"Bay of Fundy/Annapolis Valley","2020-01-01T00:00:00.000","0.25","12000"
"Halifax Metro","2020-01-01T00:00:00.000","0.46","86000"
"South Shore","2020-01-01T00:00:00.000","0.17","4000"
"Yarmouth/Acadian Shores","2020-01-01T00:00:00.000","0.24","3000"
"Eastern Shore","2020-01-01T00:00:00.000","0.14",
"Cape Breton","2020-01-01T00:00:00.000","0.27","11000"
"Province","2020-01-01T00:00:00.000","0.37","124000"
"Northumberland Shore","2020-01-01T00:00:00.000","0.31","8000"
"Bay of Fundy/Annapolis Valley","2019-12-01T00:00:00.000","0.26","12000"
"Province","2019-12-01T00:00:00.000","0.36","125000"
"Yarmouth/Acadian Shores","2019-12-01T00:00:00.000","0.26","3000"
"Northumberland Shore","2019-12-01T00:00:00.000","0.32","8000"
"Cape Breton","2019-12-01T00:00:00.000","0.3","13000"
"Eastern Shore","2019-12-01T00:00:00.000","0.14",
"South Shore","2019-12-01T00:00:00.000","0.24","6000"
"Halifax Metro","2019-12-01T00:00:00.000","0.44","82000"
"Yarmouth/Acadian Shores","2019-11-01T00:00:00.000","0.37","4000"
"Province","2019-11-01T00:00:00.000","0.52","180000"
"Halifax Metro","2019-11-01T00:00:00.000","0.64","114000"
"South Shore","2019-11-01T00:00:00.000","0.31","9000"
"Eastern Shore","2019-11-01T00:00:00.000","0.23","1000"
"Cape Breton","2019-11-01T00:00:00.000","0.4","19000"
"Northumberland Shore","2019-11-01T00:00:00.000","0.46","12000"
"Bay of Fundy/Annapolis Valley","2019-11-01T00:00:00.000","0.44","21000"
"South Shore","2019-10-01T00:00:00.000","0.44","17000"
"Halifax Metro","2019-10-01T00:00:00.000","0.75","140000"
"Province","2019-10-01T00:00:00.000","0.61","265000"
"Yarmouth/Acadian Shores","2019-10-01T00:00:00.000","0.37","5000"
"Bay of Fundy/Annapolis Valley","2019-10-01T00:00:00.000","0.48","31000"
"Northumberland Shore","2019-10-01T00:00:00.000","0.52","18000"
"Cape Breton","2019-10-01T00:00:00.000","0.57","53000"
"Eastern Shore","2019-10-01T00:00:00.000","0.37","2000"
"Bay of Fundy/Annapolis Valley","2019-09-01T00:00:00.000","0.62","43000"
"Yarmouth/Acadian Shores","2019-09-01T00:00:00.000","0.54","7000"
"Northumberland Shore","2019-09-01T00:00:00.000","0.6","22000"
"Halifax Metro","2019-09-01T00:00:00.000","0.88","155000"
"Province","2019-09-01T00:00:00.000","0.71","317000"
"Cape Breton","2019-09-01T00:00:00.000","0.62","63000"
"South Shore","2019-09-01T00:00:00.000","0.62","26000"
"Eastern Shore","2019-09-01T00:00:00.000","0.41","3000"
"Cape Breton","2019-08-01T00:00:00.000","0.78","83000"
"Bay of Fundy/Annapolis Valley","2019-08-01T00:00:00.000","0.53","56000"
"Halifax Metro","2019-08-01T00:00:00.000","0.83","185000"
"South Shore","2019-08-01T00:00:00.000","0.74","32000"
"Province","2019-08-01T00:00:00.000","0.73","397000"
"Northumberland Shore","2019-08-01T00:00:00.000","0.64","31000"
"Eastern Shore","2019-08-01T00:00:00.000","0.54","4000"
"Yarmouth/Acadian Shores","2019-08-01T00:00:00.000","0.56","8000"
"Northumberland Shore","2019-07-01T00:00:00.000","0.44","30000"
"Province","2019-07-01T00:00:00.000","0.64","372000"
"South Shore","2019-07-01T00:00:00.000","0.62","27000"
"Yarmouth/Acadian Shores","2019-07-01T00:00:00.000","0.5","7000"
"Bay of Fundy/Annapolis Valley","2019-07-01T00:00:00.000","0.42","49000"
"Halifax Metro","2019-07-01T00:00:00.000","0.8","181000"
"Eastern Shore","2019-07-01T00:00:00.000","0.48","3000"
"Cape Breton","2019-07-01T00:00:00.000","0.7","75000"
"Cape Breton","2019-06-01T00:00:00.000","0.46","47000"
"Eastern Shore","2019-06-01T00:00:00.000","0.35","2000"
"Halifax Metro","2019-06-01T00:00:00.000","0.71","156000"
"Northumberland Shore","2019-06-01T00:00:00.000","0.29","19000"
"Bay of Fundy/Annapolis Valley","2019-06-01T00:00:00.000","0.31","35000"
"Yarmouth/Acadian Shores","2019-06-01T00:00:00.000","0.38","5000"
"South Shore","2019-06-01T00:00:00.000","0.47","19000"
"Province","2019-06-01T00:00:00.000","0.51","284000"
"Bay of Fundy/Annapolis Valley","2019-05-01T00:00:00.000","0.25","27000"
"Yarmouth/Acadian Shores","2019-05-01T00:00:00.000","0.36","5000"
"South Shore","2019-05-01T00:00:00.000","0.33","13000"
"Province","2019-05-01T00:00:00.000","0.43","231000"
"Northumberland Shore","2019-05-01T00:00:00.000","0.35","18000"
"Halifax Metro","2019-05-01T00:00:00.000","0.59","137000"
"Eastern Shore","2019-05-01T00:00:00.000","0.2","1000"
"Cape Breton","2019-05-01T00:00:00.000","0.35","29000"
"Cape Breton","2019-04-01T00:00:00.000","0.35","17000"
"Eastern Shore","2019-04-01T00:00:00.000","0.15",
"Halifax Metro","2019-04-01T00:00:00.000","0.64","108000"
"Northumberland Shore","2019-04-01T00:00:00.000","0.34","9000"
"Province","2019-04-01T00:00:00.000","0.49","162000"
"South Shore","2019-04-01T00:00:00.000","0.27","8000"
"Yarmouth/Acadian Shores","2019-04-01T00:00:00.000","0.35","4000"
"Bay of Fundy/Annapolis Valley","2019-04-01T00:00:00.000","0.33","15000"
"Province","2019-03-01T00:00:00.000","0.5","169000"
"South Shore","2019-03-01T00:00:00.000","0.33","10000"
"Halifax Metro","2019-03-01T00:00:00.000","0.63","110000"
"Eastern Shore","2019-03-01T00:00:00.000","0.09",
"Cape Breton","2019-03-01T00:00:00.000","0.42","19000"
"Northumberland Shore","2019-03-01T00:00:00.000","0.39","10000"
"Bay of Fundy/Annapolis Valley","2019-03-01T00:00:00.000","0.36","17000"
"Yarmouth/Acadian Shores","2019-03-01T00:00:00.000","0.32","4000"
"South Shore","2019-02-01T00:00:00.000","0.35","9000"
"Halifax Metro","2019-02-01T00:00:00.000","0.51","81000"
"Eastern Shore","2019-02-01T00:00:00.000","0.09",
"Cape Breton","2019-02-01T00:00:00.000","0.44","18000"
"Northumberland Shore","2019-02-01T00:00:00.000","0.33","8000"
"Bay of Fundy/Annapolis Valley","2019-02-01T00:00:00.000","0.32","14000"
"Yarmouth/Acadian Shores","2019-02-01T00:00:00.000","0.35","4000"
"Province","2019-02-01T00:00:00.000","0.44","133000"
"South Shore","2019-01-01T00:00:00.000","0.21","6000"
"Halifax Metro","2019-01-01T00:00:00.000","0.43","75000"
"Eastern Shore","2019-01-01T00:00:00.000","0.11",
"Cape Breton","2019-01-01T00:00:00.000","0.28","13000"
"Northumberland Shore","2019-01-01T00:00:00.000","0.29","8000"
"Bay of Fundy/Annapolis Valley","2019-01-01T00:00:00.000","0.26","12000"
"Yarmouth/Acadian Shores","2019-01-01T00:00:00.000","0.28","3000"
"Province","2019-01-01T00:00:00.000","0.35","117000"
"Province","2018-12-01T00:00:00.000","0.36","119000"
"Yarmouth/Acadian Shores","2018-12-01T00:00:00.000","0.26","3000"
"Bay of Fundy/Annapolis Valley","2018-12-01T00:00:00.000","0.29","13000"
"Northumberland Shore","2018-12-01T00:00:00.000","0.29","8000"
"Cape Breton","2018-12-01T00:00:00.000","0.33","15000"
"Eastern Shore","2018-12-01T00:00:00.000","0.27","1000"
"Halifax Metro","2018-12-01T00:00:00.000","0.42","73000"
"South Shore","2018-12-01T00:00:00.000","0.27","8000"
"South Shore","2018-11-01T00:00:00.000","0.34","9000"
"Halifax Metro","2018-11-01T00:00:00.000","0.63","107000"
"Eastern Shore","2018-11-01T00:00:00.000","0.3","1000"
"Cape Breton","2018-11-01T00:00:00.000","0.42","19000"
"Northumberland Shore","2018-11-01T00:00:00.000","0.41","11000"
"Bay of Fundy/Annapolis Valley","2018-11-01T00:00:00.000","0.42","20000"
"Yarmouth/Acadian Shores","2018-11-01T00:00:00.000","0.36","4000"
"Province","2018-11-01T00:00:00.000","0.51","171000"
"Province","2018-10-01T00:00:00.000","0.61","257000"
"Yarmouth/Acadian Shores","2018-10-01T00:00:00.000","0.48","6000"
"South Shore","2018-10-01T00:00:00.000","0.42","16000"
"Bay of Fundy/Annapolis Valley","2018-10-01T00:00:00.000","0.53","33000"
"Northumberland Shore","2018-10-01T00:00:00.000","0.5","18000"
"Cape Breton","2018-10-01T00:00:00.000","0.55","50000"
"Eastern Shore","2018-10-01T00:00:00.000","0.39","2000"
"Halifax Metro","2018-10-01T00:00:00.000","0.76","133000"
"Yarmouth/Acadian Shores","2018-09-01T00:00:00.000","0.73","9000"
"Province","2018-09-01T00:00:00.000","0.74","323000"
"South Shore","2018-09-01T00:00:00.000","0.65","27000"
"Halifax Metro","2018-09-01T00:00:00.000","0.87","148000"
"Eastern Shore","2018-09-01T00:00:00.000","0.54","4000"
"Cape Breton","2018-09-01T00:00:00.000","0.67","68000"
"Northumberland Shore","2018-09-01T00:00:00.000","0.65","24000"
"Bay of Fundy/Annapolis Valley","2018-09-01T00:00:00.000","0.65","45000"
"Yarmouth/Acadian Shores","2018-08-01T00:00:00.000","0.81","11000"
"Province","2018-08-01T00:00:00.000","0.75","412000"
"South Shore","2018-08-01T00:00:00.000","0.76","33000"
"Halifax Metro","2018-08-01T00:00:00.000","0.8","177000"
"Eastern Shore","2018-08-01T00:00:00.000","0.59","4000"
"Cape Breton","2018-08-01T00:00:00.000","0.79","86000"
"Northumberland Shore","2018-08-01T00:00:00.000","0.7","36000"
"Bay of Fundy/Annapolis Valley","2018-08-01T00:00:00.000","0.64","66000"
"South Shore","2018-07-01T00:00:00.000","0.65","28000"
"Yarmouth/Acadian Shores","2018-07-01T00:00:00.000","0.73","10000"
"Province","2018-07-01T00:00:00.000","0.65","374000"
"Bay of Fundy/Annapolis Valley","2018-07-01T00:00:00.000","0.51","58000"
"Northumberland Shore","2018-07-01T00:00:00.000","0.47","30000"
"Cape Breton","2018-07-01T00:00:00.000","0.68","74000"
"Eastern Shore","2018-07-01T00:00:00.000","0.47","3000"
"Halifax Metro","2018-07-01T00:00:00.000","0.76","171000"
"Province","2018-06-01T00:00:00.000","0.53","293000"
"Yarmouth/Acadian Shores","2018-06-01T00:00:00.000","0.56","7000"
"South Shore","2018-06-01T00:00:00.000","0.48","20000"
"Halifax Metro","2018-06-01T00:00:00.000","0.73","160000"
"Eastern Shore","2018-06-01T00:00:00.000","0.3","2000"
"Cape Breton","2018-06-01T00:00:00.000","0.48","49000"
"Northumberland Shore","2018-06-01T00:00:00.000","0.34","21000"
"Bay of Fundy/Annapolis Valley","2018-06-01T00:00:00.000","0.31","35000"
"Halifax Metro","2018-05-01T00:00:00.000","0.63","141000"
"Yarmouth/Acadian Shores","2018-05-01T00:00:00.000","0.44","5000"
"South Shore","2018-05-01T00:00:00.000","0.34","13000"
"Province","2018-05-01T00:00:00.000","0.45","234000"
"Bay of Fundy/Annapolis Valley","2018-05-01T00:00:00.000","0.25","26000"
"Northumberland Shore","2018-05-01T00:00:00.000","0.31","18000"
"Cape Breton","2018-05-01T00:00:00.000","0.37","30000"
"Eastern Shore","2018-05-01T00:00:00.000","0.24","1000"
"Halifax Metro","2018-04-01T00:00:00.000","0.68","115000"
"Province","2018-04-01T00:00:00.000","0.52","174000"
"Yarmouth/Acadian Shores","2018-04-01T00:00:00.000","0.66","7000"
"Bay of Fundy/Annapolis Valley","2018-04-01T00:00:00.000","0.37","17000"
"Northumberland Shore","2018-04-01T00:00:00.000","0.33","9000"
"Cape Breton","2018-04-01T00:00:00.000","0.32","16000"
"Eastern Shore","2018-04-01T00:00:00.000","0.15",
"South Shore","2018-04-01T00:00:00.000","0.29","9000"
"Yarmouth/Acadian Shores","2018-03-01T00:00:00.000","0.34","4000"
"Province","2018-03-01T00:00:00.000","0.51","171000"
"South Shore","2018-03-01T00:00:00.000","0.31","9000"
"Halifax Metro","2018-03-01T00:00:00.000","0.65","113000"
"Eastern Shore","2018-03-01T00:00:00.000","0.15",
"Cape Breton","2018-03-01T00:00:00.000","0.36","17000"
"Northumberland Shore","2018-03-01T00:00:00.000","0.35","9000"
"Bay of Fundy/Annapolis Valley","2018-03-01T00:00:00.000","0.39","19000"
"South Shore","2018-02-01T00:00:00.000","0.27","7000"
"Halifax Metro","2018-02-01T00:00:00.000","0.5","79000"
"Eastern Shore","2018-02-01T00:00:00.000","0.15",
"Cape Breton","2018-02-01T00:00:00.000","0.31","13000"
"Northumberland Shore","2018-02-01T00:00:00.000","0.35","8000"
"Bay of Fundy/Annapolis Valley","2018-02-01T00:00:00.000","0.33","15000"
"Yarmouth/Acadian Shores","2018-02-01T00:00:00.000","0.34","4000"
"Province","2018-02-01T00:00:00.000","0.41","126000"
"South Shore","2018-01-01T00:00:00.000","0.2","6000"
"Halifax Metro","2018-01-01T00:00:00.000","0.44","77000"
"Eastern Shore","2018-01-01T00:00:00.000","0.12",
"Cape Breton","2018-01-01T00:00:00.000","0.26","12000"
"Northumberland Shore","2018-01-01T00:00:00.000","0.33","8000"
"Bay of Fundy/Annapolis Valley","2018-01-01T00:00:00.000","0.26","13000"
"Yarmouth/Acadian Shores","2018-01-01T00:00:00.000","0.24","3000"
"Province","2018-01-01T00:00:00.000","0.35","118000"
"Cape Breton","2017-12-01T00:00:00.000","0.28","14000"
"South Shore","2017-12-01T00:00:00.000","0.27","8000"
"Halifax Metro","2017-12-01T00:00:00.000","0.43","76000"
"Bay of Fundy/Annapolis Valley","2017-12-01T00:00:00.000","0.33","15000"
"Eastern Shore","2017-12-01T00:00:00.000","0.13","0"
"Northumberland Shore","2017-12-01T00:00:00.000","0.31","8000"
