"company_name","parent_company_name","production_title","application_type_part_a_or","amount_of_credit_provided","approval_date"
"Comedy TV 15 Inc.","Pilot Light Productions","Halifax Comedy Festival 2015","B","140562","2016-08-25T00:00:00.000"
"Santa Quest Films Inc.","Tell Tale Productions Inc.","Santa Quest","B","165115","2016-08-15T00:00:00.000"
"Huminah Huminah Animation Limited",,"Cultivators (Part 2)","B","119538","2016-09-21T00:00:00.000"
"PSC Services Ltd.","Story House Productions Ltd.","Copy Cat Killers","B","170639","2016-09-21T00:00:00.000"
"Tell Tale International Inc.",,"The Curse of Oak Island - Season 2","B","272043","2016-10-14T00:00:00.000"
"Short Stop Pictures VIII Ltd.",,"Short Film Face Off VIII","B","73004","2016-11-10T00:00:00.000"
"Brojects NS Limited","Farmhouse Productions Limited","Brojects","B","48364","2016-11-10T00:00:00.000"
"3267176 Nova Scotia Limited","Portcullis Motion Pictures Inc.","Scars of Shame","B","3375","2016-11-10T00:00:00.000"
"DSGFY Films Incorporated","Swear Net Holdings Incorporated","Trailer Park Boys - Drunk, High And Unemployed","B","385015","2016-11-30T00:00:00.000"
"Fallen Soldiers2 Productions Inc.","Clerisy Management Group Limited","The Citizen Soldiers","B","136172","2016-12-01T00:00:00.000"
"Ghost Coast Productions Inc.","Clerisy Management Group Limited","The Ghost Coast","B","148182","2016-12-01T00:00:00.000"
"40 Second Productions Inc.","Clerisy Management Group Limited","Beyond The Game","B","136175","2016-12-01T00:00:00.000"
"Healer Productions Limited","Topsail Productions Limited","The Healer","B","1513601","2016-12-05T00:00:00.000"
"All About Me Productions Inc.","Creative Atlantic Communications Ltd.","New Rural 5","B","169267","2016-12-08T00:00:00.000"
"Copernicus Animation Inc.","Copernicus Studios Inc.","Teen Titans Go Season 3","B","736703","2016-12-16T00:00:00.000"
"3206674 Nova Scotia Limited",,"Bob's Broken Sleigh (Part 2)","B","10835","2016-12-20T00:00:00.000"
"3274754 Nova Scotia Limited","Portcullis Motion Pictures Inc.","Roundabout","B","200723","2017-01-12T00:00:00.000"
"Copernicus Studios California Inc.","Copernicus Studios Inc.","Pickle & Peanut","B","1942562","2017-01-12T00:00:00.000"
"Fanatic Films Inc.","Ruby Tree Films Inc.","Tesla's Children","B","34845","2017-01-12T00:00:00.000"
"Cartoon Conrad Productions Incorporated",,"Kulipari - Army Of Frogs Part 2","B","218410","2017-01-26T00:00:00.000"
"Tell Tale Productions Inc.",,"Tall Ship Odyssey","B","32860","2017-01-26T00:00:00.000"
"DHX-Inspector Gadget Productions Inc.","DHX Media (Halifax) Ltd.","Inspector Gadget","B","2892093","2017-01-26T00:00:00.000"
"Sunnyvale Productions 10 Inc.","Swear Net Holdings Inc.","Trailer Park Boys - Season 10","B","1762424","2017-01-26T00:00:00.000"
"Hope for Wildlife 7 Productions Inc.","Arcadia Entertainment Inc.","Hope for Wildlife (Season 7)","B","556432","2017-01-26T00:00:00.000"
"Twice as Penitent Pictures Inc.","Emotion Pictures Inc.","Forgive Me - Season 2","B","278970","2017-02-07T00:00:00.000"
"Studio Black Productions Ltd.","Picture Plant Ltd.","Studio Black!","B","228411","2017-03-01T00:00:00.000"
"Coastline 5 Productions Inc.","Arcadia Entertainment Inc.","America Over the Edge","B","441930","2017-03-01T00:00:00.000"
"The World Beneath Productions Inc.",,"Ingrid and the Black Hole","B","11742","2017-04-25T00:00:00.000"
"Mazeking Pictures Inc.",,"North Mountain","B","65636","2017-05-01T00:00:00.000"
"Cartoon Conrad Productions Incorporated",,"Kulipari - Army of Frogs Part 3","B","246036","2017-06-29T00:00:00.000"
"The Ohmies Production (NS) Inc.","Boulevard Productions Inc.","The Moblees - Season 1","B","712496","2017-07-17T00:00:00.000"
"Jesse Stone Productions Inc.",,"Jesse Stone Lost In Paradise","B","841167","2017-08-01T00:00:00.000"
"Tell Tale International Inc.","Tell Tale Productions Inc.","The Curse of Oak Island Season 3","B","536458","2017-09-21T00:00:00.000"
"Dawggone Productions Inc.",,"DAWG - A short film by Shelley Thompson","B","6925","2017-10-13T00:00:00.000"
"Arcadia Wild Inc.","Arcadia Entertainment Inc.","Reef Wrecks","B","120676","2017-10-18T00:00:00.000"
"Fancy Monster Media Inc.",,"Hillsburn: A Band Becomes","B","30055","2017-10-25T00:00:00.000"
"Arcadia Wild Inc.","Arcadia Entertainment Inc.","Ocean Parks","B","160998","2017-10-25T00:00:00.000"
"Shut up and Deal Films Inc.",,"Your Money or Your Wife","B","50154","2017-11-09T00:00:00.000"
"Arcadia Wild Inc.","Arcadia Entertainment Inc.","Animal Empires","B","201348","2017-11-14T00:00:00.000"
"Fancy Monster Media Inc.",,"Ben Caplan: The Second Album Story","B","35302","2017-11-14T00:00:00.000"
"Fancy Monster Media Inc.",,"Jon Mullane: Shine On","B","36604","2017-11-14T00:00:00.000"
"3276620 Nova Scotia Limited","Tell Tale Productions Inc.","A TV Renaissance","B","161405","2017-11-14T00:00:00.000"
"Maritime Vignettes V Inc.","Tell Tale Productions Inc.","Maritime Vignettes V","B","176329","2017-11-14T00:00:00.000"
"Forever Young Films Inc.","Tell Tale Productions Inc.","Forever Young","B","152686","2017-11-14T00:00:00.000"
"Mr. D S5 Productions Limited","Topsail Productions Limited","Mr. D Season 5","B","2251080","2017-12-08T00:00:00.000"
"Arcadia Wild Inc.","Arcadia Entertainment Inc.","Wild Wild East","B","307871","2017-12-21T00:00:00.000"
"Arcadia Wild Inc.","Arcadia Entertainment Inc.","The Living Beach","B","171211","2017-12-21T00:00:00.000"
"Dream Street SMP Pictures Inc.","Dream Street Pictures NS Inc.","Pets, Vets and Debts (Save My Pets)","B","104972","2017-12-21T00:00:00.000"
"DHX Halifax Production Services Ltd.","DHX Media (Halifax) Ltd","Little People - 2013 Production (Season 1)","B","210602","2017-12-21T00:00:00.000"
"670056 NB INC.","Productions Kunakan","La Cle Du Studio","B","163415","2017-12-21T00:00:00.000"
"Bounty Films Inc.","Tell Tale Productions Inc.","Bounty: Into the Hurricane","B","43256","2017-12-21T00:00:00.000"
"Winter Light Productions Limited",,"Steven Greer: The UFO Phenomenon - The Disclosure Imperative","B","5750","2018-02-01T00:00:00.000"
"Starhawk Productions Inc.","Winter Light Productions Limited","Exit Thread","B","258679","2018-02-20T00:00:00.000"
"Perfume War Productions Incorporated",,"Perfume War","B","99282","2018-02-20T00:00:00.000"
"3286993 Nova Scotia Limited",,"Pour L'Amour Du Country XIII","B","219925","2018-02-20T00:00:00.000"
"Maritime Vignettes VI Inc.","Tell Tale Productions Inc.","Maritime Vignettes VI","B","71455","2018-04-04T00:00:00.000"
"AQR Film Inc.","John Walker Productions Limited","Quebec My Country Mon Pays","B","189478","2018-04-20T00:00:00.000"
"Les Productions du 4E Mur Inc.",,"En Francais S.V.P.","B","18649","2018-05-24T00:00:00.000"
"Brojects NS Limited","Farmhouse Productions Limited","Brojects Season 2","B","72375","2018-07-30T00:00:00.000"
"Brojects NS Limited","Farmhouse Productions Ltd.","Brojects (III)","B","87761","2019-02-04T00:00:00.000"
"Brojects NS Limited","Farmhouse Productions Ltd.","Brojects: In the House (I)","B","82456","2019-02-04T00:00:00.000"
"DHX Halifax Production Services Ltd.","DHX Media (Halifax) Ltd.","Little People - Season I","B","2593106","2019-02-26T00:00:00.000"
"DHX-Hour Productions (NS) XXIII Inc.","DHX Media (Halifax) Ltd.","This Hour Has 22 Minutes XXIII","B","2697335","2019-03-01T00:00:00.000"
"DHX-Superwhy Productions 3 Inc.","DHX Media (Toronto) Ltd.","SuperWHY Season III","B","2394864","2019-03-01T00:00:00.000"
"Clayspov Inc.","Alexander Sextus Limited","Clay'S P.O.V. (14 -26) - Season 2","B","261123","2019-04-23T00:00:00.000"
"Everyone's Famous Productions Inc.","Gorgeous Mistake Productions Inc.","Everyone's Famous Season Two","B","57774","2019-04-23T00:00:00.000"
"Moblees Season 2 (NS) Inc.","Boulevard Productions Inc.","Moblees Season II","B","578454","2019-10-09T00:00:00.000"
"Only Me Productions Limited",,"The Only Game In Town","B","72753","2020-02-28T00:00:00.000"
