"yearmonth","casecategorykey","n_disposed","n_assigned","clearance_rate","casecategorykey_long"
"2021-04-30T00:00:00.000","CV","463","480","0.9646","Civil"
"2021-04-30T00:00:00.000","FAM","504","535","0.9421","Family"
"2021-05-31T00:00:00.000","CR","350","252","1.3889","Criminal"
"2021-05-31T00:00:00.000","CV","422","390","1.0821","Civil"
"2021-05-31T00:00:00.000","FAM","421","475","0.8863","Family"
"2021-06-30T00:00:00.000","CR","307","1078","0.2848","Criminal"
"2021-06-30T00:00:00.000","CV","494","747","0.6613","Civil"
"2021-06-30T00:00:00.000","FAM","528","564","0.9362","Family"
"2021-07-31T00:00:00.000","CR","195","282","0.6915","Criminal"
"2021-07-31T00:00:00.000","CV","382","455","0.8396","Civil"
"2021-07-31T00:00:00.000","FAM","455","483","0.942","Family"
"2021-08-31T00:00:00.000","CR","327","630","0.519","Criminal"
"2021-08-31T00:00:00.000","CV","515","864","0.5961","Civil"
"2021-08-31T00:00:00.000","FAM","483","566","0.8534","Family"
"2021-09-30T00:00:00.000","CR","358","495","0.7232","Criminal"
"2021-09-30T00:00:00.000","CV","417","451","0.9246","Civil"
"2021-09-30T00:00:00.000","FAM","393","527","0.7457","Family"
"2021-10-31T00:00:00.000","CR","282","421","0.6698","Criminal"
"2021-10-31T00:00:00.000","CV","446","416","1.0721","Civil"
"2021-10-31T00:00:00.000","FAM","537","500","1.074","Family"
"2021-11-30T00:00:00.000","CR","243","334","0.7275","Criminal"
"2021-11-30T00:00:00.000","CV","392","412","0.9515","Civil"
"2021-11-30T00:00:00.000","FAM","404","439","0.9203","Family"
"2021-12-31T00:00:00.000","CR","221","418","0.5287","Criminal"
"2021-12-31T00:00:00.000","CV","458","542","0.845","Civil"
"2021-12-31T00:00:00.000","FAM","415","416","0.9976","Family"
"2022-01-31T00:00:00.000","CR","194","607","0.3196","Criminal"
"2022-01-31T00:00:00.000","CV","472","649","0.7273","Civil"
"2022-01-31T00:00:00.000","FAM","449","466","0.9635","Family"
"2022-02-28T00:00:00.000","CR","263","562","0.468","Criminal"
"2022-02-28T00:00:00.000","CV","486","825","0.5891","Civil"
"2022-02-28T00:00:00.000","FAM","512","489","1.047","Family"
"2022-03-31T00:00:00.000","CR","357","595","0.6","Criminal"
"2022-03-31T00:00:00.000","CV","548","636","0.8616","Civil"
"2022-03-31T00:00:00.000","FAM","548","605","0.9058","Family"
"2022-04-30T00:00:00.000","CR","274","544","0.5037","Criminal"
"2022-04-30T00:00:00.000","CV","589","508","1.1594","Civil"
"2022-04-30T00:00:00.000","FAM","453","508","0.8917","Family"
"2022-05-31T00:00:00.000","CR","287","422","0.6801","Criminal"
"2022-05-31T00:00:00.000","CV","523","592","0.8834","Civil"
"2022-05-31T00:00:00.000","FAM","445","473","0.9408","Family"
"2022-06-30T00:00:00.000","CR","303","868","0.3491","Criminal"
"2022-06-30T00:00:00.000","CV","576","745","0.7732","Civil"
"2022-06-30T00:00:00.000","FAM","514","501","1.0259","Family"
"2022-07-31T00:00:00.000","CR","217","479","0.453","Criminal"
"2022-07-31T00:00:00.000","CV","518","450","1.1511","Civil"
"2022-07-31T00:00:00.000","FAM","414","471","0.879","Family"
"2022-08-31T00:00:00.000","CR","353","503","0.7018","Criminal"
"2022-08-31T00:00:00.000","CV","430","552","0.779","Civil"
"2022-08-31T00:00:00.000","FAM","413","459","0.8998","Family"
