"the_geom","objectid","block_face","globalidte","globalid","globalid_1","ns_ew","street_1","from_sor_1","to_nore_1","side_1","location_i","total_sp_1","spaces_by_","space_reg","order_","metered","limits","reg_code","definition","enforce_be","enforce_en","enforce_da","meter_rate","permit_typ","notes","feet","enforcebeg","enforceend","parkingt","globalid_2","shape_len"
"MULTILINESTRING ((-122.26760082945417 37.80042854246154, -122.26699906278259 37.80019494557468))","18","130953","{5C478DE8-EC35-45CC-B89B-FC371AD5A5AA}","{01A2CDB0-8BBE-4640-87AA-101FF44F2898}","{01A2CDB0-8BBE-4640-87AA-101FF44F2898}_3","E-W","11th","JACKSON","ALICE","North","11th from JACKSON to ALICE , North","11.0","6.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"193.55507318","8:00 AM","6:00 PM","0","{8156CFBD-211D-48DA-ADF7-CA1E944459B1}","193.555204306"
"MULTILINESTRING ((-122.26543459254353 37.80027208174036, -122.26591398426893 37.800461377564574))","19","130990","{CB358AA2-9C6B-496D-A5F8-FB09ECDAB7FC}","{25D022CC-B05F-4FD4-AA3C-921C810DC06A}","{25D022CC-B05F-4FD4-AA3C-921C810DC06A}_2","E-W","12th","JACKSON","MADISON","South","12th from JACKSON to MADISON , South","10.0","6.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"154.70976014","8:00 AM","6:00 PM","0","{8761D05E-4D23-4E14-9191-9434333CB003}","154.709915003"
"MULTILINESTRING ((-122.26957588421214 37.800189589907305, -122.26979333315577 37.80027674175409))","20","131011","{858CA43B-A188-454E-88EC-017CDF28C9AD}","{79D8A65F-7C83-4E60-96DC-F7C01DD92E40}","{79D8A65F-7C83-4E60-96DC-F7C01DD92E40}_5","E-W","10th","WEBSTER ST","HARRISON","South","10th from WEBSTER ST to HARRISON , South","13.0","3.0","Yellow Curb","5.0",,,,,,,,,,,"70.38581649",,,"0","{763F67F4-2326-44FB-814B-8F896173C3EE}","70.3857847189"
"MULTILINESTRING ((-122.26593026027103 37.8006210949061, -122.26511071541361 37.80029567265994))","21","131049","{ABAA2FAF-36BE-44B3-A3C7-13A0F5A1404F}","{947B420D-2E40-4ED2-981D-7ACB15D4ED73}","{947B420D-2E40-4ED2-981D-7ACB15D4ED73}_2","E-W","12th","MADISON","JACKSON","North","12th from MADISON to JACKSON , North","11.0","10.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"264.77896652","8:00 AM","6:00 PM","0","{39142B93-D3E3-4A3E-A16B-17659C4A5EC2}","264.778805409"
"MULTILINESTRING ((-122.26993412850568 37.800488175261734, -122.269376298925 37.80026182082427))","22","131072","{484EB437-CBA7-4F94-AF9F-167DB681D7E5}","{0EAB120D-C6A0-45D9-B90F-909F1020EEFA}","{0EAB120D-C6A0-45D9-B90F-909F1020EEFA}_1","E-W","10th","HARRISON","WEBSTER","North","10th from HARRISON to WEBSTER , North","12.0","7.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"181.02167529","8:00 AM","6:00 PM","0","{A59FE41C-9278-4E23-82F1-139B328BA3F1}","181.021660258"
"MULTILINESTRING ((-122.26796395478584 37.80041922855552, -122.26853091831536 37.80063886588521))","23","131119","{19C02D8C-8081-47AB-A9DE-B62F48D03192}","{7D4189D5-4740-4110-851A-532B7A1ED6C1}","{7D4189D5-4740-4110-851A-532B7A1ED6C1}_2","E-W","11th","HARRISON","ALICE","South","11th from HARRISON to ALICE , South","8.0","8.0","Meter","2.0","Y","2-hr",,,,,"Mon - Sat","$2.00 per hour",,,"182.28858684",,,"0","{3E531FC5-AD4B-42D5-8E77-653D4613632A}","182.288654347"
"MULTILINESTRING ((-122.26877964002628 37.8008880143478, -122.26815896344385 37.80064430273416))","24","131174","{BF990BB5-0C04-4E8B-8AD9-6BB85CCC4D86}","{237CA7C5-6CEB-4D2D-A8D3-F02942E0B9C0}","{237CA7C5-6CEB-4D2D-A8D3-F02942E0B9C0}_3","E-W","11th","ALICE","HARRISON","North","11th from ALICE to HARRISON , North","9.0","6.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"200.08269115","8:00 AM","6:00 PM","0","{B74E3251-80B1-4977-B4CA-F45962004B35}","200.082466545"
"MULTILINESTRING ((-122.26730168707071 37.800915381087535, -122.26753762099476 37.80053141199887))","25","131236","{B1DC0BDA-6435-4213-8118-96F68CA4B17E}","{D119F2EF-337A-48E5-B8AA-07C97C6F50AE}","{D119F2EF-337A-48E5-B8AA-07C97C6F50AE}_2","N-S","ALICE","11th","12th","East","ALICE from 11th to 12th , East","8.0","7.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"155.54438012","8:00 AM","6:00 PM","0","{CA043EC6-466F-4C73-8135-D0C2CF2B35A9}","155.544306751"
"MULTILINESTRING ((-122.26626967709765 37.800603725095336, -122.26702030283033 37.80090952504504))","26","131237","{CAF9C919-4954-4C12-8757-629A7684DF56}","{4802277B-3BE9-4A6C-90BD-0E308A7654A7}","{4802277B-3BE9-4A6C-90BD-0E308A7654A7}_2","E-W","12th","ALICE","JACKSON","South","12th from ALICE to JACKSON , South","10.0","10.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"243.78641554","8:00 AM","6:00 PM","0","{ABF0AFDA-9335-4716-A2E7-419944CF3C99}","243.786545852"
"MULTILINESTRING ((-122.2675956317531 37.80074949515443, -122.26740304748017 37.80106373259486))","27","131265","{EEB90F6D-E722-44AE-AD42-087BC6B78B6F}","{EACC73A9-0095-4689-9839-D706C5A8061D}","{EACC73A9-0095-4689-9839-D706C5A8061D}_1","N-S","ALICE","12th","11th","West","ALICE from 12th to 11th , West","8.0","6.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"127.23250586","8:00 AM","6:00 PM","0","{E277B5DA-7AB2-4677-B5B5-FD8E04D2094C}","127.232712471"
"MULTILINESTRING ((-122.26699740215092 37.801054534367275, -122.26637674808961 37.80080169042545))","28","131290","{89C91D6D-796D-4CE0-BC5E-BBF13CA2FBC5}","{99C84167-1E9E-4473-A96C-C9B8CC068077}","{99C84167-1E9E-4473-A96C-C9B8CC068077}_2","E-W","12th","JACKSON","ALICE","North","12th from JACKSON to ALICE , North","10.0","10.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"201.57324507","8:00 AM","6:00 PM","0","{E468B6BC-38D8-4103-BAE1-1787D6F8C93B}","201.573204106"
"MULTILINESTRING ((-122.26471660407692 37.80085217345751, -122.26491598777646 37.8009291246918))","29","131315","{32A66E69-1A55-4392-B062-7BAF26F9EE82}","{FC82F333-8519-48C0-B001-D5B54BDF5B01}","{FC82F333-8519-48C0-B001-D5B54BDF5B01}_7","E-W","13th","JACKSON","MADISON","South","13th from JACKSON to MADISON , South","7.0","3.0","Meter","7.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"64.05873481","8:00 AM","6:00 PM","0","{2201FC5D-AAFB-4377-B6B8-23D0184F8CFE}","64.0590663477"
"MULTILINESTRING ((-122.26901230788636 37.80082590959179, -122.26955242757539 37.80103602361429))","30","131324","{A9B0E81D-557F-4947-AE8D-F9DAEF691457}","{92ECCD8F-897C-4F21-9BDD-880C031F93FA}","{92ECCD8F-897C-4F21-9BDD-880C031F93FA}_3","E-W","11th","WEBSTER ST","HARRISON","South","11th from WEBSTER ST to HARRISON , South","12.0","7.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"173.79724913","8:00 AM","6:00 PM","0","{3D036D44-B1BC-44A5-830E-B65AC8E29009}","173.797280388"
"MULTILINESTRING ((-122.26548426352828 37.8013066803847, -122.26471167085927 37.80100386423259))","31","131359","{80AE11A6-C736-42BB-8FF2-1E3239D0B23B}","{FF397D9F-97F5-4FA8-A8C8-612CE8FDBCCC}","{FF397D9F-97F5-4FA8-A8C8-612CE8FDBCCC}_2","E-W","13th","MADISON","JACKSON","North","13th from MADISON to JACKSON , North","13.0","13.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"248.96540856","8:00 AM","6:00 PM","0","{4528F227-37D6-4681-9352-4EEC744BB163}","248.965256659"
"MULTILINESTRING ((-122.269967469625 37.801356056428766, -122.26893486879801 37.800948700463366))","32","131372","{8609E4D6-1E09-4826-BA4F-56363642E9E6}","{12BE2436-8C8F-4695-B835-724A9709E588}","{12BE2436-8C8F-4695-B835-724A9709E588}_","E-W","11th","HARRISON","WEBSTER","North","11th from HARRISON to WEBSTER , North","9.0","9.0","Meter","0.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"333.17726913","8:00 AM","6:00 PM","0","{02935C7F-11A9-47E1-8B2B-1781BE077679}","333.177228492"
"MULTILINESTRING ((-122.2632126508979 37.80112484220458, -122.26379655247659 37.80134957398123))","33","131405","{E4ECAABF-0651-4449-9F25-0A4654F2F082}","{90172484-65C8-4734-8592-4222F05F0E24}","{90172484-65C8-4734-8592-4222F05F0E24}_3","E-W","14th","MADISON","LAKESIDE/OAK","South","14th from MADISON to LAKESIDE/OAK , South","10.0","9.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"187.49907207","8:00 AM","6:00 PM","0","{F756ACBC-E89B-4525-84E7-AF8498633768}","187.49931421"
"MULTILINESTRING ((-122.2684749183563 37.80138255378327, -122.26877964002628 37.8008880143478))","34","131410","{00045104-6538-4A0C-A0DA-86C2CDF115E9}","{A0A6E2AC-5066-48B3-A29B-AAAAD08B7EF7}","{A0A6E2AC-5066-48B3-A29B-AAAAD08B7EF7}_1","N-S","HARRISON","11th","12th","East","HARRISON from 11th to 12th , East","4.0","4.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"200.44319466","8:00 AM","6:00 PM","0","{67B669CA-1998-4537-BA4E-6C807843273E}","200.443016416"
