"entity_name","fiscal_year","entity_id","estimated_population","category","line_description","value","city_state"
"Galt","2014","1279","24289","Assets","Total Assets_Enterprise","133118566","Galt, CA"
"Fontana","2014","1269","202177","Assets","Total Assets_Capital Projects","116092967","Fontana, CA"
"Agoura Hills","2014","1129","20625","Assets","Total Assets_General","102340267","Agoura Hills, CA"
"Desert Hot Springs","2014","1237","28001","Assets","Total Assets_General","88310964","Desert Hot Springs, CA"
"Moorpark","2014","1395","35172","Assets","Total Assets_Special Revenue","80196663","Moorpark, CA"
"Half Moon Bay","2014","1293","11721","Assets","Total Assets_General","71936595","Half Moon Bay, CA"
"Irwindale","2014","1320","1466","Assets","Total Assets_Special Revenue","64532855","Irwindale, CA"
"Pacifica","2014","1426","38292","Assets","Total Assets_Enterprise","58019911","Pacifica, CA"
"Palm Springs","2014","1428","46135","Assets","Total Assets_Internal Service","53544649","Palm Springs, CA"
"Capitola","2014","1189","10136","Assets","Total Assets_General","47900811","Capitola, CA"
"Santa Clara","2014","1511","121229","Assets","Total Assets_Special Revenue","45042238","Santa Clara, CA"
"Chino Hills","2014","1199","76131","Assets","Total Assets_Special Revenue","41434398","Chino Hills, CA"
"Portola Valley","2014","1454","4480","Assets","Total Assets_General","38337691","Portola Valley, CA"
"Calistoga","2014","1185","5224","Assets","Total Assets_Enterprise","35577553","Calistoga, CA"
"San Buenaventura","2014","1486","108961","Assets","Total Assets_Internal Service","33208344","San Buenaventura, CA"
"Cathedral City","2014","1194","52595","Assets","Total Assets_Capital Projects","30828954","Cathedral City, CA"
"Brea","2014","1173","42397","Assets","Total Assets_Special Revenue","28741002","Brea, CA"
"Huntington Park","2014","1310","59033","Assets","Total Assets_Special Revenue","26778765","Huntington Park, CA"
"San Jacinto","2014","1494","45563","Assets","Total Assets_Special Revenue","25119001","San Jacinto, CA"
"Hemet","2014","1299","81537","Assets","Total Assets_Special Revenue","23410317","Hemet, CA"
"Compton","2014","1215","98082","Assets","Total Assets_Debt Service","22743610","Compton, CA"
"Riverside","2014","1473","314034","Assets","Total Assets_General","2347623497","Riverside, CA"
"Moreno Valley","2014","1397","199258","Assets","Total Assets_General","1386266206","Moreno Valley, CA"
"Mountain View","2014","1400","76781","Assets","Total Assets_General","1002709647","Mountain View, CA"
"Sunnyvale","2014","1546","147055","Assets","Total Assets_General","794227542","Sunnyvale, CA"
"Vacaville","2014","1568","93613","Assets","Total Assets_General","684317354","Vacaville, CA"
"Tracy","2014","1557","85146","Assets","Total Assets_General","582130067","Tracy, CA"
"Yuba City","2014","1600","65677","Assets","Total Assets_General","502268051","Yuba City, CA"
"Simi Valley","2014","1531","126305","Assets","Total Assets_General","437132400","Simi Valley, CA"
"Lincoln","2014","1350","45206","Assets","Total Assets_Enterprise","396861599","Lincoln, CA"
"Fairfield","2014","1263","110018","Assets","Total Assets_General","354260895","Fairfield, CA"
"Brentwood","2014","1174","54741","Assets","Total Assets_Enterprise","325634915","Brentwood, CA"
"Manteca","2014","1373","72880","Assets","Total Assets_Enterprise","301705325","Manteca, CA"
"San Luis Obispo","2014","1500","45473","Assets","Total Assets_General","285988203","San Luis Obispo, CA"
"Rancho Cucamonga","2014","1456","172299","Assets","Total Assets_Special Revenue","263760781","Rancho Cucamonga, CA"
"Norco","2014","1410","26582","Assets","Total Assets_General","244477544","Norco, CA"
"Rialto","2014","1466","101429","Assets","Total Assets_Enterprise","222787847","Rialto, CA"
"Sacramento","2014","1481","475122","Assets","Total Assets_Trust and Agency","206105000","Sacramento, CA"
"Fontana","2014","1269","202177","Assets","Total Assets_Special Revenue","194244808","Fontana, CA"
"Emeryville","2014","1255","10491","Assets","Total Assets_General","174118122","Emeryville, CA"
"Lake Elsinore","2014","1340","56718","Assets","Total Assets_General","165414787","Lake Elsinore, CA"
"Vallejo","2014","1569","118470","Assets","Total Assets_Enterprise","156457702","Vallejo, CA"
"Hollister","2014","1306","36676","Assets","Total Assets_Enterprise","151958372","Hollister, CA"
"Coachella","2014","1208","43633","Assets","Total Assets_General","143668489","Coachella, CA"
"Stanton","2014","1543","38963","Assets","Total Assets_General","133432455","Stanton, CA"
"Benicia","2014","1163","27454","Assets","Total Assets_Enterprise","124164697","Benicia, CA"
"Culver City","2014","1227","39579","Assets","Total Assets_Enterprise","117422134","Culver City, CA"
"Clovis","2014","1207","102188","Assets","Total Assets_Internal Service","109282363","Clovis, CA"
"Lake Elsinore","2014","1340","56718","Assets","Total Assets_Trust and Agency","102803752","Lake Elsinore, CA"
"Mountain View","2014","1400","76781","Assets","Total Assets_Special Revenue","94481753","Mountain View, CA"
"Alhambra","2014","1132","84697","Assets","Total Assets_Enterprise","88315835","Alhambra, CA"
"Bakersfield","2014","1153","367315","Assets","Total Assets_Special Revenue","85347249","Bakersfield, CA"
"San Bruno","2014","1485","43223","Assets","Total Assets_Enterprise","80197684","San Bruno, CA"
"Poway","2014","1455","48979","Assets","Total Assets_Enterprise","75697791","Poway, CA"
"Sacramento","2014","1481","475122","Assets","Total Assets_Capital Projects","72869000","Sacramento, CA"
"Carlsbad","2014","1190","110169","Assets","Total Assets_Special Revenue","68707256","Carlsbad, CA"
"Shasta Lake","2014","1528","10128","Assets","Total Assets_Enterprise","64875410","Shasta Lake, CA"
"Escondido","2014","1258","147102","Assets","Total Assets_Special Revenue","61175207","Escondido, CA"
"Fortuna","2014","1272","32168","Assets","Total Assets_Enterprise","58186488","Fortuna, CA"
"Fullerton","2014","1278","140131","Assets","Total Assets_Special Revenue","55280375","Fullerton, CA"
"Glendale","2014","1283","195799","Assets","Total Assets_Special Revenue","53554643","Glendale, CA"
"Oceanside","2014","1416","171183","Assets","Total Assets_Internal Service","49819000","Oceanside, CA"
"Davis","2014","1233","66656","Assets","Total Assets_Special Revenue","48014014","Davis, CA"
"Solana Beach","2014","1532","13099","Assets","Total Assets_Enterprise","46213663","Solana Beach, CA"
"Cerritos","2014","1196","49741","Assets","Total Assets_Enterprise","45084079","Cerritos, CA"
"Tehachapi","2014","1550","13346","Assets","Total Assets_General","42772206","Tehachapi, CA"
"Lakewood","2014","1343","81224","Assets","Total Assets_Enterprise","41445613","Lakewood, CA"
"Rancho Mirage","2014","1457","17745","Assets","Total Assets_Special Revenue","39768792","Rancho Mirage, CA"
"Morgan Hill","2014","1398","41197","Assets","Total Assets_Capital Projects","38434309","Morgan Hill, CA"
"Hayward","2014","1297","151037","Assets","Total Assets_Internal Service","37028509","Hayward, CA"
"San Anselmo","2014","1483","12514","Assets","Total Assets_General","35750460","San Anselmo, CA"
"Vallejo","2014","1569","118470","Assets","Total Assets_Capital Projects","34466523","Vallejo, CA"
"Richmond","2014","1467","106138","Assets","Total Assets_Internal Service","33287960","Richmond, CA"
"Sierra Madre","2014","1529","11094","Assets","Total Assets_Enterprise","31917901","Sierra Madre, CA"
"Del Mar","2014","1234","4234","Assets","Total Assets_Enterprise","30934157","Del Mar, CA"
"Alhambra","2014","1132","84697","Assets","Total Assets_Special Revenue","29866916","Alhambra, CA"
"Riverside","2014","1473","314034","Assets","Total Assets_Internal Service","28748054","Riverside, CA"
"Menlo Park","2014","1381","32896","Assets","Total Assets_Enterprise","27736862","Menlo Park, CA"
"Livingston","2014","1354","13793","Assets","Total Assets_Enterprise","26781808","Livingston, CA"
"Vallejo","2014","1569","118470","Assets","Total Assets_Internal Service","25904555","Vallejo, CA"
"Culver City","2014","1227","39579","Assets","Total Assets_Internal Service","25121331","Culver City, CA"
"Santa Clara","2014","1511","121229","Assets","Total Assets_Internal Service","24036330","Santa Clara, CA"
"Corcoran","2014","1217","22515","Assets","Total Assets_General","23419058","Corcoran, CA"
"Calistoga","2014","1185","5224","Assets","Total Assets_General","23205659","Calistoga, CA"
"Wasco","2014","1577","26159","Assets","Total Assets_General","22772834","Wasco, CA"
"San Diego","2014","1489","1345895","Assets","Total Assets_General","4901003019","San Diego, CA"
"Riverside","2014","1473","314034","Assets","Total Assets_Enterprise","2389699559","Riverside, CA"
"Santa Monica","2014","1516","92185","Assets","Total Assets_General","1712931611","Santa Monica, CA"
"Pasadena","2014","1435","140879","Assets","Total Assets_Enterprise","1505392903","Pasadena, CA"
"Santa Ana","2014","1509","331953","Assets","Total Assets_General","1141614540","Santa Ana, CA"
"Corona","2014","1219","159132","Assets","Total Assets_General","1005694705","Corona, CA"
"Long Beach","2014","1359","470292","Assets","Total Assets_General","869806000","Long Beach, CA"
"Victorville","2014","1571","120590","Assets","Total Assets_General","824268493","Victorville, CA"
"Garden Grove","2014","1280","173953","Assets","Total Assets_General","728290645","Garden Grove, CA"
"Redlands","2014","1462","69882","Assets","Total Assets_General","689586393","Redlands, CA"
"Industry","2014","1316","438","Assets","Total Assets_General","638176480","Industry, CA"
"Vernon","2014","1570","122","Assets","Total Assets_Enterprise","596962589","Vernon, CA"
"Murrieta","2014","1402","106425","Assets","Total Assets_General","540215702","Murrieta, CA"
"Gilroy","2014","1282","52413","Assets","Total Assets_General","504571323","Gilroy, CA"
"South Gate","2014","1538","96057","Assets","Total Assets_General","466154905","South Gate, CA"
"Downey","2014","1243","113363","Assets","Total Assets_General","448390532","Downey, CA"
"San Bernardino","2014","1484","212721","Assets","Total Assets_Enterprise","416098847","San Bernardino, CA"
"Laguna Beach","2014","1336","23225","Assets","Total Assets_General","398890495","Laguna Beach, CA"
"Carson","2014","1193","92636","Assets","Total Assets_General","373107782","Carson, CA"
"Lake Forest","2014","1341","79139","Assets","Total Assets_General","358717194","Lake Forest, CA"
"Long Beach","2014","1359","470292","Assets","Total Assets_Special Revenue","338473000","Long Beach, CA"
"Pico Rivera","2014","1439","63873","Assets","Total Assets_General","329904398","Pico Rivera, CA"
"San Bernardino","2014","1484","212721","Assets","Total Assets_General","316001709","San Bernardino, CA"
"Petaluma","2014","1438","59000","Assets","Total Assets_Enterprise","302414649","Petaluma, CA"
"Santa Fe Springs","2014","1514","17349","Assets","Total Assets_General","292407128","Santa Fe Springs, CA"
"Danville","2014","1232","43146","Assets","Total Assets_General","286338772","Danville, CA"
"Merced","2014","1382","81130","Assets","Total Assets_Enterprise","277316430","Merced, CA"
"Fairfield","2014","1263","110018","Assets","Total Assets_Enterprise","265896817","Fairfield, CA"
"Burlingame","2014","1179","29685","Assets","Total Assets_General","249927858","Burlingame, CA"
"Los Angeles","2014","1364","3904657","Assets","Total Assets_Trust and Agency","245206891","Los Angeles, CA"
"San Luis Obispo","2014","1500","45473","Assets","Total Assets_Enterprise","234468786","San Luis Obispo, CA"
"San Clemente","2014","1488","64874","Assets","Total Assets_Enterprise","222897987","San Clemente, CA"
"South San Francisco","2014","1541","65710","Assets","Total Assets_General","211272426","South San Francisco, CA"
"Torrance","2014","1556","147706","Assets","Total Assets_Enterprise","207043243","Torrance, CA"
"Santee","2014","1519","55806","Assets","Total Assets_General","204884890","Santee, CA"
"Yucaipa","2014","1601","52654","Assets","Total Assets_General","195533319","Yucaipa, CA"
"Fountain Valley","2014","1274","56702","Assets","Total Assets_General","183717640","Fountain Valley, CA"
"Milpitas","2014","1385","70092","Assets","Total Assets_Enterprise","175160756","Milpitas, CA"
"Healdsburg","2014","1298","11541","Assets","Total Assets_Enterprise","168409420","Healdsburg, CA"
"Palmdale","2014","1429","155657","Assets","Total Assets_Special Revenue","165490688","Palmdale, CA"
"Irvine","2014","1319","242651","Assets","Total Assets_Capital Projects","161179359","Irvine, CA"
"Monterey Park","2014","1394","61777","Assets","Total Assets_General","156899496","Monterey Park, CA"
"Chico","2014","1197","88389","Assets","Total Assets_Enterprise","154610643","Chico, CA"
"Seal Beach","2014","1523","24591","Assets","Total Assets_General","152077018","Seal Beach, CA"
"Dixon","2014","1240","19005","Assets","Total Assets_General","146707672","Dixon, CA"
"Hanford","2014","1294","55283","Assets","Total Assets_General","143756430","Hanford, CA"
"Burlingame","2014","1179","29685","Assets","Total Assets_Enterprise","137967685","Burlingame, CA"
"Lafayette","2014","1335","24659","Assets","Total Assets_General","133976336","Lafayette, CA"
"Shafter","2014","1527","17461","Assets","Total Assets_General","129368802","Shafter, CA"
"Bakersfield","2014","1153","367315","Assets","Total Assets_Capital Projects","124511349","Bakersfield, CA"
"Pasadena","2014","1435","140879","Assets","Total Assets_Special Revenue","120643672","Pasadena, CA"
"San Leandro","2014","1499","87691","Assets","Total Assets_Enterprise","117901325","San Leandro, CA"
"Simi Valley","2014","1531","126305","Assets","Total Assets_Enterprise","112365475","Simi Valley, CA"
"Burbank","2014","1178","105543","Assets","Total Assets_Internal Service","109643763","Burbank, CA"
"La Habra","2014","1327","61717","Assets","Total Assets_Enterprise","104959566","La Habra, CA"
"Loma Linda","2014","1356","23614","Assets","Total Assets_General","103846965","Loma Linda, CA"
"San Dimas","2014","1490","34072","Assets","Total Assets_General","98814658","San Dimas, CA"
"San Pablo","2014","1504","29465","Assets","Total Assets_General","94587352","San Pablo, CA"
"Santa Clarita","2014","1512","209130","Assets","Total Assets_Enterprise","89622348","Santa Clarita, CA"
"Brisbane","2014","1175","4431","Assets","Total Assets_General","88346276","Brisbane, CA"
"Morgan Hill","2014","1398","41197","Assets","Total Assets_Special Revenue","87170228","Morgan Hill, CA"
"Modesto","2014","1387","206785","Assets","Total Assets_Special Revenue","85418268","Modesto, CA"
"Petaluma","2014","1438","59000","Assets","Total Assets_Special Revenue","83147584","Petaluma, CA"
"American Canyon","2014","1135","20001","Assets","Total Assets_Enterprise","80313989","American Canyon, CA"
"Sunnyvale","2014","1546","147055","Assets","Total Assets_Internal Service","77327016","Sunnyvale, CA"
"Delano","2014","1236","52591","Assets","Total Assets_Enterprise","76139533","Delano, CA"
"Blythe","2014","1170","18992","Assets","Total Assets_General","73783155","Blythe, CA"
"Santa Barbara","2014","1510","90385","Assets","Total Assets_Special Revenue","72925367","Santa Barbara, CA"
"Calexico","2014","1181","40564","Assets","Total Assets_General","70739512","Calexico, CA"
"Shasta Lake","2014","1528","10128","Assets","Total Assets_General","68987200","Shasta Lake, CA"
"Montebello","2014","1392","63527","Assets","Total Assets_Enterprise","66795295","Montebello, CA"
"Orinda","2014","1421","18089","Assets","Total Assets_General","64977730","Orinda, CA"
"Dublin","2014","1245","53462","Assets","Total Assets_Internal Service","63092018","Dublin, CA"
"Reedley","2014","1465","25122","Assets","Total Assets_Enterprise","61562402","Reedley, CA"
"Oxnard","2014","1424","203645","Assets","Total Assets_Special Revenue","59772729","Oxnard, CA"
"Sausalito","2014","1521","7175","Assets","Total Assets_General","58517636","Sausalito, CA"
"Carmel-By-The-Sea","2014","1191","3722","Assets","Total Assets_General","56958230","Carmel-By-The-Sea, CA"
"West Covina","2014","1581","107828","Assets","Total Assets_Special Revenue","55294557","West Covina, CA"
"Vacaville","2014","1568","93613","Assets","Total Assets_Special Revenue","54271784","Vacaville, CA"
"Yuba City","2014","1600","65677","Assets","Total Assets_Trust and Agency","53666409","Yuba City, CA"
"Commerce","2014","1214","13003","Assets","Total Assets_Capital Projects","51792129","Commerce, CA"
"Visalia","2014","1573","129582","Assets","Total Assets_Capital Projects","50018825","Visalia, CA"
"Healdsburg","2014","1298","11541","Assets","Total Assets_General","49107984","Healdsburg, CA"
"Dublin","2014","1245","53462","Assets","Total Assets_Capital Projects","48065711","Dublin, CA"
"Pacific Grove","2014","1425","15431","Assets","Total Assets_General","47168250","Pacific Grove, CA"
"Apple Valley","2014","1140","70755","Assets","Total Assets_Enterprise","46273074","Apple Valley, CA"
"Live Oak","2014","1352","8481","Assets","Total Assets_Enterprise","45818797","Live Oak, CA"
"Temecula","2014","1552","106289","Assets","Total Assets_Special Revenue","45207269","Temecula, CA"
"Garden Grove","2014","1280","173953","Assets","Total Assets_Special Revenue","44135026","Garden Grove, CA"
"Redwood City","2014","1464","80768","Assets","Total Assets_Capital Projects","42807131","Redwood City, CA"
"San Ramon","2014","1506","77270","Assets","Total Assets_Special Revenue","42057813","San Ramon, CA"
"Hercules","2014","1300","24572","Assets","Total Assets_Enterprise","41632732","Hercules, CA"
"Escalon","2014","1257","7323","Assets","Total Assets_General","40635190","Escalon, CA"
"Novato","2014","1412","52967","Assets","Total Assets_Trust and Agency","39769649","Novato, CA"
"Piedmont","2014","1440","11023","Assets","Total Assets_General","39265554","Piedmont, CA"
"Larkspur","2014","1345","12102","Assets","Total Assets_General","38444235","Larkspur, CA"
"Santa Paula","2014","1517","30448","Assets","Total Assets_General","37423094","Santa Paula, CA"
"Orange","2014","1419","139279","Assets","Total Assets_Internal Service","37048058","Orange, CA"
"California City","2014","1182","13276","Assets","Total Assets_General","36363356","California City, CA"
"Los Altos Hills","2014","1363","8354","Assets","Total Assets_General","35759271","Los Altos Hills, CA"
"Clayton","2014","1204","11200","Assets","Total Assets_General","34921469","Clayton, CA"
"San Jose","2014","1496","1000536","Assets","Total Assets_Debt Service","34503397","San Jose, CA"
"Moreno Valley","2014","1397","199258","Assets","Total Assets_Capital Projects","33665188","Moreno Valley, CA"
"Hughson","2014","1308","7118","Assets","Total Assets_General","33327577","Hughson, CA"
"Half Moon Bay","2014","1293","11721","Assets","Total Assets_Debt Service","32274728","Half Moon Bay, CA"
"Reedley","2014","1465","25122","Assets","Total Assets_General","31929311","Reedley, CA"
"Hillsborough","2014","1305","11260","Assets","Total Assets_General","31471723","Hillsborough, CA"
"San Rafael","2014","1505","58566","Assets","Total Assets_Special Revenue","31057037","San Rafael, CA"
"El Cajon","2014","1248","101256","Assets","Total Assets_Capital Projects","30483739","El Cajon, CA"
"San Jose","2014","1496","1000536","Assets","Total Assets_Internal Service","29900742","San Jose, CA"
"Thousand Oaks","2014","1554","129039","Assets","Total Assets_Special Revenue","29254822","Thousand Oaks, CA"
"Palm Desert","2014","1427","50417","Assets","Total Assets_Capital Projects","28908854","Palm Desert, CA"
"Signal Hill","2014","1530","11411","Assets","Total Assets_Enterprise","27981555","Signal Hill, CA"
"Artesia","2014","1144","16776","Assets","Total Assets_General","27790312","Artesia, CA"
"Foster City","2014","1273","32168","Assets","Total Assets_General","27177400","Foster City, CA"
"Atascadero","2014","1146","28675","Assets","Total Assets_Enterprise","26808317","Atascadero, CA"
"Paramount","2014","1433","55051","Assets","Total Assets_Enterprise","26437132","Paramount, CA"
"Arcata","2014","1142","17734","Assets","Total Assets_Enterprise","25934464","Arcata, CA"
"Alameda","2014","1130","75988","Assets","Total Assets_Internal Service","25362009","Alameda, CA"
"Winters","2014","1593","6979","Assets","Total Assets_General","25145850","Winters, CA"
"Hanford","2014","1294","55283","Assets","Total Assets_Internal Service","24658281","Hanford, CA"
"Oceanside","2014","1416","171183","Assets","Total Assets_Capital Projects","24048428","Oceanside, CA"
"Tustin","2014","1563","78360","Assets","Total Assets_Special Revenue","23717102","Tustin, CA"
"Avenal","2014","1151","13239","Assets","Total Assets_Enterprise","23425352","Avenal, CA"
"Cudahy","2014","1226","24142","Assets","Total Assets_General","23318201","Cudahy, CA"
"Lomita","2014","1357","20630","Assets","Total Assets_General","23234656","Lomita, CA"
"Coronado","2014","1220","23419","Assets","Total Assets_Special Revenue","22941961","Coronado, CA"
"Brawley","2014","1172","25897","Assets","Total Assets_Special Revenue","22885702","Brawley, CA"
"Los Angeles","2014","1364","3904657","Assets","Total Assets_General","15059612963","Los Angeles, CA"
"San Diego","2014","1489","1345895","Assets","Total Assets_Enterprise","6597400328","San Diego, CA"
"Los Angeles","2014","1364","3904657","Assets","Total Assets_Special Revenue","2969986976","Los Angeles, CA"
"Newport Beach","2014","1409","86874","Assets","Total Assets_General","2464470744","Newport Beach, CA"
"Fresno","2014","1277","515609","Assets","Total Assets_Enterprise","1846746004","Fresno, CA"
"Lancaster","2014","1344","159878","Assets","Total Assets_General","1785973636","Lancaster, CA"
"Sacramento","2014","1481","475122","Assets","Total Assets_Enterprise","1648954000","Sacramento, CA"
"Fremont","2014","1276","223972","Assets","Total Assets_General","1541649395","Fremont, CA"
"Elk Grove","2014","1254","160688","Assets","Total Assets_General","1223250537","Elk Grove, CA"
"Santa Clara","2014","1511","121229","Assets","Total Assets_Enterprise","1171587228","Santa Clara, CA"
"Bakersfield","2014","1153","367315","Assets","Total Assets_Enterprise","1023234730","Bakersfield, CA"
"Pasadena","2014","1435","140879","Assets","Total Assets_General","1012923036","Pasadena, CA"
"Burbank","2014","1178","105543","Assets","Total Assets_General","906575977","Burbank, CA"
"Huntington Beach","2014","1309","195999","Assets","Total Assets_General","873964454","Huntington Beach, CA"
"Tustin","2014","1563","78360","Assets","Total Assets_General","838079034","Tustin, CA"
"Thousand Oaks","2014","1554","129039","Assets","Total Assets_General","833653359","Thousand Oaks, CA"
"Laguna Niguel","2014","1338","64460","Assets","Total Assets_General","772337332","Laguna Niguel, CA"
"Orange","2014","1419","139279","Assets","Total Assets_General","730283299","Orange, CA"
"San Ramon","2014","1506","77270","Assets","Total Assets_General","698348057","San Ramon, CA"
"Los Angeles","2014","1364","3904657","Assets","Total Assets_Capital Projects","693681657","Los Angeles, CA"
"Concord","2014","1216","124656","Assets","Total Assets_General","674424661","Concord, CA"
"Merced","2014","1382","81130","Assets","Total Assets_General","643937121","Merced, CA"
"Santa Monica","2014","1516","92185","Assets","Total Assets_Enterprise","622688270","Santa Monica, CA"
"Santa Clara","2014","1511","121229","Assets","Total Assets_General","604886306","Santa Clara, CA"
"Palm Desert","2014","1427","50417","Assets","Total Assets_General","561911088","Palm Desert, CA"
"Oceanside","2014","1416","171183","Assets","Total Assets_Enterprise","554751619","Oceanside, CA"
"El Monte","2014","1251","115064","Assets","Total Assets_General","530546549","El Monte, CA"
"Pittsburg","2014","1443","66368","Assets","Total Assets_General","513143566","Pittsburg, CA"
"Pleasanton","2014","1447","73067","Assets","Total Assets_General","491450821","Pleasanton, CA"
"Vacaville","2014","1568","93613","Assets","Total Assets_Enterprise","471161370","Vacaville, CA"
"Porterville","2014","1452","55697","Assets","Total Assets_General","455261143","Porterville, CA"
"West Hollywood","2014","1582","35072","Assets","Total Assets_General","449243167","West Hollywood, CA"
"Apple Valley","2014","1140","70755","Assets","Total Assets_General","420145567","Apple Valley, CA"
"Diamond Bar","2014","1238","56400","Assets","Total Assets_General","416663028","Diamond Bar, CA"
"Tracy","2014","1557","85146","Assets","Total Assets_Enterprise","409140101","Tracy, CA"
"Folsom","2014","1268","74014","Assets","Total Assets_General","399966687","Folsom, CA"
"Vallejo","2014","1569","118470","Assets","Total Assets_General","386895130","Vallejo, CA"
"Claremont","2014","1203","35920","Assets","Total Assets_General","374256746","Claremont, CA"
"Clovis","2014","1207","102188","Assets","Total Assets_Enterprise","367083905","Clovis, CA"
"Upland","2014","1567","75147","Assets","Total Assets_General","364515499","Upland, CA"
"Irvine","2014","1319","242651","Assets","Total Assets_Special Revenue","346439970","Irvine, CA"
"Indian Wells","2014","1314","5137","Assets","Total Assets_General","340877462","Indian Wells, CA"
"Rancho Mirage","2014","1457","17745","Assets","Total Assets_General","334362759","Rancho Mirage, CA"
"Hayward","2014","1297","151037","Assets","Total Assets_Enterprise","330158172","Hayward, CA"
"Moorpark","2014","1395","35172","Assets","Total Assets_General","321601920","Moorpark, CA"
"Long Beach","2014","1359","470292","Assets","Total Assets_Internal Service","316466000","Long Beach, CA"
"Santa Cruz","2014","1513","63440","Assets","Total Assets_Enterprise","308621406","Santa Cruz, CA"
"Woodland","2014","1595","57223","Assets","Total Assets_General","303074709","Woodland, CA"
"Lodi","2014","1355","63651","Assets","Total Assets_General","297090169","Lodi, CA"
"Beverly Hills","2014","1165","34677","Assets","Total Assets_General","292797555","Beverly Hills, CA"
"San Buenaventura","2014","1486","108961","Assets","Total Assets_Enterprise","288511104","San Buenaventura, CA"
"Buena Park","2014","1177","82344","Assets","Total Assets_General","286373218","Buena Park, CA"
"El Cajon","2014","1248","101256","Assets","Total Assets_General","278995633","El Cajon, CA"
"Thousand Oaks","2014","1554","129039","Assets","Total Assets_Enterprise","278552337","Thousand Oaks, CA"
"Redlands","2014","1462","69882","Assets","Total Assets_Enterprise","272962035","Redlands, CA"
"Cupertino","2014","1228","59946","Assets","Total Assets_General","267501834","Cupertino, CA"
"Santa Cruz","2014","1513","63440","Assets","Total Assets_General","256206635","Santa Cruz, CA"
