"createdatetime","incidentnumber","address","city","lat","lon","calltype","race","gender","age","reason","enforcement","car_search"
"2020-09-23T08:31:33.000","2020-00043951","UNIVERSITY AV/W FRONTAGE AVE",,"-361","-361","T","Black","Female",">40","Traffic","Warning","No Search"
"2020-09-23T08:10:05.000","2020-00043947","W FRONTAGE AVE/ASHBY AVE",,"-361","-361","T","Hispanic","Male",">40","Traffic","Citation","No Search"
"2020-09-23T07:55:03.000","2020-00043942","80 ON RAMP AT ASHBY",,"-361","-361","T","Hispanic","Male",">40","Traffic","Citation","No Search"
"2020-09-22T17:21:05.000","2020-00043877","67TH ST / HOLLIS ST","EMERYVILLE","37.84885214432","-122.292155266302","T","Other","Male","18-29","Traffic","Citation","No Search"
"2020-09-22T16:56:30.000","2020-00043871","SACRAMENTO ST / PRINCE ST","BERKELEY","37.8514868489975","-122.278594410166","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-22T16:16:52.000","2020-00043859","ASHBY AVE / 7TH ST","BERKELEY","37.8510085539258","-122.291104027758","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-22T16:08:51.000","2020-00043857","ASHBY AVE / 7TH ST","BERKELEY","37.8510085539258","-122.291104027758","T","White","Male",">40","Traffic","Warning","No Search"
"2020-09-22T11:24:54.000","2020-00043791","POTTER ST / 7TH ST","BERKELEY","37.851514871299","-122.291270411224","T","Black","Female","30-39","Traffic","Citation","No Search"
"2020-09-22T11:13:38.000","2020-00043787","ASHBY AVE / 7TH ST","BERKELEY","37.8510085539258","-122.291104027758","T","Hispanic","Male","30-39","Traffic","Citation","No Search"
"2020-09-22T09:05:01.000","2020-00043770","CEDAR ST / ACTON ST","BERKELEY","37.8763830445629","-122.285009661069","T","Other","Male",">40","Traffic","Citation","No Search"
"2020-09-22T09:00:32.000","2020-00043769","GILMAN ST / SAN PABLO AVE","BERKELEY","37.8804741843168","-122.295799216735","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-22T08:48:03.000","2020-00043768","CEDAR ST / CORNELL AVE","BERKELEY","37.8755431881041","-122.291448715591","T","White","Female","30-39","Traffic","Citation","No Search"
