"fiscal_year","township_name","building","electrical","plumbing","totals"
"2007","Leyden","104","26","9","139"
"2007","Lyons","55","11","7","73"
"2007","Maine","122","183","112","417"
"2007","New Trier","25","15","4","44"
"2007","Niles","5","0","0","5"
"2007","Northfield","147","105","36","288"
"2007","Norwood Park","8","7","1","16"
"2007","Oak Park","0","0","0","0"
"2007","Orland","41","13","7","61"
"2007","Palatine","56","16","11","83"
"2007","Palos","70","17","5","92"
"2007","Proviso","27","168","4","199"
"2007","Rich","24","7","2","33"
"2007","River Forest","0","0","0","0"
"2007","Riverside","4","0","0","4"
"2007","Schaumburg","31","9","8","48"
"2007","Stickney","59","45","8","112"
"2007","Thornton","5","2","0","7"
"2007","Wheeling","25","9","19","53"
"2007","Worth","34","8","3","45"
"2008","Barrington","16","1","1","18"
"2008","Berwyn","0","0","0","0"
"2008","Bloom","16","2","57","75"
"2008","Bremen","26","8","0","34"
"2008","Calumet","0","0","0","0"
"2008","Cicero","0","0","0","0"
"2008","Elk Grove","18","30","24","72"
"2008","Evanston","0","0","0","0"
"2008","Hanover","16","8","1","25"
"2008","Lemont","54","18","6","78"
"2008","Leyden","89","10","8","107"
"2008","Lyons","93","14","7","114"
"2008","Maine","90","47","48","185"
"2008","New Trier","29","4","12","45"
"2008","Niles","1","0","2","3"
"2008","Northfield","101","93","63","257"
"2008","Norwood Park","94","2","5","101"
"2008","Oak Park","0","0","0","0"
"2008","Orland","47","8","4","59"
"2008","Palatine","33","22","9","64"
"2008","Palos","50","38","4","92"
"2008","Proviso","32","194","29","255"
"2008","Rich","16","3","9","28"
"2008","River Forest","0","0","0","0"
"2008","Riverside","3","0","0","3"
"2008","Schaumburg","21","12","6","39"
"2008","Stickney","36","43","5","84"
"2008","Thornton","3","2","0","5"
"2008","Wheeling","16","5","4","25"
"2008","Worth","47","9","4","60"
"2009","Barrington","8","4","3","15"
"2009","Berwyn","0","0","0","0"
"2009","Bloom","10","2","10","22"
"2009","Bremen","33","6","2","41"
"2009","Calumet","0","0","0","0"
"2009","Cicero","0","0","0","0"
"2009","Elk Grove","32","43","34","109"
"2009","Evanston","0","0","0","0"
"2009","Hanover","13","2","6","21"
"2009","Lemont","47","19","9","75"
"2009","Leyden","105","28","32","165"
"2009","Lyons","93","6","21","120"
"2009","Maine","82","71","276","429"
"2009","New Trier","16","4","2","22"
"2009","Niles","2","0","0","2"
"2009","Northfield","104","61","40","205"
"2009","Norwood Park","18","3","4","25"
"2009","Oak Park","0","0","0","0"
"2009","Orland","61","8","0","69"
"2009","Palatine","43","7","11","61"
"2009","Palos","46","6","4","56"
"2009","Proviso","28","83","24","135"
"2009","Rich","16","6","2","24"
"2009","River Forest","1","0","0","1"
"2009","Riverside","2","0","0","2"
"2009","Schaumburg","17","3","3","23"
"2009","Stickney","40","45","0","85"
"2009","Thornton","2","1","1","4"
"2009","Wheeling","20","2","4","26"
"2009","Worth","57","6","3","66"
"2010","Barrington","9","3","1","13"
"2010","Berwyn","0","0","0","0"
"2010","Bloom","13","7","2","22"
"2010","Bremen","29","3","2","34"
"2010","Calumet","2","0","0","2"
"2010","Cicero","0","0","0","0"
"2010","Elk Grove","24","57","17","98"
"2010","Evanston","0","0","0","0"
"2010","Hanover","46","5","9","60"
"2010","Lemont","47","34","5","86"
"2010","Leyden","156","23","22","201"
"2010","Lyons","59","19","5","83"
"2010","Maine","292","80","87","459"
"2010","New Trier","19","2","8","29"
"2010","Niles","3","0","2","5"
"2010","Northfield","104","65","47","216"
"2010","Norwood Park","10","2","3","15"
"2010","Oak Park","0","0","0","0"
"2010","Orland","65","5","4","74"
"2010","Palatine","36","41","62","139"
"2010","Palos","66","13","7","86"
"2010","Proviso","37","125","60","222"
"2010","Rich","17","8","3","28"
"2010","River Forest","0","0","0","0"
"2010","Riverside","3","0","0","3"
"2010","Schaumburg","22","1","6","29"
"2010","Stickney","32","65","2","99"
"2010","Thornton","7","2","3","12"
"2010","Wheeling","12","4","4","20"
"2010","Worth","79","4","4","87"
"2011","Barrington","7","1","4","12"
"2011","Berwyn","0","0","0","0"
"2011","Bloom","9","3","4","16"
"2011","Bremen","20","6","4","30"
"2011","Calumet","3","0","0","3"
"2011","Cicero","0","0","0","0"
"2011","Elk Grove","26","25","7","58"
"2011","Evanston","0","0","0","0"
"2011","Hanover","26","2","11","39"
"2011","Lemont","48","15","6","69"
"2011","Leyden","110","12","7","129"
"2011","Lyons","27","51","12","90"
"2011","Maine","163","31","139","333"
"2011","New Trier","17","4","5","26"
"2011","Niles","2","1","1","4"
"2011","Northfield","102","49","59","210"
"2011","Norwood Park","5","1","4","10"
"2011","Oak Park","0","0","0","0"
"2011","Orland","52","2","4","58"
"2011","Palatine","37","8","13","58"
"2011","Palos","45","7","2","54"
"2011","Proviso","35","116","70","221"
"2011","Rich","15","1","3","19"
"2011","River Forest","0","0","0","0"
"2011","Riverside","0","0","0","0"
"2011","Schaumburg","20","0","2","22"
"2011","Stickney","19","99","3","121"
"2011","Thornton","4","3","1","8"
"2011","Wheeling","11","2","6","19"
"2011","Worth","59","5","2","66"
