"facility_address","month","fiscal_year","gas_cost","usage"
"8900 W. 135th St.","February","2008","4328.89","4246.76"
"8900 W. 135th St.","March","2008","2825.78","2482.27"
"8900 W. 135th St.","April","2008","1570.61","1307.04"
"8900 W. 135th St.","May","2008","395.43","256.54"
"8900 W. 135th St.","June","2008","88.06","19.26"
"8900 W. 135th St.","July","2008","163.17","68.95"
"8900 W. 135th St.","August","2008","76.14","12.16"
"8900 W. 135th St.","September","2008","192.56","129.79"
"8900 W. 135th St.","October","2008","960.46","1024.14"
"8900 W. 135th St.","November","2008","2121.43","2573.53"
"2323 S. Rockwell Street Rear","December","2006","2258.39","1578.72"
"2323 S. Rockwell Street Rear","January","2006","1714.03","1174.93"
"2323 S. Rockwell Street Rear","February","2006","2044.08","1514.38"
"2323 S. Rockwell Street Rear","March","2006","1120.82","891.17"
"2323 S. Rockwell Street Rear","May","2006","33.46","4.06"
"2323 S. Rockwell Street Rear","June","2006","193.05","156.46"
"2323 S. Rockwell Street Rear","July","2006","34.59","5.08"
"2323 S. Rockwell Street Rear","August","2006","74.22","41.65"
"2323 S. Rockwell Street Rear","September","2006","142.96","110.74"
"2323 S. Rockwell Street Rear","October","2006","411.39","449.07"
"2323 S. Rockwell Street Rear","November","2006",,"732.83"
"2323 S. Rockwell Street Rear","January","2007","1829.45","1620.37"
"2323 S. Rockwell Street Rear","February","2007","2289.28","1964.37"
"2323 S. Rockwell Street Rear","March","2007","992.35","781.5"
"2323 S. Rockwell Street Rear","April","2007","826.93","641.98"
"2323 S. Rockwell Street Rear","May","2007","61.28","23.25"
"2323 S. Rockwell Street Rear","June","2007","58.00","22.24"
"2323 S. Rockwell Street Rear","July","2007","60.67","24.26"
"2323 S. Rockwell Street Rear","August","2007","57.67","24.26"
"2323 S. Rockwell Street Rear","September","2007","164.57","117.27"
"2323 S. Rockwell Street Rear","October","2007","395.89","365.98"
"2323 S. Rockwell Street Rear","Nov - Dec","2007","754.57","1113.45"
"2323 S. Rockwell Street Rear","November","2007","1184.64","1083.79"
"2323 S. Rockwell Street Rear","December","2008","2056.55","1923.81"
"2323 S. Rockwell Street Rear","January","2008","1746.32","1689.02"
"2323 S. Rockwell Street Rear","February","2008","2191.10","1933.93"
"2323 S. Rockwell Street Rear","April","2008","834.03","564.69"
"2323 S. Rockwell Street Rear","May","2008","167.82","54.59"
"2323 S. Rockwell Street Rear","June","2008","735.46","423.6"
"2323 S. Rockwell Street Rear","July","2008","184.41","54.59"
"2323 S. Rockwell Street Rear","August","2008","335.45","149.62"
"2323 S. Rockwell Street Rear","September","2008","310.00","102.11"
"2323 S. Rockwell Street Rear","October","2008","598.50","406.42"
"2323 S. Rockwell Street Rear","December","2009","2128.44","1673.20"
"2323 S. Rockwell Street Rear","January","2009","2277.30","2134.22"
"2323 S. Rockwell Street Rear","February","2009","1712.94","1615.30"
"2323 S. Rockwell Street Rear","March","2009","881.46","904.48"
"2323 S. Rockwell Street Rear","April","2009","625.89","837.56"
"2323 S. Rockwell Street Rear","May","2009","144.30","78.07"
"2323 S. Rockwell Street Rear","June","2009","435.41","491.79"
"2323 S. Rockwell Street Rear","July","2009","153.63","78"
"2323 S. Rockwell Street Rear","August","2009","121.37","49.63"
"2323 S. Rockwell Street Rear","September","2009","96.74","24.31"
"2323 S. Rockwell Street Rear","October","2009","527.74","577.41"
"2323 S. Rockwell Street Rear","November","2009","767.03","855.98"
"2323 S. Rockwell Street Rear","December","2010","1277.56","1594.46"
"2323 S. Rockwell Street Rear","January","2010","1491.71","1601.99"
"2323 S. Rockwell Street Rear","February","2010","1415.67","1513.99"
"2323 S. Rockwell Street Rear","March","2010","1010.30","1028.18"
"2323 S. Rockwell Street Rear","April","2010","279.14","242.4"
"2323 S. Rockwell Street Rear","May","2010","196.37","124.1"
"2323 S. Rockwell Street Rear","June","2010","123.17","31.27"
"2323 S. Rockwell Street Rear","July","2010","123.05","28.25"
"2323 S. Rockwell Street Rear","August","2010","122.74","30.24"
"2323 S. Rockwell Street Rear","September","2010","121.66","29.23"
"2323 S. Rockwell Street Rear","October","2010","223.11","158.25"
"2323 S. Rockwell Street Rear","November","2010","492.82","596.73"
"2323 S. Rockwell Street Rear","December","2011","1166.04","1571.47"
"2323 S. Rockwell Street Rear","January","2011","1184.82","1564.41"
"2323 S. Rockwell Street Rear","February","2011","1037.08","1338.62"
"9000 W. 135th St.","December","2006","575.24","360.92"
"9000 W. 135th St.","March","2006","2579.92","3754.29"
"9000 W. 135th St.","Apr - Jul","2006","1233.58","522.51"
"9000 W. 135th St.","August","2006","74.22","16.22"
"9000 W. 135th St.","September","2006","76.23","19.1"
"9000 W. 135th St.","October","2006","1505.44","2632.79"
"9000 W. 135th St.","November","2006","3401.17","3816.62"
"9000 W. 135th St.","December","2007","4364.86","4424.64"
"9000 W. 135th St.","January","2007","6060.16","7372.72"
"9000 W. 135th St.","February","2007","6253.03","7034.22"
"9000 W. 135th St.","March","2007","2861.72","3052.61"
"9000 W. 135th St.","April","2007","2566.00","2874.99"
"9000 W. 135th St.","May","2007","4127.79","15969.03"
"9000 W. 135th St.","June","2007","71.64","35.13"
"9000 W. 135th St.","July","2007","342.67","1017.98"
"9000 W. 135th St.","August","2007","72.54","37.73"
"9000 W. 135th St.","September","2007","138.12","255.17"
"9000 W. 135th St.","October","2007","383.40","1172.54"
"9000 W. 135th St.","November","2007","2219.37","8263.50"
"9000 W. 135th St.","December","2008","29068.36","13545.43"
"9000 W. 135th St.","January","2008","7706.47","8449.67"
"9000 W. 135th St.","February","2008","6351.66","6289.66"
"9000 W. 135th St.","March","2008","13334.15","12076.14"
"9000 W. 135th St.","April","2008","2342.06","1979.09"
"9000 W. 135th St.","May","2008","1422.94","1064.70"
"9000 W. 135th St.","June","2008","120.76","42.13"
"9000 W. 135th St.","July","2008","6928.30","4817.93"
"9000 W. 135th St.","Aug - Sep","2008","734.71","588.71"
"9000 W. 135th St.","October","2008","1399.55","1529.30"
"9000 W. 135th St.","November","2008","7513.16","9450.25"
"9000 W. 135th St.","December","2009","6010.04","7096.51"
"9000 W. 135th St.","January","2009","15596.74","20092.74"
"9000 W. 135th St.","February","2009","3660.74","5502.30"
"9000 W. 135th St.","March","2009","5835.90","10235.97"
"9000 W. 135th St.","April","2009","1235.49","2322.99"
"9000 W. 135th St.","May - Aug","2009","2878.75","5314.68"
"9000 W. 135th St.","September","2009","172.80","297.75"
"9000 W. 135th St.","October","2009","2409.18","4310.93"
"9000 W. 135th St.","November","2009","3231.23","4992.14"
"9000 W. 135th St.","December","2010","8390.54","13115.10"
"9000 W. 135th St.","January","2010","8048.30","10379.26"
"9000 W. 135th St.","February","2010","7981.03","10812.94"
"9000 W. 135th St.","March","2010","3045.74","4524.99"
"9000 W. 135th St.","April","2010","1618.15","2759.58"
"9000 W. 135th St.","May","2010","915.75","1419.37"
"9000 W. 135th St.","June","2010","108.14","41.84"
"SS 160th St. 1 W. Halsted St.","March","2011","97.98","84.67"
"9325 W. Church St.","March","2011","273.16","409.24"
"2300 S. Kenneth Av.","March","2011","38.52","4.51"
"7556 Jackson Blvd.","March","2011","2290.34","2848.60"
"15900 S. Cicero Av.","January","2011","768.76","1245.65"
"15900 S. Cicero Av.","Feb - Mar","2011","555.67","761.04"
"15900 S. Cicero Av.","April","2011","212.39","238.89"
"7556 Jackson Blvd.","April","2011","774.59","877.96"
"1100 S. Hamilton Avenue","April","2011","15793.81","25103.24"
"1100 S. Hamilton Avenue Annex","April","2011","8804.15","13712.83"
"2121 W. Harrison Street","April","2011","6235.24","9513.29"
"2323 S. Rockwell Street","April","2011","11560.87","17829.51"
"2725 S. Sacremento","April","2011","392.46","209.39"
"2801 S. Rockwell Street","April","2011","4624.10","6675.66"
"3045 S. Sacremento","April","2011","336638.26","538325.43"
"4545 W. Cermak - North","April","2011","6752.48","9973.41"
"4545 W. Cermak - West","April","2011","5468.07","7993.64"
"4545 W. Cermak - South","April","2011","10490.92","15908.21"
"555 W. Harrison","April","2011","4393.47","6232.46"
"2323 S. Rockwell Street Rear","April","2011","519.49","580.6"
"2600 S. California","Mar - Apr","2011","409.83","435.45"
"2725 S. Sacramento","April","2011","262.31","51.18"
"3015 S. California","April","2011","148.39","61.48"
"1903 Ruby St. - Tower Bldg.","April","2011","29.99","3.38"
"1150 Ridge Rd.","April","2011","30.51","4.03"
"110 S. Barrington Generator","March","2011","26.75","1.12"
"1401 Maybrook Drive","March","2011","439.10","502.94"
"1720 Cherry Street","April","2011","28.28","2.25"
"10220 S. 76th Ave.","April","2011","27.72","2.25"
"3302 Ashland","April","2011","30.05","3.37"
"750 S. Winchester (heating)","April","2011","184233.88","295003.28"
"5416 W. Roosevelt Road","April","2011","3075.68","4289.04"
"627 S. Wood Street","April","2011","16231.92","23855.32"
"750 S. Winchester (non-heating)","April","2011","349.51","341.71"
"15900 S. Cicero","April","2011","77395.29","136856.15"
"500 E. 51st Street","April","2011","33012.23","48611.80"
"13500 Rolls Avenue","December","2006","26311.62","20559.69"
"13500 Rolls Avenue","January","2006","4974.81","3881.59"
"13500 Rolls Avenue","February","2006","21653.81","20243.49"
"13500 Rolls Avenue","March","2006","3445.79","4121.91"
"3302 Ashland","December","2006","51.29","6.06"
"3302 Ashland","January","2006","52.40","8.1"
"8900 W. 135th St.","December","2009","4118.20","4802.30"
"8900 W. 135th St.","January","2009","4738.64","5950.15"
"8900 W. 135th St.","February","2009","2504.74","3720.36"
"8900 W. 135th St.","March","2009","1722.41","2880.77"
"8900 W. 135th St.","Apr - May","2009","923.43","1552.43"
"8900 W. 135th St.","Jun - Jul","2009","156.44","7.09"
"8900 W. 135th St.","Aug - Sep","2009","173.78","37.44"
"8900 W. 135th St.","October","2009","933.18","1570.08"
"8900 W. 135th St.","November","2009","700.06","971.57"
"8900 W. 135th St.","December","2010","3145.99","4798.51"
"8900 W. 135th St.","January","2010","3440.71","4349.79"
"8900 W. 135th St.","February","2010","3216.14","4262.01"
"8900 W. 135th St.","March","2010","791.15","1071.55"
"8900 W. 135th St.","April","2010","234.89","259.05"
"8900 W. 135th St.","May","2010","157.97","117.93"
"8900 W. 135th St.","June","2010","83.69","3.02"
"8900 W. 135th St.","July","2010","79.16","0"
"8900 W. 135th St.","August","2010","80.53","2.01"
"8900 W. 135th St.","September","2010","198.25","205.63"
"8900 W. 135th St.","October","2010","451.37","669.31"
"8900 W. 135th St.","November","2010","858.91","1541.71"
"8900 W. 135th St.","December","2011","2626.49","4154.88"
"8900 W. 135th St.","January","2011","3408.85","5530.44"
"8900 W. 135th St.","February","2011","2345.37","3655.00"
"9000 W. 135th St.","July","2010","109.56","44.1"
"9000 W. 135th St.","August","2010","107.60","41.84"
"9000 W. 135th St.","September","2010","886.07","1499.67"
"9000 W. 135th St.","October","2010","1213.40","2075.34"
"9000 W. 135th St.","November","2010","3097.86","6036.80"
"9000 W. 135th St.","December","2011","7781.92","12679.22"
"9000 W. 135th St.","January","2011","5750.30","9469.30"
"9000 W. 135th St.","February","2011","6939.40","11159.34"
"1150 Ridge Rd.","April","2006","99.73","10.14"
"1150 Ridge Rd.","May","2006","23.09","2.02"
"1150 Ridge Rd.","June","2006","24.35","4.05"
"1150 Ridge Rd.","July","2006","22.14","1.01"
"1150 Ridge Rd.","August","2006","24.96","5.07"
"1150 Ridge Rd.","September","2006","22.21","1.01"
"1150 Ridge Rd.","October","2006","22.80","2.02"
"1150 Ridge Rd.","November","2006","22.16","1.01"
"1150 Ridge Rd.","December","2007","28.18","8.1"
"1150 Ridge Rd.","January","2007","23.56","2.02"
"1150 Ridge Rd.","February","2007","26.56","5.05"
"1150 Ridge Rd.","March","2007","22.99","1.01"
"1150 Ridge Rd.","April","2007","26.25","4.05"
"1150 Ridge Rd.","May","2007","23.04","1.01"
"1150 Ridge Rd.","June","2007","26.39","4.05"
"1150 Ridge Rd.","July","2007","22.99","1.01"
"1150 Ridge Rd.","August","2007","25.75","4.05"
"1150 Ridge Rd.","September","2007","23.72","2.02"
"1150 Ridge Rd.","October","2007","26.36","5.07"
"1150 Ridge Rd.","November","2007","23.79","2.03"
"1150 Ridge Rd.","December","2008","24.61","3.04"
"1150 Ridge Rd.","January","2008","24.79","3.04"
"1150 Ridge Rd.","February","2008","30.49","8.12"
"1150 Ridge Rd.","March","2008","25.48","3.04"
"1150 Ridge Rd.","April","2008","26.83","4.05"
"1150 Ridge Rd.","May","2008","23.35","1.01"
"1150 Ridge Rd.","June","2008","24.90","2.02"
"1150 Ridge Rd.","July","2008","25.23","2.02"
"1150 Ridge Rd.","August","2008","32.01","7.09"
"1150 Ridge Rd.","Sep - Oct","2008","51.19","6.08"
"1150 Ridge Rd.","Nov - Dec","2008","52.95","8.11"
"1150 Ridge Rd.","Jan - Feb","2009","49.45","5.07"
"1150 Ridge Rd.","Mar - Apr","2009","49.99","5.07"
"1150 Ridge Rd.","May - Jun","2009","56.95","5.07"
"1150 Ridge Rd.","Jul - Aug","2009","60.52","7.09"
"1150 Ridge Rd.","September","2009","28.75","2.02"
"1150 Ridge Rd.","October","2009","28.40","1.01"
"1150 Ridge Rd.","November","2009","29.44","2.02"
"1150 Ridge Rd.","December","2010","31.57","5.05"
"1150 Ridge Rd.","January","2010","31.58","2.02"
"1150 Ridge Rd.","February","2010","34.90","5.04"
"1150 Ridge Rd.","March","2010","34.29","1"
"1150 Ridge Rd.","April","2010","36.94","4.03"
"1150 Ridge Rd.","May","2010","35.02","1"
"1150 Ridge Rd.","June","2010","37.54","5.04"
"1150 Ridge Rd.","July","2010","33.79","2.01"
"1150 Ridge Rd.","August","2010","34.45","4.03"
"1150 Ridge Rd.","September","2010","32.31","1"
"1150 Ridge Rd.","October","2010","33.25","3.02"
"1150 Ridge Rd.","November","2010","31.94","1"
"1150 Ridge Rd.","December","2011","32.58","2.01"
"1150 Ridge Rd.","January","2011","30.19","2.01"
"1150 Ridge Rd.","February","2011","31.33","5.04"
"SS 160th St. 1 W. Halsted St.","January","2008","266.64","249.69"
"SS 160th St. 1 W. Halsted St.","February","2008","379.46","335.96"
"SS 160th St. 1 W. Halsted St.","March","2008","162.65","115.59"
"SS 160th St. 1 W. Halsted St.","April","2008","56.91","24.96"
"SS 160th St. 1 W. Halsted St.","May","2008","57.49","26.74"
"SS 160th St. 1 W. Halsted St.","June","2008","38.29","10.14"
"SS 160th St. 1 W. Halsted St.","July","2008","36.67","9.12"
"SS 160th St. 1 W. Halsted St.","August","2008","37.20","12.16"
"SS 160th St. 1 W. Halsted St.","September","2008","32.85","9.12"
"SS 160th St. 1 W. Halsted St.","October","2008","88.43","68.95"
"SS 160th St. 1 W. Halsted St.","November","2008","223.26","232.2"
"SS 160th St. 1 W. Halsted St.","December","2009","312.05","326.5"
"SS 160th St. 1 W. Halsted St.","January","2009","410.12","477.59"
"SS 160th St. 1 W. Halsted St.","February","2009","196.11","246.4"
"SS 160th St. 1 W. Halsted St.","March","2009","51.36","41.57"
"SS 160th St. 1 W. Halsted St.","Apr - May","2009","90.33","56.78"
"SS 160th St. 1 W. Halsted St.","June","2009","33.73","9.11"
"SS 160th St. 1 W. Halsted St.","July","2009","32.95","7.09"
"SS 160th St. 1 W. Halsted St.","August","2009","42.33","23.29"
"SS 160th St. 1 W. Halsted St.","September","2009","48.96","36.43"
"SS 160th St. 1 W. Halsted St.","October","2009","91.66","97.05"
"SS 160th St. 1 W. Halsted St.","November","2009","139.91","155.69"
"SS 160th St. 1 W. Halsted St.","December","2010","272.04","340.37"
"SS 160th St. 1 W. Halsted St.","January","2010","270.47","293.61"
"SS 160th St. 1 W. Halsted St.","February","2010","200.95","217.94"
"SS 160th St. 1 W. Halsted St.","March","2010","71.34","54.48"
"SS 160th St. 1 W. Halsted St.","Apr - May","2010","86.27","30.24"
"SS 160th St. 1 W. Halsted St.","June","2010","37.42","8.06"
"SS 160th St. 1 W. Halsted St.","July","2010","33.43","4.03"
"SS 160th St. 1 W. Halsted St.","August","2010","36.39","8.06"
"SS 160th St. 1 W. Halsted St.","September","2010","34.40","5.04"
"SS 160th St. 1 W. Halsted St.","October","2010","101.53","90.72"
"SS 160th St. 1 W. Halsted St.","November","2010","152.68","159.1"
"SS 160th St. 1 W. Halsted St.","December","2011","259.87","280.95"
"SS 160th St. 1 W. Halsted St.","January","2011","337.64","382.03"
"SS 160th St. 1 W. Halsted St.","February","2011","189.16","193.53"
"855 26th Street","December","2006","7410.65","7827.48"
"855 26th Street","April","2006","3058.33","3761.49"
"855 26th Street","May","2006","882.56","1078.97"
"855 26th Street","Jun - Jul","2006","407.62","242.43"
"855 26th Street","August","2006","175.12","76.98"
"855 26th Street","September","2006","266.51","189.39"
"855 26th Street","October","2006","1576.08","2372.60"
"855 26th Street","November","2006","3466.85","4597.13"
"855 26th Street","January","2007","7057.08","7962.79"
"855 26th Street","February","2007","11890.74","13870.75"
"855 26th Street","March","2007","5074.76","5422.04"
"855 26th Street","April","2007","4640.44","5059.62"
"855 26th Street","May","2007","1428.26","1459.33"
"855 26th Street","June","2007","188.76","79.13"
"855 26th Street","July","2007","258.67","150.74"
"855 26th Street","August","2007","201.52","104.17"
"855 26th Street","September","2007","175.92","75.55"
"855 26th Street","October","2007","762.73","180.32"
"855 26th Street","November","2007","1691.87","1811.72"
"855 26th Street","December","2008","8473.49","9020.80"
"855 26th Street","January","2008","8222.91","8855.78"
"855 26th Street","February","2008","12157.48","12696.95"
"855 26th Street","March","2008","8690.76","8006.64"
"855 26th Street","April","2008","4978.58","4299.89"
"855 26th Street","May","2008","2422.98","1876.33"
"855 26th Street","June","2008","820.39","525.46"
"855 26th Street","August","2008","246.56","106.46"
"855 26th Street","September","2008","123.21","10.3"
"855 26th Street","October","2008","1392.46","1392.08"
"855 26th Street","November","2008","3179.33","3696.57"
"855 26th Street","December","2009","6777.54","8076.60"
"855 26th Street","January","2009","11135.17","13625.90"
"855 26th Street","February","2009","6412.60","8849.93"
"855 26th Street","March","2009","5367.31","8754.11"
"855 26th Street","Apr - May","2009","2212.77","3843.18"
"855 26th Street","Jun - Jul","2009","613.95","339.6"
"855 26th Street","August","2009","193.30","88.89"
"855 26th Street","September","2009","184.59","80.91"
"855 26th Street","October","2009","1506.41","2647.01"
"855 26th Street","November","2009","2430.65","3788.59"
"855 26th Street","December","2010","4978.90","7701.16"
"855 26th Street","January","2010","8510.19","11595.43"
"855 26th Street","February","2010","7548.64","9863.10"
"855 26th Street","March","2010","4537.63","6486.10"
"855 26th Street","April","2010","1997.55","3143.16"
"855 26th Street","May","2010","1964.11","3142.31"
"855 26th Street","June","2010","402.22","385.56"
"855 26th Street","July","2010","365.98","340.2"
"855 26th Street","August","2010","246.88","145.15"
