"address","city","state","zip","date_incident","jurisdiction","incident_tract","zone","ucr_incident_code","incident_description","incident_type","case_number","case_status","case_status_description","latitude","longitude","location","citydst"
"2200 Wilcox Blvd","Chattanooga","TN","37406","2022-09-12T12:36:00.000","TN0330100","B2","Baker N","23C","Shoplifting","Part 1 Crimes","22-099530","3","Pending/Possible Leads","35.053073","-85.260684","POINT (-85.260684 35.053073)","8"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-12T11:25:00.000","TN0330100","C3","Charlie S","23C","Shoplifting","Part 1 Crimes","22-099457","2","Cleared by Arrest","35.008288","-85.20612","POINT (-85.20612 35.008288)","6"
"800 Canal St","Chattanooga","TN","37402","2022-09-12T11:20:00.000","TN0330100","A8","Adam S","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099453","3","Pending/Possible Leads","35.050196","-85.32302","POINT (-85.32302 35.050196)","7"
"2100 Tinsley Pl","Chattanooga","TN","37404","2022-09-12T11:00:00.000","TN0330100","B6","Baker S","240","Motor Vehicle Theft","Part 1 Crimes","22-099539","3","Pending/Possible Leads","35.021631","-85.285862","POINT (-85.285862 35.021631)","8"
"2300 Rossville Blvd","Chattanooga","TN","37408","2022-09-12T10:54:00.000","TN0330100","B6","Baker S","23D","Theft From Buildings","Part 1 Crimes","22-099442","3","Pending/Possible Leads","35.022134","-85.29786100000001","POINT (-85.297861 35.022134)","8"
"2200 Hamilton Place Blvd","Chattanooga","TN","37421","2022-09-12T10:34:00.000","TN0330100","C7","Charlie N","23C","Shoplifting","Part 1 Crimes","22-099468","2","Cleared by Arrest","35.040136000000004","-85.154366","POINT (-85.154366 35.040136)","4"
"2200 Hamilton Place Blvd","Chattanooga","TN","37421","2022-09-12T10:30:00.000","TN0330100","C7","Charlie N","23C","Shoplifting","Part 1 Crimes","22-099437","2","Cleared by Arrest","35.041254","-85.153367","POINT (-85.153367 35.041254)","4"
"2200 Amnicola Hwy","Chattanooga","TN","37406","2022-09-12T10:23:00.000","TN0330100","B4","Baker N","23D","Theft From Buildings","Part 1 Crimes","22-099441","3","Pending/Possible Leads","35.071013","-85.270487","POINT (-85.270487 35.071013)","8"
"3500 Cummings Hwy","Chattanooga","TN","37419","2022-09-12T09:52:00.000","TN0330100","A13","Adam S","23C","Shoplifting","Part 1 Crimes","22-099427","3","Pending/Possible Leads","35.016095","-85.376784","POINT (-85.376784 35.016095)","1"
"2000 E 28th St","Chattanooga","TN","37407","2022-09-12T04:00:00.000","TN0330100","B7","Baker S","23H","All Other Larceny","Part 1 Crimes","22-099448","3","Pending/Possible Leads","35.01266","-85.285466","POINT (-85.285466 35.01266)","8"
"2700 Folts Dr","Chattanooga","TN","37415","2022-09-11T23:30:00.000","TN0330100","A3","Adam N","240","Motor Vehicle Theft","Part 1 Crimes","22-099383","4","Inactive/Suspended","35.091542000000004","-85.288975","POINT (-85.288975 35.091542)","2"
"1200 Market St","Chattanooga","TN","37402","2022-09-11T23:00:00.000","TN0330100","A9","Adam S","23G","Theft Of Motor Vehicle Parts Or Accessories","Part 1 Crimes","22-099420","4","Inactive/Suspended","35.039254","-85.30828100000001","POINT (-85.308281 35.039254)","7"
"2800 Fernleaf Ln","Chattanooga","TN","37421","2022-09-11T23:00:00.000","TN0330100","C8","Charlie N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099435","4","Inactive/Suspended","35.061431999999996","-85.145916","POINT (-85.145916 35.061432)","6"
"1000 Market St","Chattanooga","TN","37402","2022-09-11T22:52:00.000","TN0330100","A9","Adam S","23H","All Other Larceny","Part 1 Crimes","22-099312","2","Cleared by Arrest","35.045427999999994","-85.309903","POINT (-85.309903 35.045428)","7"
"1400 Chestnut St","Chattanooga","TN","37402","2022-09-11T22:18:00.000","TN0330100","A9","Adam S","23H","All Other Larceny","Part 1 Crimes","22-099283","3","Pending/Possible Leads","35.039246999999996","-85.313424","POINT (-85.313424 35.039247)","7"
"300 Browns Ferry Rd","Chattanooga","TN","37419","2022-09-11T20:37:00.000","TN0330100","A13","Adam S","220","Burglary/Breaking And Entering","Part 1 Crimes","22-099276","3","Pending/Possible Leads","35.029523","-85.363314","POINT (-85.363314 35.029523)","1"
"800 Canal St","Chattanooga","TN","37402","2022-09-11T20:00:00.000","TN0330100","A6","Adam S","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099477","4","Inactive/Suspended","35.050411000000004","-85.323226","POINT (-85.323226 35.050411)","7"
"3700 6th Ave","Chattanooga","TN","37407","2022-09-11T19:30:00.000","TN0330100","B9","Baker S","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099503","4","Inactive/Suspended","34.998617","-85.28781500000001","POINT (-85.287815 34.998617)","7"
"2000 Chamberlain Ave","Chattanooga","TN","37404","2022-09-11T19:21:00.000","TN0330100","B5","Baker S","220","Burglary/Breaking And Entering","Part 1 Crimes","22-099269","3","Pending/Possible Leads","35.034331","-85.274321","POINT (-85.274321 35.034331)","9"
"2000 Hamilton Place Blvd","Chattanooga","TN","37421","2022-09-11T18:23:00.000","TN0330100","C7","Charlie N","23C","Shoplifting","Part 1 Crimes","22-099238","3","Pending/Possible Leads","35.031673","-85.159687","POINT (-85.159687 35.031673)","4"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-11T18:10:00.000","TN0330100","C3","Charlie S","23C","Shoplifting","Part 1 Crimes","22-099233","2","Cleared by Arrest","35.008022000000004","-85.205613","POINT (-85.205613 35.008022)","6"
"200 Northgate Mall Dr","Chattanooga","TN","37415","2022-09-11T15:37:00.000","TN0330100","A2","Adam N","23C","Shoplifting","Part 1 Crimes","22-099186","2","Cleared by Arrest","35.129992","-85.24017","POINT (-85.24017 35.129992)","3"
"1000 Mackey Ave","Chattanooga","TN","37421","2022-09-11T14:00:00.000","TN0330100","C8","Charlie N","23H","All Other Larceny","Part 1 Crimes","22-099164","2","Cleared by Arrest","35.004718","-85.155479","POINT (-85.155479 35.004718)","4"
"2200 Hamilton Place Blvd","Chattanooga","TN","37421","2022-09-11T14:00:00.000","TN0330100","C7","Charlie N","23H","All Other Larceny","Part 1 Crimes","22-099179","3","Pending/Possible Leads","35.036455","-85.156587","POINT (-85.156587 35.036455)","4"
"1200 Boynton Dr","Chattanooga","TN","37402","2022-09-11T12:06:00.000","TN0330100","A6","Adam S","23D","Theft From Buildings","Part 1 Crimes","22-099104","3","Pending/Possible Leads","35.044553","-85.319217","POINT (-85.319217 35.044553)","7"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-11T12:00:00.000","TN0330100","C3","Charlie S","23C","Shoplifting","Part 1 Crimes","22-099111","2","Cleared by Arrest","35.009645","-85.20574400000001","POINT (-85.205744 35.009645)","6"
"4600 Plaza Hills Ln","Chattanooga","TN","37343","2022-09-11T11:48:00.000","TN0330100","A3","Adam N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099101","4","Inactive/Suspended","35.127697999999995","-85.265566","POINT (-85.265566 35.127698)","2"
"6100 Lee Hwy","Chattanooga","TN","37421","2022-09-11T11:15:00.000","TN0330100","C4","Charlie S","23H","All Other Larceny","Part 1 Crimes","22-099125","3","Pending/Possible Leads","35.031305","-85.19007199999999","POINT (-85.190072 35.031305)","6"
"3400 Hooker Ave","Chattanooga","TN","37419","2022-09-11T03:00:00.000","TN0330100","A13","Adam S","23H","All Other Larceny","Part 1 Crimes","22-099022","3","Pending/Possible Leads","35.043985","-85.363199","POINT (-85.363199 35.043985)","1"
"2700 N Orchard Knob Ave","Chattanooga","TN","37406","2022-09-11T02:38:00.000","TN0330100","B2","Baker N","240","Motor Vehicle Theft","Part 1 Crimes","22-098996","3","Pending/Possible Leads","35.070244","-85.255582","POINT (-85.255582 35.070244)","8"
"1500 Wilhoit Rd","Chattanooga","TN","37408","2022-09-11T01:15:00.000","TN0330100","A10","Adam S","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099010","3","Pending/Possible Leads","35.035272","-85.30457799999999","POINT (-85.304578 35.035272)","8"
"1800 Chestnut St","Chattanooga","TN","37408","2022-09-11T00:00:00.000","TN0330100","A10","Adam S","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099257","4","Inactive/Suspended","35.036326","-85.314363","POINT (-85.314363 35.036326)","7"
"100 River St","Chattanooga","TN","37405","2022-09-10T22:00:00.000","TN0330100","A7","Adam S","23H","All Other Larceny","Part 1 Crimes","22-099134","3","Pending/Possible Leads","35.061415","-85.306697","POINT (-85.306697 35.061415)","2"
"2300 Shallowford Village Dr","Chattanooga","TN","37421","2022-09-10T21:45:00.000","TN0330100","C9","Charlie N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099554","3","Pending/Possible Leads","35.045239","-85.15715","POINT (-85.15715 35.045239)","6"
"200 E 11th St","Chattanooga","TN","37402","2022-09-10T21:45:00.000","TN0330100","A9","Adam S","240","Motor Vehicle Theft","Part 1 Crimes","22-099056","4","Inactive/Suspended","35.043131","-85.30677299999999","POINT (-85.306773 35.043131)","8"
"4600 Lake Haven Dr","Chattanooga","TN","37416","2022-09-10T20:53:00.000","TN0330100","C5","Charlie N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098905","4","Inactive/Suspended","35.091686","-85.19658000000001","POINT (-85.19658 35.091686)","3"
"2600 E 17th St","Chattanooga","TN","37404","2022-09-10T20:00:00.000","TN0330100","B6","Baker S","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099345","4","Inactive/Suspended","35.018882999999995","-85.270227","POINT (-85.270227 35.018883)","9"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-10T19:46:00.000","TN0330100","C3","Charlie S","23C","Shoplifting","Part 1 Crimes","22-098901","2","Cleared by Arrest","35.009602","-85.20592","POINT (-85.20592 35.009602)","6"
"400 S Lyerly St","Chattanooga","TN","37404","2022-09-10T19:30:00.000","TN0330100","B5","Baker S","220","Burglary/Breaking And Entering","Part 1 Crimes","22-098977","3","Pending/Possible Leads","35.03278","-85.26974200000001","POINT (-85.269742 35.03278)","9"
"5700 Highway 153","Chattanooga","TN","37343","2022-09-10T17:15:00.000","TN0330100","A1","Adam N","23C","Shoplifting","Part 1 Crimes","22-099597","3","Pending/Possible Leads","35.153639999999996","-85.246611","POINT (-85.246611 35.15364)","3"
"2100 Hamilton Place Blvd","Chattanooga","TN","37421","2022-09-10T17:10:00.000","TN0330100","C7","Charlie N","23H","All Other Larceny","Part 1 Crimes","22-099296","3","Pending/Possible Leads","35.034785","-85.159392","POINT (-85.159392 35.034785)","4"
"2200 Union Ave","Chattanooga","TN","37404","2022-09-10T17:00:00.000","TN0330100","B5","Baker S","220","Burglary/Breaking And Entering","Part 1 Crimes","22-099335","3","Pending/Possible Leads","35.030203","-85.272223","POINT (-85.272223 35.030203)","9"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-10T16:29:00.000","TN0330100","C3","Charlie S","23H","All Other Larceny","Part 1 Crimes","22-098777","3","Pending/Possible Leads","35.008346","-85.204","POINT (-85.204 35.008346)","6"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-10T16:00:00.000","TN0330100","C3","Charlie S","23C","Shoplifting","Part 1 Crimes","22-098828","2","Cleared by Arrest","35.008344","-85.206187","POINT (-85.206187 35.008344)","6"
"100 Chestnut St","Chattanooga","TN","37402","2022-09-10T15:00:00.000","TN0330100","A7","Adam S","23D","Theft From Buildings","Part 1 Crimes","22-099450","3","Pending/Possible Leads","35.054508","-85.312352","POINT (-85.312352 35.054508)","7"
"3600 Brainerd Rd","Chattanooga","TN","37411","2022-09-10T14:30:00.000","TN0330100","C2","Charlie S","23G","Theft Of Motor Vehicle Parts Or Accessories","Part 1 Crimes","22-099409","4","Inactive/Suspended","35.02286","-85.243861","POINT (-85.243861 35.02286)","6"
"100 Cross St","Chattanooga","TN","37405","2022-09-10T14:00:00.000","TN0330100","A5","Adam N","23D","Theft From Buildings","Part 1 Crimes","22-098795","3","Pending/Possible Leads","35.100667","-85.32863300000001","POINT (-85.328633 35.100667)","1"
"3500 Cummings Hwy","Chattanooga","TN","37419","2022-09-10T12:00:00.000","TN0330100","A13","Adam S","23C","Shoplifting","Part 1 Crimes","22-098787","3","Pending/Possible Leads","35.015412999999995","-85.376137","POINT (-85.376137 35.015413)","1"
"3400 12th Ave","Chattanooga","TN","37407","2022-09-10T09:30:00.000","TN0330100","B8","Baker S","240","Motor Vehicle Theft","Part 1 Crimes","22-099117","3","Pending/Possible Leads","35.001699","-85.279766","POINT (-85.279766 35.001699)","7"
"3200 Clio Ave","Chattanooga","TN","37407","2022-09-10T04:55:00.000","TN0330100","B7","Baker S","240","Motor Vehicle Theft","Part 1 Crimes","22-098722","4","Inactive/Suspended","35.007996999999996","-85.291532","POINT (-85.291532 35.007997)","7"
"5700 Lee Hwy","Chattanooga","TN","37421","2022-09-10T04:00:00.000","TN0330100","C4","Charlie S","240","Motor Vehicle Theft","Part 1 Crimes","22-098732","4","Inactive/Suspended","35.019715","-85.20302","POINT (-85.20302 35.019715)","5"
"2900 2nd Ave","Chattanooga","TN","37407","2022-09-10T03:15:00.000","TN0330100","B7","Baker S","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098674","3","Pending/Possible Leads","35.009458","-85.285493","POINT (-85.285493 35.009458)","7"
"1500 S Holtzclaw Ave","Chattanooga","TN","37404","2022-09-10T02:29:00.000","TN0330100","B6","Baker S","220","Burglary/Breaking And Entering","Part 1 Crimes","22-098656","2","Cleared by Arrest","35.027892","-85.28898600000001","POINT (-85.288986 35.027892)","8"
"2300 Center St","Chattanooga","TN","37421","2022-09-10T00:30:00.000","TN0330100","C9","Charlie N","240","Motor Vehicle Theft","Part 1 Crimes","22-098712","3","Pending/Possible Leads","35.04584","-85.158537","POINT (-85.158537 35.04584)","6"
"2300 Shallowford Village Dr","Chattanooga","TN","37421","2022-09-09T22:00:00.000","TN0330100","C9","Charlie N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098706","4","Inactive/Suspended","35.045700000000004","-85.156949","POINT (-85.156949 35.0457)","6"
"3200 Rossville Blvd","Chattanooga","TN","37407","2022-09-09T21:00:00.000","TN0330100","B7","Baker S","23H","All Other Larceny","Part 1 Crimes","22-098598","3","Pending/Possible Leads","35.005971","-85.29277","POINT (-85.29277 35.005971)","7"
"2800 E 48th St","Chattanooga","TN","37407","2022-09-09T20:09:00.000","TN0330100","B9","Baker S","23H","All Other Larceny","Part 1 Crimes","22-098530","3","Pending/Possible Leads","34.988344999999995","-85.28847400000001","POINT (-85.288474 34.988345)","7"
"3000 N Hickory St","Chattanooga","TN","37406","2022-09-09T19:51:00.000","TN0330100","B2","Baker N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098479","I","Closed","35.075356","-85.25637","POINT (-85.25637 35.075356)","8"
"2700 Rossville Blvd","Chattanooga","TN","37404","2022-09-09T18:16:00.000","TN0330100","B7","Baker S","23C","Shoplifting","Part 1 Crimes","22-098513","3","Pending/Possible Leads","35.01575","-85.294153","POINT (-85.294153 35.01575)","8"
"2200 Center St","Chattanooga","TN","37421","2022-09-09T18:00:00.000","TN0330100","C6","Charlie N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098718","4","Inactive/Suspended","35.042448","-85.161184","POINT (-85.161184 35.042448)","6"
"3500 Cummings Hwy","Chattanooga","TN","37419","2022-09-09T17:01:00.000","TN0330100","A13","Adam S","23C","Shoplifting","Part 1 Crimes","22-098458","2","Cleared by Arrest","35.016124999999995","-85.375676","POINT (-85.375676 35.016125)","1"
"2100 Gunbarrel Rd","Chattanooga","TN","37421","2022-09-09T15:40:00.000","TN0330100","C7","Charlie N","23C","Shoplifting","Part 1 Crimes","22-098441","3","Pending/Possible Leads","35.035475","-85.148788","POINT (-85.148788 35.035475)","4"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-09T15:01:00.000","TN0330100","C3","Charlie S","23C","Shoplifting","Part 1 Crimes","22-098425","3","Pending/Possible Leads","35.008475000000004","-85.203853","POINT (-85.203853 35.008475)","6"
"Mile Marker 1 I 75 Sb","Chattanooga","TN","37411","2022-09-09T15:00:00.000","TN0330100","C4","Charlie S","240","Motor Vehicle Theft","Part 1 Crimes","22-099408","4","Inactive/Suspended","35.031332","-85.228593","POINT (-85.228593 35.031332)","5"
"2100 Hamilton Place Blvd","Chattanooga","TN","37421","2022-09-09T15:00:00.000","TN0330100","C7","Charlie N","23C","Shoplifting","Part 1 Crimes","22-098423","2","Cleared by Arrest","35.036243","-85.159392","POINT (-85.159392 35.036243)","4"
"7000 Mccutcheon Rd","Chattanooga","TN","37421","2022-09-09T15:00:00.000","TN0330100","C9","Charlie N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098900","4","Inactive/Suspended","35.046815","-85.157357","POINT (-85.157357 35.046815)","6"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-09T13:36:00.000","TN0330100","C3","Charlie S","23C","Shoplifting","Part 1 Crimes","22-098397","2","Cleared by Arrest","35.008852000000005","-85.205156","POINT (-85.205156 35.008852)","6"
"900 Douglas St","Chattanooga","TN","37403","2022-09-09T13:00:00.000","TN0330100","A9","Adam S","23D","Theft From Buildings","Part 1 Crimes","22-098685","3","Pending/Possible Leads","35.042405","-85.302252","POINT (-85.302252 35.042405)","8"
"3000 4th Ave","Chattanooga","TN","37407","2022-09-09T12:40:00.000","TN0330100","B7","Baker S","23H","All Other Larceny","Part 1 Crimes","22-098399","3","Pending/Possible Leads","35.008770000000005","-85.284873","POINT (-85.284873 35.00877)","7"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-09T12:07:00.000","TN0330100","C3","Charlie S","23C","Shoplifting","Part 1 Crimes","22-098365","2","Cleared by Arrest","35.008498","-85.205612","POINT (-85.205612 35.008498)","6"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-09T11:20:00.000","TN0330100","C3","Charlie S","23H","All Other Larceny","Part 1 Crimes","22-098403","3","Pending/Possible Leads","35.007814","-85.20456800000001","POINT (-85.204568 35.007814)","6"
"700 Runyan Dr","Chattanooga","TN","37405","2022-09-09T10:00:00.000","TN0330100","A5","Adam N","240","Motor Vehicle Theft","Part 1 Crimes","22-098301","2","Cleared by Arrest","35.098598","-85.325667","POINT (-85.325667 35.098598)","1"
"500 Signal Mountain Rd","Chattanooga","TN","37405","2022-09-09T10:00:00.000","TN0330100","A5","Adam N","23C","Shoplifting","Part 1 Crimes","22-098325","2","Cleared by Arrest","35.094901","-85.331277","POINT (-85.331277 35.094901)","1"
"1400 E 50th St","Chattanooga","TN","37407","2022-09-09T10:00:00.000","TN0330100","B9","Baker S","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098853","4","Inactive/Suspended","34.985482000000005","-85.29240899999999","POINT (-85.292409 34.985482)","7"
"1800 S Orchard Knob Ave","Chattanooga","TN","37404","2022-09-09T09:00:00.000","TN0330100","B6","Baker S","23H","All Other Larceny","Part 1 Crimes","22-099561","3","Pending/Possible Leads","35.022903","-85.282528","POINT (-85.282528 35.022903)","8"
"5900 Lee Hwy","Chattanooga","TN","37421","2022-09-09T08:53:00.000","TN0330100","C4","Charlie S","23G","Theft Of Motor Vehicle Parts Or Accessories","Part 1 Crimes","22-098300","4","Inactive/Suspended","35.025036","-85.19573","POINT (-85.19573 35.025036)","5"
"1100 Grove St","Chattanooga","TN","37402","2022-09-09T08:00:00.000","TN0330100","A6","Adam S","220","Burglary/Breaking And Entering","Part 1 Crimes","22-098614","3","Pending/Possible Leads","35.045221","-85.316755","POINT (-85.316755 35.045221)","7"
"2100 Gunbarrel Rd","Chattanooga","TN","37421","2022-09-09T07:38:00.000","TN0330100","C7","Charlie N","220","Burglary/Breaking And Entering","Part 1 Crimes","22-098282","3","Pending/Possible Leads","35.034588","-85.153002","POINT (-85.153002 35.034588)","4"
"3500 Cummings Hwy","Chattanooga","TN","37419","2022-09-09T07:20:00.000","TN0330100","A13","Adam S","23C","Shoplifting","Part 1 Crimes","22-098281","3","Pending/Possible Leads","35.016349","-85.376718","POINT (-85.376718 35.016349)","1"
"3600 Hixson Pike","Chattanooga","TN","37415","2022-09-09T06:23:00.000","TN0330100","A4","Adam N","220","Burglary/Breaking And Entering","Part 1 Crimes","22-098267","3","Pending/Possible Leads","35.108079","-85.270742","POINT (-85.270742 35.108079)","2"
"3600 Hixson Pike","Chattanooga","TN","37415","2022-09-09T06:23:00.000","TN0330100","A4","Adam N","23D","Theft From Buildings","Part 1 Crimes","22-098267","3","Pending/Possible Leads","35.106745","-85.27069900000001","POINT (-85.270699 35.106745)","2"
"2000 S Lyerly St","Chattanooga","TN","37404","2022-09-09T05:30:00.000","TN0330100","B6","Baker S","240","Motor Vehicle Theft","Part 1 Crimes","22-098258","3","Pending/Possible Leads","35.01884","-85.276968","POINT (-85.276968 35.01884)","9"
"7000 Shallowford Rd","Chattanooga","TN","37421","2022-09-09T05:15:00.000","TN0330100","C9","Charlie N","23H","All Other Larceny","Part 1 Crimes","22-098263","3","Pending/Possible Leads","35.043566","-85.15983899999999","POINT (-85.159839 35.043566)","6"
"2700 N Chamberlain Ave","Chattanooga","TN","37406","2022-09-09T04:05:00.000","TN0330100","B2","Baker N","23H","All Other Larceny","Part 1 Crimes","22-098370","3","Pending/Possible Leads","35.067184","-85.247732","POINT (-85.247732 35.067184)","9"
"7000 Shallowford Rd","Chattanooga","TN","37421","2022-09-09T03:00:00.000","TN0330100","C6","Charlie N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099551","3","Pending/Possible Leads","35.04387800000001","-85.160246","POINT (-85.160246 35.043878)","6"
"2000 Gunbarrel Rd","Chattanooga","TN","37421","2022-09-09T01:15:00.000","TN0330100","C7","Charlie N","240","Motor Vehicle Theft","Part 1 Crimes","22-098230","2","Cleared by Arrest","35.033541","-85.152268","POINT (-85.152268 35.033541)","4"
"3900 6th Ave","Chattanooga","TN","37407","2022-09-09T00:01:00.000","TN0330100","B9","Baker S","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098284","4","Inactive/Suspended","34.999188","-85.287178","POINT (-85.287178 34.999188)","7"
"1900 Rosebrook Dr","Chattanooga","TN","37421","2022-09-09T00:00:00.000","TN0330100","C7","Charlie N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098467","4","Inactive/Suspended","35.023774","-85.150481","POINT (-85.150481 35.023774)","4"
"4000 12th Ave","Chattanooga","TN","37407","2022-09-08T23:37:00.000","TN0330100","B9","Baker S","220","Burglary/Breaking And Entering","Part 1 Crimes","22-098215","3","Pending/Possible Leads","34.995556","-85.283452","POINT (-85.283452 34.995556)","7"
"500 E 17th St","Chattanooga","TN","37408","2022-09-08T22:00:00.000","TN0330100","A10","Adam S","23H","All Other Larceny","Part 1 Crimes","22-098319","3","Pending/Possible Leads","35.032585","-85.300674","POINT (-85.300674 35.032585)","7"
"3900 6th Ave","Chattanooga","TN","37407","2022-09-08T22:00:00.000","TN0330100","B9","Baker S","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098317","4","Inactive/Suspended","34.998176","-85.288051","POINT (-85.288051 34.998176)","7"
"200 N Marks Ave","Chattanooga","TN","37411","2022-09-08T22:00:00.000","TN0330100","C3","Charlie S","23D","Theft From Buildings","Part 1 Crimes","22-098192","3","Pending/Possible Leads","35.01381","-85.22485200000001","POINT (-85.224852 35.01381)","5"
"400 S Kelley St","Chattanooga","TN","37404","2022-09-08T22:00:00.000","TN0330100","B5","Baker S","220","Burglary/Breaking And Entering","Part 1 Crimes","22-098546","3","Pending/Possible Leads","35.032275999999996","-85.269773","POINT (-85.269773 35.032276)","9"
"2300 E 4th St","Chattanooga","TN","37404","2022-09-08T20:39:00.000","TN0330100","B4","Baker N","23H","All Other Larceny","Part 1 Crimes","22-098147","3","Pending/Possible Leads","35.038267000000005","-85.265657","POINT (-85.265657 35.038267)","9"
"1100 Lindsay St","Chattanooga","TN","37402","2022-09-08T20:00:00.000","TN0330100","A9","Adam S","240","Motor Vehicle Theft","Part 1 Crimes","22-098355","4","Inactive/Suspended","35.042776","-85.307958","POINT (-85.307958 35.042776)","8"
"2300 Center St","Chattanooga","TN","37421","2022-09-08T19:45:00.000","TN0330100","C9","Charlie N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098181","4","Inactive/Suspended","35.047091","-85.157844","POINT (-85.157844 35.047091)","6"
"2200 Hamilton Place Blvd","Chattanooga","TN","37421","2022-09-08T19:28:00.000","TN0330100","C7","Charlie N","23C","Shoplifting","Part 1 Crimes","22-098142","3","Pending/Possible Leads","35.039815000000004","-85.152946","POINT (-85.152946 35.039815)","4"
"2300 Center St","Chattanooga","TN","37421","2022-09-08T17:00:00.000","TN0330100","C9","Charlie N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-098588","4","Inactive/Suspended","35.045118","-85.158997","POINT (-85.158997 35.045118)","6"
"2200 Gunbarrel Rd","Chattanooga","TN","37421","2022-09-08T16:30:00.000","TN0330100","C7","Charlie N","23C","Shoplifting","Part 1 Crimes","22-098089","3","Pending/Possible Leads","35.040941","-85.15047700000001","POINT (-85.150477 35.040941)","4"
