"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_est_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"3-01179-0085","61 EASTERN PARKWAY
Brooklyn, NY 
(40.672919834928, -73.966602342307)","3","11238","40.672797","-73.966513","8","35","215","3029634","3011790085","Prospect Heights                                                           ","PROSPECT HEIGHTS","D4-ELEVATOR","41","1930","49157","742104","15.1","2510000","51","3-01078-0016","530 2 STREET
Brooklyn, NY 
(40.670711051002, -73.977282710454)","PARK SLOPE","D1-ELEVATOR","47","1920","39261","599874","15.28","2030000","52","0.65","3-01361-0043","1248 ST MARK'S AVENUE
Brooklyn, NY 
(40.673981012962, -73.928175766891)","CROWN HEIGHTS","D1-ELEVATOR","48","1926","37400","601194","16.07","2030000","54","1.9"
"3-00276-0028","166 STATE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11201","40.690711","-73.993401","2","33","9","3002782","3002760028","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","C6-WALK-UP","20","1900","12600","290072","23.02","1200000","95","3-00821-0012","224 54 STREET
Brooklyn, NY 
(40.646488256165, -74.018705968649)","BUSH TERMINAL","C1-WALK-UP","18","1911","10800","248387","23","527000","48.8","3.35","3-02558-0064","109 GREENPOINT AVENUE
Brooklyn, NY 
(40.730090522565, -73.955751984342)","GREENPOINT","C1-WALK-UP","16","1930","13000","647636","49.8","3180000","245","3.4"
"3-01107-0009","41 PROSPECT PARK
Brooklyn, NY 
(40.700744744272, -73.989234718086)","3","11215","40.661354","-73.96968","55","39","177","3000000","3011170001","park-cemetery-etc-Brooklyn                                                 ","WINDSOR TERRACE","C6-WALK-UP","20","1920","17324","344355","19.88","1290000","74","3-00396-0053","311 BALTIC STREET
Brooklyn, NY 
(40.685046380837, -73.992259277473)","BOERUM HILL","C1-WALK-UP","20","1900","17640","398277","22.58","1650000","94","2.05","3-03044-0029","165 MESEROLE STREET
Brooklyn, NY 
(40.708169057316, -73.942541294527)","WILLIAMSBURG-EAST","C1-WALK-UP","39","1930","17460","387334","22.18","1600000","92","3.85"
"3-08399-0040","5610 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"OLD MILL BASIN","C6-WALK-UP","36","1955","32233","559785","17.37","2090000","65","3-05670-0047","1379 54 STREET
Brooklyn, NY 
(40.631225672155, -73.993284116546)","BOROUGH PARK","C7-WALK-UP","11","1916","22500","406134","18.05","1520000","68","4.1","3-05024-0063","526 FLATBUSH AVENUE
Brooklyn, NY 
(40.661320254035, -73.961214173092)","FLATBUSH-LEFFERTS GARDEN","C1-WALK-UP","16","1931","7596","157756","20.77","590000","78","4"
"3-01171-0019","60 PLAZA ST
Brooklyn, NY 
(40.673100442771, -73.971175192491)","3","11238","40.674332","-73.968802","8","35","207","3029333","3011710019","Prospect Heights                                                           ","PROSPECT HEIGHTS","D4-ELEVATOR","80","1940","97320","1342208","13.79","4180000","43","3-01164-0064","215 STERLING PLACE
Brooklyn, NY 
(40.676161347247, -73.970667605291)","PROSPECT HEIGHTS","D1-ELEVATOR","82","1937","92902","1439718","15.5","4870000","52","0.2","3-00236-0015","55 PIERREPONT STREET
Brooklyn, NY 
(40.695829631478, -73.995231517766)","BROOKLYN HEIGHTS","D7-ELEVATOR","191","1928","157042","2536474","16.15","5380000","34.3","2.05"
"3-05285-0040","82 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"WINDSOR TERRACE","D4-ELEVATOR","67","1939","86420","995676","11.52","2800000","32.4","3-05279-0043","829 GREENWOOD AVENUE
Brooklyn, NY 
(40.652297321362, -73.973630891536)","WINDSOR TERRACE","D1-ELEVATOR","135","1982","104640","2225685","21.27","9220000","88","0.15","3-05287-0001","10 OCEAN PARKWAY
Brooklyn, NY 
(40.650883106629, -73.973247379521)","WINDSOR TERRACE","D1-ELEVATOR","133","1927","136362","1550896","11.37","4020000","29.5","0.1"
"3-07433-0034","1237 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"SHEEPSHEAD BAY","D4-ELEVATOR","128","1958","122753","1827160","14.88","6180000","50","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","340920","13.6","723000","28.8","1.1","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4596080","42.7","22600000","210","2.6"
"3-00987-0011","270 5 STREET
Brooklyn, NY 
(40.672125132241, -73.985461442301)","3",,,,,,,,,,"PARK SLOPE","C6-WALK-UP","35","1911","38775","658182","16.97","2460000","63","3-00733-0038","874 43 STREET
Brooklyn, NY 
(40.644026338157, -73.998001532029)","BOROUGH PARK","C1-WALK-UP","44","1926","30556","497015","16.27","1680000","55","2.05","3-00297-0019","182 AMITY STREET
Brooklyn, NY 
(40.688767939764, -73.994587461443)","COBBLE HILL","C1-WALK-UP","48","1900","35950","675288","18.78","2520000","70","1.2"
"3-00918-0001","605 41 STREET
Brooklyn, NY 
(40.6487491439, -74.002695324348)","3",,,,,,,,,,"SUNSET PARK","C6-WALK-UP","20","1921","13588","213931","15.74","723000","53","3-00681-0052","215 33 STREET
Brooklyn, NY 
(40.655489234157, -74.001766564187)","SUNSET PARK","C1-WALK-UP","24","1917","13400","223326","16.67","755000","56","0.5","3-01173-0078","369 ST JOHN'S PLACE
Brooklyn, NY 
(40.674149953929, -73.965467116157)","PROSPECT HEIGHTS","C1-WALK-UP","16","1909","13385","236387","17.66","884000","66","2.65"
"3-00292-0050","175 AMITY STREET
Brooklyn, NY 
(40.688874251731, -73.994762152373)","3","11201","40.688746","-73.99435","6","39","45","3003087","3002920050","Carroll Gardens-Columbia Street-Red Hook                                   ","COBBLE HILL","C6-WALK-UP","17","1900","10060","236859","23.54","981000","98","3-00210-0016","42 HICKS STREET
Brooklyn, NY 
(40.700665542553, -73.993316201115)","BROOKLYN HEIGHTS","C1-WALK-UP","12","1900","7935","254362","32.1","1180000","149","0.8","3-00215-0008","32 MIDDAGH STREET
Brooklyn, NY 
(40.700575841826, -73.993802643984)","BROOKLYN HEIGHTS","C1-WALK-UP","16","1900","6570","240307","36.6","1120000","170","0.8"
"3-01068-0003","115 8 AVENUE
Brooklyn, NY 
(40.672335646517, -73.973696513301)","3","11215","40.672392","-73.973691","6","39","165","3024793","3010680003","Park Slope-Gowanus                                                         ","PARK SLOPE","C6-WALK-UP","12","1920","5780","117612","20.35","487000","84","3-00243-0032","98 PIERREPONT STREET
Brooklyn, NY 
(40.695305668368, -73.993536794486)","BROOKLYN HEIGHTS","C1-WALK-UP","11","1860","6000","128415","21.4","532000","89","1.9","3-02409-0003","252 1 STREET
Brooklyn, NY 
(40.67487164256, -73.98413647011)","WILLIAMSBURG-SOUTH","C1-WALK-UP","23","1920","6000","142000","23.67","588000","98","2.85"
"3-00219-0005","81 COLUMBIA HEIGHTS
Brooklyn, NY 
(40.700223078566, -73.995382984989)","3","11201","40.700172","-73.995207","2","33","1","3326022","3002190005","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","C6-WALK-UP","60","1890","39280","846360","21.55","3510000","89","3-00042-0018","254 WATER STREET
Brooklyn, NY 
(40.702970948925, -73.983701985909)","DOWNTOWN-FULTON FERRY","D8-ELEVATOR","26","2002","28358","614007","21.65","2540000","90","0.65","3-06681-0225","1879 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D3-ELEVATOR","50","1987","36769","652000","17.73","1380000","37.5","6.8"
"3-01612-0064","479 VAN BUREN STREET
Brooklyn, NY 
(40.691731205848, -73.928981751366)","3","11221","40.691661","-73.929394","3","36","387","3043671","3016120064","Stuyvesant Heights                                                         ","BEDFORD STUYVESANT","C6-WALK-UP","20","1931","15072","243111","16.13","515000","34.2","3-01588-0036","58 LEWIS AVENUE
Brooklyn, NY 
(40.695836180776, -73.937655526116)","BEDFORD STUYVESANT","C1-WALK-UP","12","1931","10000","154158","15.42","521000","52","0.55","3-01852-0025","216 MACON STREET
Brooklyn, NY 
(40.681904351012, -73.942180899889)","BEDFORD STUYVESANT","C1-WALK-UP","16","1900","15888","259202","16.31","876000","55","1"
"3-01051-0024","88 16 STREET
Brooklyn, NY 
(40.666551262213, -73.993153851666)","3",,,,,,,,,,"GOWANUS","C6-WALK-UP","16","1912","16480","377172","22.89","897000","54","3-00975-0017","390 2 STREET
Brooklyn, NY 
(40.672989449655, -73.982007426881)","PARK SLOPE","C1-WALK-UP","16","1920","16752","371499","22.18","1540000","92","0.75","3-00177-0034","397 ATLANTIC AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BOERUM HILL","C1-WALK-UP","13","2004","14800","466050","31.5","2170000","147","1.55"
"3-07293-0003","1410 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"MADISON","D4-ELEVATOR","48","1939","50400","581210","11.53","1630000","32.3","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","340920","13.6","723000","28.8","0.4","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4596080","42.7","22600000","210","2.2"
"3-05887-0006","7101 SHORE ROAD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11209","40.636477","-74.03669","10","43","34","3146369","3058870006","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","53","1931","72312","1295831","17.92","4850000","67","3-06047-0031","8708 RIDGE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BAY RIDGE","D1-ELEVATOR","78","1927","62556","1206404","19.29","4510000","72","0.85","3-06107-0029","364 93 STREET
Brooklyn, NY 
(40.618015768336, -74.031381813636)","BAY RIDGE","D1-ELEVATOR","83","1928","57024","908920","15.94","3070000","54","1.25"
"3-01933-0001","21 ST JAMES PLACE
Brooklyn, NY 
(40.689136736879, -73.965029895887)","3","11205","40.689103","-73.965001","2","35","193","3055374","3019330001","Clinton Hill                                                               ","CLINTON HILL","D4-ELEVATOR","327","1963","370990","5063031","13.65","10700000","28.8","3-00271-0001","205 STATE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","DOWNTOWN-FULTON MALL","D1-ELEVATOR","364","2003","242752","6106286","25.2","25300000","104","1.5","3-06468-0016","1429 SHORE PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BATH BEACH","D1-ELEVATOR","263","1960","257300","3619496","14.07","11300000","43.9","6.6"
"3-06417-0039","2250 BENSON AVENUE
Brooklyn, NY 
(40.599294211758, -73.994083566699)","3","11214","40.59926","-73.994004","11","47","296","3168100","3064170039","Bensonhurst West                                                           ","GRAVESEND","D4-ELEVATOR","73","1956","78330","1304978","16.66","4410000","56","3-06383-0006","2255 BENSON AVENUE
Brooklyn, NY 
(40.59931837295, -73.994008247892)","GRAVESEND","D1-ELEVATOR","69","1960","54210","825550","15.23","2790000","51","0.15","3-05881-0038","15 MACKAY PLACE
Brooklyn, NY 
(40.637146571273, -74.035450291167)","BAY RIDGE","D1-ELEVATOR","69","1960","50400","806953","16.01","2730000","54","3.45"
"3-05885-0103","7002 RIDGE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11209","40.63576","-74.028997","10","43","36","3146308","3058850103","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","83","1931","87174","1562158","17.92","5840000","67","3-06026-0001","8415 4 AVENUE
Brooklyn, NY 
(40.623897963169, -74.027877752129)","BAY RIDGE","D1-ELEVATOR","112","1926","81000","1244260","15.36","4210000","52","0.85","3-06069-0013","8829 FT HAMILTON PARKWAY
Brooklyn, NY 
(40.619199405119, -74.025508438186)","BAY RIDGE","D1-ELEVATOR","139","1927","96952","1719535","17.74","6430000","66","1.2"
"3-06681-0035","367 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"OCEAN PARKWAY-SOUTH","D4-ELEVATOR","156","1950","117884","1428460","12.12","4010000","34","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","340920","13.6","723000","28.8","0.4","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4596080","42.7","22600000","210","2.9"
"3-03323-0068","101 LINDEN STREET
Brooklyn, NY 
(40.692765249127, -73.92006488601)","3","11221","40.69292","-73.919884","4","34","417","3076113","3033230068","Bushwick South                                                             ","BUSHWICK","C6-WALK-UP","23","1931","21930","251098","11.45","706000","32.2","3-03235-0040","1441 DE KALB AVENUE
Brooklyn, NY 
(40.700508665466, -73.922994673696)","BUSHWICK","C1-WALK-UP","16","1931","16133","160623","9.96","382000","23.68","0.5","3-03283-0035","920 BUSHWICK AVENUE
Brooklyn, NY 
(40.693021047164, -73.924453437314)","BUSHWICK","C1-WALK-UP","24","1931","20480","217518","10.62","564000","27.5","0.3"
"3-01100-0027","424 13 STREET
Brooklyn, NY 
(40.663820755741, -73.982263473952)","3",,,,,,,,,,"PARK SLOPE","C6-WALK-UP","20","1921","15000","284533","18.97","1060000","71","3-00172-0064","375 STATE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","DOWNTOWN-FULTON MALL","C1-WALK-UP","20","1905","15200","290159","19.09","1080000","71","1.65","3-01041-0011","204 14 STREET
Brooklyn, NY 
(40.605018539187, -74.00996868818)","PARK SLOPE SOUTH","C1-WALK-UP","20","1915","15140","334179","22.07","1380000","91","0.45"
"3-07457-0001","2620 13 STREET
Brooklyn, NY 
(40.584603826224, -73.981966654599)","3",,,,,,,,,,"SHEEPSHEAD BAY","D4-ELEVATOR","192","1952","188374","3396205","18.03","12700000","67","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","340920","13.6","723000","28.8","1.25","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4596080","42.7","22600000","210","2.65"
"3-06439-0052","208 BAY 22 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11214","40.601442","-74.003929","11","43","282","3168733","3064390052","Bath Beach                                                                 ","BATH BEACH","C6-WALK-UP","16","1916","13940","221785","15.91","750000","54","3-05854-0072","315 68 STREET
Brooklyn, NY 
(40.636294673129, -74.025319056979)","BAY RIDGE","C1-WALK-UP","16","1919","18650","173580","9.31","413000","22.14","2.6","3-06060-0026","160 88 STREET
Brooklyn, NY 
(40.623078804651, -74.036054427576)","BAY RIDGE","C1-WALK-UP","16","1930","18608","258264","13.88","804000","43.2","2.2"
"3-01986-0007","272 GATES AVENUE
Brooklyn, NY 
(40.685558764562, -73.956054024097)","3","11216","40.685597","-73.955913","3","36","229","3057004","3019860007","Clinton Hill                                                               ","BEDFORD STUYVESANT","C6-WALK-UP","16","1930","15837","315531","19.92","750000","47.4","3-00172-0064","375 STATE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","DOWNTOWN-FULTON MALL","C1-WALK-UP","20","1905","15200","290159","19.09","1080000","71","1.45","3-01158-0016","170 PROSPECT PLACE
Brooklyn, NY 
(40.67812026645, -73.971219503991)","PROSPECT HEIGHTS","C1-WALK-UP","16","1931","16124","391887","24.3","1620000","100","0.95"
"3-03243-0052","87 STOCKHOLM STREET
Brooklyn, NY 
(40.697188790348, -73.925104568118)","3","11221","40.697063","-73.925187","4","34","421","3073775","3032430052","Bushwick South                                                             ","BUSHWICK","C6-WALK-UP","20","1931","14800","152440","10.3","395000","26.7","3-03612-0011","919 HOPKINSON AVENUE
Brooklyn, NY 
(40.657863656559, -73.910606048624)","BROWNSVILLE","C1-WALK-UP","20","1930","19200","203457","10.6","527000","27.4","2.8","3-03243-0048","93 STOCKHOLM STREET
Brooklyn, NY 
(40.697349650754, -73.924945156905)","BUSHWICK","C1-WALK-UP","14","1931","17000","127271","7.49","270000","15.88","0"
"3-00208-0508","2 MONTAGUE TERRACE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11201","40.695547","-73.99744","2","33","301","3001519","3002080508","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","25","1917","54966","1212671","22.06","5020000","91","3-01251-0001","243 KINGSTON AVENUE
Brooklyn, NY 
(40.671576431153, -73.941944587158)","CROWN HEIGHTS","D9-ELEVATOR","80","1910","54516","1258513","23.09","2670000","49","3.45","3-00247-0028","74 MONTAGUE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BROOKLYN HEIGHTS","D3-ELEVATOR","59","1912","54640","1060307","19.41","3960000","72","0.25"
"3-01777-0015","250 PULASKI STREET
Brooklyn, NY 
(40.693204675912, -73.94171156903)","3","11206","40.69323","-73.941668","3","36","281","3348297","3017770015","Stuyvesant Heights                                                         ","BEDFORD STUYVESANT","D4-ELEVATOR","66","1975","77740","1244617","16.01","2640000","34","3-06383-0006","2255 BENSON AVENUE
Brooklyn, NY 
(40.59931837295, -73.994008247892)","GRAVESEND","D1-ELEVATOR","69","1960","54210","825550","15.23","2790000","51","7","3-05881-0038","15 MACKAY PLACE
Brooklyn, NY 
(40.637146571273, -74.035450291167)","BAY RIDGE","D1-ELEVATOR","69","1960","50400","806953","16.01","2730000","54","6.2"
"3-07238-0049","2620 OCEAN PARKWAY
Brooklyn, NY 
(40.586098707573, -73.96659566334)","3","11235","40.586171","-73.966276","13","47","37401","3196064","3072380049","Gravesend                                                                  ","OCEAN PARKWAY-SOUTH","D4-ELEVATOR","68","1960","67272","1120752","16.66","3790000","56","3-06383-0006","2255 BENSON AVENUE
Brooklyn, NY 
(40.59931837295, -73.994008247892)","GRAVESEND","D1-ELEVATOR","69","1960","54210","825550","15.23","2790000","51","1.6","3-05881-0038","15 MACKAY PLACE
Brooklyn, NY 
(40.637146571273, -74.035450291167)","BAY RIDGE","D1-ELEVATOR","69","1960","50400","806953","16.01","2730000","54","5"
