"staten_island_condominiums_comparable_properties_boro_block_lot","staten_island_condominiums_comparable_properties_condo_section","staten_island_condominiums_comparable_properties_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","staten_island_condominiums_comparable_properties_neighborhood","staten_island_condominiums_comparable_properties_building_classification","staten_island_condominiums_comparable_properties_total_units","staten_island_condominiums_comparable_properties_year_built","staten_island_condominiums_comparable_properties_gross_sqft","staten_island_condominiums_comparable_properties_estimated_gross_income","staten_island_condominiums_comparable_properties_gross_income_per_sqft","staten_island_condominiums_comparable_properties_estimated_expense","staten_island_condominiums_comparable_properties_expense_per_sqft","staten_island_condominiums_comparable_properties_net_operating_income","staten_island_condominiums_comparable_properties_full_market_value","staten_island_condominiums_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_condo_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_condo_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_condo_in_miles"
"5-00631-7501","0094-R1","755 NARROWS ROAD NORTH","5","10304","40.610665","-74.093567","1","49","47","5089818","5006317501","Grymes Hill-Clifton-Fox Hills                                              ","GRYMES HILL","R4-CONDOMINIUM","93","1987","72970","1162412","15.93","626812","8.59","535600","3654982","50.09","5-03168-0161","1000 TARGEE STREET","GRASMERE","D5-ELEVATOR","98","1972","74260","1182687","15.93","702850","9.46","479837","3275000","44.1","0.52","5-02877-0025","55 BOWEN STREET","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154860","2466552","15.93","1638769","10.58","827783","5566000","35.94","0.54",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-02400-7501","0115-R1","80 RICHMOND HILL ROAD","5","10314","40.587767","-74.165557","2","51","27702","5104717","5024007501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-CONDOMINIUM","243","1990","208726","2934688","14.06","1467344","7.03","1467344","9647986","46.22","5-02922-0150","225 PARK HILL AVENUE","CONCORD-FOX HILLS","D1-ELEVATOR","306","1970","297600","4782605","16.07","3004835","10.1","1777770","10670000","35.85","4.86","5-03983-0001","655 TYSENS LANE","NEW DORP","D3-ELEVATOR","385","1969","352800","4450753","12.62","2635542","7.47","1815211","12153000","34.45","3.03",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-02450-7506","0039-R1","2 ELMWOOD PARK DRIVE","5","10314","40.581202","-74.162664","2","51","27702","5040473","5024507506","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-CONDOMINIUM","177","1983","195678","2334439","11.93","1299302","6.64","1035137","6602007","33.74","5-03983-0065","26 EBBITTS STREET","NEW DORP","D3-ELEVATOR","254","1969","246848","2939842","11.91","1767570","7.16","1172272","7425000","30.08","2.62","5-03983-0045","245 MILL ROAD","NEW DORP","D3-ELEVATOR","380","1968","366642","4380481","11.95","2637733","7.19","1742748","11107000","30.29","2.62",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-02451-7501","0113-R1","95 ESSEX DRIVE","5","10314","40.58151","-74.158363","2","51","27702","5095347","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-CONDOMINIUM","31","1989","35212","495081","14.06","247540","7.03","247541","1443184","40.99","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","592790","13.72","306168","7.09","286622","1893000","43.82","1.1","5-00015-0001","141 ST MARK'S PLACE","NEW BRIGHTON","D1-ELEVATOR","42","1925","39910","596590","14.95","349491","8.76","247099","1702000","42.65","5.89","5-02102-0045","105 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","36","1971","29,200","378,996","12.98","195,181","6.68","183,815","1,225,000","41.95","1.1"
"5-02451-7501","0113-R2","75 ESSEX DRIVE","5","10314","40.581736","-74.158126","2","51","27702","5095348","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-CONDOMINIUM","31","1989","35212","470080","13.35","249236","7.08","220844","1443194","40.99","5-02102-0045","105 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","36","1971","29200","378996","12.98","195181","6.68","183815","1225000","41.95","1.1","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","592790","13.72","306168","7.09","286622","1893000","43.82","1.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-02451-7501","0113-R3","40 WELLINGTON COURT","5","10314","40.581791","-74.156045","2","51","27702","5095349","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-CONDOMINIUM","31","1989","35212","470080","13.35","222540","6.32","247540","1443206","40.99","5-02102-0045","105 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","36","1971","29200","378996","12.98","195181","6.68","183815","1225000","41.95","1.1","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","592790","13.72","306168","7.09","286622","1893000","43.82","1.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-02451-7501","0113-R4","120 WELLINGTON COURT","5","10314","40.579853","-74.157963","2","51","27702","5095350","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-CONDOMINIUM","31","1989","35212","470080","13.35","222540","6.32","247540","1443195","40.99","5-02102-0045","105 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","36","1971","29200","378996","12.98","195181","6.68","183815","1225000","41.95","1.1","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","592790","13.72","306168","7.09","286622","1893000","43.82","1.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-02452-7501","0107-R1","41 WELLINGTON COURT","5","10314","40.58178","-74.156027","2","51","27702","5090787","5024527501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-CONDOMINIUM","37","1989","47880","673193","14.06","336596","7.03","336597","1931565","40.34","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","592790","13.72","306168","7.09","286622","1893000","43.82","1.26","5-00015-0001","141 ST MARK'S PLACE","NEW BRIGHTON","D1-ELEVATOR","42","1925","39910","596590","14.95","349491","8.76","247099","1702000","42.65","6","5-02102-0045","105 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","36","1971","29,200","378,996","12.98","195,181","6.68","183,815","1,225,000","41.95","1.26"
"5-02452-7501","0107-R2","121 WELLINGTON COURT","5","10314","40.57996","-74.157834","2","51","27702","5121201","5024527501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-CONDOMINIUM","52","1987","64512","861235","13.35","407716","6.32","453519","2308904","35.79","5-02102-0045","105 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","36","1971","29200","378996","12.98","195181","6.68","183815","1225000","41.95","1.26","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","592790","13.72","306168","7.09","286622","1893000","43.82","1.26",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-02452-7503","0122-R1","145 WELLINGTON COURT","5","10314","40.579323","-74.15853","2","51","27702","5121202","5024527503","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-CONDOMINIUM","37","1988","47880","673193","14.06","336596","7.03","336597","2115259","44.18","5-03291-0015","62 NEWBERRY AVENUE","DONGAN HILLS","D1-ELEVATOR","49","1974","28800","485764","16.87","253719","8.81","232045","1678000","58.26","3.49","5-02893-0001","195 STEUBEN STREET","CONCORD","D1-ELEVATOR","98","1972","98700","1522754","15.43","623895","6.32","898859","3223000","32.65","4.45","5-02877-0025","55 BOWEN STREET","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154,860","2,466,552","15.93","1,638,769","10.58","827,783","5,566,000","35.94","4.62"
"5-02452-7503","0122-R2","171 WELLINGTON COURT","5","10314","40.579141","-74.158746","2","51","27702","5121203","5024527503","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-CONDOMINIUM","37",,"47880","673193","14.06","336596","7.03","336597","2115260","44.18","5-03291-0015","62 NEWBERRY AVENUE","DONGAN HILLS","D1-ELEVATOR","49","1974","28800","485764","16.87","253719","8.81","232045","1678000","58.26","3.49","5-02893-0001","195 STEUBEN STREET","CONCORD","D1-ELEVATOR","98","1972","98700","1522754","15.43","623895","6.32","898859","3223000","32.65","4.45","5-02877-0025","55 BOWEN STREET","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154,860","2,466,552","15.93","1,638,769","10.58","827,783","5,566,000","35.94","4.62"
"5-02829-7501","0100-R1","31 HYLAN BOULEVARD","5","10305","40.614937","-74.06448","1","49","6","5157402","5028297501","Stapleton-Rosebank                                                         ","ROSEBANK","R4-CONDOMINIUM","52",,"62391","831672","13.33","326305","5.23","505367","3354003","53.76","5-02831-0127","125 ABBOTT STREET","ARROCHAR-SHORE ACRES","C1-WALK-UP","8","1969","7050","103668","14.7","59053","8.38","44615","1063000","150.78","0.13","5-02832-0098","1289 BAY STREET","ARROCHAR-SHORE ACRES","C1-WALK-UP","7","1931","6624","79193","11.96","13805","2.08","65388","832000","125.6","0.25",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-02832-7501","0118-R1","6 NEW LANE","5","10305","40.611956","-74.064182","1","49","6","5042253","5028327501","Stapleton-Rosebank                                                         ","ARROCHAR-SHORE ACRES","R4-CONDOMINIUM","102","1987","90618","1274089","14.06","637045","7.03","637044","5233000","57.75","5-02893-0001","195 STEUBEN STREET","CONCORD","D1-ELEVATOR","98","1972","98700","1522754","15.43","623895","6.32","898859","3223000","32.65","1.14","5-02894-0001","231 STEUBEN STREET","CONCORD","D1-ELEVATOR","98","1972","98700","1488344","15.08","608445","6.16","879899","3300000","33.43","1.11","5-02877-0025","55 BOWEN STREET","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154,860","2,466,552","15.93","1,638,769","10.58","827,783","5,566,000","35.94","1.17"
"5-03543-7501","0089-R1","175 ZOE STREET","5","10305","40.584504","-74.100979","2","50","11401","5091251","5035437501","Old Town-Dongan Hills-South Beach                                          ","GRANT CITY","R4-CONDOMINIUM","100","1986","78903","1321625","16.75","673832","8.54","647793","4687000","59.4","5-03536-0115","227 BUEL AVENUE","GRANT CITY","C1-WALK-UP","12","1974","7956","133243","16.75","67905","8.54","65338","473000","59.45","0.36",," "," "," ",,,,,,,,,,,,," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-03585-7501","0110-R1","100 COLFAX AVENUE","5","10306","40.579906","-74.107779","2","50","11402","5095450","5035857501","New Dorp-Midland Beach                                                     ","GRANT CITY","R4-CONDOMINIUM","159","1961","166712","2343971","14.06","1171985","7.03","1171986","5967531","35.8","5-02922-0150","225 PARK HILL AVENUE","CONCORD-FOX HILLS","D1-ELEVATOR","306","1970","297600","4782605","16.07","3004835","10.1","1777770","10670000","35.85","2.78","5-02877-0025","55 BOWEN STREET","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154860","2466552","15.93","1638769","10.58","827783","5566000","35.94","2.78",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-04500-7501","0041-R1","3465 AMBOY ROAD","5","10306","40.557052","-74.138757","3","51","14606","5061307","5045007501","Great Kills                                                                ","GREAT KILLS","R4-CONDOMINIUM","67","1965","108864","1298748","11.93","722857","6.64","575891","3673011","33.74","5-03983-0065","26 EBBITTS STREET","NEW DORP","D3-ELEVATOR","254","1969","246848","2939842","11.91","1767570","7.16","1172272","7425000","30.08","1.71","5-03983-0045","245 MILL ROAD","NEW DORP","D3-ELEVATOR","380","1968","366642","4380481","11.95","2637733","7.19","1742748","11107000","30.29","1.71",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
