"staten_island_cooperatives_comparable_properties_boro_block_lot","staten_island_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","staten_island_cooperatives_comparable_properties_neighborhood","staten_island_cooperatives_comparable_properties_building_classification","staten_island_cooperatives_comparable_properties_total_units","staten_island_cooperatives_comparable_properties_year_built","staten_island_cooperatives_comparable_properties_gross_sqft","staten_island_cooperatives_comparable_properties_est_gross_income","staten_island_cooperatives_comparable_properties_gross_income_per_sqft","staten_island_cooperatives_comparable_properties_full_market_value","staten_island_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"5-04640-0022","3745 AMBOY ROAD Staten Island
, NY 
(40.552114830397, -74.144121875072)","5","10308","40.552072","-74.144137","3","51","14606","5105444","5046400022","Great Kills                                                                ","GREAT KILLS","C6-WALK-UP","36","1974","26490","463703","17.5","1730000","65","5-05015-0016","7 BENTON COURT Staten Island
, NY 
(40.558379717025, -74.136561398842)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","43","1971","25420","261318","10.28","677000","26.6","0.6","5-05016-0005","25 BAY TERRACE Staten Island
, NY 
(40.606674000105, -74.162401000006)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","65","1976","43018","704877","16.39","2380000","55","0.5"
"5-02925-0479","46 CIRCLE LOOP Staten Island
, NY 
(40.613540506446, -74.079247074334)","5","10304","40.613569","-74.079128","1","49","40","5131612","5029250479","Grymes Hill-Clifton-Fox Hills                                              ","CONCORD-FOX HILLS","C6-WALK-UP","19","2000","37220","408676","10.98","866000","23.27","5-05598-0029","37 PETRUS AVENUE Staten Island
, NY 
(40.546936170876, -74.167738745995)","ELTINGVILLE","C9-WALK-UP","27","1991","23645","205136","8.68","435000","18.4","6.5","5-07868-0002","7352 AMBOY ROAD Staten Island
, NY 
(40.510717743687, -74.242120962695)","TOTTENVILLE","C9-WALK-UP","13","1995","11400","148454","13.02","462000","40.5","11.1"
"5-03546-0001","45 VERA STREET Staten Island
, NY 
(40.584665519934, -74.097034168862)","5","10305","40.584631","-74.09704","2","50","11401","5109575","5035460001","Old Town-Dongan Hills-South Beach                                          ","GRANT CITY","C6-WALK-UP","118","1969","58350","506991","8.69","1070000","18.34","5-03168-0161","1000 TARGEE STREET Staten Island
, NY 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","1.3",,,,,,,,,,,,
"5-03546-0031","35 VERA STREET Staten Island
, NY 
(40.584813458414, -74.096843962244)","5","10305","40.584741","-74.0969","2","50","11401","5116738","5035460001","Old Town-Dongan Hills-South Beach                                          ","GRANT CITY","C6-WALK-UP","20","1969","10000","86888","8.69","184000","18.4","5-03594-0001","2162 RICHMOND ROAD Staten Island
, NY 
(40.606674000105, -74.162401000006)","GRANT CITY","C7-WALK-UP","13","1939","10200","138793","13.61","432000","42.4","0.85","5-04243-0027","280 BEACH AVENUE Staten Island
, NY 
(40.606674000105, -74.162401000006)","NEW DORP","C1-WALK-UP","12","1936","10800","141273","13.08","440000","40.7","1.45"
"5-00131-0056","255 FOREST AVENUE Staten Island
, NY 
(40.631742990383, -74.09807881413)","5","10301","40.631731","-74.098103","1","49","67","5003176","5001310056","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","13","1968","9810","119976","12.23","337000","34.4","5-00457-0024","47 WATCHOGUE ROAD Staten Island
, NY 
(40.613618778831, -74.132422125121)","WESTERLEIGH","C1-WALK-UP","12","1980","9960","122719","12.32","345000","34.6","2.2","5-01501-0001","446 WATCHOGUE ROAD Staten Island
, NY 
(40.616992075594, -74.146053259195)","WESTERLEIGH","C1-WALK-UP","12","1967","9928","120232","12.11","338000","34","2.8"
"5-00001-0216","10 BAY STREET LANDING Staten Island
, NY 
(40.638185748791, -74.073337656481)","5","10301","40.638279","-74.073756","1","49","3","5110065","5000010216","West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON-ST. GEORGE","D0-ELEVATOR","128","1984","171935","1951743","11.35","5060000","29.4","5-00051-0001","163 JERSEY STREET Staten Island
, NY 
(40.643727817491, -74.086539225988)","NEW BRIGHTON","D3-ELEVATOR","131","1963","174895","2840710","16.24","6020000","34.4","0.85","5-03157-0001","1950 CLOVE ROAD Staten Island
, NY 
(40.606004051169, -74.0866151394)","GRASMERE","D1-ELEVATOR","177","1973","180495","1890996","10.48","4010000","22.22","2.55"
"5-00327-0015","1000 CLOVE ROAD Staten Island
, NY 
(40.620624597504, -74.110049231229)","5","10301","40.620623","-74.109884","1","49","147","5008970","5003270015","Westerleigh                                                                ","CLOVE LAKES","D4-ELEVATOR","143","1966","127800","1395148","10.92","3620000","28.3","5-02877-0025","55 BOWEN STREET Staten Island
, NY 
(40.614664489609, -74.083054238405)","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154860","2387297","15.42","5060000","32.7","1.4",,,,,,,,,,,,
"5-02925-0450","295 SKYLINE DRIVE Staten Island
, NY 
(40.61300956527, -74.078916924859)","5","10304","40.613034","-74.0789","1","49","40","5000000","5029250450","Grymes Hill-Clifton-Fox Hills                                              ","CONCORD-FOX HILLS","C6-WALK-UP","11","2000","21865","240078","10.98","509000","23.28","5-05598-0029","37 PETRUS AVENUE Staten Island
, NY 
(40.546936170876, -74.167738745995)","ELTINGVILLE","C9-WALK-UP","27","1991","23645","205136","8.68","435000","18.4","6.5","5-07868-0002","7352 AMBOY ROAD Staten Island
, NY 
(40.510717743687, -74.242120962695)","TOTTENVILLE","C9-WALK-UP","13","1995","11400","148454","13.02","462000","40.5","11.1"
"5-05229-0007","475 ARMSTRONG AVENUE Staten Island
, NY 
(40.544976260737, -74.157789473528)","5","10308","40.545041","-74.157884","3","51","15601","5109778","5052290007","Great Kills                                                                ","GREAT KILLS","C6-WALK-UP","60","1974","38647","614188","15.89","2080000","54","5-05015-0016","7 BENTON COURT Staten Island
, NY 
(40.558379717025, -74.136561398842)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","43","1971","25420","261318","10.28","677000","26.6","1.45","5-05016-0005","25 BAY TERRACE Staten Island
, NY 
(40.606674000105, -74.162401000006)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","65","1976","43018","704877","16.39","2380000","55","1.4"
"5-00003-0001","350 RICHMOND TERRACE Staten Island
, NY 
(40.606674000105, -74.162401000006)","5","10301","40.648311","-74.084801","1","49","7","5000009","5000030001","West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON","D4-ELEVATOR","140","1960","145446","1563096","10.75","4050000","27.8","5-00013-0008","165 ST MARK'S PLACE Staten Island
, NY 
(40.645723658196, -74.080982619597)","NEW BRIGHTON-ST. GEORGE","D3-ELEVATOR","454","1976","524513","4290687","8.18","9100000","17.35","0.35","5-00008-0046","100 STUYVESANT PLACE Staten Island
, NY 
(40.643588582691, -74.077427532932)","NEW BRIGHTON-ST. GEORGE","D7-ELEVATOR","119","1924","121000","1146900","9.48","2730000","22.56","0.55"
"5-03191-0061","1160 RICHMOND ROAD Staten Island
, NY 
(40.606674000105, -74.162401000006)","5","10304","40.598436","-74.091972","2","50","9601","5046935","5031910061","Old Town-Dongan Hills-South Beach                                          ","DONGAN HILLS","D4-ELEVATOR","71","1969","63600","694299","10.92","1800000","28.3","5-03168-0161","1000 TARGEE STREET Staten Island
, NY 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","0.4",,,,,,,,,,,,
"5-02925-0432","361 SKYLINE DRIVE Staten Island
, NY 
(40.612546177166, -74.080053831898)","5","10304","40.612556","-74.08011","1","49","40","5131611","5029250432","Grymes Hill-Clifton-Fox Hills                                              ","CONCORD-FOX HILLS","C6-WALK-UP","11","1999","21780","239144","10.98","507000","23.28","5-05598-0029","37 PETRUS AVENUE Staten Island
, NY 
(40.546936170876, -74.167738745995)","ELTINGVILLE","C9-WALK-UP","27","1991","23645","205136","8.68","435000","18.4","6.5","5-07868-0002","7352 AMBOY ROAD Staten Island
, NY 
(40.510717743687, -74.242120962695)","TOTTENVILLE","C9-WALK-UP","13","1995","11400","148454","13.02","462000","40.5","11.1"
"5-05090-0035","3482 AMBOY ROAD Staten Island
, NY 
(40.556922389091, -74.138832019937)","5","10306","40.556807","-74.139015","3","51","13203","5109754","5050900035","Great Kills                                                                ","GREAT KILLS-BAY TERRACE","C6-WALK-UP","108","1977","67000","848890","12.67","2640000","39.4","5-05460-0001","4163 AMBOY ROAD Staten Island
, NY 
(40.548472372372, -74.15508930347)","GREAT KILLS","C9-WALK-UP","24","1973","19200","265658","13.84","827000","43.1","1.1","5-05015-0016","7 BENTON COURT Staten Island
, NY 
(40.558379717025, -74.136561398842)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","43","1971","25420","261318","10.28","677000","26.6","0.25"
"5-02833-0031","20 CLIFF STREET Staten Island
, NY 
(40.611177650284, -74.060606659565)","5","10305","40.611256","-74.060504","1","49","6","5122638","5028330031","Stapleton-Rosebank                                                         ","ARROCHAR-SHORE ACRES","D4-ELEVATOR","122","1964","146640","1429693","9.75","3400000","23.19","5-03157-0001","1950 CLOVE ROAD Staten Island
, NY 
(40.606004051169, -74.0866151394)","GRASMERE","D1-ELEVATOR","177","1973","180495","1890996","10.48","4010000","22.22","1.55",,,,,,,,,,,,
