"serialno","sporder","pwgtp","wgtp","agep","cit","rel","sch","schg","schl","sex","esr","lanx","eng","msp","mar","wkw","wkhp","ds","jwtr","np","ten","hht","agecateg","boro","citizenstatus","educattain","est_childcare","est_commuting","est_eitc","est_ficatax","est_heap","est_housing","est_incometax","est_moop","est_nutrition","est_povgap","est_povgapindex","ethnicity","famtype_pu","ftptwork","intp_adj","mrgp_adj","nycgov_income","nycgov_pov_stat","nycgov_rel","nycgov_threshold","off_pov_stat","off_threshold","oi_adj","pa_adj","povunit_id","povunit_rel","pretaxincome_pu","retp_adj","rntp_adj","semp_adj","ssip_adj","ssp_adj","totalworkhrs_pu","wagp_adj"
"21893","2","50","49","56","4","1","1","0","9","2","6","2",,"1","1",,"0","2",,"4","1","1","2","1","2","2","0","1124.654","0","1637.328735","0","0","-560.45889125",,"0","0","0","3","2","3","0","1324.947","30928.87398958","2","1","30004.753802708","2","20144","0","0","1","2","35213.0145","0","0","0","0","0","2","0"
"21893","3","82","49","36","4","2","1","0","9","1","1","2",,"6","5","40","38","2","1","4","1","1","2","1","2","2","0","1124.654","118.86465","1637.328735","0","0","-560.45889125",,"0","0","0","3","2","2","0","1324.947","30928.87398958","2","2","30004.753802708","2","20144","0","0","1","4","35213.0145","0","0","0","0","0","2","10191.9"
"21893","4","40","49","24","4","2","2","6","12","2","1","2",,"6","5","29","25","2","1","4","1","1","2","1","2","3","0","1124.654","0","1637.328735","0","0","-560.45889125",,"0","0","0","3","2","2","0","1324.947","30928.87398958","2","2","30004.753802708","2","20144","0","0","1","4","35213.0145","0","0","0","0","0","2","8153.52"
"21946","1","113","116","83","1","0","1","0","11","1","6","2",,"1","1",,"0","2",,"3","2","1","3","4","1","3","0","1316","0","5457.76245","0","3697.9998704553","18575.594634","19668.8","0","0","0","1","2","3","0","0","47043.6157864553","2","0","24531.9997723176","2","15277","0","0","1","1","88363.773","0","0","0","0","10599.576","2","0"
"21946","2","122","116","85","4","1","1","0","9","2","6","2",,"1","1",,"0","2",,"3","2","1","3","4","2","2","0","1316","0","5457.76245","0","3697.9998704553","18575.594634",,"0","0","0","1","2","3","0","0","47043.6157864553","2","1","24531.9997723176","2","15277","0","0","1","2","88363.773","0","0","0","0","6420.897","2","0"
"21946","3","125","116","32","1","5","1","0","15","1","1","2",,"6","5","52","60","2","2","3","2","1","2","4","1","4","0","1316","0","5457.76245","0","3697.9998704553","18575.594634",,"0","0","0","1","2","1","0","0","47043.6157864553","2","5","24531.9997723176","2","15277","0","0","1","4","88363.773","0","0","0","0","0","2","71343.3"
"22035","1","78","65","48","5","0","1","0","9","1","1","1","2","1","1","50","38","2","4","4","1","1","2","4","3","2","0","1661.92","0","3960.776178","0","0","4260.27933768","1043","0","0","0","3","1","1","0","2344.137","40848.87648432","2","0","24531.9997723176","2","19806","0","0","1","1","51774.852","0","0","0","0","0","2","34652.46"
"22035","2","68","65","39","5","1","1","0","13","2","6","1","2","1","1","48","30","2",,"4","1","1","2","4","3","4","0","1661.92","0","3960.776178","0","0","4260.27933768",,"0","0","0","3","1","2","0","2344.137","40848.87648432","2","1","24531.9997723176","2","19806","0","0","1","2","51774.852","0","0","0","0","0","2","17122.392"
"22035","3","67","65","14","5","2","2","5","5","1",,"1","1",,"5",,"0","2",,"4","1","1","1","4","3","1","0","1661.92","0","3960.776178","0","0","4260.27933768",,"0","0","0","3","1","3","0","2344.137","40848.87648432","2","2","24531.9997723176","2","19806","0","0","1","3","51774.852","0","0","0","0","0","2","0"
"22035","4","67","65","8","1","2","2","3","2","2",,"1","1",,"5",,"0","2",,"4","1","1","1","4","1","1","0","1661.92","0","3960.776178","0","0","4260.27933768",,"0","0","0","3","1","3","0","2344.137","40848.87648432","2","2","24531.9997723176","2","19806","0","0","1","3","51774.852","0","0","0","0","0","2","0"
"22222","1","137","131","35","5","0","1","0","12","2","1","1","1","6","5","52","20","2","10","3","3","3","2","4","3","3","0","0","2853.732","545.776245","0","0","-3915.0382","11","4376.35","5499.4883","0.27000061","4","4","2","0","0","14868.941955","1","0","20368.4301900347","1","15735","0","0","1","1","7134.33","0","1630.704","0","0","0","4","7134.33"
