"_2016_organization","project_address","project_title","cd","cb","_2016_award","postcode","borough","latitude","longitude","census_tract","bin","bbl","nta"
"Baruch College","55 Lexington Ave, New York, NY 10010","Wireless Internet System","2","6","250000.00","10010","MANHATTAN","40.740596","-73.983938","68","1086514","1008800024","Gramercy                                                                   "
"Bellevue Hospital","462 1st Avenue, New York, NY 10016","Sandhill Manometry System","4","6","55000.00","10016","MANHATTAN","40.739173","-73.976862","62","1086515","1009620100","Murray Hill-Kips Bay                                                       "
"Bloomingdale Library Branch","150 W 100th St","Roof Renovation","7","7","200000.00",,"MANHATTAN","40.796363","-73.967831","185","1055906","1018520049","Upper West Side                                                            "
"Bloomingdale Playground","Amsterdam Ave., W. 104 St. and W. 105 St.","ADA Playground Renovation","7","7","400000.00",,"MANHATTAN",,,,,,
"Borough of Manhattan
Community College","199 Chambers St, New York, NY 10007","Perimeter Security Lighting","1","1","150000.00","10007","MANHATTAN","40.716838","-74.012117","39","1066406","1001420050","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Caribbean Cultural Center
African Diaspora Institute","120 East 125th Street","125 Street Firehouse Initial Outifitting","8","11","75000.00",,"MANHATTAN","40.804665","-73.938132","196","1054469","1017730062","East Harlem North                                                          "
"Carter Burder Center for the
Aging","1484 1st Avenue, New York, NY 10075","HVAC System","5","8","600000.00","10075","MANHATTAN","40.771244","-73.953478","132","1081248","1014720003","Lenox Hill-Roosevelt Island                                                "
"Center for Alternative
Sentencing and Employment Services","101-117 Worth Street","Program Vans","1","1","36000.00",,"MANHATTAN","40.716051","-74.004015","31","1086161","1001700020","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Central Park Zoo","64th St and 5th Ave, New York, NY 10021","Red Panda Exhibit Renovation","6","8","300000.00","10021","MANHATTAN",,,,,,
"City Center of Music and Drama","20 Lincoln Center","Studio Refurbishment","6","7","100000.00",,"MANHATTAN","40.771414","-73.983201","149","1028831","1011340005","Lincoln Square                                                             "
"Clayton Apartments, Inc.","485 Lenox Avenue New York, NY 10037","Interior Renovations","9","10","250000.00","10037","MANHATTAN","40.813661","-73.941194","228","1058249","1019190026","Central Harlem North-Polo Grounds                                          "
"Clemente Soto Velez Cultural &
Educational Center","107 Suffolk Street","Center Renovation","1","3","100000.00",,"MANHATTAN","40.718943","-73.986122","1402","1004301","1003530054","Lower East Side                                                            "
"CUNY Grad Center","365 5th Ave, New York, NY 10016","LED Initiative","4","5","175000.00","10016","MANHATTAN","40.748822","-73.984268","74","1017097","1008647502","Midtown-Midtown South                                                      "
"CUNY in the Heights","5030 Broadway, New York, NY 10034","Technology Upgardes","10","12","80000.00","10034","MANHATTAN","40.869034","-73.917275","303","1064883","1022310001","Marble Hill-Inwood                                                         "
"Downtown Art Co.","70 East 4th Street","Phase 2: East 4th Street","2","3","75000.00",,"MANHATTAN","40.726563","-73.990331","38","1077966","1004590021","East Village                                                               "
"East Harlem Arts and Education
LDC","1230 5th Avenue","West Facade Renovation","8","11","206000.00",,"MANHATTAN","40.793072","-73.951992","168","1051499","1016100001","East Harlem South                                                          "
"East River Park - Soccer Field","East 6th Street and East River Park","Soccer Field & Tracks","2","3","100000.00",,"MANHATTAN",,,,,,
"Elaine Kaufman Cultural","129 West 67th Street","Infrastructure FY16","6","7","150000.00",,"MANHATTAN","40.774919","-73.982745","153","1081024","1011390008","Lincoln Square                                                             "
"Elizabeth Berger Plaza","Edgar Street, New York, NY 10006","Renovations","1","1","300000.00","10006","MANHATTAN",,,,,,
"Fashion Institution of Technology","227 W 27th St, New York, NY 10001","Computer Animation Lab","3","5","40000.00","10001","MANHATTAN","40.747031","-73.99476","95","1014251","1007770018","Midtown-Midtown South                                                      "
"FedCap Rehabilitation Services","210 East 43rd Street","Equipment Upgrade","4","6","58000.00",,"MANHATTAN","40.751224","-73.973469","88","1037550","1013167501","Turtle Bay-East Midtown                                                    "
"FIND Aid for the Aged","530 W 55th St, New York, NY 10019","Clinton Senior Center Renovation","6","4","470000.00","10019","MANHATTAN","40.768258","-73.990588","135","1027059","1010830015","Clinton                                                                    "
"Fountain House","435 West 47 Street","HVAC Expansion and Electrical
Upgrade","3","4","457000.00",,"MANHATTAN","40.762085","-73.991427","127","1026559","1010570017","Clinton                                                                    "
"Four Freedoms Park","1 FDR Four Freedoms Park","Lighting Improvements","5","8","50000.00",,"MANHATTAN","40.751325","-73.959833","23801","1089349","1013730001","Lenox Hill-Roosevelt Island                                                "
"Frederick Douglass Boulevard
Alliance","215 West 114th St","Streetscape Improvements","9","10","100000.00",,"MANHATTAN","40.802207","-73.954142","218","1055204","1018300019","Central Harlem South                                                       "
"Gouverneur Health","227 Madison St, New York, NY 10002","OCT Opthalmology System
Replacement","1","3","40000.00","10002","MANHATTAN","40.712784","-73.988417","6","1003224","1002700032","Lower East Side                                                            "
"Gouverneur Health","540 E 13th St, New York, NY 10009","Roberto Celemente Center
Renovation","2","3","350000.00","10009","MANHATTAN","40.729188","-73.979607","34","1005213","1004060024","East Village                                                               "
"Governor's Island Alliance","Pier 101 Governors Island","Floating Dock","1","1","42000.00",,"MANHATTAN","40.691369","-74.012477","5","1000000","1000010010","park-cemetery-etc-Manhattan                                                "
"GrowNYC","134 Fourth Ave","Initial Outfitting of Education Center","2","2","150000.00",,"MANHATTAN","40.733293","-73.989926","61","1009211","1005640045","West Village                                                               "
"Harlem Hospital Center","506 Malcolm X Blvd, New York, NY 10037","Medical Equipment Purchases","9","10","65000.00","10037","MANHATTAN","40.814358","-73.940659","212","1053899","1017330001","Central Harlem North-Polo Grounds                                          "
"Harlem Hospital Center","506 Malcolm X Blvd, New York, NY 10037","Bariatric Surgical table","9","10","35000.00","10037","MANHATTAN","40.814358","-73.940659","212","1053899","1017330001","Central Harlem North-Polo Grounds                                          "
"Harlem School of the Arts","645 Saint Nicholas Ave","Phase 3 Renovation","7","9","135000.00",,"MANHATTAN","40.82218","-73.945652","227","1061014","1020500160","Hamilton Heights                                                           "
"Henry Street Settlement","466 Grand Street","Abrons Arts Center Accessibility Improvements","1","3","200000.00",,"MANHATTAN","40.715155","-73.984045","12","1004072","1003360028","Lower East Side                                                            "
"The Hispanic Society of America","613 West 155th Street","Main Building Roof Replacement","7","12","400000.00",,"MANHATTAN","40.833063","-73.946478","241","1081864","1021340008","Washington Heights South                                                   "
"Home for Contemporary Theatre
and Art","145 6th Avenue","Office Equipment Upgrade","3","2","35000.00",,"MANHATTAN","40.724971","-74.004477","37","1087061","1004917502","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Hospital Audiences","150 Conover Street Brooklyn, Ny","Cultural Access Bus",,,"150000.00",,"MANHATTAN",,,,,,
"Hudson Guild","119 9th Avenue","Fulton Center Renovation","3","4","250000.00",,"MANHATTAN","40.743172","-74.00376","83","1078418","1007150010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Hunter College","695 Park Ave, New York, NY 10065","Black Box Theater Renovation","4","8","200000.00","10065","MANHATTAN","40.768973","-73.965367","120","1081419","1014030001","Upper East Side-Carnegie Hill                                              "
"Hunter College High School","71 E 94th St, New York, NY 10128","Athletics Facilities Renovation","4","8","63000.00","10128","MANHATTAN","40.785602","-73.954323","16001","1047404","1015060021","Upper East Side-Carnegie Hill                                              "
"Improvements to 3940
Broadway","3940 Broadway","ACDP Mental Health Renovation","10","12","300000.00",,"MANHATTAN","40.839277","-73.941052","251","1087469","1021240043","Washington Heights South                                                   "
"Irish Repertory Theatre","132 West 22nd Street","Theatre Renovation","3","4","62000.00",,"MANHATTAN","40.74268","-73.99437","87","1014777","1007977503","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Isabella Geriatric","515 Audubon Avenue","Audio Visual Equipment","10","12","188000.00",,"MANHATTAN","40.854783","-73.927909","277","1063861","1021600001","Washington Heights North                                                   "
"Jacob Javits Playground","Fort George Ave, New York, NY 10040","Redesign and renovation of Jacob
Javits Playground.","10","12","500000.00","10040","MANHATTAN",,,,,,
"Jazz at Lincoln Center","3 Columbus Circle","Frederick P. Rose Hall Pianos","3","5","70000.00",,"MANHATTAN","40.766846","-73.981964","137","1024900","1010297501","Midtown-Midtown South                                                      "
"Jefferson Market Library","425 Avenue of the Americas, New York, NY
10011","Bathroom Renovation","3","2","250000.00","10011","MANHATTAN","40.734323","-73.999065","71","1082668","1006060001","West Village                                                               "
"John Jay College","524 W 59th St, New York, NY 10019","Wireless Upgrade","6","4","250000.00","10019","MANHATTAN","40.770794","-73.988534","147","1027084","1010870005","Lincoln Square                                                             "
"La Mama Experimental Theatre
Club","74 A East 4th Street","Renovation of 74A East 4th Street","2","3","150000.00",,"MANHATTAN","40.726494","-73.990169","38",,,"East Village                                                               "
"La Plaza Cultural Community
Garden","East 9th and Avenue C, New York, NY
10009","Fence Renovation","2","3","70000.00","10009","MANHATTAN",,,,,,
"Lemor Realty","407-15 Lenox Ave 225 W. 140th Street","Affordable Housing","9","10","500000.00",,"MANHATTAN",,,,,,
"Lincoln Center for the
Performing Arts","155 West 62nd Street","Guggenheim Bandshell Upgrade
Project","6","7","100000.00",,"MANHATTAN","40.771744","-73.984923","149","1088440","1011340010","Lincoln Square                                                             "
"Lower East Side Girls Club","101 Avenue D","Girls Club Program Expansion on
Avenue D","2","3","167000.00",,"MANHATTAN","40.723308","-73.976323","2602","1089381","1003777503","Lower East Side                                                            "
"Lower East Side Tenement
Museum","103 Orchard Street","103 Orchard Street Project","1","3","75000.00",,"MANHATTAN","40.718592","-73.990007","18","1005471","1004140051","Chinatown                                                                  "
"Mabou Mines Inc.","150 First Avenue","New Theatre Initiative","2","3","75000.00",,"MANHATTAN","40.728261","-73.984785","34","1005894","1004370001","East Village                                                               "
"Metropolitan Museum of Art","1000 Fifth Avenue","HVAC Renovation","6","8","400000.00",,"MANHATTAN","40.778633","-73.962546","143","1083810","1011110001","park-cemetery-etc-Manhattan                                                "
"Metropolitan Opera Guild","70 Lincoln Center Plaza,6th Floor","Opera Learning Center Sound System","6","7","65000.00",,"MANHATTAN","40.773626","-73.983591","149","1077844","1011377501","Lincoln Square                                                             "
"Museum of Jewish Heritage","36th Battery Place","Theater Renovation","1","1","75000.00",,"MANHATTAN",,,,,,
"New 42nd Street Studios","229 West 42nd Street","Studio Seating","3","5","164000.00",,"MANHATTAN","40.756571","-73.98819","119","1024683","1010140017","Midtown-Midtown South                                                      "
"New York Restoration Project","3725 Tenth Avenue","Trucks for Public Space Management","10","12","56000.00",,"MANHATTAN","40.860433","-73.921855","299","1089884","1021500001","Marble Hill-Inwood                                                         "
"New-York Historical Society","170 Central Park West","Exhibition Construction","8","7","50000.00",,"MANHATTAN","40.779265","-73.973743","161","1028816","1011290029","Upper West Side                                                            "
"Nuyorican Poets Café","236 East 3rd","Renovation of 236 East 3rd Street","2","3","250000.00",,"MANHATTAN",,,,,,
"Oasis Garden","370-388 East 8th Street","City Water Access","2","3","59000.00",,"MANHATTAN","40.724214","-73.9773","2602","1004506","1003770016","Lower East Side                                                            "
"Outstanding Renewal
Enterprises Inc. (D.B.A. Lower East Side Ecology Center)","East River Park, East River Promenade, New York, NY, United States","East River Fire Boat House Renovation","2","3","250000.00",,"MANHATTAN","40.713811","-73.976174","1001","1000000","1003160200","Lower East Side                                                            "
"Performance Space 122 Inc","150 First Avenue","Outfitting of Theatre","2","3","75000.00",,"MANHATTAN","40.728261","-73.984785","34","1005894","1004370001","East Village                                                               "
"Playwrights Horizons","440 Lafayette Street","440 Lafayette Renovations","2","2","75000.00",,"MANHATTAN","40.729327","-73.991907","57","1088676","1005450026","West Village                                                               "
"Poor Richard's Park","E 109th St, New York, NY 10029","Renovations","8","11","150000.00","10029","MANHATTAN",,,,,,
"Project Renewal","8 E 3rd St New York, NY 10003","Renovation of 3rd Street Shelter Yard","2","3","221000.00","10003","MANHATTAN","40.726148","-73.991236","3602","1006546","1004580011","East Village                                                               "
"The Promesa Housing
Development Fund Coporation","413 East 120th Street","413 East 120th Street Project","8","11","500000.00",,"MANHATTAN","40.798371","-73.932987","192","1054888","1018080008","East Harlem North                                                          "
"Publicolor","149 Madison Avenue, #1201","Computer Lab","2","5","52000.00",,"MANHATTAN","40.746333","-73.983991","74","1016997","1008610057","Midtown-Midtown South                                                      "
"Randalls Island Park","1 Randalls Island Park, New York, NY 10035","Pathway Construction","8","11","100000.00","10035","MANHATTAN","40.796674","-73.923801","240",,,"park-cemetery-etc-Manhattan                                                "
"Riverbend Housing Company","2289, 2301, 2311 and 2333 Fifth Avenue,
New York, NY","Site Upgrade and Rehabilitation
Project","9","11","500000.00",,"MANHATTAN",,,,,,
"Roosevelt Island Library","524 Main St, New York, NY 10044","New Branch","5","8","250000.00","10044","MANHATTAN","40.761298","-73.950275","23801","1084695","1013730030","Lenox Hill-Roosevelt Island                                                "
"Roundabout Theatre Company","240 West 43rd Street","HVAC Upgrade","3","5","100000.00",,"MANHATTAN","40.757224","-73.987699","119","1087882","1010140041","Midtown-Midtown South                                                      "
"Safe Horizons","1753 Park Avenue New York, NY 10035","Audio Visual Equipment for
Manhattan CAC","9","11","138000.00","10035","MANHATTAN","40.802929","-73.940568","196","1087919","1017700071","East Harlem North                                                          "
"Samuel N. Bennerson Playground","W. 64 St., bet. Amsterdam Ave. and West
End Ave. Manhattan","Playground Renovation","6","7","325000.00",,"MANHATTAN",,,,,,
"Sara D. Roosevelt Park","1753 Park Avenue, 2nd Floor","Pathways Renovation","1","3","200000.00",,"MANHATTAN","40.802929","-73.940568","196","1087919","1017700071","East Harlem North                                                          "
"Second Stage Theatre","240 West 44th Street","Helen Hayes Theatre Renovation","3","5","100000.00",,"MANHATTAN","40.757968","-73.987532","119","1024708","1010150051","Midtown-Midtown South                                                      "
"Seventh Regiment Armory
Conservancy","643 Park Avenue","North Mechanical Core Renovation","4","8","400000.00",,"MANHATTAN","40.767491","-73.966448","120","1042460","1014010001","Upper East Side-Carnegie Hill                                              "
"Seward Park Library Branch","192 E Broadway, New York, NY 10002","Boiler Replacement","1","3","250000.00","10002","MANHATTAN","40.714198","-73.988659","1401","1004053","1003110031","Lower East Side                                                            "
"Smithsonian National Museum of the American Indian","One Bowling Green","Native New York Exhibit","1","1","100000.00",,"MANHATTAN",,,,,,
"South Bronx Overall Economic
Development Fund Corporation","1768 Fort George Hill, New York, NY 10040","Fort George Hill","10","12","500000.00","10040","MANHATTAN",,,,,,
"Studio in a School Association","410 W 59th St, New York, NY 10019","Server Upgrade","3","4","45000.00","10019","MANHATTAN","40.769482","-73.9854","145","1085140","1010680003","Lincoln Square                                                             "
"Studio Museum in Harlem","75 West End Avenue","New Building Project","6","7","400000.00",,"MANHATTAN","40.77422","-73.989237","151","1088686","1011710063","Lincoln Square                                                             "
"The After-School Corporation","1440 Broadway, 16th floor","TASC Accounting/Grant Management
System","4","5","36000.00",,"MANHATTAN","40.754611","-73.986761","113","1022563","1009930011","Midtown-Midtown South                                                      "
"The Battery Conservancy","17, 1 Whitehall Street, New York, NY 10004","Reconstruction of a family comfort
station in Battery Park.","1","1","250000.00","10004","MANHATTAN",,,,,,
"The Brotherhood/Sister Sol","512-514 W. 143 Street",,"7","9",,,"MANHATTAN","40.824482","-73.949867","229","1061865","1020740047","Hamilton Heights                                                           "
"The City College of New York","160 Convent Ave, New York, NY 10031","Computer Lab Rehabilitaion","9","9","250000.00","10031","MANHATTAN","40.819196","-73.950221","21703","1084081","1019570200","Manhattanville                                                             "
"The DOE Fund","2960 Frederick Douglass Blvd","Fresh Food Distribution","9","10","57000.00",,"MANHATTAN","40.830039","-73.936623","24302","1076737","1021050001","Central Harlem North-Polo Grounds                                          "
"The General Society of
Mechanics and Tradesmen","20 West 44th Street","Library Skylight & Roof Replacement","4","5","400000.00",,"MANHATTAN","40.755156","-73.980848","96","1034214","1012590048","Midtown-Midtown South                                                      "
"The Young Men's and Young
Women's Hebrew Association","1395 Lexington Avenue","92Y Integrated Security Project","5","8","150000.00",,"MANHATTAN","40.783051","-73.952978","15801","1048310","1015200050","Upper East Side-Carnegie Hill                                              "
"Theater for the New City","155 First Avenue","Lighting Equipment","2","3","40000.00",,"MANHATTAN","40.728505","-73.984634","40","1006416","1004517502","East Village                                                               "
"Trinity West Harlem Phase Two
Limited Partnership","251 - 277 West 114th Street New York, NY
10026","Randolph Houses Renovation","9","10","250000.00","10026","MANHATTAN","40.802641","-73.955175","218","1055203","1018300011","Central Harlem South                                                       "
"Trust for Governor's Island","Governor's Island","Bathrooms Renovations","1","1","50000.00",,"MANHATTAN",,,,,,
"University Settlement","184 Eldridge Street","Boiler Replacement","1","3","150000.00",,"MANHATTAN","40.720653","-73.990674","18","1005483","1004150018","Chinatown                                                                  "
"Vivian Beaumont Theater","150 West 65th Street","FIRE-ALARM SYSTEM UPGRADE/ADA
RENOVATION","6","7","300000.00",,"MANHATTAN","40.773621","-73.983619","149","1028832","1011340025","Lincoln Square                                                             "
"WNET","825 Eighth Avenue","Audio/Visual Upgrade","3","4","75000.00",,"MANHATTAN","40.762074","-73.986275","127","1076203","1010400029","Clinton                                                                    "
"Women In Need","325 East 104th Street","Initial Outfitting","8","11","47000.00",,"MANHATTAN","40.788997","-73.942628","170","1052712","1016760011","East Harlem South                                                          "
"Young People's Chorus","37 West 65th Street, Second Floor","Pianos for YPC","6","7","58000.00",,"MANHATTAN","40.772281","-73.980363","149","1028160","1011180005","Lincoln Square                                                             "
"2016 - SCHOOLS",,,,,,,"MANHATTAN",,,,,,
"47 ASL and English Secondary","225 E 23rd St, New York, NY 10010","Technology Upgrades","2","6","100000.00","10010","MANHATTAN","40.738534","-73.982423","64","1019775","1009040024","Gramercy                                                                   "
"347 ASL and Lower School","225 E 23rd St, New York, NY 10010","Chicken Coop Build-out","2","6","44000.00","10010","MANHATTAN","40.738534","-73.982423","64","1019775","1009040024","Gramercy                                                                   "
"A. Philip Randolph Campus HS","443 W 135th St, New York, NY 10031","Library Renovation","9","9","303000.00","10031","MANHATTAN","40.818188","-73.950356","21703","1059409","1019570078","Manhattanville                                                             "
"Baruch College High School","55 E 25th St, New York, NY 10010","Gymnasium Upgrade","2","5","100000.00","10010","MANHATTAN","40.74193","-73.986521","56","1016745","1008550016","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Bea Fuller Rodgers International
School, IS 528","180 Wadsworth Ave, New York, NY 10033","Dance Floors","10","12","50000.00","10033","MANHATTAN","40.85051","-73.934485","271","1063928","1021640032","Washington Heights North                                                   "
"Bellevue Riverview School","317 WEST 52ND STREET NEW YORK, NY
10019","Techology Upgrades","3","4","100000.00","10019","MANHATTAN","40.763866","-73.985939","133","1025241","1010430022","Clinton                                                                    "
"Central Park East II School","19 E 103rd St, New York, NY 10029","Technology Upgrades","8","11","100000.00","10029","MANHATTAN","40.792122","-73.951961","168","1051497","1016090007","East Harlem South                                                          "
"City Knoll School","525 W 44th St, New York, NY 10036","Techology Upgrades","3","4","100000.00","10036","MANHATTAN","40.761479","-73.995823","129","1089418","1010730014","Clinton                                                                    "
"Columbia Secondary School for Math, Science and Engineering","425 W 123rd St, New York, NY 10027","Auditorium Upgrade","7","9","150000.00","10027","MANHATTAN","40.810431","-73.955809","20901","1059526","1019640012","Morningside Heights                                                        "
"Community Action School","154 W 93rd St, New York, NY 10025","Technology Upgrades","6","7","100000.00","10025","MANHATTAN","40.791728","-73.970845","177","1032522","1012230005","Upper West Side                                                            "
"CS 154, Harriet Tubman Learning
Center","250 WEST 127 STREET
MANHATTAN, NY10027","Playground Resurfacing","9","10","350000.00","10027","MANHATTAN","40.810928","-73.948938","224","1058671","1019320010","Central Harlem North-Polo Grounds                                          "
"Food and Finance High School","525 W 50th St, New York, NY 10019","Lab Construction","3","4","200000.00","10019","MANHATTAN","40.765184","-73.992953","135","1083802","1010790029","Clinton                                                                    "
"Frederick Douglass Academy II","215 W 114th St, New York, NY 10026","Technology Upgrades","9","10","100000.00","10026","MANHATTAN","40.802207","-73.954142","218","1055204","1018300019","Central Harlem South                                                       "
"Global Technology Preparatory","160 E 120th St, New York, NY 10035","Technology Upgrades","8","11","100000.00","10035","MANHATTAN","40.801007","-73.939349","196","1083501","1017680021","East Harlem North                                                          "
"Hamilton Grange Middle School","500 W. 138th Street
New York, NY 10031","Technology Upgrades","7","9","100000.00","10031","MANHATTAN","40.820953","-73.951145","22301","1084132","1019880166","Manhattanville                                                             "
"Hamilton Heights School","1750 Amsterdam Ave, New York, NY 10031","Playground Resurfacing","7","9","100000.00","10031","MANHATTAN","40.826295","-73.946845","233","1081834","1020780019","Hamilton Heights                                                           "
"Harlem Renaissance High School","22 E 128th St, New York, NY 10035","Recording Studio Project","9","11","300000.00","10035","MANHATTAN","40.807987","-73.940061","206","1054159","1017520059","Central Harlem North-Polo Grounds                                          "
"High School of Fashion Industries","225 W 24th St, New York, NY 10011","HVAC","3","5","500000.00","10011","MANHATTAN","40.745156","-73.996074","91","1014174","1007740019","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"High School of Math, Science,
and Engineering","240 Convent Ave, New York, NY 10031","Technology Upgrades","7","9","100000.00","10031","MANHATTAN","40.82074","-73.949097","21703","1084085","1019570200","Manhattanville                                                             "
"IS070-Campus for NYC Lab High
School, NYC Lab Middle School, Museum School","333 West 17 Street New York, NY 10011","Locker rooms Renovations","3","4","50000.00","10011","MANHATTAN","40.742129","-74.002198","83","1079152","1007410010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Jackie Robinson Educational
Complex","1573 MADISON AVENUE
MANHATTAN NY 10029","Auditorium Upgrade","8","11","175000.00","10029","MANHATTAN","40.793763","-73.949381","17401","1051515","1016120050","East Harlem South                                                          "
"John H. Finley Campus School","425 W 130th St, New York, NY 10027","Technology Upgrades","9","9","100000.00","10027","MANHATTAN","40.814637","-73.951912","21703","1059407","1019570010","Manhattanville                                                             "
"Jose Celso Barbosa School","508 E 120th St, New York, NY 10035","Technology Upgrades","8","11","100000.00","10035","MANHATTAN","40.797467","-73.930868","192","1084005","1018160001","East Harlem North                                                          "
"Kappa IV","6 Edgecombe Avenue, New York, NY 10030","Technology Upgrades","9","10","100000.00","10030","MANHATTAN","40.817372","-73.947712","22102","1059460","1019600001","Central Harlem North-Polo Grounds                                          "
"LaGuardia High School","100 Amsterdam Ave, New York, NY 10023","Technical Theater Renovation","6","7","250000.00","10023","MANHATTAN","40.773629","-73.985273","151","1030341","1011560030","Lincoln Square                                                             "
"Lower East Side Prep","145 Stanton St, New York, NY 10002","Technology Upgrades","1","3","100000.00","10002","MANHATTAN","40.720581","-73.985645","3001","1004323","1003540080","Chinatown                                                                  "
"Lower Laboratory School for Gifted Education","1700 3rd Ave, New York, NY 10128","Computer Lab Classroom","5","8","100000.00","10128","MANHATTAN","40.784826","-73.949611","15801","1048492","1015240023","Upper East Side-Carnegie Hill                                              "
"Manhattan Bridges High School","525 W 50th St, New York, NY 10019","A+ Stem Lab","3","4","104000.00","10019","MANHATTAN","40.765184","-73.992953","135","1083802","1010790029","Clinton                                                                    "
"Manhattan Early College for
Advertising","411 Pearl St, New York, NY 10038","Technology Upgrades","1","1","100000.00","10038","MANHATTAN","40.711442","-74.000851","29","1001388","1001130100","Chinatown                                                                  "
"Manhattan High School","154 E 70th St New York, NY","Technology Upgrades","4","8","100000.00",,"MANHATTAN","40.768887","-73.962653","120","1042506","1014040049","Upper East Side-Carnegie Hill                                              "
"MS 177","1458 York Avenue, New York, NY 10075","Technology Upgrades","5","8","100000.00","10075","MANHATTAN","40.770419","-73.951135","132","1046411","1014890001","Lenox Hill-Roosevelt Island                                                "
"MS 319","21 Jumel Pl, New York, NY 10032","Technology Upgrades","10","12","100000.00","10032","MANHATTAN","40.839305","-73.936159","249","1076741","1021120058","Washington Heights South                                                   "
"MS 54","103 W 107th St, New York, NY 10025","Library Renovation","7","7","191000.00","10025","MANHATTAN","40.800119","-73.962837","193","1055990","1018620011","Morningside Heights                                                        "
"MS 322","4600 Broadway, New York, NY 10040","Technology Upgrades","10","12","100000.00","10040","MANHATTAN","40.86079","-73.930672","285","1076756","1021720016","Washington Heights North                                                   "
"MS 896","26 Broadway, New York, NY 10004","Technology Upgrades","1","1","250000.00","10004","MANHATTAN","40.70568","-74.013302","9","1000811","1000220013","Battery Park City-Lower Manhattan                                          "
"Murray Hill Academy","111 E 33rd St, New York, NY 10016","Technology Upgrades","2","5","100000.00","10016","MANHATTAN","40.746176","-73.981241","72","1087537","1008897501","Murray Hill-Kips Bay                                                       "
"NEST + M","111 Columbia St, New York, NY 10002","Technology Upgrades","2","3","100000.00","10002","MANHATTAN","40.718895","-73.979308","2201","1004070","1003350001","Lower East Side                                                            "
"NYC iSchool","131 Avenue of the Americas, New York, NY
10013","Greenroof","3","2","100000.00","10013","MANHATTAN","40.7244","-74.004625","37","1007378","1004910016","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Park East High School","230 E 105th St, New York, NY 10029","Auditorium Upgrades","8","11","65000.00","10029","MANHATTAN","40.790543","-73.944356","170","1075643","1016540033","East Harlem South                                                          "
"PS 102","315 East 113 Street, New York, NY 10029","Technology Upgrades","8","11","100000.00","10029","MANHATTAN","40.794872","-73.938719","180","1081366","1016840101","East Harlem North                                                          "
"PS 108","1615 Madison Ave, New York, NY 10029","Technology Upgrades","8","11","100000.00","10029","MANHATTAN","40.795146","-73.948368","17401","1051584","1016140021","East Harlem South                                                          "
"PS 126","80 Catherine St, New York, NY 10038","Technology Upgrades","1","3","100000.00","10038","MANHATTAN","40.710729","-73.996631","25","1083357","1001110160","Chinatown                                                                  "
"PS 130","143 Baxter St, New York, NY 10013","Resurfacing Play Roof Flooring","1","2","125000.00","10013","MANHATTAN","40.718903","-73.998438","41","1003086","1002360038","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"PS 138","144 E 128th St, New York, NY","Technology Upgrades","9","11","100000.00",,"MANHATTAN","40.805953","-73.935179","242","1054502","1017760020","East Harlem North                                                          "
