"program_initiative","year","title","artist","partner","site_location","borough","site_type","project_type","installation","removal","latitude","longitude"
"Community Commissions","2020","Mondillo/Little World","Samantha Holmes","Bronx River Art Center","West Farms Square, E. Tremont Avenue & Boston Road","Bronx","Sidewalk","Sculpture","2020-10-05T00:00:00.000","2020-09-04T00:00:00.000",,
"Arterventions","2020","Rockaway Wellness Corridor: Walk this Way","Jeff Beler","Rockaway Waterfront Alliance d/b/a RISE: Rockaway Initiative for Sustainability & Equity","Rockaway Freeway between Beach 59th Street and Beach 62nd Street","Queens","Pedestrianized Asphalt Space","Asphalt Mural","2020-10-04T00:00:00.000","2021-09-04T00:00:00.000",,
"Arterventions","2020","Impulse","Lateral Office and CS Design","Garment District Alliance","Garment District Plaza, Broadway, 37th- 38th Streets- Seasonal Street Closure","Manhattan","Plaza","Sculpture","2020-10-04T00:00:00.000","2020-02-03T00:00:00.000",,
"Arterventions","2020","Doggy Bags","Will Kurtz","Garment District Alliance","Garment District Plazas, Broadway, 37th-38th, 38th-39th, 40th-41st Streets","Manhattan","Plaza","Sculpture","2020-09-13T00:00:00.000","2020-11-22T00:00:00.000",,
"Arterventions","2020","Migration","Madjeen Isaac","Haiti Cultural Exchange","Caton Avenue between Ocean Avenue and St. Paul’s Place","Brooklyn","Corrugated fence","Mural","2020-09-08T00:00:00.000","2021-08-08T00:00:00.000",,
"Community Commissions","2020","Boulevard of African Monarchs","Kenseth Armstead","Marcus Garvey Park Alliance","116th Street and Adam Clayton Powell Blvd/St. Nicholas Avenue","Manhattan","Sidewalk Extension","Sculpture","2020-08-13T00:00:00.000","2020-07-13T00:00:00.000",,
"Art Display Case","2020","Global Climate sHeroes","Bolanle Adeboye","Human Impacts Institute","Water Street between Wall Street and Pearl Street and Gouverneur Lane between Water Street and Front Street","Manhattan","Sidewalk","Art Display Cases","2020-03-01T00:00:00.000","2021-02-01T00:00:00.000",,
"Arterventions","2020","Light Year 2020","Various Artists","DUMBO BID","Manhattan Bridge Anchorage","Brooklyn","Bridge","Projection","2020-01-01T00:00:00.000","2020-12-01T00:00:00.000",,
"Arterventions","2019","Humanimals","Marthalicia Matarrita","The Point","Hunts Point Avenue Metro North Overpass","Bronx","Bridge","Painted Panels","2019-12-13T00:00:00.000","2020-11-13T00:00:00.000",,
"Special Projects","2019","Harlem Sunrise Extended","Gena Lozano","Uptown Grand Central","125th Street Plaza","Manhattan","Plaza","Construction Fence Banner Wrap","2019-12-13T00:00:00.000","2020-11-13T00:00:00.000",,
"Asphalt Art Activations","2019","Loose Weave","Nick Kuszyk","DOT Public Spaces","Nassau Street between Fulton Street and John Street","Manhattan","Winter Seasonal Street","Asphalt Mural","2019-11-29T00:00:00.000","2020-01-01T00:00:00.000",,
"Arterventions","2019","Ziggy","Hou de Sousa","Flatiron/23rd Street Partnership","Flatiron Plaza North, 23rd Street and Broadway","Manhattan","Plaza","Sculpture","2019-11-15T00:00:00.000","2020-01-02T00:00:00.000",,
"Arterventions","2019","Street Cathedral","Claudia Ravaschiere and Michael Moss","Hudson Square BID","Varick Street Between Clarkson Street and Canal Street","Manhattan","Street Light Pole","Sculpture","2019-11-09T00:00:00.000","2020-05-09T00:00:00.000",,
"Arterventions","2019","On the Way to the Sea","Simone Couto & Ian Swanson","International Studio & Curatorial Programm","Newkirk Plaza","Brooklyn","Bridge","Mural","2019-10-26T00:00:00.000","2020-09-26T00:00:00.000",,
"Barrier Beautification","2019","Strong/Soft like a Cliffrose","Cat Willett","DOT School Safety","7th Avenue SB from 67th Street to 75th Street","Brooklyn","Barrier","Mural","2019-10-23T00:00:00.000","2020-09-23T00:00:00.000",,
"Arterventions","2019","In/With Chelsea","Lizania Cruz, Shannon Finnegan, Alicia Grullon, Betty Yu","Friends of the High Line","Street Light Poles","Manhattan","Street Light Pole","Signage","2019-10-02T00:00:00.000","2020-04-02T00:00:00.000",,
"Asphalt Art Activations","2019","Urban Playscape","Kim Carlino","DOT School Safety","Alexander Avenue between 135th and 137th Streets","Bronx","Pedestrianized Asphalt Space","Asphalt Mural","2019-09-29T00:00:00.000","2020-08-28T00:00:00.000",,
"Community Commissions","2019","Drappled Light, Shifting Shadows","Katie Westmoreland","161st Street BID","Pedestrian Walkway at East 161st Street between Gerard Avenue and Concourse Village West","Bronx","Bridge Wall","Mural","2019-09-27T00:00:00.000","2020-08-27T00:00:00.000",,
"Community Commissions","2019","King/Queen Size Quality","Jason Wallace","Washington Heights BID","Dyckman Street and Riverside Drive","Manhattan","Sidewalk","Sculpture","2019-09-24T00:00:00.000","2020-08-24T00:00:00.000",,
"Community Commissions","2019","Vivid Chroma Locomotion","Queen Andrea","Projectivity Group","Richmond Avenue and Drumgoole Road W","Staten Island","Bridge Wall","Mural","2019-09-15T00:00:00.000","2020-08-15T00:00:00.000",,
"Arterventions","2019","Hippo Ballerina: First Steps","Bjorn Skaarup","Cavalier Galleries","Flatiron Plaza, Broadway between 23rd Street and 25th Street","Manhatan","Plaza","Sculpture","2019-08-27T00:00:00.000","2019-11-30T00:00:00.000",,
"Arterventions","2019","Highbridge Flowers","Laura Alvarez","WHEDco (Women's Housing and Economic Development Corporation)","168th Street Step Street (Between EL Grant Highway and Shakespeare Avenue)","Bronx","Step Street","Mural","2019-08-27T00:00:00.000","2021-07-27T00:00:00.000",,
"Asphalt Art Activations","2019","Cast Into the Deep","Annabelle Popa","Cast Into the Deep","Columbia Street and Dwight Street","Brooklyn","Pedestrianized Asphalt Space","Asphalt Mural","2019-08-15T00:00:00.000","2020-07-15T00:00:00.000",,
"Arterventions","2019","Heritage","Apolo Torres","DUMBO Improvement District","BQE-Pearl Street Tunnel between Prospect Street and York Street","Brooklyn","Bridge Wall","Mural","2019-07-23T00:00:00.000","2020-06-23T00:00:00.000",,
"Asphalt Art Activations","2019","Connected Stories","Dan Monteavaro (Moncho1929)","Chinatown Partnership","Doyers Street","Manhattan","Seasonal Street","Asphalt Mural","2019-07-15T00:00:00.000","2019-11-01T00:00:00.000",,
"Art Display Case","2019","Public Artist in Residence","Tatyana Fazlalizadeh","NYC Commission on Human Rights","Lenox Avenue between 124th street and 125th  street","Manhattan","Sidewalk","Art Display Cases","2019-07-15T00:00:00.000","2019-12-31T00:00:00.000",,
"Arterventions","2019","Nymph's Pond","Carla Torres","Garment District Alliance","Broadway between 37th and 38th streets","Manhatan","Seasonal Street","Asphalt Mural","2019-07-01T00:00:00.000","2019-08-31T00:00:00.000",,
"Arterventions","2019","Claremont Illuminated","Claremont Documentary Project Fellows","Bronx Documentary Center & Mayor's Office on Criminal Justice","169th Step Street at WebsterStreet and 168th Step Street at Webster Street","Bronx","Step Street","Projections","2019-06-28T00:00:00.000","2019-06-28T00:00:00.000",,
"Arterventions","2019","FlipNYC","Beam Center Collective","DUMBO BID","Pearl Street Triangle","Brooklyn","Plaza","Sculpture","2019-06-06T00:00:00.000","2020-05-01T00:00:00.000","40.702992","-73.987702"
"Art Display Case","2019","Visual Impact:On Art, AIDS, and Activism","Various Artists","NYC AIDS Memorial Park","NYC AIDS Memorial Park at St. Vincent’s Triangle","Manhattan","Sidewalk","Vinyl","2019-05-31T00:00:00.000","2019-12-31T00:00:00.000","40.737111","-74.001093"
"Community Commissions","2019","Magic Carpet","Soonae Tark","Sunnyside Shines Business Improvement District","46th St. & Queens Blvd.","Queens","Plaza","Ground Vinyl","2019-05-13T00:00:00.000","2020-04-13T00:00:00.000","40.743252","-73.918738"
"Arterventions","2019","Active Art","Brittany Baldwin","Jamaica Center BID","Parsons Blvd. btwn Jamaica Ave. & Archer Ave.","Queens","Sidewalk","Vinyl Mural","2019-05-07T00:00:00.000","2020-04-07T00:00:00.000","40.702918","-73.800159"
"Arterventions","2019","Common Ground","Risa Puno","Hudson Square BID","Hudson St. & King St.","Manhattan","Sidewalk","Sculpture","2019-05-01T00:00:00.000","2020-04-01T00:00:00.000","40.728149","-74.007401"
"Arterventions","2019","Field’s Jax II","Fitzhugh Karol","DUMBO Improvement District","Jay St. & Prospect St.","Brooklyn","Sidewalk","Sculpture","2019-04-24T00:00:00.000","2020-03-24T00:00:00.000","40.700616","-73.987194"
"Arterventions","2019","Field’s Jax III","Fitzhugh Karol","DUMBO Improvement District","Front St. & York St.","Brooklyn","Sidewalk","Sculpture","2019-04-24T00:00:00.000","2020-03-24T00:00:00.000","40.702540","-73.991676"
"Arterventions","2019","Life Without Tragedy","Kostis Velonis","Onassis Foundation/Village Alliance","Astor Place Plaza","Manhattan","Plaza","Asculpture","2019-04-08T00:00:00.000","2019-04-30T00:00:00.000","40.729885","-73.991135"
"Arterventions","2019","All Power to All People","Hank Willis Thomas","The Africa Center","110th St. & 5th Ave.","Manhattan","Sidewalk","Sculpture","2019-04-03T00:00:00.000","2019-07-07T00:00:00.000","40.796481","-73.949048"
"Community Commissions","2019","Moment of Gratitude","Emily Caisip","DUMBO BID","Front St. btwn Adams St. & Pearl St.","Brooklyn","Fence","Mural","2019-03-27T00:00:00.000","2020-02-27T00:00:00.000","40.702469","-73.987982"
"Arterventions","2019","Iceberg","ATOMIC3 and Appareil Architecture, in collaboration with Jean-Sébastien Côté and Philippe Jean","Garment District Alliance","Garment District Plaza, Broadway btwn 37th St. & 38th St.","Manhattan","Plaza","Interactive","2019-02-26T00:00:00.000","2019-03-26T00:00:00.000","40.752499","-73.987395"
"Community Commissions","2019","Focused at Infinity","Emily Lambert","National Lighthouse Museum","St. George Ferry Terminal","Staten Island","Concrete Wall","Vinyl Mural","2019-02-13T00:00:00.000","2020-01-13T00:00:00.000","40.644174","-74.072550"
"Arterventions","2019","Light Year 2019","Various Artists","DUMBO BID","Manhattan Bridge Anchorage","Brooklyn","Bridge","Projection","2019-01-01T00:00:00.000","2020-12-01T00:00:00.000",,
"Arterventions","2019","Lightspeed","Chris Jordan/Totem","LIC Partnersip","Sunnyside Yard","Queens","Bridge","Light Projection","2019-01-01T00:00:00.000","2019-12-01T00:00:00.000","40.749960","-73.928503"
"Community Commissions","2019","South Bronx Pride Totem","Roy Secord","BronxArtSpace","Roundabout at Dawson St. & Intervale Ave.","Bronx","Roundabout","Sculpture","2019-01-01T00:00:00.000","2019-12-01T00:00:00.000","40.820300","-73.896981"
"Asphalt Art Activations","2018","The World is Our Oyster","Carla Torres","DOT PPG","Thieriot Ave. btwn Soundview Ave & Randall Ave.","Bronx","Pedestrianized Asphalt Space","Asphalt Mural","2018-11-19T00:00:00.000","2019-10-29T00:00:00.000","40.816738","-73.860945"
"Asphalt Art Activations","2018","Tidal Bay","Combo Colab: Carolina Cisneros, Mateo Pinto","DOT PPG","Beach Channel Drive","Queens","Pedestrianized Asphalt Space","Asphalt Mural","2018-11-19T00:00:00.000","2019-10-29T00:00:00.000","40.597124","-73.766967"
"Arterventions","2018","Happy","Benjamin Cadena, Studio Cadena","Flatiron/23rd Street Partnership","Flatiron Plaza","Manhattan","Plaza","Installation","2018-11-14T00:00:00.000","2019-01-02T00:00:00.000","40.741632","-73.989289"
"Barrier Beautification","2018","Shadowbox","Gavin Snyder","New York Cares and JP Morgan Chase & Co.","Delancey St. btwn Essex St. & Clinton St.","Manhattan","Barrier","Mural","2018-10-30T00:00:00.000","2019-09-30T00:00:00.000","40.718594","-73.988470"
"Arterventions","2018","Dumbo x Hungary Opera Project","Glowing Bulbs","DUMBO BID","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Projection","2018-10-28T00:00:00.000","2018-10-30T00:00:00.000","40.703161","-73.987882"
"Arterventions","2018","Tear of the Cloud","Tony Oursler","Public Art Fund","Riverside Park South, Pier 1","Manhattan","Bridge Archway","Projection","2018-10-22T00:00:00.000","2018-10-31T00:00:00.000","40.779205","-73.989536"
"Asphalt Art Activations","2018","Up & Down River","Ellen Picken","DOT PPG","Hooper St. & Division Ave., Hooper St. & Broadway","Brooklyn","Bike Share Station","Asphalt Mural","2018-10-22T00:00:00.000","2019-09-22T00:00:00.000","40.706924","-73.954128"
"Arterventions","2018","The Massive Stampede","Craig Anthony Miller","DUMBO BID","BQE Underpass, Adams St. & York St.","Brooklyn","Bridge Wall","Mural","2018-10-15T00:00:00.000","2019-09-15T00:00:00.000","40.701369","-73.988635"
"Arterventions","2018","Candy Nations","Laurence Jenkell","Garment District Alliance","Broadway btwn 36th St. & 39th St.","Manhattan","Plaza","Sculpture","2018-10-02T00:00:00.000","2018-12-15T00:00:00.000","40.751699","-73.987594"
"Asphalt Art Activations","2018","Oasis","Kim Carlino","DOT PPG","Montrose Ave. at Union Ave. & S 5th St.","Brooklyn","Sidewalk Extension","Asphalt Mural","2018-10-01T00:00:00.000","2019-09-01T00:00:00.000","40.706661","-73.950380"
"Arterventions","2018","Connection","Michael Ochea","Arts East NY and Department of Health and Mental Hygiene","Livonia Bridge","Brooklyn","Fence","Intervention","2018-09-20T00:00:00.000","2019-06-20T00:00:00.000","40.664090","-73.900507"
"Arterventions","2018","Flesh & Bronze","Thomas Gleisner","Public Service Artists Guild","Broadway btwn Cornelia St. & Myrtle Ave.","Brooklyn","Light Poles","Signage/Vinyl","2018-09-11T00:00:00.000","2019-08-11T00:00:00.000","40.687395","-73.918319"
"Arterventions","2018","Link","Jorge Palacios","Noguchi Museum","Flatiron Plaza","Manhattan","Plaza","Sculpture","2018-08-17T00:00:00.000","2018-11-06T00:00:00.000","40.741632","-73.989289"
"Art Display Case","2018","The Supper Club","Elia Alba","Lower Manhattan Cultural Council","Water St. btwn Wall St. & Pine St., and Gouveneur Ln. btwn Water St. & Front St.","Manhattan","Sidewalk","Art Display Case","2018-08-15T00:00:00.000","2018-10-31T00:00:00.000","40.705409","-74.007026"
"Arterventions","2018","The Song of Dragon and Flowers","Chen Dongfan","Chinatown Partnership, Fou Gallery and ArtBridge","Doyers Street","Manhattan","Seasonal Street","Asphalt Mural","2018-07-12T00:00:00.000","2018-10-15T00:00:00.000","40.714382","-73.997951"
"Arterventions","2018","Nestled Bells","Volker Goetze","Staten Island Arts","St. George Ferry Terminal","Staten Island","Plaza","Sculpture","2018-07-11T00:00:00.000","2018-06-11T00:00:00.000","40.644174","-74.072550"
"Community Commissions","2017","Norwood Column","Jenny Hung","Jerome Gun Hill BID","E Mosholu Pkwy South & Grand Concourse","Bronx","Triangle","Sculpture","2018-06-27T00:00:00.000","2019-05-27T00:00:00.000","40.878201","-73.884766"
"Arterventions","2018","Poetry Jukebox","Ondrej Kobza","The Village Alliance","Ruth Wittenberg Triangle","Manhattan","Triangle","Sculpture","2018-06-20T00:00:00.000","2019-05-20T00:00:00.000","40.733997","-73.999492"
"Arterventions","2017","S is for Starlight Park","Manuel Acevedo","Bronx River Art Center","E 174th St. Bridge Underpass btwn W Farms Rd. & Sheridan Expwy","Bronx","Bridge Wall","Mural","2018-06-15T00:00:00.000","2019-05-15T00:00:00.000","40.835455","-73.882207"
"Arterventions","2018","¿Qué Dicen Los Jóvenes? What Do Young People Have to Say?","Lady K Fever and J G Caps","The Bronx Museum","165th St. & Carroll Pl.","Bronx","Step Street","Mural","2018-06-14T00:00:00.000","2019-05-14T00:00:00.000","40.830544","-73.919445"
"Barrier Beautification","2018","Drew Barriermore","Kat Lam","New York Cares and JP Morgan Chase & Co.","Williamsburg St. West btwn Kent Ave. & Flushing Ave.","Brooklyn","Barrier","Mural","2018-06-07T00:00:00.000","2019-05-07T00:00:00.000","40.699712","-73.962424"
"Community Commissions","2017","The Night Life, Baby","VIZIE (Patrick Griffin)","Hudson Yards / Hell's Kitchen Alliance","W 36th St. btwn 10th Ave. & 11th Ave.","Manhattan","Bridge Wall","Mural","2018-06-03T00:00:00.000","2019-05-03T00:00:00.000","40.756892","-74.000550"
"Arterventions","2018","Araruana","Patricia Cazorla and Nancy Saleme","Garment District Alliance","Broadway btwn 39th St. & 41st St.","Manhattan","Seasonal Street","Asphalt Mural","2018-05-31T00:00:00.000","2018-09-16T00:00:00.000","40.753895","-73.986970"
"Arterventions","2018","All Roads Lead to Fordham","Colin Nicodemo of Dylan James Design","Fordham Road BID","Grand Concourse & East Fordham Rd.","Bronx","Sidewalk","Sculpture","2018-05-23T00:00:00.000","2019-04-23T00:00:00.000","40.862453","-73.897125"
"Barrier Beautification","2018","Razzle Dazzle","Ann Tarantino","New York Cares and JP Morgan Chase & Co.","Park Row & Frankfort St.","Manhattan","Barrier","Mural","2018-05-22T00:00:00.000","2019-04-22T00:00:00.000","40.711786","-74.004833"
"Art Display Case","2018","Amplify","Various artists","Worldstudio +Make Art with Purpose","Lenox Ave. btwn 124th St. & 125th St.","Manhattan","Sidewalk","Art Display Case","2018-05-15T00:00:00.000","2018-08-15T00:00:00.000","40.807480","-73.945737"
"Arterventions","2018","Rebirth","Kang Muxiang","Garment District Alliance","Broadway btwn 36th St. & 39th St.","Manhattan","Plaza","Sculpture","2018-05-14T00:00:00.000","2018-09-16T00:00:00.000","40.751699","-73.987594"
"Art Display Case","2018","Mobile Print Power Selected Works 2013-2018","Mobile Print Power","Queens Museum","Corona Plaza","Queens","Plaza","Art Display Case","2018-04-15T00:00:00.000","2018-10-15T00:00:00.000","40.749721","-73.862279"
"Arterventions","2018","Diversity","art teachers and students of Xaverian High School","Xaverian High School","69th St. Overpass","Brooklyn","Bridge Wall","Mural","2018-04-14T00:00:00.000","2019-03-14T00:00:00.000","40.638978","-74.036487"
"Arterventions","2018","The Last Three","Gillie and Marc Schattner","Village Alliance","Astor Place Plaza","Manhattan","Plaza","Sculpture","2018-03-12T00:00:00.000","2018-05-15T00:00:00.000","40.729885","-73.991135"
"Arterventions","2017","Word on the Street","Various artists","Times Square Alliance","Broadway btwn 40th St. & 53rd St.","Manhattan","Light Poles","Banner","2018-03-01T00:00:00.000","2018-09-01T00:00:00.000","40.758077","-73.985625"
"Arterventions","2018","Loop","Olivier Girouard, Jonathan Villeneuve and Ottoblix. Produced by Eukmen and Quartier des Spectacles Partnership, Montreal, Canada","Garment District Alliance","Garment District Plaza, Broadway btwn 37th St. & 38th St.","Manhattan","Plaza","Interactive","2018-02-13T00:00:00.000","2018-03-31T00:00:00.000","40.752499","-73.987395"
"Arterventions","2018","Tear","Richard Hudson","Vornado Realty Trust","Plaza33, 33rd St. btwn 7th Ave. & 8th Ave.","Manhattan","Plaza","Sculpture","2017-12-18T00:00:00.000","2018-11-18T00:00:00.000","40.750464","-73.991664"
"Barrier Beautification","2017","The Five Elements","Carla Torres","New York Cares","Queens Blvd. btwn Jackson Ave. & Skillman Ave.","Queens","Barrier","Mural","2017-11-17T00:00:00.000","2018-10-17T00:00:00.000","40.748511","-73.936781"
