DEVELOPMENT,STREET ADDRESS,POSTCODE,BOROUGH,BLDG. NUMBER,TDS NUMBER,BIN,No. of FLOORS,ROOF SPACE (Sq. Ft.),ESTIMATED ROOF SOLAR CAPACITY (kW),ADJUSTED VALUE (kW),ROOF CONDITION RATING OR REPLACEMENT DATE,No. of RESIDENTIAL UNITS,No. of TOTAL UNITS,SENIOR DEVELOPMENT (YES/NO),Community Board,Council District,Census Tract,BBL,NTA,Location 1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
UNITY PLAZA (SITES 4-27),390 GEORGIA AVENUE,11207,BROOKLYN,4,261,3336124,6,23538.94,152.71,106.9,5,107,108,No,5,42,1156,3037850015,East New York (Pennsylvania Ave)                                           ,"(40.66704, -73.896586)",17214,45,2,25,47
WYCKOFF GARDENS,185 NEVINS STREET,11217,BROOKLYN,2,163,3336055,21,8941.18,22.71,22.71,2,173,174,No,6,33,127,3003940001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"(40.682868, -73.984814)",17619,14,2,38,50
MOTT HAVEN,375 EAST 143RD STREET,10454,BRONX,9,121,2091101,2,9000.59,2.87,2.87,5,0,0,Non-residential,1,8,41,2023060009,Mott Haven-Port Morris                                                     ,"(40.812702, -73.921622)",10932,49,5,35,23
UNITY PLAZA (SITES 4-27),400 WILLIAMS AVENUE,11207,BROOKLYN,2,261,3328049,6,16639.37,104.93,73.45,1,104,104,No,5,42,1134,3037840001,East New York (Pennsylvania Ave)                                           ,"(40.666043, -73.898242)",17214,45,2,25,47
BAISLEY PARK,116-80 GUY BREWER BOULEVARD,11434,QUEENS,3,91,4435281,8,8164.13,37.93,37.93,3,76,77,No ,12,28,278,4122350022,Baisley Park                                                               ,"(40.684875, -73.78338)",24669,41,3,46,71
BARUCH,296 DELANCEY STREET,10002,MANHATTAN,12,60,1078037,13,12817.49,48.28,33.8,5,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.715802, -73.979478)",11723,70,4,50,4
CORSI HOUSES,306 EAST 117TH STREET,10035,MANHATTAN,1,199,1079357,16,13320.5,38.46,38.46,3,171,171,Yes,11,8,188,1016880045,East Harlem North                                                          ,"(40.797489, -73.936856)",13093,7,4,35,16
BARUCH,79 BARUCH DRIVE,10002,MANHATTAN,11,60,1078036,13,7880.58,45.29,31.7,5,65,65,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.717575, -73.97819)",11723,70,4,50,4
FOREST,980 TRINITY AVENUE,10456,BRONX,15,59,2091968,9,6685.5,41.05,28.73,5,63,63,No,3,16,133,2026390001,Morrisania-Melrose                                                         ,"(40.824177, -73.905371)",10934,34,5,42,25
TODT HILL,275 WESTWOOD AVENUE,10314,STATEN ISLAND,3,42,5108964,6,10165.38,47.78,33.45,2,72,72,No,2,49,173,5007060001,New Springville-Bloomfield-Travis                                          ,"(40.60643, -74.120175)",10700,30,1,13,76
BAISLEY PARK,116-55 GUY BREWER BOULEVARD,11434,QUEENS,9,91,4435292,1,10260.89,52.78,36.94,3,0,0,Non-residential,12,28,278,4123350044,Baisley Park                                                               ,"(40.685265, -73.783585)",24669,41,3,46,71
FOREST,735 EAST 163RD STREET,10456,BRONX,13,59,2091966,9,6964.9,41.67,29.17,5,80,81,No,3,16,133,2026390001,Morrisania-Melrose                                                         ,"(40.823053, -73.90452)",10934,34,5,42,25
KINGSBOROUGH,353 KINGSBOROUGH 3RD WALK,11233,BROOKLYN,8,10,3331196,6,7218.2,37.06,37.06,1,72,72,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.675017, -73.925825)",13516,16,2,17,49
KINGSBOROUGH,135 KINGSBOROUGH 1ST WALK,11233,BROOKLYN,3,10,3324601,6,6937.92,32.19,32.19,1,54,54,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.675092, -73.927224)",17615,16,2,17,49
AUDUBON,1909 AMSTERDAM AVENUE,10032,MANHATTAN,1,125,1061681,20,8347.21,38.8,38.8,2,167,168,No ,9,7,23501,1020680046,Hamilton Heights                                                           ,"(40.831308, -73.943159)",13090,37,4,23,19
LEHMAN VILLAGE,1641 MADISON AVENUE,10029,MANHATTAN,1,101,1078867,20,6713.36,40.42,28.3,3,154,156,No,11,8,17401,1016150023,East Harlem South                                                          ,"(40.79584, -73.947866)",12426,7,4,35,14
ISAACS,415 EAST 93RD STREET,10128,MANHATTAN,4,139,1082367,1,12802.74,0,0,4,,0,Non-residential,8,5,152,1015730001,Yorkville                                                                  ,"(40.780904, -73.945112)",10099,23,4,1,11
LATIMER GARDENS,34-25 LINDEN PLACE,11354,QUEENS,1,186,4443411,10,8321.01,53.27,37.29,3,108,108,No,7,20,88901,4049510008,Flushing                                                                   ,"(40.766181, -73.831274)",13832,22,3,3,67
WAGNER,30 PALADINO AVENUE,10035,MANHATTAN,11,74,1081294,7,5745.33,29.94,29.94,5,52,52,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.800214, -73.930869)",13093,7,4,35,16
MIDDLETOWN PLAZA,3033 MIDDLETOWN ROAD,10461,BRONX,1,191,2046141,15,11163.59,34.81,34.81,3,177,179,Yes,10,13,26602,2041710024,Pelham Bay-Country Club-City Island                                        ,"(40.844293, -73.829016)",11270,43,5,12,28
GARVEY (GROUP A),10 AMBOY STREET,11212,BROOKLYN,2,252,3251969,14,16469.45,56.52,39.56,3,117,118,No,16,41,902,3034940010,Brownsville                                                                ,"(40.670286, -73.914821)",17614,55,2,17,46
45 ALLEN STREET,45 ALLEN STREET,10002,MANHATTAN,1,265,1075792,14,7953.83,51.65,36.16,5,104,107,No ,3,1,16,1003070001,Chinatown                                                                  ,"(40.716605, -73.991714)",11723,70,4,32,2
BAISLEY PARK,164-01 FOCH BOULEVARD,11434,QUEENS,1,91,4435294,8,8280.59,37.06,37.06,3,76,77,No ,12,28,278,4123350044,Baisley Park                                                               ,"(40.684565, -73.782091)",24669,41,3,46,71
CONLON LIHFE TOWER,92-33 170TH STREET,11433,QUEENS,1,232,4457492,13,11007.16,41.17,28.82,2,214,216,Yes,12,27,444,4102120033,Jamaica                                                                    ,"(40.706193, -73.789136)",24668,41,3,6,61
CARVER,1545 MADISON AVENUE,10029,MANHATTAN,10,58,1078838,6,5590.87,25.58,25.58,1,48,48,No ,11,8,168,1016100023,East Harlem South                                                          ,"(40.79261, -73.950223)",12426,7,4,35,14
FOREST,965 TINTON AVENUE,10456,BRONX,11,59,2091965,14,12154.12,46.41,32.49,4,108,108,No,3,16,133,2026390001,Morrisania-Melrose                                                         ,"(40.823357, -73.902882)",10934,34,5,42,25
KINGSBOROUGH,253 KINGSBOROUGH 2ND WALK,11233,BROOKLYN,4,10,3324603,6,7179.34,34.06,34.06,1,72,72,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.675059, -73.926694)",17615,16,2,17,49
MELTZER TOWER,94 EAST 1ST STREET,10009,MANHATTAN,1,183,1005743,20,6722.76,36.68,36.68,5,229,231,Yes,3,2,3002,1004290021,East Village                                                               ,"(40.722827, -73.987402)",11729,70,4,50,5
POLO GROUNDS TOWERS,2999 GARAGE FREDERICK DOUGLASS BOULEVARD,10039,MANHATTAN,7,149,1087108,1,822.65,0,0,5,0,0,Non-residential,10,9,24302,1021060003,Central Harlem North-Polo Grounds,"(40.831402, -73.935649)",13097,18,4,36,20
KINGSBOROUGH,654 KINGSBOROUGH 6TH WALK,11233,BROOKLYN,13,10,3324598,6,10206.53,50.53,35.37,1,96,96,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.674765, -73.922685)",13516,16,2,17,49
KINGSBOROUGH,719 KINGSBOROUGH 7TH WALK,11233,BROOKLYN,16,10,3257064,6,6497.86,32.31,32.31,1,48,48,No,16,41,303,3014380001,Ocean Hill                                                                 ,"(40.675445, -73.921513)",13516,55,2,17,46
KINGSBOROUGH,319 KINGSBOROUGH 3RD WALK,11233,BROOKLYN,9,10,3331195,6,7099.8,38.43,38.43,1,72,72,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.675821, -73.925741)",13516,16,2,17,49
KINGSBOROUGH,720 KINGSBOROUGH 7TH WALK,11233,BROOKLYN,15,10,3257063,6,6491.46,33.19,33.19,1,48,48,No,16,41,303,3014380001,Ocean Hill                                                                 ,"(40.675445, -73.921534)",13516,55,2,17,46
TODT HILL,791 MANOR ROAD,10314,STATEN ISLAND,2,42,5108963,6,10237.77,42.67,29.87,2,72,72,No,2,49,173,5007060001,New Springville-Bloomfield-Travis                                          ,"(40.607437, -74.12102)",10700,30,1,13,76
MILL BROOK,584 EAST 137TH STREET,10454,BRONX,6,84,2091266,16,7659.37,51.9,36.33,3,145,145,No,1,8,2701,2025480001,Mott Haven-Port Morris                                                     ,"(40.80584, -73.917306)",10932,49,5,35,23
GARVEY (GROUP A),20 AMBOY STREET,11212,BROOKLYN,4,252,3000000,2,5877.93,4.49,4.49,3,0,0,Non-residential,16,41,902,3034940010,Brownsville                                                                ,"(40.670058, -73.91476)",17614,55,2,17,46
TODT HILL,34 LA GUARDIA AVENUE,10314,STATEN ISLAND,6,42,5108961,6,10238.27,45.04,31.53,2,72,72,No,2,49,173,5007060001,New Springville-Bloomfield-Travis                                          ,"(40.607769, -74.118254)",10700,30,1,13,76
KINGSBOROUGH,354 KINGSBOROUGH 3RD WALK,11233,BROOKLYN,6,10,3331198,6,7217.75,35.68,35.68,1,65,72,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.675017, -73.925847)",13516,16,2,17,49
HIGHBRIDGE GARDENS,1095 UNIVERSITY AVENUE,10452,BRONX,3,78,2095217,13,7191.07,42.67,29.87,2,116,116,No,4,16,193,2025270032,Highbridge                                                                 ,"(40.836471, -73.92889)",10930,50,5,42,27
STUYVESANT GARDENS II,150 MALCOLM X BOULEVARD,11221,BROOKLYN,1,333,3044658,7,16081.25,109.54,76.68,3,150,150,Yes,3,36,293,3016360024,Stuyvesant Heights                                                         ,"(40.688335, -73.930144)",18181,69,2,49,52
CORSI HOUSES,306 EAST 117TH STREET,10035,MANHATTAN,1,199,1079358,16,6731.02,19.43,19.43,5,171,171,Yes,11,8,188,1016880045,East Harlem North                                                          ,"(40.797489, -73.936856)",13093,7,4,35,16
MILL BROOK,520 EAST 137TH STREET,10454,BRONX,2,84,2090984,16,7586.56,51.15,35.81,3,145,145,No,1,8,25,2022630019,Mott Haven-Port Morris                                                     ,"(40.806357, -73.918523)",10932,49,5,35,23
POLO GROUNDS TOWERS,2981A FREDERICK DOUGLASS BOULEVARD,10039,MANHATTAN,6,149,1087107,1,5188.53,8.61,8.61,3,0,0,Non-residential,10,9,24302,1021060003,Central Harlem North-Polo Grounds,"(40.830692, -73.936163)",13097,18,4,36,20
ELLIOTT,446 WEST 26TH STREET,10001,MANHATTAN,3,15,1083579,11,9566.17,66.87,46.81,5,142,142,No,4,3,93,1007230001,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.749251, -74.001996)",11722,12,4,10,6
KINGSBOROUGH EXTENSION,447 KINGSBOROUGH 4TH WALK,11233,BROOKLYN,17,161,3035751,25,5101.92,24.83,24.83,1,184,184,Yes,8,41,307,3013440175,Crown Heights North                                                        ,"(40.675242, -73.924931)",13516,16,2,17,49
EAST 180TH STREET-MONTEREY AVENUE,2111 LAFONTAINE AVENUE,10457,BRONX,1,208,2011855,10,22345.12,159.32,111.53,5,239,239,No,6,15,37504,2030620021,East Tremont                                                               ,"(40.850185, -73.892137)",10935,35,5,22,31
TODT HILL,761 MANOR ROAD,10314,STATEN ISLAND,1,42,5110030,6,10122.2,44.17,30.92,2,72,72,No,2,49,173,5007060001,New Springville-Bloomfield-Travis                                          ,"(40.608205, -74.121097)",10700,30,1,13,76
BERRY,18GAR DONGAN HILLS AVENUE,10306,STATEN ISLAND,9,52,5146061,,707.11,0,0,5,,0,Non-residential,2,50,11401,5035320500,Old Town-Dongan Hills-South Beach                                          ,"(40.588374, -74.101388)",10693,30,1,14,76
EAST 180TH STREET-MONTEREY AVENUE,2120 QUARRY ROAD,10457,BRONX,2,208,2011852,1,11032.23,42.42,29.69,3,0,0,Non-residential,6,15,37504,2030620006,East Tremont                                                               ,"(40.851045, -73.893292)",10935,35,5,22,31
TODT HILL,231 WESTWOOD AVENUE,10314,STATEN ISLAND,5,42,5108962,6,9993.09,50.78,35.55,2,70,70,No,2,49,173,5007060001,New Springville-Bloomfield-Travis                                          ,"(40.606619, -74.118187)",10700,30,1,13,76
GARVEY (GROUP A),1440 EAST NEW YORK AVENUE,11212,BROOKLYN,1,252,3080727,6,9627.62,81.1,56.77,3,86,86,Yes,16,41,902,3034960013,Brownsville                                                                ,"(40.670654, -73.914575)",17614,55,2,17,46
METRO NORTH PLAZA,345 EAST 101ST STREET,10029,MANHATTAN,3,181,1079340,8,12416.19,90.58,63.41,5,107,111,No,11,8,164,1016730006,East Harlem South                                                          ,"(40.787019, -73.943742)",12426,7,4,35,14
KINGSBOROUGH,653 KINGSBOROUGH 6TH WALK,11233,BROOKLYN,14,10,3324599,6,10326.5,51.65,36.16,1,108,108,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.674765, -73.922664)",13516,16,2,17,49
WSUR (SITE B) 74 WEST 92ND STREET,74 WEST 92ND STREET,10025,MANHATTAN,5,173,1031623,22,13586.46,27.95,27.95,4,168,168,No,7,6,177,1012050001,Upper West Side                                                            ,"(40.790056, -73.968834)",12422,20,4,19,15
ISAACS,1830 1ST AVENUE,10128,MANHATTAN,2,139,1082366,24,7090.99,42.05,29.43,1,214,215,No,8,5,152,1015730001,Yorkville                                                                  ,"(40.782381, -73.945342)",10099,23,4,1,11
LEHMAN VILLAGE,88GAR EAST 108TH STREET,10029,MANHATTAN,5,101,1087109,1,787,0,0,3,0,0,Non-residential,11,8,17401,1016130023,East Harlem South                                                          ,"(40.794324, -73.947192)",12426,7,4,35,14
TAFT,1712 MADISON AVENUE,10029,MANHATTAN,10,97,1080504,1,22153.8,104.93,73.45,5,0,0,Non-residential,11,9,184,1016180001,East Harlem North                                                          ,"(40.79812, -73.946224)",12426,7,4,36,14
POLO GROUNDS TOWERS,2927 FREDERICK DOUGLASS BOULEVARD,10039,MANHATTAN,5,149,1082089,1,11907.23,40.05,28.03,5,0,0,Non-residential,10,9,24302,1021060003,Central Harlem North-Polo Grounds,"(40.829257, -73.937209)",13097,18,4,36,20
KINGSBOROUGH,420 KINGSBOROUGH 4TH WALK,11233,BROOKLYN,11,10,3331199,6,7029.49,40.17,28.12,1,65,67,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.675684, -73.924909)",13516,16,2,17,49
830 AMSTERDAM AVENUE,830 AMSTERDAM AVENUE,10025,MANHATTAN,1,150,1056483,20,6929.03,39.55,39.55,5,159,159,No ,7,7,187,1018720029,Upper West Side                                                            ,"(40.79703, -73.9686)",12422,20,4,23,15
BARUCH,140 COLUMBIA STREET,10002,MANHATTAN,17,60,1078042,13,8401.7,49.78,34.85,5,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.718555, -73.979463)",11723,70,4,50,4
KINGSBOROUGH,219 KINGSBOROUGH 2ND WALK,11233,BROOKLYN,5,10,3324602,6,7165.26,34.56,34.56,1,72,72,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.675869, -73.926621)",13516,16,2,17,49
GRAMPION,182 SAINT NICHOLAS AVENUE,10026,MANHATTAN,1,281,1058446,7,4148.98,23.21,23.21,4,35,35,No,10,9,220,1019250015,Central Harlem South                                                       ,"(40.805962, -73.952803)",12423,18,4,36,18
GARVEY (GROUP A),1400 EAST NEW YORK AVENUE,11212,BROOKLYN,3,252,3333363,14,13954.77,69.62,48.73,3,117,117,No,16,41,902,3034940010,Brownsville                                                                ,"(40.670105, -73.915827)",17614,55,2,17,46
HIGHBRIDGE GARDENS,1125 UNIVERSITY AVENUE,10452,BRONX,6,78,2095220,13,9933.77,42.42,29.69,3.3,116,116,No,4,16,193,2025270032,Highbridge                                                                 ,"(40.836953, -73.928409)",10930,50,5,42,27
FORT INDEPENDENCE STREET-HEATH AVENUE,3340 BAILEY AVENUE,10463,BRONX,1,197,2086835,21,25893.22,147.35,103.14,4.7,342,344,No,8,14,277,2032610102,Van Cortlandt Village                                                      ,"(40.879929, -73.900869)",11272,48,5,29,33
PARKSIDE,649 ARNOW AVENUE,10467,BRONX,7,47,2101748,7,7312.84,32.44,32.44,Replaced 6/17,56,56,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.867933, -73.869062)",11605,59,5,22,32
MOTT HAVEN,380 EAST 143RD STREET,10454,BRONX,6,121,2091099,20,9630.4,34.5,34.5,Replaced 11/16,130,130,No,1,8,41,2023040001,Mott Haven-Port Morris                                                     ,"(40.812573, -73.921358)",10932,49,5,35,23
FOREST,735 EAST 165TH STREET,10456,BRONX,3,59,2091970,14,6651.61,47.04,32.93,4.9,111,111,No,3,16,135,2026400001,Morrisania-Melrose                                                         ,"(40.825043, -73.903859)",10934,34,5,42,25
LA GUARDIA,55 RUTGERS STREET,10002,MANHATTAN,2,76,1077515,16,6560.48,40.8,28.56,Replaced 5/16,124,124,No,3,1,6,1002560001,Lower East Side                                                            ,"(40.711725, -73.989806)",11723,70,4,32,4
GLENWOOD,901 EAST 56TH STREET,11234,BROOKLYN,5,44,3331017,6,8113.94,40.3,28.21,Replaced 10/16,30,30,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.634255, -73.922685)",13825,5,2,26,38
STRAUS,243 EAST 27TH STREET,10016,MANHATTAN,2,153,1019879,19,4640.15,22.46,22.46,3.1,111,111,No,6,2,66,1009080027,Murray Hill-Kips Bay                                                       ,"(40.740647, -73.979651)",12078,71,4,50,7
WAGNER,90 PALADINO AVENUE,10035,MANHATTAN,1,74,1081285,7,5769.68,31.69,31.69,3.8,54,54,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.797941, -73.929596)",13093,7,4,35,16
ADAMS,745 EAST 152ND STREET,10455,BRONX,1,118,2091979,15,9272.01,44.67,31.27,4.3,122,122,No ,1,17,79,2026540002,Melrose South-Mott Haven North                                             ,"(40.815864, -73.907225)",10933,49,5,43,23
GLENWOOD,5712 FARRAGUT ROAD,11234,BROOKLYN,10,44,3331019,6,8221.01,38.93,38.93,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.636283, -73.921476)",13825,5,2,26,38
PARKSIDE,660 ARNOW AVENUE,10467,BRONX,5,47,2093464,14,6215.76,42.42,29.69,Replaced 6/17,112,112,No,11,15,336,2045070048,Bronxdale                                                                  ,"(40.867916, -73.869015)",11605,59,5,22,32
RICHMOND TERRACE,131 JERSEY STREET,10301,STATEN ISLAND,5,117,5113003,8,9270.15,41.05,28.73,Replaced 7/16,80,81,No,1,49,7,5000510001,West New Brighton-New Brighton-St. George                                  ,"(40.644239, -74.086857)",10369,4,1,13,74
MARINER'S HARBOR,208 LOCKMAN AVENUE,10303,STATEN ISLAND,8,77,5109119,6,4569.9,9.48,9.48,Replaced 6/16,35,36,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.63195, -74.161711)",10371,4,1,13,75
ADAMS,680 TINTON AVENUE,10455,BRONX,6,118,2091987,21,6252.76,42.67,29.87,2.8,143,143,No ,1,17,79,2026650001,Melrose South-Mott Haven North                                             ,"(40.816181, -73.90514)",10933,49,5,43,23
BERRY,21 SEAVER AVENUE,10306,STATEN ISLAND,8,52,5109573,6,8819.88,37.06,37.06,Replaced 1/16,72,72,No ,2,50,11401,5035320500,Old Town-Dongan Hills-South Beach                                          ,"(40.586703, -74.103362)",10693,30,1,14,76
