"date","program_area","program_type","service_category","provider","program_site_name","borough","street_address","city","state","zipcode","latitude","longitude","x_coordinate","y_coordinate","communitydistrict","community_name","city_council_district","census_tract_2010","nda","nta","bin","bbl","geocoded_column","ntaname","totalslots","totalparticipants","contract","portfolioid"
"2020","Discretionary","Under Threshold","Community Services","Turning Point Brooklyn Inc","Literacy and Immigrant Services","Brooklyn","423 39 STREET","Brooklyn","NY","11232","40.65219046","-74.00542382","982745","176887","Brooklyn CD 007","Brooklyn CD 007","Council District 038 Brooklyn","84","NDA007K","BK32","3010451","3007050067","POINT (-74.00542382 40.65219046)","Sunset Park West","N/A","N/A","76632R",
"2020","Discretionary","Under Threshold","Community Services","Project New Yorker Corporation","Project New Yorker Corporation","Queens","164-13 HILLSIDE AVENUE","Jamaica","NY","11432","40.7089463","-73.79849473","1040116","197629","Queens CD 008","Queens CD 008","Council District 024 Queens","44602","NDA012Q","QN61",,,"POINT (-73.79849473 40.7089463)","Jamaica","N/A","N/A","48502R",
"2020","Discretionary","Under Threshold","Community Services","Servicing Our Youth","Servicing Our Youth","Bronx","14 WEST 170 STREET","Bronx","NY","10452","40.84042116","-73.91829322","1006858","245476","Bronx CD 004","Bronx CD 004","Council District 016 Bronx","219","NDA004X","BX26","2008292","2028560029","POINT (-73.91829322 40.84042116)","Highbridge","N/A","N/A","12483R",
"2020","Discretionary","Under Threshold","Community Services","Young Faces Smiling","Young faces Smiling","Manhattan","400 WEST 155 STREET","New York","NY","10032","40.83049613","-73.94046355","1000714","241862","Manhattan CD 009","Manhattan CD 009","Council District 009 Manhattan","23501","NDA009M","MN04","1089726","1020697501","POINT (-73.94046355 40.83049613)","Hamilton Heights","N/A","N/A","28866R",
"2021","Compass","COMPASS High School","Afterschool Programs; Community Services; Educational Services","Asian Americans for Equality Inc","Flushing High School","Queens","35-01 UNION STREET","QUEENS","NY","11354","40.76516547","-73.82789045","1031926","218094","Queens CD 007","Queens CD 007","Council District 020 Queens","1161","NDA007Q","QN22","4113172","4050020001","POINT (-73.82789045 40.76516547)","Flushing","50","56","151000A","151000"
"2021","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Good Shepherd Services","J.H.S. 292 Margaret S. Douglas","Brooklyn","301 VERMONT STREET","Brooklyn","NY","11207","40.67198641","-73.89389586","1013683","184117","Brooklyn CD 005","Brooklyn CD 005","Council District 042 Brooklyn","1144","NDA005K","BK85","3083931","3037400001","POINT (-73.89389586 40.67198641)","East New York (Pennsylvania Ave)","145","146","142308A","142308"
"2021","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Art Start, Inc","Nelson Family Residence","Bronx","1605-1611 NELSON AVENUE","Bronx","NY","10453","40.84622438","-73.91958366","1006499","247590","Bronx CD 005","Bronx CD 005","Council District 014 Bronx","21502","NDA005X","BX36","2008816","2028760055","POINT (-73.91958366 40.84622438)","University Heights-Morris Heights","18","21","143150A","143150"
"2021","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","New York Edge, Inc.","Ronald Edmonds Learning Center II","Brooklyn","430 HOWARD AVENUE","Brooklyn","NY","11233","40.67307222","-73.91959416","1006554","184505","Brooklyn CD 016","Brooklyn CD 016","Council District 041 Brooklyn","363","NDA016K","BK79","3039174","3014570032","POINT (-73.91959416 40.67307222)","Ocean Hill","75","81","142187A","142187"
"2021","Compass","Learning Labs","Community Services; Educational Services; Family Support","New York Edge, Inc.","Williamsburgh Library - LEARNING LAB","Brooklyn","240 DIVISION AVENUE","Brooklyn","NY","11211","40.70714676","-73.9573347","996079","196912","Brooklyn CD 001","Brooklyn CD 001","Council District 033 Brooklyn","529","NDA002K","BK72","3060090","3021890001","POINT (-73.9573347 40.70714676)","Williamsburg","45","8","142250A","LIB-6"
"2021","CSBG","NDA Healthy Families","Community Services; Family Support; Housing Support; Immigrant Services","Sapna NYC","Sapna NYC","Bronx","2348 WATERBURY AVENUE","Bronx","NY","10462","40.83452225","-73.84657288","1026595","243425","Bronx CD 009","Bronx CD 009","Council District 018 Bronx","96","NDA010X","BX59","2027159","2038320031","POINT (-73.84657288 40.83452225)","Westchester-Unionport","N/A","N/A","811004B",
"2021","Discretionary","Under Threshold","Community Services","Ariva Inc.","Ariva Free Tax Prep","Bronx","1384 STRATFORD AVE","Bronx","NY","10472","40.83356338","-73.87650927","1018439","242903","Bronx CD 009","Bronx CD 009","Council District 018 Bronx","62","NDA009X","BX08","2027513","2038670036","POINT (-73.87650927 40.83356338)","West Farms-Bronx River","N/A","N/A","18154S",
"2021","RHY","Crisis Shelters",,"Under 21",,"Manhattan",,"new york","NY","10036",,,,,"Manhattan CD 004","Manhattan CD 004","Council District 003 Manhattan",,"NDA Not-defined","MN15",,,,"Clinton","N/A","N/A","9550",
"2021","SYEP","WLG (OY)",,"HANAC INC","Bronxdale High School (11X508)","Bronx","925 ASTOR AVENUE","Bronx","NY","10469","40.86042786","-73.86073303","1022698","252507","Bronx CD 011","Bronx CD 011","Council District 013 Bronx","324","NDA011X","BX07","2050179","2043580001","POINT (-73.86073303 40.86042786)","Bronxdale","N/A","N/A","91053",
"2021","SYEP","WLG (OY)",,"HANAC INC","HANAC","Queens","23-16 30TH AVENUE","Astoria","NY","11102","40.76915973","-73.9262581","1004676","219511","Queens CD 001","Queens CD 001","Council District 022 Queens","73","NDA001Q","QN71","4436861","4005720032","POINT (-73.9262581 40.76915973)","Old Astoria","N/A","N/A","91104",
"2020","Discretionary","Over Threshold","Community Services","The Brotherhood/Sister Sol, Inc","The Brotherhood/Sister Sol, Inc","Manhattan","140 HAMILTON PLACE","New York","NY","10031","40.8242746","-73.948755","998469","239587","Manhattan CD 009","Manhattan CD 009","Council District 006 Manhattan","229","Out of NDA","MN04","1061887","1020750026","POINT (-73.948755 40.8242746)","Hamilton Heights","N/A","N/A","68399R",
"2020","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","New York Junior Tennis League Inc","I.S. 228 David A. Boody","Brooklyn","228 AVENUE S","Brooklyn","NY","11223","40.60129987","-73.97695283","990650","158347","Brooklyn CD 011","Brooklyn CD 011","Council District 047 Brooklyn","410","NDA011K","BK29","3190273","3070840001","POINT (-73.97695283 40.60129987)","Bensonhurst East","100","112","134213B",
"2020","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Police Athletic League, Inc.","PAL Webster Center","Bronx","2255 WEBSTER AVENUE","Bronx","NY","10457","40.8559629","-73.8961628","1013033","251048","Bronx CD 005","Bronx CD 005","Council District 015 Bronx","38302","NDA005X","BX40","2013329","2031430203","POINT (-73.8961628 40.8559629)","Fordham South","50","66","143130A","143130"
"2020","Beacon","Beacon","Afterschool Programs; Community Services; Educational Services; Family Support","The Child Center of NY Inc","M.S. 72 Catherine & Count Basie School","Queens","133-25 GUY R BREWER BOULEVARD","Rochdale Village","NY","11434","40.67376872","-73.77595052","1046399","184828","Queens CD 012","Queens CD 012","Council District 028 Queens","33402","Out of NDA","QN02","4270059","4124950270","POINT (-73.77595052 40.67376872)","Springfield Gardens North","300","357","99356",
"2021","Discretionary","Over Threshold","Community Services","Bronx Parent Housing Network, Inc.","Lehman College, Dept. Social Work CUNY","Bronx","250 BEDFORD PARK BL WEST","Bronx","NY","10468","40.8708674","-73.8866667","1013880","258092","Bronx CD 007","Bronx CD 007","Council District 011 Bronx","409","Bronx Neighborhood Development Area 003","BX28","2097309","2032470165","POINT (-73.8866667 40.8708674)","Van Cortlandt Village","N/A","N/A","18179S",
"2021","Discretionary","Under Threshold","Community Services","Central City Chorus,","Main Location","Manhattan","552 WEST END AVENUE","New York","NY","10024","40.7892501","-73.97708","990482","226862","Manhattan CD 007","Manhattan CD 007","Council District 006 Manhattan","175","NDA Not-defined","MN12","1033199","1012340061","POINT (-73.97708 40.7892501)","Upper West Side","N/A","N/A","38577S",
"2021","Discretionary","Under Threshold","Community Services","Meals on Wheels of Staten Island, Inc.","Administrative site","Staten Island","304 PORT RICHMOND AVENUE","Staten Island","NY","10302","40.63406038","-74.13605954","946486","170311","Richmond CD 001","Richmond CD 001","Council District 049 Richmond","213","NDA001R","SI28","5025678","5010890036","POINT (-74.13605954 40.63406038)","Port Richmond","N/A","N/A","93036S",
"2020","Discretionary","Over Threshold","Community Services","The New York Board of Rabbis, Inc.","The New York Board of Rabbis, Inc","Manhattan","171 MADISON AVENUE","New York","NY","10016","40.74714","-73.983053","988943","211480","Manhattan CD 005","Manhattan CD 005","Council District 002 Manhattan","74","NDA Not-defined","MN17","1017082","1008630027","POINT (-73.983053 40.74714)","Midtown-Midtown South","N/A","N/A","38114R",
"2021","Discretionary","Over Threshold","Community Services","Bergen Basin Community Development Corporation","MQH Food Pantry","Brooklyn","1304 EAST 57 STREET","Brooklyn","NY","11234","40.6214835","-73.920584","1006360","165660","Brooklyn CD 018","Brooklyn CD 018","Council District 046 Brooklyn","690","NDA Not-defined","BK58","3345504","3078810033","POINT (-73.920584 40.6214835)","Flatlands","N/A","N/A","28340S",
"2020","Discretionary","Over Threshold","Community Services","20 20 Vision For Schools, Inc.","20 20 Vision for Schools, Inc.","Brooklyn","8225 5 AVENUE","Brooklyn","NY","11209","40.62408129","-74.0248382","977355","166647","Brooklyn CD 010","Brooklyn CD 010","Council District 043 Brooklyn","142","Out of NDA","BK31","3152153","3060090001","POINT (-74.0248382 40.62408129)","Bay Ridge","N/A","N/A","62227R",
"2020","Discretionary","Over Threshold","Community Services","New York harbor Foundation, Inc.","I.S. 289","Manhattan","201 WARREN STREET","New York","NY","10282","40.71666722","-74.01354201","980496","200378","Manhattan CD 001","Manhattan CD 001","Council District 001 Manhattan","31703","Out of NDA","MN25","1085568","1000160220","POINT (-74.01354201 40.71666722)","Battery Park City-Lower Manhattan","N/A","N/A","32736R",
"2021","Discretionary","Over Threshold","Community Services","Read Alliance, Inc.","PS 154 Jonathan D. Hyatt","Bronx","333 EAST 135 STREET","Bronx","NY","10454","40.80803334","-73.9262042","1004679","233674","Bronx CD 001","Bronx CD 001","Council District 008 Manhattan","23","NDA001X","BX39","2097030","2022980001","POINT (-73.9262042 40.80803334)","Mott Haven-Port Morris","N/A","N/A","34075S",
"2021","Discretionary","Under Threshold","Community Services","Bottomless Closet","Bottomless Closet","Manhattan","16 EAST 52 STREET","New York","NY","10022","40.7591415","-73.9753353","991067","215949","Manhattan CD 005","Manhattan CD 005","Council District 004 Manhattan","102","NDA Not-defined","MN17","1035475","1012870058","POINT (-73.9753353 40.7591415)","Midtown-Midtown South","N/A","N/A","39065S",
"2020","Cornerstone","Cornerstone","Afterschool Programs; Community Services; Educational Services; Family Support","CAMBA, Inc.","Brevoort  Community Center","Brooklyn","280 RALPH AVENUE","Brooklyn","NY","11233","40.67979319","-73.92215307","1005842","186953","Brooklyn CD 003","Brooklyn CD 003","Council District 041 Brooklyn","381","NDA008K","BK61","3325173","3016880001","POINT (-73.92215307 40.67979319)","Crown Heights North","109","142","99203A","99203-3"
"2020","Discretionary","Under Threshold","Community Services","Long Island Gay and Lesbian Youth, Inc.","Queens Technical High School","Queens","37-02 47 AVENUE","Long Island City","NY","11101","40.74220481","-73.92821861","1004141","209690","Queens CD 002","Queens CD 002","Council District 026 Queens","189","NDA Not-defined","QN31","4003259","4002280020","POINT (-73.92821861 40.74220481)","Hunters Point-Sunnyside-West Maspeth","N/A","N/A","93007R",
"2020","Discretionary","Under Threshold","Community Services","BK ROT, Inc.","Know Waste Lands Community Garden","Manhattan","245 WEST 129 STREET","New York","NY","10027","40.81187381","-73.94731509","998834","235069","Manhattan CD 010","Manhattan CD 010","Council District 009 Manhattan","224","NDA010M","MN03","1089330","1019330020","POINT (-73.94731509 40.81187381)","Central Harlem North-Polo Grounds","N/A","N/A","28842R",
"2021","Literacy and Immigrant Services","Adult Literacy - BENL/ESOL","Educational Services","Jewish Community Center of Staten Island, Inc.","PS 36","Staten Island","255 IONIA AVENUE","Staten Island","NY","10312","40.5430829","-74.18229916","933583","137189","Richmond CD 003","Richmond CD 003","Council District 051 Richmond","17005","NDA Not-defined","SI01","5107742","5062620012","POINT (-74.18229916 40.5430829)","Annadale-Huguenot-Prince's Bay-Eltingville","350","201","766578A",
"2021","Compass","COMPASS Elementary","Afterschool Programs; Community Services; Educational Services","NIA Community Services Network Inc","P.S. 229 Dyker","Brooklyn","1400 BENSON AVENUE","Brooklyn","NY","11228","40.61096309","-74.0133765","980536","161867","Brooklyn CD 011","Brooklyn CD 011","Council District 043 Brooklyn","170","NDA011K","BK27","3167212","3063910024","POINT (-74.0133765 40.61096309)","Bath Beach","157","115","126051A","126051"
"2021","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","The B.E..L.L. Foundation, Inc.","Eagle Academy for Young Men III","Queens","171-10 LINDEN BOULEVARD","QUEENS","NY","11434","40.69171161","-73.77892289","1045558","191363","Queens CD 012","Queens CD 012","Council District 027 Queens","432","NDA Not-defined","QN08","4268543","4123930001","POINT (-73.77892289 40.69171161)","St. Albans","151","152","142104A","142104"
"2020","Discretionary","Over Threshold","Community Services","Fund for the City of New York, Inc.","Freshkills Park","Staten Island","250 WILD AVENUE","Staten Island","NY","10314","40.5877823","-74.1906733","931291","153479","Richmond CD 002","Richmond CD 002","Council District 050 Richmond","291.02","NDA Not-defined","SI05",,,"POINT (-74.1906733 40.5877823)","New Springville-Bloomfield-Travis","N/A","N/A","68469R",
"2020","Discretionary","Over Threshold","Community Services","Sunnyside Community Services Inc","Cornerstone at Woodside Houses","Manhattan","442 EAST HOUSTON STREET","NEW YORK","NY","10002","40.7196182","-73.97770241","990375","201446","Manhattan CD 003","Manhattan CD 003","Council District 002 Manhattan","20","NDA003M","MN28","1004349","1003560100","POINT (-73.97770241 40.7196182)","Lower East Side","N/A","N/A","68432R",
"2021","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Hudson Guild","Elliot Center","Manhattan","441 WEST 26 STREET","New York","NY","10001","40.7495592","-74.0014717","983592","212316","Manhattan CD 004","Manhattan CD 004","Council District 003 Manhattan","97","Out of NDA","MN13","1012827","1007240010","POINT (-74.0014717 40.7495592)","Hudson Yards-Chelsea-Flatiron-Union Square","30","32","143121A","143121"
"2020","Discretionary","Under Threshold","Community Services","Cody Cares for Kids, Inc.","CodyCares for Kids","Brooklyn","5318 AVENUE N","Brooklyn","NY","11234","40.6189748","-73.92326","1005553","164778","Brooklyn CD 018","Brooklyn CD 018","Council District 046 Brooklyn","682","NDA Not-defined","BK58","3221121","3078980048","POINT (-73.92326 40.6189748)","Flatlands","N/A","N/A","23121R",
"2020","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Global Kids, Inc.","P.S. 109","Brooklyn","1001 EAST 45 STREET","Brooklyn","NY","11203","40.63645477","-73.93358196","1002684","171161","Brooklyn CD 017","Brooklyn CD 017","Council District 045 Brooklyn","836","Out of NDA","BK91","3114526","3050220002","POINT (-73.93358196 40.63645477)","East Flatbush-Farragut","121","126","142136A","142136"
"2021","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Sheltering Arms Children and Family Services, Inc.","The Brooklyn Green School","Brooklyn","130 ROCHESTER AVENUE","Brooklyn","NY","11213","40.6746559","-73.92779381","1004279","185080","Brooklyn CD 008","Brooklyn CD 008","Council District 036 Brooklyn","307","NDA008K","BK61","3035887","3013550023","POINT (-73.92779381 40.6746559)","Crown Heights North","100","114","135300C","135300"
"2021","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","The Committee for Hispanic Children and Families, Inc.","P.S. 279 Captain Manuel Rivera, Jr.","Bronx","2100 WALTON AVENUE","BRONX","NY","10453","40.85443141","-73.90556628","1010374","250584","Bronx CD 005","Bronx CD 005","Council District 014 Bronx","241","NDA005X","BX41","2103867","2031780014","POINT (-73.90556628 40.85443141)","Mount Hope","100","106","142339A","142339"
"2021","Compass","COMPASS Elementary","Afterschool Programs; Community Services; Educational Services","Coalition for Hispanic Family Services","P.S. 92 Harry T. Stewart, Sr.","Queens","99-01 34 AVENUE","Corona","NY","11368","40.75541808","-73.86901653","1020539","214523","Queens CD 003","Queens CD 003","Council District 021 Queens","377","NDA003Q","QN26","4042496","4017140018","POINT (-73.86901653 40.75541808)","North Corona","157","177","126026A","126026"
"2020","Discretionary","Over Threshold","Community Services","Northwest Bronx Community & Clergy Coalition, Inc","Northwest Bronx Community & Clergy Coalition, Inc","Bronx","103 E. 196TH STREET","Bronx","NY","10468","40.86832326","-73.89398753","1013571","255649","Bronx CD 007","Bronx CD 007","Council District 014 Bronx","40303","NDA008X","BX28","2110098","2033150001","POINT (-73.89398753 40.86832326)","Van Cortlandt Village","N/A","N/A","12616R",
"2021","Discretionary","Over Threshold","Community Services","Metropolitan New York Coordinating Council on Jewish Poverty","Metropolitan New York Coordinating Council on Jewish Poverty","Manhattan","77 WATER STREET","New York","NY","10005","40.7041997","-74.008241","981843","195863","Manhattan CD 001","Manhattan CD 001","Council District 001 Manhattan","7","Out of NDA","MN25","1000863","1000330001","POINT (-74.008241 40.7041997)","Battery Park City-Lower Manhattan","N/A","N/A","93219S",
"2020","Discretionary","Over Threshold","Community Services","BronxWorks, Inc.","Adult Literacy","Bronx","1130 GRAND CONCOURSE","Bronx","NY","10456","40.83259201","-73.91871643","1006502","242528","Bronx CD 004","Bronx CD 004","Council District 016 Bronx","181.02","NDA004X","BX14","2002833","2024620042","POINT (-73.91871643 40.83259201)","East Concourse-Concourse Village","N/A","N/A","76730R",
"2020","Discretionary","Over Threshold","Community Services","New York harbor Foundation, Inc.","John F. Kennedy Jr. School","Queens","158-40 76 ROAD","QUEENS","NY","11366","40.72445768","-73.81021643","1036854","203273","Queens CD 008","Queens CD 008","Council District 024 Queens","1257","Out of NDA","QN37","4147847","4068260001","POINT (-73.81021643 40.72445768)","Kew Gardens Hills","N/A","N/A","32736R",
"2020","Discretionary","Over Threshold","Community Services","Sadie Nash Leadership Project Inc","SNLP Office #1","Manhattan","4 WEST 43RD STREET","New York","NY","10036","40.75437111","-73.98093156","989533","214115","Manhattan CD 005","Manhattan CD 005","Council District 004 Manhattan","96","Manhattan Neighborhood Development Area 003","MN17","1034201","1012580042","POINT (-73.98093156 40.75437111)","Midtown-Midtown South","N/A","N/A","62194R",
"2021","Discretionary","Over Threshold","Community Services","The New York Immigration Coalition Inc","New York Immigration Coalition","Manhattan","131 WEST 33 STREET","New York","NY","10001","40.7498851","-73.9896655","987221","212365","Manhattan CD 005","Manhattan CD 005","Council District 003 Manhattan","101","Out of NDA","MN17","1015198","1008097501","POINT (-73.9896655 40.7498851)","Midtown-Midtown South","N/A","N/A","38334S",
"2021","Compass","COMPASS Elementary","Afterschool Programs; Community Services; Educational Services","SCAN-HARBOR INC","P.S. 73 Bronx","Bronx","1020 ANDERSON AVENUE","BRONX","NY","10452","40.83270602","-73.92683813","1004496","242663","Bronx CD 004","Bronx CD 004","Council District 008 Manhattan","189","NDA004X","BX26","2003051","2025040082","POINT (-73.92683813 40.83270602)","Highbridge","90","102","124117C","124117"
"2021","Discretionary","Over Threshold","Community Services","Phipps Neighborhoods, Inc.","IS 192X","Bronx","650 HOLLYWOOD AVENUE","BRONX","NY","10465","40.82652594","-73.81841661","1034504","240455","Bronx CD 010","Bronx CD 010","Council District 013 Bronx","158","Out of NDA","BX52","2077130","2054380001","POINT (-73.81841661 40.82652594)","Schuylerville-Throgs Neck-Edgewater Park","N/A","N/A","38502S",
"2021","SYEP","SYEP School-Based","Educational Services; Jobs and Internships","Global Kids, Inc.","William Cullen Bryant High School (30Q445)","Queens","48-10 31 AVENUE","Astoria","NY","11103","40.7576896","-73.910377","1009041","215533","Queens CD 001","Queens CD 001","Council District 026 Queens","163","Out of NDA","QN70","4013655","4007380002","POINT (-73.910377 40.7576896)","Astoria","N/A","N/A","91167",
"2020","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","The Greater Ridgewood Youth Council, Inc.","Hawtree Creek Middle School","Queens","121-10 ROCKAWAY BOULEVARD","South Ozone Park","NY","11420","40.6750888","-73.816818","1035028","185531","Queens CD 010","Queens CD 010","Council District 028 Queens","840","Out of NDA","QN55","4253607","4117140100","POINT (-73.816818 40.6750888)","South Ozone Park","90","163","142231A","142231"
"2021","Compass","COMPASS Elementary","Afterschool Programs; Community Services; Educational Services","ST. NICKS ALLIANCE CORP.","P.S. 250 George H. Lindsay","Brooklyn","108 MONTROSE AVENUE","Brooklyn","NY","11206","40.7068735","-73.9454882","999367","196898","Brooklyn CD 001","Brooklyn CD 001","Council District 034 Brooklyn","505","Brooklyn Neighborhood Development Area 016","BK90","3071199","3030600001","POINT (-73.9454882 40.7068735)","East Williamsburg","157","179","126071A","126071-1"
"2021","CSBG","Opportunity Youth Support","Community Services; Educational Services; Family Support; Immigrant Services; Jobs and Internships","Chinatown Manpower Project, Inc.","Chinatown Manpower Project, Inc.","Manhattan","148 CENTRE STREET","New York","NY","10013","40.71604919","-73.99893951","984140","200663","Manhattan CD 001","Manhattan CD 001","Council District 001 Manhattan","29","NDA003M","MN27","1084583","1001980126","POINT (-73.99893951 40.71604919)","Chinatown","N/A","N/A","830316B",
"2021","SYEP","WLG (OY)",,"United Activities Unlimited, Inc.","Bronx International","Bronx","1110 BOSTON ROAD","Bronx","NY","10456","40.82764214","-73.90447331","1010687","240824","Bronx CD 003","Bronx CD 003","Council District 016 Bronx","135","NDA001X","BX35","2004526","2026340001","POINT (-73.90447331 40.82764214)","Morrisania-Melrose","N/A","N/A","91064",
"2021","Discretionary","Over Threshold","Community Services","Teens for Food Justice, Inc.","site location 3","Brooklyn","85 WATKINS STREET","Brooklyn","NY","11212","40.67101288","-73.90771484","1009717","183748","Brooklyn CD 016","Brooklyn CD 016","Council District 037 Brooklyn","906","NDA010M","BK81","3080768","3035070007","POINT (-73.90771484 40.67101288)","Brownsville","N/A","N/A","68387S",
"2021","Compass","COMPASS High School","Afterschool Programs; Community Services; Educational Services","Global Kids, Inc.","International High School at Union Square","Manhattan","40 IRVING PLACE","New York","NY","10003","40.73549364","-73.98765936","987670","207237","Manhattan CD 006","Manhattan CD 006","Council District 002 Manhattan","50","NDA Not-defined","MN21","1017828","1008720057","POINT (-73.98765936 40.73549364)","Gramercy","50","11","151007A","151007-4"
"2021","Literacy and Immigrant Services","ESL Civics","Educational Services; Family Support; Immigrant Services","Make the Road New York","Make The Road","Staten Island","161 PORT RICHMOND AVENUE","Staten Island","NY","10302","40.63725092","-74.1338338","947095","171481","Richmond CD 001","Richmond CD 001","Council District 049 Richmond","207","NDA003Q","SI28","5023987","5010230004","POINT (-74.1338338 40.63725092)","Port Richmond","120","132","77190B",
"2021","Discretionary","Under Threshold","Community Services","Second Chance Agape Worship Center","Second Chance Agape Worship Center","Queens","200-12 HOLLIS AVE","Saint Albans","NY","11412","40.705886","-73.757195","1051590","196554","Queens CD 012","Queens CD 012","Council District 027 Queens","508","NDA Not-defined","QN07","4234176","4109400102","POINT (-73.757195 40.705886)","Hollis","N/A","N/A","48439S",
"2020","Discretionary","Over Threshold","Community Services","Chinese-American Planning Council Inc","Chinese American Planning Council","Manhattan","150 ELIZABETH STREET","New York","NY","10012","40.72028674","-73.9950335","985613","201701","Manhattan CD 002","Manhattan CD 002","Council District 001 Manhattan","41","NDA Not-defined","MN24","1088390","1004787501","POINT (-73.9950335 40.72028674)","SoHo-TriBeCa-Civic Center-Little Italy","N/A","N/A","68440R",
"2020","Compass","COMPASS Elementary","Afterschool Programs; Community Services; Educational Services","New York Edge, Inc.","P.S. 96","Queens","130-01 ROCKAWAY BOULEVARD","QUEENS","NY","11420","40.67499108","-73.80837078","1037405","185252","Queens CD 010","Queens CD 010","Council District 028 Queens","180","NDA Not-defined","QN55","4253028","4116940027","POINT (-73.80837078 40.67499108)","South Ozone Park","125","127","126185B","126185"
