"staten_island_cooperatives_comparable_properties_boro_block_lot","staten_island_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","staten_island_cooperatives_comparable_properties_neighborhood","staten_island_cooperatives_comparable_properties_building_classification","staten_island_cooperatives_comparable_properties_total_units","staten_island_cooperatives_comparable_properties_year_built","staten_island_cooperatives_comparable_properties_gross_sqft","staten_island_cooperatives_comparable_properties_estimated_gross_income","staten_island_cooperatives_comparable_properties_gross_income_per_sqft","staten_island_cooperatives_comparable_properties_estimated_expense","staten_island_cooperatives_comparable_properties_expense_per_sqft","staten_island_cooperatives_comparable_properties_net_operating_income","staten_island_cooperatives_comparable_properties_full_market_value","staten_island_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"5-00327-0015","1000 CLOVE ROAD Staten Island
, NY 
(40.620624597504, -74.110049231229)","5","10301","40.620623","-74.109884","1","49","147","5008970","5003270015","Westerleigh                                                                ","CLOVE LAKES","D4-ELEVATOR","143","1966","127800","1395576","10.92","752742","5.89","642834","3978000","31.13","5-03034-0022","600 HYLAN BOULEVARD Staten Island
, NY 
(40.605386778303, -74.076177344182)","ROSEBANK","D1-ELEVATOR","136","1966","144000","1572878","10.92","966234","6.71","606644","3754000","26.07","2.06",,," "," ",,,,,,,,,,,,,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00327-0060","1100 CLOVE ROAD Staten Island
, NY 
(40.619132257146, -74.106602925238)","5","10301","40.619168","-74.106521","1","49","147","5008972","5003270060","Westerleigh                                                                ","CLOVE LAKES","D4-ELEVATOR","143","1967","127800","1395576","10.92","752742","5.89","642834","3978000","31.13","5-03034-0022","600 HYLAN BOULEVARD Staten Island
, NY 
(40.605386778303, -74.076177344182)","ROSEBANK","D1-ELEVATOR","136","1966","144000","1572878","10.92","966234","6.71","606644","3754000","26.07","2.06",,," "," ",,,,,,,,,,,,,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-04640-0022","3745 AMBOY ROAD Staten Island
, NY 
(40.552114830397, -74.144121875072)","5","10308","40.552072","-74.144137","3","51","14606","5105444","5046400022","Great Kills                                                                ","GREAT KILLS","C6-WALK-UP","36","1974","26490","219867","8.3","92980","3.51","126887","747000","28.2","5-03591-0008","261 LINCOLN AVENUE Staten Island
, NY 
(40.576986694649, -74.104670051676)","GRANT CITY","C9-WALK-UP","16","1933","12300","176259","14.33","76629","6.23","99630","690000","56.1","2.7","5-01148-0036","475 MORNINGSTAR ROAD Staten Island
, NY 
(40.626794796667, -74.148314383254)","MARINERS HARBOR","C1-WALK-UP","12","1931","7000","102620","14.66","52080","7.44","50540","349000","49.86","5.08",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00010-0019","36 HAMILTON AVENUE Staten Island
, NY 
(40.606674000105, -74.162401000006)","5","10301","40.645077","-74.078934","1","49","7","5000091","5000100019","West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON-ST. GEORGE","D4-ELEVATOR","120","1963","75914","850996","11.21","485090","6.39","365906","2358000","31.06","5-00008-0025","285 ST MARK'S PLACE Staten Island
, NY 
(40.642838628174, -74.078704448236)","NEW BRIGHTON-ST. GEORGE","D1-ELEVATOR","91","1965","77000","1012863","13.15","585481","7.6","427382","2842000","36.91","0.12","5-00008-0019","299 ST MARK'S PLACE Staten Island
, NY 
(40.64256810524, -74.078496278963)","NEW BRIGHTON-ST. GEORGE","D1-ELEVATOR","70","1951","56724","594650","10.48","326161","5.75","268489","1668000","29.41","0.12",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00131-0056","255 FOREST AVENUE Staten Island
, NY 
(40.631742990383, -74.09807881413)","5","10301","40.631731","-74.098103","1","49","67","5003176","5001310056","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","13","1968","9810","152644","15.56","85445","8.71","67199","371000","37.82","5-00128-0018","177 SILVER LAKE ROAD Staten Island
, NY 
(40.632816051624, -74.09666706987)","WEST NEW BRIGHTON","C1-WALK-UP","16","1931","13386","136161","10.17","68126","5.09","68035","350000","26.15","0.13","5-00145-0001","81 MADA AVENUE Staten Island
, NY 
(40.632466978802, -74.107271654707)","WEST NEW BRIGHTON","C1-WALK-UP","12","1977","5760","89626","15.56","38321","6.65","51305","351000","60.94","0.42","5-00236-0027","832 POST AVENUE Staten Island
, NY 
(40.606674000105, -74.162401000006)","WEST NEW BRIGHTON","C1-WALK-UP","12","1931","8,720","164,738","18.89","87,503","10.03","77,235","511,000","58.6","1.56"
"5-00001-0216","10 BAY STREET LANDING Staten Island
, NY 
(40.638185748791, -74.073337656481)","5","10301","40.638279","-74.073756","1","49","3","5110065","5000010216","West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON-ST. GEORGE","D0-ELEVATOR","128","1984","171935","1500703","8.73","677692","3.94","823011","4913000","28.57","5-00240-0003","937 VICTORY BOULEVARD Staten Island
, NY 
(40.621722774172, -74.097197652919)","CLOVE LAKES","D1-ELEVATOR","111","1965","107960","1500465","13.9","787479","7.29","712986","4697000","43.51","1.96","5-00590-0001","700 VICTORY BOULEVARD Staten Island
, NY 
(40.625670055825, -74.092243436945)","GRYMES HILL","D3-ELEVATOR","228","1962","242500","3298026","13.6","1836213","7.57","1461813","9668000","39.87","1.45",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00101-0537","545 CASTLETON AVENUE Staten Island
, NY 
(40.634362104939, -74.100657322084)","5","10301","40.634366","-74.10082","1","49","67","5108585","5001010537","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","24","1950","17418","224692","12.9","121578","6.98","103114","643000","36.92","5-00128-0018","177 SILVER LAKE ROAD Staten Island
, NY 
(40.632816051624, -74.09666706987)","WEST NEW BRIGHTON","C1-WALK-UP","16","1931","13386","136161","10.17","68126","5.09","68035","350000","26.15","0.25","5-00238-0046","317 JEWETT AVENUE Staten Island
, NY 
(40.629304268645, -74.130320335664)","WEST NEW BRIGHTON","C1-WALK-UP","42","1971","25470","398060","15.63","225724","8.86","172336","1180000","46.33","1.55",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00138-0119","154 BARD AVENUE Staten Island
, NY 
(40.64077829151, -74.108727735798)","5","10310","40.640837","-74.107835","1","49","97","5108618","5001380119","West New Brighton-New Brighton-St. George                                  ","LIVINGSTON","C6-WALK-UP","60","1947","36600","476532","13.02","249978","6.83","226554","1869000","51.07","5-00064-0003","155 PROSPECT AVENUE Staten Island
, NY 
(40.639522390599, -74.09274165437)","NEW BRIGHTON","C1-WALK-UP","30","1930","25660","317456","12.37","189368","7.38","128088","647000","25.21","0.83","5-01015-0001","137 HEBERTON AVENUE Staten Island
, NY 
(40.636779419508, -74.131313349744)","PORT RICHMOND","C1-WALK-UP","28","1933","20800","323648","15.56","181168","8.71","142480","976000","46.92","1.19",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00101-0554","581 CASTLETON AVENUE Staten Island
, NY 
(40.634582571932, -74.101936218382)","5","10301","40.634538","-74.101779","1","49","67","5002336","5001010554","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","12","1950","10856","81637","7.52","30288","2.79","51349","234000","21.55","5-00128-0018","177 SILVER LAKE ROAD Staten Island
, NY 
(40.632816051624, -74.09666706987)","WEST NEW BRIGHTON","C1-WALK-UP","16","1931","13386","136161","10.17","68126","5.09","68035","350000","26.15","0.25","5-00145-0001","81 MADA AVENUE Staten Island
, NY 
(40.632466978802, -74.107271654707)","WEST NEW BRIGHTON","C1-WALK-UP","12","1977","5760","89626","15.56","38321","6.65","51305","351000","60.94","0.35",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-02986-0012","390 MARYLAND AVENUE Staten Island
, NY 
(40.609357387837, -74.073612377733)","5","10305","40.609266","-74.073749","1","49","2001","5127028","5029860012","Stapleton-Rosebank                                                         ","ROSEBANK","C6-WALK-UP","178","1974","155396","1007702","6.48","552462","3.56","455240","2708000","17.43","5-03030-0082","101 DONLEY AVENUE Staten Island
, NY 
(40.607585558837, -74.07586069892)","ROSEBANK","C9-WALK-UP","16","1974","10000","162360","16.24","87885","8.79","74475","465000","46.5","0.08","5-03023-0028","30 NARROWS ROAD Staten Island
, NY 
(40.603990018186, -74.070268634512)","ROSEBANK","C7-WALK-UP","14","1974","8950","153955","17.2","79425","8.87","74530","516000","57.65","0.4","5-02869-0165","10 PARK HILL AVENUE Staten Island
, NY 
(40.61902922996, -74.07745487663)","STAPLETON-CLIFTON","C9-WALK-UP","70","1950","36,671","545,795","14.88","272,197","7.42","273,598","1,886,000","51.43","0.73"
"5-00018-0099","50 FORT PLACE Staten Island
, NY 
(40.641735816992, -74.080145057964)","5","10301","40.641782","-74.080008","1","49","11","5000305","5000180099","West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON","D4-ELEVATOR","109","1963","150800","1277276","8.47","624312","4.14","652964","3906000","25.9","5-00008-0019","299 ST MARK'S PLACE Staten Island
, NY 
(40.64256810524, -74.078496278963)","NEW BRIGHTON-ST. GEORGE","D1-ELEVATOR","70","1951","56724","594650","10.48","326161","5.75","268489","1668000","29.41","0.26","5-00008-0034","273 ST MARK'S PLACE Staten Island
, NY 
(40.643069078162, -74.078884282405)","NEW BRIGHTON-ST. GEORGE","D1-ELEVATOR","25","1912","24120","155568","6.45","50161","2.08","105407","627000","26","0.26",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00001-0250","36 BAY STREET LANDING Staten Island
, NY 
(40.639048796344, -74.07332939343)","5","10301","40.639443","-74.073278","1","49","3",,,"West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON-ST. GEORGE","D4-ELEVATOR","17","1985","25171","223015","8.86","91119","3.62","131896","787000","31.27","5-00027-0006","12 HENDRICKS AVENUE Staten Island
, NY 
(40.64066653491, -74.081630113527)","NEW BRIGHTON","C1-WALK-UP","18","1931","14696","175624","11.95","83566","5.69","92058","587000","39.94","0.48","5-00524-0004","110 CANAL STREET Staten Island
, NY 
(40.626506418948, -74.077147775418)","STAPLETON","C7-WALK-UP","9","1931","8100","46665","5.76","16068","1.98","30597","373000","46.05","0.97",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-05229-0007","475 ARMSTRONG AVENUE Staten Island
, NY 
(40.544976260737, -74.157789473528)","5","10308","40.545041","-74.157884","3","51","15601","5109778","5052290007","Great Kills                                                                ","GREAT KILLS","C6-WALK-UP","60","1974","38647","341781","8.84","156984","4.06","184797","1102000","28.51","5-05487-0069","300 CORTELYOU AVENUE Staten Island
, NY 
(40.551994942056, -74.162796301876)","GREAT KILLS","C9-WALK-UP","24","1972","13824","153070","11.07","78646","5.69","74424","414000","29.95","0.56","5-05016-0005","25 BAY TERRACE Staten Island
, NY 
(40.606674000105, -74.162401000006)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","65","1976","43018","727195","16.9","431213","10.02","295982","2140000","49.75","1.38","5-04657-0021","1881 RAILROAD AVENU Staten Island
, NY 
(40.564113294809, -74.127979352561)","OAKWOOD","C9-WALK-UP","12","1974","9,100","126,916","13.95","55,749","6.13","71,167","344,000","37.8","1.98"
"5-00597-0120","556 HOWARD AVENUE Staten Island
, NY 
(40.61860692966, -74.09378346523)","5","10301","40.618875","-74.093701","1","49","39","5154648","5005970120","Grymes Hill-Clifton-Fox Hills                                              ","GRYMES HILL","C6-WALK-UP","128","1951","121750","1008090","8.28","172885","1.42","835205","4915000","40.37","5-00593-0590","22 ARLO ROAD Staten Island
, NY 
(40.619664408295, -74.090954215196)","GRYMES HILL","C9-WALK-UP","165","1951","126836","2169019","17.1","1212664","9.56","956355","6913000","54.5","0.3","5-00595-0015","22 HOWARD AVENUE Staten Island
, NY 
(40.630032220918, -74.087220745874)","GRYMES HILL","C9-WALK-UP","251","1951","198384","3299545","16.63","1844705","9.3","1454840","10529000","53.07","0.2",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00003-0001","350 RICHMOND TERRACE Staten Island
, NY 
(40.606674000105, -74.162401000006)","5","10301","40.648311","-74.084801","1","49","7","5000009","5000030001","West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON","D4-ELEVATOR","140","1960","145446","1719172","11.82","1058847","7.28","660325","4217000","28.99","5-00008-0025","285 ST MARK'S PLACE Staten Island
, NY 
(40.642838628174, -74.078704448236)","NEW BRIGHTON-ST. GEORGE","D1-ELEVATOR","91","1965","77000","1012863","13.15","585481","7.6","427382","2842000","36.91","0.54","5-00008-0019","299 ST MARK'S PLACE Staten Island
, NY 
(40.64256810524, -74.078496278963)","NEW BRIGHTON-ST. GEORGE","D1-ELEVATOR","70","1951","56724","594650","10.48","326161","5.75","268489","1668000","29.41","0.54",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-03546-0001","45 VERA STREET Staten Island
, NY 
(40.584665519934, -74.097034168862)","5","10305","40.584631","-74.09704","2","50","11401","5109575","5035460001","Old Town-Dongan Hills-South Beach                                          ","GRANT CITY","C6-WALK-UP","118","1969","58350","820401","14.06","410201","7.03","410200","1177000","20.17","5-03591-0008","261 LINCOLN AVENUE Staten Island
, NY 
(40.576986694649, -74.104670051676)","GRANT CITY","C9-WALK-UP","16","1933","12300","176259","14.33","76629","6.23","99630","690000","56.1","0.6","5-03536-0115","227 BUEL AVENUE Staten Island
, NY 
(40.586020317386, -74.094850589803)","GRANT CITY","C1-WALK-UP","12","1974","7956","133243","16.75","67905","8.54","65338","473000","59.45","0.2","5-03343-0190",," "," "," "," "," "," "," "," "," "," "," "," "," "
