"the_geom","ats_code","loc_code","loc_name","managed_by","lcc","primarybui","bin","bbl","address","city","boronum","state","zip","geodistric","adimindist","xcoordinat","ycoordinat"
"POINT (-73.91188554519852 40.70394250842417)","24Q081","Q081","P.S. 81Q Jean Paul Richter","1","2","Q081","4082076","4034370001.0","559 CYPRESS AVENUE","QUEENS","4","NY","11385","24","24","1008681","195754"
"POINT (-73.89278478483742 40.83615694717478)","12X061","X061","P.S. 061 Francisco Oller","1","2","X061","2009865","2029390045.0","1550 CROTONA PARK EAST","BRONX","2","NY","10460","12","12","1013918","243930"
"POINT (-73.85554326311143 40.70843092338607)","28Q167","Q167","Metropolitan Expeditionary Learning School","1","4","Q686","4447233","4.0388608E+9","91-30 METROPOLITAN AVENUE","QUEENS","4","NY","11375","28","28","1024300","197410"
"POINT (-74.02341970928764 40.63672134257329)","20K485","K485","High School of Telecommunication Arts and Technology","1","5","K485","3144482","3058500030.0","350 67 STREET","BROOKLYN","3","NY","11220","20","20","977750","171252"
"POINT (-73.91781494019487 40.8677415992344)","06M098","M098","P.S. 098 Shorac Kappock","1","2","M098","1064871","1022290012.0","512 WEST 212 STREET","MANHATTAN","1","NY","10034","6","6","1006981","255430"
"POINT (-73.88118705956552 40.820486973543304)","08X537","X537","Bronx Arena High School","1","5","X972","2022544","2036220018.0","1440 STORY AVENUE","BRONX","2","NY","10473","8","8","1017135","238225"
"POINT (-73.92188671484034 40.808694722350545)","84X554","X554","New York City Montessori Charter School","2","2","XAFI","2101568","0.0","423 East 138th Street","BRONX","2","NY","10454","7","84","1005874","233916"
"POINT (-73.98861005207708 40.767848819178006)","02M544","M544","Independence High School","1","5","M834","1026841","1010650001.0","850 10TH AVENUE","MANHATTAN","1","NY","10019","2","2","987405","219025"
"POINT (-73.98118117343905 40.66294584421503)","15K107","K107","P.S. 107 John W. Kimball","1","2","K107","3026517","3011010001.0","1301 8 AVENUE","BROOKLYN","3","NY","11215","15","15","989471","180806"
"POINT (-73.83958399261854 40.83977588386207)","08X348","X348","Schuylerville Preparatory High School","1","5","X405","2074045","2053680001.0","3000 EAST TREMONT AVENUE","BRONX","2","NY","10461","11","8","1028637","245271"
"POINT (-73.993293507485 40.685006946329224)","15K497","K497","The Boerum Hill School for International Studies","1","4","K293","3006401","3004020001.0","284 BALTIC STREET","BROOKLYN","3","NY","11201","15","15","986110","188843"
"POINT (-73.93356254238016 40.757293156951896)","30Q112","Q112","P.S. 112 Dutch Kills","1","2","Q112","4004170","4003440001.0","25-05 37 AVENUE","QUEENS","4","NY","11101","30","30","1002656","215186"
"POINT (-73.79045896830438 40.70648910632775)","29Q381","Q381","District 29 Pre-K Center","1","36","Q381","4542034","4102100022.0","168-42 JAMAICA AVENUE","QUEENS","4","NY","11432","29","29","1042346","196739"
"POINT (-74.15136807345277 40.564100960652816)","75R037","R037","The David Marquis School of the Arts","1","7","R840","5061911","5045860001.0","15 FAIRFIELD STREET","STATEN ISLAND","5","NY","10308","31","75","942193","144830"
"POINT (-73.93262849822807 40.756471935493494)","30Q204","Q204","I.S. 204 Oliver W. Holmes","1","3","Q204","4004156","4003430001.0","36-41 28 STREET","QUEENS","4","NY","11106","30","30","1002915","214887"
"POINT (-73.99234370241157 40.729661447085675)","02M586","M586","Harvey Milk High School","1","5","M807","1080091","1005450026.0","2-10 ASTOR PLACE","MANHATTAN","1","NY","10003","2","2","986372","205112"
"POINT (-73.87549393566502 40.71956778084668)","24Q049","Q049","P.S. 049 Dorothy Bonawit Kole","1","15","Q049","4069253","4029900045.0","63-60 80th Street","QUEENS","4","NY","11379","24","24","1018763","201459"
"POINT (-73.96924860689101 40.68257665425958)","75K753","K753","P.S. K753 - School for Career Development","1","5","K085","3057521","3020080001.0","510 CLERMONT AVENUE","BROOKLYN","3","NY","11238","13","75","992779","187959"
"POINT (-73.93099105455583 40.84931133104908)","06M143","M143","J.H.S. 143 Eleanor Roosevelt","1","3","M143","1063703","1021550035.0","511 WEST 182ND STREET","MANHATTAN","1","NY","10033","6","6","1003342","248712"
"POINT (-73.87093165238075 40.76550718552668)","30Q127","Q127","P.S. 127 Aerospace Science Magnet School","1","15","Q127","4024487","4011090016.0","98-01 25 AVENUE","QUEENS","4","NY","11369","30","30","1020003","218198"
"POINT (-73.98751548000958 40.77160350978347)","03M452","M452","P.S. 452","1","2","M191","1030320","1011520029.0","210 WEST  61 STREET","MANHATTAN","1","NY","10023","3","3","987708","220393"
