"id","hpd_building_id","address","bbl","bin","council_district","community_district","census_tract_2010","neighborhood_tabulation_area","zip_code","borough","latitude","longitude","total_ih_floor_area","transferred_ih_floor_area","remaining_ih_floor_area","property_type","geocoding_method"
"305","948142","139 FLATBUSH AVENUE","3020017501","3348849","35","2","3500","BK68","11217","Brooklyn","40.68452183","-73.97680712","0","15610.25","0","Compensated Development","Geocoded on BBL"
"317","950355","39 EAST 29 STREET","1008597502","1087770","2","5","7400","MN17","10016","Manhattan","40.74439172","-73.98410805","0","6875","0","Compensated Development","Geocoded on BBL"
"321","951365","284 HUMBOLDT STREET","3027907504","3251774","34","1","49500","BK90","11211","Brooklyn","40.71158657","-73.94194189","9739.08","9216","523.08","Both","Geocoded on BBL"
"324","951823","84 3 AVENUE","1005567502","1088780","2","3","4200","MN22","10003","Manhattan","40.73188096","-73.98862607","0","2679.2","0","Compensated Development","Geocoded on BBL"
"347","956954","1113 YORK AVENUE","1014550021","1045277","5","8","10602","MN31","10065","Manhattan","40.75975152","-73.95937346","0","10041.5","0","Compensated Development","Geocoded on BBL"
"366","966955","157 REMSEN STREET","3002500016","3002098","33","2","900","BK09","11201","Brooklyn","40.69364979","-73.99202737","0","1852.75","0","Compensated Development","Geocoded on BBL"
"367","967002","223 NORTH 8 STREET","3023130013","3061828","33","1","51900","BK73","11211","Brooklyn","40.71733222","-73.9545988","0","13979","0","Compensated Development","Geocoded on BBL"
"368","967460","86 FLEET PLACE","3020617501","3424517","35","2","31","BK68","11201","Brooklyn","40.69324684","-73.98218563","0","18550.28","0","Compensated Development","Geocoded on BBL"
"387","972782","1880 BATHGATE AVENUE","2029240007","200000","15","6","39500","BX01","10457","Bronx","40.84609136","-73.89717252","52913","52913","0","Both","Geocoded on BBL"
"394","974124","400 WEST 61 STREET","1011710154","1089723","6","7","15100","MN14","10023","Manhattan","40.77346473","-73.99199391","171613","140684","30929","Both","Geocoded on BBL"
"396","975342","200 EAST 95 STREET","1015407503","1090563","5","8","156.01","MN32","2019","Manhattan","40.78411428","-73.94971019","0","2869.92","0","Compensated Development","Geocoded on BBL"
"400","976828","530 EXTERIOR STREET","2023510025","2127039","8","1","6300","BX63","10451","Bronx","40.81855892","-73.92983213","67188","67188","0","Both","Geocoded on BBL"
"401","976874","1134 FULTON STREET","3020170008","3057751","36","3","22700","BK69","11216","Brooklyn","40.68072137","-73.95519593","0","27790.86","0","Compensated Development","Geocoded on BBL"
"404","978683","50 JAY STREET","3000300012","3329409","33","2","2100","BK38","11201","Brooklyn","40.70355916","-73.98692527","0","3800","0","Compensated Development","Geocoded on BBL"
"405","978847","343 RALPH AVENUE","3015560001","3000000","41","3","30100","BK79","11233","Brooklyn","40.67738012","-73.92151919","18950","5294","13656","Both","Geocoded on BBL"
"406","979627","515 EAST 86 STREET","1015830006","1051262","5","8","14402","MN32","10028","Manhattan","40.77599336","-73.94646949","0","5278.46","0","Compensated Development","Geocoded on BBL"
"412","982008","119 2 AVENUE","1004630035","1006683","2","3","3800","MN22","10003","Manhattan","40.72825148","-73.98833177","0","4520","0","Compensated Development","Geocoded on BBL"
"415","983774","54 FULTON STREET","1000760006","1090416","1","1","1502","MN25","10038","Manhattan","40.70853478","-74.00516996","0","4789.26","0","Compensated Development","Geocoded on BBL"
"421","990511","515 WEST 36 STREET","1007080020","1089736","3","4","9900","MN13","10018","Manhattan","40.75654883","-73.99904709","39690","39690","0","Both","Geocoded on BBL"
"443","14827","351 EAST 61 STREET","1014360122","1044248","5","8","11000","MN31","10065","Manhattan","40.76124732","-73.96134804","56901.5","0","0","Generating Site","Geocoded on BBL"
"460","982005","225 WEST 28 STREET","1007780025","1014256","3","5","9500","MN17","10001","Manhattan","40.7479389","-73.99449043","29460","0","0","Generating Site","Geocoded on BBL"
"461","978595","115 STANWIX STREET","3031390021","3426343","34","4","39100","BK78","11206","Brooklyn","40.70192158","-73.93552342","13635.6","0","0","Generating Site","Geocoded on BBL"
"470","983464","10 RIVERSIDE BOULEVARD","1011710155","1089741","6","7","15100","MN14","10069","Manhattan","40.77296262","-73.99250625","84870.2","0","0","Generating Site","Geocoded on BBL"
"477","968239","1768 2 AVENUE","1015550002","1090539","5","8","15400","MN32","10128","Manhattan","40.78169611","-73.94855005","8901","0","0","Generating Site","Geocoded on BBL"
"481","9854","965 COLUMBUS AVENUE","1018430003","1087335","7","7","19300","MN09","10025","Manhattan","40.8000169","-73.96190704","14632","0","0","Generating Site","Geocoded on BBL"
"489","891792","210 WEST 102 STREET","1018730039","1087783","7","7","18700","MN12","10025","Manhattan","40.79799601","-73.96843104","31464","0","0","Generating Site","Geocoded on BBL"
"500","966480","118 FULTON STREET","1000780049","1001208","1","1","1502","MN25","10038","Manhattan","40.70982237","-74.00738134","73285.5","0","0","Generating Site","Geocoded on BBL"
"518","948157","149 KENT AVENUE","3023330001","3251732","33","1","55500","BK73","11249","Brooklyn","40.7189921","-73.96209043","26137","0","0","Generating Site","Geocoded on BBL"
"525","948086","1402 YORK AVENUE","1014860004","100000","5","8","13200","MN31","10021","Manhattan","40.76834182","-73.95226439","20918","0","0","Generating Site","Geocoded on BBL"
"530","882537","440 WEST 42ND STREET","1010510001",,"3","4","11500","MN15","10036","Manhattan","40.75886302","-73.99500571","102555","0","0","Generating Site","Geocoded on BBL"
"536","883824","385 3 AVENUE","1009087502","1019887","2","6","6600","MN20","10016","Manhattan","40.74160334","-73.98074775","53193","0","0","Generating Site","Geocoded on BBL"
"537","847142","41 WHIPPLE STREET","3022730026","3387559","33","1","50700","BK75","11206","Brooklyn","40.70151745","-73.94483949","58090.7","0","0","Generating Site","Geocoded on BBL"
"545","955798","1515 BEDFORD AVENUE","3012530001","3032187","35","8","21900","BK61","11216","Brooklyn","40.67123859","-73.95444275","21759.67","0","0","Generating Site","Geocoded on BBL"
"562","824656","160 EAST 100 STREET","1016270046","1087333","5","11","16600","MN33","10029","Manhattan","40.78795683","-73.94850549","9830","0","0","Generating Site","Geocoded on BBL"
"572","5171","501 WEST 51 STREET","1010800028","1070111","3","4","13500","MN15","10019","Manhattan","40.76550509","-73.99146019","17327.53","0","0","Generating Site","Geocoded on BBL"
"596","977056","148-31 90 AVENUE","4096810085","4206859","24","12","24000","QN61","11435","Queens","40.70381851","-73.80614696","14998","0","0","Generating Site","Geocoded on BBL"
"614","985974","2006 SURF AVENUE","3070720002","3424222","47","13","35200","BK21","11224","Brooklyn","40.57362561","-73.98688799","39203","0","0","Generating Site","Geocoded on BBL"
"3","790","1218 2 AVENUE","1014387502","1044388","5","8","11000","MN31","10065","Manhattan","40.76347346","-73.96181243","0","4771","0","Compensated Development","Geocoded on BBL"
"5","959","1591 2 AVENUE","1015280028","1048660","5","8","13800","MN32","10028","Manhattan","40.7757779","-73.95368884","0","0","0","Compensated Development","Geocoded on BBL"
"10","1570","84 2 AVENUE","1004460007","1006204","2","3","3800","MN22","10003","Manhattan","40.72651569","-73.98879535","0","140","0","Compensated Development","Geocoded on BBL"
"16","2154","261 3 AVENUE","1009010058","1019630","2","6","6400","MN21","10010","Manhattan","40.73734591","-73.983886","0","5600","0","Compensated Development","Geocoded on BBL"
"42","7774","2253 BROADWAY","1012280057","1032673","6","7","16700","MN12","10024","Manhattan","40.78516963","-73.97951226","0","4520","0","Compensated Development","Geocoded on BBL"
"46","9145","279 CENTRAL PARK WEST","1012027501","1031513","6","7","17300","MN12","10024","Manhattan","40.78689361","-73.96857353","0","1513.75","0","Compensated Development","Geocoded on BBL"
"60","13694","212 EAST 44 STREET","1013170009","1089960","4","6","8800","MN19","10017","Manhattan","40.75133384","-73.97288529","66216.49","49651","16565.49","Both","Geocoded on BBL"
"66","14657","153 EAST 60 STREET","1013950025","1041925","4","8","11402","MN40","10022","Manhattan","40.76282182","-73.96704348","0","12854.75","0","Compensated Development","Geocoded on BBL"
"73","17748","206 EAST 87 STREET","1015320045","1048805","5","8","14602","MN32","10128","Manhattan","40.7790988","-73.95311964","8622","8622","0","Both","Geocoded on BBL"
"80","21154","287 EAST HOUSTON STREET","1003500018","0","2","3","3001","MN27","10002","Manhattan","40.72127816","-73.98423622","0","1800","0","Compensated Development","Geocoded on BBL"
"81","22361","537 GREENWICH STREET","1005970039","1010367","3","2","3700","MN24","10013","Manhattan","40.72709231","-74.00861355","0","8000","0","Compensated Development","Geocoded on BBL"
"82","23700","56 LEONARD STREET","1001760026","1001969","1","1","3300","MN24","10013","Manhattan","40.71773283","-74.0064046","0","27972.97","0","Compensated Development","Geocoded on BBL"
"85","26134","196 ORCHARD STREET","1004120012","1005396","1","3","3001","MN27","10002","Manhattan","40.7222722","-73.98785446","0","9484.6","0","Compensated Development","Geocoded on BBL"
"89","27184","1200 RIVERSIDE DRIVE","1011710155","1000000","10","12","25500","MN14","10033","Manhattan","40.77309161","-73.99226073","0","81300","0","Compensated Development","Geocoded on BBL"
