"district","school","borough","address","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"12","P.S. 195/196 ADDITION","BRONX","1250 WARD AVENUE","10472","40.830087","-73.877603","209","18","54","2088553","2037750025","West Farms-Bronx River"
"12","P.S. @ 1570 BOONE AVENUE","BRONX","1570 BOONE AVENUE","10460","40.833224","-73.88497","203","17","157","2000000","2030140016","Crotona Park East"
"13","I.S. 653","BROOKLYN","491 DEAN STREET","11217","40.681392","-73.973655","308","35","161","3000000","3011280087","Prospect Heights"
"13","P.S. @ 424 ALBEE SQUARE WEST","BROOKLYN","424 ALBEE SQUARE WEST","11201","40.691069","-73.983463","302","33","15","3000000","3001460043","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"15","P.S. @ 763 PRESIDENT STREET","BROOKLYN","763 PRESIDENT STREET","11215","40.674465","-73.977497","306","39","157","3020189","3009570017","Park Slope-Gowanus"
"15","P.S./H.S. @ 362 SCHERMERHORN STREET","BROOKLYN","362 SCHERMERHORN STREET","11217","40.686499","-73.979649","302","33","39","3331754","3001740001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"15","I.S. @ 21-31 & 35 DELEVAN STREET","BROOKLYN","21-31 & 35 DELEVAN STREET",,,,,,,,,
"20","P.S. @ 6740 3RD AVENUE","BROOKLYN","6740 3RD AVENUE","11220","40.637073","-74.025513","310","43","70","3144616","3058530045","Bay Ridge"
"20","I.S. @ 650 86TH STREET","BROOKLYN","650 86TH STREET","11228","40.618851","-74.021875","310","43","152","3153881","3060560015","Dyker Heights"
"20","P.S. @ 6312 13TH AVENUE","BROOKLYN","6312 13TH AVENUE","11219","40.627018","-74.000458","310","38","194","3000000","3057390001","Dyker Heights"
"21","P.S. 253 ADDITION","BROOKLYN","601 OCEANVIEW AVENUE","11235","40.579607","-73.962071","313","48","364","3244470","3086660610","Brighton Beach"
"24","P.S. @ 69-02 QUEENS BOULEVARD","QUEENS","69-02 QUEENS BOULEVARD","11377","40.740234","-73.895678","402","30","489","4000000","4024320009","Elmhurst-Maspeth"
"25","P.S. 32 ADDITION","QUEENS","171-11 35 AVENUE","11358","40.764763","-73.794683","407","19","1141","4118954","4052560001","Murray Hill"
"25","P.S. 169 ADDITION","QUEENS","18-25 212 STREET","11360","40.782298","-73.779099","407","19","99704","4131147","4058650050","Ft. Totten-Bay Terrace-Clearview"
"26","P.S. 26 ADDITION","QUEENS","195-02 69 AVENUE","11365","40.736922","-73.77799","408","23","1347","4153296","4071170421","Fresh Meadows-Utopia"
"26","P.S. 41 ADDITION","QUEENS","214-43 35 AVENUE","11361","40.769601","-73.770863","411","19","1097","4135975","4061210001","Bayside-Bayside Hills"
"26","P.S. 46 ADDITION","QUEENS","64-45 218 STREET","11364","40.746202","-73.758752","411","23","1367","4162449","4076190001","Oakland Gardens"
"28","P.S. 160 ADDITION","QUEENS","109-59 INWOOD STREET","11435","40.688103","-73.800415","412","28","196","4258143","4119420302","South Jamaica"
"28","P.S. 174 ADDITION","QUEENS","65-10 DIETERLE CRESCENT","11374","40.720924","-73.86135","406","29","69702","4073904","4031340024","Rego Park"
"30","P.S. @ PARCEL C","QUEENS","1-50 54TH AVENUE","11101","40.740933","-73.960045","402","26","1",,,"Hunters Point-Sunnyside-West Maspeth"
"30","P.S. 85 ANNEX","QUEENS","23-35 29 STREET","11105","40.774348","-73.91471","401","22","115",,,"Steinway"
"30","I.S. @ 44-59 45 AVENUE","QUEENS","44-59 45 AVENUE",,,,,,,,,
"31","P.S. 5 ADDITION","STATEN ISLAND","348 DEISIUS STREET","10312","40.530169","-74.187635","503","51","176","5082407","5065660001","Annadale-Huguenot-Prince's Bay-Eltingville"
"31","FOREST AVENUE COMMUNITY EDUCATIONAL COMPLEX","STATEN ISLAND","1625 FOREST AVENUE","10302","40.624773","-74.142525","501","49","247","5025214","5010650007","Port Richmond"
"31","P.S. @ 24 SHELLEY AVENUE","STATEN ISLAND","24 SHELLEY AVENUE","10314","40.592379","-74.188029","502","50","29102","5041718","5026290020","New Springville-Bloomfield-Travis"
"78Q","H.S. @ 53-16 NORTHERN BOULEVARD","QUEENS","53-16 NORTHERN BOULEVARD","11377","40.753192","-73.907839","402","26","255","4000000","4011920047","Woodside"
