"project_number","building_id","project_description","school_name","school_address","sed_approved_final_cost","fcrtosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"18HJ","R069","Lead Paint Abatement","P.S. 69 - STATEN ISLAND","144 KEATING PLACE","11175.00","2021-06-08T00:00:00.000","STATEN IS","10314","40.591468","-74.156705","502","51","27705","5037541","5023660073","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"16NZ","X063","Lead Paint Abatement","P.S. 63 - BRONX","1260 FRANKLIN AVENUE","53500.00","2021-06-08T00:00:00.000","BRONX","10456","40.830995","-73.902705","203","16","149","2004302","2026150014","Morrisania-Melrose"
"17O7","Q026","Lead Paint Abatement","P.S. 26 - QUEENS","195-02 69 AVENUE","17044.00","2021-06-08T00:00:00.000","QUEENS","11365","40.736922","-73.77799","408","23","1347","4153296","4071170421","Fresh Meadows-Utopia"
"16NO","Q162","Lead Paint Abatement","P.S. 162 - QUEENS","201-02 53 AVENUE","25424.00","2021-06-08T00:00:00.000","QUEENS","11364","40.749036","-73.777213","411","20","140901","4159363","4074100001","Bayside-Bayside Hills"
"16MR","K257","Lead Paint Abatement","P.S. 257 - BROOKLYN","60 COOK STREET","11324.00","2021-06-08T00:00:00.000","BROOKLYN","11206","40.702392","-73.941801","301","34","491","3071571","3031140011","East Williamsburg"
"16MU","K282","Lead Paint Abatement","P.S. 282 - BROOKLYN","180 6TH AVENUE","17953.00","2021-06-08T00:00:00.000","BROOKLYN","11217","40.67634","-73.977367","306","39","131","3019597","3009500024","Park Slope-Gowanus"
"16MD","K178","Lead Paint Abatement","P.S. 178 - BROOKLYN","2163 DEAN STREET","44585.00","2021-06-08T00:00:00.000","BROOKLYN","11233","40.675024","-73.915778","316","41","303","3038718","3014400056","Ocean Hill"
"16LV","K124","Lead Paint Abatement","P.S. 124 - BROOKLYN","515 4TH AVENUE","27380.00","2021-06-08T00:00:00.000","BROOKLYN","11215","40.667545","-73.991046","306","39","141","3023391","3010340001","Park Slope-Gowanus"
"16NT","Q848","Lead Paint Abatement","P.S. 81 - QUEENS","511 SENECA AVENUE","19447.00","2021-06-08T00:00:00.000","QUEENS","11385","40.705315","-73.911909","405","34","545","4081987","4034340001","Ridgewood"
"16MP","K250","Lead Paint Abatement","P.S. 250 - BROOKLYN","108 MONTROSE AVENUE","11056.00","2021-06-08T00:00:00.000","BROOKLYN","11206","40.707104","-73.945475","301","34","505","3071199","3030600001","East Williamsburg"
"16G7","X106","Lead Paint Abatement","P.S. 106 - BRONX","1514 OLMSTEAD AVENUE","20566.00","2021-06-08T00:00:00.000","BRONX","10462","40.836374","-73.855175","209","18","222","2041211","2039460007","Parkchester"
"1.60E+04","M061","Lead Paint Abatement","P.S. 361 - MANHATTAN","610 EAST 12 STREET","55742.00","2021-06-08T00:00:00.000","MANHATTAN","10009","40.727892","-73.978525","103","2","28","1079053","1003940012","Lower East Side"
"16F2","X019","Lead Paint Abatement","P.S. 19 - BRONX","4318 KATONAH AVENUE","25654.00","2021-06-08T00:00:00.000","BRONX","10470","40.899295","-73.8675","212","11","45102","2019463","2033860001","Woodlawn-Wakefield"
"1.60E+01","K130","Lead Paint Abatement","P.S. 130 - BROOKLYN","70 OCEAN PARKWAY","37140.00","2021-06-08T00:00:00.000","BROOKLYN","11218","40.648884","-73.975607","307","39","500","3124019","3053190001","Windsor Terrace"
"16GA","X119","Lead Paint Abatement","P.S. 119 - BRONX","1075 PUGSLEY AVENUE","11508.00","2021-06-08T00:00:00.000","BRONX","10472","40.828518","-73.856569","209","18","4001","2025696","2037890021","Soundview-Bruckner"
"16ET","R048","Lead Paint Abatement","NAPLES STREET ELEMENTARY SCHOO","1055 TARGEE STREET","21761.00","2021-06-08T00:00:00.000","STATEN IS","10304","40.60223","-74.091355","502","50","50","5046419","5031710001","Grasmere-Arrochar-Ft. Wadsworth"
"16FP","X075","Lead Paint Abatement","P.S. 75 - BRONX","984 FAILE STREET","24198.00","2021-06-08T00:00:00.000","BRONX","10459","40.822719","-73.889435","202","17","119","2006079","2027470001","Hunts Point"
"16F3","X021","Lead Paint Abatement","P.S. 21 - BRONX","715 EAST 225 STREET","18953.00","2021-06-08T00:00:00.000","BRONX","10466","40.887582","-73.859733","212","12","406","2063435","2048390039","Williamsbridge-Olinville"
"16FV","X081","Lead Paint Abatement","P.S. 81 - BRONX","5550 RIVERDALE AVENUE","41047.00","2021-06-08T00:00:00.000","BRONX","10471","40.903553","-73.905229","208","11","337","2084806","2058501550","North Riverdale-Fieldston-Riverdale"
"16L7","K009","Lead Paint Abatement","PUBLIC SCHOOL 9 THE SARAH SMIT","80 UNDERHILL AVENUE","23045.00","2021-06-08T00:00:00.000","BROOKLYN","11238","40.678297","-73.965541","308","35","205","3028204","3011450026","Prospect Heights"
"18GN","M006","Lead Paint Abatement","P.S. 6 - MANHATTAN","45 EAST 81 STREET","13248.00","2021-06-08T00:00:00.000","MANHATTAN","10028","40.777455","-73.960713","108","4","142","1046668","1014930021","Upper East Side-Carnegie Hill"
"18GA","K186","Lead Paint Abatement","P.S. 186 - BROOKLYN","7601 19 AVENUE","12030.00","2021-06-08T00:00:00.000","BROOKLYN","11214","40.611483","-73.994677","311","47","274","3160923","3062390001","Bensonhurst West"
"16M1","K151","Lead Paint Abatement","P.S. 151 - BROOKLYN","763 KNICKERBOCKER AVENUE","39045.00","2021-06-08T00:00:00.000","BROOKLYN","11207","40.693293","-73.90864","304","37","437","3078654","3034060001","Bushwick North"
"16O5","X110","Lead Paint Abatement","P.S. 110 - BRONX","580 CROTONA PARK SOUTH","14053.00","2021-06-08T00:00:00.000","BRONX","10456","40.835286","-73.900751","203","16","149","2009718","2029320001","Morrisania-Melrose"
"16ML","K214","Lead Paint Abatement","P.S. 214 - BROOKLYN","2944 PITKIN AVENUE","15147.00","2021-06-08T00:00:00.000","BROOKLYN","11208","40.676513","-73.863151","305","37","1202","3095254","3042430001","Cypress Hills-City Line"
"16NP","Q165","Lead Paint Abatement","P.S. 165 - QUEENS","70-35 150 STREET","44301.00","2021-06-08T00:00:00.000","QUEENS","11367","40.729741","-73.818446","408","24","77906","4144881","4066970012","Kew Gardens Hills"
"183U","M188","Lead Paint Abatement","P.S. 188 - MANHATTAN","442 EAST HOUSTON STREET","19245.00","2021-06-08T00:00:00.000","MANHATTAN","10002","40.719598","-73.977904","103","2","20","1004349","1003560100","Lower East Side"
"16MG","K193","Lead Paint Abatement","P.S. 193 - BROOKLYN","2515 AVENUE L","14925.00","2021-06-08T00:00:00.000","BROOKLYN","11210","40.621507","-73.950473","314","45","754","3208461","3076250001","Midwood"
"18HC","Q144","Lead Paint Abatement","P.S. 144 - QUEENS","69-20 JUNO STREET","28093.00","2021-06-08T00:00:00.000","QUEENS","11375","40.715281","-73.852412","406","29","729","4000000","4032120001","Forest Hills"
"16NF","M171","Lead Paint Abatement","P.S. 171 - MANHATTAN","19 EAST 103 STREET","19073.00","2021-06-08T00:00:00.000","MANHATTAN","10029","40.792122","-73.951961","111","8","168","1051497","1016090007","East Harlem South"
"16MH","K196","Lead Paint Abatement","P.S. 196 - BROOKLYN","207 BUSHWICK AVENUE","15070.00","2021-06-08T00:00:00.000","BROOKLYN","11206","40.708723","-73.940002","301","34","485","3071024","3030460001","Bushwick South"
"16NW","X042","Lead Paint Abatement","P.S. 42 - BRONX","1537 WASHINGTON AVENUE","40853.00","2021-06-08T00:00:00.000","BRONX","10457","40.838288","-73.902987","203","16","169","2009466","2029030023","Claremont-Bathgate"
"16O7","X126","Lead Paint Abatement","P.S. 126 - BRONX","175 WEST 166 STREET","29272.00","2021-06-08T00:00:00.000","BRONX","10452","40.835784","-73.928324","204","16","199","2003495","2025260083","Highbridge"
"16LJ","K100","Lead Paint Abatement","P.S. 100 - BROOKLYN","2951 WEST 3 STREET","28645.00","2021-06-08T00:00:00.000","BROOKLYN","11224","40.57732","-73.971313","313","48","35602","3196595","3072810001","West Brighton"
"16NI","Q089","Lead Paint Abatement","P.S. 89 - QUEENS","85-28 BRITTON AVENUE","40906.00","2021-06-08T00:00:00.000","QUEENS","11373","40.745923","-73.880205","404","25","271","4037370","4015140001","Elmhurst"
"18GO","M015","Lead Paint Abatement","P.S. 15 - MANHATTAN","333 EAST 4 STREET","48991.00","2021-06-08T00:00:00.000","MANHATTAN","10009","40.721791","-73.978986","103","2","2601","1004415","1003740020","Lower East Side"
"18HA","Q130","Lead Paint Abatement","P.S. 130 - QUEENS","200-01 42 AVENUE","26754.00","2021-06-08T00:00:00.000","QUEENS","11361","40.759517","-73.784029","411","19","1463","4137034","4062030001","Bayside-Bayside Hills"
"18HX","X091","Lead Paint Abatement","P.S. 91 - BRONX","2170 AQUEDUCT AVENUE","22861.00","2021-06-08T00:00:00.000","BRONX","10453","40.857689","-73.908349","205","14","251","2094683","2032070040","University Heights-Morris Heights"
"18H2","Q041","Lead Paint Abatement","P.S. 41 - QUEENS","214-43 35 AVENUE","39785.00","2021-06-08T00:00:00.000","QUEENS","11361","40.769601","-73.770863","411","19","1097","4135975","4061210001","Bayside-Bayside Hills"
"16MN","K225","Lead Paint Abatement","P.S. 225 - BROOKLYN","1075 OCEAN VIEW AVENUE","13450.00","2021-06-08T00:00:00.000","BROOKLYN","11235","40.579737","-73.956329","313","48","61004","3245498","3087120056","Brighton Beach"
"16NQ","Q166","Lead Paint Abatement","P.S. 166 - QUEENS","33-09 35 AVENUE","29012.00","2021-06-08T00:00:00.000","QUEENS","11106","40.757309","-73.926733","401","26","57","4008220","4006100001","Astoria"
"16LR","K116","Lead Paint Abatement","P.S. 116 - BROOKLYN","515 KNICKERBOCKER AVENUE","25888.00","2021-06-08T00:00:00.000","BROOKLYN","11237","40.697779","-73.916521","304","37","433","3075909","3033170001","Bushwick North"
"16O8","X145","Lead Paint Abatement","NEW MILLENNIUM BRONX ACADEMY O","1000 TELLER AVENUE","13362.00","2021-06-08T00:00:00.000","BRONX","10456","40.827941","-73.914374","204","16","173","2097111","2024240001","East Concourse-Concourse Village"
"16LO","K108","Lead Paint Abatement","P.S. 108 - BROOKLYN","200 LINWOOD STREET","42839.00","2021-06-08T00:00:00.000","BROOKLYN","11208","40.681268","-73.884063","305","37","117202","3087131","3039260045","Cypress Hills-City Line"
"18G9","K075","Lead Paint Abatement","P.S. 75 - BROOKLYN","95 GROVE STREET","14753.00","2021-06-08T00:00:00.000","BROOKLYN","11221","40.693313","-73.920666","304","34","419","3075879","3033140001","Bushwick South"
"16O4","X109","Lead Paint Abatement","P.S. 109 - BRONX","1771 POPHAM AVENUE","14952.00","2021-06-08T00:00:00.000","BRONX","10453","40.851414","-73.918533","205","14","20502","2094549","2028770393","University Heights-Morris Heights"
"16NL","Q122","Lead Paint Abatement","P.S. 122 - QUEENS","21-21 DITMARS BLVD","41908.00","2021-06-08T00:00:00.000","QUEENS","11105","40.780347","-73.916655","401","22","103","4019633","4008800001","Steinway"
"18H3","Q046","Lead Paint Abatement","P.S. 46 - QUEENS","64-45 218 STREET","24293.00","2021-06-08T00:00:00.000","QUEENS","11364","40.746202","-73.758752","411","23","1367","4162449","4076190001","Oakland Gardens"
"16LY","K145","Lead Paint Abatement","P.S. 145 - BROOKLYN","100 NOLL STREET","22467.00","2021-06-08T00:00:00.000","BROOKLYN","11206","40.701621","-73.93241","304","34","425","3071915","3031530011","Bushwick South"
"16GT","X435","Lead Paint Abatement","FORDHAM HS FOR THE ARTS - BRON","500 EAST FORDHAM ROAD","13552.00","2021-06-08T00:00:00.000","BRONX","10458","40.860043","-73.888267","206","15","387","2011810","2030590001","Belmont"
"16F4","X026","Lead Paint Abatement","I.S. 390 - BRONX","1930 ANDREWS AVENUE","14978.00","2021-06-08T00:00:00.000","BRONX","10453","40.854701","-73.913197","205","14","24502","2014692","2032160002","University Heights-Morris Heights"
"16GW","X819","Lead Paint Abatement","P.S. 207 - BRONX","3030 GODWIN TERRACE","16656.00","2021-06-08T00:00:00.000","BRONX","10463","40.878322","-73.906556","208","11","289","2083138","2057010105","Spuyten Duyvil-Kingsbridge"
"16FL","X067","Lead Paint Abatement","P.S. 67 - BRONX","2024 MOHEGAN AVENUE","23249.00","2021-06-08T00:00:00.000","BRONX","10460","40.843945","-73.884788","206","17","363","2013142","2031230003","East Tremont"
"16FD","X049","Lead Paint Abatement","P.S. 49 - BRONX","383 EAST 139 STREET","23674.00","2021-06-08T00:00:00.000","BRONX","10454","40.810085","-73.923102","201","8","39","2000626","2023020040","Mott Haven-Port Morris"
"16DZ","K031","Lead Paint Abatement","P.S. 31 - BROOKLYN","75 MESEROLE AVENUE","16612.00","2021-06-08T00:00:00.000","BROOKLYN","11222","40.726587","-73.95427","301","33","561","3065299","3025950001","Greenpoint"
"1.60E+03","M011","Lead Paint Abatement","P.S. 11 - MANHATTAN","320 WEST 21 STREET","21539.00","2021-06-08T00:00:00.000","MANHATTAN","10011","40.744349","-74.000253","104","3","89","1013260","1007440024","Hudson Yards-Chelsea-Flatiron-Union Square"
"16EZ","X006","Lead Paint Abatement","P.S. 6 - BRONX","1000 EAST TREMONT AVENUE","42488.00","2021-06-08T00:00:00.000","BRONX","10460","40.840755","-73.881707","206","17","359","2010892","2030050010","East Tremont"
"16G0","X095","Lead Paint Abatement","P.S. 95 - BRONX","3961 HILLMAN AVENUE","14781.00","2021-06-08T00:00:00.000","BRONX","10463","40.882898","-73.891256","208","11","281","2015472","2032520182","Van Cortlandt Village"
"16EO","R041","Lead Paint Abatement","P.S. 41 - STATEN ISLAND","216 CLAWSON STREET","16584.00","2021-06-08T00:00:00.000","STATEN IS","10306","40.574044","-74.109282","502","50","122","5052791","5036450007","New Dorp-Midland Beach"
"16EC","R005","Lead Paint Abatement","P.S. 5 - STATEN ISLAND","348 DEISIUS STREET","12478.00","2021-06-08T00:00:00.000","STATEN IS","10312","40.530169","-74.187635","503","51","176","5082407","5065660001","Annadale-Huguenot-Prince's Bay-Eltingville"
"16FU","X079","Lead Paint Abatement","I.S. 447 - BRONX","125 EAST 181 STREET","22143.00","2021-06-08T00:00:00.000","BRONX","10453","40.854872","-73.903458","205","14","23704","2013849","2031700001","Fordham South"
"16FA","X044","Lead Paint Abatement","P.S. 44 - BRONX","1825 PROSPECT AVENUE","16094.00","2021-06-08T00:00:00.000","BRONX","10457","40.842084","-73.891116","206","17","36902","2009957","2029490064","East Tremont"
"16GB","X121","Lead Paint Abatement","P.S. 121 - BRONX","2750 THROOP AVENUE","21491.00","2021-06-08T00:00:00.000","BRONX","10469","40.86608","-73.850982","211","13","348","2054253","2045260001","Allerton-Pelham Gardens"
"16G8","X107","Lead Paint Abatement","P.S. 107 - BRONX","1695 SEWARD AVENUE","14296.00","2021-06-08T00:00:00.000","BRONX","10473","40.818467","-73.868372","209","18","20","2021972","2035910050","Soundview-Castle Hill-Clason Point-Harding Park"
"16EQ","R045","Lead Paint Abatement","P.S. 45 - STATEN ISLAND","58 LAWRENCE AVENUE","29169.00","2021-06-08T00:00:00.000","STATEN IS","10310","40.628558","-74.107148","501","49","121","5007417","5002760007","New Brighton-Silver Lake"
"16FH","X060","Lead Paint Abatement","THE LONGWOOD ACADEMY OF DISCOV","888 REV. J.A. POLITE AVENUE","38524.00","2021-06-08T00:00:00.000","BRONX","10459","40.820403","-73.898912","202","17","87","2005348","2026960085","Longwood"
"16L8","K016","Lead Paint Abatement","P.S. 16 - BROOKLYN","157 WILSON STREET","11609.00","2021-06-08T00:00:00.000","BROOKLYN","11211","40.706023","-73.961476","301","33","535","3059906","3021770001","Williamsburg"
"18H1","Q034","Lead Paint Abatement","P.S. 34 - QUEENS","104-12 SPRINGFIELD BOULEVARD","23276.00","2021-06-08T00:00:00.000","QUEENS","11429","40.711753","-73.736624","413","27","582","4240503","4111510081","Queens Village"
"18HZ","X104","Lead Paint Abatement","P.S. 199 - BRONX","1449 SHAKESPEARE AVENUE","11646.00","2021-06-08T00:00:00.000","BRONX","10452","40.842943","-73.920563","204","16","21302","2088263","2028730027","Highbridge"
"17O5","K150","Lead Paint Abatement","P.S. 150 - BROOKLYN","364 SACKMAN STREET","16335.00","2021-06-08T00:00:00.000","BROOKLYN","11212","40.66896","-73.904726","316","41","908","3084012","3037440009","Brownsville"
"17O8","X161","Lead Paint Abatement","P.S. 161 - BRONX","628 TINTON AVENUE","15552.00","2021-06-08T00:00:00.000","BRONX","10455","40.814916","-73.905518","201","8","79","2004773","2026640029","Melrose South-Mott Haven North"
"16LF","K054","Lead Paint Abatement","P.S. 54 - BROOKLYN","195 SANDFORD STREET","17304.00","2021-06-08T00:00:00.000","BROOKLYN","11205","40.693018","-73.953034","303","33","241","3049020","3017650015","Bedford"
"16OB","X400","Lead Paint Abatement","BRONX INTERNATIONAL - BRONX","1110 BOSTON RD","13456.00","2021-06-08T00:00:00.000","BRONX","10456","40.827642","-73.904473","203","16","135","2004526","2026340001","Morrisania-Melrose"
"16LQ","K114","Lead Paint Abatement","P.S. 114 - BROOKLYN","1077 REMSEN AVENUE","11904.00","2021-06-08T00:00:00.000","BROOKLYN","11236","40.642545","-73.908529","318","46","964","3229159","3081600022","Canarsie"
"16NX","X055","Lead Paint Abatement","P.S. 55 - BRONX","450 ST PAULS PLACE","31801.00","2021-06-08T00:00:00.000","BRONX","10456","40.836404","-73.905014","203","16","14702","2009463","2029020001","Claremont-Bathgate"
"16NV","X035","Lead Paint Abatement","P.S. 35 - BRONX","261 EAST 163 STREET","21474.00","2021-06-08T00:00:00.000","BRONX","10451","40.827304","-73.91767","204","16","18302","2101573","2024460043","East Concourse-Concourse Village"
"18GG","K305","Lead Paint Abatement","P.S. 305 - BROOKLYN","344 MONROE STREET","16064.00","2021-06-08T00:00:00.000","BROOKLYN","11216","40.686076","-73.945229","303","36","265","3051458","3018190014","Bedford"
"16MK","K213","Lead Paint Abatement","P.S. 213 - BROOKLYN","580 HEGEMAN AVENUE","18936.00","2021-06-08T00:00:00.000","BROOKLYN","11207","40.66051","-73.890288","305","42","1104","3097334","3043240001","East New York"
"16MY","K335","Lead Paint Abatement","P.S. 335 - BROOKLYN","130 ROCHESTER AVENUE","18411.00","2021-06-08T00:00:00.000","BROOKLYN","11213","40.674656","-73.927794","308","36","307","3035887","3013550023","Crown Heights North"
"16NH","Q087","Lead Paint Abatement","P.S. 87 - QUEENS","67-54 80 STREET","52109.00","2021-06-08T00:00:00.000","QUEENS","11379","40.711815","-73.871238","405","30","621","4091737","4037820027","Middle Village"
"18HE","Q721","Lead Paint Abatement","P.S. 16 - QUEENS","41-15 104 STREET","17700.00","2021-06-08T00:00:00.000","QUEENS","11368","40.748987","-73.86123","404","21","403","4048820","4019850001","North Corona"
"16MI","K203","Lead Paint Abatement","P.S. 203 - BROOKLYN","5101 AVENUE M","17686.00","2021-06-08T00:00:00.000","BROOKLYN","11234","40.621436","-73.925989","318","46","680","3218626","3078490001","Flatlands"
"16M5","K158","Lead Paint Abatement","P.S. 158 - BROOKLYN","400 ASHFORD STREET","11696.00","2021-06-08T00:00:00.000","BROOKLYN","11207","40.672579","-73.884803","305","37","1150","3089176","3040150001","East New York"
"16LW","K127","Lead Paint Abatement","P.S. 127 - BROOKLYN","7805 7 AVENUE","20040.00","2021-06-08T00:00:00.000","BROOKLYN","11228","40.624132","-74.018826","310","43","206","3150481","3059730001","Dyker Heights"
"18I2","X178","Lead Paint Abatement","P.S. 178 - BRONX","850 BAYCHESTER AVENUE","13775.00","2021-06-08T00:00:00.000","BRONX","10475","40.875894","-73.833863","210","12","46201","2116161","2051410150","Co-op City"
"18HR","X041","Lead Paint Abatement","P.S. 41 - BRONX","3352 OLINVILLE AVENUE","11985.00","2021-06-08T00:00:00.000","BRONX","10467","40.874313","-73.868157","212","12","374","2056898","2046240015","Williamsbridge-Olinville"
"18H4","Q066","Lead Paint Abatement","P.S. 66 - QUEENS","85-05 102 STREET","83709.00","2021-06-08T00:00:00.000","QUEENS","11418","40.697973","-73.846619","409","32","24","4000000","4091830001","Richmond Hill"
"18GY","Q014","Lead Paint Abatement","P.S. 14 - QUEENS","107-01 OTIS AVENUE","21618.00","2021-06-08T00:00:00.000","QUEENS","11368","40.74056","-73.854131","404","21","439","4437311","4019540037","Corona"
"18HY","X094","Lead Paint Abatement","P.S. 94 - BRONX","3530 KINGS COLLEGE PLACE","21417.00","2021-06-08T00:00:00.000","BRONX","10467","40.880522","-73.87572","207","11","431","2018628","2033560042","Norwood"
"18H6","Q085","Lead Paint Abatement","P.S. 85 - QUEENS","23-70 31 STREET","29315.00","2021-06-08T00:00:00.000","QUEENS","11105","40.772863","-73.914708","401","22","115","4017485","4008420031","Steinway"
"18GD","K206","Lead Paint Abatement","P.S. 206 - BROOKLYN","2200 GRAVESEND NECK ROAD","14358.00","2021-06-08T00:00:00.000","BROOKLYN","11229","40.597369","-73.948946","315","48","59401","3201080","3073810201","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"16MC","K176","Lead Paint Abatement","P.S. 176 - BROOKLYN","1225 69 STREET","23423.00","2021-06-08T00:00:00.000","BROOKLYN","11219","40.624611","-74.005378","310","43","196","3143190","3057740001","Dyker Heights"
"16M4","K155","Lead Paint Abatement","P.S. 155 - BROOKLYN","1355 HERKIMER STREET","23063.00","2021-06-08T00:00:00.000","BROOKLYN","11233","40.677415","-73.908734","316","37","369","3042263","3015520043","Ocean Hill"
"16ME","K184","Lead Paint Abatement","P.S. 184 - BROOKLYN","273 NEWPORT STREET","18338.00","2021-06-08T00:00:00.000","BROOKLYN","11212","40.659966","-73.904901","316","42","918","3082391","3036060001","Brownsville"
