"project_number","building_id","project_description","school_name","school_address","sed_approved_estimate","appltosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"0LDA","X430","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","CELIA CRUZ HS OF MUSIC - BRONX","2780 RESERVOIR AVENUE","263750","2015-12-30T00:00:00.000","2","10468","40.870293","-73.898309","7","11","409","2015241","2032470070","Van Cortlandt Village                                                      "
"0LDB","M535","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","FOOD AND FINANCE HS - MANHATTA","525 WEST 50 STREET","2401466","2015-12-30T00:00:00.000","1","10019","40.765184","-73.992953","4","3","135","1083802","1010790029","Clinton                                                                    "
"0LDC","K158","RECONSTRUCTION OF VENTILATION SYSTEM","P.S. 158 - BROOKLYN","400 ASHFORD STREET","1094214","2015-12-30T00:00:00.000","3","11207","40.672579","-73.884803","5","37","1150","3089176","3040150001","East New York                                                              "
"0LDD","Q480","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","JOHN ADAMS HS - QUEENS","102-10 ROCKAWAY BLVD","716618","2015-12-30T00:00:00.000","4","11417","40.679487","-73.836476","10","32","864","4202849","4095400002","South Ozone Park                                                           "
"0LCN","X909","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","D75@ EAST TRENTON AVE","516 EAST TREMONT AVE","7355474","2015-12-30T00:00:00.000","2","10457","40.846728","-73.89657","6","15","395","2009606","2029240020","Claremont-Bathgate                                                         "
"0LCO","K136","Indoor Building Improvement - Reconstruction of piping and plumbing system.","I.S. 136 - BROOKLYN","4004 4TH AVENUE","973390","2015-12-30T00:00:00.000","3","11232","40.651977","-74.006862","7","38","82","3010580","3007130020","Sunset Park West                                                           "
"0LCP","M001","Indoor Building Improvement - Reconstruction of piping and plumbing system.","P.S. 1 - MANHATTAN","8 HENRY STREET","881964","2015-12-30T00:00:00.000","1","10038","40.71276","-73.997489","3","1","27","1003375","1002790040","Chinatown                                                                  "
"0LCQ","K136","Building System Improvement - Installation of a Low-Voltage Electrical System","I.S. 136 - BROOKLYN","4004 4TH AVENUE","1896117","2015-12-30T00:00:00.000","3","11232","40.651977","-74.006862","7","38","82","3010580","3007130020","Sunset Park West                                                           "
"0LCR","K158","Building System Improvement - Installation of a Low-Voltage Electrical System","P.S. 158 - BROOKLYN","400 ASHFORD STREET","2340803","2015-12-30T00:00:00.000","3","11207","40.672579","-73.884803","5","37","1150","3089176","3040150001","East New York                                                              "
"0LCT","M001","Building System Improvement - Installation of a Low-Voltage Electrical System","P.S. 1 - MANHATTAN","8 HENRY STREET","1456172","2015-12-30T00:00:00.000","1","10038","40.71276","-73.997489","3","1","27","1003375","1002790040","Chinatown                                                                  "
"0LF0","K039","Building System Improvement - Electrical Lighting Fixtures","P.S. 39 - BROOKLYN","417 6TH AVENUE","277507","2015-12-30T00:00:00.000","3","11215","40.668916","-73.983195","6","39","153","3021932","3010000001","Park Slope-Gowanus                                                         "
"0LF1","K208","Building System Improvement - Electrical Lighting Fixtures","P.S. 208 - BROOKLYN","4801 AVENUE D","1217275","2015-12-30T00:00:00.000","3","11203","40.642031","-73.931151","17","45","840","3105680","3047690025","East Flatbush-Farragut                                                     "
"0LEU","X130","Building Envelope Improvement - Parapet Reconstruction","P.S. 130 - BRONX","750 PROSPECT AVENUE","286338","2015-12-30T00:00:00.000","2","10455","40.817721","-73.902421","2","17","85","2005168","2026880001","Longwood                                                                   "
"0LEV","K377","Building Envelope Improvement - Parapet Reconstruction","P.S. 377 - BROOKLYN","200 WOODBINE STREET","2822425","2015-12-30T00:00:00.000","3","11221","40.694018","-73.915263","4","37","415","3076784","3033600001","Bushwick South                                                             "
"0LF4","Q041","Building System Improvement - Electrical Lighting Fixtures","P.S. 41 - QUEENS","214-43 35 AVENUE","805585","2015-12-30T00:00:00.000","4","11361","40.769601","-73.770863","11","19","1097","4135975","4061210001","Bayside-Bayside Hills                                                      "
"0LF5","M751","Building System Improvement - Electrical Lighting Fixtures","M751 SPED - MANHATTAN","113 EAST 4 STREET","621079","2015-12-30T00:00:00.000","1","10003","40.725725","-73.9883","3","2","38","1006208","1004460020","East Village                                                               "
"0LF6","R470","Building System Improvement - Electrical Lighting Fixtures","CONCORD HS - S.I.","109 RHINE AVENUE","587118","2015-12-30T00:00:00.000","5","10304","40.610868","-74.087379","1","49","40","5043479","5028850001","Grymes Hill-Clifton-Fox Hills                                              "
"0LF7","Q132","Building System Improvement - Electrical Lighting Fixtures","P.S. 132 - QUEENS","132-15 218 STREET","849840","2015-12-30T00:00:00.000","4","11413","40.682114","-73.74992","13","31","626","4278380","4129270028","Laurelton                                                                  "
"0LCU","M625","Building System Improvement - Boiler Conversion","HS OF GRAPHIC COMM. ARTS (VOC)","439 WEST 49 STREET","8345901","2015-12-30T00:00:00.000","1","10019","40.76337","-73.990593","4","3","127","1026646","1010590015","Clinton                                                                    "
"0LCV","M625","Building System Improvement - Reconstruction of Temperature Control System","HS OF GRAPHIC COMM. ARTS (VOC)","439 WEST 49 STREET","3397579","2015-12-30T00:00:00.000","1","10019","40.76337","-73.990593","4","3","127","1026646","1010590015","Clinton                                                                    "
"0LCW","X009","Building System Improvement - Boiler Conversion","P.S. 9 - BRONX","230 EAST 183 STREET","7655853","2015-12-30T00:00:00.000","2","10458","40.857067","-73.898936","5","15","38301","2013561","2031500010","Fordham South                                                              "
"0LCX","X009","Building System Improvement - Reconstruction of Temperature Control System","P.S. 9 - BRONX","230 EAST 183 STREET","1479913","2015-12-30T00:00:00.000","2","10458","40.857067","-73.898936","5","15","38301","2013561","2031500010","Fordham South                                                              "
"0LCY","K194","Building Envelope Improvement - Reconstruction of Exterior Masonry","P.S. 194 - BROOKLYN","3117 AVENUE W","1319410","2015-12-30T00:00:00.000","3","11229","40.596757","-73.933499","15","46","570","3201629","3073930001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"0LCZ","K158","Ansul System Improvement - Upgrade and reconstruction of kitchen range hood fire extinguishing system","P.S. 158 - BROOKLYN","400 ASHFORD STREET","4446860","2015-12-30T00:00:00.000","3","11207","40.672579","-73.884803","5","37","1150","3089176","3040150001","East New York                                                              "
"0LD0","K117","Building Envelope Improvement - Reconstruction of Exterior Masonry","BROOKLYN COMM. HS OF COMMUNICA","300 WILLOUGHBY AVENUE","6456666","2015-12-30T00:00:00.000","3","11205","40.692642","-73.958794","3","33","235","3055165","3019260010","Clinton Hill                                                               "
"0LD1","X067","RECONSTRUCTION OF VENTILATION SYSTEM","P.S. 67 - BRONX","2024 MOHEGAN AVENUE","3377699","2015-12-30T00:00:00.000","2","10460","40.843945","-73.884788","6","17","363","2013142","2031230003","East Tremont                                                               "
"0LD2","K650","Building Envelope Improvement - Parapet Reconstruction","WIILIAMSBURG PREP- BROOKLYN","257 N 6TH STREET","4232072","2015-12-30T00:00:00.000","3","11211","40.715073","-73.954754","1","33","519","3062135","3023300011","North Side-South Side                                                      "
"0LD3","Q049","Building Additions","P.S. 49 - QUEENS","63-60  80TH STREET","47035096","2015-12-30T00:00:00.000","4","11379","40.719867","-73.875093","5","30","663","4069253","4029900045","Middle Village                                                             "
"0LD4","K377","Building Envelope Improvement - Parapet Reconstruction","P.S. 377 - BROOKLYN","200 WOODBINE STREET","1059914","2015-12-30T00:00:00.000","3","11221","40.694018","-73.915263","4","37","415","3076784","3033600001","Bushwick South                                                             "
"0LD5","Q162","Building Envelope Improvement - Parapet Reconstruction","P.S. 162 - QUEENS","201-02 53 AVENUE","2126323","2015-12-30T00:00:00.000","4","11364","40.749036","-73.777213","11","20","140901","4159363","4074100001","Bayside-Bayside Hills                                                      "
"0LDK","X826","Building Envelope Improvement - Reconstruction of Exterior Masonry","P.S. 226 - BRONX","1950 SEDGWICK AVENUE","1627371","2015-12-30T00:00:00.000","2","10453","40.856586","-73.916198","5","14","249","2096465","2032220100","University Heights-Morris Heights                                          "
"0LDL","M440","Building System Improvement - Electrical Lighting Fixtures","BAYARD RUSTIN EDUCATIONAL COMP","351 WEST 18 STREET","26795","2015-12-30T00:00:00.000","1","10011","40.742867","-74.002136","4","3","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"0LDM","K194","Building Envelope Improvement - Window and Door Replacement","P.S. 194 - BROOKLYN","3117 AVENUE W","550145","2015-12-30T00:00:00.000","3","11229","40.596757","-73.933499","15","46","570","3201629","3073930001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"0LDN","K194","Building Envelope Improvement - Parapet Reconstruction","P.S. 194 - BROOKLYN","3117 AVENUE W","2672000","2015-12-30T00:00:00.000","3","11229","40.596757","-73.933499","15","46","570","3201629","3073930001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"0LDO","K117","Building Envelope Improvement - Parapet Reconstruction","BROOKLYN COMM. HS OF COMMUNICA","300 WILLOUGHBY AVENUE","2423173","2015-12-30T00:00:00.000","3","11205","40.692642","-73.958794","3","33","235","3055165","3019260010","Clinton Hill                                                               "
"0LDP","K117","Building Envelope Improvement - Parapet Reconstruction","BROOKLYN COMM. HS OF COMMUNICA","300 WILLOUGHBY AVENUE","5558848","2015-12-30T00:00:00.000","3","11205","40.692642","-73.958794","3","33","235","3055165","3019260010","Clinton Hill                                                               "
"0LEH","X026","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","I.S. 390 - BRONX","1930 ANDREWS AVENUE","800000","2015-12-30T00:00:00.000","2","10453","40.854701","-73.913197","5","14","24502","2014692","2032160002","University Heights-Morris Heights                                          "
"0LEI","X091","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","P.S. 91 - BRONX","2170 AQUEDUCT AVENUE","649711","2015-12-30T00:00:00.000","2","10453","40.857689","-73.908349","5","14","251","2094683","2032070040","University Heights-Morris Heights                                          "
"0LEJ","K405","Building System Improvement - Reconstruction of Electrical Systems","MIDWOOD HS - BROOKLYN","2839 BEDFORD AVENUE","338750","2015-12-30T00:00:00.000","3","11210","40.633237","-73.952929","14","45","772","3205788","3075530041","Flatbush                                                                   "
"0LEK","Q452","Gymnasium Upgrade","LONG ISLAND CITY HS - Q","14-30 BROADWAY","354000","2015-12-30T00:00:00.000","4","11106","40.765826","-73.9328","1","22","45","4467709","4005290002","Astoria                                                                    "
"0LEL","X067","RECONSTRUCTION OF VENTILATION SYSTEM","P.S. 67 - BRONX","2024 MOHEGAN AVENUE","1399701","2015-12-30T00:00:00.000","2","10460","40.843945","-73.884788","6","17","363","2013142","2031230003","East Tremont                                                               "
"0LEM","Q227","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","I.S. 227 - QUEENS","32-02 JUNCTION BLVD","752520","2015-12-30T00:00:00.000","4","11369","40.758408","-73.874472","3","21","353","4034891","4014230001","East Elmhurst                                                              "
"0LGJ","M097","Building System Improvement - Electrical Lighting Fixtures","BARD COLLEGE HS - MANHATTAN","525 E. HOUSTON STREET","1035424","2015-12-30T00:00:00.000","1","10002","40.719029","-73.975891","3","2","1002","1004062","1003250025","Lower East Side                                                            "
"0LGK","R001","Building System Improvement - Electrical Lighting Fixtures","P.S. 1 - STATEN ISLAND","58 SUMMIT STREET","901077","2015-12-30T00:00:00.000","5","10307","40.509037","-74.244118","3","51","24401","5107854","5078980001","Charleston-Richmond Valley-Tottenville                                     "
"0LGL","K075","Building System Improvement - Electrical Lighting Fixtures","P.S. 75 - BROOKLYN","95 GROVE STREET","994287","2015-12-30T00:00:00.000","3","11221","40.693313","-73.920666","4","34","419","3075879","3033140001","Bushwick South                                                             "
"0LGM","K110","Building System Improvement - Electrical Lighting Fixtures","P.S. 110 - BROOKLYN","124 MONITOR STREET","693133","2015-12-30T00:00:00.000","3","11222","40.723897","-73.942312","1","33","591","3067144","3026880042","Greenpoint                                                                 "
"0LGN","K369","Building System Improvement - Electrical Lighting Fixtures","K369 SPED - BROOKLYN","383 STATE STREET","669792","2015-12-30T00:00:00.000","3","11217","40.687257","-73.983579","2","33","41","3000567","3001720055","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"0LGO","K259","Building System Improvement - Electrical Lighting Fixtures","I.S. 259 - BROOKLYN","7305 FT HAMILTON PKWY","1104369","2015-12-30T00:00:00.000","3","11228","40.62668","-74.01512","10","43","206","3148031","3059230001","Dyker Heights                                                              "
"0LDZ","K650","Building Envelope Improvement - Parapet Reconstruction","WIILIAMSBURG PREP- BROOKLYN","257 N 6TH STREET","888182","2015-12-30T00:00:00.000","3","11211","40.715073","-73.954754","1","33","519","3062135","3023300011","North Side-South Side                                                      "
"0LE0","K650","Building Envelope Improvement - Reconstruction of Exterior Masonry","WIILIAMSBURG PREP- BROOKLYN","257 N 6TH STREET","6901956","2015-12-30T00:00:00.000","3","11211","40.715073","-73.954754","1","33","519","3062135","3023300011","North Side-South Side                                                      "
"0LE1","K430","Asbestos  abatement","BROOKLYN TECH HS - K","29 FT GREENE PLACE","11178","2015-12-30T00:00:00.000","3","11217","40.688834","-73.976905","2","35","33","3058752","3020980013","Fort Greene                                                                "
"0LE2","K747","Leased Facility Improvements","P.S. @ BAY 11 ST- BROOKLYN","21 BAY 11TH STREET","2093554","2015-12-30T00:00:00.000","3","11228","40.609976","-74.008608","11","43","172","3336436","3063620029","Bath Beach                                                                 "
"0LFT","Q160","Building System Improvement - Electrical Lighting Fixtures","P.S. 160 - QUEENS","109-59 INWOOD STREET","1079106","2015-12-30T00:00:00.000","4","11435","40.688103","-73.800415","12","28","196","4258143","4119420302","South Jamaica                                                              "
"0LFU","R020","Building System Improvement - Electrical Lighting Fixtures","P.S. 20 - STATEN ISLAND","161 PARK AVENUE","896235","2015-12-30T00:00:00.000","5","10302","40.636598","-74.132919","1","49","207","5106979","5010200001","Port Richmond                                                              "
"0LFV","M495","Building System Improvement - Electrical Lighting Fixtures","PARK EAST HS - MANHATTAN","230 EAST 105 STREET","755407","2015-12-30T00:00:00.000","1","10029","40.790543","-73.944356","11","8","170","1075643","1016540033","East Harlem South                                                          "
"0LFW","Q002","Building System Improvement - Electrical Lighting Fixtures","P.S. 2 - QUEENS","75-10 21 AVENUE","1072585","2015-12-30T00:00:00.000","4","11370","40.770335","-73.894476","1","22","317","4021375","4009710001","Steinway                                                                   "
"0LEW","K377","Building Envelope Improvement - Reconstruction of Exterior Masonry","P.S. 377 - BROOKLYN","200 WOODBINE STREET","155658","2015-12-30T00:00:00.000","3","11221","40.694018","-73.915263","4","37","415","3076784","3033600001","Bushwick South                                                             "
"0LEX","X826","Indoor Building Improvement","P.S. 226 - BRONX","1950 SEDGWICK AVENUE","347710","2015-12-30T00:00:00.000","2","10453","40.856586","-73.916198","5","14","249","2096465","2032220100","University Heights-Morris Heights                                          "
"0LEY","X826","Building Envelope Improvement - Parapet Reconstruction","P.S. 226 - BRONX","1950 SEDGWICK AVENUE","1838911","2015-12-30T00:00:00.000","2","10453","40.856586","-73.916198","5","14","249","2096465","2032220100","University Heights-Morris Heights                                          "
"0LEZ","M005","Building Envelope Improvement - Window and Door Replacement","P.S. 5 - MANHATTAN","3703 TENTH AVENUE","3788970","2015-12-30T00:00:00.000","1","10034","40.85899","-73.922894","12","10","299","1084201","1021500030","Marble Hill-Inwood                                                         "
"0LF2","K400","Building System Improvement - Electrical Lighting Fixtures","KINGSBOROUGH EARLY COLLEGE SCH","2630 BENSON AVENUE","1956403","2015-12-30T00:00:00.000","3","11214","40.594291","-73.98577","13","47","306","3186454","3068830001","Gravesend                                                                  "
"0LF3","K440","Building System Improvement - Electrical Lighting Fixtures","BROOKLYN HS FOR SCI & THE ENVI","883 CLASSON AVENUE","891255","2015-12-30T00:00:00.000","3","11225","40.670349","-73.961695","9","35","213","3029686","3011870001","Crown Heights South                                                        "
"0LDE","R801","Building System Improvement - Electrical Lighting Fixtures","ALTERNATIVE LEARNING CENTER -","450 ST. MARKS PLACE","248376","2015-12-30T00:00:00.000","5","10301","40.638946","-74.077273","1","49","3","5000161","5000160007","West New Brighton-New Brighton-St. George                                  "
"0LDF","K073","Building Envelope Improvement - Reconstruction of Exterior Masonry","P.S. 73 - BROOKLYN","251 MACDOUGAL STREET","10527492","2015-12-30T00:00:00.000","3","11233","40.680318","-73.910644","16","37","369","3041561","3015280001","Ocean Hill                                                                 "
"0LGW","K063","Leased Facility Improvements","PS @ E. 29TH ST- BROOKLYN","1340 EAST 29TH STREET","11199019","2015-12-30T00:00:00.000","3","11210","40.61845","-73.94633","14","45","756","3337357","3076640041","Midwood                                                                    "
"0LGX","K042","Leased Facility Improvements","PS @ GLENWOOD RD. BKLYN","3610 GLENWOOD ROAD","6447250","2015-12-30T00:00:00.000","3","11210","40.63436","-73.941795","17","45","784","3206141","3075640047","East Flatbush-Farragut                                                     "
"0LGY","K692","Leased Facility Improvements","PS @ THIRD AVE. BKLYN","305-307 THIRD AVENUE","2375885","2015-12-30T00:00:00.000","3","11215","40.676679","-73.986646","6","39","119","3007687","3004540005","Park Slope-Gowanus                                                         "
"0LGZ","Q454","Leased Facility Improvements","PS @ 22ND AVE QUEENS","123-07 22ND AVENUE","6447250","2015-12-30T00:00:00.000","4","11356","40.78016","-73.844931","7","19","925","4099233","4041670001","College Point                                                              "
"0LH0","X443","Leased Facility Improvements","PS @ SEDGWICK AVE BRONX","3605  SEDGWICK AVENUE","1608692","2015-12-30T00:00:00.000","2","10463","40.881542","-73.896483","8","11","279","2092463","2032580190","Van Cortlandt Village                                                      "
"0LH1","K672","Leased Facility Improvements","PS @ CONEY IS.AVE -BRKLYN","1223 CONEY ISLAND AVENUE","3195960","2015-12-30T00:00:00.000","3","11230","40.62782","-73.96574","14","45","530","3179195","3066950056","Midwood                                                                    "
"0LH2","X455","Emergency Stabilization","HARRY S. TRUMAN HS - X","750 BAYCHESTER AVENUE","2693083","2015-12-30T00:00:00.000","2","10475","40.874091","-73.833904","10","12","46201","2116159","2051410150","Co-op City                                                                 "
"0LH3","M075","Building System Improvement - Heating Plant Upgrade","P.S. 75 - MANHATTAN","735 WEST END AVENUE","739543","2015-12-30T00:00:00.000","1","10025","40.795157","-73.973292","7","6","183","1034190","1012530065","Upper West Side                                                            "
"0LH5","K165","Emergency Stabilization","P.S. 165 - BROOKLYN","76 LOTT AVENUE","39386","2015-12-30T00:00:00.000","3","11212","40.65744","-73.911053","16","42","896","3082726","3036220023","Brownsville                                                                "
"0LDG","Q242","Indoor Building Improvement","P.S. 242 - QUEENS","29-66 137TH STREET","1372990","2015-12-30T00:00:00.000","4","11354","40.771265","-73.831525","7","20","88901","4462993","4043710173","Flushing                                                                   "
"0LDH","M001","Ansul System Improvement - Upgrade and reconstruction of kitchen range hood fire extinguishing system","P.S. 1 - MANHATTAN","8 HENRY STREET","51784","2015-12-30T00:00:00.000","1","10038","40.71276","-73.997489","3","1","27","1003375","1002790040","Chinatown                                                                  "
"0LDI","K377","Building Envelope Improvement - Window and Door Replacement","P.S. 377 - BROOKLYN","200 WOODBINE STREET","2978090","2015-12-30T00:00:00.000","3","11221","40.694018","-73.915263","4","37","415","3076784","3033600001","Bushwick South                                                             "
"0LDJ","K220","Science Lab Upgrade","I.S. 220 - BROOKLYN","4812 9 AVENUE","2938624","2015-12-30T00:00:00.000","3","11220","40.640545","-74.000731","12","38","108","3012824","3007780023","Sunset Park East                                                           "
"0LDQ","X130","Building Envelope Improvement - Parapet Reconstruction","P.S. 130 - BRONX","750 PROSPECT AVENUE","3784364","2015-12-30T00:00:00.000","2","10455","40.817721","-73.902421","2","17","85","2005168","2026880001","Longwood                                                                   "
"0LDR","K580","Building Envelope Improvement - Parapet Reconstruction","GEORGE WESTINGHOUSE VOC. HS","105 JOHNSON STREET","8490473","2015-12-30T00:00:00.000","3","11201","40.694926","-73.986015","2","33","13","3348041","3001310001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"0LDU","Q005","Building System Improvement - Installation of a Low-Voltage Electrical System","I.S. 5 - QUEENS","50-40 JACOBUS STREET","2103348","2015-12-30T00:00:00.000","4","11373","40.737718","-73.887429","4","25","489","4454423","4024500017","Elmhurst-Maspeth                                                           "
"0LDV","Q005","RECONSTRUCTION OF VENTILATION SYSTEM","I.S. 5 - QUEENS","50-40 JACOBUS STREET","4270575","2015-12-30T00:00:00.000","4","11373","40.737718","-73.887429","4","25","489","4454423","4024500017","Elmhurst-Maspeth                                                           "
"0LDW","Q075","Building System Improvement - Boiler Conversion","Q075 SPED - QUEENS","16-66 HANCOCK STREET","5054570","2015-12-30T00:00:00.000","4","11385","40.698476","-73.905556","5","34","553","4085584","4035490044","Ridgewood                                                                  "
"0LDX","Q075","Building System Improvement - Reconstruction of Temperature Control System","Q075 SPED - QUEENS","16-66 HANCOCK STREET","1384769","2015-12-30T00:00:00.000","4","11385","40.698476","-73.905556","5","34","553","4085584","4035490044","Ridgewood                                                                  "
"0LDY","K650","Building Envelope Improvement - Window and Door Replacement","WIILIAMSBURG PREP- BROOKLYN","257 N 6TH STREET","3528017","2015-12-30T00:00:00.000","3","11211","40.715073","-73.954754","1","33","519","3062135","3023300011","North Side-South Side                                                      "
"0LE3","K116","Asbestos  abatement","P.S. 116 - BROOKLYN","515 KNICKERBOCKER AVENUE","15017","2015-12-30T00:00:00.000","3","11237","40.697779","-73.916521","4","37","433","3075909","3033170001","Bushwick North                                                             "
"0LE4","Q023","Building Envelope Improvement - Parapet Reconstruction","QUEENS ACADEMY HIGH SCHOOL - Q","138-11 35 AVENUE","319926","2015-12-30T00:00:00.000","4","11354","40.765162","-73.8288","7","20","88901","4112106","4049560055","Flushing                                                                   "
"0LE5","Q023","Building Envelope Improvement - Reconstruction of Exterior Masonry","QUEENS ACADEMY HIGH SCHOOL - Q","138-11 35 AVENUE","440359","2015-12-30T00:00:00.000","4","11354","40.765162","-73.8288","7","20","88901","4112106","4049560055","Flushing                                                                   "
"0LE6","Q162","Indoor Building Improvement","P.S. 162 - QUEENS","201-02 53 AVENUE","2218950","2015-12-30T00:00:00.000","4","11364","40.749036","-73.777213","11","20","140901","4159363","4074100001","Bayside-Bayside Hills                                                      "
"0LE7","Q162","Building Envelope Improvement - Reconstruction of Exterior Masonry","P.S. 162 - QUEENS","201-02 53 AVENUE","6069640","2015-12-30T00:00:00.000","4","11364","40.749036","-73.777213","11","20","140901","4159363","4074100001","Bayside-Bayside Hills                                                      "
"0LE8","Q162","Building Envelope Improvement - Parapet Reconstruction","P.S. 162 - QUEENS","201-02 53 AVENUE","1401408","2015-12-30T00:00:00.000","4","11364","40.749036","-73.777213","11","20","140901","4159363","4074100001","Bayside-Bayside Hills                                                      "
"0LFI","Q107","Building System Improvement - Electrical Lighting Fixtures","P.S. 107 - QUEENS","167-02 45 AVENUE","1434538","2015-12-30T00:00:00.000","4","11358","40.756013","-73.799706","7","19","1195","4123454","4054460018","East Flushing                                                              "
"0LFJ","K199","Building System Improvement - Electrical Lighting Fixtures","P.S. 199 - BROOKLYN","1100 ELM AVENUE","1001371","2015-12-30T00:00:00.000","3","11230","40.616632","-73.963476","14","48","768","3180761","3067400025","Midwood                                                                    "
"0LFK","K230","Building System Improvement - Electrical Lighting Fixtures","P.S. 230 - BROOKLYN","1 ALBEMARLE ROAD","1150637","2015-12-30T00:00:00.000","3","11218","40.645017","-73.980761","12","39","498","3124109","3053230032","Kensington-Ocean Parkway                                                   "
"0LFL","Q085","Building System Improvement - Electrical Lighting Fixtures","P.S. 85 - QUEENS","23-70 31 STREET","877042","2015-12-30T00:00:00.000","4","11105","40.772863","-73.914708","1","22","115","4017485","4008420031","Steinway                                                                   "
"0LFM","M125","Building System Improvement - Electrical Lighting Fixtures","P.S. 125 - MANHATTAN","425 WEST 123 STREET","1163568","2015-12-30T00:00:00.000","1","10027","40.810431","-73.955809","9","7","20901","1059526","1019640012","Morningside Heights                                                        "
"0LFN","Q094","Building System Improvement - Electrical Lighting Fixtures","P.S. 94 - QUEENS","41-77 LITTLE NECK PKWY","823689","2015-12-30T00:00:00.000","4","11363","40.771186","-73.739252","11","19","1479","4169468","4081350029","Douglas Manor-Douglaston-Little Neck                                       "
"0LFO","Q097","Building System Improvement - Electrical Lighting Fixtures","P.S. 97 - QUEENS","85-52 85 STREET","1093726","2015-12-30T00:00:00.000","4","11421","40.694518","-73.859659","9","32","12","4181565","4088550020","Woodhaven                                                                  "
