"development","street_address","postcode","borough","bldg_number","tds_number","bin_number","no_of_floors","roof_space_sq_ft","estimated_roof_solar_capacity_kw","adjusted_value_kw","roof_condition_rating","no_of_residential_units","no_of_total_units","senior_development_yes_no","latitude","longitude","community_board","council_district","census_tract","bbl","nta","location_1"
"BARUCH","79 BARUCH DRIVE","10002","MANHATTAN","11","60","1078036","13","7880.58","45.29","31.7","5","65","65","No ","40.717575","-73.97819","3","2","1002","1003230001","Lower East Side                                                            ","(40.717575, -73.97819)"
"BARUCH","140 COLUMBIA STREET","10002","MANHATTAN","17","60","1078042","13","8401.7","49.78","34.85","5","67","67","No ","40.718555","-73.979463","3","2","1002","1003230001","Lower East Side                                                            ","(40.718555, -73.979463)"
"BARUCH","120 BARUCH DRIVE","10002","MANHATTAN","9","60","1078034","13","8423.85","50.03","35.02","Replaced 9/16","67","67","No ","40.718961","-73.977352","3","2","1002","1003230001","Lower East Side                                                            ","(40.718961, -73.977352)"
"BARUCH","525 FDR DRIVE","10002","MANHATTAN","4","60","1078030","13","8429.73","50.28","35.2","Replaced 9/16","67","67","No ","40.715502","-73.976372","3","2","1002","1003230001","Lower East Side                                                            ","(40.715502, -73.976372)"
"BARUCH","288 DELANCEY STREET","10002","MANHATTAN","13","60","1078038","13","9924.18","45.41","31.79","4.7","65","65","No ","40.715917","-73.97985","3","2","1002","1003230001","Lower East Side                                                            ","(40.715917, -73.97985)"
"BARUCH","64 BARUCH DRIVE","10002","MANHATTAN","5","60","1078031","13","8327.22","51.28","35.89","Replaced 9/16","67","67","No ","40.716323","-73.977764","3","2","1002","1003230001","Lower East Side                                                            ","(40.716323, -73.977764)"
"BARUCH","90 BARUCH DRIVE","10002","MANHATTAN","8","60","1078033","13","8427.34","35.68","35.68","Replaced 9/16","67","67","No ","40.718211","-73.97772","3","2","1002","1003230001","Lower East Side                                                            ","(40.718211, -73.97772)"
"BARUCH","605 FDR DRIVE","10002","MANHATTAN","1","60","1078027","7","7874.69","38.05","38.05","Replaced 9/16","35","35","No ","40.718356","-73.97521","3","2","1002","1003230001","Lower East Side                                                            ","(40.718356, -73.97521)"
"BARUCH","308 DELANCEY STREET","10002","MANHATTAN","6","60","1083421","13","8444.42","52.03","36.42","Replaced 9/16","67","67","No ","40.715519","-73.97854","3","2","1002","1003230001","Lower East Side                                                            ","(40.715519, -73.97854)"
"BARUCH","577 FDR DRIVE","10002","MANHATTAN","2","60","1078028","13","8406.93","49.03","34.32","Replaced 9/16","67","67","No ","40.717492","-73.975444","3","2","1002","1003230001","Lower East Side                                                            ","(40.717492, -73.975444)"
"BARUCH","120 COLUMBIA STREET","10002","MANHATTAN","16","60","1078041","13","8214.39","47.78","33.45","4.8","67","67","No ","40.718259","-73.979614","3","2","1002","1003230001","Lower East Side                                                            ","(40.718259, -73.979614)"
"BARUCH","79GAR BARUCH DRIVE","10002","MANHATTAN","19","60","1087112",,"643.41","0","0","N/A (garage)",,"0","Non-residential","40.717575","-73.97819","3","2","1002","1003230001","Lower East Side                                                            ","(40.717575, -73.97819)"
"BARUCH","105 BARUCH DRIVE","10002","MANHATTAN","10","60","1078035","13","8369.18","51.15","35.81","Replaced 9/16","67","67","No ","40.718697","-73.977475","3","2","1002","1003230001","Lower East Side                                                            ","(40.718697, -73.977475)"
"BARUCH","72 BARUCH DRIVE","10002","MANHATTAN","7","60","1078032","13","12632.43","33.19","33.19","Replaced 9/16","65","65","No ","40.716902","-73.978212","3","2","1002","1003230001","Lower East Side                                                            ","(40.716902, -73.978212)"
"BARUCH","555 FDR DRIVE","10002","MANHATTAN","3","60","1078029","13","8429.72","51.9","36.33","Replaced 9/16","67","67","No ","40.716726","-73.975802","3","2","1002","1003230001","Lower East Side                                                            ","(40.716726, -73.975802)"
"BARUCH","60 COLUMBIA STREET","10002","MANHATTAN","14","60","1078039","13","8143.13","48.03","33.62","4.8","67","67","No ","40.716755","-73.980405","3","2","1002","1003230001","Lower East Side                                                            ","(40.716755, -73.980405)"
"BERRY","18GAR DONGAN HILLS AVENUE","10306","STATEN ISLAND","9","52","5146061",,"707.11","0","0","5",,"0","Non-residential","40.588374","-74.101388","2","50","11401","5035320500","Old Town-Dongan Hills-South Beach                                          ","(40.588374, -74.101388)"
"BERRY","21 SEAVER AVENUE","10306","STATEN ISLAND","8","52","5109573","6","8819.88","37.06","37.06","Replaced 1/16","72","72","No ","40.586703","-74.103362","2","50","11401","5035320500","Old Town-Dongan Hills-South Beach                                          ","(40.586703, -74.103362)"
"BERRY","40 DONGAN HILLS AVENUE","10306","STATEN ISLAND","4","52","5109568","6","10870.84","45.79","32.05","Replaced 1/16","64","64","No ","40.58799","-74.100653","2","50","11401","5035320500","Old Town-Dongan Hills-South Beach                                          ","(40.58799, -74.100653)"
"BERRY","209 JEFFERSON STREET","10306","STATEN ISLAND","5","52","5109569","6","8850.05","28.45","28.45","Replaced 1/16","60","60","No ","40.586876","-74.100824","2","50","11401","5035320500","Old Town-Dongan Hills-South Beach                                          ","(40.586876, -74.100824)"
"BERRY","235 JEFFERSON STREET","10306","STATEN ISLAND","6","52","5109570","6","8935.68","37.3","37.3","Replaced 1/16","60","60","No ","40.58612","-74.101187","2","50","11401","5035320500","Old Town-Dongan Hills-South Beach                                          ","(40.58612, -74.101187)"
"BERRY","45 SEAVER AVENUE","10306","STATEN ISLAND","7","52","5109574","6","8870.81","27.95","27.95","Replaced 1/16","60","60","No ","40.586229","-74.10267","2","50","11401","5035320500","Old Town-Dongan Hills-South Beach                                          ","(40.586229, -74.10267)"
"BERRY","30 DONGAN HILLS AVENUE","10306","STATEN ISLAND","3","52","5109567","6","8264.34","29.44","29.44","Replaced 1/16","57","57","No ","40.588154","-74.100963","2","50","11401","5035320500","Old Town-Dongan Hills-South Beach                                          ","(40.588154, -74.100963)"
"BETHUNE GARDENS","1945 AMSTERDAM AVENUE","10032","MANHATTAN","1","160","1062490","22","7632.50","35.56","35.56","4.5","210","210","Yes","40.832498","-73.942294","12","7","239","1021070059","Washington Heights South                                                   ","(40.832498, -73.942294)"
"BRACETTI PLAZA","251 EAST 3RD STREET","10009","MANHATTAN","1","264","1004617","7","18337.72","123.39","86.37","5","108","108","No","40.722066","-73.981504","3","2","2601","1003860033","Lower East Side                                                            ","(40.722066, -73.981504)"
"CARVER","1545 MADISON AVENUE","10029","MANHATTAN","10","58","1078838","6","5590.87","25.58","25.58","1","48","48","No ","40.79261","-73.950223","11","8","168","1016100023","East Harlem South                                                          ","(40.79261, -73.950223)"
"CARVER","55 EAST 99TH STREET","10029","MANHATTAN","2","58","1082312","15","6675.53","36.93","36.93","Replaced 6/16","116","116","No ","40.789109","-73.952577","11","8","168","1016050024","East Harlem South                                                          ","(40.789109, -73.952577)"
"CARVER","65 EAST 99TH STREET","10029","MANHATTAN","1","58","1082313","15","6669.07","33.69","33.69","Replaced 6/16","120","120","No ","40.788974","-73.952259","11","8","168","1016050024","East Harlem South                                                          ","(40.788974, -73.952259)"
"CARVER","1410 PARK AVENUE","10029","MANHATTAN","11","58","1078839","6","5714.10","40.55","28.38","Replaced 6/16","48","48","No ","40.792028","-73.948566","11","8","168","1016100023","East Harlem South                                                          ","(40.792028, -73.948566)"
"CARVER","50 EAST 102ND STREET","10029","MANHATTAN","6","58","1079193","15","6635.28","44.67","31.27","Replaced 6/16","114","114","No ","40.791024","-73.951337","11","8","168","1016050024","East Harlem South                                                          ","(40.791024, -73.951337)"
"CARVER","60 EAST 102ND STREET","10029","MANHATTAN","5","58","1082314","15","10247.80","41.8","29.26","Replaced 6/16","118","118","No ","40.790826","-73.950864","11","8","168","1016050024","East Harlem South                                                          ","(40.790826, -73.950864)"
"CARVER","60 EAST 106TH STREET","10029","MANHATTAN","12","58","1078841","15","6519.63","38.8","38.8","Replaced 6/16","120","120","No ","40.793255","-73.948695","11","8","168","1016100023","East Harlem South                                                          ","(40.793255, -73.948695)"
"CARVER","55 EAST 102ND STREET","10029","MANHATTAN","7","58","1082659","15","6561.91","43.17","30.22","Replaced 6/16","112","112","No ","40.79084","-73.950853","11","8","168","1016080023","East Harlem South                                                          ","(40.79084, -73.950853)"
"CARVER","1330 PARK AVENUE","10029","MANHATTAN","4","58","1079192","6","5801.22","26.2","26.2","Replaced 6/16","48","48","No ","40.789437","-73.950453","11","8","168","1016050024","East Harlem South                                                          ","(40.789437, -73.950453)"
"CARVER","60 EAST 104TH STREET","10029","MANHATTAN","8","58","1082661","15","6524.31","33.94","33.94","Replaced 6/16","120","120","No ","40.791929","-73.949599","11","8","168","1016080023","East Harlem South                                                          ","(40.791929, -73.949599)"
"CARVER","50 EAST 106TH STREET","10029","MANHATTAN","13","58","1078840","15","10908.65","40.05","28.03","Replaced 6/16","114","114","No ","40.793419","-73.949089","11","8","168","1016100023","East Harlem South                                                          ","(40.793419, -73.949089)"
"CARVER","50 EAST 104TH STREET","10029","MANHATTAN","9","58","1082660","15","6527.94","45.91","32.14","Replaced 6/16","120","120","No ","40.792141","-73.950097","11","8","168","1016080023","East Harlem South                                                          ","(40.792141, -73.950097)"
"CARVER","1465 MADISON AVENUE","10029","MANHATTAN","3","58","1082315","6","6688.88","25.95","25.95","Replaced 6/16","48","48","No ","40.789888","-73.952204","11","8","168","1016050024","East Harlem South                                                          ","(40.789888, -73.952204)"
"CHELSEA ADDITION","436 WEST 27TH DRIVE","10001","MANHATTAN","1","176","1012827","14","15671.72","12.6","12.6","4.9","96","96","Yes","40.749773","-74.001252","4","3","97","1007240010","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","(40.749773, -74.001252)"
"CONLON LIHFE TOWER","92-33 170TH STREET","11433","QUEENS","1","232","4457492","13","11007.16","41.17","28.82","2","214","216","Yes","40.706193","-73.789136","12","27","444","4102120033","Jamaica                                                                    ","(40.706193, -73.789136)"
"CORSI HOUSES","306 EAST 117TH STREET","10035","MANHATTAN","1","199","1079357","16","13320.5","38.46","38.46","3","171","171","Yes","40.797489","-73.936856","11","8","188","1016880045","East Harlem North                                                          ","(40.797489, -73.936856)"
"CORSI HOUSES","306 EAST 117TH STREET","10035","MANHATTAN","1","199","1079358","16","6731.02","19.43","19.43","5","171","171","Yes","40.797489","-73.936856","11","8","188","1016880045","East Harlem North                                                          ","(40.797489, -73.936856)"
"EAST 152ND STREET-COURTLANDT AVENUE","370 EAST 153RD STREET","10455","BRONX","2","237","2088143","11","9004.50","54.4","38.08","Replaced 1/16","91","91","No","40.819218","-73.917795","1","17","67","2023990010","Melrose South-Mott Haven North                                             ","(40.819218, -73.917795)"
"EAST 152ND STREET-COURTLANDT AVENUE","372 EAST 152ND STREET","10455","BRONX","1","237","2090413","14","8671.76","33.06","33.06","Replaced 1/16","130","130","Yes","40.818516","-73.91793","1","17","67","2023980014","Melrose South-Mott Haven North                                             ","(40.818516, -73.91793)"
"EAST 180TH STREET-MONTEREY AVENUE","2111 LAFONTAINE AVENUE","10457","BRONX","1","208","2011855","10","22345.12","159.32","111.53","5","239","239","No","40.850185","-73.892137","6","15","37504","2030620021","East Tremont                                                               ","(40.850185, -73.892137)"
"EAST 180TH STREET-MONTEREY AVENUE","2120 QUARRY ROAD","10457","BRONX","2","208","2011852","1","11032.23","42.42","29.69","3","0","0","Non-residential","40.851045","-73.893292","6","15","37504","2030620006","East Tremont                                                               ","(40.851045, -73.893292)"
"ELLIOTT","466 WEST 26TH STREET","10001","MANHATTAN","2","15","1083578","11","9546.05","66.62","46.64","5","142","142","No","40.74943","-74.002422","4","3","93","1007230001","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","(40.74943, -74.002422)"
"ELLIOTT","446 WEST 26TH STREET","10001","MANHATTAN","3","15","1083579","11","9566.17","66.87","46.81","5","142","142","No","40.749251","-74.001996","4","3","93","1007230001","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","(40.749251, -74.001996)"
"ELLIOTT","427 WEST 26TH STREET","10001","MANHATTAN","4","15","1012828","12","10284.11","56.52","39.56","4.1","162","162","No","40.749056","-74.00148","4","3","97","1007240015","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","(40.749056, -74.00148)"
"ELLIOTT","459 WEST 26TH STREET","10001","MANHATTAN","1","15","1083583","1","7549.70","0.00","0.00","N/A","0","0","Non-residential","40.74938","-74.002252","4","3","97","1007240001","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","(40.74938, -74.002252)"
"ELLIOTT","288 10TH AVENUE","10001","MANHATTAN","1","15","1083582","12","9895.21","73.36","51.35","4.6","161","162","No","40.75005","-74.002436","4","3","97","1007240001","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","(40.75005, -74.002436)"
"FOREST","980 TRINITY AVENUE","10456","BRONX","15","59","2091968","9","6685.5","41.05","28.73","5","63","63","No","40.824177","-73.905371","3","16","133","2026390001","Morrisania-Melrose                                                         ","(40.824177, -73.905371)"
"FOREST","735 EAST 163RD STREET","10456","BRONX","13","59","2091966","9","6964.9","41.67","29.17","5","80","81","No","40.823053","-73.90452","3","16","133","2026390001","Morrisania-Melrose                                                         ","(40.823053, -73.90452)"
"FOREST","965 TINTON AVENUE","10456","BRONX","11","59","2091965","14","12154.12","46.41","32.49","4","108","108","No","40.823357","-73.902882","3","16","133","2026390001","Morrisania-Melrose                                                         ","(40.823357, -73.902882)"
"FOREST","735 EAST 165TH STREET","10456","BRONX","3","59","2091970","14","6651.61","47.04","32.93","4.9","111","111","No","40.825043","-73.903859","3","16","135","2026400001","Morrisania-Melrose                                                         ","(40.825043, -73.903859)"
"FOREST","770 EAST 165TH STREET","10456","BRONX","8","59","2091962","9","7942.69","47.16","33.01","4.9","87","87","No","40.82482","-73.903003","3","16","133","2026390001","Morrisania-Melrose                                                         ","(40.82482, -73.903003)"
"FOREST","730 EAST 166TH STREET","10456","BRONX","4","59","2091971","9","7072.93","43.29","30.31","4.9","72","72","No","40.826645","-73.903333","3","16","135","2026400001","Morrisania-Melrose                                                         ","(40.826645, -73.903333)"
"FOREST","765 EAST 165TH STREET","10456","BRONX","7","59","2091974","9","6970.16","44.79","31.35","3.9","72","72","No","40.824836","-73.902996","3","16","135","2026400001","Morrisania-Melrose                                                         ","(40.824836, -73.902996)"
"FOREST","730 EAST 165TH STREET","10456","BRONX","12","59","2097876","14","6587.42","43.04","30.13","3.9","111","111","No","40.825079","-73.90408","3","16","133","2026390001","Morrisania-Melrose                                                         ","(40.825079, -73.90408)"
"FOREST","1000 TRINITY AVENUE","10456","BRONX","1","59","2091961","14","10421.20","39.55","39.55","4.4","107","108","No","40.824865","-73.905084","3","16","133","2026390001","Morrisania-Melrose                                                         ","(40.824865, -73.905084)"
"FOREST","760 EAST 166TH STREET","10456","BRONX","6","59","2091973","9","6984.76","44.42","31.09","4.9","72","72","No","40.826383","-73.90221","3","16","135","2026400001","Morrisania-Melrose                                                         ","(40.826383, -73.90221)"
"FOREST","765 EAST 163RD STREET","10456","BRONX","10","59","2091964","14","13565.98","58.27","40.79","4.9","104","104","No","40.822869","-73.903739","3","16","133","2026390001","Morrisania-Melrose                                                         ","(40.822869, -73.903739)"
"FOREST","695 EAST 163RD STREET","10456","BRONX","14","59","2091967","10","6685.40","41.05","28.73","4.1","67","67","No","40.823197","-73.905105","3","16","133","2026390001","Morrisania-Melrose                                                         ","(40.823197, -73.905105)"
"FOREST","1020 TRINITY AVENUE","10456","BRONX","2","59","2091975","14","6795.22","38.30","38.30","4.9","111","111","No","40.82545","-73.904849","3","16","135","2026400001","Morrisania-Melrose                                                         ","(40.82545, -73.904849)"
"FOREST","975 TINTON AVENUE","10456","BRONX","9","59","2091963","9","6980.23","43.42","30.39","4.9","72","72","No","40.823573","-73.902795","3","16","133","2026390001","Morrisania-Melrose                                                         ","(40.823573, -73.902795)"
"FOREST","750 EAST 166TH STREET","10456","BRONX","5","59","2091972","14","6656.25","46.91","32.84","4.9","111","111","No","40.826505","-73.902722","3","16","135","2026400001","Morrisania-Melrose                                                         ","(40.826505, -73.902722)"
"FORT INDEPENDENCE STREET-HEATH AVENUE","3340 BAILEY AVENUE","10463","BRONX","1","197","2086835","21","25893.22","147.35","103.14","4.7","342","344","No","40.879929","-73.900869","8","14","277","2032610102","Van Cortlandt Village                                                      ","(40.879929, -73.900869)"
"FORT WASHINGTON AVENUE REHAB","99 FORT WASHINGTON AVENUE","10032","MANHATTAN","1","309","1063346","7","42715.46","152.68","106.87","2.7","226","226","Yes","40.83851","-73.943738","12","7","247","1021360235","Washington Heights South                                                   ","(40.83851, -73.943738)"
"GARVEY (GROUP A)","10 AMBOY STREET","11212","BROOKLYN","2","252","3251969","14","16469.45","56.52","39.56","3","117","118","No","40.670286","-73.914821","16","41","902","3034940010","Brownsville                                                                ","(40.670286, -73.914821)"
"GARVEY (GROUP A)","20 AMBOY STREET","11212","BROOKLYN","4","252","3000000","2","5877.93","4.49","4.49","3","0","0","Non-residential","40.670058","-73.91476","16","41","902","3034940010","Brownsville                                                                ","(40.670058, -73.91476)"
"GARVEY (GROUP A)","1440 EAST NEW YORK AVENUE","11212","BROOKLYN","1","252","3080727","6","9627.62","81.1","56.77","3","86","86","Yes","40.670654","-73.914575","16","41","902","3034960013","Brownsville                                                                ","(40.670654, -73.914575)"
"GARVEY (GROUP A)","1400 EAST NEW YORK AVENUE","11212","BROOKLYN","3","252","3333363","14","13954.77","69.62","48.73","3","117","117","No","40.670105","-73.915827","16","41","902","3034940010","Brownsville                                                                ","(40.670105, -73.915827)"
"GLENMORE PLAZA","109 CHRISTOPHER AVENUE","11212","BROOKLYN","4","171","3326947","18","6495.82","41.42","29","Replaced 10/15","124","124","No","40.671015","-73.906179","16","37","908","3037090001","Brownsville                                                                ","(40.671015, -73.906179)"
"GLENMORE PLAZA","89 CHRISTOPHER AVENUE","11212","BROOKLYN","3","171","3326949","18","6760","42.79","29.96","Replaced 10/15","124","124","No","40.671553","-73.906319","16","37","908","3037090001","Brownsville                                                                ","(40.671553, -73.906319)"
"GLENMORE PLAZA","108 CHRISTOPHER AVENUE","11212","BROOKLYN","2","171","3326948","24","6448.09","26.95","26.95","Replaced 10/15","137","138","No","40.671012","-73.906201","16","37","908","3037090001","Brownsville                                                                ","(40.671012, -73.906201)"
"GLENMORE PLAZA","360 MOTHER GASTON BOULEVARD","11212","BROOKLYN","1","171","3080766","10","5930.93","38.3","38.3","Replaced 10/15","54","54","No","40.670439","-73.90706","16","37","906","3035070001","Brownsville                                                                ","(40.670439, -73.90706)"
"GLENWOOD","901 EAST 56TH STREET","11234","BROOKLYN","5","44","3331017","6","8113.94","40.3","28.21","Replaced 10/16","30","30","No","40.634255","-73.922685","18","45","94402","3079780001","Flatlands                                                                  ","(40.634255, -73.922685)"
"GLENWOOD","5712 FARRAGUT ROAD","11234","BROOKLYN","10","44","3331019","6","8221.01","38.93","38.93","Replaced 10/16","60","60","No","40.636283","-73.921476","18","45","94402","3079780001","Flatlands                                                                  ","(40.636283, -73.921476)"
"GLENWOOD","5812 FARRAGUT ROAD","11234","BROOKLYN","15","44","3331003","6","8344.28","30.19","30.19","Replaced 10/16","60","60","No","40.636727","-73.920611","18","45","94402","3079780001","Flatlands                                                                  ","(40.636727, -73.920611)"
"GLENWOOD","5802 FARRAGUT ROAD","11234","BROOKLYN","11","44","3331009","6","8358.21","36.68","36.68","Replaced 10/16","60","60","No","40.636606","-73.920842","18","45","94402","3079780001","Flatlands                                                                  ","(40.636606, -73.920842)"
"GLENWOOD","5704 FARRAGUT ROAD","11234","BROOKLYN","6","44","3331018","6","8465.19","39.55","39.55","Replaced 10/16","60","60","No","40.636132","-73.921775","18","45","94402","3079780001","Flatlands                                                                  ","(40.636132, -73.921775)"
"GLENWOOD","5624 FARRAGUT ROAD","11234","BROOKLYN","7","44","3331008","6","8098.64","35.56","35.56","Replaced 10/16","60","60","No","40.635885","-73.922219","18","45","94402","3079780001","Flatlands                                                                  ","(40.635885, -73.922219)"
"GLENWOOD","5804 FARRAGUT ROAD","11234","BROOKLYN","14","44","3339410","6","8255.36","39.8","39.8","Replaced 10/16","60","60","No","40.63668","-73.920701","18","45","94402","3079780001","Flatlands                                                                  ","(40.63668, -73.920701)"
"GLENWOOD","1690 RALPH AVENUE","11236","BROOKLYN","19","44","3331005","6","8255.34","38.3","38.3","Replaced 10/16","60","60","No","40.63534","-73.918955","18","45","94402","3079780001","Flatlands                                                                  ","(40.63534, -73.918955)"
"GLENWOOD","1722 RALPH AVENUE","11236","BROOKLYN","18","44","3331015","6","8255.35","38.55","38.55","Replaced 10/16","60","60","No","40.634804","-73.918898","18","45","94402","3079780001","Flatlands                                                                  ","(40.634804, -73.918898)"
"GLENWOOD","5721 AVENUE H","11234","BROOKLYN","8","44","3331011","6","8447.38","41.3","28.91","Replaced 10/16","60","60","No","40.633337","-73.920712","18","45","94402","3079780001","Flatlands                                                                  ","(40.633337, -73.920712)"
"GLENWOOD","5610 FARRAGUT ROAD","11234","BROOKLYN","3","44","3331007","6","8177.91","38.43","38.43","Replaced 10/16","60","60","No","40.635806","-73.922363","18","45","94402","3079780001","Flatlands                                                                  ","(40.635806, -73.922363)"
"GLENWOOD","1672 RALPH AVENUE","11236","BROOKLYN","20","44","3331014","6","8221.03","36.56","36.56","Replaced 10/16","57","57","No","40.635779","-73.919005","18","45","94402","3079780001","Flatlands                                                                  ","(40.635779, -73.919005)"
"GLENWOOD","885 EAST 56TH STREET","11234","BROOKLYN","2","44","3331002","6","8479.93","41.17","28.82","Replaced 10/16","60","60","No","40.634615","-73.922725","18","45","94402","3079780001","Flatlands                                                                  ","(40.634615, -73.922725)"
"GLENWOOD","5903 GLENWOOD ROAD","11234","BROOKLYN","13","44","3331021","6","8255.35","41.3","28.91","Replaced 10/16","60","60","No","40.633943","-73.919706","18","45","94402","3079780001","Flatlands                                                                  ","(40.633943, -73.919706)"
"GLENWOOD","5808 FARRAGUT ROAD","11234","BROOKLYN","17","44","3331020","6","8221.03","37.93","37.93","Replaced 10/16","60","60","No","40.636702","-73.920654","18","45","94402","3079780001","Flatlands                                                                  ","(40.636702, -73.920654)"
"GLENWOOD","5705 AVENUE H","11234","BROOKLYN","4","44","3331006","6","11600.56","40.05","28.03","Replaced 10/16","54","54","No","40.633299","-73.921411","18","45","94402","3079780001","Flatlands                                                                  ","(40.633299, -73.921411)"
"GLENWOOD","5801 GLENWOOD ROAD","11234","BROOKLYN","9","44","3331004","6","8184.44","39.68","39.68","Replaced 10/16","60","60","No","40.633359","-73.920647","18","45","94402","3079780001","Flatlands                                                                  ","(40.633359, -73.920647)"
"GLENWOOD","5907 GLENWOOD ROAD","11234","BROOKLYN","16","44","3331013","6","11018.63","46.16","32.31","Replaced 10/16","57","57","No","40.634014","-73.919591","18","45","94402","3079780001","Flatlands                                                                  ","(40.634014, -73.919591)"
