"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_est_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"3-06739-0006","1289 19 STREET
Brooklyn, NY 
(40.581853912494, -73.986991963883)","3",,,,,,,,,,"MIDWOOD","D4-ELEVATOR","52","1931","60036","657940","10.96","2040000","34","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","330990","13.2","775000","30.9","1.2","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4738227","44","23800000","221","2.1"
"3-05060-0008","55 PARADE PLACE
Brooklyn, NY 
(40.651736768813, -73.965183055765)","3","11226","40.651617","-73.965144","14","40","50804","3116111","3050600008","Flatbush                                                                   ","FLATBUSH-CENTRAL","D4-ELEVATOR","73","1927","85716","816610","9.53","2330000","27.2","3-05670-0047","1379 54 STREET
Brooklyn, NY 
(40.631225672155, -73.993284116546)","BOROUGH PARK","C7-WALK-UP","11","1916","22500","382764","17.01","1520000","68","2.05","3-05024-0063","526 FLATBUSH AVENUE
Brooklyn, NY 
(40.661320254035, -73.961214173092)","FLATBUSH-LEFFERTS GARDEN","C1-WALK-UP","16","1931","7596","135817","17.88","538000","71","0.7"
"3-08722-0474","1150 BRIGHTON BEACH AVENU
Brooklyn, NY 
(40.577534761172, -73.95557643355)","3","11235","40.577631","-73.955718","13","48","61002","3245727","3087220474","Brighton Beach                                                             ","BRIGHTON BEACH","D4-ELEVATOR","159","1935","162957","1711048","10.5","5320000","32.6","3-07282-0062","3100 OCEAN PARKWAY
Brooklyn, NY 
(40.576069343424, -73.968910410798)","CONEY ISLAND","D7-ELEVATOR","169","1932","192000","1957833","10.2","6080000","31.7","0.75","3-08710-0035","10 SHORE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","SHEEPSHEAD BAY","D7-ELEVATOR","148","1938","188000","2019675","10.74","6280000","33.4","0.4"
"3-02431-0036","151 4 STREET
Brooklyn, NY 
(40.676675865465, -73.992987153195)","3",,,,,,,,,,"WILLIAMSBURG-SOUTH","C6-WALK-UP","25","1906","20500","157850","7.7","370000","18.05","3-02417-0021","326 BEDFORD AVENUE
Brooklyn, NY 
(40.713262802712, -73.96212277846)","WILLIAMSBURG-SOUTH","C7-WALK-UP","35","1915","25176","199400","7.92","515000","20.46","0.1","3-02433-0032","233 4 STREET
Brooklyn, NY 
(40.672630153403, -73.984623779187)","WILLIAMSBURG-SOUTH","C7-WALK-UP","13","1910","12300","94118","7.65","243000","19.76","0.2"
"3-00259-0047","30 WILLOW PLACE
Brooklyn, NY 
(40.693145764041, -73.997863514126)","3","11201","40.693069","-73.997876","2","33","7","3002298","3002590047","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","C6-WALK-UP","15","1900","13925","380513","27.3","1820000","131","3-00183-0047","373 PACIFIC STREET
Brooklyn, NY 
(40.686579704177, -73.985884576877)","BOERUM HILL","C1-WALK-UP","14","1930","10375","313038","30.2","1500000","145","0.75","3-00258-0048","42 COLUMBIA PLACE
Brooklyn, NY 
(40.693128738124, -73.998639305863)","BROOKLYN HEIGHTS","C1-WALK-UP","20","1900","11160","348084","31.2","1670000","150","0.05"
"3-05853-0001","6735 RIDGE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11220","40.638041","-74.028036","10","43","70","3144595","3058530001","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","108","1928","120594","1336182","11.08","4150000","34.4","3-05904-0001","1 74 STREET
Brooklyn, NY 
(40.634340009239, -74.036718915504)","BAY RIDGE","D1-ELEVATOR","102","1938","112140","1421122","12.67","4900000","43.7","0.5","3-06069-0004","8831 FT HAMILTON PARKWAY
Brooklyn, NY 
(40.619188475173, -74.025517745718)","BAY RIDGE","D1-ELEVATOR","122","1931","129024","1224908","9.49","3490000","27","1.3"
"3-01179-0108","175 EASTERN PARKWAY
Brooklyn, NY 
(40.672045357264, -73.963478967446)","3","11238","40.671895","-73.963248","8","35","215","3029640","3011790108","Prospect Heights                                                           ","PROSPECT HEIGHTS","D4-ELEVATOR","78","1922","85000","1245837","14.66","4550000","54","3-01078-0016","530 2 STREET
Brooklyn, NY 
(40.670711051002, -73.977282710454)","PARK SLOPE","D1-ELEVATOR","47","1920","39261","571250","14.55","2090000","53","0.65","3-01361-0043","1248 ST MARK'S AVENUE
Brooklyn, NY 
(40.673981012962, -73.928175766891)","CROWN HEIGHTS","D1-ELEVATOR","48","1926","37400","591587","15.82","2340000","63","1.9"
"3-06252-0042","7714 BAY PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11214","40.606704","-73.988882","11","44","270","3161648","3062520042","Bensonhurst West                                                           ","BENSONHURST","D4-ELEVATOR","47","1937","48000","617700","12.87","2250000","46.9","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","330990","13.2","775000","30.9","1.35","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4738227","44","23800000","221","3.85"
"3-00254-0019","245 HENRY STREET
Brooklyn, NY 
(40.693152471111, -73.995030396519)","3","11201","40.693222","-73.995034","2","33","502","3002223","3002540019","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","56","1957","58803","861870","14.66","3150000","54","3-01078-0016","530 2 STREET
Brooklyn, NY 
(40.670711051002, -73.977282710454)","PARK SLOPE","D1-ELEVATOR","47","1920","39261","571250","14.55","2090000","53","1.85","3-02789-0011","740 GRAND STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-EAST","D5-ELEVATOR","27","1920","48000","848025","17.67","3360000","70","2.95"
"3-08806-0150","3080 VOORHIES AVENUE
Brooklyn, NY 
(40.587948517106, -73.933303341066)","3","11235","40.587971","-73.93327","15","48","598","3321826","3088060150","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","SHEEPSHEAD BAY","D4-ELEVATOR","153","1966","157500","2042775","12.97","7460000","47.4","3-07235-0001","2612 WEST STREET
Brooklyn, NY 
(40.586035845351, -73.969409550361)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","240","1951","194880","2826236","14.5","9750000","50","1.95","3-07179-0058","2375 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","135","1957","112320","1581612","14.08","5770000","51","1.85"
"3-05046-0018","150 HAWTHORNE STREET
Brooklyn, NY 
(40.657500071538, -73.955324612568)","3","11225","40.657529","-73.955215","9","40","802","3115699","3050460018","Prospect Lefferts Gardens-Wingate                                          ","FLATBUSH-LEFFERTS GARDEN","D4-ELEVATOR","100","1963","76338","916060","12","3160000","41.4","3-05670-0047","1379 54 STREET
Brooklyn, NY 
(40.631225672155, -73.993284116546)","BOROUGH PARK","C7-WALK-UP","11","1916","22500","382764","17.01","1520000","68","2.7","3-05024-0063","526 FLATBUSH AVENUE
Brooklyn, NY 
(40.661320254035, -73.961214173092)","FLATBUSH-LEFFERTS GARDEN","C1-WALK-UP","16","1931","7596","135817","17.88","538000","71","0.5"
"3-05280-0047","112 2 STREET
Brooklyn, NY 
(40.677697865902, -73.991774392129)","3",,,,,,,,,,"WINDSOR TERRACE","D4-ELEVATOR","114","1940","149760","1385190","9.25","3950000","26.4","3-05287-0001","10 OCEAN PARKWAY
Brooklyn, NY 
(40.650883106629, -73.973247379521)","WINDSOR TERRACE","D1-ELEVATOR","133","1927","136362","1402414","10.28","4360000","32","0.4","3-05279-0043","829 GREENWOOD AVENUE
Brooklyn, NY 
(40.652297321362, -73.973630891536)","WINDSOR TERRACE","D1-ELEVATOR","135","1982","104640","2198318","21.01","9550000","91","0.45"
"3-03384-0006","463 WILSON AVENUE
Brooklyn, NY 
(40.692988656805, -73.912103090749)","3","11221","40.692989","-73.912145","4","37","435","3077626","3033840006","Bushwick North                                                             ","BUSHWICK","C6-WALK-UP","44","1928","31184","249472","8","584000","18.73","3-03412-0018","1230 HALSEY STREET
Brooklyn, NY 
(40.692102208722, -73.908919044426)","BUSHWICK","C1-WALK-UP","16","1905","14080","113000","8.03","292000","20.74","0.2","3-03235-0040","1441 DE KALB AVENUE
Brooklyn, NY 
(40.700508665466, -73.922994673696)","BUSHWICK","C1-WALK-UP","16","1931","16133","154223","9.56","398000","24.67","0.8"
"3-06104-0017","20 93 STREET
Brooklyn, NY 
(40.618653590604, -74.039100128167)","3",,,,,,,,,,"BAY RIDGE","D4-ELEVATOR","36","1935","40320","533433","13.23","1950000","48.4","3-06060-0032","8802 RIDGE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BAY RIDGE","D1-ELEVATOR","48","1935","46488","667193","14.35","2440000","52","0.3","3-05389-0067","623 5 STREET
Brooklyn, NY 
(40.667612575809, -73.975981311235)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","48","1932","41963","508339","12.11","1750000","41.7","3.6"
"3-01164-0051","250 PARK PLACE
Brooklyn, NY 
(40.676840119683, -73.9696287993)","3","11238","40.676926","-73.969897","8","35","163","3029057","3011640051","Prospect Heights                                                           ","PROSPECT HEIGHTS","C6-WALK-UP","16","1915","16160","281463","17.42","1110000","69","3-00975-0017","390 2 STREET
Brooklyn, NY 
(40.672989449655, -73.982007426881)","PARK SLOPE","C1-WALK-UP","16","1920","16752","360679","21.53","1570000","94","0.65","3-00312-0038","251 KANE STREET
Brooklyn, NY 
(40.685718503009, -73.995134752658)","COBBLE HILL","C1-WALK-UP","12","1910","11000","188687","17.15","747000","68","1.45"
"3-08820-0007","2241 PLUMB 1 STREET
Brooklyn, NY 
(40.59812181407, -73.93261151674)","3","11229","40.598664","-73.932723","15","46","570","3248255","3088200007","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","MARINE PARK","D4-ELEVATOR","108","1957","118443","1704394","14.39","6220000","53","3-07179-0058","2375 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","135","1957","112320","1581612","14.08","5770000","51","1.9","3-07011-0011","2828 28 STREET
Brooklyn, NY 
(40.575693988233, -73.99435949186)","CONEY ISLAND","D1-ELEVATOR","122","1972","102000","1499696","14.7","3510000","34.4","3.65"
"3-06137-0001","10116 4 AVENUE
Brooklyn, NY 
(40.612001275564, -74.034409039653)","3","11209","40.611914","-74.034443","10","43","5602","3342200","3061370001","Bay Ridge                                                                  ","BAY RIDGE","C6-WALK-UP","70","1983","47628","508190","10.67","1580000","33.2","3-05877-0001","6917 8 AVENUE
Brooklyn, NY 
(40.63022706272, -74.014982754952)","BAY RIDGE","C7-WALK-UP","55","1926","56800","568663","10.01","1620000","28.5","1.6","3-06019-0041","8302 6 AVENUE
Brooklyn, NY 
(40.622159998714, -74.022735150559)","BAY RIDGE","C1-WALK-UP","39","1925","31080","352008","11.33","1090000","35.1","0.9"
"3-01264-0046","773 EASTERN PARKWAY
Brooklyn, NY 
(40.669659159239, -73.942664426507)","3","11213","40.669452","-73.94294","8","35","337","3032783","3012640046","Crown Heights North                                                        ","CROWN HEIGHTS","C6-WALK-UP","16","1905","11500","104650","9.1","245000","21.3","3-01305-0060","271 SULLIVAN PLACE
Brooklyn, NY 
(40.664593383482, -73.952946382725)","CROWN HEIGHTS","C1-WALK-UP","23","1927","25440","232732","9.15","664000","26.1","0.6","3-01292-0007","1324 CARROLL STREET
Brooklyn, NY 
(40.666845122883, -73.945133012881)","CROWN HEIGHTS","C1-WALK-UP","33","1923","35496","317885","8.96","820000","23.1","0.25"
"3-00217-0001","75 HENRY STREET
Brooklyn, NY 
(40.698643494558, -73.992400314335)","3","11201","40.698597","-73.992452","2","33","1","3326019","3002170001","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","370","1967","593599","8333477","14.04","30400000","51","3-00236-0015","55 PIERREPONT STREET
Brooklyn, NY 
(40.695829631478, -73.995231517766)","BROOKLYN HEIGHTS","D7-ELEVATOR","191","1928","157042","2462596","15.68","5760000","36.7","0.25","3-05155-0050","405 WESTMINSTER ROAD
Brooklyn, NY 
(40.639024303267, -73.966828882476)","FLATBUSH-CENTRAL","D1-ELEVATOR","138","1960","153424","1883105","12.27","6500000","42.4","4.35"
"3-06888-0006","8835 23 AVENUE
Brooklyn, NY 
(40.595909433594, -73.996405288616)","3","11214","40.595849","-73.996514","11","47","304","3186506","3068880006","Bensonhurst East                                                           ","GRAVESEND","D4-ELEVATOR","59","1927","42840","566773","13.23","2070000","48.3","3-05389-0067","623 5 STREET
Brooklyn, NY 
(40.667612575809, -73.975981311235)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","48","1932","41963","508339","12.11","1750000","41.7","3.05",,,,,,,,,,,,
"3-06772-0001","3619 BEDFORD AVENUE
Brooklyn, NY 
(40.614003501863, -73.949265072167)","3","11210","40.613909","-73.949272","14","48","642","3182230","3067720001","Madison                                                                    ","MIDWOOD","D4-ELEVATOR","79","1937","87862","831460","9.46","2370000","27","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","330990","13.2","775000","30.9","1.1","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4738227","44","23800000","221","1.65"
"3-00254-0001","114 CLINTON STREET
Brooklyn, NY 
(40.693117673014, -73.993010441502)","3","11201","40.693173","-73.992957","2","33","502","3002212","3002540001","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","38","1924","48138","751665","15.61","2980000","62","3-00242-0018","191 HICKS STREET
Brooklyn, NY 
(40.695860194821, -73.995523572853)","BROOKLYN HEIGHTS","D9-ELEVATOR","19","1920","24528","429871","17.53","1700000","69","0.15","3-01948-0040","91 CLIFTON PLACE
Brooklyn, NY 
(40.688104504418, -73.960469215355)","CLINTON HILL","D5-ELEVATOR","22","1920","22500","349697","15.54","1380000","61","1.8"
"3-06796-0017","1730 14 STREET
Brooklyn, NY 
(40.607324969984, -73.958996347677)","3",,,,,,,,,,"MADISON","D4-ELEVATOR","84","1961","68500","939245","13.71","3430000","50","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","330990","13.2","775000","30.9","0.35","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4738227","44","23800000","221","2.25"
"3-01179-0061","125 EASTERN PARKWAY
Brooklyn, NY 
(40.672437926977, -73.964839553069)","3","11238","40.672442","-73.965165","8","35","215","3029629","3011790061","Prospect Heights                                                           ","PROSPECT HEIGHTS","D4-ELEVATOR","51","1923","50622","741962","14.66","2710000","54","3-01078-0016","530 2 STREET
Brooklyn, NY 
(40.670711051002, -73.977282710454)","PARK SLOPE","D1-ELEVATOR","47","1920","39261","571250","14.55","2090000","53","0.65","3-01361-0043","1248 ST MARK'S AVENUE
Brooklyn, NY 
(40.673981012962, -73.928175766891)","CROWN HEIGHTS","D1-ELEVATOR","48","1926","37400","591587","15.82","2340000","63","1.9"
"3-00237-0017","153 HENRY STREET
Brooklyn, NY 
(40.696037574859, -73.993648540566)","3","11201","40.696203","-73.993613","2","33","502","3001883","3002370017","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","74","1928","49013","1037434","21.17","4500000","92","3-01251-0001","243 KINGSTON AVENUE
Brooklyn, NY 
(40.671576431153, -73.941944587158)","CROWN HEIGHTS","D9-ELEVATOR","80","1910","54516","1164497","21.36","2730000","50","3.2","3-01177-0007","781 WASHINGTON AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","CROWN HEIGHTS","D5-ELEVATOR","63","1920","47925","1017829","21.24","2380000","49.7","2.3"
"3-01098-0001","420 12 STREET
Brooklyn, NY 
(40.66477032388, -73.982479280839)","3",,,,,,,,,,"PARK SLOPE","C6-WALK-UP","70","1970","109380","2015154","18.42","7980000","73","3-01924-0036","226 TAAFFE PLACE
Brooklyn, NY 
(40.692100579494, -73.959814258993)","BEDFORD STUYVESANT","C1-WALK-UP","110","1935","130000","2595197","19.96","11300000","87","2.2","3-03615-0001","165 LOTT AVENUE
Brooklyn, NY 
(40.658001346714, -73.907596404937)","BROWNSVILLE","C1-WALK-UP","104","1986","101127","1305496","12.91","4770000","47.2","3.95"
"3-00241-0028","20 PIERREPONT STREET
Brooklyn, NY 
(40.696076184735, -73.996317409596)","3","11201","40.696072","-73.996224","2","33","301","3001950","3002410028","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","24","1934","29100","491257","16.88","1940000","67","3-00242-0018","191 HICKS STREET
Brooklyn, NY 
(40.695860194821, -73.995523572853)","BROOKLYN HEIGHTS","D9-ELEVATOR","19","1920","24528","429871","17.53","1700000","69","0.1","3-00268-0039","54 LIVINGSTON STREET
Brooklyn, NY 
(40.691755872569, -73.992085899688)","BROOKLYN HEIGHTS","D9-ELEVATOR","32","1900","21040","408390","19.41","1770000","84","0.35"
"3-06681-0415","1802 OCEAN PARKWAY
Brooklyn, NY 
(40.604687768398, -73.967081100248)","3","11223","40.604451","-73.966742","15","47","41402","3178659","3066810415","Homecrest                                                                  ","OCEAN PARKWAY-SOUTH","D4-ELEVATOR","113","1926","138600","1600800","11.55","5520000","39.8","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","330990","13.2","775000","30.9","0.15","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4738227","44","23800000","221","2.7"
"3-06329-0067","2021 84 STREET
Brooklyn, NY 
(40.605501203002, -73.996572625718)","3","11214","40.605384","-73.996391","11","47","288","3165243","3063290067","Bensonhurst West                                                           ","BENSONHURST","D4-ELEVATOR","65","1963","50800","741680","14.6","2710000","53","3-06382-0006","2225 BENSON AVENUE
Brooklyn, NY 
(40.599769304263, -73.994767031686)","GRAVESEND","D1-ELEVATOR","69","1960","52542","713420","13.58","2600000","49.5","0.35","3-05881-0038","15 MACKAY PLACE
Brooklyn, NY 
(40.637146571273, -74.035450291167)","BAY RIDGE","D1-ELEVATOR","69","1960","50400","763379","15.15","3020000","60","3.05"
