"cb_link_id","boro","community_board","council_district","latitude","longitude","link_installation_status","smallest_ppt","street_address","postcode","link_site_id","link_smoke_tested_and_activated_a","link_installation","neighborhood_tabulation_area_nta","building_identification_number_bin","borough_block_lot_bbl","census_tract_ct","cross_street_1","cross_street_2","ixn_corner","location"
"LINK-018040","Queens","406","29","40.726495000000000","-73.853138000000000","Live","145846","100-26 QUEENS BOULEVARD","11375","qu-06-145846","2017-08-16T00:00:00.000","2017-05-20T00:00:00.000","Forest Hills","4075137","4031700031","4071306","67 ROAD","67 AVENUE","SW","(40.726495, -73.853138)"
"mn-06-135588","Manhattan","106","2","40.734222110000000","-73.986658250000000","Live","135588","146 3 AVENUE","10003","mn-06-135588","2017-05-22T00:00:00.000","2017-04-29T00:00:00.000","Gramercy","1017803","1008710039","1005000","EAST 15 STREET","EAST 16 STREET","NW","(40.73422211, -73.98665825)"
"mn-12-120769","Manhattan","112","10","40.848673040000000","-73.934069600000000","Live","120769","1400 ST. NICHOLAS AVENUE","10033","mn-12-120769","2018-04-19T00:00:00.000","2017-12-05T00:00:00.000","Washington Heights North","1063634","1021530057","1026900","WEST 180 STREET","WEST 181 STREET","NE","(40.84867304, -73.9340696)"
"qu-03-111054","Queens","403","21","40.748252670000000","-73.878715690000000","Live","111054","87-15 ROOSEVELT AVENUE","11372","qu-03-111054","2017-09-08T00:00:00.000","2017-07-08T00:00:00.000","Jackson Heights","4036272","4014750027","4027900","88 STREET","87 STREET","MIDBLOCK","(40.74825267, -73.87871569)"
"LINK-019773","Queens","406","29","40.721176840000000","-73.845606570000000","Live","145955","107-15 70 ROAD","11375","qu-06-145955","2018-01-16T00:00:00.000","2017-09-30T00:00:00.000","Forest Hills","4077480","4032380014","4071100","AUSTIN STREET","QUEENS BOULEVARD","MIDBLOCK","(40.72117684, -73.84560657)"
"LINK-020598","Bronx","203","17","40.822518790000000","-73.910690130000000","Live","146043","871 BROOK AVENUE","10451","bx-03-146043","2018-04-24T00:00:00.000","2018-01-14T00:00:00.000","Morrisania-Melrose","2001203","2023650029","2014100","3 AVENUE","EAST 161 STREET","NW","(40.82251879, -73.91069013)"
"qu-01-136651","Queens","401","26","40.751953000000000","-73.927493000000000","Live","136651","36-02 NORTHERN BOULEVARD","11101","qu-01-136651","2018-04-09T00:00:00.000","2018-03-09T00:00:00.000","Hunters Point-Sunnyside-West Maspeth","4003101","4002140016","4017100","36 STREET","STANDARD LANE","SE","(40.751953, -73.927493)"
"mn-06-136617","Manhattan","106","2","40.741225030000000","-73.978934620000000","Live","136617","501 2 AVENUE","10016","mn-06-136617","2020-11-09T00:00:00.000","2018-05-08T00:00:00.000","Murray Hill-Kips Bay","1019898","1009090028","1006600","EAST 28 STREET","EAST 29 STREET","MIDBLOCK","(40.74122503, -73.97893462)"
"mn-04-134553","Manhattan","104","3","40.742699670000000","-73.996799840000000","Repair Pending","134553","180 7 AVENUE","10011","mn-04-134553","2018-02-28T00:00:00.000","2017-08-19T00:00:00.000","Hudson Yards-Chelsea-Flatiron-Union Square","1014037","1007700041","1008700","WEST 21 STREET","WEST 20 STREET","SW","(40.74269967, -73.99679984)"
"bk-07-125928","Brooklyn","306","39","40.680731800000000","-73.977446090000000","Live","125928","63 5 AVENUE","11217","bk-06-125928","2017-06-23T00:00:00.000","2017-04-28T00:00:00.000","Park Slope-Gowanus","3018705","3009350009","3012902","ST MARKS AVENUE","PROSPECT PLACE","SE","(40.6807318, -73.97744609)"
