"fy","agency","organization_name","project_title","amount_requested","funded_amount","community_board","organization_address","city","state","zip","borough","latitude","longitude","community_council","census_tract","bin","bbl","nta"
"12","CT","Society of the Educational Arts, Inc. (SEA)","Borimix - PR Festival","10000.00","0.00","3","107 Suffolk Street","New York","New York","10002","MANHATTAN","40.718943","-73.986122","1","1402","1004301","1003530054","Lower East Side                                                            "
"12","CT","cultureNOW, Inc.","Celebrating Manhattan's Culture & Community - Museum Without Walls","10000.00","0.00","4","511 West 25th Street, Suite 707","New York","New York","10001","MANHATTAN","40.749364","-74.004132","3","99","1012382","1006970023","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"12","CT","Intrepid Museum Foundation","Intrepid Museum - Summer Movie Series 2012","10000.00","0.00","4","One Intrepid Square","New York","New York","10036",,,,,,,,
"12","CT","Second Stage Theatre, Inc. ","Marketing for 2ST UPTOWN","5000.00","0.00","4","305 West 43rd Street","New York","New York","10036","MANHATTAN","40.758127","-73.989799","3","121","1024967","1010340029","Clinton                                                                    "
"12","CT","Flatiron/23rd Street Partnership","Flatiron Walking Tour","2650.00","0.00","5","27 West Street, Suite 800B","New York","New York","10010","MANHATTAN","40.706775","-74.016011","1","13","1000000","1000170045","Battery Park City-Lower Manhattan                                          "
"12","CT","Madison Square Park Conservancy ","Charles Long: ""Pet Sounds""","10000.00","0.00","5","Eleven Madison Avenue - 28th Floor","New York","New York","10010",,,,,,,,
"12","CT","Manhattan Theatre Club, Inc.","Expanded marketing Campaign for the Columnist","9562.00","0.00","5","311 West 43rd Street","New York","New York","10036","MANHATTAN","40.75818","-73.989922","3","121","1024965","1010340022","Clinton                                                                    "
"12","CT","National Music Theatre Network, Inc. (NMTN)","New York Musical Theatre Festival (NYMF) 2012 Festival Pop-up Hub","5000.00","0.00","5","250 West 49th Street, Suite 601","New York","New York","10019","MANHATTAN","40.761193","-73.985478","3","125","1024785","1010200059","Midtown-Midtown South                                                      "
"12","CT","OPERA America, Inc. ","National Opera Cneter Opening Weekend Activities","10000.00","0.00","5","330 Seventh Avenue","New York","New York","10001","MANHATTAN","40.747549","-73.993143","3","95","1014264","1007780043","Midtown-Midtown South                                                      "
"12","CT","Chashama, Inc. ","Chashama: Times Square Screens Project","10000.00","0.00","6","201 E. 42nd Street, 32nd Floor","New York","New York","10017","MANHATTAN","40.750714","-73.974295","4","88","1037549","1013160001","Turtle Bay-East Midtown                                                    "
"12","CT","Spanish Theatre Repertory Company, Ltd.","Bienvenidos a Repertorio Espanol  (Welcome to Repertorio Espanol)","10000.00","0.00","6","138 East 27th Street","New York","New York","10016","MANHATTAN","40.741886","-73.982599","2","68","1018151","1008820060","Gramercy                                                                   "
"12","CT","Children's Museum of Manhattan","Promoting CMOM and Eat Sleep Play","9948.00","0.00","7","212 West 83rd Street","New York","New York","10024","MANHATTAN","40.785946","-73.976961","6","171","1032767","1012300038","Upper West Side                                                            "
"12","CT","Community Works, Inc. ","Community Masters NYC","10000.00","0.00","7","55 West End Avenue","New York","New York","10023","MANHATTAN","40.774058","-73.988681","6","151","1087719","1011710063","Lincoln Square                                                             "
"12","CT","New York Historical Society ","World War II & New York City - Exhibition and Advertising","10000.00","0.00","7","170 Central Park West","New York","New York","10024","MANHATTAN","40.779265","-73.973743","6","161","1028816","1011290029","Upper West Side                                                            "
"12","CT","Symphony Space","Broadway Plus!","10000.00","0.00","7","2537 Broadway","New York","New York","10025","MANHATTAN","40.793842","-73.972393","6","183","1033687","1012420055","Upper West Side                                                            "
"12","CT","Young People's Chorus of New York City","Transmusica Concert","10000.00","0.00","7","1995 Broadway, Suite 305","New York","New York","10023","MANHATTAN","40.77524","-73.982186","6","153","1070358","1011397502","Lincoln Square                                                             "
"12","CT","Lenox Hill Neighborhood House, Inc.","Cultural Sundays","10000.00","0.00","8","331 East 70th Street","New York","New York","10021","MANHATTAN","40.766925","-73.95795","5","126","1044838","1014450014","Lenox Hill-Roosevelt Island                                                "
"12","CT","Manhattan Chamber of Commerce Foundation","2nd Avenue Art Exhibition","10000.00","0.00","8","1375 Broadway, 3rd Floor","New York","New York","10018","MANHATTAN","40.752328","-73.987461","3","109","1015254","1008130016","Midtown-Midtown South                                                      "
"12","CT","Dance Theatre of Harlem, Inc. ","Home in Harlem Summer Series","10000.00","0.00","9","466 West 152nd Street","New York","New York","10031","MANHATTAN","40.829244","-73.943446","7","23501","1061605","1020660059","Hamilton Heights                                                           "
"12","CT","Science Festival Foundation","Icarus at the Edge of Time","10000.00","0.00","9","475 Riverside Drive, Suite 950","New York","New York","10115","MANHATTAN","40.811101","-73.964168","7","205","1059835","1019910001","Morningside Heights                                                        "
"12","CT","Apollo Theater Foundation, Inc. ","Apollo Music Caf̩ - Promotional and Marketing Support","10000.00","0.00","10","253 West 125th Street","New York","New York","10027","MANHATTAN","40.809778","-73.95021","9","222","1058654","1019310010","Central Harlem South                                                       "
"12","CT","Harlem Memorial Community Development, Inc. ","Harlem Summer Stage Event","5000.00","0.00","10","210 West 146th Street #2B","New York","New York","10039","MANHATTAN","40.822597","-73.939289","9","232","1060487","1020310038","Central Harlem North-Polo Grounds                                          "
"12","CT","Hope Community, Inc. ","El Barrio: Shops. Eats. Arts. Nightlife.","10000.00","0.00","11","174 East 104th Street","New York","New York","10029","MANHATTAN","40.790536","-73.94631","8","166","1051932","1016310044","East Harlem South                                                          "
"12","CT","Museum of the City of New York","Digital Marketing to Attract International Visitors","10000.00","0.00","11","1220 Fifth Avenue","New York","New York","10029","MANHATTAN","40.792438","-73.952448","8","168","1074157","1016090001","East Harlem South                                                          "
"12","CT","Folksbiene Yiddish Theatre, Inc. ","The Golden Land","3250.00","0.00",,"135 West 29th Street, #504","New York","New York","10001","MANHATTAN","40.747138","-73.99118","3","95","1015142","1008050019","Midtown-Midtown South                                                      "
"12","CT","Dance Parade, Inc. ","Cultural Advertising Targeted to the Inbound Visitor Market","2750.00","2750.00","9","61 West 104th Street #3B","New York","New York","10025","MANHATTAN","40.797723","-73.963348","7","189","1075647","1018400010","Upper West Side                                                            "
"12","CT","Pan American Musical Art Research (PAMAR)","Latin American Cultural Week (LACW) 2012","10000.00","3650.00","12","644 West 185th Street Suite 6B","New York","New York","10033","MANHATTAN","40.852308","-73.933471","10","271","1063984","1021670010","Washington Heights North                                                   "
"12","CT","Lotus Fine Arts Productions, Inc.","Drums Along the Hudson Project: Marketing and Promotional Project","7280.00","5000.00","4","109 West 27th Street","Brooklyn","New York","11231",,,,,,,,
"12","CT","New York Classical Theatre, Inc. ","2012 Season of FREE Classical Theatre Across Manhattan","8500.00","5000.00","10","40 West 116th Street, #B1004","New York","New York","10026","MANHATTAN","40.80145","-73.948342","9","190","1087782","1015997502","Central Harlem South                                                       "
"12","CT","Lower Manhattan Cultural Council","2012 River To River Festival","10000.00","6000.00","1","125 Maiden Lane, 2nd floor","New York","New York","10038","MANHATTAN","40.706397","-74.006341","1","1502","1087484","1000707501","Battery Park City-Lower Manhattan                                          "
"12","CT","Openhousenewyork, Inc","10th Annual openhousenewyork Weekend","10000.00","6500.00","4","115 West 27th Street, Floor 9","New York","New York","10001","MANHATTAN","40.745782","-73.991801","3","95","1015068","1008030026","Midtown-Midtown South                                                      "
"12","CT","Eldridge Street Project, Inc. (Museum at Eldridge Street) ","Egg Rolls & Egg Creams Festival","10000.00","7500.00","3","12 Eldridge Street","New York","New York","10002","MANHATTAN","40.714733","-73.993713","1","16","1003778","1002930003","Chinatown                                                                  "
"12","CT","Jazzmobile, Inc.","Summerfest","10000.00","7600.00","9","154 West 127th Street","New York","New York","10027","MANHATTAN","40.809702","-73.946045","9","224","1057882","1019110056","Central Harlem North-Polo Grounds                                          "
