"provider","host_organization","building","street","city","borough","zip_code","site_location_address","days_open","hours","language_s","telephone","community_board","council_district","bbl","nta","x_coordinates","y_coordinates","latitude","longitude","census_tract","bin","location"
"The Financial Clinic","Catholic Charities Homebase (Queens)","161-10","Jamaica Avenue","Jamaica","Queens","11432","161-10 Jamaica Avenue, 5thÂ Floor","Monday-Wednesday, Friday","9am-5pm","English and Spanish","311","27","412","4101010015","QN61","1040143","195839","40.70403301399336","-73.79841220477124","44601","4440641","(40.704033013993, -73.798412204771)"
"The Financial Clinic","Dept. of Consumer Affairs Licensing Center","42","Broadway","Manhattan","Manhattan","10004","42 Broadway, 1st Floor","Monday and Thursday","9am-5pm","English","311","1","101","1000220020","MN25","980671","196590","40.706270133456805","-74.01290870587448","9","1000812","(40.706270133457, -74.012908705874)"
"Phipps Neighborhoods","Phipps Neighborhoods Opportunity Center at West Farms","1030","East 178th Street","Bronx","Bronx","10460","1030 East 178th Street","Monday, Tuesday, Wednesday, and Friday","9am-5pm","English and Spanish","311","15","206","2031300100","BX17","1017491","245755","40.84115331040014","-73.87986352757528","361","2013245","(40.8411533104, -73.879863527575)"
"Neighborhood Trust Financial Partners","Neighborhood Housing Services of Northern Queens","60-20","Woodside Avenue","Queens","Queens","11377","60-20 Woodside Avenue, 2nd FloorÂ ","Monday and Wednesday","9am-6pm","English and Spanish","311","26","402","4013350036","QN63","1010890","210697","40.74495101809574","-73.90385927554588","249","4031424","(40.744951018096, -73.903859275546)"
"Phipps Neighborhoods","Catholic Charities Homebase (Bronx)","2155","Blackrock Avenue","Bronx","Bronx","10472","2155 Blackrock Avenue","Wednesday","9am-5pm","English and Spanish","311","18","209","2038080038","BX59","1025266","241291","40.82886824726105","-73.8517912044293","78","2119153","(40.828868247261, -73.851791204429)"
"Bedford Stuyvesant Restoration Corporation","Brooklyn Central Library","10","Grand Army Plaza","Brooklyn","Brooklyn","11238","10 Grand Army Plaza","Tuesday, Thursday and Saturday","Tues & Thurs 10am-4pm, Saturday 10am-4pm","English and Mandarin","311","35","355","3011830002","BK99","992830","184409","40.67283265706228","-73.96906924545588","177","3029665","(40.672832657062, -73.969069245456)"
"Bedford Stuyvesant Restoration Corporation","The Gregory Jackson Center for Brownsville","519","Rockaway Avenue","Brooklyn","Brooklyn","11212","519 Rockaway Avenue","Tuesday and Thursday","Tues 9am-4pm, Th 10-6pm","English and Yoruba","311","41","316","3035260002","BK81","1009174","182461","40.66745490782121","-73.91015663288158","906","3000000","(40.667454907821, -73.910156632882)"
"Urban Upbound","Urban Upbound","10-38","41st Avenue","Queens","Queens","11101","10-38 41st Avenue","Monday-Friday","M-W & F 9am-6pm, Th 11am -7pm","English and Spanish","311","26","401","4004650100","QN68","999463","214475","40.75534771300752","-73.94508945487739","25","4595567","(40.755347713008, -73.945089454877)"
"Phipps Neighborhoods","Phipps Neighborhoods Opportunity Center at Melrose","3125","Third Avenue","Bronx","Bronx","10451","3125 Third Avenue","Monday-Friday","Mon, Thurs, Fri 9am - 6pm; Tues & Wed 9am - 5pm","English and Spanish","311","17","201","2023800051","BX34","1008640","238751","40.82195823377828","-73.91187741258507","69","2000000","(40.821958233778, -73.911877412585)"
"Neighborhood Trust Financial Partners","Neighborhood Housing Services of New York City (Midtown)","307","West 36th Street","Manhattan","Manhattan","10018","307 West 36th Street, 12th Floor (at 8th Ave)","Monday - Friday","Mon - Thurs 9am-6pm, Fri 9-1","English and Spanish","311","3","104","1007600032","MN13","986170","213876","40.75371648913745","-73.99307002838846","111","1013596","(40.753716489137, -73.993070028388)"
"Neighborhood Trust Financial Partners","Lower East Side People's Federal Credit Union","37","Avenue B","Manhattan","Manhattan","10009","37 Avenue B","Thursday, Friday","9am-6pm","English and Spanish","311","2","103","1003860001","MN28","988993","202598","40.72276011056438","-73.98288875626703","2601","1004610","(40.722760110564, -73.982888756267)"
"Neighborhood Trust Financial Partners","University Neighborhood Housing Program","2715","Bainbridge Ave","Bronx","Bronx","10458","2715 Bainbridge Avenue","Monday, Tuesday, and Wednesday","9am-6pm","English and Spanish","311","15","207","2032940037","BX05","1014446","254859","40.86615199840451","-73.89082745927985","40501","2120805","(40.866151998405, -73.89082745928)"
"Neighborhood Trust Financial Partners","New York City Financial Empowerment Center at LES People’s North Shore Branch","2","Saint Pauls Ave","Staten Island","Staten Island","10301","2 Saint Pauls Ave","Monday and Tuesday","9am-4pm","English and Spanish","311","501","49","5005690053","SI37","962605","171617","40.637699126694315","-74.07798878403433","17","5014530","(40.637699126694, -74.077988784034)"
