"business_address","business_name_n_a_if_there","what_indicates_the_storefront","is_the_storefront_boarded","east_or_west_side_of_the","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","borough","postcode"
"1231 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.746901","-73.98844","105","3","76","1079187","1008320001","Midtown-Midtown South","MANHATTAN","10001"
"1234 Broadway #6","Saher USA Inc.","For Rent/For Lease/Retail Space Available","No","East","40.747307","-73.988339","105","4","76","1078654","1008320066","Midtown-Midtown South","MANHATTAN","10001"
"1268 Broadway","N/A","Covered Windows","Yes","East","40.748606","-73.988108","105","4","76","1083630","1008340011","Midtown-Midtown South","MANHATTAN","10001"
"1282 Broadway","Multiple — shoe stores","Covered Windows","No","East","40.749092","-73.988018","105","4","76","1015859","1008350001","Midtown-Midtown South","MANHATTAN","10001"
"1359 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.751704","-73.987599","105","3","109","1015240","1008120022","Midtown-Midtown South","MANHATTAN","10018"
"1372 Broadway","N/A","Covered Windows","No","East","40.75227","-73.987454","105","4","109","1080609","1008130023","Midtown-Midtown South","MANHATTAN","10018"
"1410 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.753497","-73.987111","105","4","113","1015274","1008140052","Midtown-Midtown South","MANHATTAN","10018"
"1412 Broadway","N/A","Covered Windows","No","East","40.753711","-73.987046","105","4","113","1080611","1008150014","Midtown-Midtown South","MANHATTAN","10018"
"1440 Broadway","N/A","Empty","No","East","40.754611","-73.986761","105","4","113","1022563","1009930011","Midtown-Midtown South","MANHATTAN","10018"
"1500 Broadway","N/A","Covered Windows","No","East","40.756856","-73.985973","105","4","119","1022610","1009960001","Midtown-Midtown South","MANHATTAN","10036"
"1530 Broadway","N/A","Empty","No","East","40.757674","-73.985121","105","4","119","1022624","1009970001","Midtown-Midtown South","MANHATTAN","10036"
"1578 Broadway","Money Change","Closed Until Further Notice","No","East","40.759647","-73.985002","105","4","125","1024757","1010197501","Midtown-Midtown South","MANHATTAN","10036"
"1604 Broadway","N/A","Empty","No","East","40.760487","-73.984648","105","4","125","1024779","1010200038","Midtown-Midtown South","MANHATTAN","10019"
"1675 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.762963","-73.983073","105","3","131","1076199","1010240015","Midtown-Midtown South","MANHATTAN","10019"
"1691 Broadway","Neopolitan Express","For Rent/For Lease/Retail Space Available","No","West","40.763523","-73.982748","105","3","131","1024835","1010250019","Midtown-Midtown South","MANHATTAN","10019"
"1695 Broadway","Hen Penny","Covered Windows","No","West","40.763627","-73.982694","105","3","131","1024835","1010250019","Midtown-Midtown South","MANHATTAN","10019"
"1700 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.763342","-73.982398","105","4","131","1024836","1010250025","Midtown-Midtown South","MANHATTAN","10019"
"1710 Broadway","Former amalgamated bank","For Rent/For Lease/Retail Space Available","No","West","40.764225","-73.982391","105","4","137","1024850","1010260021","Midtown-Midtown South","MANHATTAN","10019"
"1717 Broadway","Hotel","Closed Until Further Notice","No","West","40.764291","-73.982824","105","3","137","1024849","1010267501","Midtown-Midtown South","MANHATTAN","10019"
"176 Broadway","William Barthman","For Rent/For Lease/Retail Space Available","No","East","40.709932","-74.009869","101","1","1502","1001100","1000650017","Battery Park City-Lower Manhattan","MANHATTAN","10038"
"1792 Broadway","Former Argo Tea","For Rent/For Lease/Retail Space Available","No","East","40.767165","-73.9817","105","4","137","1024922","1010300058","Midtown-Midtown South","MANHATTAN","10019"
"1794 Broadway","Former Patavini","Empty","No","East","40.767192","-73.981697","105","4","137","1024922","1010300058","Midtown-Midtown South","MANHATTAN","10019"
"1800 Broadway","Maison Kayser","Closed Until Further Notice","No","East","40.767269","-73.98169","105","4","137","1024922","1010300058","Midtown-Midtown South","MANHATTAN","10019"
"1865 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.769995","-73.982137","107","3","145","1090158","1011140009","Lincoln Square","MANHATTAN","10023"
"1886 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.77084","-73.982136","107","6","149","1027463","1011157503","Lincoln Square","MANHATTAN","10023"
"1888 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.770911","-73.982136","107","6","149","1027463","1011157503","Lincoln Square","MANHATTAN","10023"
"1889 Broadway","Former lavelier","For Rent/For Lease/Retail Space Available","No","West","40.77095","-73.982158","107","3","149","1027465","1011150057","Lincoln Square","MANHATTAN","10023"
"1980 Broadway","N/A","For Rent/For Lease/Retail Space Available","N/A","East","40.774801","-73.982186","107","6","153","1084564","1011397503","Lincoln Square","MANHATTAN","10023"
"2 Herald Square","Victoria's Secret","N/A","Yes","East","40.750283","-73.987646","105","4","109","1089436","1008100045","Midtown-Midtown South","MANHATTAN","10001"
"2007 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.775822","-73.982164","107","6","153","1028950","1011407501","Lincoln Square","MANHATTAN","10023"
"2008 Broadway","Former Loew’s","For Rent/For Lease/Retail Space Available","N/A","East","40.77586","-73.982142","107","6","153","1070362","1011407502","Lincoln Square","MANHATTAN","10023"
"2011-2017 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.775962","-73.98216","107","6","153","1028950","1011407501","Lincoln Square","MANHATTAN","10023"
"2012 Broadway","Former Nanoosh","For Rent/For Lease/Retail Space Available","No","East","40.775986","-73.982139","107","6","153","1028948","1011400046","Lincoln Square","MANHATTAN","10023"
"2032 Broadway","Former Chase","Covered Windows","No","East","40.776788","-73.982106","107","6","153","1029658","1011410051","Lincoln Square","MANHATTAN","10023"
"2052 Broadway","Former Sabon","For Rent/For Lease/Retail Space Available","No","East","40.777551","-73.982059","107","6","157","1029749","1011427502","Lincoln Square","MANHATTAN","10023"
"2061 Broadway","Former Verizon Retailer","For Rent/For Lease/Retail Space Available","No","West","40.778188","-73.982113","107","6","159","1030418","1011630030","Lincoln Square","MANHATTAN","10023"
"2067 Broadway","Former New York City Freshly Bagel","For Rent/For Lease/Retail Space Available","No","West","40.778352","-73.982102","107","6","159","1030419","1011630032","Lincoln Square","MANHATTAN","10023"
"2109 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.780408","-73.982076","107","6","159","1030544","1011657503","Lincoln Square","MANHATTAN","10023"
"2146 Broadway","Former Jean Louis David salon","For Rent/For Lease/Retail Space Available","No","East","40.781336","-73.981195","107","6","163","1030839","1011677501","Upper West Side","MANHATTAN","10023"
"2148 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.781385","-73.981177","107","6","163","1088786","1011677502","Upper West Side","MANHATTAN","10023"
"2151 Broadway","Former Art of Shaving","For Rent/For Lease/Retail Space Available","No","West","40.78144","-73.98118","107","6","163","1079377","1011677503","Upper West Side","MANHATTAN","10023"
"2151 Broadway","Former Stuart weitzman shoes","Empty","No","West","40.78144","-73.98118","107","6","163","1079377","1011677503","Upper West Side","MANHATTAN","10023"
"2157 Broadway","Former Papyrus","Empty","No","West","40.781594","-73.98113","107","6","163","1079377","1011677503","Upper West Side","MANHATTAN","10023"
"2161 Broadway","Maison Kayser","Closed Until Further Notice","No","West","40.78186","-73.981036","107","6","163","1030859","1011680010","Upper West Side","MANHATTAN","10024"
"2169 Broadway","N/A","Covered Windows","No","West","40.782085","-73.98096","107","6","163","1030859","1011680010","Upper West Side","MANHATTAN","10024"
"2187 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.782741","-73.980692","107","6","163","1030881","1011690008","Upper West Side","MANHATTAN","10024"
"2197 Broadway","Former European Bakery","Covered Windows","No","West","40.783007","-73.980559","107","6","163","1030900","1011690057","Upper West Side","MANHATTAN","10024"
"2199 Broadway","Former La Unica Caridad Restaurant","For Rent/For Lease/Retail Space Available","No","West","40.783059","-73.980533","107","6","163","1030900","1011690057","Upper West Side","MANHATTAN","10024"
"2201 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.783268","-73.980411","107","6","167","1030903","1011707502","Upper West Side","MANHATTAN","10024"
"2205 Broadway","Former Tumi","Closed Until Further Notice","No","West","40.783375","-73.980335","107","6","167","1030903","1011707502","Upper West Side","MANHATTAN","10024"
"2208 Broadway","Former New Wave Cafe","For Rent/For Lease/Retail Space Available","No","East","40.783499","-73.980219","107","6","167","1079386","1011700012","Upper West Side","MANHATTAN","10024"
"2255 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.784967","-73.979153","107","6","167","1089957","1012287504","Upper West Side","MANHATTAN","10024"
"2265 Broadway","Former City Brows","For Rent/For Lease/Retail Space Available","No","West","40.785354","-73.978868","107","6","167","1032679","1012290008","Upper West Side","MANHATTAN","10024"
"2276 Broadway","Laytner’s Linen & Home","For Rent/For Lease/Retail Space Available","No","East","40.785689","-73.978597","107","6","167","1032695","1012290045","Upper West Side","MANHATTAN","10024"
"2284 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.786012","-73.978355","107","6","171","1076247","1012307501","Upper West Side","MANHATTAN","10024"
"2286 Broadway","Former Sprint store","For Rent/For Lease/Retail Space Available","No","East","40.786056","-73.978322","107","6","171","1076247","1012307501","Upper West Side","MANHATTAN","10024"
"2290 Broadway","Former Artie’s Delicatessen","Covered Windows","No","East","40.786144","-73.978254","107","6","171","1032769","1012300043","Upper West Side","MANHATTAN","10024"
"2300 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.786512","-73.977979","107","6","171","1076250","1012317501","Upper West Side","MANHATTAN","10024"
"233 Broadway","N/A","Boarded Up","Yes","West","40.712265","-74.007892","101","1","21","1087167","1001237501","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10279"
"233 Broadway","N/A","Boarded Up","Yes","West","40.712265","-74.007892","101","1","21","1087167","1001237501","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10279"
"233 Broadway","N/A","Boarded Up","Yes","West","40.712265","-74.007892","101","1","21","1087167","1001237501","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10279"
"2350 Broadway","Former Cafe 86","For Rent/For Lease/Retail Space Available","No","East","40.788007","-73.976747","107","6","171","1033133","1012330016","Upper West Side","MANHATTAN","10024"
"2350 Broadway","Former Brothers Apothecary","For Rent/For Lease/Retail Space Available","No","East","40.788007","-73.976747","107","6","171","1033133","1012330016","Upper West Side","MANHATTAN","10024"
"2381 Broadway","Brooks Brothers","For Rent/For Lease/Retail Space Available","No","West","40.789059","-73.97588","107","6","175","1033206","1012350010","Upper West Side","MANHATTAN","10024"
"2393 Broadway","Former Hot & Crusty","For Rent/For Lease/Retail Space Available","No","West","40.789385","-73.975638","107","6","175","1033227","1012357501","Upper West Side","MANHATTAN","10024"
"2395 Broadway","Former Ameritrade","For Rent/For Lease/Retail Space Available","No","West","40.78944","-73.975595","107","6","175","1033227","1012357501","Upper West Side","MANHATTAN","10024"
"2418 Broadway","Cibo e Vino","For Rent/For Lease/Retail Space Available","No","East","40.790112","-73.975078","107","6","175","1033301","1012360044","Upper West Side","MANHATTAN","10024"
"2424 Broadway","Former Dunkin Donuts","Covered Windows","No","East","40.7904","-73.974872","107","6","175","1033308","1012370017","Upper West Side","MANHATTAN","10024"
"2449 Broadway","Pro-Touch Cleaners","For Rent/For Lease/Retail Space Available","No","West","40.791136","-73.974363","107","6","179","1033555","1012380010","Upper West Side","MANHATTAN","10024"
"2459 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.791377","-73.974186","107","6","179","1033561","1012380052","Upper West Side","MANHATTAN","10024"
"2465 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.79169","-73.973954","107","6","179","1033599","1012390052","Upper West Side","MANHATTAN","10025"
"2470 Broadway","Former Chamberlain residential showroom","For Rent/For Lease/Retail Space Available","No","East","40.79183","-73.973828","107","6","179","1033598","1012390044","Upper West Side","MANHATTAN","10025"
"2485 Broadway","Former Cleopatra’s Needle","Closed Until Further Notice","No","West","40.792368","-73.973459","107","6","179","1033611","1012400010","Upper West Side","MANHATTAN","10025"
"2485 Broadway","Former Cleopatra’s Needle","Closed Until Further Notice","No","West","40.792368","-73.973459","107","6","179","1033611","1012400010","Upper West Side","MANHATTAN","10025"
"2496 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.792579","-73.973279","107","6","179","1033616","1012407502","Upper West Side","MANHATTAN","10025"
"250 West 57th street","Former Walgreens","For Rent/For Lease/Retail Space Available","No","West","40.766391","-73.982119","105","3","137","1024899","1010280056","Midtown-Midtown South","MANHATTAN","10107"
"2514 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.793167","-73.972856","107","6","179","1033652","1012410046","Upper West Side","MANHATTAN","10025"
"2519 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.793285","-73.972795","107","6","179","1033653","1012410052","Upper West Side","MANHATTAN","10025"
"2528 Broadway","Former West Side Gourmet","Surveyor Knowledge","No","East","40.793661","-73.972498","107","6","183","1033683","1012420039","Upper West Side","MANHATTAN","10025"
"2542 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.794171","-73.972126","107","6","183","1071159","1012437501","Upper West Side","MANHATTAN","10025"
"255 Broadway","Willner Chemists","For Rent/For Lease/Retail Space Available","No","West","40.713347","-74.006998","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10007"
"2567 Broadway","Lenwich","Permanently Closed","No","West","40.794934","-73.971588","107","6","183","1056068","1018687501","Upper West Side","MANHATTAN","10025"
"257 Broadway","Bolton's","For Rent/For Lease/Retail Space Available","No","West","40.713454","-74.006911","101","1","21","1082756","1001347501","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10007"
"2571 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.795052","-73.971501","107","6","183","1056068","1018687501","Upper West Side","MANHATTAN","10025"
"2575 Broadway","Walgreens","Permanently Closed","No","West","40.79517","-73.971414","107","6","183","1056068","1018687501","Upper West Side","MANHATTAN","10025"
"2594 Broadway","Szechuan Garden","For Rent/For Lease/Retail Space Available","No","East","40.795779","-73.970944","107","7","183","1056383","1018690044","Upper West Side","MANHATTAN","10025"
"2601 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.796056","-73.970771","107","6","187","1056414","1018707501","Upper West Side","MANHATTAN","10025"
"2621 Broadway","Great Thread Beauty Salon","For Rent/For Lease/Retail Space Available","No","West","40.796693","-73.970312","107","6","187","1056456","1018710010","Upper West Side","MANHATTAN","10025"
"2625 Broadway","Mandee Boutique","Empty","No","West","40.796789","-73.97024","107","6","187","1087548","1018717501","Upper West Side","MANHATTAN","10025"
"2626 Broadway","Metro Theatre","For Rent/For Lease/Retail Space Available","Yes","East","40.796847","-73.970175","107","7","187","1056460","1018710022","Upper West Side","MANHATTAN","10025"
"2633 Broadway","N/A","Empty","No","West","40.796981","-73.970099","107","6","187","1087548","1018717501","Upper West Side","MANHATTAN","10025"
"2642 Broadway","Empire","For Rent/For Lease/Retail Space Available","No","East","40.797393","-73.96977","107","7","187","1056482","1018720020","Upper West Side","MANHATTAN","10025"
"2649 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.797533","-73.969694","107","6","187","1056486","1018720052","Upper West Side","MANHATTAN","10025"
"2659 Broadway","N/A","Covered Windows","No","West","40.797936","-73.969398","107","6","187","1056504","1018730010","Upper West Side","MANHATTAN","10025"
"2663 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.798035","-73.969325","107","6","187","1056504","1018730010","Upper West Side","MANHATTAN","10025"
"2665 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.798084","-73.969293","107","6","187","1056504","1018730010","Upper West Side","MANHATTAN","10025"
"2673 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.798282","-73.969152","107","6","187","1056518","1018730052","Upper West Side","MANHATTAN","10025"
"2675 Broadway","Xi'an Famous Foods","Empty","No","West","40.798331","-73.969116","107","6","187","1056518","1018730052","Upper West Side","MANHATTAN","10025"
"2681 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.798587","-73.968931","107","6","191","1056558","1018747501","Upper West Side","MANHATTAN","10025"
"2702 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.799399","-73.968378","107","7","191","1056563","1018757501","Upper West Side","MANHATTAN","10025"
"2708 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.79952","-73.968321","107","7","191","1056581","1018750146","Upper West Side","MANHATTAN","10025"
"2710 Broadway","N/A","Covered Windows","No","East","40.799558","-73.968299","107","7","191","1056574","1018750046","Upper West Side","MANHATTAN","10025"
"2721 Broadway","N/A","Closed Until Further Notice","No","West","40.799945","-73.968158","107","6","191","1056583","1018760007","Upper West Side","MANHATTAN","10025"
"2724 Broadway","Nut Box","Empty","No","East","40.800041","-73.968107","107","7","191","1056586","1018760020","Upper West Side","MANHATTAN","10025"
"2727 Broadway","AT&T","Empty","No","West","40.800096","-73.968111","107","6","191","1056583","1018760007","Upper West Side","MANHATTAN","10025"
"2742 Broadway","Sneaker Pawb","For Rent/For Lease/Retail Space Available","No","East","40.800639","-73.967948","107","7","191","1056628","1018770059","Upper West Side","MANHATTAN","10025"
"2744 Broadway","Blondi's Hair Salon III","For Rent/For Lease/Retail Space Available","No","East","40.8007","-73.967941","107","7","191","1056608","1018770015","Upper West Side","MANHATTAN","10025"
"2749 Broadway","Marcel Cleaners","Empty","No","West","40.800933","-73.967933","107","6","191","1056630","1018770063","Upper West Side","MANHATTAN","10025"
"2751 Broadway","Smoke","Boarded Up","Yes","West","40.80112","-73.967912","107","6","191","1056630","1018770063","Upper West Side","MANHATTAN","10025"
"2753 Broadway","The UPS Store","For Rent/For Lease/Retail Space Available","No","West","40.801216","-73.967901","107","6","191","1056629","1018770061","Upper West Side","MANHATTAN","10025"
"2758 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.801309","-73.967868","107","7","191","1056626","1018770051","Upper West Side","MANHATTAN","10025"
"2764 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.801614","-73.967843","107","7","195","1056631","1018780012","Morningside Heights","MANHATTAN","10025"
"2787 Broadway","107 West","For Rent/For Lease/Retail Space Available","No","West","40.802522","-73.967998","107","6","195","1085321","1018920046","Morningside Heights","MANHATTAN","10025"
"2800 Broadway","The Manchester Diner","Covered Windows","No","East","40.803022","-73.967499","107","7","195","1056673","1018800001","Morningside Heights","MANHATTAN","10025"
"2818 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.803469","-73.967195","107","7","195","1056690","1018800061","Morningside Heights","MANHATTAN","10025"
"2853 Broadway","Starbucks","We Moved","No","West","40.804643","-73.966364","109","7","199","1075440","1018947501","Morningside Heights","MANHATTAN","10025"
"2877 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.805313","-73.965876","109","7","199","1057330","1018940052","Morningside Heights","MANHATTAN","10025"
"2878 Broadway","Liberty House","For Rent/For Lease/Retail Space Available","No","East","40.805354","-73.965822","109","7","199","1056988","1018830059","Morningside Heights","MANHATTAN","10025"
"2886 Broadway","E's Bar","Boarded Up","Yes","East","40.805662","-73.965601","109","7","199","1056989","1018840001","Morningside Heights","MANHATTAN","10025"
"29 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.70601","-74.01315","101","1","13","1000802","1000200001","Battery Park City-Lower Manhattan","MANHATTAN","10006"
"2911 Broadway","Aerosoles","For Rent/For Lease/Retail Space Available","No","West","40.806452","-73.965048","109","7","199","1057350","1018950055","Morningside Heights","MANHATTAN","10025"
"2929 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.806962","-73.964672","109","7","205","1057368","1018960023","Morningside Heights","MANHATTAN","10025"
"3068 Broadway","Columbia Cleaners","We Moved","No","East","40.81149","-73.96135","109","7","203","1059648","1019760001","Morningside Heights","MANHATTAN","10027"
"3141 Broadway","La Salle Dumpling Room","We Moved","No","West","40.813918","-73.959596","109","7","211","1059849","1019930073","Morningside Heights","MANHATTAN","10027"
"317 Broadway","N/A","Empty","Yes","West","40.715686","-74.00505","101","1","33","1001656","1001510028","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10007"
"3202 Broadway","N/A","Covered Windows","No","East","40.815976","-73.958071","109","7","219",,,"Manhattanville","MANHATTAN","10027"
"3289 Broadway","N/A","Gated","No","West","40.818493","-73.956263","109","7","219","1059939","1019990033","Manhattanville","MANHATTAN","10027"
"3291 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.818537","-73.95623","109","7","219","1059940","1019990036","Manhattanville","MANHATTAN","10027"
"3295 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.818624","-73.956165","109","7","219","1059940","1019990036","Manhattanville","MANHATTAN","10027"
"3316 Broadway","N/A","For Rent/For Lease/Retail Space Available","Yes","East","40.819297","-73.955648","109","7","219","1059728","1019870001","Manhattanville","MANHATTAN","10031"
"3338 Broadway","Eliscer Guzman MD and associates","For Rent/For Lease/Retail Space Available","No","East","40.820224","-73.954972","109","7","22301",,,"Manhattanville","MANHATTAN","10031"
"3341 Broadway","Laith deli","For Rent/For Lease/Retail Space Available","No","West","40.820202","-73.955011","109","7","22301","1059958","1020020033","Manhattanville","MANHATTAN","10031"
"335 Broadway","HSBC Bank","We Moved","No","West","40.716344","-74.004495","101","1","33","1001883","1001737504","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"3413 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.822408","-73.953402","109","7","225","1062301","1020870034","Hamilton Heights","MANHATTAN","10031"
"342 Broadway","The UPS Store","Permanently Closed","No","East","40.716539","-74.0043","101","1","31","1085786","1001700001","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"3435 Broadway","Heights wines and liquors","For Rent/For Lease/Retail Space Available","No","West","40.823177","-73.952838","109","7","225","1062311","1020870097","Hamilton Heights","MANHATTAN","10031"
"3453 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.823679","-73.952469","109","7","225","1062321","1020880036","Hamilton Heights","MANHATTAN","10031"
"3458 Broadway","Broadway cleaners","For Rent/For Lease/Retail Space Available","No","East","40.823978","-73.95223","109","7","225","1061777","1020730001","Hamilton Heights","MANHATTAN","10031"
"3495 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.824949","-73.951543","109","7","229","1062347","1020890033","Hamilton Heights","MANHATTAN","10031"
"35 Union Square West","N/A","N/A","Yes","West","40.736765","-73.9906","105","2","52","1016086","1008440021","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10003"
"3500 Broadway","Winhealth pharmacy","For Rent/For Lease/Retail Space Available","No","East","40.825226","-73.951315","109","7","229","1061879","1020750001","Hamilton Heights","MANHATTAN","10031"
"352 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.71702","-74.003885","101","1","31","1001838","1001717503","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"3530 Broadway","N/A","For Rent/For Lease/Retail Space Available","Yes","East","40.826118","-73.950664","109","7","229","1061896","1020760001","Hamilton Heights","MANHATTAN","10031"
"3547 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.826661","-73.950292","109","7","229","1062380","1020920026","Hamilton Heights","MANHATTAN","10031"
