"borough","boro","block","lot","bbl","hnum_lo","hnum_hi","str_name","crfn","grantee","deed_date","price","cap_rate","borough_cap_rate","yearqtr","postcode","latitude","longitude","community_board","council_district","census_tract","bin","nta","geocoded_column"
"MN","1","2123","61","1021230061","502","502","WEST 167 STREET","2018000386947","MR 502 LLC","2018-11-07T00:00:00.000","3332000","0.0364","0.0325","2018Q4","10032","40.839404","-73.937622","112","10","251","1062963","Washington Heights South","(40.839404, -73.937622)"
"MN","1","438","9","1004380009","180","180","1 AVENUE","2022000183365","84 HOYT LLC","2022-03-21T00:00:00.000","8000000","0.0314","0.0502","2022Q1","10009","40.729277","-73.984052","103","2","34","1077666","East Village","(40.729277, -73.984052)"
"MN","1","277","2","1002770002","77","79","MADISON STREET","2018000146524","ABACUS MADISON 7779 LLC","2018-04-25T00:00:00.000","12000000","0.0160","0.0335","2018Q2","10002","40.712142","-73.996259","103","1","8","1003329","Chinatown","(40.712142, -73.996259)"
"QN","4","1935","29","4019350029","106-20","106-26","CORONA AVENUE","2021000269182","106-20 CORONA LLC","2021-06-15T00:00:00.000","3160000","0.0644","0.0480","2021Q2","11368","40.743727","-73.856279","404","21","439","4447721","Corona","(40.743727, -73.856279)"
"BX","2","3002","47","2030020047","995","995","EAST 173 STREET","2020000050597","CAM 995 EAST 173RD ST ASSOCIATES LLC","2020-01-30T00:00:00.000","3700000","0.0649","0.0410","2020Q1","10460","40.834588","-73.885441","203","17","161","2010886","Crotona Park East","(40.834588, -73.885441)"
"BK","3","1173","7","3011730007","195","195","UNDERHILL AVENUE","2021000014151","195 UNDERHILL LLC","2020-12-31T00:00:00.000","8200000","0.0326","0.0624","2020Q4","11238","40.674968","-73.966725","308","35","207","3029366","Prospect Heights","(40.674968, -73.966725)"
"MN","1","379","37","1003790037","133","133","AVENUE D","2018000281600","EMILY ROSE NELSON 2018 TRUST*JACK HENRY NELSON 2018 TRUST","2018-08-07T00:00:00.000","786751.39","0.6460","0.0333","2018Q3","10009","40.724379","-73.975536","103","2","28","1004556","Lower East Side","(40.724379, -73.975536)"
"MN","1","1585","14","1015850014","525","525","EAST 88 STREET","2019000394887","525 EAST 88 LLC","2019-11-21T00:00:00.000","4575000","0.1239","0.0474","2019Q4","10128","40.776892","-73.945346","108","5","14402","1051345","Yorkville","(40.776892, -73.945346)"
"QN","4","5331","24","4053310024","41-04","41-08","159 STREET","2019000062583","RENATO REALTY LLC","2019-02-19T00:00:00.000","7400000","0.0244","0.0323","2019Q1","11358","40.761773","-73.806641","407","20","1171","4443524","Murray Hill","(40.761773, -73.806641)"
"BX","2","3997","30","2039970030","2446","2446","LYVERE STREET","2019000209139","LYVERE HOLDINGS II LLC","2019-06-28T00:00:00.000","6250000","0.0428","0.0369","2019Q2","10461","40.842477","-73.85227","210","18","204","2042241","Westchester-Unionport","(40.842477, -73.85227)"
"BX","2","3154","22","2031540022","2558","2558","GRAND CONCOURSE","2022000127467","2558 GRAND CONCOURSE REALTY LLC","2022-03-02T00:00:00.000","9000000","0.0451","0.0423","2022Q1","10458","40.86344","-73.896374","207","15","39901","2013609","Bedford Park-Fordham North","(40.86344, -73.896374)"
"BK","3","5685","41","3056850041","5512","5520","15 AVENUE","2018000299739","5520 15TH AVENUE LLC","2018-09-04T00:00:00.000","15000000","0.0340","0.0354","2018Q3","11219","40.628879","-73.991354","312","44","240","3139816","Borough Park","(40.628879, -73.991354)"
"BK","3","5237","41","3052370041","613","623","EAST 16 STREET","2019000394610","SSPF REIT 1 LLC","2019-10-31T00:00:00.000","5943097","0.0758","0.0454","2019Q4","11226","40.635247","-73.962338","314","40","518","3121217","Flatbush","(40.635247, -73.962338)"
"QN","4","3773","7","4037730007","67-05","67-05","75 STREET","2020000076346","ANTON, ENACHE","2020-02-24T00:00:00.000","3700000","0.0552","0.0459","2020Q1","11379","40.712706","-73.877653","405","30","619","4091416","Middle Village","(40.712706, -73.877653)"
"BX","2","3723","48","2037230048","1090","1098","CROES AVENUE","2021000261071","LA CROES EQUITY LLC","2021-06-24T00:00:00.000","5000000","0.0451","0.0484","2021Q2","10472","40.82706","-73.870079","209","18","44","2023605","Soundview-Bruckner","(40.82706, -73.870079)"
"BK","3","6703","35","3067030035","855","855","EAST 19 STREET","2022000145560","855 EAST 19 LLC","2022-03-24T00:00:00.000","8500000","0.0453","0.0431","2022Q1","11230","40.62994","-73.958407","314","45","764","3179451","Flatbush","(40.62994, -73.958407)"
"BX","2","2457","10","2024570010","1236","1236","GRAND CONCOURSE","2018000305998","1236 GRAND CONCOURSE LLC","2018-09-06T00:00:00.000","5170000","0.0394","0.0343","2018Q3","10456","40.835266","-73.916955","204","16","17901","2002767","East Concourse-Concourse Village","(40.835266, -73.916955)"
"QN","4","15663","9","4156630009","22-88","22-88","MOTT AVENUE","2021000002223","HF ROCKAWAY LLC","2020-12-14T00:00:00.000","12035000","0.0423","0.0545","2020Q4","11691","40.605953","-73.758355","414","31","103201","4299581","Far Rockaway-Bayswater","(40.605953, -73.758355)"
"QN","4","5385","7","4053850007","42-41","42-41","155 STREET","2021000141393","FULLER STREET REALTY LLC","2021-03-17T00:00:00.000","3175000","0.0338","0.0496","2021Q1","11355","40.76064","-73.810532","407","20","1187","4121511","East Flushing","(40.76064, -73.810532)"
"MN","1","1901","19","1019010019","125","125","WEST 116 STREET","2018000415776","125 WEST 116TH OWNER, LLC","2018-12-10T00:00:00.000","7300000","0.0306","0.0325","2018Q4","10026","40.80242","-73.950602","110","9","218","1057402","Central Harlem South","(40.80242, -73.950602)"
"BK","3","1833","48","3018330048","227","229","HANCOCK STREET","2018000399586","HANCOCK 21 PP HOLDINGS LLC","2018-11-28T00:00:00.000","6100000","0.0235","0.0340","2018Q4","11216","40.682846","-73.947388","303","36","249","3052307","Bedford","(40.682846, -73.947388)"
"BK","3","4180","14","3041800014","429","429","AUTUMN AVENUE","2022000072960","429 AUTUMN AVE LLC","2022-01-28T00:00:00.000","2833000","0.0756","0.0431","2022Q1","11208","40.679282","-73.86913","305","37","1188","3093921","Cypress Hills-City Line","(40.679282, -73.86913)"
"MN","1","1287","8","1012870008","5","5","EAST 51 STREET","2019000078943","5 EAST 51ST ST DEVELOPMENT COMPANY LLC","2019-02-15T00:00:00.000","44000000","0.0078","0.0330","2019Q1","10022","40.758998","-73.976324","105","4","102","1035467","Midtown-Midtown South","(40.758998, -73.976324)"
"MN","1","461","22","1004610022","228","228","EAST 6 STREET","2021000175485","EVP 228 EAST 6TH ST LLC","2021-04-23T00:00:00.000","9371919","0.0267","0.0556","2021Q2","10003","40.727773","-73.98945","103","2","38","1006620","East Village","(40.727773, -73.98945)"
"MN","1","1046","9","1010460009","347","355","WEST 55 STREET","2018000142122","ANDREA OLSHAN, AS TRUSTEE*MICHAEL OLSHAN, AS TRUSTEE*ET AL","2018-04-13T00:00:00.000","33208.64","42.5128","0.0335","2018Q2","10019","40.765999","-73.985177","104","3","139","1025424","Clinton","(40.765999, -73.985177)"
"MN","1","2180","92","1021800092","51","51","BENNETT AVENUE","2021000434537","51-59 BENNETT AVE. LLC","2021-10-28T00:00:00.000","8000000","0.0303","0.0550","2021Q4","10033","40.852015","-73.935864","112","10","271","1064413","Washington Heights North","(40.852015, -73.935864)"
"BX","2","2448","16","2024480016","256","256","EAST 166 STREET","2019000245656","TTBY ELYA REALTY LLC","2019-07-29T00:00:00.000","1200000","0.0699","0.0393","2019Q3","10456","40.830671","-73.916123","204","16","18101","2002544","East Concourse-Concourse Village","(40.830671, -73.916123)"
"BX","2","2810","50","2028100050","219","221","ECHO PLACE","2018000314318","219 ECHO PLACE LLC","2018-09-13T00:00:00.000","5660000","0.0287","0.0343","2018Q3","10457","40.84976","-73.904756","205","15","23502","2007731","Mount Hope","(40.84976, -73.904756)"
"BX","2","2582","26","2025820026","514","514","TINTON AVENUE","2019000004214","514 TINTON L.P.","2018-12-19T00:00:00.000","7200000","0.0502","0.0344","2018Q4","10455","40.811884","-73.906598","201","8","31","2003969","Mott Haven-Port Morris","(40.811884, -73.906598)"
"MN","1","2180","199","1021800199","110","110","BENNETT AVENUE","2019000112743","110 BENNETT APARTMENTS LLC","2019-04-03T00:00:00.000","18375000","0.0346","0.0351","2019Q2","10033","40.853733","-73.935021","112","10","271","1064442","Washington Heights North","(40.853733, -73.935021)"
"BX","2","2683","94","2026830094","643","643","SOUTHERN BOULEVARD","2021000514684","643 SOUTHERN LLC","2021-12-21T00:00:00.000","5200000","0.0586","0.0440","2021Q4","10455","40.813068","-73.900871","202","8","83","2005091","Longwood","(40.813068, -73.900871)"
"MN","1","593","44","1005930044","16","16","CHRISTOPHER STREET","2019000239973","GOPHER GROUP LLC","2019-07-24T00:00:00.000","2200000","0.1282","0.0353","2019Q3","10014","40.733936","-74.000541","102","3","71","1076824","West Village","(40.733936, -74.000541)"
"BX","2","3074","50","2030740050","663","663","CRESCENT AVENUE","2020000370731","663-667 CRESCENT AVE. LLC","2020-11-23T00:00:00.000","5050000","0.0474","0.0471","2020Q4","10458","40.854194","-73.885873","206","15","391","2012176","Belmont","(40.854194, -73.885873)"
"BK","3","2344","16","3023440016","170","170","NORTH 5 STREET","2020000002653","170 NORTH 5TH STREET OWNER, LLC","2019-12-20T00:00:00.000","11200000","0.0613","0.0454","2019Q4","11211","40.716164","-73.958025","301","34","553","3398052","North Side-South Side","(40.716164, -73.958025)"
"MN","1","2237","43","1022370043","682","682","ACADEMY STREET","2020000235684","682 ACADEMI ST. LLC","2020-08-03T00:00:00.000","6100000","0.0528","0.0606","2020Q3","10034","40.866968","-73.925419","112","10","295","1064943","Marble Hill-Inwood","(40.866968, -73.925419)"
"BK","3","171","49","3001710049","337","337","STATE STREET","2018000423456","BRENDA ROHLMAN, CO-TRUSTEE*HAROLD PINE 2009 FAMILY TRUST*ET AL","2018-12-18T00:00:00.000","3818343.42","0.2213","0.0340","2018Q4","11217","40.687993","-73.985479","302","33","41","3000545","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","(40.687993, -73.985479)"
"BK","3","7422","917","3074220917","2440","2440","EAST 29 STREET","2021000007678","YALE REALTY LLC","2020-12-28T00:00:00.000","850000","1.2263","0.0624","2020Q4","11235","40.592765","-73.941468","315","48","59402","3203569","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","(40.592765, -73.941468)"
"MN","1","1233","27","1012330027","205","205","WEST 85 STREET","2018000380958","AMDA, INC","2018-11-15T00:00:00.000","8000000","0.0572","0.0325","2018Q4","10024","40.787151","-73.975845","107","6","171","1033137","Upper West Side","(40.787151, -73.975845)"
"BK","3","4947","3","3049470003","3010","3010","CLARENDON ROAD","2020000139497","3010 CLARENDON HOLDINGS LLC","2020-04-22T00:00:00.000","2220000","0.0662","0.0562","2020Q2","11226","40.643251","-73.948544","317","45","828","3111253","Erasmus","(40.643251, -73.948544)"
"MN","1","1958","57","1019580057","426","426","ST NICHOLAS AVENUE","2021000460801","426 ST. NICHOLAS AVE. LLC","2021-11-09T00:00:00.000","3225000","0.0489","0.0550","2021Q4","10027","40.814551","-73.949296","110","9","215","1059442","Central Harlem North-Polo Grounds","(40.814551, -73.949296)"
"MN","1","1329","121","1013290121","245","247","EAST 55 STREET","2018000140444","NTB LLC","2018-04-19T00:00:00.000","19500000","0.0193","0.0335","2018Q2","10022","40.758518","-73.967434","106","4","108","1038588","Turtle Bay-East Midtown","(40.758518, -73.967434)"
"BX","2","2978","205","2029780205","907","907","EAST 173 STREET","2019000173441","907 EAST 173RD STREET HOLDING LLC","2019-05-22T00:00:00.000","2450000","0.0509","0.0369","2019Q2","10460","40.835912","-73.889305","203","17","155","2010529","Crotona Park East","(40.835912, -73.889305)"
"BX","2","2800","8","2028000008","1824","1824","WEEKS AVENUE","2019000209140","WEEKS AVENUE ASSOCIATES HOLDINGS LLC","2019-06-28T00:00:00.000","5812000","0.0338","0.0369","2019Q2","10457","40.847275","-73.907322","205","15","22901","2007514","Mount Hope","(40.847275, -73.907322)"
"BK","3","4678","26","3046780026","290","290","EAST 53 STREET","2018000212195","STF 290 EAST 53RD STREET HOLDING LLC","2018-06-21T00:00:00.000","4825000","0.0305","0.0367","2018Q2","11203","40.652879","-73.927587","317","41","868","3102215","Rugby-Remsen Village","(40.652879, -73.927587)"
"QN","4","620","51","4006200051","25-74","25-74","33 STREET","2020000001226","25-74 33RD STREET OWNER, LLC","2019-12-20T00:00:00.000","16600000","0.0503","0.0414","2019Q4","11102","40.769439","-73.917128","401","22","6501","4008690","Astoria","(40.769439, -73.917128)"
"BX","2","2479","5","2024790005","1166","1166","GERARD AVENUE","2020000113955","1166 GERARD AVE. LLC","2020-03-23T00:00:00.000","5150000","0.0511","0.0410","2020Q1","10452","40.834467","-73.920841","204","16","197","2002955","West Concourse","(40.834467, -73.920841)"
"BX","2","4317","19","2043170019","2180","2180","BRONX PARK EAST","2018000295158","2180 BRONX ASSOCIATES LLC","2018-08-22T00:00:00.000","17500000","0.0242","0.0343","2018Q3","10462","40.85566","-73.869871","211","13","22401","2049371","Pelham Parkway","(40.85566, -73.869871)"
"MN","1","2226","35","1022260035","204","208","SHERMAN AVENUE","2019000405440","SSPF REIT 1 LLC","2019-10-31T00:00:00.000","9164556","0.0730","0.0474","2019Q4","10034","40.865408","-73.921075","112","10","293","1064845","Marble Hill-Inwood","(40.865408, -73.921075)"
"MN","1","2215","470","1022150470","135","143","WEST 225 STREET","2021000317497","135 W 225 LLC","2021-07-28T00:00:00.000","14650000","0.0555","0.0553","2021Q3","10463","40.874871","-73.911702","208","10","309","1064644","Marble Hill-Inwood","(40.874871, -73.911702)"
"BK","3","1028","66","3010280066","227","227","13 STREET","2021000074259","225 13 ST, LLC","2021-02-17T00:00:00.000","8500000","0.0633","0.0638","2021Q1","11215","40.667498","-73.989792","306","39","139",,"Park Slope-Gowanus","(40.667498, -73.989792)"
"QN","4","857","13","4008570013","21-51","21-51","27 STREET","2019000290745","STAMOULIS, CONSTANTINE","2019-08-15T00:00:00.000","875000","0.1946","0.0410","2019Q3","11105","40.778559","-73.912133","401","22","103","4018291","Steinway","(40.778559, -73.912133)"
"BX","2","3081","8","2030810008","2120","2120","HUGHES AVENUE","2021000360780","2120 HUGHES LLC","2021-08-26T00:00:00.000","8250000","0.0440","0.0464","2021Q3","10457","40.849724","-73.889972","206","15","373","2114116","East Tremont","(40.849724, -73.889972)"
"BX","2","2624","80","2026240080","653","653","CAULDWELL AVENUE","2021000166027","653 LLC","2021-03-12T00:00:00.000","4500000","0.0723","0.0480","2021Q1","10455","40.816605","-73.909648","201","17","75","2004459","Melrose South-Mott Haven North","(40.816605, -73.909648)"
"MN","1","1519","22","1015190022","151","151","EAST 90 STREET","2021000226333","151 E 90 LLC","2021-05-14T00:00:00.000","15000000","0.0519","0.0556","2021Q2","10128","40.781869","-73.95325","108","5","14802","1048256","Upper East Side-Carnegie Hill","(40.781869, -73.95325)"
"BK","3","5065","65","3050650065","690","690","ROGERS AVENUE","2022000016375","690 ROGERS LLC","2021-12-29T00:00:00.000","6050000","0.0349","0.0436","2021Q4","11226","40.654594","-73.952903","317","40","822","3116244","Prospect Lefferts Gardens-Wingate","(40.654594, -73.952903)"
"MN","1","1056","15","1010560015","439","439","WEST 46 STREET","2022000168870","SANYO CHEMICAL CO., LTD.","2022-03-30T00:00:00.000","12988352","0.0198","0.0502","2022Q1","10036","40.761537","-73.992037","104","3","127","1026484","Clinton","(40.761537, -73.992037)"
"BK","3","6410","27","3064100027","107","107","BAY 25 STREET","2019000090985","CEKA 107 BAY 25 LLC","2019-02-28T00:00:00.000","2975000","0.0388","0.0339","2019Q1","11214","40.601906","-73.999838","311","47","286","3167891","Bath Beach","(40.601906, -73.999838)"
"QN","4","15805","20","4158050020","205","205","BEACH 29 STREET","2019000392436","KNG PROPERTY LLC","2019-11-06T00:00:00.000","4000000","0.0314","0.0414","2019Q4","11691","40.59505","-73.76197","414","31","99802",,"Far Rockaway-Bayswater","(40.59505, -73.76197)"
"BK","3","1234","5","3012340005","808","808","PROSPECT PLACE","2018000349272","DS BROOKLYN PORTFOLIO OWNER LLC","2018-09-21T00:00:00.000","8650000","0.0199","0.0354","2018Q3","11216","40.674275","-73.949526","308","36","31701","3031229","Crown Heights North","(40.674275, -73.949526)"
"QN","4","592","8","4005920008","30-47","30-47","29 STREET","2021000405088","3047 29TH STREET LLC","2021-10-04T00:00:00.000","11200000","0.0514","0.0432","2021Q4","11102","40.766529","-73.923882","401","22","73","4007617","Old Astoria","(40.766529, -73.923882)"
"BK","3","5007","6","3050070006","3201","3201","GLENWOOD ROAD","2020000373896","3201 GLENWOOD ROAD LLC","2020-12-21T00:00:00.000","3750000","0.0782","0.0624","2020Q4","11210","40.634134","-73.945719","317","45","786","3114023","Flatbush","(40.634134, -73.945719)"
"BK","3","1407","41","3014070041","1616","1618","PRESIDENT STREET","2021000378371","1616 PRESIDENT STREET ASSOCIATES LLC","2021-09-14T00:00:00.000","3170000","0.0568","0.0556","2021Q3","11213","40.667186","-73.934586","309","35","353","3037905","Crown Heights North","(40.667186, -73.934586)"
"BK","3","6773","12","3067730012","2626","2626","KINGS HIGHWAY","2018000298145","KINGS 2626 HOLDINGS LLC","2018-08-29T00:00:00.000","15000000","0.0281","0.0354","2018Q3","11229","40.613983","-73.947756","315","48","642","3182257","Madison","(40.613983, -73.947756)"
"BX","2","3819","55","2038190055","2261","2261","HAVILAND AVENUE","2019000186053","2261 HAVILAND HOLDINGS LLC","2019-04-01T00:00:00.000","2450000","0.0410","0.0369","2019Q2","10462","40.830742","-73.848867","209","18","92","2026763","Westchester-Unionport","(40.830742, -73.848867)"
"BK","3","1830","42","3018300042","415","415","JEFFERSON AVENUE","2021000427782","TSM SENECA LLC","2021-10-19T00:00:00.000","3700000","0.0526","0.0436","2021Q4","11221","40.684254","-73.941687","303","36","267","3052084","Bedford","(40.684254, -73.941687)"
"MN","1","280","6","1002800006","33","33","HENRY STREET","2018000424585","33 HENRY STREET CC LLC","2018-12-18T00:00:00.000","5725000","0.0283","0.0325","2018Q4","10002","40.712905","-73.995946","103","1","8","1003403","Chinatown","(40.712905, -73.995946)"
"BK","3","5861","57","3058610057","6830","6830","RIDGE BOULEVARD","2022000032301","6830 RIDGE BLVD. LLC","2022-01-10T00:00:00.000","4600000","0.0342","0.0431","2022Q1","11220","40.637135","-74.028428","310","43","30","3145076","Bay Ridge","(40.637135, -74.028428)"
"BX","2","3997","23","2039970023","2430","2430","LYVERE STREET","2018000155608","RED SEA REALTY LLC","2018-05-07T00:00:00.000","2625000","0.0557","0.0367","2018Q2","10461","40.841714","-73.852232","210","18","204","2042237","Westchester-Unionport","(40.841714, -73.852232)"
"SI","5","574","58","5005740058","45","45","AVON PLACE","2021000194056","45 AVON HOLDINGS LLC","2021-04-21T00:00:00.000","2800000","0.0444","0.0758","2021Q2","10301","40.634902","-74.082788","501","49","17","5014724","Stapleton-Rosebank","(40.634902, -74.082788)"
"BX","2","3318","52","2033180052","2775","2775","MORRIS AVENUE","2021000117764","2775 MORRIS AVE LLC","2021-03-04T00:00:00.000","5675000","0.0433","0.0480","2021Q1","10468","40.869378","-73.894391","207","14","40303","2017513","Van Cortlandt Village","(40.869378, -73.894391)"
"BK","3","7347","1","3073470001","2105","2105","EAST 14 STREET","2021000382060","JIN STAR HOME LLC","2021-08-25T00:00:00.000","3750000","0.0636","0.0556","2021Q3","11229","40.598355","-73.957249","315","48","580","3199521","Madison","(40.598355, -73.957249)"
"BK","3","5194","1","3051940001","2802","2812","CLARENDON ROAD","2019000177214","2802 CLARENDON PARTNERS LLC","2019-05-15T00:00:00.000","6487500","0.0311","0.0333","2019Q2","11226","40.643128","-73.950511","317","45","828","3119966","Erasmus","(40.643128, -73.950511)"
"BX","2","2381","45","2023810045","830","830","ELTON AVENUE","2018000162785","830 ELTON AVE LLC","2018-05-10T00:00:00.000","3900000","0.0411","0.0367","2018Q2","10451","40.822618","-73.912773","203","17","141","2001481","Morrisania-Melrose","(40.822618, -73.912773)"
"BX","2","3023","89","2030230089","2485","2485","ELM PLACE","2022000121286","2485 ELM LLC","2022-03-09T00:00:00.000","4100000","0.0487","0.0423","2022Q1","10458","40.861382","-73.894103","205","15","39902","2011041","Bedford Park-Fordham North","(40.861382, -73.894103)"
"BX","2","3165","11","2031650011","2390","2390","CRESTON AVENUE","2021000495531","2390 C LLC","2021-12-09T00:00:00.000","3800000","0.0264","0.0440","2021Q4","10468","40.860292","-73.899459","205","14","23703","2013792","Fordham South","(40.860292, -73.899459)"
"BK","3","5625","11","3056250011","926","932","47 STREET","2018000406031","926 47TH LLC","2018-11-29T00:00:00.000","6020000","0.0242","0.0340","2018Q4","11219","40.641014","-73.999027","312","38","114","3137064","Borough Park","(40.641014, -73.999027)"
"QN","4","896","28","4008960028","18-01","18-01","SHORE BOULEVARD","2018000413512","FAIRFIELD 18-05 DITMARS BLVD LLC","2018-12-10T00:00:00.000","3100000","0.0462","0.0330","2018Q4",,,,,,,,,
"BX","2","3090","1","2030900001","2400","2400","CAMBRELENG AVENUE","2019000074952","POINT 2400 HOLDINGS LLC","2019-02-28T00:00:00.000","3900000","0.0365","0.0367","2019Q1","10458","40.854627","-73.885301","206","15","389","2012534","Belmont","(40.854627, -73.885301)"
"BK","3","748","53","3007480053","557","557","46 STREET","2020000026244","545-553-557 46TH STREET LLC","2020-01-09T00:00:00.000","3500000","0.0372","0.0512","2020Q1","11220","40.646624","-74.006771","307","38","96","3011633","Sunset Park East","(40.646624, -74.006771)"
"QN","4","16228","73","4162280073","176","176","BEACH 119 STREET","2019000140605","CALLAGHAN, KRISTOPHER JOHN","2019-04-26T00:00:00.000","550000","0.0639","0.0394","2019Q2","11694","40.578348","-73.839388","414","32","93402","4304856","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","(40.578348, -73.839388)"
"BX","2","3154","35","2031540035","2537","2537","VALENTINE AVENUE","2018000186246","AVDI REALTY LLC","2018-05-31T00:00:00.000","6800000","0.0475","0.0367","2018Q2","10458","40.862959","-73.895366","207","15","39901","2013612","Bedford Park-Fordham North","(40.862959, -73.895366)"
