"borough","address","building","court","total_sq","ct_sq","percent_ct","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","location"
"MANHATTAN","253 Broadway","Home Life Building","NON-COURT","272616","0","0","10007","40.713237","-74.007084","101","1","21","1082757","1001347501","MN24","POINT (-74.007084 40.713237)"
"QUEENS","126-02 82nd Avenue","Queens Family Justice Center","NON-COURT","16000","0","0","11415","40.713732","-73.826122","409","29","216","4458616","4096530001","QN60","POINT (-73.826122 40.713732)"
"MANHATTAN","100 Gold St.","100 Gold St.","NON-COURT","594000","0","0","10038","40.710712","-74.003571","101","1","1501","1001289","1000940025","MN25","POINT (-74.003571 40.710712)"
"MANHATTAN","52 Chambers St.","Tweed Courthouse","NON-COURT","170131","0","0","10007","40.713814","-74.005570","101","1","31","1079146","1001220001","MN24","POINT (-74.00557 40.713814)"
"BROOKLYN","209 Joralemon St.","Brooklyn Borough Hall","NON-COURT","50000","0","0","11201","40.692476","-73.990487","302","33","11","3000256","3001390001","BK38","POINT (-73.990487 40.692476)"
"BRONX","350 Marconi","PSACII (May 2016)","NON-COURT","517000","0","0","10461","40.855125","-73.8359","211","13","284","2125035","2042260075","BX37","POINT (-73.8359 40.855125)"
"BROOKLYN","390 Kent Ave.","DFMC Shops","NON-COURT","320000","0","0","11211","40.711246","-73.968348","301","33","549","3063635","3024670001","BK73","POINT (-73.968348 40.711246)"
"QUEENS","88-11 Sutphin Blvd.","Queens Supreme Court","COURT","308200","308200","1","11435","40.704623","-73.809151","412","24","238","4207071","4096910001","QN61","POINT (-73.809151 40.704623)"
"BRONX","1932 Arthur Ave.","Bergen Building","NON-COURT","90000","0","0","10457","40.845685","-73.893294","206","17","36901","2009911","2029470018","BX17","POINT (-73.893294 40.845685)"
"MANHATTAN","314 W. 54th St.","Midtown Community Court","COURT","39150","23490","0.6","10019","40.765082","-73.984997","104","3","133","1025397","1010440022","MN15","POINT (-73.984997 40.765082)"
"MANHATTAN","60 Centre St.","Manhattan Supreme Court","COURT","322300","322300","1","10007","40.714467","-74.002503","101","1","29","1085748","1001600021","MN27","POINT (-74.002503 40.714467)"
"STATEN IS","927 Castleton Ave.","Staten Island Civil Court","COURT","18000","18000","1","10310","40.634751","-74.111712","501","49","105","5004530","5001590065","SI35","POINT (-74.111712 40.634751)"
"BROOKLYN","Brooklyn Navy Yard","OTS Building","NON-COURT","5400","0","0","11205","40.702505","-73.972193","302","33","543","3000000","3020230001","BK99","POINT (-73.972193 40.702505)"
"MANHATTAN","111 Centre St.","Manhattan Civil Court","COURT","467000","453125","0.970289","10013","40.716317","-74.001277","101","1","31","1001833","1001690010","MN24","POINT (-74.001277 40.716317)"
"QUEENS","66-26 Metropolitan Ave.","Central Storehouse","NON-COURT","486000","0","0","11379","40.712349","-73.891274","405","30","61301","4443103","4036050001","QN20","POINT (-73.891274 40.712349)"
"MANHATTAN","22 Reade St.","City Planning Building","NON-COURT","99000","0","0","10007","40.714231","-74.004895","101","1","31","1078613","1001540023","MN24","POINT (-74.004895 40.714231)"
"BROOKLYN","360 Adams St.","Brooklyn Supreme Court","COURT","585000","538200","0.92","11201","40.693941","-73.988911","302","33","11","3000257","3001390020","BK38","POINT (-73.988911 40.693941)"
"QUEENS","25-10 Court House Square","Long Island City Courthouse","COURT","59300","59300","1","11101","40.746059","-73.943466","402","26","19","4000698",,"QN31","POINT (-73.943466 40.746059)"
"STATEN IS","130 Stuyvesant Pl.","130 Stuyvesant Pl.","COURT","150300","74168","0.493466","10301","40.642907","-74.076889","501","49","3","5000085","5000080070","SI22","POINT (-74.076889 40.642907)"
"BROOKLYN","120 Schermerhorn St.","Brooklyn Criminal Court","COURT","264100","242972","0.92","11201","40.690055","-73.988869","302","33","43","3000534","3001690017","BK38","POINT (-73.988869 40.690055)"
"QUEENS","120-55 Queens Blvd.","Queens Borough Hall","NON-COURT","261000","26100","0.1","11415","40.713318","-73.828580","409","29","216","4052812","4022740002","QN60","POINT (-73.82858 40.713318)"
"BRONX","198 E. 161 St.","Concourse Plaza","NON-COURT","231190","0","0","10451","40.826354","-73.921024","204","16","61","2099027","2024430094","BX14","POINT (-73.921024 40.826354)"
"MANHATTAN","60 Lafayette St.","Manhattan Family Court","COURT","491000","343700","0.7","10013","40.716460","-74.002327","101","1","31","1001842","1001710031","MN24","POINT (-74.002327 40.71646)"
"STATEN IS","18 Richmond Terrace","Staten Island Supreme Court","COURT","63200","63200","1","10301","40.643004","-74.075772","501","49","3","5000064","5000070012","SI22","POINT (-74.075772 40.643004)"
"BROOKLYN","541 St Johns Place (COTA)","OCA Academy","COURT","43023","43023","1","11238","40.672978","-73.959981","308","35","217","3389809","3011750001","BK61","POINT (-73.959981 40.672978)"
"STATEN IS","67 Targee St. (vacant)","Staten Island Criminal Court","COURT","21500","19350","0","10304","40.625509","-74.083403","501","49","21","5014078","5005420009","SI37","POINT (-74.083403 40.625509)"
"BROOKLYN","165 Cadman Plaza East","OEM Building","NON-COURT","66000","0","0","11201","40.698698","-73.989873","302","33","13","3000172","3000850006","BK38","POINT (-73.989873 40.698698)"
"MANHATTAN","31 Chambers St.","Manhattan Surrogate's Court","COURT","212500","144500","0.68","10007","40.713402","-74.004635","101","1","31","1001670","1001530024","MN24","POINT (-74.004635 40.713402)"
"BROOKLYN","345 Adams St.","345 Adams St.","NON-COURT","327530","0","0","11201","40.692500","-73.988955","302","33","11","3392969","3001407503","BK38","POINT (-73.988955 40.6925)"
"QUEENS","89-17 Sutphin Blvd.","Queens Civil Court","COURT","320535","320535","1","11435","40.703617","-73.808685","412","24","240","4448759","4096800001","QN61","POINT (-73.808685 40.703617)"
"QUEENS","125-01 Queens Blvd.","Queens Criminal Court","COURT","648000","648000","1","11415","40.712357","-73.826292","409","29","216","4206522","4096530001","QN60","POINT (-73.826292 40.712357)"
"MANHATTAN","2 Lafayette St.","Court Square Building","NON-COURT","363609","0","0","10007","40.713723","-74.003586","101","1","31","1001672","1001550001","MN24","POINT (-74.003586 40.713723)"
"MANHATTAN","115 Chrystie Street","Administration Building","NON-COURT","50000","0","0","10002","40.718647","-73.993586","103","1","18","1005645","1004230022","MN27","POINT (-73.993586 40.718647)"
"BROOKLYN","141 Livingston St. (Leased)","Brooklyn Civil Court","COURT","131436","131436","1","11201","40.690628","-73.988288","302","33","37","3000428","3001540028","BK38","POINT (-73.988288 40.690628)"
"MANHATTAN","80 Centre St.","Louis Lefkowitz Building","NON-COURT","472500","63033","0.133403","10013","40.715447","-74.001890","101","1","29","1001830","1001660027","MN27","POINT (-74.00189 40.715447)"
"MANHATTAN","280 Broadway","Sun Building","NON-COURT","242062","0","0","10007","40.714417","-74.006089","101","1","31","1079215","1001530001","MN24","POINT (-74.006089 40.714417)"
"STATEN IS","111 Canal St. (vacant)","Staten Island Village Hall","NON-COURT","7500","0","0","10304","40.626584","-74.076758","501","49","21","5013729","5005230001","SI37","POINT (-74.076758 40.626584)"
"MANHATTAN","1 Centre St.","Manhattan Municipal Building","NON-COURT","1025400","45400","0.044275","10007","40.713012","-74.004170","101","1","29","1001394","1001210001","MN27","POINT (-74.00417 40.713012)"
"BRONX","215 E. 161 St.","Bronx Family & Criminal Court","COURT","490000","298900","0.61","10451","40.826236","-73.920529","204","16","18302","2002704","2024540001","BX14","POINT (-73.920529 40.826236)"
"STATEN IS","10 Richmond Terrace","Staten Island Borough Hall","NON-COURT","81538","2446","0.029998","10301","40.642439","-74.075328","501","49","3","5000063","5000070001","SI22","POINT (-74.075328 40.642439)"
"BROOKLYN","330 Jay Street","Brooklyn Supreme & Family Court","COURT","821950","657560","0.8","11201","40.694246","-73.987213","302","33","11","3347736","3001407502","BK38","POINT (-73.987213 40.694246)"
