"queens_condominium_property_boro_block_lot","queens_condominium_property_condo_section","queens_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","queens_condominium_property_neighborhood","queens_condominium_property_building_classification","queens_condominium_property_total_units","queens_condominium_property_year_built","queens_condominium_property_gross_sqft","queens_condominium_property_est_gross_income","queens_condominium_property_gross_income_per_sqft","queens_condominium_property_full_market_value","queens_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"4-00184-7501","167-R1","41-09 41 STREET","4","11104","40.746846","-73.922692","2","26","18102","4307113","4001847501","Hunters Point-Sunnyside-West Maspeth                                       ","SUNNYSIDE","R4-ELEVATOR","64","1938","59920","868840","14.5","2939998","49.1","4-00184-0029","41-22 42 STREET","SUNNYSIDE","D1-ELEVATOR","60","1937","61770","888455","14.38","2770000","44.8","0","4-00189-0014","43-23 40 STREET","SUNNYSIDE","D1-ELEVATOR","74","1930","52000","922148","17.73","3450000","66","0.1"
"4-00192-7501","560-R1","41-02 QUEENS BOULEVARD","4","11104","40.743676","-73.923186","2","26","18102","4536861","4001927501","Hunters Point-Sunnyside-West Maspeth                                       ","SUNNYSIDE","R4-ELEVATOR","31","2006","32825","853450","26","3540004","108","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","1.55","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","3.85"
"4-00196-7501","286-R1","47-35 41 STREET","4","11104","40.741019","-73.923857","2","26","18502","4307178","4001967501","Hunters Point-Sunnyside-West Maspeth                                       ","SUNNYSIDE","R4-ELEVATOR","30","1988","27636","607992","22","2599997","94","4-01304-0021","40-19 72 STREET","ELMHURST","D1-ELEVATOR","50","1965","30618","718143","23.45","2970000","97","1.65","4-01332-0026","58-23 43 AVENUE","WOODSIDE","D1-ELEVATOR","35","1990","29636","600632","20.27","2250000","76","0.95"
"4-00199-7501","97-R1","47-55 39 PLACE","4","11104","40.740922","-73.925773","2","26","189","4002706","4001997501","Hunters Point-Sunnyside-West Maspeth                                       ","SUNNYSIDE","R4-ELEVATOR","47","1939","42000","567000","13.5","1769995","42.1","4-00193-0055","45-54 41 STREET","SUNNYSIDE","D9-ELEVATOR","50","1936","44600","648793","14.55","2190000","49.1","0.15","4-00199-0052","47-46 40 STREET","SUNNYSIDE","D1-ELEVATOR","55","1939","50400","692195","13.73","2160000","42.9","0"
"4-00267-7501","518-R1","44-27 PURVIS STREET","4","11101","40.746931","-73.941123","2","26","19","4534900","4002677501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","64","2006","64957","1623925","25","6730002","104","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","1.4","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","0.7"
"4-00414-7501","566-R1","24-15 QUEENS PLAZA NORTH","4","11101","40.751124","-73.940599","1","26","33","4458800","4004147501","Queensbridge-Ravenswood-Long Island City                                   ","LONG ISLAND CITY","R4-ELEVATOR","39","1931","52053","806821","15.5","2729997","52","4-00341-0021","35-03 29 STREET","LONG ISLAND CITY","D1-ELEVATOR","48","1940","35568","546133","15.35","1850000","52","0.65","4-00190-0025","43-08 40 STREET","SUNNYSIDE","D1-ELEVATOR","71","1931","53000","874044","16.49","2960000","56","0.95"
"4-00415-7501","475-R1","41-26 27 STREET","4","11101","40.751417","-73.938715","1","26","33","4533604","4004157501","Queensbridge-Ravenswood-Long Island City                                   ","LONG ISLAND CITY","R4-ELEVATOR","66","2004","66590","1997700","30","9310025","140","4-00021-0070","47-25 CENTER BOULEVARD","LONG ISLAND CITY","D8-ELEVATOR","495","2007","460000","17060015","37.1","36200000","79","1.05","4-09760-0022","90-05 161 STREET","JAMAICA","D6-ELEVATOR","96","2003","54496","1465042","26.9","6070000","111","8"
"4-00415-7502","623-R1","41-23 UNKNOWN","4",,,,,,,,,,"LONG ISLAND CITY","R4-ELEVATOR","121","2007","124347","3233022","26","13999989","113","4-00021-0060","47-05 CENTER BOULEVARD","LONG ISLAND CITY","D8-ELEVATOR","395","2007","466000","11898889","25.5","25200000","54","1.05","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","1.1"
"4-00416-7501","533-R1","27-16 41 AVENUE","4","11101","40.751705","-73.938134","1","26","33","4534901","4004167501","Queensbridge-Ravenswood-Long Island City                                   ","LONG ISLAND CITY","R4-ELEVATOR","26","2005","25938","648450","25","2689999","104","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","1.1","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","0.95"
"4-00432-7501","513-R1","42-51 HUNTER STREET","4","11101","40.748876","-73.939934","2","26","19","4534902","4004327501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","25","2007","30480","762000","25","3159984","104","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","0.75","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","1.3"
"4-00504-7501","466-R1","30-85 VERNON BOULEVARD","4","11102","40.769879","-73.934832","1","26","81","4000000","4005047501","Old Astoria                                                                ","ASTORIA","R4-ELEVATOR","73","2006","71589","1503369","21","6230001","87","4-00884-0012","25-63 22 STREET","ASTORIA","D1-ELEVATOR","73","1991","72000","1512000","21","3210000","44.6","0.55","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","0.25"
"4-00531-7501","529-R1","14-25 BROADWAY","4","11106","40.765898","-73.93289","1","22","77","4534903","4005317501","Astoria                                                                    ","ASTORIA","R4-ELEVATOR","11","2006","6920","0","0","716995","104","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","2","4-01285-0065","37-54 75 STREET","JACKSON HEIGHTS","C7-WALK-UP","17","1964","9380","216560","23.09","897000","96","2.5"
"4-00534-7501","514-R1","30-80 21 STREET","4","11102","40.767984","-73.929342","1","22","79","4534904","4005347501","Old Astoria                                                                ","ASTORIA","R4-ELEVATOR","29","2006","24480","587520","24","2430000","99","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","0.2","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","2.15"
"4-00539-7501","448-R1","14-43 28 AVENUE","4","11102","40.772","-73.928649","1","22","83","4530775","4005397501","Old Astoria                                                                ","ASTORIA","R4-ELEVATOR","57","2006","19588","450524","23","1870017","95","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","5.1","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","0.45"
"4-00541-7501","490-R1","18-10 27 AVENUE","4","11102","40.772707","-73.927106","1","22","83","4533415","4005417501","Old Astoria                                                                ","ASTORIA","R9-CONDOPS","18","2005","18833","414326","22","1720000","91","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","5.1","4-00573-0046","27-10 ASTORIA BOULEVARD","ASTORIA","D7-ELEVATOR","27","2004","25920","519388","20.04","1940000","75","0.3"
"4-00549-7501","568-R1","21-24 30 AVENUE","4","11102","40.769778","-73.927593","1","22","79","4536915","4005497501","Old Astoria                                                                ","ASTORIA","R4-ELEVATOR","27","2006","30386","744457","24.5","3230004","106","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","2.3","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","4.95"
"4-00570-7501","535-R1","23-23 31 AVENUE","4","11106","40.766562","-73.928203","1","22","73","4534905","4005707501","Old Astoria                                                                ","ASTORIA","R4-ELEVATOR","30","0","26598","664950","25","2750001","103","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","2.15","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","4.85"
"4-00570-7502","620-R1","23-03 31 AVENUE","4","11106","40.766573","-73.928232","1","22","73","4540106","4005707502","Old Astoria                                                                ","ASTORIA","R4-ELEVATOR","15","2008","11282","282050","25","1170001","104","4-00021-0060","47-05 CENTER BOULEVARD","LONG ISLAND CITY","D8-ELEVATOR","395","2007","466000","11898889","25.5","25200000","54","2.15","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","0.25"
"4-00571-7501","198-R1","23-22 30 ROAD","4","11102","40.76831","-73.926891","1","22","73","4311890","4005717501","Old Astoria                                                                ","ASTORIA","R4-ELEVATOR","85","1932","61600","985600","16","3330000","54","4-00587-0018","32-35 30 STREET","ASTORIA","C1-WALK-UP","86","1928","58000","1102991","19.02","4120000","71","0.45","4-00582-0049","33-15 28 STREET","ASTORIA","C1-WALK-UP","66","1933","47684","730563","15.32","2470000","52","0.45"
"4-00573-7501","565-R1","25-25 NEWTOWN AVENUE","4","11102","40.770009","-73.92312","1","22","69","4536835","4005737501","Old Astoria                                                                ","ASTORIA","R4-ELEVATOR","30","2006","18292","439008","24","1820000","99","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","2.5","4-00573-0046","27-10 ASTORIA BOULEVARD","ASTORIA","D7-ELEVATOR","27","2004","25920","519388","20.04","1940000","75","0"
"4-00576-7501","136-R1","30-06 30 AVENUE","4","11102","40.767189","-73.92204","1","22","63","4007649","4005930025","Astoria                                                                    ","ASTORIA","R9-CONDOPS","88","1937","67704","1032486","15.25","3490000","52","4-00582-0049","33-15 28 STREET","ASTORIA","C1-WALK-UP","66","1933","47684","730563","15.32","2470000","52","0.5","4-00575-0015","28-28 29 STREET","ASTORIA","C1-WALK-UP","54","1928","41310","656327","15.89","2220000","54","0.1"
"4-00577-7501","87-R1","30-44 29 STREET","4","11102","40.766515","-73.923914","1","22","73","4006953","4005777501","Old Astoria                                                                ","ASTORIA","R4-ELEVATOR","125","1963","99600","1643400","16.5","5559993","56","4-00567-0007","23-35 BROADWAY","ASTORIA","D9-ELEVATOR","74","1963","79950","1634198","20.44","6110000","76","0.3","4-00576-0036","27-10 30 AVENUE","ASTORIA","D1-ELEVATOR","66","1963","50850","810693","15.94","2740000","54","0.05"
"4-00579-7502","224-R1","25-10 31 AVENUE","4","11106","40.765584","-73.926139","1","22","75","4311892","4005797502","Astoria                                                                    ","ASTORIA","R4-ELEVATOR","74","1950","55000","797500","14.5","2700006","49.1","4-00571-0001","30-60 CRESCENT STREET","ASTORIA","D1-ELEVATOR","79","1963","82637","1135624","13.74","3540000","42.8","0.25","4-00576-0036","27-10 30 AVENUE","ASTORIA","D1-ELEVATOR","66","1963","50850","810693","15.94","2740000","54","0.3"
"4-00593-7501","592-R1","30-27 30 STREET","4","11102","40.766569","-73.922741","1","22","63","4536836","4005937501","Astoria                                                                    ","ASTORIA","R4-ELEVATOR","11","2007","8320","208000","25","862000","104","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","0.5","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","0.5"
"4-00660-7501","655-R1","30-63 38 STREET","4","11103","40.762737","-73.917024","1","22","155","4540108","4006607501","Astoria                                                                    ","ASTORIA","R4-ELEVATOR","13","2007","9767","273476","28","1129998","116","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","0.85","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","4.25"
"4-00676-7501","599-R1","32-86 BEACH 41 STREET","4","11691","40.592387","-73.772609","14","31","97202",,,"Hammels-Arverne-Edgemere                                                   ","ASTORIA","R4-ELEVATOR","19","2005","14723","368075","25","1520001","103","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","0.9","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","0.9"
"4-00769-7501","631-R1","45-02 DITMARS BOULEVARD","4","11105","40.770738","-73.903082","1","22","137","4014554","4007697501","Steinway                                                                   ","ASTORIA","R4-ELEVATOR","201","1910","194780","4285160","22","17451633","90","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","1.5","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","4.1"
"4-00807-7501","358-R1","21-81 38 STREET","4","11105","40.773713","-73.906352","1","22","121","4015922","4008077501","Steinway                                                                   ","ASTORIA","R9-CONDOPS","32","1992","34650","554400","16","1870000","54","4-00579-0070","31-28 29 STREET","ASTORIA","D1-ELEVATOR","44","1971","34050","701900","20.61","2620000","77","1.3","4-00619-0033","31-20 28 ROAD","ASTORIA","C1-WALK-UP","12","1987","9053","136528","15.08","462000","51","0.9"
"4-00830-7501","197-R1","21-05 33 STREET","4","11105","40.776865","-73.90777","1","22","113","4442363","4008307501","Steinway                                                                   ","ASTORIA","R9-CONDOPS","618","1932","430000","6557500","15.25","22200000","52","4-00566-0001","32-16 33 AVENUE","ASTORIA","D1-ELEVATOR","66","1930","46050","759519","16.49","2570000","56","1.4","4-00620-0051","25-74 33 STREET","ASTORIA","D1-ELEVATOR","60","1931","46584","722241","15.5","2440000","52","0.7"
"4-00904-7501","375-R1","25-54 12 STREET","4","11102","40.775274","-73.928999","1","22","91","4307272","4009047501","Old Astoria                                                                ","ASTORIA","R4-ELEVATOR","32","1994","17250","327750","19","1299998","75","4-00573-0046","27-10 ASTORIA BOULEVARD","ASTORIA","D7-ELEVATOR","27","2004","25920","519388","20.04","1940000","75","0.5","4-00598-0018","26-39 30 STREET","ASTORIA","C1-WALK-UP","14","1999","10000","193214","19.32","722000","72","0.65"
"4-00905-7501","319-R1","25-40 SHORE BOULEVARD","4","11102","40.775801","-73.928785","1","22","91","4438544","4009057501","Old Astoria                                                                ","ASTORIA","R4-ELEVATOR","405","1989","372700","6522250","17.5","24400003","65","4-00908-0001","8-15 27 AVENUE","ASTORIA","D1-ELEVATOR","128","1969","112482","2286555","20.33","4850000","43.1","0.1","4-00903-0007","26-45 9 STREET","ASTORIA","D1-ELEVATOR","108","1972","131250","2092491","15.94","7070000","54","0.1"
