"unique_id","publish_date","site_id","status","ppt_id","address","city","state","zip","boro","latitude","longitude","cross_street_1","cross_street_2","corner","install_date","active_date","wifi_status","tablet_status","phone_status","community_board","council_district","census_tract","nta","nta_name"
"20181120_041521.mn-09-134826","2018-11-20T04:15:21.000","mn-09-134826","Link Active!","134826_134827","598 WEST 146 STREET","New York","NY","10031","Manhattan","40.826928","-73.949868","AMSTERDAM AVENUE","BROADWAY","SEC","2017-10-28T00:00:00.000","2018-03-13T00:00:00.000","up","up","up","9","7","229","MN04","Hamilton Heights"
"20181120_041521.mn-07-108104","2018-11-20T04:15:21.000","mn-07-108104","Link Active!","108104","817 AMSTERDAM AVENUE","New York","NY","10025","Manhattan","40.796374","-73.968542","WEST 100 STREET","WEST 99 STREET","SE","2016-07-30T00:00:00.000","2016-10-10T00:00:00.000","up","up","up","7","7","185","MN12","Upper West Side"
"20181120_041521.mn-11-120232","2018-11-20T04:15:21.000","mn-11-120232","Link Active!","120232","2004 3 AVENUE","New York","NY","10029","Manhattan","40.79427312","-73.94285894","EAST 110 STREET","EAST 111 STREET","NW","2016-03-05T00:00:00.000","2016-03-22T00:00:00.000","up","up","up","11","8","172","MN33","East Harlem South"
"20181120_041521.bk-02-127256","2018-11-20T04:15:21.000","bk-02-127256","Link Active!","127256","320 SCHERMERHORN STREET","New York","NY","11217","Brooklyn","40.68721034","-73.9817194","NEVINS STREET","3 STREET","SE","2017-08-10T00:00:00.000","2017-11-21T00:00:00.000","up","up","up","2","33","39","BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"20181120_041521.qu-09-145880","2018-11-20T04:15:21.000","qu-09-145880","Link Active!","145880","106-15 JAMAICA AVENUE","New York","NY","11418","Queens","40.69541981","-73.84055056","107 STREET","106 STREET","NW","2017-07-15T00:00:00.000","2017-08-09T00:00:00.000","up","down","up","9","32","26","QN54","Richmond Hill"
"20181120_041521.bk-08-145919","2018-11-20T04:15:21.000","bk-08-145919","Link Active!","145919","488 BERGEN STREET","New York","NY","11217","Brooklyn","40.68064989","-73.97437496","6 AVENUE","CARLTON AVENUE","SE","2017-08-31T00:00:00.000","2018-01-08T00:00:00.000","up","up","up","8","35","161","BK64","Prospect Heights"
"20181120_041521.bk-08-145903","2018-11-20T04:15:21.000","bk-08-145903","Link Active!","145903","550 VANDERBILT AVENUE","New York","NY","11238","Brooklyn","40.68042562","-73.96799938","DEAN STREET","PACIFIC STREET","NW","2017-07-31T00:00:00.000","2018-01-08T00:00:00.000","up","up","up","8","35","163","BK64","Prospect Heights"
"20181120_041521.bk-08-132895","2018-11-20T04:15:21.000","bk-08-132895","Link Active!","132895","773 WASHINGTON AVENUE","New York","NY","11238","Brooklyn","40.673692","-73.96286903","ST. JOHNS PLACE","STERLING PLACE","NE","2017-12-08T00:00:00.000","2018-03-08T00:00:00.000","up","up","up","8","35","215","BK64","Prospect Heights"
"20181120_041521.qu-01-133224","2018-11-20T04:15:21.000","qu-01-133224","Link Active!","133224_133225","30-01 33 STREET","New York","NY","11103","Queens","40.76592996611995","-73.91988166174906","30 AVENUE","31 AVENUE","SE","2017-05-12T00:00:00.000","2017-06-26T00:00:00.000","up","up","up","1","22","63","QN70","Astoria"
"20181120_041521.mn-09-135240","2018-11-20T04:15:21.000","mn-09-135240","Link Active!","135240_135241","1701 AMSTERDAM AVENUE","New York","NY","10031","Manhattan","40.824646","-73.947909","WEST 144 STREET","WEST 145 STREET","NE","2017-11-22T00:00:00.000","2018-05-11T00:00:00.000","up","up","up","9","7","227","MN04","Hamilton Heights"
"20181120_041521.qu-12-138095","2018-11-20T04:15:21.000","qu-12-138095","Link Active!","138095","163-08 JAMAICA AVENUE","New York","NY","11433","Queens","40.70468655","-73.79662039","163 STREET","164 STREET","SE","2016-08-27T00:00:00.000","2016-10-07T00:00:00.000","up","down","up","12","27","44601","QN61","Jamaica"
"20181120_041521.qu-03-136366","2018-11-20T04:15:21.000","qu-03-136366","Link Active!","136366","95-31 ROOSEVELT AVENUE","New York","NY","11372","Queens","40.7491117","-73.87062416","WARREN STREET","95 STREET","NW","2017-07-22T00:00:00.000","2017-09-08T00:00:00.000","up","up","up","3","21","273","QN28","Jackson Heights"
"20181120_041521.mn-11-120199","2018-11-20T04:15:21.000","mn-11-120199","Link Active!","120199","2240 2 AVENUE","New York","NY","10029","Manhattan","40.7963604555244","-73.9381073170192","EAST 115 STREET","EAST 116 STREET","NE","2016-12-18T00:00:00.000","2017-02-17T00:00:00.000","up","up","up","11","8","188","MN34","East Harlem North"
"20181120_041521.mn-08-120979","2018-11-20T04:15:21.000","mn-08-120979","Link Active!","120979","201 EAST 66 STREET","New York","NY","10065","Manhattan","40.76590165","-73.96318025","3 AVENUE","2 AVENUE","NE","2017-04-08T00:00:00.000","2017-06-05T00:00:00.000","up","up","up","8","4","118","MN31","Lenox Hill-Roosevelt Island"
"20181120_041521.mn-06-133477","2018-11-20T04:15:21.000","mn-06-133477","Link Active!","133477_133478","845 3 AVENUE","New York","NY","10022","Manhattan","40.75691135","-73.96981621","EAST 52 STREET","EAST 51 STREET","SE","2016-03-18T00:00:00.000","2016-03-28T00:00:00.000","up","up","up","6","4","98","MN19","Turtle Bay-East Midtown"
"20181120_041521.mn-05-122053","2018-11-20T04:15:21.000","mn-05-122053","Link Active!","122053_122054","1256 BROADWAY","New York","NY","10001","Manhattan","40.74813894","-73.9881009","WEST 32 STREET","WEST 31 STREET","NE","2016-11-12T00:00:00.000","2017-04-10T00:00:00.000","up","up","up","5","4","76","MN17","Midtown-Midtown South"
"20181120_041521.mn-03-121470","2018-11-20T04:15:21.000","mn-03-121470","Link Active!","121470","224 2 AVENUE","New York","NY","10003","Manhattan","40.732206","-73.98482253","EAST 13 STREET","EAST 14 STREET","SE","2017-03-19T00:00:00.000","2017-06-14T00:00:00.000","up","up","up","3","2","40","MN22","East Village"
"20181120_041521.mn-05-121991","2018-11-20T04:15:21.000","mn-05-121991","Link Active!","121991_122108","550 7 AVENUE","New York","NY","10018","Manhattan","40.75431145","-73.98833004","WEST 39 STREET","WEST 40 STREET","NW","2016-11-12T00:00:00.000","2017-01-18T00:00:00.000","up","up","up","5","3","113","MN17","Midtown-Midtown South"
"20181120_041521.mn-05-135169","2018-11-20T04:15:21.000","mn-05-135169","Link Active!","135169_135170","552 7 AVENUE","New York","NY","10018","Manhattan","40.75459325","-73.98813678","WEST 40 STREET","WEST 39 STREET","SW","2017-08-19T00:00:00.000","2018-02-15T00:00:00.000","up","up","up","5","3","113","MN17","Midtown-Midtown South"
"20181120_041521.mn-05-122088","2018-11-20T04:15:21.000","mn-05-122088","Link Active!","122088","1604 BROADWAY","New York","NY","10019","Manhattan","40.760640694666904","-73.98446630563723","WEST 49 STREET","WEST 48 STREET","SE","2016-04-30T00:00:00.000","2016-07-18T00:00:00.000","up","up","up","5","4","125","MN17","Midtown-Midtown South"
"20181120_041521.mn-05-136609","2018-11-20T04:15:21.000","mn-05-136609","Link Active!","136609","775 6 AVENUE","New York","NY","10001","Manhattan","40.74493317","-73.99147237","WEST 26 STREET","WEST 27 STREET","NW","2017-10-07T00:00:00.000","2018-02-15T00:00:00.000","up","up","up","5","3","95","MN17","Midtown-Midtown South"
"20181120_041521.mn-06-139110","2018-11-20T04:15:21.000","mn-06-139110","Link Active!","139110","880 3 AVENUE","New York","NY","10022","Manhattan","40.75785145","-73.96943631","EAST 53 STREET","EAST 54 STREET","NW","2017-07-29T00:00:00.000","2017-10-25T00:00:00.000","up","up","up","6","4","100","MN19","Turtle Bay-East Midtown"
"20181120_041521.mn-07-133403","2018-11-20T04:15:21.000","mn-07-133403","Link Active!","133403_133412","2085 BROADWAY","New York","NY","10023","Manhattan","40.77909594","-73.98205439","WEST 72 STREET","WEST 73 STREET","NW","2016-04-22T00:00:00.000","2016-05-16T00:00:00.000","up","up","up","7","6","159","MN14","Lincoln Square"
"20181120_041521.mn-08-120986","2018-11-20T04:15:21.000","mn-08-120986","Link Active!","120986_120987","1172 3 AVENUE","New York","NY","10065","Manhattan","40.76733134560097","-73.96252262392522","EAST 68 STREET","EAST 69 STREET","NW","2016-03-19T00:00:00.000","2016-04-15T00:00:00.000","up","up","up","8","4","120","MN40","Upper East Side-Carnegie Hill"
"20181120_041521.mn-09-134795","2018-11-20T04:15:21.000","mn-09-134795","Link Active!","134795_134796","3599 BROADWAY","New York","NY","10031","Manhattan","40.82831959","-73.94929876","WEST 148 STREET","WEST 147 STREET","SW","2017-10-20T00:00:00.000","2018-03-13T00:00:00.000","up","up","up","9","7","233","MN04","Hamilton Heights"
"20181120_041521.mn-06-123285","2018-11-20T04:15:21.000","mn-06-123285","Link Active!","123285","353 EAST 14 STREET","New York","NY","10003","Manhattan","40.73152105","-73.9827647","1 AVENUE","2 AVENUE","NW","2016-11-05T00:00:00.000","2017-02-01T00:00:00.000","up","up","up","6","2","48","MN21","Gramercy"
"20181120_041521.mn-07-108008","2018-11-20T04:15:21.000","mn-07-108008","Link Active!","108008","801 AMSTERDAM AVENUE","New York","NY","10025","Manhattan","40.795951","-73.968849","WEST 99 STREET","WEST 100 STREET","NE","2016-07-28T00:00:00.000","2016-10-10T00:00:00.000","up","up","up","7","7","185","MN12","Upper West Side"
"20181120_041521.mn-09-120565","2018-11-20T04:15:21.000","mn-09-120565","Link Active!","120565_120577","1722 AMSTERDAM AVENUE","New York","NY","10031","Manhattan","40.825419","-73.947604","WEST 145 STREET","WEST 146 STREET","NW","2016-06-24T00:00:00.000","2017-02-01T00:00:00.000","up","up","up","9","7","229","MN04","Hamilton Heights"
"20181120_041521.mn-11-120225","2018-11-20T04:15:21.000","mn-11-120225","Link Active!","120225","1896 3 AVENUE","New York","NY","10029","Manhattan","40.790862","-73.945348","EAST 105 STREET","EAST 104 STREET","SW","2016-05-21T00:00:00.000","2016-06-15T00:00:00.000","up","up","up","11","8","166","MN33","East Harlem South"
"20181120_041521.qu-12-141541","2018-11-20T04:15:21.000","qu-12-141541","Link Active!","141541","163-02 JAMAICA AVENUE","New York","NY","11433","Queens","40.70460911","-73.79680056","163 STREET","GUY R BREWER BOULEVARD","SE","2016-08-27T00:00:00.000","2016-09-23T00:00:00.000","up","up","up","12","27","44601","QN61","Jamaica"
"20181120_041521.qu-12-141540","2018-11-20T04:15:21.000","qu-12-141540","Link Active!","141540","163-33 JAMAICA AVENUE","New York","NY","11432","Queens","40.705143","-73.795897","164 STREET","163 STREET","NW","2016-08-27T00:00:00.000","2016-11-30T00:00:00.000","up","up","up","12","24","44601","QN61","Jamaica"
"20181120_041521.qu-01-125132","2018-11-20T04:15:21.000","qu-01-125132","Link Active!","125132","32-04 30 AVENUE","New York","NY","11102","Queens","40.76638612","-73.92045929","32 STREET","33 STREET","SE","2017-05-06T00:00:00.000","2017-07-10T00:00:00.000","up","up","up","1","22","63","QN70","Astoria"
"20181120_041521.qu-04-124856","2018-11-20T04:15:21.000","qu-04-124856","Link Active!","124856_124857","82-61 BROADWAY","New York","NY","11373","Queens","40.74199055","-73.88106477","ELMHURST AVENUE","VIETOR AVENUE","NW","2017-08-05T00:00:00.000","2017-08-24T00:00:00.000","up","up","up","4","25","271","QN29","Elmhurst"
"20181120_041521.bx-01-146083","2018-11-20T04:15:21.000","bx-01-146083","Link Active!","146083","296 WILLIS AVENUE","New York","NY","10454","Bronx","40.81025520368941","-73.92192322650817","EAST 140 STREET","EAST 139 STREET","SE","2018-05-02T00:00:00.000","2018-06-11T00:00:00.000","up","up","up","1","8","39","BX39","Mott Haven-Port Morris"
"20181120_041521.bk-08-145935","2018-11-20T04:15:21.000","bk-08-145935","Link Active!","145935","2 UNDERHILL AVENUE","New York","NY","11238","Brooklyn","40.68088788","-73.96466835","PACIFIC STREET","BEND","NE","2017-09-23T00:00:00.000","2018-04-10T00:00:00.000","up","up","up","8","35","203","BK64","Prospect Heights"
