"objectid","globalid","seating_interest_sidewalk","restaurant_name","legal_business_name","doing_business_as_dba","bulding_number","street","borough","zip","business_address","food_service_establishment","sidewalk_dimensions_length","sidewalk_dimensions_width","sidewalk_dimensions_area","roadway_dimensions_length","roadway_dimensions_width","roadway_dimensions_area","approved_for_sidewalk_seating","approved_for_roadway_seating","qualify_alcohol","sla_serial_number","sla_license_type","landmark_district_or_building","landmarkdistrict_terms","healthcompliance_terms","time_of_submission","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"10009","{007F35C7-3419-4A92-8E8A-4EA4A148C90D}","openstreets","El Rey Del Pescado","El Rey Del Pescado","El Rey Del Pescado","4515","5th Ave","Brooklyn","11200","4515  5th Ave , Brooklyn, NY","50100328",,,,,,,"no","no","yes","Jun-86","OP","no",,"yes","2020-08-07T14:14:00.000","40.647761","-74.007542","7","38","96","3011588","3007480004","Sunset Park East"
"1001","28927cac-eb8a-44c2-8df3-02bdaec4fdb1","both","Treadwell Park & Black Hound Bar","301 South LLC","Treadwell Park & Black Hound Bar","301","South End Avenue","Manhattan","10280","301 South End Avenue, Manhattan, NY","41699341","144","5","720","144","8","1152","yes","yes","yes","1256140; 1256141","OP","no",,"yes","2020-06-19T14:16:00.000","40.710233","-74.016333","1","1","31704","1085492","1000160001","Battery Park City-Lower Manhattan"
"10010","{0D45F856-FFE6-4F0E-8F33-6F8797650F0A}","openstreets","La Cabana","La Cabana","La Cabana","4503","5th Ave","Brooklyn","11220","4503  5th Ave , Brooklyn, NY","41348986",,,,,,,"no","no","yes","May-98","OP","no",,"yes","2020-08-07T14:19:00.000","40.64781","-74.007492","7","38","96","3011647","3007480107","Sunset Park East"
"10011","{9D4D45FB-0F0D-4355-8B29-5CBA468A1F87}","openstreets","Nourish Thai","Heng Heng group INC","Nourish Thai","637A","Vanderbilt Ave","Brooklyn","11215","637A Vanderbilt Ave , Brooklyn, NY","50062426",,,,,,,"no","no","yes","Aug-71","RW","yes","yes","yes","2020-08-07T14:35:00.000","40.678042","-73.968714","8","35","205","3028480","3011520005","Prospect Heights"
"10012","{8929558A-8896-42E3-8076-91435B7726E7}","sidewalk","Chez Josephine","Chez Josephine LTD","Chez Josephine LTD","414","W 42nd St","Manhattan","10036","414  W 42nd St, Manhattan, NY","40384671","20","11","220",,,,"yes","no","yes","Dec-13","OP","no",,"yes","2020-08-07T14:39:00.000","40.758712","-73.993326","4","3","115","1026332","1010510040","Clinton"
"10013","{CC8E130C-5859-4FCE-8E9B-9C14CE769011}","roadway","La Flor Restaurant and Cafe","La Flor Restaurant Cafe Corp.","La Flor Restaurant Cafe Corp.","53-02","Roosevelt Avenue","Queens","11377","53-02  Roosevelt Avenue, Queens, NY","50038174",,,,"30","8","240","no","yes","yes","Oct-86","RW","no",,"yes","2020-08-07T14:41:00.000","40.74451","-73.911345","2","26","251","4030921","4013220065","Woodside"
"10014","{41F74F8B-0C67-4093-826F-EC5E3AB3DBBF}","openstreets","ABC El Salvadorin Grocery INC","ABC El Salvadorin Grocery Inc","ABC El Salvadorin Grocery Inc","4620","5th","Brooklyn","11220","4620 5th , Brooklyn, NY","50103003",,,,,,,"no","no","no",,,"no",,"yes","2020-08-07T14:51:00.000",,,,,,,,
"10015","{F26CB212-F0FA-423A-820C-D961862B2589}","both","A-Pou's Taste","Cyber LLC","Cyber LLC","963","Grand St","Brooklyn","11211","963 Grand St, Brooklyn, NY","50070157","10","12","120","10","8","80","yes","yes","yes","May-03","RW","no",,"yes","2020-08-07T14:51:00.000","40.713085","-73.936027","1","34","481","3070478","3029240044","East Williamsburg"
"10016","{F232C84F-5235-4093-885C-A6F6B08B9AEB}","sidewalk","Public House NYC","Public House NYC, LLC","Public House NYC, LLC","622","3rd avenue","Manhattan","10017","622 3rd avenue, Manhattan, NY","41259512","48","30","1440",,,,"yes","no","yes","Feb-41","OP","no",,"yes","2020-08-07T14:55:00.000","40.749581","-73.975324","6","4","80","1089024","1012950033","Murray Hill-Kips Bay"
"10017","{BAD229EC-7B1F-4A6C-83AE-C26434856778}","openstreets","Arco Cafe","Nuoro LLC","Arco Cafe","886","Amsterdam ave","Manhattan","10025","886  Amsterdam ave, Manhattan, NY","50087864",,,,,,,"no","no","yes","Feb-95","OP","no",,"yes","2020-08-07T15:09:00.000","40.798751","-73.966956","7","7","191","1056565","1018750029","Upper West Side"
"10018","{B39F757B-86F2-423D-830A-91B0AA1E6922}","both","Soda Bar","Taiga Restaurant Corp","Taiga Restaurant Corp","629","Vanderbilt Ave.","Brooklyn","11238","629  Vanderbilt Ave., Brooklyn, NY","40881088","42","7","294","42","8","336","yes","yes","yes","Aug-94","OP","yes","yes","yes","2020-08-07T15:49:00.000","40.678287","-73.968623","8","35","205","3028485","3011520010","Prospect Heights"
"10019","{5432EDEE-1520-4DC9-8147-78C5C1323079}","both","Brazmex Cafe","Brazmex Cafe","Brazmex Cafe","241","Beach 116 Street","Queens","11694","241 Beach 116 Street, Queens, NY","50101886","13","13","169","13","8","104","yes","yes","no",,,"no",,"yes","2020-08-07T15:49:00.000","40.58055","-73.83764","14","32","93402","4304446","4162120022","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"1002","15375146-0904-48d9-82ad-707258454689","both","I SODI","I SODI LLC","I SODI","105","CHRISTOPHER STREET","Manhattan","10014","105  CHRISTOPHER STREET, Manhattan, NY","413116656","45","12","540","45","12","540","yes","yes","yes","12002148","OP","yes","yes","yes","2020-06-19T14:40:00.000","40.73331","-74.004868","2","3","73","1076912","1006190038","West Village"
"10020","{67358302-4035-4842-887A-98BEA5DCDD3B}","both","Dalongyi Hot Pot","DL&Y LLC","DL&Y LLC","40-44","elizabeth street","Manhattan","10013","40-44 elizabeth street, Manhattan, NY","50092177","56","4","224","56","7","392","yes","yes","yes","Feb-16","OP","no",,"yes","2020-08-07T15:58:00.000","40.716803","-73.996811","2","1","41","1002603","1002030002","SoHo-TriBeCa-Civic Center-Little Italy"
"10021","{3C8DA83D-31AF-4B2C-8060-8D1A42E3FFE6}","sidewalk","Gerizim Burger Factory","Gerizim Burger Factory","Gerizim Burger Factory","560","Ralph","Brooklyn","11233","560  Ralph, Brooklyn, NY","50037266","15","5","75",,,,"yes","no","no",,,"no",,"yes","2020-08-07T16:00:00.000",,,,,,,,
"10022","{F1247218-BCAA-4DE1-8BF5-82FFAE61C3FA}","both","Don Giovanni","Marilyn 18 rest inc","Don Giovanni ristorante","358","west 44th","Manhattan","10036","358 west 44th, Manhattan, NY","50097296","32","6","192","33","8","264","yes","yes","no",,,"no",,"yes","2020-08-07T16:07:00.000",,,,,,,,
"10023","{80934DA8-1BF0-408A-855B-BF9E125D7D92}","openstreets","Taiwan pork chop house","Taiwan pork chop house","Taiwan pork chop house","3","Doyers","Manhattan","10013","3 Doyers , Manhattan, NY","50005809",,,,,,,"no","no","no",,,"yes","yes","yes","2020-08-07T16:19:00.000","40.714258","-73.997857","3","1","29","1001703","1001620033","Chinatown"
"10024","{EDFA343E-D5E2-4CD2-8DEC-428B8B385446}","both","Gerizim Burger Factory","Gerizim Burger Factory","Gerizim Burger Factory","560","Ralph","Brooklyn","11233","560 Ralph , Brooklyn, NY","50037266","15","5","75","34","5","170","yes","yes","no",,,"no",,"yes","2020-08-07T16:23:00.000",,,,,,,,
"10025","{1327B8C3-8357-47FC-8EDB-05DDD310005D}","both","Gerizim Burger Factory","Gerizim Burger Factory","Gerizim Burger Factory","560","Ralph","Brooklyn","11233","560 Ralph, Brooklyn, NY","50037266","15","5","75","30","5","150","yes","yes","no",,,"no",,"yes","2020-08-07T16:40:00.000",,,,,,,,
"10026","{4B935FDB-7915-4664-842F-DAED781A0C8A}","sidewalk","Triangle Apple, LLC dba Applebee's Neighborhood Grill & Bar","Triangle Apple, LLC","Applebee's Neighborhood Grill & Bar","2201","Nostrand Ave","Brooklyn","11210","2201 Nostrand Ave, Brooklyn, NY","41378990","74","18","1332",,,,"yes","no","yes","Oct-28","OP","no",,"yes","2020-08-07T16:54:00.000","40.631039","-73.947487","14","45","774","3396696","3075767501","Flatbush"
"10027","{0DB633AD-76C9-46ED-8904-F164F467FA97}","sidewalk","Sammy's Original Shrimp Box","Sammy's S.B. Rest. Corp","Sammy's Original Shrimp Box","64","City Island Avenue","Bronx","10464","64  City Island Avenue , Bronx, NY","41397464","90","7","630",,,,"yes","no","yes","Jan-49","OP","no",,"yes","2020-08-07T16:55:00.000","40.8396","-73.783632","10","13","516","2082404","2056380011","Pelham Bay-Country Club-City Island"
"10028","{8FA72C2A-C1F3-4CE8-8BF7-A544F064F6F6}","both","Bar Bruno","Tessa and Lucho Inc","Bar Bruno","520","Henry Street","Brooklyn","11231","520 Henry Street, Brooklyn, NY","41577501","85","6","510","51","8","408","yes","yes","yes","Jun-27","OP","no",,"yes","2020-08-07T17:08:00.000","40.683374","-73.999784","6","39","63","3004484","3003430023","Carroll Gardens-Columbia Street-Red Hook"
"10029","{DFC54A72-91C4-4026-8EBD-1F01B9BF61CD}","openstreets","GUPSHUP","GPH NY LLC","GUPSHUP","113-115","E 18 STREET","Manhattan","10003","113-115 E 18 STREET, Manhattan, NY","50085326",,,,,,,"no","no","yes","May-87","OP","no",,"yes","2020-08-07T17:08:00.000","40.7368","-73.987746","5","2","50","1017863","1008740010","Gramercy"
"1003","a323f70c-c586-42a7-8f87-53b230fb1a95","both","Tito Murphy's","CDDF Inc.","Tito Murphys","346","West 46th.","Manhattan","10036","346 West 46th., Manhattan, NY","41312094","34","12","408","34","10","340","yes","yes","yes","1199101","OP","no",,"yes","2020-06-19T14:05:00.000",,,,,,,,
"10030","{6E7851A1-FA88-498E-8A47-18DDDFBC81BE}","openstreets","Groove","125 Hospitality LLC","125 Hospitality LLC","125","Macdougal St","Manhattan","10012","125 Macdougal St, Manhattan, NY","50060161",,,,,,,"no","no","yes","Nov-58","OP","no",,"yes","2020-08-07T17:13:00.000","40.730527","-74.000054","2","1","65","1008764","1005430060","West Village"
"10031","{16970672-86EA-4027-8F8A-5C7F9B212164}","sidewalk","Taste of Lahore Inc","Taste of Lahore Inc","Taste of Lahore","73-10","Northern Blvd","Queens","11372","73-10 Northern Blvd, Queens, NY","41700337","35","15","525",,,,"yes","no","no",,,"no",,"yes","2020-08-07T17:31:00.000","40.754694","-73.89353","3","25","289","4028633","4012460001","Jackson Heights"
"10032","{2DDC4737-F8FF-4E41-8161-A1C863CFCF54}","sidewalk","Universal Halal Inc","Universal Halal Inc","Universal Halal Cuisine","128-16","Liberty Avenue","Queens","11419","128-16 Liberty Avenue, Queens, NY","50039475","20","15","300",,,,"yes","no","no",,,"no",,"yes","2020-08-07T17:37:00.000","40.689053","-73.816891","10","28","15802","4204761","4095820006","South Ozone Park"
"10033","{2D48EC64-B0AA-4656-824F-81FF1532498F}","both","chasers bar and grill","inbing inc","inbing inc","60-63","flushing ave","Queens","11378","60-63   flushing ave, Queens, NY","41395526","35","7","245","35","8","280","yes","yes","yes","Jun-84","OP","no",,"yes","2020-08-07T17:38:00.000","40.720129","-73.90558","5","30","525","4060285","4026980046","Maspeth"
"10034","{6AEDE8E7-FE75-445B-869E-B862E577B04C}","roadway","Enoteca On Court","Marco Polo takeout LLC","Marco Polo takeout LLC","347","Court Street","Brooklyn","11231","347 Court Street, Brooklyn, NY","41296556",,,,"12","8","96","no","yes","yes","Feb-75","OP","no",,"yes","2020-08-07T17:52:00.000","40.682232","-73.995951","6","39","75","3007222","3004350008","Carroll Gardens-Columbia Street-Red Hook"
"10035","{A1BF41DB-FC16-491B-8699-4FB62FDA32AA}","both","Beto's Restaurant Inc","Beto's Restaurant Inc","Beto's Restaurant","835","East 152 St Frnt 3","Bronx","10455","835 East 152 St Frnt 3, Bronx, NY","41700337","10","12","120","10","8","80","yes","yes","no",,,"no",,"yes","2020-08-07T18:04:00.000",,,,,,,,
"10036","{FE63E11B-1E7A-437F-820E-B4FA74C8E009}","both","la villa pizza","di bella corp","la villa pizza","261","5th ave","Brooklyn","11215","261 5th ave, Brooklyn, NY","40952129","40","8","320","40","8","320","yes","yes","yes","Dec-06","OP","no",,"yes","2020-08-07T18:06:00.000","40.674461","-73.981881","6","39","133","3020608","3009650009","Park Slope-Gowanus"
"10037","{8687F20F-B974-4D00-8ABC-686AE06FD4E9}","both","Marco Polo Ristorante","345 Court street Corp","345 Court street Corp","345","Court street","Brooklyn","11231","345 Court street, Brooklyn, NY","40376495","24","8","192","14","8","112","yes","yes","yes","Nov-71","OP","no",,"yes","2020-08-07T18:09:00.000","40.68229","-73.995922","6","39","75","3007223","3004350009","Carroll Gardens-Columbia Street-Red Hook"
"10038","{595E6DAF-2D64-408A-8267-E12CC39C1C19}","both","Gerizim Burger Factory","Gerizim Burger Factory","Gerizim Burger Factory","560","Ralph","Brooklyn","11233","560 Ralph, Brooklyn, NY","50037266","15","5","75","30","5","150","yes","yes","no",,,"no",,"yes","2020-08-07T19:14:00.000",,,,,,,,
"10039","{2535F30E-AC40-4D67-85A4-DFE910102D8F}","sidewalk","Evolve","Reddrover group LLC","Evolve bar and lounge","221","221 E 58TH ST","Manhattan","10022","221 221 E 58TH ST, Manhattan, NY","41296528","24","15","360",,,,"yes","no","yes","B0902391","TW","no",,"yes","2020-08-07T20:16:00.000",,,,,,,,
"1004","d72969d8-aa89-485a-82f2-eabe10d22131","both","Raku Soho","San Roku LLC","Raku Soho","48","Macdougal St.","Manhattan","10012","48 Macdougal St., Manhattan, NY","50071943","16","13","208","16","8","128","yes","yes","yes","1301272","RW","yes","yes","yes","2020-06-19T14:40:00.000","40.727321","-74.002738","2","3","49","1008063","1005180006","SoHo-TriBeCa-Civic Center-Little Italy"
"10040","{8CB2A498-EF0D-45B5-8729-A54948CF48C1}","both","Silvia L Duran","Silvia L Duran","Silvia L Duran","1555","St Nicholas Avenue","Manhattan","10040","1555 St Nicholas Avenue, Manhattan, NY","50002057","44","12","528","44","8","352","yes","yes","yes","Dec-38","OP","no",,"yes","2020-08-07T20:34:00.000","40.8535","-73.930687","12","10","279","1063997","1021680015","Washington Heights North"
"10041","{A174043F-74AD-47BB-80BB-AE4A93C90A2F}","sidewalk","El Nuevo Pollo Sabroso","Pollos Sabroso Corp","Pollos Sabroso Corp","1779","Westchester Ave","Bronx","10472","1779 Westchester Ave , Bronx, NY","41306447","24","8","192",,,,"yes","no","no",,,"no",,"yes","2020-08-07T20:36:00.000","40.83167","-73.867128","9","18","76","2025620","2037860001","West Farms-Bronx River"
"10042","{EF4FF471-7FBF-47E9-81B8-4D6244066E34}","both","SLAINTE","PGT REST CORP.","PGT REST CORP.","304","BOWERY","Manhattan","10012","304 BOWERY, Manhattan, NY","41012338","24","11","264","24","8","192","yes","yes","yes","Dec-32","OP","yes","yes","yes","2020-08-07T21:13:00.000","40.724655","-73.992427","2","1","5502","1008204","1005217503","West Village"
"10043","{1DCCC01F-33DD-44E8-859C-068952ABF1CC}","sidewalk","Tacos Y Mas","Tacos Y Mas Inc.","Tacos Y Mas Inc.","1831","Mott Ave","Queens","11691","1831 Mott Ave, Queens, NY","50070043","30","13","390",,,,"yes","no","no",,,"no",,"yes","2020-08-07T21:54:00.000","40.603102","-73.750756","14","31","101001","4298248","4155600030","Far Rockaway-Bayswater"
"10044","{16F69F40-97BE-4A3F-8CF0-B7DB1C2F4FCE}","both","luv.n.oven pizzeria","lad-st-felix corp","lad-st-felix corp","120","Dekalb ave","Brooklyn","11217","120 Dekalb ave, Brooklyn, NY","50085607","45","5","225","45","8","360","yes","yes","no",,,"no",,"yes","2020-08-07T22:22:00.000","40.689787","-73.977669","2","35","33","3340923","3020970039","Fort Greene"
"10045","{72A65A0B-8F77-4036-82AC-910FD693D3AC}","both","Thai101","Batavia nyc2 INC","Thai101","39-15","Bel Blvd","Queens","11361","39-15  Bel Blvd, Queens, NY","50000950","16","8","128","16","8","128","yes","yes","yes","Jan-86","OP","no",,"yes","2020-08-08T01:21:00.000",,,,,,,,
"10046","{749CFC3E-2DF2-4041-81A0-4CD1358EEE53}","sidewalk","Mally's Deli & Grocery corp.","Mally's Deli & Grocery corp.","Mally's Deli & Grocery corp.","199","Knickerbocker av","Brooklyn","11237","199  Knickerbocker av , Brooklyn, NY","50036711","23","17","391",,,,"yes","no","yes","Sep-85","EB","yes","yes","yes","2020-08-08T01:36:00.000","40.703528","-73.92663","4","34","427","3072343","3031750006","Bushwick North"
"10047","{87D00DDC-509C-4D07-81B1-5D2C03B84107}","openstreets","Thai101","Batavia NYC2Inc","Thai101","39-15","Bell Blvd","Queens","11361","39-15  Bell Blvd, Queens, NY","50000950",,,,,,,"no","no","yes","Jan-86","OP","no",,"yes","2020-08-08T01:47:00.000","40.76506","-73.771745","11","19","1123","4137620","4062410010","Bayside-Bayside Hills"
"10048","{245F97CB-F82F-4AE9-8C74-A660ABB42B7F}","both","Meltingpot Cusine","MELTINGPOT CUSINE","MELTINGPOT CUSINE","685","Broadway","Brooklyn","11206","685  Broadway, Brooklyn, NY","50102329","30","15","450","30","8","240","yes","yes","no",,,"no",,"yes","2020-08-08T08:41:00.000","40.701819","-73.943727","1","34","491","3071598","3031190008","East Williamsburg"
"10049","{313AA95C-03C9-4FCA-844B-C6D3F9DE7240}","openstreets","LENA","Gizona corporation","LENA","1west","8 street","Manhattan","10011","1west 8 street, Manhattan, NY","50008108",,,,,,,"no","no","yes","Jul-00","TW","yes","yes","yes","2020-08-08T09:23:00.000",,,,,,,,
"1005","fd4d6674-f491-43cd-89c9-7013d586350b","roadway","The Kettle Black","PER Tavern Corp","PER Tavern Corp","8622","3rd Ave","Brooklyn","11209","8622  3rd Ave, Brooklyn, NY","41035072",,,,"73","8","584","no","yes","yes","1150419","OP","no",,"yes","2020-06-19T14:38:00.000","40.62324","-74.031164","10","43","60","3153441","3060430047","Bay Ridge"
"10050","{68594F7F-8B93-4E27-838B-E3A060BAA3B1}","both","Le Bilboquet","Le Bilboquet NY LLC","Le Bilboquet","22","East 60th Street","Manhattan","10022","22 East 60th Street, Manhattan, NY","50001109","41","4","164","41","8","328","yes","yes","yes","Nov-70","OP","no",,"yes","2020-08-08T10:13:00.000","40.764091","-73.970684","8","4","11401","1040761","1013740047","Upper East Side-Carnegie Hill"
"10051","{3E301D0C-8010-4405-81FC-7677B593CB37}","openstreets","TASTY HAND-PULLED NOODLES","NEW TASTY HAND-PULLED NOODLES INC.","TASTY HAND-PULLED NOODLES","1","DOYERS STREET","Manhattan","10013","1 DOYERS STREET, Manhattan, NY","41641642",,,,,,,"no","no","no",,,"no",,"yes","2020-08-08T10:53:00.000","40.714094","-73.997634","3","1","29","1001725","1001620133","Chinatown"
"10052","{6FE32D11-BBC9-426D-846B-4B42E08A29A6}","both","Tiramisu restaurant","Tiramisu restaurant llc","Tiramisu restaurant","1410","Third avenue","Manhattan","10028","1410  Third avenue, Manhattan, NY","40520857","58","8","464","38","8","304","yes","yes","yes","Jul-13","OP","no",,"yes","2020-08-08T11:04:00.000","40.77511","-73.956703","8","5","140","1047521","1015090033","Upper East Side-Carnegie Hill"
"10053","{7BABFD9C-096B-48BB-8D16-6121FE461D4D}","both","NUTRICION SALUD Y VIDA","MARIA DEL ROCIO MEJIA JIMENEZ","MARIA DEL ROCIO MEJIA JIMENEZ","650","MELROSE AVE","Bronx","10455","650  MELROSE AVE , Bronx, NY","41720417","16","11","176","16","8","128","yes","yes","no",,,"no",,"yes","2020-08-08T11:07:00.000","40.818605","-73.916611","1","17","67","2001356","2023740073","Melrose South-Mott Haven North"
"10054","{A7E77848-584F-4B44-84A9-F73BE3658CF9}","openstreets","Dive 106","Seinfeld Squared LLC","Dive 106","938","Amsterdam","Manhattan","10025","938 Amsterdam, Manhattan, NY","50076821",,,,,,,"no","no","yes","Jan-83","OP","no",,"yes","2020-08-08T11:22:00.000",,,,,,,,
"10055","{3E8FDB13-5909-419B-8068-960F4BEDA0E5}","openstreets","OMAR'S","OMAR'S LES LLC","OMAR'S LES LLC","302","BROOME STREET","Manhattan","10002","302 BROOME STREET, Manhattan, NY","50099170",,,,,,,"no","no","yes","Jan-20","OP","no",,"yes","2020-08-08T11:31:00.000","40.718735","-73.992211","3","1","18","1066637","1004197501","Chinatown"
"10056","{B6539D82-6A85-48C2-8B69-534FE7EC8DEC}","sidewalk","DUNKIN DONUTS","NYC Broadway Foods Inc","DUNKIN DONUTS","2414","BROADWAY","Manhattan","10024","2414 BROADWAY, Manhattan, NY","50094935","15","3","45",,,,"yes","no","no",,,"no",,"yes","2020-08-08T12:08:00.000","40.790014","-73.97515","7","6","175","1033301","1012360044","Upper West Side"
"10057","{158EABEF-DF86-4B85-8906-B36672674BA9}","sidewalk","DUNKIN DONUTS","NYC 155 FOODS INC","DUNKIN DONUTS","900","SAINT NICHOLAS AVENUE","Manhattan","10032","900 SAINT NICHOLAS AVENUE, Manhattan, NY","50044842","15","3","45",,,,"yes","no","no",,,"no",,"yes","2020-08-08T12:10:00.000","40.831005","-73.94132","12","7","239","1062481","1021070003","Washington Heights South"
"10058","{4CC562DA-2D62-4287-86AE-36D715058C88}","both","Pizzatown","Pizzatown","Pizzatown","85","5th Avenue","Brooklyn","11217","85   5th Avenue , Brooklyn, NY","41710581","3","5","15","8","8","64","yes","yes","yes","Dec-00","EB","no",,"yes","2020-08-08T12:38:00.000","40.68004","-73.977993","6","39","12902","3018852","3009380007","Park Slope-Gowanus"
"10059","{5A0F9168-3D6D-4179-89A6-5FDD32EB850C}","both","Fleming By Le Bilboquet","27 East Restaurant Holdings LLC","Fleming By Le Bilboquet","27","East 62nd Street","Manhattan","10065","27 East 62nd Street, Manhattan, NY","50078577","36","4","144","36","8","288","yes","yes","yes","Sep-75","OP","no",,"yes","2020-08-08T12:54:00.000","40.76537","-73.969781","8","4","11401","1040895","1013770024","Upper East Side-Carnegie Hill"
"1006","34271bf0-45e2-4881-8991-30f7842c5017","both","The Bronx Beer Hall","The Bronx Beer Hall","The Bronx Beer Hall","2344","Arthur Avenue","Bronx","10460","2344  Arthur Avenue , Bronx, NY","50042128","20","4","80","12","6","72","yes","yes","yes","1265496","TW","yes","yes","yes","2020-06-19T14:41:00.000","40.854247","-73.888674","6","15","391","2012125","2030730013","Belmont"
"10060","{D3D23D24-5613-49F8-883F-AE5BE6F9D031}","both","Cafe Bilboquet","26 East 60th Street Hospitality LLC","Cafe Bilboquet","26","East 60th Street","Manhattan","10022","26 East 60th Street, Manhattan, NY","50061117","12","4","48","12","8","96","yes","yes","yes","Jan-60","RW","no",,"yes","2020-08-08T13:01:00.000","40.764069","-73.97063","8","4","11401","1040760","1013740046","Upper East Side-Carnegie Hill"
