"base_license_number","base_name","dba","year","month","month_name","total_dispatched_trips","total_dispatched_shared_trips","unique_dispatched_vehicles"
"B00411","FONE-A-CAR INC",,"2020","9","September","202","0","65"
"B02917","C & A BLACK CAR CORP.",,"2019","1","January","315","0","28"
"B01811","IVOIRE LIMO INC.",,"2018","7","July","757","0","24"
"B02423","77 EXPRESS CAR & LIMO SERVICE, INC.",,"2017","10","October","191","0","1"
"B02111","HUANG HOU CAR SERVICES INC.","HUANG HOU CAR SERVICES INC.","2019","11","November","11053","0","59"
"B02912","FIRST CLASS LUXURY INC",,"2017","6","June","1221","0","9"
"B03147","H H CAR SERVICE INC",,"2021","3","March","1004","0","13"
"B00202","EXCELSIOR CAR & LIMO, INC.",,"2021","12","December","85","0","4"
"B02898","SANO CAR LLC",,"2016","5","May","2065","0","15"
"B00171","CURB TRANSPORTATION SERVICES LLC.",,"2021","6","June","2743","0","25"
"B02909","PUERTO RICO EXPRESS BLACK LUXURY INC",,"2020","9","September","657","0","5"
"B01644","MUSIC EXPRESS/N.Y. INC",,"2018","9","September","1936","0","50"
"B02855","JUNIORS LUXURY INC","MEGA JUNIORS","2021","2","February","1549","0","14"
"B01601","YOURS CAR SERVICE INC",,"2018","5","May","4627","0","15"
"B02782","NEW APP CAR & LIMO INC",,"2015","4","April","66","0","15"
"B01509","BRUNWISH ENTERPRISES,LTD.","EASTLAND CAR SERVICE","2021","8","August","2125","0","15"
"B01509","BRUNWISH ENTERPRISES,LTD.","EASTLAND CAR SERVICE","2016","11","November","21653","0","87"
"B02279","MATAMOROS CAR SERVICE INC.",,"2017","11","November","9221","0","24"
"B00531","FRIENDLY BEST-WAY TRANSPORTATION, INC.",,"2016","3","March","2824","0","12"
"B03048","ATLANTIS TRANSPORTATION SERVICES INC",,"2018","1","January","1189","0","10"
"B02834","811 TRANSIT CORP",,"2015","11","November","323","0","10"
"B01800","EMPIRE INTERNATIONAL LTD.",,"2017","7","July","6924","0","261"
"B02590","LUXOR LIMO INC",,"2017","12","December","2037","0","46"
"B02925","SIGNATURE BLACK CAR LLC",,"2016","3","March","82","0","17"
"B02107","APOLLO RADIO DISPATCH INC.",,"2022","5","May","3799","0","33"
"B02962","HEALTH BLACK CAR SERVICES, CORP","ADON","2018","1","January","345","0","16"
"B00756","T & S HILLSIDE INC.","RED CAP CAR SERVICE","2018","7","July","5342","0","29"
"B01454","FREEDOM LIMO & CAR SERVICE",,"2022","5","May","2128","0","9"
"B00001","LONDON TOWNCARS INC",,"2020","8","August","171","0","11"
"B00225","DELANCEY TRANSPORTATION INC.",,"2016","3","March","20404","0","91"
"B03074","BLACKBIRD WORLDWIDE CORP",,"2020","12","December","36","0","5"
"B01343","ALL PEOPLE CAR SERVICE INC.",,"2017","5","May","2756","0","19"
"B02677","A.T.B. CAR AND LIMOUSINE SERVICE, INC.",,"2016","9","September","23517","0","132"
"B03147","H H CAR SERVICE INC",,"2021","10","October","818","0","14"
"B01312","BROOKLYN RAD DISP INC",,"2017","12","December","15645","0","168"
"B02254","FINESSE GROUP LIMOUSINE,INC.",,"2019","6","June","488","0","4"
"B02120","HARRISON GLOBAL LLC","BOSTON COACH","2015","11","November","7671","0","154"
"B02987","7 WAYS TRANSPORTATION CORP.",,"2021","1","January","47","0","2"
"B02990","GO MY SEDAN LLC",,"2021","6","June","213","0","3"
"B01244","MASADA II C/L SVC INC",,"2019","3","March","511","0","6"
"B00151","KINGSBAY CAR SERVICE INC",,"2018","2","February","293","0","29"
"B02839","YERUSHALAYIM CAR&LIMO INC",,"2019","11","November","748","0","3"
"B01263","RACHEL'S CAR SERVICE,INC.",,"2017","4","April","4216","0","22"
"B02657","MALCOLM LIMO EXPRESS CORP.",,"2020","8","August","3344","0","30"
"B01413","SFL INC",,"2021","8","August","321","0","21"
"B02664","CORPORATE CAR LTD.",,"2016","7","July","207","0","52"
"B02738","EXPLORER CAR SERVICE INC.",,"2019","7","July","225","0","2"
"B01653","ART'S PLACE INC.","ON TIME CAR SERVICE","2016","6","June","2994","0","17"
"B01534","METRO CAR SERVICE CORP.","METROLINE CAR SERVICE","2018","1","January","3073","0","17"
"B03143","LUXORIDE INC","CITYROAD","2019","3","March","6","0","5"
"B02424","FRIENDLY RIDE INC",,"2016","10","October","749","0","37"
"B02182","FINEST CAR SERVICE, LLC",,"2016","5","May","615","0","4"
"B02661","MIC-LOU CAR SERVICES_LLC","LULU CAR SERVICES","2021","4","April","993","0","10"
"B02217","PCS LIMOUSINE INC.",,"2017","2","February","374","0","9"
"B01958","ST.ALBANS-HOLLIS CAR SERVICE INC.",,"2018","7","July","116","0","1"
"B03033","FLEX EXPRESS CORP.",,"2018","6","June","4611","0","24"
"B00449","A KINGS HWY C/S INC.",,"2016","5","May","5505","0","24"
"B00369","BOULEVARD OPERATING INC.",,"2016","3","March","63","0","12"
"B03194","SUNNY DAY TRANSPORTATION,CORP","SUN LIGHT CAR AND LIMO","2022","5","May","419","0","6"
"B02809","NBT TRANSPORTATION INC",,"2018","3","March","7909","0","49"
"B02641","AVENUE X CAR SERVICE INC.","PRESTIGE CAR SERVICE","2018","5","May","210","0","2"
"B02101","EXEC TRANSPORT INC","EAST COAST WORLDWIDE LIMOUSINE","2019","9","September","5827","0","183"
"B02674","ELAL CAR LIMO SERVICE LLC","FIFTH AVENUE CAR LIMO SERVICE","2018","2","February","2867","0","12"
"B01069","RPO CAR AND LIMOUSINE SERVICE INC.",,"2021","7","July","535","0","2"
"B02833","ADVANCED LUXURY LIMO SVC. INC.",,"2019","10","October","474","0","7"
"B02728","NEWTOWN PRIVATE CAR SERVICE INC.",,"2020","3","March","1929","0","11"
"B03200","L & J LOGISTICS CORP.",,"2021","8","August","549","0","5"
"B01285","UNION RADIO DISPATCH INC",,"2021","2","February","6828","0","43"
"B02658","ASCONA CAR SERVICE INC.",,"2021","12","December","603","0","5"
"B01811","IVOIRE LIMO INC.",,"2019","5","May","1370","0","29"
"B03250","SALAM CAR SERVICE INC.",,"2020","1","January","372","0","10"
"B02930","V.I.T. BLACK CAR TRANSPORTATION CORP.",,"2021","12","December","3870","0","21"
"B01339","R C AUDUBON SVC INC",,"2018","12","December","8529","0","67"
"B01215","ECUADOOR CORP",,"2017","12","December","12759","0","54"
"B02687","ECO RIDE INC.","ELECTRIC BLUE CAR SERVICE","2021","3","March","639","0","4"
"UBER","UBER","UBER","2018","10","October","14663999","4045741","75606"
"B02389","EMBARQUE N.Y., INC.",,"2015","5","May","1410","0","19"
"B00412","NYC 2 WAY INTERNATIONAL LTD",,"2021","12","December","6503","0","63"
"B02717","ZOOM CAR SERVICE INC.",,"2018","8","August","505","0","2"
"B00552","HINO-MARU ENTERPRISES INC.",,"2019","9","September","165","0","28"
"B01899","ALLSTATE PRIVATE CAR & LIMO,INC",,"2022","2","February","17622","0","114"
"B01876","QUALITY EXECUTIVE LIMOUSINE L.L.C",,"2015","11","November","40","0","4"
"B02219","ALL QUEENS CAR & LIMOUSINE INC.","CAR ON TIME","2017","1","January","161","0","8"
"B01721","W.K. CAR & LIMO SERVICE INC",,"2019","5","May","2237","0","16"
"B02026","A RIDE FOR ALL LLC",,"2019","1","January","37","0","1"
"B01651","U.P.S. RADIO DISPATCH CORP.","WIRELESS CAR SERVICE","2015","11","November","8705","0","40"
"B00965","BEN JEVO MGT. INC.","NEWPORT CAR SERVICE","2018","11","November","13040","0","72"
"B03055","EXPLORER EXPRESS INC",,"2019","3","March","3020","0","25"
"B02027","PARIS LIMOUSINE SERVICE, CORP",,"2016","5","May","992","0","43"
"B00345","MARTIN'S BELLE HARBOR CAR SERVICE",,"2021","2","February","52","0","3"
"B01196","DIPLO RAD DISP INC",,"2020","9","September","8723","0","48"
"B00381","BELL RADIO INC",,"2016","1","January","5845","0","126"
"B02913","DAT TRANSPORTATION INC.",,"2021","7","July","1","0","1"
"B02050","MAZIN  CAR & LIMO SVC., LLC",,"2020","9","September","139","0","1"
"B01536","FIRST CLASS C/L SVC CORP",,"2021","6","June","11791","0","68"
"B02929","OTTOMAN TRANSPORTATION INC.",,"2018","11","November","43","0","1"
"B02133","TWR CAR & LIMO, INC.",,"2017","12","December","14634","0","157"
"B02686","STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.",,"2017","8","August","248","0","15"
"B00445","JOE M LEASING CORP","FOUR TWO'S PVT C/S","2019","11","November","7614","0","21"
"B01057","NEW AMERICAN C/L SVC",,"2021","1","January","530","0","10"
"B02162","A B C SHUTTLE SERVICES CORPORATION","ABC CAR SERVICES","2020","2","February","2445","0","45"
"B02162","A B C SHUTTLE SERVICES CORPORATION","ABC CAR SERVICES","2016","6","June","30","0","6"
"B00623","MANHATTAN INT'L LIMO NETWORK LLC",,"2015","4","April","424","0","10"
"B01742","AVALON TRANSPORTATION, LLC",,"2019","1","January","213","0","9"
"B02774","ALFRED HOLDINGS INC.","ALFRED EXECUTIVE TRANSPORTATION","2016","12","December","3158","0","36"
"B00254","XYZ TWO WAY RADIO",,"2019","5","May","13542","0","200"
"B02175","MURRAY'S LIMOUSINE SERVICE INC.",,"2019","3","March","88","0","6"
"B02240","NEW APPLE TRANS. INC.","PALPAL LIMO","2020","11","November","13","0","3"
"B00965","BEN JEVO MGT. INC.","NEWPORT CAR SERVICE","2021","1","January","6404","0","43"
"B02101","EXEC TRANSPORT INC","EAST COAST WORLDWIDE LIMOUSINE","2021","9","September","1238","0","42"
"B01233","NEW LACONIA RAD DISP INC",,"2021","3","March","5816","0","24"
"B01980","READY TO ROLL TRANSPORTATION, INC.",,"2016","11","November","335","0","18"
"B00280","FLEET RADIO DISPATCH CORP.","MINUTEMEN","2019","11","November","2169","0","57"
"B02725","KIRIN TRANSPORTATION INC",,"2019","5","May","56","0","7"
"B01233","NEW LACONIA RAD DISP INC",,"2022","5","May","4834","0","25"
"B00412","NYC 2 WAY INTERNATIONAL LTD",,"2020","1","January","7602","0","87"
"B02550","AGAPE LUXURY CORP.",,"2018","12","December","17159","104","171"
"B02416","NEW STORM CAR SERVICE, INC.",,"2018","4","April","3202","0","12"
"B02101","EXEC TRANSPORT INC","EAST COAST WORLDWIDE LIMOUSINE","2019","3","March","1079","0","153"
"B02470","VAHANA INC.",,"2015","12","December","392","0","12"
"LYFT","LYFT","LYFT","2016","10","October","1112748","0","15926"
"B01536","FIRST CLASS C/L SVC CORP",,"2019","12","December","14563","0","93"
"B00272","BIG APPLE CAR INC",,"2020","1","January","1871","0","79"
"B03083","DIVINE LUXURY TRANSPORTATION INC",,"2018","11","November","966","0","8"
"B02840","RAELEEN CAR CORP.",,"2022","5","May","583","0","4"
"B00477","INTA-BORO ACRES INC",,"2015","12","December","11769","0","181"
"B01699","DT BROOKLYN CAR AND LIMO SVC. INC.","FIVE BOROUGHS CAR SERVICE","2017","9","September","189","0","3"
"B03062","BQN VOUCHER INC",,"2019","7","July","1145","0","7"
"B02737","BWJ GROUP INC",,"2021","12","December","914","0","5"
"B01600","R & N CAR SERVICE INC.","EVERYWHERE CAR SERVICE","2020","1","January","365","0","16"
"B01339","R C AUDUBON SVC INC",,"2021","1","January","5866","0","43"
"B00445","JOE M LEASING CORP","FOUR TWO'S PVT C/S","2016","3","March","11094","0","22"
"B03231","BIG 'O' LIMO CORP",,"2019","5","May","1","0","1"
"B02851","GALLANT CAR SERVICE CORP.",,"2018","11","November","231","0","2"
"B01593","NOVAK GLOBAL, INC.","SKYWAY CAR SERVICE","2022","6","June","219","0","1"
"B02410","POLO LIMOUSINE, CORP.",,"2017","12","December","1219","0","44"
"B02962","HEALTH BLACK CAR SERVICES, CORP","ADON","2018","9","September","819","0","9"
"B00387","FORTUNE LIMOUSINES INC",,"2021","5","May","82","0","3"
"B02790","LAN TIAN CAR SERVICE, INC",,"2018","7","July","2","0","2"
"B01644","MUSIC EXPRESS/N.Y. INC",,"2022","5","May","1144","0","31"
"B00706","VIC & BAY CAR SERVICE, INC","DEJOY'S RED TOP","2020","3","March","10612","0","35"
"B03033","FLEX EXPRESS CORP.",,"2021","5","May","2249","0","14"
"B02424","FRIENDLY RIDE INC",,"2016","5","May","805","0","25"
"B01367","ROYAL DISPATCH SERVICES, INC.","EXECUTIVE CARS","2020","9","September","508","0","16"
"B02207","EASTERN LUXURY, INC.",,"2018","3","March","419","0","84"
"B03055","EXPLORER EXPRESS INC",,"2020","11","November","726","0","19"
"B00955","GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.",,"2017","10","October","809","0","33"
"B02594","FENIX MOBILE DISPATCHERS LTD",,"2017","2","February","793","0","5"
"B02391","BAYRIDGE EXPRESS, INC",,"2018","4","April","1420","0","23"
"B02534","DV LUXURY TRANSPORTATION CORPORATION",,"2016","11","November","8437","0","79"
"B02163","JUNIORS EXPRESS CAR SERVICE INC.",,"2017","6","June","1921","0","10"
"B01525","NORTHSIDE BK LLC",,"2018","2","February","5603","0","118"
"B00196","NEW EASY WAY RADIO DISP INC",,"2016","5","May","1267","0","19"
"B03191","GUILLEN TRANSPORTATION SERVICES INC",,"2021","7","July","6","0","1"
"B01432","TOVAR TRANSPORTATION INC",,"2017","8","August","4348","0","19"
"B02924","CELEBRITY LUXURY INC.",,"2017","8","August","5758","0","55"
"B03015","TRI-COUNTY BLACK CARS INC",,"2020","9","September","2704","0","11"
"B02541","HIBA CAR & LIMO SVC INC.",,"2015","6","June","327","0","10"
"B01614","R TRANSPORT INC",,"2020","9","September","137","0","3"
"B02857","MATHES SERVICE INC.","NUNU ROCHDALE CAR SERVICE","2018","7","July","864","0","4"
"B03193","EXPERT CARE TRANSPORTATION, INC.","EXPERT TRANSPORTATION","2019","9","September","219","0","4"
"B02426","TRISTAR SERVICES (US) INC.","TRISTAR WORLDWIDE CHAUFFEURED SERVICES","2016","3","March","1368","0","26"
"B02809","NBT TRANSPORTATION INC",,"2016","9","September","1747","0","17"
"B03016","BEST DEAL BLACK INC.",,"2020","1","January","41149","0","263"
"B00597","WAKEFIELD LSG MAINT CORP",,"2019","1","January","621","0","10"
"B02055","MONTAGUE MANAGEMENT SERVICES, INC.","PROMINENT CAR & LIMO","2017","5","May","164","0","2"
"B00277","ALL CITY CORP TRANS INC",,"2021","11","November","1328","0","180"
"B02424","FRIENDLY RIDE INC",,"2017","3","March","444","0","25"
"B01741","MONACO LIMO & CAR SERVICES INC.",,"2018","3","March","1265","0","17"
"B02839","YERUSHALAYIM CAR&LIMO INC",,"2019","4","April","209","0","4"
"B03105","MAZNA TRANSPORTATION CORPORATION",,"2018","5","May","229","0","8"
"B02273","BENI'S LIMOUSINE SERVICE INC",,"2016","10","October","27","0","8"
"B03081","DLS CAR AND LIMOUSINE SERVICE CORP","ALL TRANSFERS SERVICE","2022","2","February","51","0","4"
"B02899","NEW BLACK LUXURY CARS CORP",,"2016","9","September","8827","0","27"
"B01616","H & B CAR AND LIMOUSINE, INC","SUNNYSIDE CAR SERVICE","2021","4","April","458","0","12"
"B02005","CAR LINE TRANSPORTATION CORP.","CAR LINE TRANSPORTATION CORP.","2020","11","November","232","0","16"
"B01721","W.K. CAR & LIMO SERVICE INC",,"2016","3","March","7128","0","41"
"B02793","SEAVIEW ISLAND CAR SERVICE",,"2017","7","July","222","0","6"
"B02653","NEW COLLEGE CAR SVCE INC",,"2020","9","September","5942","0","32"
"B02107","APOLLO RADIO DISPATCH INC.",,"2021","9","September","2906","0","37"
"B02254","FINESSE GROUP LIMOUSINE,INC.",,"2021","5","May","815","0","5"
"B03117","RELY-ON-US CAR SERVICE INC",,"2019","3","March","126","0","5"
"B00111","SKYLINE CREDIT RIDE INC",,"2022","6","June","3202","0","140"
"B03157","CAPRICE CAR SERVICE CORP.",,"2020","1","January","4422","0","29"
"B01088","PAISA 2 CAR  AND LIMOUSINE SERVICE INC",,"2017","7","July","375","0","7"
"B00481","806 SERVICE LLC","18TH AVENUE PRIVATE CAR SERVICE INC","2016","10","October","1798","0","9"
"B00837","CAREY LIMOUSINE NY, INC",,"2020","6","June","1346","0","46"
"B02838","THA MAYA CAR SERVICE INC",,"2021","6","June","1518","0","11"
"B02846","DLS TRANSPORTATION CORP.",,"2018","8","August","5469","3661","33"
"B02213","EXPRESS 11 CAR SERVICE, INC.",,"2018","2","February","1842","0","15"
"B02522","CHAUFFEURED EXECUTIVE TRANSPORTATION LLC",,"2020","2","February","433","0","12"
"B01559","MUNKACS CAR SVC LTD",,"2017","5","May","5092","0","17"
"B00037","TRANSP UNLIMITED C/S",,"2015","3","March","14793","0","52"
"B00001","LONDON TOWNCARS INC",,"2020","10","October","259","0","14"
"B01233","NEW LACONIA RAD DISP INC",,"2020","11","November","5351","0","31"
"B02292","NEW YORK APPLE V.I.P. CORP",,"2016","5","May","552","0","3"
"B03084","PERSIST CORPORATION",,"2019","7","July","1207","0","18"
"B02747","LEGEND LUXURY LIMO INC.",,"2016","6","June","2951","0","38"
"B02397","CHICO EXPRESS CORP. 2",,"2017","10","October","6615","0","47"
"B02207","EASTERN LUXURY, INC.",,"2022","5","May","15","0","10"
"B02472","NEW BUSHWICK LUXURY INC.",,"2015","3","March","10492","0","40"
"B00619","HOLA CAR SERVICE,INC.",,"2018","1","January","474","0","9"
"B02249","LA RAZA CAR SERVICE, INC.",,"2022","3","March","1270","0","7"
"B01470","AGUILA CAR & LIMO CORPORATION","VELOTAX CAR SERVICE","2021","3","March","2250","0","24"
"B01764","QUICK RIDE CORP.",,"2018","11","November","686","0","10"
"B02709","DASH CAR SERVICE CORP",,"2019","1","January","1046","522","3"
"B01051","B Q N C/S CORP",,"2021","5","May","6684","0","38"
"B02819","FIVE STAR LUXURY INC.",,"2017","2","February","2717","0","12"
"B02783","PREFERRED CARE TRANSPORTATION SERVICE,INC",,"2021","11","November","820","0","7"
"B02909","PUERTO RICO EXPRESS BLACK LUXURY INC",,"2019","3","March","1981","0","11"
"B00448","DIAL CAR INC.",,"2015","7","July","136","0","32"
"B02005","CAR LINE TRANSPORTATION CORP.","CAR LINE TRANSPORTATION CORP.","2021","4","April","219","0","12"
"B00628","CONCORD LIMOUSINE 1, LLC",,"2022","3","March","2921","0","78"
"B00255","CAUTIOUS CARS INC.",,"2017","7","July","506","0","17"
"B03126","YUR DRIVERS NETWORK INC",,"2020","7","July","211","0","6"
"B01527","NEW FAMILY RAD DISP INC",,"2018","9","September","6425","0","57"
"B02418","PLUSH SERVICES CORP",,"2017","3","March","255","0","10"
"B03202","JUPITER SELECT LLC",,"2019","10","October","316","0","9"
"B03137","IOT SERVICES, LLC",,"2020","12","December","8","0","1"
"B02401","NORTHSIDE BK LLC",,"2017","1","January","4849","0","98"
"B02707","CORONA PLAZA CAR & LIMO SERVICES INC.",,"2016","6","June","1394","0","18"
"B00401","TREMONT DISPATCHING CORP",,"2017","4","April","771","0","5"
"B02968","NEW GENERATION BLACK CAR TRANSPORTATION CORP.",,"2019","6","June","4608","0","21"
"B02133","TWR CAR & LIMO, INC.",,"2020","6","June","7514","0","94"
"B02998","GENESIS LUXURY TRANSPORTATION CORP.",,"2021","7","July","249","0","1"
"B01318","LOWER EAST SIDE C/S CORP",,"2019","4","April","1998","0","21"
"B00411","FONE-A-CAR INC",,"2021","1","January","398","0","111"
"B01045","CAPRICE CAR SERVICE NO.2 INC.",,"2018","6","June","2285","0","15"
"B00457","PREMIUM BRONX CORP",,"2018","4","April","253","0","61"
"B00387","FORTUNE LIMOUSINES INC",,"2020","1","January","281","0","9"
"B02005","CAR LINE TRANSPORTATION CORP.","CAR LINE TRANSPORTATION CORP.","2019","4","April","517","0","19"
"B01980","READY TO ROLL TRANSPORTATION, INC.",,"2019","12","December","413","0","12"
"B00619","HOLA CAR SERVICE,INC.",,"2021","9","September","307","0","5"
"B01964","GOLDEN TOUCH TRANSPORTATION OF NY, INC.","ECAR NEW YORK","2015","10","October","2100","0","37"
"B02769","MAVROS TRANSPORTATION INC",,"2018","2","February","181","0","13"
"B02967","ABIEL TRANSPORTATION CORP",,"2018","2","February","874","0","12"
"B03062","BQN VOUCHER INC",,"2020","2","February","1448","0","10"
"B00149","RAINBOW RAD DISP INC",,"2017","6","June","4162","0","31"
"B01626","LA NUEVA QUISQUEYA C/S INC",,"2016","10","October","37162","0","146"
"B02463","MORENITA EXPRESS CAR SERVICE INC.",,"2018","2","February","1092","0","7"
"B02301","DOUBLE A CAR SERVICE INC.","UNITED CARS","2021","7","July","199","0","3"
"B03048","ATLANTIS TRANSPORTATION SERVICES INC",,"2020","9","September","1163","0","8"
"B01051","B Q N C/S CORP",,"2017","1","January","56790","0","350"
"B02783","PREFERRED CARE TRANSPORTATION SERVICE,INC",,"2017","7","July","3442","0","23"
"B02240","NEW APPLE TRANS. INC.","PALPAL LIMO","2022","2","February","46","0","3"
"B02853","SAFE RIDES CAR & LIMO SERVICES INC",,"2017","2","February","71","0","7"
"VIA","VIA","VIA","2021","2","February","86018","0","2575"
"B00559","7 OCEAN EXPRESS INC.",,"2021","5","May","27","0","8"
"B03283","NORWOOD CAR @ LIMO INC.",,"2020","4","April","336","0","4"
"B02629","CARLUX LIMO INC.",,"2016","5","May","181","0","6"
"B02095","COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,"2019","12","December","2767","0","107"
"B02509","NY MINUTE CAR SERVICE INC.",,"2018","2","February","10406","0","102"
"B01639","HIGH CLASS LIMO CAR SVCE CORP",,"2021","2","February","3241","0","34"
"B00850","UPTOWN TRANSIT CORP",,"2018","4","April","363","0","7"
"B02814","BELL LX INC",,"2018","12","December","8451","0","39"
"B03002","REYNO,INC.",,"2017","9","September","4339","0","29"
"B01386","FENIX PREMIUM CORP.",,"2020","5","May","493","0","2"
"B01065","EL BARRIO'S CAR SERVICE LLC",,"2020","11","November","5904","0","45"
"B00556","SURREY CADILLAC LIMO SVC INC",,"2021","9","September","265","0","9"
"B00888","ACE C/L SVCE INC",,"2018","8","August","1161","0","33"
"B02655","LONG ISLAND CITY CAR AND LIMO INC.","A2B CORPORATE SEDAN","2017","8","August","75","0","11"
"B02491","CALL THREES LLC",,"2016","5","May","1409","0","7"
"B00008","T-D MAINTENANCE CORP","FOUR ONES CAR SERVICE","2018","9","September","3468","0","25"
"B00837","CAREY LIMO N Y INC",,"2016","8","August","9371","0","220"
"B02849","BROOKLYN RIDES CORP",,"2022","5","May","12031","0","98"
"B00325","CONTINENTAL RADIO DISPATCH CORP.",,"2017","11","November","789","0","9"
"B01738","SAETA CAR SERVICE INC.",,"2015","5","May","6120","0","28"
"B01800","EMPIRE INTERNATIONAL LTD.",,"2015","5","May","12675","0","304"
"B02245","OCEANA CAR AND LIMO",,"2021","8","August","1301","0","5"
"B02331","CHICO EXPRESS LIMO, INC.",,"2021","1","January","476","0","2"
"B02674","ELAL CAR LIMO SERVICE LLC","FIFTH AVENUE CAR LIMO SERVICE","2018","4","April","2988","0","14"
"B01846","ROMANTIQUE LIMOUSINE INC.",,"2017","5","May","50","0","11"
"B01282","NEW LOTS C/S INC",,"2017","12","December","20126","0","84"
"B02531","CLEAN AIR CAR SERVICE AND PARKING CORP.",,"2021","6","June","1816","0","15"
"B02760","VISMAR RADIO DISPATCH INC.",,"2018","1","January","203","0","6"
"B00056","TRANSIT PRIVATE CAR SERVICE INC.",,"2021","8","August","346","0","8"
"B02207","EASTERN LUXURY, INC.",,"2022","4","April","2","0","2"
"B02569","LAPUMA GO GREEN LLC","GO GREENRIDE","2021","1","January","37","0","10"
"B01466","FIVE STAR",,"2017","1","January","2362","0","13"
"B00531","FRIENDLY BEST-WAY TRANSPORTATION, INC.",,"2018","8","August","2254","0","17"
"B02725","KIRIN TRANSPORTATION INC",,"2016","2","February","1970","0","34"
"B00412","NYC 2 WAY INTERNATIONAL LTD","NYC TWO WAY INC.","2017","8","August","10521","0","118"
"B02951","APPROACH QUALITY TRANSPORTATION, LLC",,"2016","11","November","1000","0","24"
"b00941","PERSONAL TOUCH C/S",,"2015","11","November","2067","0","20"
"B01013","AMERICANA TRANSPORTATION LLC",,"2020","10","October","820","0","7"
"B01196","DIPLO RAD DISP INC",,"2022","2","February","8241","0","47"
"B02868","CHA CHA TRANSPORTATION CORP",,"2020","5","May","253","0","2"
"B00972","N.J.M.INC.","MID ISLAND CAR SVCE","2022","4","April","1685","0","9"
"B03032","A & S LIMOUSINE SERVICE CORP",,"2021","5","May","1433","0","10"
"B00170","EMUNAH CAR SERVICE INC",,"2017","9","September","1131","0","6"
"B02903","JFK LUXURY LIMOUSINE INC",,"2018","2","February","679","0","35"
"B02509","NY MINUTE CAR SERVICE INC.",,"2022","4","April","2936","0","23"
"B01738","SAETA CAR SERVICE INC.",,"2020","2","February","2379","0","11"
"B02728","NEWTOWN PRIVATE CAR SERVICE INC.",,"2020","5","May","3239","0","16"
"B02330","OCHO LUXURY CAR, INC.","ACAPOLCO EXPRESS","2018","12","December","2038","0","8"
"B01362","AMERICAN BASE NO.1 INC.",,"2020","11","November","2741","0","22"
"B01280","BENSONHURST RIDE INC.",,"2021","7","July","1122","0","7"
"B00381","BELL RADIO INC",,"2015","9","September","6063","0","132"
"b01109","UNITED EXP C/L SVCE",,"2015","12","December","16636","0","77"
"B02920","AMAZING CAR AND LIMO SERVICE INC",,"2018","9","September","1238","0","7"
"B02699","PRESIDENTIAL LUXURY LIMO INC.",,"2019","1","January","1305","0","33"
"B00001","LONDON TOWNCARS INC",,"2015","9","September","2176","0","38"
"B02671","COMMUNITY CAR SERVICE PRISCILLA CORP",,"2019","12","December","3868","0","22"
"B00254","XYZ TWO WAY RADIO",,"2015","1","January","27799","0","352"
"B01510","JPAN TRANSPORTATION INC","PARSONS CAR SERVICE","2017","11","November","329","0","3"
"B03122","SIN FRONTERAS CAR SERVICE INC",,"2019","3","March","21","0","1"
"B03200","L & J LOGISTICS CORP.",,"2021","1","January","509","0","12"
