"calendarnumber","premiseaddressnumber","premiseaddressstreet","borough","block","lot","c1","c2","c3","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"127-16-S","515","East 71st St","Manhattan","01483","9, 10, 11, 42","127","1916","S","10021","40.765949","-73.953712","108","5","124","1072694","1014837502","Lenox Hill-Roosevelt Island"
"129-16-S","519-521","5th Ave","Manhattan","01278","1,67","129","1916","S","10175","40.754412","-73.980195","105","4","94","1035355","1012780001","Midtown-Midtown South"
"131-16-S","487-491","5th Ave","Manhattan","01276","4,68","131","1916","S","10017","40.753051","-73.981188","105","4","82","1076266","1012760004","Murray Hill-Kips Bay"
"133-16-BZ","6518-6524","Ft Hamilton Pkwy","Brooklyn","05750","13, 26","133","1916","BZ","11219","40.630496","-74.009446","310","38","120","3328855","3057500026","Sunset Park East"
"137-16-S","126","West 46th St","Manhattan","00998","47","137","1916","S","10036","40.757781","-73.983197","105","4","119","1022645","1009980047","Midtown-Midtown South"
"144-16-BZ","100-106","Marion St","Brooklyn","01695","16-20, 42-43","144","1916","BZ","11233","40.679926","-73.927024","303","36","381","3396472","3016950016","Crown Heights North"
"147-16-A","(8222-8226) 8202-8224","18th Ave","Brooklyn","06314","72, 130, 164","147","1916","A",,,,,,,,,
"149-16-BZ","(15-21) 15-19","Saratoga Ave","Brooklyn","01489","(15-21) 1","149","1916","BZ",,,,,,,,,
"155-16-S","324-328","Lafayette St","Manhattan","00522","28","155","1916","S","10012","40.725545","-73.994974","102","1","5502","1008216","1005220028","West Village"
"156-16-S","248","Lafayette St","Manhattan","00496","5","156","1916","S","10012","40.722946","-73.996876","102","1","43","1007539","1004960005","SoHo-TriBeCa-Civic Center-Little Italy"
"157-16-S","(1-9) 1-15","Bedford St","Manhattan","00528","1-5, 44-51","157","1916","S",,,,,,,,,
"162-16-BZ","19","East 62nd St","Manhattan","01377","13","162","1916","BZ","10065","40.765664","-73.970481","108","4","11401","1040889","1013770013","Upper East Side-Carnegie Hill"
"163-16-A","206","West 102nd St","Manhattan","01873","38","163","1916","A","10025","40.798026","-73.967982","107","7","187","1056515","1018730038","Upper West Side"
"164-16-A","383","East 201st St","Bronx","03281","75","164","1916","A","10458","40.868872","-73.8822","207","11","415","2016464","2032810075","Bedford Park-Fordham North"
"165-16-A","4342-4344","Broadway","Manhattan","02167","29","165","1916","A","10033","40.852843","-73.93436","112","10","271","1076752","1021670029","Washington Heights North"
"167-16-A","673","East 137th St","Staten Island","02566","39","167","1916","A",,,,,,,,,
"171-16-S","408-410-412","West 13th St","Manhattan","00645","35-37","171","1916","S",,,,,,,,,
"172-16-BZ","(31-43) 31-37","Church Ave","Brooklyn","05313","34, 38","172","1916","BZ",,,,,,,,,
"175-16-S","131","Essex St","Manhattan","00411","68","175","1916","S","10002","40.720008","-73.987464","103","1","3001","1005379","1004110068","Chinatown"
"183-16-S","171-173","Greene St","Manhattan","00524","54","183","1916","S","10012","40.725677","-73.998791","102","1","49",,,"SoHo-TriBeCa-Civic Center-Little Italy"
"187-16-BZ","2002-2018","Bedford Ave","Brooklyn","05055","53","187","1916","BZ","11225","40.655973","-73.956409","309","40","79601",,,"Prospect Lefferts Gardens-Wingate"
"192-16-BZ","459-461","12th St","Brooklyn","01096","43, 44","192","1916","BZ","11215","40.664212","-73.981242","306","39","151","3026293","3010960043","Park Slope-Gowanus"
"197-16-A","144-6","West 90th St","Manhattan","01220","57","197","1916","A","10024","40.789925","-73.972406","107","6","173","1087310","1012207506","Upper West Side"
"198-16-BZ","1480-1484","Coney Island Ave","Brooklyn","06536","pt-20","198","1916","BZ","11230","40.621375","-73.96454","312","44","454",,,"Ocean Parkway South"
"199-16-S","243-251","West 125th St","Manhattan","01931","12","199","1916","S","10027","40.80971","-73.950048","110","9","222","1058655","1019310012","Central Harlem South"
"215-16-S","7-9","West 18th St","Manhattan","00820","33,36","215","1916","S",,,,,,,,,
"216-16-BZ","924-926","65th St","Brooklyn","05750","18, 23, 25","216","1916","BZ","11219","40.630951","-74.009767","310","38","120","3328766","3057500018","Sunset Park East"
"216-16-A",,,,,,"216","1916","A",,,,,,,,,
"222-16-A","82-86","Rutgers Slip","Manhattan","00248","24","222","1916","A","10002","40.710591","-73.989864","103","1","6","1085945","1002480015","Lower East Side"
"223-16-BZ","172-186","Empire Blvd (Malbone St)","Brooklyn","01314","15","223","1916","BZ","11225","40.663573","-73.956184","309","40","327","3034759","3013140015","Prospect Lefferts Gardens-Wingate"
"231-16-A","248-252","West 65th St","Manhattan","01156","56","231","1916","A","10023","40.774966","-73.986786","107","6","151","1030340","1011560020","Lincoln Square"
"233-16-A","(93-99) 97","Greene St","Manhattan","00500","30","233","1916","A",,,,,,,,,
"234-16-A","(93-99) 97","Greene St","Manhattan","00500","30","234","1916","A",,,,,,,,,
"239-16-BZ","91-01","Elderts Lane","Queens","01314","15","239","1916","BZ","11421","40.685152","-73.866573","409","30","6","4438412","4089420066","Woodhaven"
"240-16-BZ","179-183","West Houston St","Manhattan","00520","33","240","1916","BZ","10014","40.728419","-74.003456","102","3","37","1008125","1005200029","SoHo-TriBeCa-Civic Center-Little Italy"
"241-16-S","71-73","East Broadway","Manhattan","00280","27","241","1916","S","10002","40.713644","-73.995062","103","1","8","1003410","1002800027","Chinatown"
"244-16-S","35","Great Jones St","Manhattan","00530","24","244","1916","S","10012","40.726906","-73.992867","102","1","5502","1080071","1005300024","West Village"
"248-16-A","3-5","Vestry St","Manhattan","00220","21,22,&23","248","1916","A",,,,,,,,,
"249-16-A","368-370","Greenwich St","Manhattan","00185","37","249","1916","A","10013","40.719629","-74.010274","101","1","39","1086183","1001420025","SoHo-TriBeCa-Civic Center-Little Italy"
"250-16-S","1-3","University Pl","Manhattan","00548","1","250","1916","S",,,,,,,,,
"253-16-A","214/30","East 34th St","Manhattan","00914","53,45","253","1916","A",,,,,,,,,
"255-16-A","4320-4338","Broadway","Manhattan","02167","1-6","255","1916","A","10033","40.852155","-73.934715","112","10","271","1081882","1021670001","Washington Heights North"
"261-16-S","1082","Park Ave","Manhattan","01500","34","261","1916","S","10128","40.781724","-73.956081","108","4","15002","1046955","1015007501","Upper East Side-Carnegie Hill"
"263-16-BZ","883","Tinton Ave","Bronx","02658","57","263","1916","BZ","10456","40.821304","-73.903716","203","16","133",,,"Morrisania-Melrose"
"265-16-S","32-38","Fulton St","Manhattan","00075","1-7, 10, 11, 15, 17, 19","265","1916","S","10038","40.707561","-74.004155","101","1","1502","1001163","1000750001","Battery Park City-Lower Manhattan"
"267-16-BZ","438","Richmond Ave","Staten Island","01101","62,67,69","267","1916","BZ",,,,,,,,,
"444-16-A",,"165th St","Bronx","NONE",,"444","1916","A",,,,,,,,,
"273-16-S","40-42","Mercer St","Manhattan","00474","45","273","1916","S","10013","40.721447","-74.00127","102","1","47","1087559","1004747506","SoHo-TriBeCa-Civic Center-Little Italy"
"274-16-S","40-42","Mercer St","Manhattan","00474","45","274","1916","S","10013","40.721447","-74.00127","102","1","47","1087559","1004747506","SoHo-TriBeCa-Civic Center-Little Italy"
"279-16-A","973","Brook Ave","Bronx","02391","68","279","1916","A","10451","40.825867","-73.91163","203","17","143","2001622","2023910063","East Concourse-Concourse Village"
"283-16-BZ","244-252","54th st","Manhattan","01025","54","283","1916","BZ",,,,,,,,,
"283-16-BZ","229-237","52nd St","Manhattan","01025","7,8,58,59","283","1916","BZ",,,,,,,,,
"283-16-Bz","238-240","54th St","Manhattan","01025","51","283","1916","BZ",,,,,,,,,
"286-16-A","95-103","Meserole Ave","Brooklyn","02596","1","286","1916","A","11222","40.726864","-73.953418","301","33","561","3065312","3025960001","Greenpoint"
"290-16-BZ","1016-1024","St Nicholas Ave","Manhattan","02109","81","290","1916","BZ","10032","40.83505","-73.939809","112","10","24301","1062574","1021090081","Washington Heights South"
"291-16-S","90","Nassau St","Manhattan","00078","43","291","1916","S","10038","40.710064","-74.007885","101","1","1502","1001205","1000780043","Battery Park City-Lower Manhattan"
"297-16-A","51-57","West 81st St","Manhattan","01195","1","297","1916","A","10024","40.782649","-73.973146","107","6","165","1031134","1011950001","Upper West Side"
"298-16-S","237","Mercer St","Manhattan","00533","20","298","1916","S","10012","40.727842","-73.995901","102","1","5501",,,"West Village"
"318-16-S","1901-1915","Park Ave","Manhattan","01778","1","318","1916","S","10035","40.807735","-73.937063","111","9","242","1054509","1017780001","East Harlem North"
"319-16-A","142-146","West 24th St","Manhattan","00799","64","319","1916","A","10011","40.744099","-73.993602","104","3","91","1000000","1007990063","Hudson Yards-Chelsea-Flatiron-Union Square"
"321-16-S","10","East 33rd St","Manhattan","00862","67","321","1916","S","10016","40.747507","-73.984438","105","4","74","1017032","1008620067","Midtown-Midtown South"
"323-16-S","20-24","Vesey St","Manhattan","00088","5","323","1916","S","10007","40.711843","-74.009562","101","1","21","1001235","1000880005","SoHo-TriBeCa-Civic Center-Little Italy"
"326-16-BZ","4350-4352","Broadway","Manhattan","02167","32","326","1916","BZ","10033","40.853033","-73.934266","112","10","271","1076752","1021670029","Washington Heights North"
"336-16-A",,"231st St","Bronx","NONE",,"336","1916","A",,,,,,,,,
"337-16-BZ","216-232","Nichols Ave","Brooklyn","04134","43","337","1916","BZ","11208","40.685309","-73.868855","305","37","1184","3092461","3041340043","Cypress Hills-City Line"
"339-16-S","165-171","Grand St","Manhattan","00235","13","339","1916","S","10013","40.719748","-73.99846","102","1","41","1003065","1002350013","SoHo-TriBeCa-Civic Center-Little Italy"
"344-16-S","412-422","Withers St","Brooklyn","02878","18","344","1916","S","11222","40.719085","-73.936104","301","34","449","3000000","3028780018","East Williamsburg"
"351-16-A","(60) 74","Wadsworth Ave","Manhattan","02145","54","351","1916","A",,,,,,,,,
"355-16-BZ","129","Carroll St","Brooklyn","00349","26,31","355","1916","BZ","11231","40.682296","-74.00093","306","39","63","3004741","3003490031","Carroll Gardens-Columbia Street-Red Hook"
"356-16-A","20","27th St","Manhattan","00828","60","356","1916","A",,,,,,,,,
"358-16-A","1365-1375","Bushwick Ave","Brooklyn","03433","5","358","1916","A","11207","40.68531","-73.910767","304","37","403","3079655","3034330005","Bushwick South"
"374-16-BZ","1664-1670","Fulton St","Brooklyn","01700","26","374","1916","BZ","11213","40.679537","-73.934008","303","36","271","3325185","3017000017","Crown Heights North"
"377-16-BZ","708-724","Metropolitan Ave","Brooklyn","02764","14, 15","377","1916","BZ","11211","40.714429","-73.94539","301","34","497","3338159","3027640014","East Williamsburg"
"379-16-A",,"East 161st St","Bronx","NONE",,"379","1916","A",,,,,,,,,
"384-16-A","212-218","57trh St","Manhattan","01028","38","384","1916","A",,,,,,,,,
"388-16-S","36","West 22 Street","Manhattan","00823","63","388","1916","S","10010","40.741412","-73.991354","105","3","58","1015544","1008230063","Hudson Yards-Chelsea-Flatiron-Union Square"
"388-16-S","36","22nd St","Manhattan","00823","63","388","1916","S",,,,,,,,,
"392-16-BZ","203-207","West 95th St","Manhattan","01243","129-131","392","1916","BZ","10025","40.793493","-73.971104","107","6","183","1033696","1012430028","Upper West Side"
"395-16-S","45","Vesey St","Manhattan","00085","13","395","1916","S","10007","40.712345","-74.010724","101","1","13","1000000","1000580001","Battery Park City-Lower Manhattan"
"405-16-A","368-370","Greenwich St","Manhattan","00185","37","405","1916","A","10013","40.719629","-74.010274","101","1","39","1086183","1001420025","SoHo-TriBeCa-Civic Center-Little Italy"
"406-16-BZ","81","Rapelye St","Brooklyn","00363","38","406","1916","BZ","11231","40.680764","-74.003645","306","39","51","3005196","3003630038","Carroll Gardens-Columbia Street-Red Hook"
"409-16-S","179-183","Lafayette St","Manhattan","00472","4 & 17","409","1916","S","10013","40.720549","-73.998618","102","1","45","1006999","1004720004","SoHo-TriBeCa-Civic Center-Little Italy"
"415-16-A","2242-2262","Church Ave","Brooklyn","05103","42,43,45","415","1916","A","11226","40.650424","-73.957847","314","40","794","3117228","3051030042","Erasmus"
"417-16-A","237","Waverly Pl","Brooklyn","01917","17","417","1916","A",,,,,,,,,
"432-16-A","62","Wooster St","Manhattan","00486","1 & 36","432","1916","A","10012","40.723256","-74.001883","102","1","49","1007300","1004860036","SoHo-TriBeCa-Civic Center-Little Italy"
"433-16-A","50","Broad St","Manhattan","00024","19, 36","433","1916","A","10004","40.705689","-74.011455","101","1","9","1000820","1000240036","Battery Park City-Lower Manhattan"
"434-16-BZ","1095-1107","Atlantic Ave","Brooklyn","02021","20","434","1916","BZ","11216","40.679114","-73.954829","303","36","247","3057911","3020210020","Crown Heights North"
"434-16-BZ","1095-1107","Atlantic Ave","Brooklyn","02021","20","434","1916","BZ","11216","40.679114","-73.954829","303","36","247","3057911","3020210020","Crown Heights North"
"434-16-BZ","1095-1107","Atlantic Ave","Brooklyn","02021","20","434","1916","BZ","11216","40.679114","-73.954829","303","36","247","3057911","3020210020","Crown Heights North"
"438-16-S","58-60","Reade St","Manhattan","00150","2,3","438","1916","S","10007","40.714898","-74.006349","101","1","33","1001636","1001507502","SoHo-TriBeCa-Civic Center-Little Italy"
"448-16-A",,"174th st","Bronx","NONE",,"448","1916","A",,,,,,,,,
"449-16-A","351-353, 355","West 54th St","Manhattan","01045","6-8","449","1916","A",,,,,,,,,
"451-16-S","249-253","Bowery","Manhattan","00427","4","451","1916","S","10002","40.72305","-73.992994","103","1","3601","1078062","1004270002","Chinatown"
"454-16-A","237,251","East Fordham Rd","Bronx","03154","55","454","1916","A",,,,,,,,,
"455-16-S","10","West 46th St","Manhattan","01261","46","455","1916","S","10036","40.756306","-73.979704","105","4","96","1076258","1012617502","Midtown-Midtown South"
"456-16-A","85-109","William St","Manhattan","00067","1, 3, 8, 16, 17","456","1916","A","10038","40.708039","-74.007957","101","1","1502","1079043","1000670001","Battery Park City-Lower Manhattan"
"458-16-BZ","17-35","West 9th St","Brooklyn","00534","35,36,37","458","1916","BZ","11231","40.677042","-74.005916","306","38","59","3395393","3005340041","Carroll Gardens-Columbia Street-Red Hook"
"464-16-S","996","East 163rd St","Bronx","NONE",,"464","1916","S","10459","40.820972","-73.89372","202","17","87",,,"Longwood"
"475-16-A","40-42","Mercer St","Manhattan","00474","45","475","1916","A","10013","40.721447","-74.00127","102","1","47","1087559","1004747506","SoHo-TriBeCa-Civic Center-Little Italy"
"480-16-S","384-390","5th Ave","Manhattan","00837","48","480","1916","S","10018","40.749462","-73.983827","105","4","84","1015899","1008370045","Midtown-Midtown South"
"482-16-A","462-468","Broadway","Manhattan","00473","1 & 3","482","1916","A","10013","40.720978","-74.00053","102","1","45","1079877","1004730001","SoHo-TriBeCa-Civic Center-Little Italy"
"483-16-S","279","E 150th St","Bronx","NONE",,"483","1916","S","10451","40.817835","-73.921594","201","17","65",,,"Melrose South-Mott Haven North"
"484-16-S","11","West 17th St","Manhattan","00819","31","484","1916","S","10011","40.738225","-73.992931","105","3","54","1015418","1008190031","Hudson Yards-Chelsea-Flatiron-Union Square"
"489-16-A","333-337 (form 33-39)","6th Ave","Manhattan","00589","28 & 25","489","1916","A",,,,,,,,,
"490-16-S",,"168th St &  Park Ave","Bronx","NONE",,"490","1916","S",,,,,,,,,
"491-16-A",,"139th St & Brook Ave","Bronx","NONE",,"491","1916","A",,,,,,,,,
"493-16-A","1515","172nd St Bryant Ave","Bronx","NONE",,"493","1916","A",,,,,,,,,
"498-16-S","495","Broome St","Manhattan","00475","14","498","1916","S","10013","40.723138","-74.002637","102","1","47","1007065","1004750014","SoHo-TriBeCa-Civic Center-Little Italy"
"499-16-A",,"169th St & Grant ave","Bronx","NONE",,"499","1916","A",,,,,,,,,
"502-16-A","35","Great Jones St","Manhattan","00530","24","502","1916","A","10012","40.726906","-73.992867","102","1","5502","1080071","1005300024","West Village"
"14-17-A",,"East 161st St","Bronx","NONE",,"14","1917","A",,,,,,,,,
"15-17-A","413-23","East 161st St","Bronx","NONE",,"15","1917","A","10451","40.824048","-73.913334","203","17","141","2001516","2023830044","Morrisania-Melrose"
"17-17-A","139","Madison St","Manhattan","00275","52","17","1917","A","10002","40.712414","-73.993165","103","1","8","1003286","1002750028","Chinatown"
"25-17-A","513/519","Broadway","Manhattan","00484","15 & 16","25","1917","A",,,,,,,,,
"26-17-A","513/519","Broadway","Manhattan","00484","15 & 16","26","1917","A",,,,,,,,,
"29-17-A","59-63","Allen St","Manhattan","00307","24","29","1917","A","10002","40.717104","-73.991458","103","1","16","1082491","1003070024","Chinatown"
"32-17-A","981-983","Southern Blvd","Bronx","02725","75","32","1917","A","10459","40.822359","-73.891759","202","17","159","2005785","2027240175","Hunts Point"
"38-17-A","777","178th st","Bronx","NONE",,"38","1917","A",,,,,,,,,
"40-17-A","210-214","East 86th St","Manhattan","01531","40","40","1917","A","10028","40.778605","-73.953494","108","5","14601","1048782","1015310040","Yorkville"
"44-17-A","256-258","West 36th St","Manhattan","00785","73","44","1917","A","10018","40.752932","-73.991258","105","3","109","1014435","1007850073","Midtown-Midtown South"
"46-17-A","1-31","Hoyt St","Brooklyn","00157","1","46","1917","A",,,,,,,,,
"63-17-A","10-12","Crosby St","Manhattan","00232","5","63","1917","A",,,,,,,,,
"72-17-A","172-186","Empire Blvd (Malbone St)","Brooklyn","01314","15","72","1917","A","11225","40.663573","-73.956184","309","40","327","3034759","3013140015","Prospect Lefferts Gardens-Wingate"
"73-17-A",,"East 134th St & 3rd Ave","Bronx","NONE",,"73","1917","A",,,,,,,,,
"76-17-S","110","West 14th St","Manhattan","00609","33","76","1917","S","10011","40.737619","-73.997474","102","3","71","1010642","1006090033","West Village"
"78-17-A","1770-1792","Southern Blvd","Bronx","02984","1,","78","1917","A","10460","40.837783","-73.887506","203","17","161",,,"Crotona Park East"
"91-17-A","8-14","Grand St","Manhattan","00477","28","91","1917","A",,,,,,,,,
"94-17-A","20-24","Vesey St","Manhattan","00085","5","94","1917","A","10007","40.711843","-74.009562","101","1","21","1001235","1000880005","SoHo-TriBeCa-Civic Center-Little Italy"
"95-17-A","20-24","Vesey St","Manhattan","00088","5","95","1917","A","10007","40.711843","-74.009562","101","1","21","1001235","1000880005","SoHo-TriBeCa-Civic Center-Little Italy"
"104-17-S","182","Duane St","Manhattan","00141","23","104","1917","S","10013","40.717398","-74.010198","101","1","39","1001523","1001410023","SoHo-TriBeCa-Civic Center-Little Italy"
"122-17-A","2-20","East 102 St","Manhattan","01607","59","122","1917","A",,,,,,,,,
"132-17-A","(58) 50","West Houston St","Manhattan","00524","60","132","1917","A",,,,,,,,,
"135-17-A",,"180th st","Bronx","NONE",,"135","1917","A",,,,,,,,,
"135-17-S","236-242","50th St","Manhattan","01021","57-59","135","1917","S",,,,,,,,,
"141-17-A",,"253rd St","Bronx","NONE",,"141","1917","A",,,,,,,,,
"147-17-A",,"180th st","Bronx","NONE",,"147","1917","A",,,,,,,,,
"148-17-A","547-551","West 133rd St","Manhattan","01987","9","148","1917","A","10027","40.818388","-73.955049","109","7","219","1059730","1019870009","Manhattanville"
"158-17-A","1514-30","Broadway","Manhattan","00997","1,6,9,54,57","158","1917","A","10036","40.757361","-73.985768","105","4","119","1022624","1009970001","Midtown-Midtown South"
"164-17-A",,"167th St","Bronx","NONE",,"164","1917","A",,,,,,,,,
"165-17-A","78","Reade St","Manhattan","00150","12","165","1917","A","10007","40.715227","-74.00707","101","1","33","1001641","1001500012","SoHo-TriBeCa-Civic Center-Little Italy"
"172-17-A","(15-21) 15-19","Saratoga Ave","Brooklyn","01489","(15-21) 1","172","1917","A",,,,,,,,,
"174-17-A","722","175th st","Bronx","NONE",,"174","1917","A",,,,,,,,,
"175-17-BZ","346-352, 354-360","West 17th St","Manhattan","00740","7, 55","175","1917","BZ",,,,,,,,,
"176-17-S","24-30","39th St","Manhattan","00840","65","176","1917","S",,,,,,,,,
"176-17-A",,"176th St","Bronx","NONE",,"176","1917","A",,,,,,,,,
"183-17-A","256-258","West 36th St","Manhattan","00785","73","183","1917","A","10018","40.752932","-73.991258","105","3","109","1014435","1007850073","Midtown-Midtown South"
"186-17-A","570-580","East 133rd St","Bronx","NONE",,"186","1917","A",,,,,,,,,
"186-17-A",,,,"NONE",,"186","1917","A",,,,,,,,,
"190-17-A","256-258","West 36th St","Manhattan","00785","73","190","1917","A","10018","40.752932","-73.991258","105","3","109","1014435","1007850073","Midtown-Midtown South"
"191-17-A","(561/567) 561/563","Broadway","Manhattan","00498","7","191","1917","A",,,,,,,,,
"192-17-A","200","West 72nd St","Manhattan","01163","23","192","1917","A","10023","40.77894","-73.982423","107","6","159","1081034","1011637503","Lincoln Square"
"217-17-A","144-6","West 90th St","Manhattan","01220","57","217","1917","A","10024","40.789925","-73.972406","107","6","173","1087310","1012207506","Upper West Side"
"225-17-S","1302-1330","Broadway ave","Manhattan","00836","1","225","1917","S","10001","40.749885","-73.987689","105","4","76","1015867","0","Midtown-Midtown South"
"226-17-S","21","39th St","Manhattan","00841","26","226","1917","S",,,,,,,,,
"227-17-A","394-400","2nd St","Brooklyn","02425","16-17","227","1917","A","11215","40.672915","-73.981802","306","39","135","3020934","3009750020","Park Slope-Gowanus"
"233-17-A","136-140","West 21st St","Manhattan","00796","60","233","1917","A","10011","40.742101","-73.994901","104","3","87","1014758","1007960060","Hudson Yards-Chelsea-Flatiron-Union Square"
"237-17-S","422-430","53rd St","Manhattan","01364","34","237","1917","S",,,,,,,,,
"239-17-A","1365-1373","Boston Rd","Bronx","02934","40","239","1917","A","10456","40.83246","-73.898406","203","16","151","2009757","2029340040","Morrisania-Melrose"
"240-17-S","10","29th St","Manhattan","00830","51","240","1917","S",,,,,,,,,
"244-17-A","215-219","58th St","Manhattan","01332","10","244","1917","A",,,,,,,,,
